[I 2024-11-29 15:48:22,828] Using an existing study with name 'R8-GATv2-google-bert-bert-base-uncased-Grouped-Layer-wise_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (639 > 512). Running this sequence through the model will result in indexing errors
[I 2024-11-29 15:57:54,388] Trial 142 finished with value: 0.9449470582787491 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7121062021375487, 'batch_size': 53, 'attention_heads': 10, 'hidden_dimension': 120, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3201382775747871, 'global_pooling': 'mean', 'learning_rate': 0.0002191003849837341, 'weight_decay': 2.739654762499043e-05, 'beta_0': 0.8539443372007961, 'beta_1': 0.9882031893520871, 'epsilon': 3.815322460938958e-05, 'balanced_loss': False, 'epochs': 171, 'early_stopping_patience': 21, 'plateau_patience': 14, 'plateau_divider': 5}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 17:27:56,433] Trial 152 finished with value: 0.9371062743363147 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.7032152476642433, 'batch_size': 69, 'attention_heads': 8, 'hidden_dimension': 66, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5133610076614087, 'global_pooling': 'mean', 'learning_rate': 0.0009164807559543332, 'weight_decay': 2.7574212331021516e-05, 'beta_0': 0.8668236773759579, 'beta_1': 0.9888526346503633, 'epsilon': 2.475544113503884e-05, 'balanced_loss': False, 'epochs': 135, 'early_stopping_patience': 24, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 17:37:17,241] Trial 153 finished with value: 0.9480919563401926 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7130203843569988, 'batch_size': 64, 'attention_heads': 15, 'hidden_dimension': 103, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4273556235847434, 'global_pooling': 'mean', 'learning_rate': 0.0004153582621911237, 'weight_decay': 3.5801261937436745e-05, 'beta_0': 0.845724126605063, 'beta_1': 0.9928088042710418, 'epsilon': 1.7547897221336767e-05, 'balanced_loss': False, 'epochs': 196, 'early_stopping_patience': 16, 'plateau_patience': 23, 'plateau_divider': 5}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 17:45:47,428] Trial 154 finished with value: 0.9432484006767007 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6642177772346451, 'batch_size': 52, 'attention_heads': 11, 'hidden_dimension': 94, 'number_of_hidden_layers': 1, 'dropout_rate': 0.30508037837678087, 'global_pooling': 'mean', 'learning_rate': 0.00025501147944774564, 'weight_decay': 3.138601471238429e-05, 'beta_0': 0.8531171831355235, 'beta_1': 0.9922936894896006, 'epsilon': 1.2962149880427387e-05, 'balanced_loss': False, 'epochs': 192, 'early_stopping_patience': 17, 'plateau_patience': 12, 'plateau_divider': 10}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 17:54:48,559] Trial 155 finished with value: 0.94072370110111 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6949670579538909, 'batch_size': 55, 'attention_heads': 16, 'hidden_dimension': 86, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4321758930355196, 'global_pooling': 'mean', 'learning_rate': 0.0005358167192627026, 'weight_decay': 3.825521273790074e-05, 'beta_0': 0.8603224137706875, 'beta_1': 0.9911937907544337, 'epsilon': 2.0704839363385644e-05, 'balanced_loss': False, 'epochs': 189, 'early_stopping_patience': 16, 'plateau_patience': 11, 'plateau_divider': 6}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 18:05:47,436] Trial 156 finished with value: 0.9471967505492003 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.679692883941055, 'batch_size': 45, 'attention_heads': 15, 'hidden_dimension': 110, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5754631564633796, 'global_pooling': 'mean', 'learning_rate': 0.0003647684034194144, 'weight_decay': 6.374920698182853e-05, 'beta_0': 0.8418591570224424, 'beta_1': 0.9934260380521834, 'epsilon': 9.144270613534957e-06, 'balanced_loss': False, 'epochs': 198, 'early_stopping_patience': 16, 'plateau_patience': 13, 'plateau_divider': 5}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 18:16:24,841] Trial 157 finished with value: 0.9447764221456851 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7074483613792951, 'batch_size': 94, 'attention_heads': 13, 'hidden_dimension': 136, 'number_of_hidden_layers': 1, 'dropout_rate': 0.446479828529453, 'global_pooling': 'mean', 'learning_rate': 0.0007847726158630773, 'weight_decay': 4.4912946188819196e-05, 'beta_0': 0.8576591738307467, 'beta_1': 0.9919600295966159, 'epsilon': 1.4850310497252177e-05, 'balanced_loss': False, 'epochs': 194, 'early_stopping_patience': 22, 'plateau_patience': 12, 'plateau_divider': 10}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 18:25:50,217] Trial 158 finished with value: 0.9442511161064806 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6719254369543946, 'batch_size': 81, 'attention_heads': 16, 'hidden_dimension': 82, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5298721420781565, 'global_pooling': 'mean', 'learning_rate': 0.0011357778740889164, 'weight_decay': 2.4052954158721383e-05, 'beta_0': 0.8512062535588305, 'beta_1': 0.9944429221944314, 'epsilon': 2.5319689760108292e-05, 'balanced_loss': False, 'epochs': 175, 'early_stopping_patience': 16, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 18:33:06,226] Trial 159 finished with value: 0.938657655766402 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7858260589605548, 'batch_size': 37, 'attention_heads': 10, 'hidden_dimension': 104, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3129587950712135, 'global_pooling': 'mean', 'learning_rate': 0.0006421875172016477, 'weight_decay': 1.2574375904345161e-05, 'beta_0': 0.8632759336955383, 'beta_1': 0.9930930439822596, 'epsilon': 1.1614122696958458e-05, 'balanced_loss': False, 'epochs': 182, 'early_stopping_patience': 15, 'plateau_patience': 12, 'plateau_divider': 6}. Best is trial 103 with value: 0.9641397920921474.
CUDA out of memory. Tried to allocate 4.27 GiB. GPU 0 has a total capacity of 44.56 GiB of which 1.71 GiB is free. Including non-PyTorch memory, this process has 42.85 GiB memory in use. Of the allocated memory 37.92 GiB is allocated by PyTorch, and 3.78 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-11-29 18:38:35,568] Trial 160 finished with value: -1.0 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6999086644983767, 'batch_size': 165, 'attention_heads': 16, 'hidden_dimension': 141, 'number_of_hidden_layers': 1, 'dropout_rate': 0.32159282043215737, 'global_pooling': 'mean', 'learning_rate': 0.00031585992575901636, 'weight_decay': 1.7076404499713537e-05, 'beta_0': 0.8081654620051456, 'beta_1': 0.9811827415612769, 'epsilon': 3.1794302358887955e-05, 'balanced_loss': False, 'epochs': 187, 'early_stopping_patience': 17, 'plateau_patience': 12, 'plateau_divider': 10}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 18:48:54,979] Trial 161 finished with value: 0.9496763791980352 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6891484996710585, 'batch_size': 61, 'attention_heads': 15, 'hidden_dimension': 124, 'number_of_hidden_layers': 1, 'dropout_rate': 0.45814797974830435, 'global_pooling': 'mean', 'learning_rate': 0.00018210375873053698, 'weight_decay': 0.00012850698169407186, 'beta_0': 0.8564228021639897, 'beta_1': 0.9936854305135283, 'epsilon': 1.3111298228278794e-06, 'balanced_loss': False, 'epochs': 195, 'early_stopping_patience': 15, 'plateau_patience': 11, 'plateau_divider': 5}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 18:59:21,889] Trial 162 finished with value: 0.9355800407401131 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.6788422401158982, 'batch_size': 50, 'attention_heads': 11, 'hidden_dimension': 130, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3423322459108793, 'global_pooling': 'mean', 'learning_rate': 0.00045610378004051283, 'weight_decay': 5.310769209001885e-05, 'beta_0': 0.871319869383335, 'beta_1': 0.9858659799391807, 'epsilon': 1.830121908848152e-05, 'balanced_loss': False, 'epochs': 198, 'early_stopping_patience': 23, 'plateau_patience': 12, 'plateau_divider': 7}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 19:09:04,899] Trial 163 finished with value: 0.9472813320226583 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7147199617357557, 'batch_size': 46, 'attention_heads': 16, 'hidden_dimension': 116, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3079429349774455, 'global_pooling': 'mean', 'learning_rate': 0.00037616217290460636, 'weight_decay': 3.520069236241792e-05, 'beta_0': 0.8536081491512009, 'beta_1': 0.9925656256292764, 'epsilon': 1.893514703353881e-05, 'balanced_loss': False, 'epochs': 200, 'early_stopping_patience': 16, 'plateau_patience': 12, 'plateau_divider': 5}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 19:19:22,104] Trial 164 finished with value: 0.9555989269217389 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7376617797571464, 'batch_size': 43, 'attention_heads': 16, 'hidden_dimension': 115, 'number_of_hidden_layers': 1, 'dropout_rate': 0.31497865477434833, 'global_pooling': 'mean', 'learning_rate': 0.00026892350725569964, 'weight_decay': 3.243487561985882e-05, 'beta_0': 0.8521840026926333, 'beta_1': 0.9922908875112019, 'epsilon': 1.555713966409704e-05, 'balanced_loss': False, 'epochs': 197, 'early_stopping_patience': 16, 'plateau_patience': 13, 'plateau_divider': 4}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 19:29:37,871] Trial 165 finished with value: 0.9519788433595383 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7578501980793338, 'batch_size': 41, 'attention_heads': 16, 'hidden_dimension': 152, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3351076952684737, 'global_pooling': 'mean', 'learning_rate': 0.00024459799658564695, 'weight_decay': 2.9391191831923925e-05, 'beta_0': 0.8500114992450334, 'beta_1': 0.9918999360801447, 'epsilon': 1.3969647542525768e-05, 'balanced_loss': False, 'epochs': 192, 'early_stopping_patience': 15, 'plateau_patience': 14, 'plateau_divider': 4}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 19:42:31,503] Trial 166 finished with value: 0.949722780937692 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7396335150657044, 'batch_size': 90, 'attention_heads': 16, 'hidden_dimension': 146, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3188395463631233, 'global_pooling': 'mean', 'learning_rate': 0.0002900751028902827, 'weight_decay': 2.1765940779008616e-05, 'beta_0': 0.8554380793331029, 'beta_1': 0.9923537985283715, 'epsilon': 8.224829517126115e-06, 'balanced_loss': False, 'epochs': 131, 'early_stopping_patience': 17, 'plateau_patience': 13, 'plateau_divider': 4}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 19:52:04,516] Trial 167 finished with value: 0.9509412007765156 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7219472059464929, 'batch_size': 56, 'attention_heads': 15, 'hidden_dimension': 110, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3246851116514267, 'global_pooling': 'mean', 'learning_rate': 0.00020879677513162994, 'weight_decay': 2.5298729831723377e-05, 'beta_0': 0.8060741683319463, 'beta_1': 0.9900358234457608, 'epsilon': 1.6073471487278283e-05, 'balanced_loss': False, 'epochs': 185, 'early_stopping_patience': 16, 'plateau_patience': 13, 'plateau_divider': 4}. Best is trial 103 with value: 0.9641397920921474.
CUDA out of memory. Tried to allocate 4.31 GiB. GPU 0 has a total capacity of 44.56 GiB of which 712.69 MiB is free. Including non-PyTorch memory, this process has 43.86 GiB memory in use. Of the allocated memory 38.10 GiB is allocated by PyTorch, and 4.61 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-11-29 19:58:35,297] Trial 168 finished with value: -1.0 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6889144245729887, 'batch_size': 156, 'attention_heads': 16, 'hidden_dimension': 118, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3003395013518489, 'global_pooling': 'mean', 'learning_rate': 0.00015616242995235706, 'weight_decay': 1.4361126963069222e-05, 'beta_0': 0.8103521599946663, 'beta_1': 0.9928673235731245, 'epsilon': 1.0626394078214537e-05, 'balanced_loss': False, 'epochs': 195, 'early_stopping_patience': 16, 'plateau_patience': 11, 'plateau_divider': 3}. Best is trial 103 with value: 0.9641397920921474.
CUDA out of memory. Tried to allocate 4.66 GiB. GPU 0 has a total capacity of 44.56 GiB of which 2.09 GiB is free. Including non-PyTorch memory, this process has 42.46 GiB memory in use. Of the allocated memory 41.08 GiB is allocated by PyTorch, and 234.04 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-11-29 20:04:01,256] Trial 169 finished with value: -1.0 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7337657525114207, 'batch_size': 214, 'attention_heads': 16, 'hidden_dimension': 135, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3136986158127444, 'global_pooling': 'mean', 'learning_rate': 0.0005121511804658729, 'weight_decay': 3.3745828515518104e-05, 'beta_0': 0.8526039056717911, 'beta_1': 0.9914951323318535, 'epsilon': 2.3299028121255143e-05, 'balanced_loss': False, 'epochs': 190, 'early_stopping_patience': 21, 'plateau_patience': 14, 'plateau_divider': 10}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 20:11:53,814] Trial 170 finished with value: 0.9501722091891363 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7062880570190815, 'batch_size': 72, 'attention_heads': 10, 'hidden_dimension': 95, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5477473510094332, 'global_pooling': 'mean', 'learning_rate': 0.0003255989126459988, 'weight_decay': 4.1744227618498884e-05, 'beta_0': 0.8579984617880787, 'beta_1': 0.9936443203402381, 'epsilon': 1.2807444790656966e-05, 'balanced_loss': False, 'epochs': 198, 'early_stopping_patience': 17, 'plateau_patience': 13, 'plateau_divider': 4}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 20:22:38,035] Trial 171 finished with value: 0.536503737800641 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6976763971323389, 'batch_size': 34, 'attention_heads': 15, 'hidden_dimension': 156, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4533192906327192, 'global_pooling': 'max', 'learning_rate': 0.02390078730774726, 'weight_decay': 1.9161048753689242e-05, 'beta_0': 0.8890323145268471, 'beta_1': 0.990821142533819, 'epsilon': 2.9826424659226802e-05, 'balanced_loss': True, 'epochs': 145, 'early_stopping_patience': 16, 'plateau_patience': 10, 'plateau_divider': 3}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 20:31:22,101] Trial 172 finished with value: 0.9581137282981639 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6742990572445496, 'batch_size': 51, 'attention_heads': 9, 'hidden_dimension': 78, 'number_of_hidden_layers': 1, 'dropout_rate': 0.48405869887547803, 'global_pooling': 'mean', 'learning_rate': 0.0007294038781858821, 'weight_decay': 2.8055141445857012e-05, 'beta_0': 0.860056029048426, 'beta_1': 0.9932728752717545, 'epsilon': 2.125926040812501e-05, 'balanced_loss': False, 'epochs': 193, 'early_stopping_patience': 24, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 20:39:28,789] Trial 173 finished with value: 0.9450578323625183 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6644201443377251, 'batch_size': 44, 'attention_heads': 9, 'hidden_dimension': 77, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5241365947051094, 'global_pooling': 'mean', 'learning_rate': 0.0008149234698629272, 'weight_decay': 2.6776255069901574e-05, 'beta_0': 0.8586831685690444, 'beta_1': 0.9932742659743894, 'epsilon': 2.220220836659151e-05, 'balanced_loss': False, 'epochs': 193, 'early_stopping_patience': 25, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 20:48:12,102] Trial 174 finished with value: 0.9503016243149813 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6730239784203486, 'batch_size': 51, 'attention_heads': 8, 'hidden_dimension': 90, 'number_of_hidden_layers': 1, 'dropout_rate': 0.49287916152747124, 'global_pooling': 'mean', 'learning_rate': 0.0006526542845878056, 'weight_decay': 2.1665843109048102e-05, 'beta_0': 0.8641863412389792, 'beta_1': 0.9938517462240039, 'epsilon': 1.6832309663582256e-05, 'balanced_loss': False, 'epochs': 200, 'early_stopping_patience': 24, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 103 with value: 0.9641397920921474.
