[I 2024-11-29 03:46:58,434] Using an existing study with name 'R8-GATv2-google-bert-bert-base-uncased-Grouped-Layer-wise_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (639 > 512). Running this sequence through the model will result in indexing errors
[I 2024-11-29 04:04:33,883] Trial 68 finished with value: 0.9353927757657451 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7068767904277696, 'batch_size': 52, 'attention_heads': 15, 'hidden_dimension': 137, 'number_of_hidden_layers': 3, 'dropout_rate': 0.38542526970605906, 'global_pooling': 'mean', 'learning_rate': 0.0004314091959212643, 'weight_decay': 2.9824509053239824e-06, 'beta_0': 0.838044325420495, 'beta_1': 0.9961600543458262, 'epsilon': 3.4780860728044645e-06, 'balanced_loss': False, 'epochs': 84, 'early_stopping_patience': 16, 'plateau_patience': 12, 'plateau_divider': 9}. Best is trial 41 with value: 0.9629554078946512.
CUDA out of memory. Tried to allocate 3.47 GiB. GPU 0 has a total capacity of 44.56 GiB of which 1.44 GiB is free. Including non-PyTorch memory, this process has 43.11 GiB memory in use. Of the allocated memory 38.72 GiB is allocated by PyTorch, and 3.24 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-11-29 05:20:21,152] Trial 76 finished with value: -1.0 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.650832267289565, 'batch_size': 100, 'attention_heads': 13, 'hidden_dimension': 164, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4624940131311962, 'global_pooling': 'max', 'learning_rate': 2.599626205287101e-05, 'weight_decay': 7.827552642966826e-06, 'beta_0': 0.8156162008287654, 'beta_1': 0.9921753180287713, 'epsilon': 1.9541313965789783e-05, 'balanced_loss': False, 'epochs': 112, 'early_stopping_patience': 17, 'plateau_patience': 12, 'plateau_divider': 10}. Best is trial 41 with value: 0.9629554078946512.
[I 2024-11-29 05:28:10,178] Trial 77 finished with value: 0.7301919588671847 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6736407778398592, 'batch_size': 80, 'attention_heads': 15, 'hidden_dimension': 64, 'number_of_hidden_layers': 1, 'dropout_rate': 0.49328126449854315, 'global_pooling': 'mean', 'learning_rate': 0.05340359171267033, 'weight_decay': 1.2075405014551868e-05, 'beta_0': 0.8126762988478742, 'beta_1': 0.9932510185312983, 'epsilon': 1.3070793201532253e-05, 'balanced_loss': False, 'epochs': 104, 'early_stopping_patience': 20, 'plateau_patience': 13, 'plateau_divider': 9}. Best is trial 41 with value: 0.9629554078946512.
[I 2024-11-29 05:34:53,791] Trial 78 finished with value: 0.7320112461014984 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9934422301948085, 'batch_size': 69, 'attention_heads': 16, 'hidden_dimension': 150, 'number_of_hidden_layers': 2, 'dropout_rate': 0.36431296890751347, 'global_pooling': 'mean', 'learning_rate': 0.001888668911580101, 'weight_decay': 1.7162482231456728e-05, 'beta_0': 0.8065855608388992, 'beta_1': 0.995215594371845, 'epsilon': 7.139547789385771e-05, 'balanced_loss': False, 'epochs': 99, 'early_stopping_patience': 16, 'plateau_patience': 10, 'plateau_divider': 9}. Best is trial 41 with value: 0.9629554078946512.
[I 2024-11-29 05:43:26,853] Trial 79 finished with value: 0.9408849582956725 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6900940108791095, 'batch_size': 60, 'attention_heads': 5, 'hidden_dimension': 113, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4296774986019292, 'global_pooling': 'mean', 'learning_rate': 0.000658675466699394, 'weight_decay': 4.527984321786945e-06, 'beta_0': 0.8179800496221824, 'beta_1': 0.9989602536131892, 'epsilon': 3.102875951342031e-06, 'balanced_loss': False, 'epochs': 109, 'early_stopping_patience': 11, 'plateau_patience': 25, 'plateau_divider': 8}. Best is trial 41 with value: 0.9629554078946512.
[I 2024-11-29 05:51:21,390] Trial 80 finished with value: 0.923325415409133 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6647778126476446, 'batch_size': 55, 'attention_heads': 15, 'hidden_dimension': 140, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5152398202256283, 'global_pooling': 'sum', 'learning_rate': 0.000802853714260912, 'weight_decay': 5.887166856072232e-06, 'beta_0': 0.8091995965935181, 'beta_1': 0.9811711522292608, 'epsilon': 6.580736688702411e-06, 'balanced_loss': True, 'epochs': 119, 'early_stopping_patience': 18, 'plateau_patience': 11, 'plateau_divider': 10}. Best is trial 41 with value: 0.9629554078946512.
[I 2024-11-29 06:05:16,395] Trial 81 finished with value: 0.92023846296802 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.8862914380655081, 'batch_size': 135, 'attention_heads': 16, 'hidden_dimension': 143, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4121856962524659, 'global_pooling': 'mean', 'learning_rate': 0.0027311808570719426, 'weight_decay': 5.8953243517964836e-05, 'beta_0': 0.8220337576051484, 'beta_1': 0.9928986247350897, 'epsilon': 4.487457970689432e-06, 'balanced_loss': False, 'epochs': 134, 'early_stopping_patience': 21, 'plateau_patience': 14, 'plateau_divider': 6}. Best is trial 41 with value: 0.9629554078946512.
[I 2024-11-29 06:19:26,140] Trial 82 finished with value: 0.9480420147127988 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6844616691645689, 'batch_size': 91, 'attention_heads': 16, 'hidden_dimension': 176, 'number_of_hidden_layers': 1, 'dropout_rate': 0.44480732855971766, 'global_pooling': 'mean', 'learning_rate': 0.00018400081668283323, 'weight_decay': 1.968802449298999e-05, 'beta_0': 0.8230406259051626, 'beta_1': 0.9943399379805978, 'epsilon': 1.1642073601219569e-05, 'balanced_loss': False, 'epochs': 122, 'early_stopping_patience': 17, 'plateau_patience': 14, 'plateau_divider': 10}. Best is trial 41 with value: 0.9629554078946512.
[I 2024-11-29 06:32:02,467] Trial 83 finished with value: 0.9420263704521626 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7014401203371331, 'batch_size': 107, 'attention_heads': 15, 'hidden_dimension': 154, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4646663960316107, 'global_pooling': 'mean', 'learning_rate': 0.0004533249601699661, 'weight_decay': 2.7870265090733963e-05, 'beta_0': 0.826135680029435, 'beta_1': 0.9916193544106205, 'epsilon': 1.36129691498631e-05, 'balanced_loss': False, 'epochs': 115, 'early_stopping_patience': 17, 'plateau_patience': 12, 'plateau_divider': 10}. Best is trial 41 with value: 0.9629554078946512.
[I 2024-11-29 06:44:10,500] Trial 84 finished with value: 0.9523829050528327 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.673172717448433, 'batch_size': 85, 'attention_heads': 16, 'hidden_dimension': 134, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4012421337537343, 'global_pooling': 'mean', 'learning_rate': 0.0002916366871846363, 'weight_decay': 1.52361880398002e-05, 'beta_0': 0.8040010735135805, 'beta_1': 0.993120955913842, 'epsilon': 1.0155355750545914e-05, 'balanced_loss': False, 'epochs': 185, 'early_stopping_patience': 18, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 41 with value: 0.9629554078946512.
[I 2024-11-29 06:54:42,567] Trial 85 finished with value: 0.9553929700683272 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6581162893521924, 'batch_size': 85, 'attention_heads': 11, 'hidden_dimension': 121, 'number_of_hidden_layers': 1, 'dropout_rate': 0.40001408012163053, 'global_pooling': 'mean', 'learning_rate': 0.00034523225912081216, 'weight_decay': 1.029842870381955e-05, 'beta_0': 0.8043057499320869, 'beta_1': 0.9928085713583021, 'epsilon': 9.186929449873528e-06, 'balanced_loss': False, 'epochs': 148, 'early_stopping_patience': 19, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 41 with value: 0.9629554078946512.
[I 2024-11-29 07:04:29,614] Trial 86 finished with value: 0.9481571463353736 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.671464253623718, 'batch_size': 84, 'attention_heads': 11, 'hidden_dimension': 119, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4383174164940091, 'global_pooling': 'mean', 'learning_rate': 0.0003136831124030991, 'weight_decay': 1.055204889740607e-05, 'beta_0': 0.8038885474511676, 'beta_1': 0.993740999571776, 'epsilon': 9.373086895292118e-06, 'balanced_loss': False, 'epochs': 172, 'early_stopping_patience': 19, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 41 with value: 0.9629554078946512.
[I 2024-11-29 07:14:21,073] Trial 87 finished with value: 0.9456142077611253 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6826261763330418, 'batch_size': 95, 'attention_heads': 12, 'hidden_dimension': 91, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3964094718252508, 'global_pooling': 'mean', 'learning_rate': 0.00011388381443498879, 'weight_decay': 1.5024173057672297e-05, 'beta_0': 0.8050380030098865, 'beta_1': 0.9926454573463463, 'epsilon': 7.296119168984579e-06, 'balanced_loss': False, 'epochs': 180, 'early_stopping_patience': 19, 'plateau_patience': 13, 'plateau_divider': 9}. Best is trial 41 with value: 0.9629554078946512.
[I 2024-11-29 07:26:02,165] Trial 88 finished with value: 0.9523536751693331 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6585902863838172, 'batch_size': 115, 'attention_heads': 11, 'hidden_dimension': 134, 'number_of_hidden_layers': 1, 'dropout_rate': 0.421435468765262, 'global_pooling': 'mean', 'learning_rate': 0.00035377325179126654, 'weight_decay': 8.227286882924425e-06, 'beta_0': 0.8002207547810873, 'beta_1': 0.9920538076641167, 'epsilon': 1.814436092569479e-05, 'balanced_loss': False, 'epochs': 157, 'early_stopping_patience': 20, 'plateau_patience': 14, 'plateau_divider': 10}. Best is trial 41 with value: 0.9629554078946512.
[I 2024-11-29 07:36:07,480] Trial 89 finished with value: 0.9584976146480558 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7153148106387351, 'batch_size': 116, 'attention_heads': 11, 'hidden_dimension': 134, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4025840100670966, 'global_pooling': 'mean', 'learning_rate': 0.0005454453295809249, 'weight_decay': 6.513452910936554e-06, 'beta_0': 0.8001874397001971, 'beta_1': 0.9910024064947142, 'epsilon': 1.7754353372743356e-05, 'balanced_loss': False, 'epochs': 197, 'early_stopping_patience': 20, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 41 with value: 0.9629554078946512.
[I 2024-11-29 07:43:56,730] Trial 90 finished with value: 0.9496775621940143 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7154571046289815, 'batch_size': 127, 'attention_heads': 7, 'hidden_dimension': 126, 'number_of_hidden_layers': 1, 'dropout_rate': 0.40239166806926185, 'global_pooling': 'mean', 'learning_rate': 0.0012559659219429713, 'weight_decay': 6.427866451896479e-06, 'beta_0': 0.8024588935790877, 'beta_1': 0.9907962727573034, 'epsilon': 2.234388826264084e-05, 'balanced_loss': False, 'epochs': 195, 'early_stopping_patience': 18, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 41 with value: 0.9629554078946512.
The selected strides are greater or equal to the total chunk size.
[I 2024-11-29 07:43:57,971] Trial 91 finished with value: -1.0 and parameters: {'left_stride': 256, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7393145918553997, 'batch_size': 105, 'attention_heads': 10, 'hidden_dimension': 128, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3689478102244502, 'global_pooling': 'max', 'learning_rate': 0.0005640500217529891, 'weight_decay': 3.5416130920556913e-06, 'beta_0': 0.807224633146344, 'beta_1': 0.990448617214954, 'epsilon': 4.973209845741657e-06, 'balanced_loss': False, 'epochs': 189, 'early_stopping_patience': 20, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 41 with value: 0.9629554078946512.
[I 2024-11-29 07:55:03,760] Trial 92 finished with value: 0.9397785787357882 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6613971236853915, 'batch_size': 115, 'attention_heads': 11, 'hidden_dimension': 137, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4141679428891149, 'global_pooling': 'mean', 'learning_rate': 0.00033486666579744107, 'weight_decay': 8.322755670797378e-06, 'beta_0': 0.8000328751300352, 'beta_1': 0.9920052544146218, 'epsilon': 1.7191910645255467e-05, 'balanced_loss': False, 'epochs': 200, 'early_stopping_patience': 20, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 41 with value: 0.9629554078946512.
[I 2024-11-29 08:04:33,776] Trial 93 finished with value: 0.9386240339185373 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6905013347644575, 'batch_size': 111, 'attention_heads': 11, 'hidden_dimension': 106, 'number_of_hidden_layers': 1, 'dropout_rate': 0.35227255802889634, 'global_pooling': 'mean', 'learning_rate': 0.0008506135345979788, 'weight_decay': 1.043737125854996e-05, 'beta_0': 0.8000295702270559, 'beta_1': 0.9894986609824871, 'epsilon': 1.0434892750514648e-05, 'balanced_loss': False, 'epochs': 160, 'early_stopping_patience': 21, 'plateau_patience': 14, 'plateau_divider': 10}. Best is trial 41 with value: 0.9629554078946512.
[I 2024-11-29 08:14:34,844] Trial 94 finished with value: 0.9482805901895767 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7070310710005959, 'batch_size': 120, 'attention_heads': 10, 'hidden_dimension': 133, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4257205658100414, 'global_pooling': 'mean', 'learning_rate': 0.0002646487007507621, 'weight_decay': 4.6660631157893985e-06, 'beta_0': 0.8041836115679939, 'beta_1': 0.991128572868264, 'epsilon': 1.766237775167432e-05, 'balanced_loss': False, 'epochs': 143, 'early_stopping_patience': 19, 'plateau_patience': 14, 'plateau_divider': 10}. Best is trial 41 with value: 0.9629554078946512.
[I 2024-11-29 08:23:42,590] Trial 95 finished with value: 0.9364733286390393 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7251583411335885, 'batch_size': 101, 'attention_heads': 9, 'hidden_dimension': 146, 'number_of_hidden_layers': 1, 'dropout_rate': 0.45264727713526587, 'global_pooling': 'mean', 'learning_rate': 0.0005609950463424083, 'weight_decay': 1.3393451321086994e-05, 'beta_0': 0.802303466603658, 'beta_1': 0.9914956295881311, 'epsilon': 3.167061045566613e-05, 'balanced_loss': False, 'epochs': 155, 'early_stopping_patience': 18, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 41 with value: 0.9629554078946512.
[I 2024-11-29 08:35:01,251] Trial 96 finished with value: 0.9380735793105797 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6715020988327899, 'batch_size': 127, 'attention_heads': 12, 'hidden_dimension': 121, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3988741287531437, 'global_pooling': 'mean', 'learning_rate': 0.00021141407433559111, 'weight_decay': 2.315232756750808e-05, 'beta_0': 0.8108783704396254, 'beta_1': 0.9922338524851018, 'epsilon': 1.2385930962093691e-05, 'balanced_loss': False, 'epochs': 189, 'early_stopping_patience': 20, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 41 with value: 0.9629554078946512.
[I 2024-11-29 08:45:24,028] Trial 97 finished with value: 0.9446786477542869 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6569787921467196, 'batch_size': 140, 'attention_heads': 11, 'hidden_dimension': 113, 'number_of_hidden_layers': 1, 'dropout_rate': 0.37801212295894104, 'global_pooling': 'mean', 'learning_rate': 0.00043698516962477433, 'weight_decay': 6.470867615878606e-06, 'beta_0': 0.8077880468906351, 'beta_1': 0.9888062743904286, 'epsilon': 2.550213992799721e-05, 'balanced_loss': False, 'epochs': 178, 'early_stopping_patience': 19, 'plateau_patience': 14, 'plateau_divider': 10}. Best is trial 41 with value: 0.9629554078946512.
[I 2024-11-29 08:53:53,682] Trial 98 finished with value: 0.9362437416992457 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6963517268607177, 'batch_size': 88, 'attention_heads': 8, 'hidden_dimension': 142, 'number_of_hidden_layers': 0, 'dropout_rate': 0.410496444622248, 'global_pooling': 'mean', 'learning_rate': 0.000153833922780729, 'weight_decay': 9.425021246593337e-06, 'beta_0': 0.8133915884318438, 'beta_1': 0.9899533838118705, 'epsilon': 8.069930306377712e-06, 'balanced_loss': False, 'epochs': 164, 'early_stopping_patience': 21, 'plateau_patience': 13, 'plateau_divider': 9}. Best is trial 41 with value: 0.9629554078946512.
[I 2024-11-29 09:07:59,007] Trial 99 finished with value: 0.9375656275023692 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6788455847674952, 'batch_size': 96, 'attention_heads': 16, 'hidden_dimension': 132, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4188720494546313, 'global_pooling': 'mean', 'learning_rate': 0.0003495839126482244, 'weight_decay': 1.725127825798773e-05, 'beta_0': 0.8043866501285799, 'beta_1': 0.9930491206847696, 'epsilon': 5.673293220018444e-06, 'balanced_loss': True, 'epochs': 153, 'early_stopping_patience': 18, 'plateau_patience': 12, 'plateau_divider': 10}. Best is trial 41 with value: 0.9629554078946512.
[I 2024-11-29 09:18:38,329] Trial 100 finished with value: 0.9417917384412775 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.7011996867191236, 'batch_size': 36, 'attention_heads': 11, 'hidden_dimension': 160, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3905714881193614, 'global_pooling': 'sum', 'learning_rate': 0.0006547852458503892, 'weight_decay': 8.271621247392867e-06, 'beta_0': 0.8064014352872224, 'beta_1': 0.9934753441784439, 'epsilon': 1.0090658901217435e-05, 'balanced_loss': False, 'epochs': 197, 'early_stopping_patience': 20, 'plateau_patience': 16, 'plateau_divider': 9}. Best is trial 41 with value: 0.9629554078946512.
CUDA out of memory. Tried to allocate 2.10 GiB. GPU 0 has a total capacity of 44.56 GiB of which 1.32 GiB is free. Including non-PyTorch memory, this process has 43.24 GiB memory in use. Of the allocated memory 39.92 GiB is allocated by PyTorch, and 2.17 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
