Some weights of RobertaModel were not initialized from the model checkpoint at FacebookAI/roberta-base and are newly initialized: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
[I 2024-12-03 05:06:48,529] Using an existing study with name 'R8-GATv2-FacebookAI-roberta-base-Grouped-No_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (655 > 512). Running this sequence through the model will result in indexing errors
[I 2024-12-03 05:13:53,097] Trial 95 finished with value: 0.9518561551162366 and parameters: {'left_stride': 256, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.6659749194382507, 'batch_size': 40, 'attention_heads': 5, 'hidden_dimension': 145, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3192967402249076, 'global_pooling': 'max', 'learning_rate': 0.0008687692785222349, 'weight_decay': 7.572448780582574e-06, 'beta_0': 0.8427054006322143, 'beta_1': 0.982280386859565, 'epsilon': 3.5945150320181063e-07, 'balanced_loss': True, 'epochs': 97, 'early_stopping_patience': 17, 'plateau_patience': 20, 'plateau_divider': 6}. Best is trial 61 with value: 0.9599624971991361.
CUDA out of memory. Tried to allocate 4.40 GiB. GPU 0 has a total capacity of 44.56 GiB of which 116.69 MiB is free. Including non-PyTorch memory, this process has 44.44 GiB memory in use. Of the allocated memory 37.33 GiB is allocated by PyTorch, and 5.96 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-12-03 06:58:35,455] Trial 106 finished with value: -1.0 and parameters: {'left_stride': 256, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6508522509525779, 'batch_size': 240, 'attention_heads': 15, 'hidden_dimension': 113, 'number_of_hidden_layers': 0, 'dropout_rate': 0.37723735036835254, 'global_pooling': 'max', 'learning_rate': 0.0007707355689866708, 'weight_decay': 1.5788063759726355e-05, 'beta_0': 0.877101762310593, 'beta_1': 0.9861349367335955, 'epsilon': 1.341196069606771e-06, 'balanced_loss': False, 'epochs': 70, 'early_stopping_patience': 17, 'plateau_patience': 19, 'plateau_divider': 9}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 07:06:00,064] Trial 107 finished with value: 0.9370735633199052 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.6622387028166627, 'batch_size': 64, 'attention_heads': 6, 'hidden_dimension': 105, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4075645531024752, 'global_pooling': 'max', 'learning_rate': 0.00027762558768528535, 'weight_decay': 3.927017691447802e-06, 'beta_0': 0.8545210123846858, 'beta_1': 0.9831827834224691, 'epsilon': 4.098943158336372e-07, 'balanced_loss': False, 'epochs': 172, 'early_stopping_patience': 16, 'plateau_patience': 18, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 07:14:03,149] Trial 108 finished with value: 0.9419027285290755 and parameters: {'left_stride': 256, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6657697355386197, 'batch_size': 107, 'attention_heads': 7, 'hidden_dimension': 74, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4000342436510031, 'global_pooling': 'mean', 'learning_rate': 0.00019358290269949952, 'weight_decay': 1.3949990883567966e-06, 'beta_0': 0.8321232893836483, 'beta_1': 0.9806166411324685, 'epsilon': 5.423769554600589e-07, 'balanced_loss': False, 'epochs': 114, 'early_stopping_patience': 18, 'plateau_patience': 19, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 07:25:15,872] Trial 109 finished with value: 0.9451020065893901 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.7058997189106265, 'batch_size': 142, 'attention_heads': 11, 'hidden_dimension': 139, 'number_of_hidden_layers': 0, 'dropout_rate': 0.31492383581447264, 'global_pooling': 'max', 'learning_rate': 0.00014427853158463885, 'weight_decay': 2.2344196744122765e-06, 'beta_0': 0.8585467409278331, 'beta_1': 0.987509735538255, 'epsilon': 8.90708218776925e-06, 'balanced_loss': False, 'epochs': 143, 'early_stopping_patience': 15, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 07:32:29,271] Trial 110 finished with value: 0.9263526423287373 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6963304660210552, 'batch_size': 161, 'attention_heads': 5, 'hidden_dimension': 126, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3327369942258746, 'global_pooling': 'sum', 'learning_rate': 0.00023177108122514407, 'weight_decay': 5.720554018116866e-06, 'beta_0': 0.8422639993000016, 'beta_1': 0.9908950802493981, 'epsilon': 9.443072997934893e-07, 'balanced_loss': False, 'epochs': 136, 'early_stopping_patience': 20, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 07:38:07,853] Trial 111 finished with value: 0.9302782165306991 and parameters: {'left_stride': 256, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9425577042513008, 'batch_size': 149, 'attention_heads': 4, 'hidden_dimension': 98, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3654244083330695, 'global_pooling': 'max', 'learning_rate': 0.00031063446752754186, 'weight_decay': 2.656259068478465e-06, 'beta_0': 0.8521747533472558, 'beta_1': 0.9903098310351296, 'epsilon': 1.6096274772524075e-07, 'balanced_loss': False, 'epochs': 185, 'early_stopping_patience': 21, 'plateau_patience': 18, 'plateau_divider': 9}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 07:45:09,958] Trial 112 finished with value: 0.9384210687770794 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7255640740755227, 'batch_size': 117, 'attention_heads': 7, 'hidden_dimension': 87, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4463519675185093, 'global_pooling': 'max', 'learning_rate': 0.00046563332573362293, 'weight_decay': 1.7647841962722672e-06, 'beta_0': 0.880890515153364, 'beta_1': 0.9913753720348202, 'epsilon': 2.2616488610604466e-06, 'balanced_loss': False, 'epochs': 150, 'early_stopping_patience': 25, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 07:52:00,146] Trial 113 finished with value: 0.9430616208762244 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7150628871989865, 'batch_size': 69, 'attention_heads': 7, 'hidden_dimension': 92, 'number_of_hidden_layers': 0, 'dropout_rate': 0.43066360031318535, 'global_pooling': 'max', 'learning_rate': 0.0010274083854150665, 'weight_decay': 2.9010320557698748e-06, 'beta_0': 0.8747102842500951, 'beta_1': 0.9921467148830407, 'epsilon': 2.1580177588587006e-06, 'balanced_loss': False, 'epochs': 91, 'early_stopping_patience': 24, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 07:59:17,140] Trial 114 finished with value: 0.9479078179576576 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.7405181031759939, 'batch_size': 134, 'attention_heads': 10, 'hidden_dimension': 84, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3230791309226753, 'global_pooling': 'max', 'learning_rate': 0.000729087030526837, 'weight_decay': 3.5899615943017717e-06, 'beta_0': 0.8635154039549092, 'beta_1': 0.9888297165366754, 'epsilon': 4.5634078920916765e-06, 'balanced_loss': False, 'epochs': 139, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 08:05:29,719] Trial 115 finished with value: 0.9503720182510941 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.6574175071875533, 'batch_size': 93, 'attention_heads': 8, 'hidden_dimension': 68, 'number_of_hidden_layers': 0, 'dropout_rate': 0.30830250499539796, 'global_pooling': 'max', 'learning_rate': 0.002840140475993909, 'weight_decay': 2.2787145969906837e-05, 'beta_0': 0.8668333938255788, 'beta_1': 0.989448155207921, 'epsilon': 2.7696362960728737e-06, 'balanced_loss': False, 'epochs': 169, 'early_stopping_patience': 16, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 08:16:31,045] Trial 116 finished with value: 0.9390075400039095 and parameters: {'left_stride': 64, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6501387546216995, 'batch_size': 146, 'attention_heads': 7, 'hidden_dimension': 132, 'number_of_hidden_layers': 1, 'dropout_rate': 0.42162167674769424, 'global_pooling': 'max', 'learning_rate': 0.004655072392799684, 'weight_decay': 4.274645938555075e-06, 'beta_0': 0.8908013145842777, 'beta_1': 0.9906080538124934, 'epsilon': 1.1219372318019476e-06, 'balanced_loss': False, 'epochs': 129, 'early_stopping_patience': 24, 'plateau_patience': 23, 'plateau_divider': 4}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 08:24:00,662] Trial 117 finished with value: 0.9460651651944788 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6817134779813281, 'batch_size': 80, 'attention_heads': 6, 'hidden_dimension': 108, 'number_of_hidden_layers': 0, 'dropout_rate': 0.35348161395395505, 'global_pooling': 'max', 'learning_rate': 0.00036845610948918337, 'weight_decay': 6.83112274083524e-06, 'beta_0': 0.8866820474600368, 'beta_1': 0.9901148151855708, 'epsilon': 1.4431088046777265e-06, 'balanced_loss': False, 'epochs': 155, 'early_stopping_patience': 25, 'plateau_patience': 15, 'plateau_divider': 9}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 08:31:05,783] Trial 118 finished with value: 0.946030078582388 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6738648029173866, 'batch_size': 157, 'attention_heads': 5, 'hidden_dimension': 115, 'number_of_hidden_layers': 0, 'dropout_rate': 0.31552625619274943, 'global_pooling': 'max', 'learning_rate': 0.0005889238304090428, 'weight_decay': 1.9840686382986576e-06, 'beta_0': 0.870455147358509, 'beta_1': 0.9849673132919674, 'epsilon': 8.249588300406477e-07, 'balanced_loss': True, 'epochs': 90, 'early_stopping_patience': 17, 'plateau_patience': 19, 'plateau_divider': 7}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 08:43:04,515] Trial 119 finished with value: 0.9231967031763768 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.688783266592319, 'batch_size': 153, 'attention_heads': 7, 'hidden_dimension': 123, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4703024725659252, 'global_pooling': 'max', 'learning_rate': 0.0001032085357742323, 'weight_decay': 3.0874770532371016e-06, 'beta_0': 0.8939489605609482, 'beta_1': 0.9844469144409363, 'epsilon': 6.748711149050315e-07, 'balanced_loss': False, 'epochs': 150, 'early_stopping_patience': 18, 'plateau_patience': 11, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 08:53:23,276] Trial 120 finished with value: 0.9374756623509852 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.6660341292816351, 'batch_size': 127, 'attention_heads': 6, 'hidden_dimension': 103, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4602794668678763, 'global_pooling': 'max', 'learning_rate': 6.414771176453637e-05, 'weight_decay': 1.1736422768495477e-06, 'beta_0': 0.8624979196154475, 'beta_1': 0.9833605414528638, 'epsilon': 4.899563163872606e-07, 'balanced_loss': False, 'epochs': 95, 'early_stopping_patience': 16, 'plateau_patience': 18, 'plateau_divider': 10}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 09:02:32,261] Trial 121 finished with value: 0.9451437829754946 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6577229005492295, 'batch_size': 97, 'attention_heads': 8, 'hidden_dimension': 98, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3274500894317349, 'global_pooling': 'max', 'learning_rate': 0.00023697176556202102, 'weight_decay': 2.3212900324281044e-06, 'beta_0': 0.8726078660425445, 'beta_1': 0.982627211870673, 'epsilon': 2.1660560240231845e-07, 'balanced_loss': False, 'epochs': 127, 'early_stopping_patience': 15, 'plateau_patience': 20, 'plateau_divider': 2}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 09:09:52,309] Trial 122 finished with value: 0.938260893591862 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6726320768271985, 'batch_size': 130, 'attention_heads': 5, 'hidden_dimension': 147, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3400891564752261, 'global_pooling': 'max', 'learning_rate': 0.00034055591558346216, 'weight_decay': 1.568905751318352e-06, 'beta_0': 0.8491727913555609, 'beta_1': 0.9827428344001417, 'epsilon': 8.791249854778756e-07, 'balanced_loss': False, 'epochs': 119, 'early_stopping_patience': 14, 'plateau_patience': 20, 'plateau_divider': 5}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 09:16:17,719] Trial 123 finished with value: 0.9193614235684354 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.667045044194315, 'batch_size': 150, 'attention_heads': 5, 'hidden_dimension': 151, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3451637841539272, 'global_pooling': 'max', 'learning_rate': 0.040315098427581755, 'weight_decay': 1.8479050345965475e-06, 'beta_0': 0.8562482283632511, 'beta_1': 0.9839048404661899, 'epsilon': 1.3182963897480979e-06, 'balanced_loss': False, 'epochs': 106, 'early_stopping_patience': 14, 'plateau_patience': 19, 'plateau_divider': 3}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 09:24:54,651] Trial 124 finished with value: 0.9427143240551561 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6808906597897469, 'batch_size': 166, 'attention_heads': 4, 'hidden_dimension': 156, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3353073142033365, 'global_pooling': 'max', 'learning_rate': 0.0001878605870381181, 'weight_decay': 1.2954244145101105e-06, 'beta_0': 0.8446866078430427, 'beta_1': 0.9820810088194843, 'epsilon': 1.0663181994554182e-06, 'balanced_loss': False, 'epochs': 104, 'early_stopping_patience': 15, 'plateau_patience': 21, 'plateau_divider': 5}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 09:31:42,524] Trial 125 finished with value: 0.9450392980320741 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8255308213925502, 'batch_size': 142, 'attention_heads': 5, 'hidden_dimension': 136, 'number_of_hidden_layers': 0, 'dropout_rate': 0.30381805274288554, 'global_pooling': 'max', 'learning_rate': 0.0003891379680955803, 'weight_decay': 1.1848374103353065e-06, 'beta_0': 0.8598210857431061, 'beta_1': 0.9824482946865343, 'epsilon': 6.592922377772226e-07, 'balanced_loss': False, 'epochs': 116, 'early_stopping_patience': 24, 'plateau_patience': 22, 'plateau_divider': 6}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 09:39:24,089] Trial 126 finished with value: 0.9460910488784176 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6709957368660431, 'batch_size': 125, 'attention_heads': 6, 'hidden_dimension': 141, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3583051300525271, 'global_pooling': 'max', 'learning_rate': 0.0002920612849046221, 'weight_decay': 1.2358358788878129e-05, 'beta_0': 0.8383165309359527, 'beta_1': 0.9892212768073844, 'epsilon': 3.980145819264345e-06, 'balanced_loss': False, 'epochs': 124, 'early_stopping_patience': 13, 'plateau_patience': 19, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 09:46:17,936] Trial 127 finished with value: 0.9450205712046562 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6503720116224841, 'batch_size': 151, 'attention_heads': 4, 'hidden_dimension': 166, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3708850249863622, 'global_pooling': 'max', 'learning_rate': 0.0005167610836757492, 'weight_decay': 8.018321807627292e-06, 'beta_0': 0.8506684952819713, 'beta_1': 0.9854392863066485, 'epsilon': 8.050221991904025e-07, 'balanced_loss': False, 'epochs': 144, 'early_stopping_patience': 14, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 09:56:54,090] Trial 128 finished with value: 0.9401300006935049 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.659672969430309, 'batch_size': 177, 'attention_heads': 6, 'hidden_dimension': 130, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4511695491996409, 'global_pooling': 'mean', 'learning_rate': 0.0001548749025623457, 'weight_decay': 4.614830214208518e-06, 'beta_0': 0.8653647657467919, 'beta_1': 0.9814851072125451, 'epsilon': 3.888554060943142e-07, 'balanced_loss': False, 'epochs': 112, 'early_stopping_patience': 16, 'plateau_patience': 21, 'plateau_divider': 6}. Best is trial 61 with value: 0.9599624971991361.
CUDA out of memory. Tried to allocate 3.13 GiB. GPU 0 has a total capacity of 44.56 GiB of which 1.17 GiB is free. Including non-PyTorch memory, this process has 43.38 GiB memory in use. Of the allocated memory 41.74 GiB is allocated by PyTorch, and 501.00 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
