Some weights of RobertaModel were not initialized from the model checkpoint at FacebookAI/roberta-large and are newly initialized: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
[I 2024-12-10 05:17:06,438] Using an existing study with name 'R8-GATv2-FacebookAI-roberta-large-Grouped-No_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (655 > 512). Running this sequence through the model will result in indexing errors
[I 2024-12-10 05:25:19,086] Trial 105 finished with value: 0.9544417963614046 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8467162819449895, 'batch_size': 152, 'attention_heads': 4, 'hidden_dimension': 227, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4968858376589947, 'global_pooling': 'mean', 'learning_rate': 0.0007231094063471381, 'weight_decay': 0.0002956989619289392, 'beta_0': 0.8667705243041987, 'beta_1': 0.9864667645945536, 'epsilon': 2.3246016743975342e-08, 'balanced_loss': False, 'epochs': 156, 'early_stopping_patience': 14, 'plateau_patience': 17, 'plateau_divider': 5}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 07:07:23,741] Trial 116 finished with value: 0.9416162506761161 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9266751633409531, 'batch_size': 142, 'attention_heads': 4, 'hidden_dimension': 191, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5091133044365322, 'global_pooling': 'mean', 'learning_rate': 0.002016171882828425, 'weight_decay': 0.00013255993521616794, 'beta_0': 0.8730207436042601, 'beta_1': 0.9826321823151208, 'epsilon': 4.464908185224615e-08, 'balanced_loss': False, 'epochs': 162, 'early_stopping_patience': 15, 'plateau_patience': 16, 'plateau_divider': 4}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 07:16:24,700] Trial 117 finished with value: 0.9581279847452715 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9467676735255004, 'batch_size': 119, 'attention_heads': 6, 'hidden_dimension': 203, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5241976333978928, 'global_pooling': 'mean', 'learning_rate': 0.00019774128375509408, 'weight_decay': 0.00014827334350045064, 'beta_0': 0.8753716277284533, 'beta_1': 0.9848039745673918, 'epsilon': 5.272371393207812e-08, 'balanced_loss': False, 'epochs': 174, 'early_stopping_patience': 14, 'plateau_patience': 12, 'plateau_divider': 5}. Best is trial 99 with value: 0.9644826268751922.
CUDA out of memory. Tried to allocate 1.83 GiB. GPU 0 has a total capacity of 44.56 GiB of which 1.60 GiB is free. Including non-PyTorch memory, this process has 42.96 GiB memory in use. Of the allocated memory 35.79 GiB is allocated by PyTorch, and 6.01 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-12-10 07:23:58,188] Trial 118 finished with value: -1.0 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8862914380655081, 'batch_size': 136, 'attention_heads': 15, 'hidden_dimension': 213, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5346743685993337, 'global_pooling': 'mean', 'learning_rate': 0.0005670984694463976, 'weight_decay': 6.833099762201219e-05, 'beta_0': 0.8777390560017898, 'beta_1': 0.9867145204917122, 'epsilon': 7.276806942767524e-08, 'balanced_loss': False, 'epochs': 135, 'early_stopping_patience': 18, 'plateau_patience': 17, 'plateau_divider': 5}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 07:34:31,575] Trial 119 finished with value: 0.9409753229960796 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8795758689684414, 'batch_size': 151, 'attention_heads': 4, 'hidden_dimension': 224, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5103301857464089, 'global_pooling': 'mean', 'learning_rate': 0.0001276401570093458, 'weight_decay': 0.0005371803437301516, 'beta_0': 0.870288198818226, 'beta_1': 0.9886458279362734, 'epsilon': 3.895154375089901e-08, 'balanced_loss': False, 'epochs': 184, 'early_stopping_patience': 14, 'plateau_patience': 13, 'plateau_divider': 6}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 07:42:18,248] Trial 120 finished with value: 0.9443358711526635 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9169975711422704, 'batch_size': 147, 'attention_heads': 5, 'hidden_dimension': 187, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5229786569476973, 'global_pooling': 'mean', 'learning_rate': 0.0007649654267458514, 'weight_decay': 0.00022950850310208905, 'beta_0': 0.8636594531224384, 'beta_1': 0.9906781713614418, 'epsilon': 1.590555287977699e-08, 'balanced_loss': False, 'epochs': 164, 'early_stopping_patience': 16, 'plateau_patience': 14, 'plateau_divider': 7}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 07:52:18,584] Trial 121 finished with value: 0.933915696840824 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8177127488545487, 'batch_size': 142, 'attention_heads': 6, 'hidden_dimension': 197, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5574461413554372, 'global_pooling': 'mean', 'learning_rate': 0.0002657474424480576, 'weight_decay': 0.0002992122986985565, 'beta_0': 0.8721458098512037, 'beta_1': 0.9860733113989839, 'epsilon': 2.645444189539418e-08, 'balanced_loss': True, 'epochs': 185, 'early_stopping_patience': 15, 'plateau_patience': 16, 'plateau_divider': 5}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 08:02:20,389] Trial 122 finished with value: 0.953635247092646 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9330133254989748, 'batch_size': 120, 'attention_heads': 6, 'hidden_dimension': 203, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5253574131157366, 'global_pooling': 'mean', 'learning_rate': 0.0001989404046795505, 'weight_decay': 0.00014537902592327604, 'beta_0': 0.8743366334562165, 'beta_1': 0.9845041603425547, 'epsilon': 4.9305676157035674e-08, 'balanced_loss': False, 'epochs': 172, 'early_stopping_patience': 14, 'plateau_patience': 12, 'plateau_divider': 5}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 08:10:33,323] Trial 123 finished with value: 0.9528571001892516 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9514424611864811, 'batch_size': 131, 'attention_heads': 5, 'hidden_dimension': 209, 'number_of_hidden_layers': 1, 'dropout_rate': 0.518682571746254, 'global_pooling': 'mean', 'learning_rate': 0.0003448246976051872, 'weight_decay': 0.0001792120758957837, 'beta_0': 0.88304124694134, 'beta_1': 0.985372235602786, 'epsilon': 5.339357304524466e-08, 'balanced_loss': False, 'epochs': 181, 'early_stopping_patience': 14, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 08:19:57,223] Trial 124 finished with value: 0.9079266260777145 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9523978947439103, 'batch_size': 115, 'attention_heads': 6, 'hidden_dimension': 216, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5387606088786485, 'global_pooling': 'mean', 'learning_rate': 8.61481627017163e-05, 'weight_decay': 0.00011605692658502668, 'beta_0': 0.8753133946071282, 'beta_1': 0.9850023591126552, 'epsilon': 1.9479487682363576e-08, 'balanced_loss': False, 'epochs': 176, 'early_stopping_patience': 13, 'plateau_patience': 12, 'plateau_divider': 6}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 08:28:43,200] Trial 125 finished with value: 0.949094132114202 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9435921120609198, 'batch_size': 107, 'attention_heads': 4, 'hidden_dimension': 180, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5292564809860514, 'global_pooling': 'mean', 'learning_rate': 0.00018281313606561942, 'weight_decay': 0.0001472306329335645, 'beta_0': 0.8657931206891741, 'beta_1': 0.9825458202197758, 'epsilon': 3.924918871845575e-08, 'balanced_loss': False, 'epochs': 195, 'early_stopping_patience': 14, 'plateau_patience': 15, 'plateau_divider': 5}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 08:40:59,727] Trial 126 finished with value: 0.9553340549010514 and parameters: {'left_stride': 64, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8274738615558129, 'batch_size': 124, 'attention_heads': 4, 'hidden_dimension': 235, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5175281696515136, 'global_pooling': 'mean', 'learning_rate': 0.00014536751134343502, 'weight_decay': 0.000684913907671321, 'beta_0': 0.8700050862288755, 'beta_1': 0.9871359235592205, 'epsilon': 9.860856824093503e-08, 'balanced_loss': False, 'epochs': 176, 'early_stopping_patience': 13, 'plateau_patience': 17, 'plateau_divider': 5}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 08:48:54,073] Trial 127 finished with value: 0.9404894678720251 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9772346524983785, 'batch_size': 138, 'attention_heads': 5, 'hidden_dimension': 226, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5246284788791782, 'global_pooling': 'mean', 'learning_rate': 0.00023234572121934373, 'weight_decay': 0.00028024356174621384, 'beta_0': 0.8778117709806138, 'beta_1': 0.9838306631386842, 'epsilon': 2.2830285249076875e-08, 'balanced_loss': False, 'epochs': 168, 'early_stopping_patience': 12, 'plateau_patience': 16, 'plateau_divider': 7}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 08:58:12,533] Trial 128 finished with value: 0.9590734850685193 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9698303787753244, 'batch_size': 159, 'attention_heads': 6, 'hidden_dimension': 206, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5145119983687557, 'global_pooling': 'max', 'learning_rate': 0.00039512743085362724, 'weight_decay': 0.0004368475946602183, 'beta_0': 0.8712112748146409, 'beta_1': 0.9879644986186397, 'epsilon': 2.2762581737359063e-07, 'balanced_loss': False, 'epochs': 174, 'early_stopping_patience': 15, 'plateau_patience': 13, 'plateau_divider': 6}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 09:07:28,767] Trial 129 finished with value: 0.952920883747643 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9773267367668932, 'batch_size': 161, 'attention_heads': 5, 'hidden_dimension': 210, 'number_of_hidden_layers': 2, 'dropout_rate': 0.49307893478165893, 'global_pooling': 'max', 'learning_rate': 0.0003968920528627625, 'weight_decay': 0.00043521749186663505, 'beta_0': 0.8719523960126611, 'beta_1': 0.9889940745121566, 'epsilon': 2.8193083690920506e-07, 'balanced_loss': False, 'epochs': 191, 'early_stopping_patience': 17, 'plateau_patience': 13, 'plateau_divider': 6}. Best is trial 99 with value: 0.9644826268751922.
CUDA out of memory. Tried to allocate 1.31 GiB. GPU 0 has a total capacity of 44.56 GiB of which 962.69 MiB is free. Including non-PyTorch memory, this process has 43.61 GiB memory in use. Of the allocated memory 39.50 GiB is allocated by PyTorch, and 2.96 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-12-10 09:15:46,963] Trial 130 finished with value: -1.0 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.8087139153641166, 'batch_size': 155, 'attention_heads': 4, 'hidden_dimension': 219, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5417234783684005, 'global_pooling': 'max', 'learning_rate': 0.0006032628022754338, 'weight_decay': 0.00035988030807475394, 'beta_0': 0.8178799900640596, 'beta_1': 0.9880483805734189, 'epsilon': 2.4275748474147773e-07, 'balanced_loss': False, 'epochs': 142, 'early_stopping_patience': 15, 'plateau_patience': 14, 'plateau_divider': 6}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 09:30:57,675] Trial 131 finished with value: 0.9439943239219568 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8410534467253324, 'batch_size': 150, 'attention_heads': 6, 'hidden_dimension': 197, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5028621493411748, 'global_pooling': 'max', 'learning_rate': 0.0005050516987175596, 'weight_decay': 0.0005361413732362384, 'beta_0': 0.869529871938748, 'beta_1': 0.9877823840391928, 'epsilon': 3.054996796177829e-08, 'balanced_loss': False, 'epochs': 156, 'early_stopping_patience': 16, 'plateau_patience': 15, 'plateau_divider': 6}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 09:41:39,249] Trial 132 finished with value: 0.952912102626866 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.7945488274382971, 'batch_size': 126, 'attention_heads': 6, 'hidden_dimension': 205, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5139066773162227, 'global_pooling': 'max', 'learning_rate': 0.00032873913075082183, 'weight_decay': 0.00021377571165073054, 'beta_0': 0.8735680020906184, 'beta_1': 0.9874982931722772, 'epsilon': 1.4707057222196622e-07, 'balanced_loss': False, 'epochs': 173, 'early_stopping_patience': 14, 'plateau_patience': 13, 'plateau_divider': 6}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 09:50:04,374] Trial 133 finished with value: 0.9462411549343734 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9890088009792994, 'batch_size': 144, 'attention_heads': 5, 'hidden_dimension': 201, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5321108668223392, 'global_pooling': 'mean', 'learning_rate': 0.00041561614505982147, 'weight_decay': 0.0001723587976975984, 'beta_0': 0.8761793918389209, 'beta_1': 0.9887310138848437, 'epsilon': 1.3423835775808984e-07, 'balanced_loss': False, 'epochs': 186, 'early_stopping_patience': 15, 'plateau_patience': 11, 'plateau_divider': 5}. Best is trial 99 with value: 0.9644826268751922.
CUDA out of memory. Tried to allocate 1.69 GiB. GPU 0 has a total capacity of 44.56 GiB of which 760.69 MiB is free. Including non-PyTorch memory, this process has 43.81 GiB memory in use. Of the allocated memory 40.38 GiB is allocated by PyTorch, and 2.28 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-12-10 09:59:57,736] Trial 134 finished with value: -1.0 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.817170750872215, 'batch_size': 136, 'attention_heads': 6, 'hidden_dimension': 214, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5105225856835909, 'global_pooling': 'max', 'learning_rate': 0.0002662498567803737, 'weight_decay': 0.0002574706732876081, 'beta_0': 0.8682521853362177, 'beta_1': 0.9848014737695961, 'epsilon': 6.124738848043059e-08, 'balanced_loss': False, 'epochs': 180, 'early_stopping_patience': 13, 'plateau_patience': 12, 'plateau_divider': 6}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 10:08:14,149] Trial 135 finished with value: 0.9345737410008963 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9691132144134106, 'batch_size': 117, 'attention_heads': 5, 'hidden_dimension': 188, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5218501018731954, 'global_pooling': 'sum', 'learning_rate': 0.0006596299131228636, 'weight_decay': 9.049577224191166e-05, 'beta_0': 0.8578552064205456, 'beta_1': 0.9810325791521406, 'epsilon': 7.523877472636378e-08, 'balanced_loss': False, 'epochs': 164, 'early_stopping_patience': 14, 'plateau_patience': 16, 'plateau_divider': 5}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 10:17:16,050] Trial 136 finished with value: 0.9453025430415365 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9680996723163956, 'batch_size': 157, 'attention_heads': 12, 'hidden_dimension': 207, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4978896588179388, 'global_pooling': 'mean', 'learning_rate': 0.00030220062755072354, 'weight_decay': 0.0007769976384470878, 'beta_0': 0.8817157323630599, 'beta_1': 0.9833517066292947, 'epsilon': 2.589784482187383e-08, 'balanced_loss': False, 'epochs': 170, 'early_stopping_patience': 15, 'plateau_patience': 17, 'plateau_divider': 6}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 10:27:12,679] Trial 137 finished with value: 0.943383379791723 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8319330858263269, 'batch_size': 132, 'attention_heads': 4, 'hidden_dimension': 229, 'number_of_hidden_layers': 1, 'dropout_rate': 0.532860138040126, 'global_pooling': 'mean', 'learning_rate': 0.0010147440088753078, 'weight_decay': 0.00011697397396556249, 'beta_0': 0.8661643810144286, 'beta_1': 0.988220248352025, 'epsilon': 3.5731596291619966e-08, 'balanced_loss': False, 'epochs': 175, 'early_stopping_patience': 14, 'plateau_patience': 13, 'plateau_divider': 6}. Best is trial 99 with value: 0.9644826268751922.
