[I 2024-11-12 23:20:33,698] Using an existing study with name 'R8-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (639 > 512). Running this sequence through the model will result in indexing errors
[I 2024-11-12 23:30:10,126] Trial 190 finished with value: 0.9588916599075876 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.661522669829073, 'batch_size': 104, 'attention_heads': 5, 'hidden_dimension': 49, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5255884230360474, 'global_pooling': 'max', 'learning_rate': 0.00019647073672562744, 'weight_decay': 0.00025919611039804515, 'beta_0': 0.8966139171100209, 'beta_1': 0.9894095940191547, 'epsilon': 3.556872822271594e-08, 'balanced_loss': False, 'epochs': 111, 'early_stopping_patience': 20, 'plateau_patience': 20, 'plateau_divider': 9}. Best is trial 28 with value: 0.9650227698207191.
[I 2024-11-13 01:14:12,055] Trial 201 finished with value: 0.9616242006123241 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6513353906732077, 'batch_size': 97, 'attention_heads': 4, 'hidden_dimension': 32, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5445953134081454, 'global_pooling': 'max', 'learning_rate': 0.00015272863777471336, 'weight_decay': 0.0004976060459786331, 'beta_0': 0.894343124398121, 'beta_1': 0.9881112651106015, 'epsilon': 1.8454901744779564e-08, 'balanced_loss': False, 'epochs': 109, 'early_stopping_patience': 21, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 28 with value: 0.9650227698207191.
[I 2024-11-13 01:23:04,521] Trial 202 finished with value: 0.9574263348824279 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6514489224139612, 'batch_size': 101, 'attention_heads': 4, 'hidden_dimension': 34, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5025917122946042, 'global_pooling': 'max', 'learning_rate': 0.00011440459588808384, 'weight_decay': 0.0003879957220044633, 'beta_0': 0.8946678233472669, 'beta_1': 0.9881317273849425, 'epsilon': 1.6449174634146793e-08, 'balanced_loss': False, 'epochs': 109, 'early_stopping_patience': 21, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 28 with value: 0.9650227698207191.
[I 2024-11-13 01:32:05,613] Trial 203 finished with value: 0.9397917511123037 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6514444409970724, 'batch_size': 90, 'attention_heads': 4, 'hidden_dimension': 38, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5098437132939645, 'global_pooling': 'max', 'learning_rate': 9.107879214676378e-05, 'weight_decay': 0.00039728742914192086, 'beta_0': 0.8929027454264573, 'beta_1': 0.9881336026509848, 'epsilon': 1.8415135511308838e-07, 'balanced_loss': True, 'epochs': 97, 'early_stopping_patience': 21, 'plateau_patience': 20, 'plateau_divider': 8}. Best is trial 28 with value: 0.9650227698207191.
[I 2024-11-13 01:41:38,237] Trial 204 finished with value: 0.945845952894396 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6531998438189891, 'batch_size': 241, 'attention_heads': 4, 'hidden_dimension': 38, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5039863733846777, 'global_pooling': 'max', 'learning_rate': 0.00010928979775821694, 'weight_decay': 0.0005371803437301516, 'beta_0': 0.8947443667303372, 'beta_1': 0.9886420426264451, 'epsilon': 1.6521204177665996e-08, 'balanced_loss': False, 'epochs': 107, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 28 with value: 0.9650227698207191.
[I 2024-11-13 01:51:15,594] Trial 205 finished with value: 0.953685009753271 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.660687928403909, 'batch_size': 100, 'attention_heads': 4, 'hidden_dimension': 75, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4895470165101441, 'global_pooling': 'max', 'learning_rate': 0.00013223065865154007, 'weight_decay': 0.0004804682052268791, 'beta_0': 0.8999799960121099, 'beta_1': 0.9880500167433345, 'epsilon': 1.1621339155944926e-08, 'balanced_loss': False, 'epochs': 103, 'early_stopping_patience': 20, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 28 with value: 0.9650227698207191.
[I 2024-11-13 02:00:51,038] Trial 206 finished with value: 0.9542511803454914 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.65062751252564, 'batch_size': 94, 'attention_heads': 4, 'hidden_dimension': 71, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4970705522776575, 'global_pooling': 'max', 'learning_rate': 0.0001221941323290317, 'weight_decay': 0.0004125256213264186, 'beta_0': 0.8892826590814527, 'beta_1': 0.9885575829793658, 'epsilon': 5.509358096013087e-07, 'balanced_loss': False, 'epochs': 108, 'early_stopping_patience': 21, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 28 with value: 0.9650227698207191.
[I 2024-11-13 02:09:20,684] Trial 207 finished with value: 0.955386242028399 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6610551738954442, 'batch_size': 106, 'attention_heads': 4, 'hidden_dimension': 34, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5310962130542004, 'global_pooling': 'max', 'learning_rate': 0.0001601360397563989, 'weight_decay': 0.00035103686325118754, 'beta_0': 0.8958944529951803, 'beta_1': 0.989579294653922, 'epsilon': 2.327904782483222e-08, 'balanced_loss': False, 'epochs': 112, 'early_stopping_patience': 21, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 28 with value: 0.9650227698207191.
[I 2024-11-13 02:17:21,426] Trial 208 finished with value: 0.9557447570192453 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6677307076941957, 'batch_size': 103, 'attention_heads': 4, 'hidden_dimension': 34, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5157637381512344, 'global_pooling': 'max', 'learning_rate': 0.0001723728077097741, 'weight_decay': 0.000495022496970686, 'beta_0': 0.896841717954988, 'beta_1': 0.9891490406611146, 'epsilon': 1.7002348977924006e-08, 'balanced_loss': False, 'epochs': 109, 'early_stopping_patience': 19, 'plateau_patience': 20, 'plateau_divider': 8}. Best is trial 28 with value: 0.9650227698207191.
[I 2024-11-13 02:27:43,471] Trial 209 finished with value: 0.9558709861339635 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6724326903578697, 'batch_size': 111, 'attention_heads': 4, 'hidden_dimension': 48, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5411985336983662, 'global_pooling': 'max', 'learning_rate': 0.00011036853137717342, 'weight_decay': 3.387191780969375e-05, 'beta_0': 0.8113501398764839, 'beta_1': 0.9891159441288102, 'epsilon': 2.116502885450118e-08, 'balanced_loss': False, 'epochs': 114, 'early_stopping_patience': 21, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 28 with value: 0.9650227698207191.
[I 2024-11-13 02:36:41,398] Trial 210 finished with value: 0.9397525233553565 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6571635406298089, 'batch_size': 98, 'attention_heads': 4, 'hidden_dimension': 33, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5003817274688227, 'global_pooling': 'max', 'learning_rate': 0.00014510679836472697, 'weight_decay': 3.940124058023044e-05, 'beta_0': 0.8943076388813163, 'beta_1': 0.9881544295989846, 'epsilon': 3.270165730013112e-08, 'balanced_loss': False, 'epochs': 115, 'early_stopping_patience': 21, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 28 with value: 0.9650227698207191.
[I 2024-11-13 02:46:57,617] Trial 211 finished with value: 0.9467489360599707 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6641190637378751, 'batch_size': 90, 'attention_heads': 4, 'hidden_dimension': 43, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5241281044029618, 'global_pooling': 'max', 'learning_rate': 8.728578990556704e-05, 'weight_decay': 3.0476645278322167e-05, 'beta_0': 0.8975094774670983, 'beta_1': 0.9887659157166274, 'epsilon': 1.9452699553163e-08, 'balanced_loss': False, 'epochs': 111, 'early_stopping_patience': 20, 'plateau_patience': 22, 'plateau_divider': 8}. Best is trial 28 with value: 0.9650227698207191.
[I 2024-11-13 02:55:46,765] Trial 212 finished with value: 0.9535337134325781 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6783900783962763, 'batch_size': 215, 'attention_heads': 4, 'hidden_dimension': 32, 'number_of_hidden_layers': 2, 'dropout_rate': 0.534221188981567, 'global_pooling': 'max', 'learning_rate': 0.00018000493931516294, 'weight_decay': 0.00044846654049703934, 'beta_0': 0.8915266254565574, 'beta_1': 0.9879019348348214, 'epsilon': 1.2683836498734393e-08, 'balanced_loss': False, 'epochs': 105, 'early_stopping_patience': 15, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 28 with value: 0.9650227698207191.
[I 2024-11-13 03:04:26,999] Trial 213 finished with value: 0.9530010607468165 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.6703017948337473, 'batch_size': 102, 'attention_heads': 4, 'hidden_dimension': 85, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5287529566049074, 'global_pooling': 'max', 'learning_rate': 0.00026084166959922485, 'weight_decay': 0.00038097010094918077, 'beta_0': 0.8979598220408672, 'beta_1': 0.9883660210056491, 'epsilon': 1.4762441870795995e-08, 'balanced_loss': False, 'epochs': 121, 'early_stopping_patience': 21, 'plateau_patience': 20, 'plateau_divider': 8}. Best is trial 28 with value: 0.9650227698207191.
[I 2024-11-13 03:13:45,381] Trial 214 finished with value: 0.9549716967528554 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6817307350340513, 'batch_size': 82, 'attention_heads': 4, 'hidden_dimension': 40, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5081548881636193, 'global_pooling': 'max', 'learning_rate': 9.897010151722424e-05, 'weight_decay': 0.0009857680324070154, 'beta_0': 0.80701050075633, 'beta_1': 0.9876267118355427, 'epsilon': 9.819520871016963e-07, 'balanced_loss': False, 'epochs': 125, 'early_stopping_patience': 22, 'plateau_patience': 22, 'plateau_divider': 9}. Best is trial 28 with value: 0.9650227698207191.
[I 2024-11-13 03:23:43,906] Trial 215 finished with value: 0.9445262993100514 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.6500671979411, 'batch_size': 107, 'attention_heads': 4, 'hidden_dimension': 88, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5196196663538866, 'global_pooling': 'max', 'learning_rate': 0.0001484649363777929, 'weight_decay': 2.712149526353976e-05, 'beta_0': 0.8935496296423723, 'beta_1': 0.988904955581827, 'epsilon': 2.7522777077947095e-08, 'balanced_loss': True, 'epochs': 143, 'early_stopping_patience': 17, 'plateau_patience': 19, 'plateau_divider': 8}. Best is trial 28 with value: 0.9650227698207191.
[I 2024-11-13 03:34:37,929] Trial 216 finished with value: 0.9574808481466461 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6604481980700482, 'batch_size': 97, 'attention_heads': 5, 'hidden_dimension': 125, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5374341835139247, 'global_pooling': 'max', 'learning_rate': 0.00020135035125663537, 'weight_decay': 2.2006066442194763e-05, 'beta_0': 0.8958719366764083, 'beta_1': 0.9884744734351885, 'epsilon': 5.437598806736016e-08, 'balanced_loss': False, 'epochs': 72, 'early_stopping_patience': 20, 'plateau_patience': 22, 'plateau_divider': 9}. Best is trial 28 with value: 0.9650227698207191.
[I 2024-11-13 03:45:18,754] Trial 217 finished with value: 0.9591262149361108 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.662537373120603, 'batch_size': 96, 'attention_heads': 5, 'hidden_dimension': 119, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5385787828500062, 'global_pooling': 'max', 'learning_rate': 0.0002143333906538298, 'weight_decay': 2.357327682623901e-05, 'beta_0': 0.8999871190726303, 'beta_1': 0.988518795007593, 'epsilon': 3.1793961540638046e-08, 'balanced_loss': False, 'epochs': 70, 'early_stopping_patience': 20, 'plateau_patience': 22, 'plateau_divider': 9}. Best is trial 28 with value: 0.9650227698207191.
[I 2024-11-13 03:56:09,096] Trial 218 finished with value: 0.9456289466413978 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6566448594022475, 'batch_size': 97, 'attention_heads': 5, 'hidden_dimension': 122, 'number_of_hidden_layers': 2, 'dropout_rate': 0.542661305317601, 'global_pooling': 'max', 'learning_rate': 0.0002128240642285338, 'weight_decay': 2.1958328687708753e-05, 'beta_0': 0.8993728815400669, 'beta_1': 0.9882650154439212, 'epsilon': 5.210938718994598e-08, 'balanced_loss': False, 'epochs': 72, 'early_stopping_patience': 20, 'plateau_patience': 22, 'plateau_divider': 9}. Best is trial 28 with value: 0.9650227698207191.
[I 2024-11-13 04:07:05,628] Trial 219 finished with value: 0.9585443431237912 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.66215622416311, 'batch_size': 94, 'attention_heads': 5, 'hidden_dimension': 128, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5375045691178918, 'global_pooling': 'max', 'learning_rate': 0.0002548317204153725, 'weight_decay': 1.5336101098612426e-05, 'beta_0': 0.8998942444039629, 'beta_1': 0.9884876980992292, 'epsilon': 4.6698201504063973e-08, 'balanced_loss': False, 'epochs': 65, 'early_stopping_patience': 20, 'plateau_patience': 22, 'plateau_divider': 9}. Best is trial 28 with value: 0.9650227698207191.
[I 2024-11-13 04:17:35,851] Trial 220 finished with value: 0.9662937503535731 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.659810674485391, 'batch_size': 92, 'attention_heads': 6, 'hidden_dimension': 125, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5525508049455583, 'global_pooling': 'max', 'learning_rate': 0.00031591449525099786, 'weight_decay': 1.6839307319452356e-05, 'beta_0': 0.8955075895311326, 'beta_1': 0.9877144692390205, 'epsilon': 4.2848852793679005e-08, 'balanced_loss': False, 'epochs': 64, 'early_stopping_patience': 20, 'plateau_patience': 23, 'plateau_divider': 9}. Best is trial 220 with value: 0.9662937503535731.
[I 2024-11-13 04:28:20,522] Trial 221 finished with value: 0.9495444097597785 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6641613158419705, 'batch_size': 88, 'attention_heads': 6, 'hidden_dimension': 116, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5505234470276352, 'global_pooling': 'max', 'learning_rate': 0.00031999087644561756, 'weight_decay': 1.5155582555170571e-05, 'beta_0': 0.8974498983810145, 'beta_1': 0.9876550078896262, 'epsilon': 5.0516436153598136e-08, 'balanced_loss': False, 'epochs': 67, 'early_stopping_patience': 20, 'plateau_patience': 23, 'plateau_divider': 9}. Best is trial 220 with value: 0.9662937503535731.
[I 2024-11-13 04:38:51,375] Trial 222 finished with value: 0.9519165295391919 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6618546571751034, 'batch_size': 92, 'attention_heads': 6, 'hidden_dimension': 129, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5374714403114078, 'global_pooling': 'max', 'learning_rate': 0.0004020325826980067, 'weight_decay': 1.5849132134949717e-05, 'beta_0': 0.8959254177947681, 'beta_1': 0.9871093526490471, 'epsilon': 3.365096094835325e-08, 'balanced_loss': False, 'epochs': 65, 'early_stopping_patience': 19, 'plateau_patience': 23, 'plateau_divider': 9}. Best is trial 220 with value: 0.9662937503535731.
[I 2024-11-13 04:48:58,223] Trial 223 finished with value: 0.9138982599912403 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6695306811149264, 'batch_size': 86, 'attention_heads': 5, 'hidden_dimension': 131, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5411507399924685, 'global_pooling': 'sum', 'learning_rate': 0.00026324442648696693, 'weight_decay': 1.946665997973596e-05, 'beta_0': 0.8999182919127827, 'beta_1': 0.9879226624239783, 'epsilon': 6.310868936550517e-08, 'balanced_loss': False, 'epochs': 63, 'early_stopping_patience': 19, 'plateau_patience': 23, 'plateau_divider': 9}. Best is trial 220 with value: 0.9662937503535731.
[I 2024-11-13 05:00:46,722] Trial 224 finished with value: 0.9546119929003527 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6585120831250184, 'batch_size': 92, 'attention_heads': 5, 'hidden_dimension': 126, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5540989144694796, 'global_pooling': 'max', 'learning_rate': 0.0002802330071768421, 'weight_decay': 2.0827748924086642e-05, 'beta_0': 0.8161340083973226, 'beta_1': 0.9885192839864306, 'epsilon': 4.56332743145237e-08, 'balanced_loss': False, 'epochs': 72, 'early_stopping_patience': 20, 'plateau_patience': 22, 'plateau_divider': 9}. Best is trial 220 with value: 0.9662937503535731.
[I 2024-11-13 05:11:54,315] Trial 225 finished with value: 0.9601492789424909 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6784518471633428, 'batch_size': 82, 'attention_heads': 5, 'hidden_dimension': 135, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5460913308340017, 'global_pooling': 'max', 'learning_rate': 0.0002029270816753739, 'weight_decay': 1.68940620045303e-05, 'beta_0': 0.8926035001488264, 'beta_1': 0.9875416453109985, 'epsilon': 6.580639330904984e-08, 'balanced_loss': False, 'epochs': 64, 'early_stopping_patience': 20, 'plateau_patience': 15, 'plateau_divider': 9}. Best is trial 220 with value: 0.9662937503535731.
