Some weights of RobertaModel were not initialized from the model checkpoint at FacebookAI/roberta-large and are newly initialized: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
[I 2024-12-21 04:09:20,652] Using an existing study with name 'R8-GATv2-FacebookAI-roberta-large-Surrogate-No_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (655 > 512). Running this sequence through the model will result in indexing errors
[I 2024-12-21 04:34:51,337] Trial 200 finished with value: 0.9442525441875385 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9688028019137752, 'batch_size': 85, 'attention_heads': 14, 'hidden_dimension': 154, 'number_of_hidden_layers': 3, 'dropout_rate': 0.453977208704952, 'global_pooling': 'max', 'learning_rate': 0.0002566397533672739, 'weight_decay': 2.8602943574743687e-06, 'beta_0': 0.8950592027712595, 'beta_1': 0.9878729497512845, 'epsilon': 5.307784394474772e-08, 'balanced_loss': False, 'epochs': 107, 'early_stopping_patience': 19, 'plateau_patience': 10, 'plateau_divider': 8}. Best is trial 161 with value: 0.968159869773082.
[I 2024-12-21 08:49:17,951] Trial 216 finished with value: 0.9548569339216813 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9697195837970728, 'batch_size': 102, 'attention_heads': 10, 'hidden_dimension': 36, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5449129827436077, 'global_pooling': 'max', 'learning_rate': 0.00017451548339610153, 'weight_decay': 2.9823837622228995e-06, 'beta_0': 0.896968251452305, 'beta_1': 0.9927034150744211, 'epsilon': 6.220787310668926e-07, 'balanced_loss': False, 'epochs': 141, 'early_stopping_patience': 13, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 213 with value: 0.9693474575932637.
[I 2024-12-21 09:03:48,329] Trial 217 finished with value: 0.9630222333625985 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9798423184219526, 'batch_size': 106, 'attention_heads': 10, 'hidden_dimension': 43, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5234278177406773, 'global_pooling': 'max', 'learning_rate': 0.0003034691308840007, 'weight_decay': 2.435802313409166e-06, 'beta_0': 0.8966286977094858, 'beta_1': 0.9934790516169504, 'epsilon': 8.415303134079102e-07, 'balanced_loss': False, 'epochs': 145, 'early_stopping_patience': 13, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 213 with value: 0.9693474575932637.
[I 2024-12-21 09:17:42,490] Trial 218 finished with value: 0.9545527191368428 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9748924203976874, 'batch_size': 104, 'attention_heads': 10, 'hidden_dimension': 42, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5268862520683991, 'global_pooling': 'max', 'learning_rate': 0.00040193287249707874, 'weight_decay': 2.5427160447837913e-06, 'beta_0': 0.8968875748861973, 'beta_1': 0.9937788207155084, 'epsilon': 9.342738943575662e-07, 'balanced_loss': False, 'epochs': 140, 'early_stopping_patience': 13, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 213 with value: 0.9693474575932637.
CUDA out of memory. Tried to allocate 2.00 MiB. GPU 0 has a total capacity of 44.56 GiB of which 2.69 MiB is free. Including non-PyTorch memory, this process has 44.55 GiB memory in use. Of the allocated memory 37.86 GiB is allocated by PyTorch, and 5.54 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-12-21 09:27:53,225] Trial 219 finished with value: -1.0 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9001974940180065, 'batch_size': 108, 'attention_heads': 11, 'hidden_dimension': 40, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5376733398338017, 'global_pooling': 'max', 'learning_rate': 0.00029256959513117054, 'weight_decay': 3.1660584929412876e-06, 'beta_0': 0.8980473831290747, 'beta_1': 0.9945134299262866, 'epsilon': 5.885764704588983e-07, 'balanced_loss': False, 'epochs': 144, 'early_stopping_patience': 13, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 213 with value: 0.9693474575932637.
[I 2024-12-21 09:43:53,139] Trial 220 finished with value: 0.9425122580244263 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9577046089917091, 'batch_size': 99, 'attention_heads': 10, 'hidden_dimension': 33, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5514231125803846, 'global_pooling': 'max', 'learning_rate': 0.00034683890495766406, 'weight_decay': 2.218848565077301e-06, 'beta_0': 0.8951398986324544, 'beta_1': 0.9934588318023655, 'epsilon': 1.0521418746893488e-06, 'balanced_loss': False, 'epochs': 145, 'early_stopping_patience': 13, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 213 with value: 0.9693474575932637.
[I 2024-12-21 09:58:57,651] Trial 221 finished with value: 0.96382143819971 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9824587843533743, 'batch_size': 94, 'attention_heads': 9, 'hidden_dimension': 45, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5244001501347422, 'global_pooling': 'max', 'learning_rate': 0.0002498028989210987, 'weight_decay': 1.956130108872424e-06, 'beta_0': 0.8999894948128278, 'beta_1': 0.9918114753777416, 'epsilon': 8.090253113712737e-07, 'balanced_loss': False, 'epochs': 150, 'early_stopping_patience': 13, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 213 with value: 0.9693474575932637.
[I 2024-12-21 10:10:38,834] Trial 222 finished with value: 0.9259203318465045 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9823117618020982, 'batch_size': 93, 'attention_heads': 9, 'hidden_dimension': 43, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5220112552400532, 'global_pooling': 'max', 'learning_rate': 0.0002703539118417701, 'weight_decay': 3.6726940289686706e-06, 'beta_0': 0.8993545493347443, 'beta_1': 0.9926006094740721, 'epsilon': 1.17128819203689e-06, 'balanced_loss': False, 'epochs': 148, 'early_stopping_patience': 13, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 213 with value: 0.9693474575932637.
[I 2024-12-21 10:24:18,641] Trial 223 finished with value: 0.9338863133145909 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9926932052227359, 'batch_size': 96, 'attention_heads': 9, 'hidden_dimension': 36, 'number_of_hidden_layers': 3, 'dropout_rate': 0.528705517308196, 'global_pooling': 'max', 'learning_rate': 0.00020197425712166454, 'weight_decay': 2.4549431721272446e-06, 'beta_0': 0.8964441560550181, 'beta_1': 0.9933733902713491, 'epsilon': 6.944236208405242e-07, 'balanced_loss': False, 'epochs': 150, 'early_stopping_patience': 13, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 213 with value: 0.9693474575932637.
[I 2024-12-21 10:38:27,324] Trial 224 finished with value: 0.970986537146642 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9702081278765556, 'batch_size': 106, 'attention_heads': 10, 'hidden_dimension': 44, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5132328525294229, 'global_pooling': 'max', 'learning_rate': 0.00028560044570029053, 'weight_decay': 1.981506549426827e-06, 'beta_0': 0.893911610420669, 'beta_1': 0.9922288214085544, 'epsilon': 7.568830341156324e-07, 'balanced_loss': False, 'epochs': 153, 'early_stopping_patience': 12, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 224 with value: 0.970986537146642.
[I 2024-12-21 10:52:00,513] Trial 225 finished with value: 0.9401880431231215 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9801110497138977, 'batch_size': 109, 'attention_heads': 10, 'hidden_dimension': 43, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5143078626542398, 'global_pooling': 'max', 'learning_rate': 0.0003409797007178228, 'weight_decay': 2.0101782972685727e-06, 'beta_0': 0.8943124029493218, 'beta_1': 0.9920162456187491, 'epsilon': 1.2681484567260582e-06, 'balanced_loss': False, 'epochs': 143, 'early_stopping_patience': 12, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 224 with value: 0.970986537146642.
[I 2024-12-21 11:06:54,577] Trial 226 finished with value: 0.9585141171086946 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9716684583167214, 'batch_size': 104, 'attention_heads': 10, 'hidden_dimension': 40, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5237533310455726, 'global_pooling': 'max', 'learning_rate': 0.0004441065756119716, 'weight_decay': 1.937746022581625e-06, 'beta_0': 0.896138240882502, 'beta_1': 0.9915988665378234, 'epsilon': 7.709947854681733e-07, 'balanced_loss': False, 'epochs': 153, 'early_stopping_patience': 14, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 224 with value: 0.970986537146642.
[I 2024-12-21 11:20:47,564] Trial 227 finished with value: 0.9502613041031573 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9838682083232821, 'batch_size': 98, 'attention_heads': 10, 'hidden_dimension': 36, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5089149357238535, 'global_pooling': 'max', 'learning_rate': 0.00025460122637585347, 'weight_decay': 2.552195896653373e-06, 'beta_0': 0.8999907200620391, 'beta_1': 0.9929710709585002, 'epsilon': 9.16927375050991e-07, 'balanced_loss': False, 'epochs': 155, 'early_stopping_patience': 12, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 224 with value: 0.970986537146642.
[I 2024-12-21 11:35:38,772] Trial 228 finished with value: 0.9603504654792748 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9705690338318083, 'batch_size': 101, 'attention_heads': 10, 'hidden_dimension': 45, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5419176092472394, 'global_pooling': 'max', 'learning_rate': 0.0002893843618647352, 'weight_decay': 3.160928602798944e-06, 'beta_0': 0.8929354640264608, 'beta_1': 0.9923025314793791, 'epsilon': 4.2972651940738245e-07, 'balanced_loss': False, 'epochs': 135, 'early_stopping_patience': 13, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 224 with value: 0.970986537146642.
[I 2024-12-21 11:49:46,193] Trial 229 finished with value: 0.9313704853610104 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9872981123220402, 'batch_size': 114, 'attention_heads': 9, 'hidden_dimension': 45, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5315640614850048, 'global_pooling': 'sum', 'learning_rate': 0.00021463832007495015, 'weight_decay': 2.143455755092716e-06, 'beta_0': 0.896904829492967, 'beta_1': 0.9918756991551233, 'epsilon': 5.797991840995987e-07, 'balanced_loss': False, 'epochs': 146, 'early_stopping_patience': 12, 'plateau_patience': 12, 'plateau_divider': 4}. Best is trial 224 with value: 0.970986537146642.
CUDA out of memory. Tried to allocate 712.00 MiB. GPU 0 has a total capacity of 44.56 GiB of which 518.69 MiB is free. Including non-PyTorch memory, this process has 44.05 GiB memory in use. Of the allocated memory 41.89 GiB is allocated by PyTorch, and 1.00 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-12-21 11:59:40,689] Trial 230 finished with value: -1.0 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8878930448947608, 'batch_size': 90, 'attention_heads': 10, 'hidden_dimension': 32, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5193830669427394, 'global_pooling': 'max', 'learning_rate': 0.00036381235489314626, 'weight_decay': 1.7257132380378516e-06, 'beta_0': 0.8916239411320811, 'beta_1': 0.9940614980327621, 'epsilon': 6.662348071339726e-07, 'balanced_loss': False, 'epochs': 150, 'early_stopping_patience': 13, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 224 with value: 0.970986537146642.
[I 2024-12-21 12:16:22,826] Trial 231 finished with value: 0.9623123657893726 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.977093739599869, 'batch_size': 103, 'attention_heads': 10, 'hidden_dimension': 40, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5354675250690769, 'global_pooling': 'max', 'learning_rate': 0.00017989847149792895, 'weight_decay': 2.7921868734809456e-06, 'beta_0': 0.8940024740414126, 'beta_1': 0.9926385675290275, 'epsilon': 8.474347809461455e-07, 'balanced_loss': False, 'epochs': 147, 'early_stopping_patience': 14, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 224 with value: 0.970986537146642.
[I 2024-12-21 12:33:15,801] Trial 232 finished with value: 0.9302396568053866 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9774282325915856, 'batch_size': 106, 'attention_heads': 9, 'hidden_dimension': 40, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5380941311315852, 'global_pooling': 'max', 'learning_rate': 0.00012863826265531515, 'weight_decay': 2.4103095889102115e-06, 'beta_0': 0.8981792658230496, 'beta_1': 0.9927606186566832, 'epsilon': 8.378145814705088e-07, 'balanced_loss': False, 'epochs': 147, 'early_stopping_patience': 14, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 224 with value: 0.970986537146642.
[I 2024-12-21 12:50:34,261] Trial 233 finished with value: 0.8881474976631727 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9652849699174006, 'batch_size': 95, 'attention_heads': 10, 'hidden_dimension': 46, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5466398026338276, 'global_pooling': 'max', 'learning_rate': 0.000176196428547124, 'weight_decay': 4.3569168399706705e-05, 'beta_0': 0.8939806594826096, 'beta_1': 0.9923984179016503, 'epsilon': 4.909332688078978e-07, 'balanced_loss': False, 'epochs': 141, 'early_stopping_patience': 12, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 224 with value: 0.970986537146642.
