Some weights of RobertaModel were not initialized from the model checkpoint at FacebookAI/roberta-base and are newly initialized: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
[I 2024-12-03 17:07:25,672] Using an existing study with name 'R8-GATv2-FacebookAI-roberta-base-Grouped-No_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (655 > 512). Running this sequence through the model will result in indexing errors
[I 2024-12-03 17:15:29,236] Trial 183 finished with value: 0.9476184042144092 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6656745475620955, 'batch_size': 83, 'attention_heads': 8, 'hidden_dimension': 101, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3622081103395467, 'global_pooling': 'max', 'learning_rate': 0.00019159786779450772, 'weight_decay': 2.4380003254969343e-05, 'beta_0': 0.8400042315724068, 'beta_1': 0.983492276959586, 'epsilon': 1.9138926143385058e-05, 'balanced_loss': True, 'epochs': 123, 'early_stopping_patience': 15, 'plateau_patience': 18, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 18:28:47,133] Trial 194 finished with value: 0.9370610561457586 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.706147547669741, 'batch_size': 68, 'attention_heads': 6, 'hidden_dimension': 46, 'number_of_hidden_layers': 0, 'dropout_rate': 0.33042952422351934, 'global_pooling': 'max', 'learning_rate': 0.0010775291904919454, 'weight_decay': 9.157026976465755e-06, 'beta_0': 0.8336136895985957, 'beta_1': 0.9809770777639985, 'epsilon': 3.7017107716183434e-05, 'balanced_loss': False, 'epochs': 158, 'early_stopping_patience': 17, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 18:34:25,569] Trial 195 finished with value: 0.9492856021517455 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6754305477740813, 'batch_size': 53, 'attention_heads': 6, 'hidden_dimension': 61, 'number_of_hidden_layers': 0, 'dropout_rate': 0.34269546915660437, 'global_pooling': 'max', 'learning_rate': 0.0007108790535213747, 'weight_decay': 6.8056530310951424e-06, 'beta_0': 0.829668251982835, 'beta_1': 0.9803299744684243, 'epsilon': 5.4417718507656385e-05, 'balanced_loss': False, 'epochs': 150, 'early_stopping_patience': 17, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 18:40:10,698] Trial 196 finished with value: 0.9421918287956036 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.7542448587332432, 'batch_size': 64, 'attention_heads': 6, 'hidden_dimension': 50, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3345717106397569, 'global_pooling': 'max', 'learning_rate': 0.001140297028020929, 'weight_decay': 8.270683713959012e-06, 'beta_0': 0.8239149838146114, 'beta_1': 0.9815358539625351, 'epsilon': 2.2427839599995835e-05, 'balanced_loss': False, 'epochs': 155, 'early_stopping_patience': 17, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 18:46:01,533] Trial 197 finished with value: 0.9485098666498128 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6659246400175334, 'batch_size': 65, 'attention_heads': 5, 'hidden_dimension': 66, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3441434133150452, 'global_pooling': 'max', 'learning_rate': 0.0015038296222497248, 'weight_decay': 6.052351135249654e-06, 'beta_0': 0.8374920192865936, 'beta_1': 0.9820958437520355, 'epsilon': 4.976362023668674e-05, 'balanced_loss': False, 'epochs': 147, 'early_stopping_patience': 18, 'plateau_patience': 17, 'plateau_divider': 9}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 18:52:21,492] Trial 198 finished with value: 0.9533095266297344 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6501367011880783, 'batch_size': 70, 'attention_heads': 5, 'hidden_dimension': 77, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3225145293953613, 'global_pooling': 'max', 'learning_rate': 0.0006498226263239474, 'weight_decay': 7.29588440198382e-06, 'beta_0': 0.8259977301764039, 'beta_1': 0.9811310397576243, 'epsilon': 1.268402061301678e-05, 'balanced_loss': False, 'epochs': 152, 'early_stopping_patience': 17, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 18:58:42,000] Trial 199 finished with value: 0.942988462709489 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6510362046256001, 'batch_size': 69, 'attention_heads': 5, 'hidden_dimension': 71, 'number_of_hidden_layers': 0, 'dropout_rate': 0.32116892519476264, 'global_pooling': 'max', 'learning_rate': 0.0006625259424006551, 'weight_decay': 7.5154959371824105e-06, 'beta_0': 0.8270479469512066, 'beta_1': 0.9803700580103177, 'epsilon': 6.173100017503231e-05, 'balanced_loss': False, 'epochs': 162, 'early_stopping_patience': 17, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 19:04:56,168] Trial 200 finished with value: 0.9484537923753966 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.662541881071054, 'batch_size': 72, 'attention_heads': 5, 'hidden_dimension': 78, 'number_of_hidden_layers': 0, 'dropout_rate': 0.33330434902056505, 'global_pooling': 'max', 'learning_rate': 0.0009336868310078606, 'weight_decay': 8.872452094254092e-06, 'beta_0': 0.8197098483049952, 'beta_1': 0.9813058956494844, 'epsilon': 2.9206745678553092e-05, 'balanced_loss': False, 'epochs': 156, 'early_stopping_patience': 17, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 19:11:17,729] Trial 201 finished with value: 0.957947491939682 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6571790687801444, 'batch_size': 72, 'attention_heads': 5, 'hidden_dimension': 76, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3232367538537948, 'global_pooling': 'max', 'learning_rate': 0.00055261418749207, 'weight_decay': 6.908184010043306e-06, 'beta_0': 0.8273901745170633, 'beta_1': 0.9812156076441768, 'epsilon': 1.0796255429317271e-05, 'balanced_loss': False, 'epochs': 153, 'early_stopping_patience': 17, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 19:17:21,104] Trial 202 finished with value: 0.9426072649389632 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6502555057456729, 'batch_size': 66, 'attention_heads': 5, 'hidden_dimension': 62, 'number_of_hidden_layers': 0, 'dropout_rate': 0.32493797207048053, 'global_pooling': 'max', 'learning_rate': 0.0005683429269981341, 'weight_decay': 6.8598828872313785e-06, 'beta_0': 0.8316132376494503, 'beta_1': 0.9809526380299537, 'epsilon': 1.3961543738704726e-05, 'balanced_loss': False, 'epochs': 152, 'early_stopping_patience': 17, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 19:23:49,102] Trial 203 finished with value: 0.9419780187312159 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6572104061289273, 'batch_size': 72, 'attention_heads': 5, 'hidden_dimension': 85, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3281252034976969, 'global_pooling': 'max', 'learning_rate': 0.0007183452277319248, 'weight_decay': 9.86747142222959e-06, 'beta_0': 0.8261553506996847, 'beta_1': 0.9813074261567882, 'epsilon': 5.904676011958272e-06, 'balanced_loss': False, 'epochs': 154, 'early_stopping_patience': 18, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 19:30:02,735] Trial 204 finished with value: 0.9554642450140804 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6683317438008846, 'batch_size': 61, 'attention_heads': 5, 'hidden_dimension': 75, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3510652558388897, 'global_pooling': 'max', 'learning_rate': 0.00048417498412114333, 'weight_decay': 5.829907514541113e-06, 'beta_0': 0.8277568120763692, 'beta_1': 0.9819838643714075, 'epsilon': 9.09496998382702e-05, 'balanced_loss': False, 'epochs': 159, 'early_stopping_patience': 17, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 19:36:11,531] Trial 205 finished with value: 0.9399597771841737 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6675237397265288, 'batch_size': 58, 'attention_heads': 6, 'hidden_dimension': 54, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3514519120659313, 'global_pooling': 'max', 'learning_rate': 0.0005443311166913521, 'weight_decay': 5.622005097011964e-06, 'beta_0': 0.836052288462457, 'beta_1': 0.9818862664436138, 'epsilon': 8.586638133516213e-05, 'balanced_loss': False, 'epochs': 157, 'early_stopping_patience': 17, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 19:42:07,216] Trial 206 finished with value: 0.9465621695915152 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6746193604833214, 'batch_size': 61, 'attention_heads': 6, 'hidden_dimension': 75, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3125487736781005, 'global_pooling': 'max', 'learning_rate': 0.01797522755588587, 'weight_decay': 6.445431118521969e-06, 'beta_0': 0.8302636699694579, 'beta_1': 0.9822069160642715, 'epsilon': 2.4421486344130725e-05, 'balanced_loss': False, 'epochs': 152, 'early_stopping_patience': 18, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 19:48:18,504] Trial 207 finished with value: 0.9520736923801218 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6627360505550896, 'batch_size': 74, 'attention_heads': 5, 'hidden_dimension': 77, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3484153591745227, 'global_pooling': 'max', 'learning_rate': 0.0008383366010264041, 'weight_decay': 7.66664236359046e-06, 'beta_0': 0.8290355587368625, 'beta_1': 0.981186347991635, 'epsilon': 4.3676020091719555e-05, 'balanced_loss': False, 'epochs': 146, 'early_stopping_patience': 17, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 19:54:35,863] Trial 208 finished with value: 0.9556290376267897 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6570908055206818, 'batch_size': 68, 'attention_heads': 4, 'hidden_dimension': 68, 'number_of_hidden_layers': 0, 'dropout_rate': 0.305256598726088, 'global_pooling': 'max', 'learning_rate': 0.00046792883336966884, 'weight_decay': 4.7114487374316586e-06, 'beta_0': 0.8281288374377712, 'beta_1': 0.9817677494167311, 'epsilon': 9.350713468041679e-05, 'balanced_loss': False, 'epochs': 149, 'early_stopping_patience': 17, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 20:00:54,289] Trial 209 finished with value: 0.9445022357843964 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6563391933362266, 'batch_size': 69, 'attention_heads': 4, 'hidden_dimension': 65, 'number_of_hidden_layers': 0, 'dropout_rate': 0.31014218797830545, 'global_pooling': 'max', 'learning_rate': 0.0004802248992491172, 'weight_decay': 5.464655412961448e-06, 'beta_0': 0.8262038692359346, 'beta_1': 0.9805993165968145, 'epsilon': 9.59589209320881e-05, 'balanced_loss': False, 'epochs': 151, 'early_stopping_patience': 17, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 20:06:32,837] Trial 210 finished with value: 0.9347360679596848 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6560695215411215, 'batch_size': 53, 'attention_heads': 4, 'hidden_dimension': 71, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3042687487029465, 'global_pooling': 'max', 'learning_rate': 0.0006758188184784419, 'weight_decay': 6.110243271447327e-06, 'beta_0': 0.8228254607355197, 'beta_1': 0.9817405800688247, 'epsilon': 6.267659021250229e-05, 'balanced_loss': False, 'epochs': 149, 'early_stopping_patience': 17, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 20:12:46,691] Trial 211 finished with value: 0.9579135557197951 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6502323487129811, 'batch_size': 64, 'attention_heads': 4, 'hidden_dimension': 68, 'number_of_hidden_layers': 0, 'dropout_rate': 0.317060680696719, 'global_pooling': 'max', 'learning_rate': 0.0004020513161790328, 'weight_decay': 4.610932774471588e-06, 'beta_0': 0.8333500644946114, 'beta_1': 0.9826022423091043, 'epsilon': 7.682895142760225e-05, 'balanced_loss': False, 'epochs': 146, 'early_stopping_patience': 17, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 20:18:44,802] Trial 212 finished with value: 0.9390078722818089 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6504278939204309, 'batch_size': 66, 'attention_heads': 4, 'hidden_dimension': 66, 'number_of_hidden_layers': 0, 'dropout_rate': 0.31895641646045986, 'global_pooling': 'max', 'learning_rate': 0.0005983134629273674, 'weight_decay': 4.611323403522165e-06, 'beta_0': 0.8282287745814745, 'beta_1': 0.9824101037104206, 'epsilon': 8.747839385921501e-05, 'balanced_loss': False, 'epochs': 143, 'early_stopping_patience': 17, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 20:24:37,690] Trial 213 finished with value: 0.9408663236443653 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6641845962642516, 'batch_size': 60, 'attention_heads': 4, 'hidden_dimension': 57, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3155565789223655, 'global_pooling': 'max', 'learning_rate': 0.00046941852153260425, 'weight_decay': 5.214522794154379e-06, 'beta_0': 0.8340146500628407, 'beta_1': 0.982936651702617, 'epsilon': 8.07716599871505e-05, 'balanced_loss': False, 'epochs': 145, 'early_stopping_patience': 17, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 20:30:57,040] Trial 214 finished with value: 0.938515546044421 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6697897917129076, 'batch_size': 75, 'attention_heads': 4, 'hidden_dimension': 72, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3057822510438539, 'global_pooling': 'max', 'learning_rate': 0.0003913379157428639, 'weight_decay': 7.410692503574823e-06, 'beta_0': 0.8322413909410915, 'beta_1': 0.9816933215437122, 'epsilon': 6.679110227928048e-05, 'balanced_loss': False, 'epochs': 160, 'early_stopping_patience': 18, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 20:37:06,393] Trial 215 finished with value: 0.9489927615957787 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6563568963064933, 'batch_size': 66, 'attention_heads': 4, 'hidden_dimension': 80, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3255418473113868, 'global_pooling': 'max', 'learning_rate': 0.0004332050298836805, 'weight_decay': 6.424017688268951e-06, 'beta_0': 0.8419503417394132, 'beta_1': 0.9826250122846918, 'epsilon': 6.595224259458957e-05, 'balanced_loss': False, 'epochs': 147, 'early_stopping_patience': 17, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 20:43:07,681] Trial 216 finished with value: 0.9558980240627154 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6627611812026318, 'batch_size': 71, 'attention_heads': 4, 'hidden_dimension': 77, 'number_of_hidden_layers': 0, 'dropout_rate': 0.33666318397131684, 'global_pooling': 'max', 'learning_rate': 0.0008108827829196827, 'weight_decay': 1.3080520073196897e-05, 'beta_0': 0.8200318409316354, 'beta_1': 0.9821350736756145, 'epsilon': 3.6235512597862e-05, 'balanced_loss': False, 'epochs': 150, 'early_stopping_patience': 17, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 20:48:57,866] Trial 217 finished with value: 0.9524444183168206 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.680632428731756, 'batch_size': 78, 'attention_heads': 4, 'hidden_dimension': 68, 'number_of_hidden_layers': 0, 'dropout_rate': 0.33533519803484463, 'global_pooling': 'max', 'learning_rate': 0.0008154358182170932, 'weight_decay': 8.26916202706969e-06, 'beta_0': 0.8199343043870011, 'beta_1': 0.9820640492412261, 'epsilon': 3.907449090438013e-05, 'balanced_loss': False, 'epochs': 150, 'early_stopping_patience': 17, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 61 with value: 0.9599624971991361.
