[I 2024-12-03 17:07:30,049] Using an existing study with name 'R8-GATv2-xlnet-xlnet-base-cased-Grouped-No_Aggregation' instead of creating a new one.
[I 2024-12-03 17:17:24,218] Trial 124 finished with value: 0.9439150432703614 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7797585912720805, 'batch_size': 128, 'attention_heads': 6, 'hidden_dimension': 123, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3283966195298372, 'global_pooling': 'max', 'learning_rate': 0.0005149059827268316, 'weight_decay': 1.2800199430164981e-06, 'beta_0': 0.8521407361763219, 'beta_1': 0.9878546125828463, 'epsilon': 1.7606316379859992e-08, 'balanced_loss': False, 'epochs': 77, 'early_stopping_patience': 21, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 118 with value: 0.955876017992461.
[I 2024-12-03 19:10:06,001] Trial 135 finished with value: 0.9439358916720135 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7674115872291959, 'batch_size': 101, 'attention_heads': 5, 'hidden_dimension': 132, 'number_of_hidden_layers': 0, 'dropout_rate': 0.307385405649443, 'global_pooling': 'max', 'learning_rate': 0.0005062374737816911, 'weight_decay': 2.648883489270883e-06, 'beta_0': 0.8529330105651333, 'beta_1': 0.9871078329702346, 'epsilon': 3.4375893681225876e-08, 'balanced_loss': False, 'epochs': 72, 'early_stopping_patience': 20, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-03 19:20:51,132] Trial 136 finished with value: 0.930991176850337 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7823161169226566, 'batch_size': 108, 'attention_heads': 5, 'hidden_dimension': 130, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3062720399801701, 'global_pooling': 'max', 'learning_rate': 0.0002114481512198497, 'weight_decay': 2.1101610114530727e-06, 'beta_0': 0.8536357897238213, 'beta_1': 0.9875111404403456, 'epsilon': 3.474537844551639e-08, 'balanced_loss': False, 'epochs': 74, 'early_stopping_patience': 20, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-03 19:31:43,200] Trial 137 finished with value: 0.9351549863372786 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7687460130638666, 'batch_size': 100, 'attention_heads': 5, 'hidden_dimension': 126, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5291787404848525, 'global_pooling': 'max', 'learning_rate': 0.0004911519524619641, 'weight_decay': 2.5715271703930707e-06, 'beta_0': 0.8559347249633154, 'beta_1': 0.9861841073157507, 'epsilon': 2.2660408184680152e-08, 'balanced_loss': False, 'epochs': 71, 'early_stopping_patience': 21, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-03 19:41:30,264] Trial 138 finished with value: 0.9447558708106372 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7985040977482067, 'batch_size': 126, 'attention_heads': 6, 'hidden_dimension': 112, 'number_of_hidden_layers': 0, 'dropout_rate': 0.31706921870121896, 'global_pooling': 'max', 'learning_rate': 0.000356045562805092, 'weight_decay': 2.7144743722640543e-06, 'beta_0': 0.8468612306420481, 'beta_1': 0.9881537478775859, 'epsilon': 3.418612018948704e-08, 'balanced_loss': False, 'epochs': 77, 'early_stopping_patience': 20, 'plateau_patience': 17, 'plateau_divider': 4}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-03 19:51:17,070] Trial 139 finished with value: 0.9317101848997122 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7970385699976318, 'batch_size': 124, 'attention_heads': 6, 'hidden_dimension': 143, 'number_of_hidden_layers': 0, 'dropout_rate': 0.31765951750805077, 'global_pooling': 'max', 'learning_rate': 0.00036232283002714, 'weight_decay': 1.6266184530433274e-06, 'beta_0': 0.8524826567156399, 'beta_1': 0.9888969037379175, 'epsilon': 1.7171835850316113e-08, 'balanced_loss': False, 'epochs': 81, 'early_stopping_patience': 20, 'plateau_patience': 16, 'plateau_divider': 4}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-03 20:01:33,065] Trial 140 finished with value: 0.936543142630447 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7763276992140414, 'batch_size': 115, 'attention_heads': 6, 'hidden_dimension': 132, 'number_of_hidden_layers': 0, 'dropout_rate': 0.32673388232175216, 'global_pooling': 'max', 'learning_rate': 0.00016576491737282397, 'weight_decay': 2.5961596540206873e-06, 'beta_0': 0.8470514950836904, 'beta_1': 0.988085651875851, 'epsilon': 3.5459357729320724e-08, 'balanced_loss': True, 'epochs': 66, 'early_stopping_patience': 22, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-03 20:11:03,315] Trial 141 finished with value: 0.9392607298982547 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.7865543025286986, 'batch_size': 106, 'attention_heads': 7, 'hidden_dimension': 114, 'number_of_hidden_layers': 0, 'dropout_rate': 0.30055542075320674, 'global_pooling': 'max', 'learning_rate': 0.00028502503696090103, 'weight_decay': 1.3314752730426636e-06, 'beta_0': 0.863557185647673, 'beta_1': 0.9871935471030591, 'epsilon': 2.5887565789305922e-08, 'balanced_loss': False, 'epochs': 75, 'early_stopping_patience': 19, 'plateau_patience': 16, 'plateau_divider': 4}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-03 20:28:28,716] Trial 142 finished with value: 0.9336071735321594 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7973125566577403, 'batch_size': 93, 'attention_heads': 5, 'hidden_dimension': 139, 'number_of_hidden_layers': 4, 'dropout_rate': 0.30733323360141673, 'global_pooling': 'max', 'learning_rate': 0.00045276283200681707, 'weight_decay': 3.3373269615791567e-06, 'beta_0': 0.8588507476255097, 'beta_1': 0.987842504303347, 'epsilon': 5.0801803886637806e-08, 'balanced_loss': False, 'epochs': 66, 'early_stopping_patience': 21, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-03 20:38:01,094] Trial 143 finished with value: 0.941825853066345 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7677203019710418, 'batch_size': 128, 'attention_heads': 6, 'hidden_dimension': 111, 'number_of_hidden_layers': 0, 'dropout_rate': 0.31267543103529555, 'global_pooling': 'max', 'learning_rate': 0.0005787371315778235, 'weight_decay': 2.0064427397303056e-06, 'beta_0': 0.8492815696600325, 'beta_1': 0.9865374621994372, 'epsilon': 3.172985249013654e-08, 'balanced_loss': False, 'epochs': 90, 'early_stopping_patience': 20, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-03 20:47:38,524] Trial 144 finished with value: 0.9249012059571157 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7577830509257619, 'batch_size': 128, 'attention_heads': 6, 'hidden_dimension': 119, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3184734783855675, 'global_pooling': 'max', 'learning_rate': 0.0005284568329902104, 'weight_decay': 1.9684557200158325e-06, 'beta_0': 0.8484944551122237, 'beta_1': 0.9864723412172867, 'epsilon': 3.126619439532278e-08, 'balanced_loss': False, 'epochs': 88, 'early_stopping_patience': 20, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-03 20:57:31,270] Trial 145 finished with value: 0.9373658442111324 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7666351012983066, 'batch_size': 121, 'attention_heads': 6, 'hidden_dimension': 105, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3130925422701728, 'global_pooling': 'max', 'learning_rate': 0.0006172539408142686, 'weight_decay': 2.3343578908495694e-06, 'beta_0': 0.8549572357993287, 'beta_1': 0.9874844533164333, 'epsilon': 3.790558198942131e-08, 'balanced_loss': False, 'epochs': 71, 'early_stopping_patience': 20, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-03 21:07:19,447] Trial 146 finished with value: 0.9379120756100499 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.773062529089722, 'batch_size': 116, 'attention_heads': 7, 'hidden_dimension': 109, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3364414643879582, 'global_pooling': 'max', 'learning_rate': 0.00034707367691312455, 'weight_decay': 1.7093415387002021e-06, 'beta_0': 0.8522331600386981, 'beta_1': 0.9855775732927622, 'epsilon': 2.1373244072510445e-08, 'balanced_loss': False, 'epochs': 77, 'early_stopping_patience': 19, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-03 21:16:45,421] Trial 147 finished with value: 0.9196200796592877 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.781066329942469, 'batch_size': 124, 'attention_heads': 5, 'hidden_dimension': 122, 'number_of_hidden_layers': 0, 'dropout_rate': 0.32495399333907465, 'global_pooling': 'max', 'learning_rate': 0.00041057947056646465, 'weight_decay': 1.9728243896073127e-06, 'beta_0': 0.8467040257826423, 'beta_1': 0.9882895144963509, 'epsilon': 4.1480727883695413e-08, 'balanced_loss': False, 'epochs': 60, 'early_stopping_patience': 21, 'plateau_patience': 15, 'plateau_divider': 5}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-03 21:26:00,322] Trial 148 finished with value: 0.9252378933428903 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8218610716492055, 'batch_size': 110, 'attention_heads': 4, 'hidden_dimension': 101, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3191713980766357, 'global_pooling': 'max', 'learning_rate': 0.00022709029978068885, 'weight_decay': 0.0004464928539901912, 'beta_0': 0.8498452280093911, 'beta_1': 0.9903243040233819, 'epsilon': 1.767161857970549e-08, 'balanced_loss': False, 'epochs': 69, 'early_stopping_patience': 20, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-03 21:34:34,910] Trial 149 finished with value: 0.9290149422765585 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7896318339824555, 'batch_size': 80, 'attention_heads': 5, 'hidden_dimension': 115, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3081408426208708, 'global_pooling': 'mean', 'learning_rate': 0.0006232834961101744, 'weight_decay': 2.880906121641998e-06, 'beta_0': 0.8564936528484316, 'beta_1': 0.9870795645781647, 'epsilon': 2.9268689244779885e-08, 'balanced_loss': False, 'epochs': 84, 'early_stopping_patience': 11, 'plateau_patience': 17, 'plateau_divider': 4}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-03 21:44:14,577] Trial 150 finished with value: 0.935968789775562 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.777352122163464, 'batch_size': 130, 'attention_heads': 6, 'hidden_dimension': 130, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3295158471760769, 'global_pooling': 'max', 'learning_rate': 0.0004949298000929257, 'weight_decay': 1.4596839314206571e-06, 'beta_0': 0.8443131013712704, 'beta_1': 0.9857580291678374, 'epsilon': 1.3295336484480885e-08, 'balanced_loss': False, 'epochs': 77, 'early_stopping_patience': 19, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-03 21:53:29,731] Trial 151 finished with value: 0.9411501285822905 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8011234516854919, 'batch_size': 97, 'attention_heads': 6, 'hidden_dimension': 126, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3151411828974917, 'global_pooling': 'max', 'learning_rate': 0.00029133975688472357, 'weight_decay': 1.2018885274432613e-06, 'beta_0': 0.853939131917425, 'beta_1': 0.9886725431145729, 'epsilon': 1.0116423199190124e-08, 'balanced_loss': False, 'epochs': 65, 'early_stopping_patience': 21, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-03 22:03:05,325] Trial 152 finished with value: 0.9046750105054506 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8123356400946101, 'batch_size': 102, 'attention_heads': 6, 'hidden_dimension': 137, 'number_of_hidden_layers': 0, 'dropout_rate': 0.33529538146011406, 'global_pooling': 'sum', 'learning_rate': 0.000296666667703494, 'weight_decay': 1.1698827230235703e-06, 'beta_0': 0.8533865563901127, 'beta_1': 0.9877216887882858, 'epsilon': 1.6557730722198183e-08, 'balanced_loss': False, 'epochs': 64, 'early_stopping_patience': 22, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-03 22:12:17,458] Trial 153 finished with value: 0.9354854471400206 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7938606249836215, 'batch_size': 88, 'attention_heads': 6, 'hidden_dimension': 127, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3210613787806306, 'global_pooling': 'max', 'learning_rate': 0.0003656858762278108, 'weight_decay': 1.3758592420674643e-06, 'beta_0': 0.8510257813477057, 'beta_1': 0.9884268594191786, 'epsilon': 2.435062649128522e-08, 'balanced_loss': False, 'epochs': 52, 'early_stopping_patience': 21, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-03 22:21:56,101] Trial 154 finished with value: 0.9417527678680222 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8055807777608944, 'batch_size': 141, 'attention_heads': 5, 'hidden_dimension': 120, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3124278830859663, 'global_pooling': 'max', 'learning_rate': 0.0002535885723104656, 'weight_decay': 1.0191778629840152e-06, 'beta_0': 0.8581157864539855, 'beta_1': 0.9888369842750436, 'epsilon': 1.16318900488867e-08, 'balanced_loss': False, 'epochs': 58, 'early_stopping_patience': 20, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-03 22:31:26,336] Trial 155 finished with value: 0.9499975374563607 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8042567966743123, 'batch_size': 134, 'attention_heads': 5, 'hidden_dimension': 112, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3059103819386512, 'global_pooling': 'max', 'learning_rate': 0.00025682325736286766, 'weight_decay': 1.166350735928569e-06, 'beta_0': 0.8577126974233701, 'beta_1': 0.9890323222984196, 'epsilon': 1.007008541569851e-08, 'balanced_loss': False, 'epochs': 69, 'early_stopping_patience': 21, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-03 22:41:00,077] Trial 156 finished with value: 0.9332813268120803 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8051499964184221, 'batch_size': 138, 'attention_heads': 5, 'hidden_dimension': 112, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3048491201298157, 'global_pooling': 'max', 'learning_rate': 0.00019766602733229549, 'weight_decay': 1.095658235608202e-06, 'beta_0': 0.8601398613878348, 'beta_1': 0.9894846890079969, 'epsilon': 1.1901143397003511e-08, 'balanced_loss': False, 'epochs': 58, 'early_stopping_patience': 20, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-03 22:50:49,164] Trial 157 finished with value: 0.8729036776421393 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8274141791073563, 'batch_size': 133, 'attention_heads': 5, 'hidden_dimension': 119, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5738443109088558, 'global_pooling': 'max', 'learning_rate': 0.00012762611807702568, 'weight_decay': 1.0558507191602842e-06, 'beta_0': 0.8576652052762712, 'beta_1': 0.9880104778449464, 'epsilon': 1.4589566673604585e-08, 'balanced_loss': False, 'epochs': 68, 'early_stopping_patience': 21, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-03 23:00:09,280] Trial 158 finished with value: 0.9212787673227426 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7634640789491902, 'batch_size': 144, 'attention_heads': 4, 'hidden_dimension': 108, 'number_of_hidden_layers': 0, 'dropout_rate': 0.30128921509456114, 'global_pooling': 'max', 'learning_rate': 0.0002323959201449761, 'weight_decay': 1.6121875512526363e-06, 'beta_0': 0.8658648343031524, 'beta_1': 0.9890883680187049, 'epsilon': 2.120596559221284e-08, 'balanced_loss': False, 'epochs': 54, 'early_stopping_patience': 21, 'plateau_patience': 15, 'plateau_divider': 4}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-03 23:09:37,572] Trial 159 finished with value: 0.9223191174127283 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8176344915276453, 'batch_size': 121, 'attention_heads': 7, 'hidden_dimension': 133, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3261189089415695, 'global_pooling': 'max', 'learning_rate': 0.0004011547229249582, 'weight_decay': 1.843211045933428e-06, 'beta_0': 0.8572073409224225, 'beta_1': 0.9899689098209133, 'epsilon': 1.0050378974204279e-08, 'balanced_loss': False, 'epochs': 71, 'early_stopping_patience': 20, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-03 23:19:25,176] Trial 160 finished with value: 0.9348396464682511 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7708380113810758, 'batch_size': 128, 'attention_heads': 5, 'hidden_dimension': 115, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3156695330422712, 'global_pooling': 'max', 'learning_rate': 0.00025780011949150987, 'weight_decay': 1.2913565650220425e-06, 'beta_0': 0.8620217429463363, 'beta_1': 0.9867874650111713, 'epsilon': 4.374290368416648e-08, 'balanced_loss': False, 'epochs': 83, 'early_stopping_patience': 22, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-03 23:30:14,303] Trial 161 finished with value: 0.9252125550045179 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7557225243020977, 'batch_size': 138, 'attention_heads': 8, 'hidden_dimension': 97, 'number_of_hidden_layers': 0, 'dropout_rate': 0.30764116795172425, 'global_pooling': 'max', 'learning_rate': 0.00015756817558042302, 'weight_decay': 2.1755879919801587e-06, 'beta_0': 0.8554716875313929, 'beta_1': 0.9872852476313556, 'epsilon': 4.920532184995868e-08, 'balanced_loss': True, 'epochs': 89, 'early_stopping_patience': 20, 'plateau_patience': 17, 'plateau_divider': 4}. Best is trial 125 with value: 0.9564763717525835.
