[I 2025-04-02 05:20:10,662] Using an existing study with name 'R8-GATv2-facebook-bart-large-Grouped-Sliding_Windows' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (1136 > 1024). Running this sequence through the model will result in indexing errors
[I 2025-04-02 05:41:21,354] Trial 86 finished with value: 0.9515923302378282 and parameters: {'left_stride': 128, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 7, 'batch_size': 178, 'attention_heads': 15, 'hidden_dimension': 156, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4048699684125278, 'global_pooling': 'sum', 'learning_rate': 4.289508525680972e-05, 'weight_decay': 1.8088337220390983e-06, 'beta_0': 0.8770979018340199, 'beta_1': 0.9973513285928638, 'epsilon': 3.123964209484982e-08, 'balanced_loss': False, 'epochs': 62, 'early_stopping_patience': 12, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 62 with value: 0.9687154820835029.
[I 2025-04-02 08:36:37,519] Trial 96 finished with value: 0.9601530004572456 and parameters: {'left_stride': 128, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 6, 'batch_size': 125, 'attention_heads': 14, 'hidden_dimension': 235, 'number_of_hidden_layers': 4, 'dropout_rate': 0.39018971232757094, 'global_pooling': 'sum', 'learning_rate': 0.00013789506572622185, 'weight_decay': 1.3025662879292024e-06, 'beta_0': 0.8562975912254224, 'beta_1': 0.9985131431098386, 'epsilon': 1.5687859981798205e-08, 'balanced_loss': False, 'epochs': 66, 'early_stopping_patience': 10, 'plateau_patience': 23, 'plateau_divider': 8}. Best is trial 62 with value: 0.9687154820835029.
[I 2025-04-02 08:54:02,561] Trial 97 finished with value: 0.9440906238433565 and parameters: {'left_stride': 256, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 7, 'batch_size': 213, 'attention_heads': 13, 'hidden_dimension': 179, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3665345865636484, 'global_pooling': 'sum', 'learning_rate': 4.8479164440569256e-05, 'weight_decay': 2.0108848220991586e-06, 'beta_0': 0.8657175889864605, 'beta_1': 0.997744380405916, 'epsilon': 1.1435498301651391e-08, 'balanced_loss': False, 'epochs': 84, 'early_stopping_patience': 11, 'plateau_patience': 20, 'plateau_divider': 2}. Best is trial 62 with value: 0.9687154820835029.
[I 2025-04-02 09:08:57,969] Trial 98 finished with value: 0.9530715012366263 and parameters: {'left_stride': 128, 'right_stride': 32, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 6, 'batch_size': 182, 'attention_heads': 10, 'hidden_dimension': 218, 'number_of_hidden_layers': 4, 'dropout_rate': 0.36010918201219555, 'global_pooling': 'sum', 'learning_rate': 0.0001834709609431915, 'weight_decay': 4.049377955412611e-06, 'beta_0': 0.8612008781830641, 'beta_1': 0.9969664089244022, 'epsilon': 2.676906273753743e-07, 'balanced_loss': False, 'epochs': 50, 'early_stopping_patience': 13, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 62 with value: 0.9687154820835029.
[I 2025-04-02 09:25:22,498] Trial 99 finished with value: 0.9455427387614181 and parameters: {'left_stride': 128, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 7, 'batch_size': 140, 'attention_heads': 11, 'hidden_dimension': 238, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3471804554453543, 'global_pooling': 'sum', 'learning_rate': 0.0004244310885097375, 'weight_decay': 7.745374767656481e-06, 'beta_0': 0.8194493051071524, 'beta_1': 0.995916146672905, 'epsilon': 4.7263317471357096e-08, 'balanced_loss': False, 'epochs': 70, 'early_stopping_patience': 11, 'plateau_patience': 23, 'plateau_divider': 8}. Best is trial 62 with value: 0.9687154820835029.
[I 2025-04-02 09:43:01,494] Trial 100 finished with value: 0.9579884967433037 and parameters: {'left_stride': 32, 'right_stride': 32, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 5, 'batch_size': 238, 'attention_heads': 12, 'hidden_dimension': 196, 'number_of_hidden_layers': 4, 'dropout_rate': 0.42058757098812205, 'global_pooling': 'sum', 'learning_rate': 8.491698092747771e-05, 'weight_decay': 2.4694468705687826e-06, 'beta_0': 0.8250806481693287, 'beta_1': 0.9964764514690211, 'epsilon': 3.746997233119492e-08, 'balanced_loss': True, 'epochs': 94, 'early_stopping_patience': 10, 'plateau_patience': 19, 'plateau_divider': 7}. Best is trial 62 with value: 0.9687154820835029.
[I 2025-04-02 09:59:54,383] Trial 101 finished with value: 0.9622841466494031 and parameters: {'left_stride': 64, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 6, 'batch_size': 199, 'attention_heads': 14, 'hidden_dimension': 171, 'number_of_hidden_layers': 3, 'dropout_rate': 0.40263996523704426, 'global_pooling': 'sum', 'learning_rate': 0.0001364835421510723, 'weight_decay': 1.506625345979276e-05, 'beta_0': 0.8617677347619944, 'beta_1': 0.995283718628527, 'epsilon': 6.944087083482696e-08, 'balanced_loss': False, 'epochs': 129, 'early_stopping_patience': 12, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 62 with value: 0.9687154820835029.
[I 2025-04-02 10:18:51,720] Trial 102 finished with value: 0.9685511840869133 and parameters: {'left_stride': 64, 'right_stride': 32, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 5, 'batch_size': 173, 'attention_heads': 15, 'hidden_dimension': 174, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4025167904575312, 'global_pooling': 'max', 'learning_rate': 6.688298151336115e-05, 'weight_decay': 1.6366471840847422e-05, 'beta_0': 0.8457551408318714, 'beta_1': 0.9943717492632251, 'epsilon': 8.317120346749953e-08, 'balanced_loss': False, 'epochs': 128, 'early_stopping_patience': 12, 'plateau_patience': 13, 'plateau_divider': 4}. Best is trial 62 with value: 0.9687154820835029.
[I 2025-04-02 10:38:35,361] Trial 103 finished with value: 0.960766975231796 and parameters: {'left_stride': 64, 'right_stride': 32, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 5, 'batch_size': 209, 'attention_heads': 15, 'hidden_dimension': 158, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4452177682416815, 'global_pooling': 'max', 'learning_rate': 6.257076530716389e-05, 'weight_decay': 1.6944335409538362e-05, 'beta_0': 0.8450960743863489, 'beta_1': 0.9944199724085103, 'epsilon': 1.2913677465256546e-07, 'balanced_loss': False, 'epochs': 129, 'early_stopping_patience': 18, 'plateau_patience': 13, 'plateau_divider': 4}. Best is trial 62 with value: 0.9687154820835029.
[I 2025-04-02 10:57:36,205] Trial 104 finished with value: 0.971414961540932 and parameters: {'left_stride': 64, 'right_stride': 32, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 5, 'batch_size': 174, 'attention_heads': 16, 'hidden_dimension': 170, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4114163284314029, 'global_pooling': 'max', 'learning_rate': 0.00011692395918299764, 'weight_decay': 1.4538581673908904e-05, 'beta_0': 0.8329918330363952, 'beta_1': 0.9936582476362772, 'epsilon': 7.108371675174022e-08, 'balanced_loss': False, 'epochs': 141, 'early_stopping_patience': 12, 'plateau_patience': 15, 'plateau_divider': 3}. Best is trial 104 with value: 0.971414961540932.
[I 2025-04-02 11:11:54,648] Trial 105 finished with value: 0.9570480997781134 and parameters: {'left_stride': 64, 'right_stride': 32, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 5, 'batch_size': 201, 'attention_heads': 16, 'hidden_dimension': 171, 'number_of_hidden_layers': 3, 'dropout_rate': 0.41418946411812935, 'global_pooling': 'max', 'learning_rate': 0.00030097993482342195, 'weight_decay': 1.0639686127380507e-05, 'beta_0': 0.8327810952489273, 'beta_1': 0.9936909373820033, 'epsilon': 6.968415137507178e-08, 'balanced_loss': False, 'epochs': 137, 'early_stopping_patience': 13, 'plateau_patience': 15, 'plateau_divider': 3}. Best is trial 104 with value: 0.971414961540932.
[I 2025-04-02 11:30:52,435] Trial 106 finished with value: 0.9648936979345587 and parameters: {'left_stride': 64, 'right_stride': 32, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 5, 'batch_size': 164, 'attention_heads': 16, 'hidden_dimension': 174, 'number_of_hidden_layers': 3, 'dropout_rate': 0.40649729804596046, 'global_pooling': 'max', 'learning_rate': 6.789932138552183e-05, 'weight_decay': 2.949837550182928e-05, 'beta_0': 0.8425980227180367, 'beta_1': 0.9953824902182777, 'epsilon': 9.489859920437552e-08, 'balanced_loss': False, 'epochs': 143, 'early_stopping_patience': 13, 'plateau_patience': 13, 'plateau_divider': 4}. Best is trial 104 with value: 0.971414961540932.
[I 2025-04-02 11:49:07,933] Trial 107 finished with value: 0.9602316940036749 and parameters: {'left_stride': 64, 'right_stride': 32, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 5, 'batch_size': 165, 'attention_heads': 16, 'hidden_dimension': 146, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4264109993086331, 'global_pooling': 'max', 'learning_rate': 7.116947689004973e-05, 'weight_decay': 2.7135149673475657e-05, 'beta_0': 0.8476345105880326, 'beta_1': 0.9927820810209224, 'epsilon': 9.533944719044835e-08, 'balanced_loss': False, 'epochs': 148, 'early_stopping_patience': 20, 'plateau_patience': 13, 'plateau_divider': 2}. Best is trial 104 with value: 0.971414961540932.
