dataset,index,split,text
R8,570,test,healthsouth hsrc o makes acquisition healthsouth rehabilitation corp said it has acquired pine island sports medicine center in fort lauderdale fla and will incorporate the facility into its healthsouth rehabilitation center of fort lauderdale which is now under construction and should be in operation by mid summer terms were not disclosed reuter
Ohsumed,1952,test,"Immediate reproducibility of electrically induced sustained monomorphic ventricular tachycardia before and during antiarrhythmic therapy   The immediate reproducibility of sustained ventricular tachycardia induction was evaluated prospectively during 106 studies performed in 53 patients with clinical sustained monomorphic ventricular tachycardia.  Programmed electrical stimulation was performed twice, using the same protocol during 53 drug-free studies and 53 subsequent studies on antiarrhythmic therapy.  Sustained monomorphic ventricular tachycardia was reproduced in 104 (98%) of the 106 studies.  There was no significant difference in the incidence of reproducible tachycardia in the drug-free state compared with that observed during treatment with different classes of antiarrhythmic drugs.  An increase in the number of extrastimuli was required to reinitiate the tachycardia in 9 (11%) of 83 studies in which single or double extrastimuli were initially required to induce the tachycardia.  In 39 (37%) of 104 studies with reproducible tachycardia induction, the two tachycardias significantly differed in electrocardiographic (ECG) configuration and cycle length.  These observations suggest that the overall reproducibility of ventricular tachycardia induction is sufficiently high to provide a reliable marker for evaluating the efficacy of therapeutic interventions.  However, specific tachycardia characteristics such as cycle length and ECG configuration are more variable even within the same study and may be less useful in assessing the effects of subsequent interventions."
R8,1498,test,american filtrona corp afil o rd qtr shr cts vs cts net vs revs mln vs mln nine mths shr dlrs vs dlrs net vs revs mln vs mln note rd qtr includes a charge of dlrs or cts a share for relocation costs for phase out some operations reuter
SST-2,288,test,Maudlin and melodramatic we expected .
R8,262,validation,new plan realty trust npr nd qtr net qtr ends jan shr cts vs cts net vs revs vs avg shrs mln vs mln six mths shr cts vs cts net vs revs mln vs mln avg shrs mln vs mln note earnings were restated to reflect the three for two stock split on april one reuter
R8,767,test,travelers realty income triis o rd qtr net shr cts vs cts net vs revs vs nine mths shr cts vs dlrs net vs revs vs note full name of trust is travelers realty income investors reuter
SST-2,60,test,Any film featuring young children threatened by a terrorist bomb can no longer pass as mere entertainment .
R8,686,validation,cannon can audit to show significant loss the cannon group inc said its financial statements will show substantial losses for fiscal and significant downward adjustments in previously reported stockholders equity the company also said its audit being conducted by arthur young and co will cover the year ended january instead of the nine month period ended september as previously announced it said it anticipates the results of the audit will be available in mid to late april reuter
Ohsumed,675,test,"Vegetables, fruits, and carotenoids and the risk of cancer.  Low intake of vegetables, fruits, and carotenoids is consistently associated with increased risk of lung cancer in both prospective and retrospective studies.  In addition, low levels of beta-carotene in serum or plasma are consistently associated with the subsequent development of lung cancer.  The simplest explanation is that beta-carotene is protective.  Since retinol (preformed vitamin A) is not related in a similar manner to lung cancer risk, beta-carotene appears to function through a mechanism that does not require conversion into vitamin A.  However, the importance of other carotenoids and other constituents of vegetables and fruit has not been adequately explored.  Both prospective and retrospective studies suggest that vegetable and fruit intake may reduce the risk of cancers of the mouth, pharynx, larynx, esophagus, stomach, colon, rectum, bladder, and cervix.  But because of fewer studies and less consistency among studies, the epidemiologic evidence is at present less persuasive than for lung cancer."
SST-2,1167,test,"Nicolas Philibert observes life inside a one-room schoolhouse in northern France in his documentary To Be and to Have , easily one of the best films of the year ."
R8,667,validation,world bank chief pledges support to indonesia world bank president barber conable pledged the bank s support to help indonesia adjust to lower world oil prices but said further deregulation of its protected economy was needed speaking to reporters after talks with president suharto he said he expected jakarta to do more to liberalise the economy and deregulate trade policy indonesia hurt by the fall in oil prices last year which cut the value of its crude exports in half is the third world s sixth largest debtor it has received billion dlrs from the world bank in the past years conable said the world bank which granted indonesia a mln dlr loan last month to help its balance of payments was prepared to back jakarta in taking the right steps to adjust to lower oil and primary commodity prices we are prepared to support those steps which we believe are consistent with the development of the indonesian economy he said he said jakarta s willingness to move quickly after last year s collapse in oil price saved indonesia from some of the difficulties now faced by other countries indonesia devalued its currency by pct against the dollar in september to avoid a balance of payments crisis and has announced a series of measures since may intended to stimulate exports encourage foreign investment and revitalise the economy however key monopolies in areas like steel and plastics and high tariff barriers remain in place conable arrived in indonesia on saturday and has since met indonesian cabinet ministers to review the country s borrowing needs and the impact of falling oil prices on the country reuter
Ohsumed,1788,test,"Prognostic value of thallium-201 perfusion defects in idiopathic dilated cardiomyopathy.  To assess the prognostic significance of thallium-201 perfusion defects in patients with idiopathic dilated cardiomyopathy (IDC), 43 patients underwent thallium scintigraphy in addition to clinical, echocardiographic, angiographic and hemodynamic evaluation.  Eleven patients had no significant thallium perfusion abnormality, 19 had multiple small defects and 13 had a large defect.  During 3.2 +/- 2.2 years, 14 patients had disease-related mortality.  The patients who died had a higher incidence of ventricular tachycardia (71 vs 31%; p less than 0.02), increased cardiothoracic ratio (60 +/- 6 vs 54 +/- 6; p = 0.005), decreased fractional shortening (11 +/- 6 vs 15 +/- 5; p less than 0.05), increased pulmonary wedge pressure (15 +/- 7 vs 10 +/- 6 mm Hg; p = 0.05), increased left ventricular end-diastolic pressure (21 +/- 8 vs 14 +/- 6 mm Hg; p = 0.02) and abnormal thallium perfusion defects (13 of 14 vs 16 of 26; p less than 0.05) compared with survivors.  Age, gender, left ventricular end-systolic and end-diastolic dimensions, cardiac index and ejection fraction were not statistically different in the survivors versus the patients who died.  Kaplan-Meier survival estimates at 1, 3 and 5 years were 100% in patients without significant perfusion abnormality; 89, 77 and 64%, respectively, in patients with multiple small defects; and 84, 76 and 30%, respectively, in patients with a large defect (p less than 0.025 by log rank test)."
SST-2,795,validation,"And if you 're not nearly moved to tears by a couple of scenes , you 've got ice water in your veins ."
R8,94,validation,saudi oil minister sees no need to alter opec pact saudi arabian oil minister hisham nazer said opec s december agreement to stabilise oil prices at dlrs a barrel was being implemented satisfactorily and there was no immediate need to change it nazer in an interview with reuters and the television news agency visnews said saudi arabia was producing around three mln barrels per day bpd of crude oil well below its opec quota saudi arabia the world s largest oil exporter will continue to restrain production as long as other opec members adhere to the pact nazer said the nation opec agreed in december to cut its production ceiling by pct to mln bpd and abide by fixed prices averaging dlrs a barrel from february nazer in his first interview since succeeding ahmed zaki yamani last october said i do not foresee any need for new measures before the th of june when our next opec meeting will take place as scheduled nazer said opec was producing below mln bpd and all members were abiding by its agreements we ve heard news every now and then of violations but they were not at all verified he said opec production curbs have boosted world oil prices from a year low of around eight dlrs a barrel last august to near dlrs after announcement of the december pact spot market prices slipped some two dlrs in february but have firmed in the past two weeks to near opec levels as traders gained confidence in opec price and output discipline nazer said saudi arabia would continue to produce below its mln bpd quota if necessary to defend the dlr price as long as all the opec members adhere to the program as devised in december saudi arabia will continue to adhere to the agreement he said current production of three mln bpd includes oil from the neutral zone shared with kuwait but not sales from floating storage nazer said king fahd of saudi arabia in an interview with reuters and visnews on march said the kingdom wanted oil price stability and called on non opec producers to avoid harmful competition with opec saudi arabia doesn t decide prices by itself but certainly desires price stability he said nazer said the output level did not mean the kingdom had returned to a role of swing producer within opec saudi arabia allowed its output to sink as low as two mln bpd in august to compensate for slack demand and over production by some opec states saudi arabia is not playing that role it is being played by opec membership as a whole because the reduction in the mln bpd share of opec in the market is being shared by other members of opec nazer said nazer said opec estimated demand for its oil during third quarter this year would be around mln bpd but he said if circumstances changed i am sure then the opec members will consult with each other and take the necessary measures oil analysts say the opec pact could come under strain when demand for petroleum products generally falls in the northern hemisphere spring and summer nazer said he was satisfied with the extent of cooperation from non opec producers norway egypt and the soviet union agreed to help opec by restraining production or exports after he visited them on opec s behalf earlier this year we did not ask any country to do anything these were programmes they thought were necessary to stabilise market conditions and to help themselves attain better pricing conditions nazer said he said it was up to countries that declined to cooperate such as britain to come up with their own proposals if they saw fit reuter
R8,631,test,revlon group agrees to merge with macandrews and forbes group for dlrs shr cash
SST-2,1592,test,"Places a slightly believable love triangle in a difficult-to-swallow setting , and then disappointingly moves the story into the realm of an improbable thriller ."
Ohsumed,3630,test,"Ligamentous laxity across C0-C1-C2 complex. Axial torque-rotation characteristics until failure.  The axial torque until failure of the ligamentous occipito-atlanto-axial complex (C0-C1-C2) subjected to axial angular rotation (theta) was characterized using a biaxial MTS system.  A special fixture and gearbox that permitted right axial rotation of the specimen until failure without imposing any additional constraints were designed to obtain the data.  The average values for the axial rotation and torque at the point of maximum resistance were, respectively, 68.1 degrees and 13.6 N-m.  The specimens offered minimal resistance (approximately 0.5 N-m), up to an average axial rotation of 21 degrees across the complex.  The torque-angular rotation (T-theta) curve can be divided into four regions: regions of least and steadily increasing resistances, a transition zone that connects these two regions, and the increasing resistance region to the point of maximum resistance.  The regions of least and steadily increasing resistances may be represented by two straight lines with average slopes of 0.028 and 0.383 N-m/degree, respectively.  Post-test dissection of the specimens disclosed the following.  The point of maximum resistance corresponded roughly to the value of axial rotation at which complete bilateral rotary dislocation of the C1-C2 facets occurred.  The types of injuries observed were related to the magnitude of axial rotation imposed on a specimen during testing.  Soft-tissue injuries alone (like stretch/rupture of the capsular ligaments, subluxation of the C1-C2 facets, etc.) were confined to specimens rotated up to or close to the point of maximum resistance.  The specimens that were subjected to rotations up to the point of maximum resistance of the curve spontaneously reduced completely on removal from the testing apparatus.  Spontaneous reduction was not possible for specimens tested slightly beyond their points of maximum resistance."
R8,1729,test,group lifts airlease fly stake to pct a group of firms led by ps group inc psg said it increased its stake in airlease ltd depositary units representing limited partners interest to units or pct of the total outstanding from a previous figure of approximately units or pct in a filing with the securities and exchange commission the group said it bought airlease units between july andf october at dlrs to dlrs a share no reason was given for the recent purchases reuter
Ohsumed,2547,test,"Movement analysis--an aid to early diagnosis of cerebral palsy.  The purpose of this article is to review research related to the use of clinical analysis of movement as an aid to the early diagnosis of cerebral palsy.  A historical perspective of clinical techniques used by physicians and physical therapists in the early diagnosis of cerebral palsy will be presented first, including recent research findings on clinical signs that were most predictive of this movement disorder.  Predictive neuromotor behaviors common across several recent studies will be highlighted.  Future trends in the use of movement analysis, including digitized kinematic analysis of term and preterm infants and fetal ultrasound techniques, will be discussed as well."
Ohsumed,3129,test,"Ascorbic acid effects on vitamin D hormone metabolism and binding in guinea pigs.  Ascorbic acid deficiency in guinea pigs fed a vitamin D-replete diet caused a moderate reduction of Ca level in serum and bone; 25-hydroxy-cholecalciferol or 25-hydroxyergocalciferol (25-OHD) serum concentration tended to decline; renal 25-hydroxycholecalciferol-1-hydroxylase (1-OHase) activity decreased 50%; and 25-hydroxycholecalciferol-24-hydroxylase activity increased 1.6-fold.  Chromatin 1,25-dihydroxycholecalciferol [1,25-(OH)2D3] receptor concentration in the intestinal mucosa decreased 20-30%, and the percentage of occupied receptors decreased from 12-15% to 6-8%.  Receptor affinity for 1,25-(OH)2D3 did not change (Kd = 0.24-0.26 nmol/L, Kd2 = 0.06-0.10 nmol/L), but the cooperativity coefficient decreased from 1.7 to 1.4.  Vitamin C deficiency potentiated effects of vitamin D deprivation and impaired a restorative action of vitamin D.  It was accompanied by a marked delay in the elevation of 25-OHD concentration in serum as well as decreased 1-OHase activity in kidneys and a lower concentration of occupied 1,25-(OH)2D3 receptors in the intestinal mucosa.  The data demonstrate a critical role for ascorbic acid in vitamin D metabolism and binding."
Ohsumed,591,validation,"Effect of serum from patients with minimal to mild endometriosis on mouse embryo development in vitro.  Two-cell mouse embryos were cultured at 37 degrees C in 5% CO2, 95% air with a 7.5% serum supplement from patients with minimal to mild endometriosis, (group I, n = 31), tubal factor (group II, n = 33), male factor (group III, n = 17), fetal cord samples (group IV, n = 37), and Ham's F-10 medium (Gibco, Grand Island, NY) without a serum supplement (group V, n = 30).  The progression to blastocyst stage (mean percent +/- SE) at 96 hours in groups I, II, III, IV, and V was 29.9% +/- 3.7%, 60.6% +/- 4.9%, 56.2% +/- 5.2%, 61.7% +/- 5.8%, and 63.2% +/- 6.9%, respectively.  Serum factors appear to be associated with an inhibition of early embryogenesis, which may explain the decreased fertility rates observed in patients with minimal to mild endometriosis."
R8,1263,test,thera care inc to acquire cushing thera care inc said it agreed to acquire cushing and associates of glendale calif in exchange for thera care shares reuter
Ohsumed,3429,test,"Does cholesterol screening result in negative labeling effects? Results of the Massachusetts Model Systems for Blood Cholesterol Screening Project.  Several previous studies that looked at the effects of labeling individuals as hypertensive found increases in psychosocial distress, diminished feelings of well-being, or absenteeism.  Other studies found no such effects.  Thus far, similar studies relating to labeling for high blood cholesterol levels have not been published.  The Massachusetts Model Systems for Blood Cholesterol Screening Project investigated whether labeling effects occurred as a result of the community-based screening, education, and referral programs it conducted in Worcester and Lowell.  Nine questions concerning perceptions of physical and psychological well-being were asked on a questionnaire given to screening participants.  The same questions were asked as part of a follow-up questionnaire given to all individuals identified as having high blood cholesterol levels at one of the screenings.  Comparison of the baseline and follow-up results did not demonstrate significant overall negative effects among any age, sex, racial, income, or educational groups.  On the contrary, responses to many of the questions revealed small but statistically significant improvements in perceptions of physical and psychological well-being.  The absence of negative labeling effects may be attributable to the positive, supportive approach to participant counseling taken by the project."
Ohsumed,1071,test,"Psychosocial adjustment in women with breast cancer.  There is a plethora of studies investigating psychosocial adjustment in women with breast cancer, its correlates, clinical course, and prognosis.  These studies have been conducted with varying degrees of methodologic rigor.  An assessment has been made of the quality of this existing evidence to identify from the best evidence the factors which predict the adjustment status of women with breast cancer.  Studies have been reviewed, using methodologic standards for the critical appraisal of studies on prognosis, developed by Sackett and colleagues in the Department of Clinical Epidemiology and Biostatistics at McMaster University (Hamilton, Ontario, Canada).  Few of the studies investigating psychosocial adjustment of women with breast cancer meet all of the criteria for reviewing studies of clinical course and prognosis.  This review focuses the direction and methodologic rigor required in future investigations.  In particular, studies are needed that employ prospective designs and that deliberately measure or control for the extraneous prognostic variables that may affect adjustment.  Future investigations need to incorporate adequate precision in measurement so that measures of the psychosocial variables are objective, reliable, and valid."
SST-2,963,test,"A masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview ."
R8,344,test,madeira in letter of intent to be acquired madeira inc said it signed a letter of intent to be acquired by tradevest inc through a stock for stock exchange after completion of the transaction tradevest would own pct of the issued outstanding stock of madeira reuter
SST-2,592,validation,"Delivers the same old same old , tarted up with Latin flava and turned out by Hollywood playas ."
Ohsumed,3715,test,"Hirudin interruption of heparin-resistant arterial thrombus formation in baboons.  To determine the role of thrombin in high blood flow, platelet-dependent thrombotic and hemostatic processes we measured the relative antithrombotic and antihemostatic effects in baboons of hirudin, a highly potent and specific antithrombin, and compared the effects of heparin, an antithrombin III-dependent inhibitor of thrombin.  Thrombus formation was determined in vivo using three relevant models (homologous endarterectomized aorta, collagen-coated tubing, and Dacron vascular graft) by measuring: (1) platelet deposition, using gamma camera imaging of 111In-platelets; (2) fibrin deposition, as assessed by the incorporation of circulating 125I-fibrinogen; and (3) occlusion.  The continuous intravenous infusion of 1, 5, and 20 nmol/kg per minute of recombinant hirudin (desulfatohirudin) maintained constant plasma levels of 0.16 +/- 0.03, 0.79 +/- 0.44, and 3.3 +/- 0.77 mumol/mL, respectively.  Hirudin interrupted platelet and fibrin deposition in a dose-dependent manner that was profound at the highest dose for all three thrombogenic surfaces and significant at the lowest dose for thrombus formation on endarterectomized aorta.  Thrombotic occlusion was prevented by all doses studied.  In contrast, heparin did not inhibit either platelet or fibrin deposition when administered at a dose that maximally prolonged clotting times (100 U/kg) (P greater than .1), and only intermediate effects were produced at 10-fold that dose (1,000 U/kg).  Moreover, heparin did not prevent occlusion of the test segments.  Hirudin inhibited platelet hemostatic function in concert with its antithrombotic effects (bleeding times were prolonged by the intermediate and higher doses).  By comparison, intravenous heparin failed to affect the bleeding time at the 100 U/kg dose (P greater than .5), and only minimally prolonged the bleeding time at the 1,000 U/kg dose (P less than .05).  We conclude that platelet-dependent thrombotic and hemostatic processes are thrombin-mediated and that the biologic antithrombin hirudin produces a potent, dose-dependent inhibition of arterial thrombus formation that greatly exceeds the minimal antithrombotic effects produced by heparin."
