[I 2024-11-11 10:48:49,432] A new study created in RDB with name: SST-2-GAT-google-bert-bert-base-uncased-Surrogate-No_Aggregation
[I 2024-11-11 10:53:18,720] Trial 0 finished with value: 0.8956422018348624 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.4319459866925097, 'batch_size': 226, 'attention_heads': 11, 'hidden_dimension': 191, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5909729556485983, 'global_pooling': 'mean', 'learning_rate': 5.415244119402538e-05, 'weight_decay': 8.179499475211674e-06, 'beta_0': 0.8510059609290175, 'beta_1': 0.9881622148267181, 'epsilon': 1.4618962793704927e-07, 'balanced_loss': True, 'epochs': 94, 'early_stopping_patience': 15, 'plateau_patience': 17, 'plateau_divider': 9}. Best is trial 0 with value: 0.8956422018348624.
[I 2024-11-11 11:51:28,511] Trial 11 finished with value: 0.8990825688073395 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.536666600754008, 'batch_size': 194, 'attention_heads': 13, 'hidden_dimension': 38, 'number_of_hidden_layers': 1, 'dropout_rate': 0.30095131165682665, 'global_pooling': 'mean', 'learning_rate': 0.0002119022330280815, 'weight_decay': 1.0205872152892703e-06, 'beta_0': 0.8003240779457693, 'beta_1': 0.9824250807567182, 'epsilon': 1.2516346557053152e-05, 'balanced_loss': False, 'epochs': 113, 'early_stopping_patience': 13, 'plateau_patience': 25, 'plateau_divider': 10}. Best is trial 1 with value: 0.9048165137614679.
[I 2024-11-11 11:55:30,079] Trial 12 finished with value: 0.8910550458715596 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.49206944168603733, 'batch_size': 201, 'attention_heads': 14, 'hidden_dimension': 59, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3040897658821819, 'global_pooling': 'mean', 'learning_rate': 0.00041449049427408574, 'weight_decay': 2.913668263525393e-06, 'beta_0': 0.8693372493535839, 'beta_1': 0.984156571934849, 'epsilon': 6.936340726862125e-06, 'balanced_loss': False, 'epochs': 118, 'early_stopping_patience': 14, 'plateau_patience': 22, 'plateau_divider': 8}. Best is trial 1 with value: 0.9048165137614679.
[I 2024-11-11 11:59:45,143] Trial 13 finished with value: 0.8944954128440367 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5907881674704788, 'batch_size': 156, 'attention_heads': 11, 'hidden_dimension': 145, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3441663671939189, 'global_pooling': 'mean', 'learning_rate': 0.005610538260615647, 'weight_decay': 2.763793481577481e-06, 'beta_0': 0.8037719582953017, 'beta_1': 0.9852518195891103, 'epsilon': 9.857378175131854e-05, 'balanced_loss': False, 'epochs': 94, 'early_stopping_patience': 10, 'plateau_patience': 23, 'plateau_divider': 10}. Best is trial 1 with value: 0.9048165137614679.
[I 2024-11-11 12:05:31,520] Trial 14 finished with value: 0.8899082568807339 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.4051528661166652, 'batch_size': 251, 'attention_heads': 16, 'hidden_dimension': 157, 'number_of_hidden_layers': 2, 'dropout_rate': 0.32944475179192634, 'global_pooling': 'mean', 'learning_rate': 9.740541676144142e-05, 'weight_decay': 2.182559164603337e-05, 'beta_0': 0.8707127337584692, 'beta_1': 0.980572646367564, 'epsilon': 3.0962180368753873e-06, 'balanced_loss': False, 'epochs': 128, 'early_stopping_patience': 16, 'plateau_patience': 23, 'plateau_divider': 8}. Best is trial 1 with value: 0.9048165137614679.
[I 2024-11-11 12:10:07,521] Trial 15 finished with value: 0.8864678899082569 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.4919682744362957, 'batch_size': 215, 'attention_heads': 13, 'hidden_dimension': 112, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4054884673535152, 'global_pooling': 'sum', 'learning_rate': 0.0036184760189898707, 'weight_decay': 1.0287547562956416e-06, 'beta_0': 0.8161839864939515, 'beta_1': 0.9836702925746292, 'epsilon': 3.2420163184186614e-05, 'balanced_loss': False, 'epochs': 93, 'early_stopping_patience': 12, 'plateau_patience': 20, 'plateau_divider': 9}. Best is trial 1 with value: 0.9048165137614679.
[I 2024-11-11 12:15:12,854] Trial 16 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6239862505942961, 'batch_size': 38, 'attention_heads': 11, 'hidden_dimension': 84, 'number_of_hidden_layers': 1, 'dropout_rate': 0.47751370345497995, 'global_pooling': 'mean', 'learning_rate': 4.668445840493255e-05, 'weight_decay': 4.190508597734932e-06, 'beta_0': 0.8620279567642071, 'beta_1': 0.9872733556597069, 'epsilon': 3.68307712727664e-06, 'balanced_loss': False, 'epochs': 138, 'early_stopping_patience': 12, 'plateau_patience': 25, 'plateau_divider': 8}. Best is trial 1 with value: 0.9048165137614679.
[I 2024-11-11 12:19:31,650] Trial 17 finished with value: 0.8910550458715596 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.4847682835189247, 'batch_size': 169, 'attention_heads': 14, 'hidden_dimension': 130, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3863055967096356, 'global_pooling': 'mean', 'learning_rate': 0.0006361226904953428, 'weight_decay': 1.4588993877566352e-05, 'beta_0': 0.835091143169192, 'beta_1': 0.9826400665246026, 'epsilon': 1.4046318004764738e-06, 'balanced_loss': False, 'epochs': 108, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 10}. Best is trial 1 with value: 0.9048165137614679.
[I 2024-11-11 12:23:22,218] Trial 18 finished with value: 0.8910550458715596 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6174843694580934, 'batch_size': 229, 'attention_heads': 15, 'hidden_dimension': 32, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3235596770359338, 'global_pooling': 'mean', 'learning_rate': 0.0064117406699621, 'weight_decay': 8.875544139319314e-05, 'beta_0': 0.8823210525054231, 'beta_1': 0.9800399454571251, 'epsilon': 1.6712620241173656e-05, 'balanced_loss': True, 'epochs': 153, 'early_stopping_patience': 18, 'plateau_patience': 17, 'plateau_divider': 5}. Best is trial 1 with value: 0.9048165137614679.
[I 2024-11-11 12:28:15,705] Trial 19 finished with value: 0.8692660550458715 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.5032065302421345, 'batch_size': 130, 'attention_heads': 12, 'hidden_dimension': 164, 'number_of_hidden_layers': 2, 'dropout_rate': 0.44145350143095824, 'global_pooling': 'sum', 'learning_rate': 0.00013019200336855755, 'weight_decay': 1.962970900544332e-06, 'beta_0': 0.8983236767302065, 'beta_1': 0.9901693787007078, 'epsilon': 4.768499909831718e-05, 'balanced_loss': False, 'epochs': 68, 'early_stopping_patience': 14, 'plateau_patience': 24, 'plateau_divider': 9}. Best is trial 1 with value: 0.9048165137614679.
[I 2024-11-11 12:35:25,405] Trial 20 finished with value: 0.9002293577981652 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.45291044183300827, 'batch_size': 179, 'attention_heads': 16, 'hidden_dimension': 256, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5185544078673228, 'global_pooling': 'mean', 'learning_rate': 0.0009504990642789774, 'weight_decay': 1.4311563124266824e-05, 'beta_0': 0.8114042274330228, 'beta_1': 0.9864849169465214, 'epsilon': 1.454379895907022e-06, 'balanced_loss': False, 'epochs': 129, 'early_stopping_patience': 10, 'plateau_patience': 13, 'plateau_divider': 7}. Best is trial 1 with value: 0.9048165137614679.
[I 2024-11-11 12:43:50,329] Trial 21 finished with value: 0.893348623853211 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.5471402903662418, 'batch_size': 53, 'attention_heads': 16, 'hidden_dimension': 214, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5331791891974955, 'global_pooling': 'max', 'learning_rate': 0.0017325660534173414, 'weight_decay': 0.0008753106016925248, 'beta_0': 0.8876108508677143, 'beta_1': 0.9852011846109399, 'epsilon': 1.4840866432820656e-08, 'balanced_loss': False, 'epochs': 161, 'early_stopping_patience': 25, 'plateau_patience': 10, 'plateau_divider': 5}. Best is trial 1 with value: 0.9048165137614679.
[I 2024-11-11 12:50:25,977] Trial 22 finished with value: 0.8922018348623854 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.5363852252993859, 'batch_size': 139, 'attention_heads': 15, 'hidden_dimension': 182, 'number_of_hidden_layers': 3, 'dropout_rate': 0.3636148737116039, 'global_pooling': 'max', 'learning_rate': 0.0016220208967247063, 'weight_decay': 0.00025752936490146174, 'beta_0': 0.8900015733273464, 'beta_1': 0.985912680348607, 'epsilon': 4.29849147391195e-06, 'balanced_loss': False, 'epochs': 176, 'early_stopping_patience': 22, 'plateau_patience': 13, 'plateau_divider': 7}. Best is trial 1 with value: 0.9048165137614679.
[I 2024-11-11 12:55:19,112] Trial 23 finished with value: 0.8704128440366973 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.6310557706291609, 'batch_size': 122, 'attention_heads': 14, 'hidden_dimension': 212, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4734875699362077, 'global_pooling': 'max', 'learning_rate': 0.0866438695660128, 'weight_decay': 7.661903528912687e-05, 'beta_0': 0.8606353609299942, 'beta_1': 0.9880629552132959, 'epsilon': 1.3790421287109746e-05, 'balanced_loss': False, 'epochs': 143, 'early_stopping_patience': 23, 'plateau_patience': 15, 'plateau_divider': 5}. Best is trial 1 with value: 0.9048165137614679.
[I 2024-11-11 12:59:56,614] Trial 24 finished with value: 0.8922018348623854 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.4623043902782449, 'batch_size': 69, 'attention_heads': 16, 'hidden_dimension': 238, 'number_of_hidden_layers': 0, 'dropout_rate': 0.41595841237283065, 'global_pooling': 'max', 'learning_rate': 0.0005496332211702768, 'weight_decay': 0.00015290520837378099, 'beta_0': 0.8796211730123292, 'beta_1': 0.9831227491652428, 'epsilon': 1.88791284567249e-06, 'balanced_loss': False, 'epochs': 178, 'early_stopping_patience': 19, 'plateau_patience': 12, 'plateau_divider': 9}. Best is trial 1 with value: 0.9048165137614679.
[I 2024-11-11 13:04:09,337] Trial 25 finished with value: 0.893348623853211 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.4016818613218855, 'batch_size': 210, 'attention_heads': 12, 'hidden_dimension': 68, 'number_of_hidden_layers': 2, 'dropout_rate': 0.32725860356235004, 'global_pooling': 'max', 'learning_rate': 0.0033883344150559954, 'weight_decay': 4.2075996759663495e-05, 'beta_0': 0.8927644411112323, 'beta_1': 0.9816869993853398, 'epsilon': 5.716211067186602e-07, 'balanced_loss': False, 'epochs': 199, 'early_stopping_patience': 16, 'plateau_patience': 23, 'plateau_divider': 7}. Best is trial 1 with value: 0.9048165137614679.
[I 2024-11-11 13:10:07,972] Trial 26 finished with value: 0.8910550458715596 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.527241275536757, 'batch_size': 235, 'attention_heads': 15, 'hidden_dimension': 204, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5087037550910963, 'global_pooling': 'mean', 'learning_rate': 0.00021643535846958627, 'weight_decay': 0.0006252627995412806, 'beta_0': 0.8324014720281095, 'beta_1': 0.9844998272490676, 'epsilon': 7.546789164707456e-06, 'balanced_loss': False, 'epochs': 104, 'early_stopping_patience': 14, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 1 with value: 0.9048165137614679.
[I 2024-11-11 13:14:37,049] Trial 27 finished with value: 0.8956422018348624 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5816074652832908, 'batch_size': 177, 'attention_heads': 14, 'hidden_dimension': 173, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5642607785501139, 'global_pooling': 'mean', 'learning_rate': 0.00090558104149372, 'weight_decay': 4.549170573980796e-06, 'beta_0': 0.8584488603823837, 'beta_1': 0.9888684707504729, 'epsilon': 8.104762746320139e-07, 'balanced_loss': True, 'epochs': 82, 'early_stopping_patience': 11, 'plateau_patience': 18, 'plateau_divider': 6}. Best is trial 1 with value: 0.9048165137614679.
[I 2024-11-11 13:21:11,296] Trial 28 finished with value: 0.8715596330275229 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9451499231568425, 'batch_size': 256, 'attention_heads': 12, 'hidden_dimension': 142, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3415730911066579, 'global_pooling': 'max', 'learning_rate': 3.171706942841185e-05, 'weight_decay': 0.0003216972484901827, 'beta_0': 0.8757144986208472, 'beta_1': 0.9865086859751212, 'epsilon': 3.0018070782402095e-05, 'balanced_loss': False, 'epochs': 122, 'early_stopping_patience': 23, 'plateau_patience': 24, 'plateau_divider': 10}. Best is trial 1 with value: 0.9048165137614679.
[I 2024-11-11 13:25:51,144] Trial 29 finished with value: 0.8761467889908257 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.4511119592049025, 'batch_size': 217, 'attention_heads': 10, 'hidden_dimension': 189, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5910487319914106, 'global_pooling': 'sum', 'learning_rate': 7.183153330780255e-05, 'weight_decay': 1.4490300192557442e-06, 'beta_0': 0.8420761023331912, 'beta_1': 0.9876082249732772, 'epsilon': 1.1080378203863352e-08, 'balanced_loss': True, 'epochs': 100, 'early_stopping_patience': 15, 'plateau_patience': 17, 'plateau_divider': 9}. Best is trial 1 with value: 0.9048165137614679.
[I 2024-11-11 13:29:58,995] Trial 30 finished with value: 0.8944954128440367 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6529419156624269, 'batch_size': 163, 'attention_heads': 15, 'hidden_dimension': 233, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4574469205365798, 'global_pooling': 'mean', 'learning_rate': 0.009946717040107219, 'weight_decay': 1.144969955597034e-05, 'beta_0': 0.8861377506262254, 'beta_1': 0.9914526446160628, 'epsilon': 2.1003184516169407e-07, 'balanced_loss': False, 'epochs': 150, 'early_stopping_patience': 16, 'plateau_patience': 16, 'plateau_divider': 6}. Best is trial 1 with value: 0.9048165137614679.
[I 2024-11-11 13:35:35,496] Trial 31 finished with value: 0.8956422018348624 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.715732188398828, 'batch_size': 35, 'attention_heads': 10, 'hidden_dimension': 77, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5401050900558456, 'global_pooling': 'mean', 'learning_rate': 3.141916867464977e-05, 'weight_decay': 3.3175993727786885e-06, 'beta_0': 0.8619642382659882, 'beta_1': 0.98729364787939, 'epsilon': 3.1371687619757573e-06, 'balanced_loss': False, 'epochs': 131, 'early_stopping_patience': 12, 'plateau_patience': 25, 'plateau_divider': 8}. Best is trial 1 with value: 0.9048165137614679.
[I 2024-11-11 13:40:35,263] Trial 32 finished with value: 0.8979357798165137 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6129406753696441, 'batch_size': 47, 'attention_heads': 11, 'hidden_dimension': 47, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4927872807423852, 'global_pooling': 'mean', 'learning_rate': 4.269841120556906e-05, 'weight_decay': 1.8200815783835433e-06, 'beta_0': 0.8683239592819871, 'beta_1': 0.9846626270864866, 'epsilon': 5.890605200721741e-06, 'balanced_loss': False, 'epochs': 138, 'early_stopping_patience': 11, 'plateau_patience': 24, 'plateau_divider': 8}. Best is trial 1 with value: 0.9048165137614679.
[I 2024-11-11 13:44:32,327] Trial 33 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5712536043428754, 'batch_size': 68, 'attention_heads': 10, 'hidden_dimension': 91, 'number_of_hidden_layers': 1, 'dropout_rate': 0.419734366274012, 'global_pooling': 'mean', 'learning_rate': 0.000212290556228603, 'weight_decay': 4.342456569518725e-06, 'beta_0': 0.896875092595054, 'beta_1': 0.9889617250116749, 'epsilon': 1.0732366913131874e-05, 'balanced_loss': False, 'epochs': 164, 'early_stopping_patience': 13, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 1 with value: 0.9048165137614679.
[I 2024-11-11 13:48:36,010] Trial 34 finished with value: 0.8967889908256881 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6400411096462019, 'batch_size': 102, 'attention_heads': 8, 'hidden_dimension': 84, 'number_of_hidden_layers': 2, 'dropout_rate': 0.39543193750760375, 'global_pooling': 'mean', 'learning_rate': 0.0001434102590305468, 'weight_decay': 1.4936545326036014e-06, 'beta_0': 0.8546501396844828, 'beta_1': 0.986237283208035, 'epsilon': 2.753243813060648e-06, 'balanced_loss': False, 'epochs': 118, 'early_stopping_patience': 15, 'plateau_patience': 25, 'plateau_divider': 4}. Best is trial 1 with value: 0.9048165137614679.
[I 2024-11-11 13:53:46,591] Trial 35 finished with value: 0.893348623853211 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.4390773328456906, 'batch_size': 35, 'attention_heads': 9, 'hidden_dimension': 105, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4586993784109092, 'global_pooling': 'mean', 'learning_rate': 2.1821447927102737e-05, 'weight_decay': 2.079257652859424e-06, 'beta_0': 0.8471133410665773, 'beta_1': 0.9816751033622795, 'epsilon': 5.7509555928519195e-08, 'balanced_loss': False, 'epochs': 148, 'early_stopping_patience': 13, 'plateau_patience': 24, 'plateau_divider': 9}. Best is trial 1 with value: 0.9048165137614679.
[I 2024-11-11 13:58:23,243] Trial 36 finished with value: 0.893348623853211 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6688048919334307, 'batch_size': 60, 'attention_heads': 4, 'hidden_dimension': 51, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3708236983221711, 'global_pooling': 'max', 'learning_rate': 6.882844180636276e-05, 'weight_decay': 1.1417997833633168e-06, 'beta_0': 0.8272648333911315, 'beta_1': 0.9836759550721116, 'epsilon': 2.3200465079153582e-05, 'balanced_loss': True, 'epochs': 135, 'early_stopping_patience': 11, 'plateau_patience': 21, 'plateau_divider': 4}. Best is trial 1 with value: 0.9048165137614679.
[I 2024-11-11 14:02:08,724] Trial 37 finished with value: 0.8853211009174312 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7501380401284812, 'batch_size': 87, 'attention_heads': 13, 'hidden_dimension': 226, 'number_of_hidden_layers': 0, 'dropout_rate': 0.31629503206068876, 'global_pooling': 'sum', 'learning_rate': 0.002747194545770623, 'weight_decay': 0.0001432073915927479, 'beta_0': 0.8824804685097067, 'beta_1': 0.9901960670060076, 'epsilon': 3.078911380336382e-08, 'balanced_loss': False, 'epochs': 83, 'early_stopping_patience': 20, 'plateau_patience': 23, 'plateau_divider': 6}. Best is trial 1 with value: 0.9048165137614679.
