[I 2024-12-10 05:16:07,583] Using an existing study with name 'SST-2-GATv2-facebook-bart-large-Grouped-No_Aggregation' instead of creating a new one.
[I 2024-12-10 05:22:28,353] Trial 114 finished with value: 0.9518348623853211 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6055097156637782, 'batch_size': 219, 'attention_heads': 8, 'hidden_dimension': 56, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5844834650718685, 'global_pooling': 'max', 'learning_rate': 0.0019718889933175786, 'weight_decay': 4.6474207434727335e-06, 'beta_0': 0.8378043406276168, 'beta_1': 0.9932841423776535, 'epsilon': 2.5379523954348334e-07, 'balanced_loss': False, 'epochs': 61, 'early_stopping_patience': 14, 'plateau_patience': 19, 'plateau_divider': 4}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 07:28:03,458] Trial 134 finished with value: 0.9461009174311926 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.5605704314539809, 'batch_size': 184, 'attention_heads': 8, 'hidden_dimension': 36, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5810360030444396, 'global_pooling': 'max', 'learning_rate': 0.0015630275911294514, 'weight_decay': 8.110504443128567e-06, 'beta_0': 0.8382313466542151, 'beta_1': 0.9925117563827284, 'epsilon': 3.2802550189078124e-07, 'balanced_loss': False, 'epochs': 73, 'early_stopping_patience': 15, 'plateau_patience': 19, 'plateau_divider': 3}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 07:34:12,265] Trial 135 finished with value: 0.9472477064220184 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6195193884904031, 'batch_size': 212, 'attention_heads': 7, 'hidden_dimension': 49, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5999672188404922, 'global_pooling': 'max', 'learning_rate': 0.0026288746386210005, 'weight_decay': 3.216945630933327e-05, 'beta_0': 0.8454392666396291, 'beta_1': 0.9933183970078799, 'epsilon': 2.539583303322085e-07, 'balanced_loss': False, 'epochs': 69, 'early_stopping_patience': 19, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 07:40:30,876] Trial 136 finished with value: 0.9415137614678899 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6525233949841992, 'batch_size': 204, 'attention_heads': 4, 'hidden_dimension': 44, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5921191224163006, 'global_pooling': 'max', 'learning_rate': 0.0010379329688507113, 'weight_decay': 1.8986605044838115e-05, 'beta_0': 0.854958525557873, 'beta_1': 0.9917312585126713, 'epsilon': 1.6306973983746814e-07, 'balanced_loss': False, 'epochs': 63, 'early_stopping_patience': 19, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 07:46:45,415] Trial 137 finished with value: 0.9461009174311926 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.5985988605028139, 'batch_size': 217, 'attention_heads': 8, 'hidden_dimension': 58, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5687312725718132, 'global_pooling': 'max', 'learning_rate': 0.0038204841833897373, 'weight_decay': 2.6602484653642286e-05, 'beta_0': 0.8393985307089752, 'beta_1': 0.9907212469160775, 'epsilon': 8.718465761593239e-08, 'balanced_loss': False, 'epochs': 65, 'early_stopping_patience': 21, 'plateau_patience': 19, 'plateau_divider': 3}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 07:53:00,805] Trial 138 finished with value: 0.944954128440367 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.6408070864494823, 'batch_size': 195, 'attention_heads': 4, 'hidden_dimension': 62, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5604774537816646, 'global_pooling': 'max', 'learning_rate': 0.0018768935876607663, 'weight_decay': 1.690274313632227e-05, 'beta_0': 0.8418015434546464, 'beta_1': 0.9885122735873335, 'epsilon': 1.9896953529521795e-07, 'balanced_loss': False, 'epochs': 145, 'early_stopping_patience': 20, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 07:59:05,082] Trial 139 finished with value: 0.9461009174311926 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6729970122871847, 'batch_size': 236, 'attention_heads': 5, 'hidden_dimension': 54, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5773226653555186, 'global_pooling': 'max', 'learning_rate': 0.0006218433642878276, 'weight_decay': 2.2508036141410965e-05, 'beta_0': 0.8361806642458732, 'beta_1': 0.9945055832214152, 'epsilon': 5.668072348211469e-07, 'balanced_loss': True, 'epochs': 124, 'early_stopping_patience': 17, 'plateau_patience': 20, 'plateau_divider': 4}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 08:06:13,963] Trial 140 finished with value: 0.9461009174311926 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.5895093978959736, 'batch_size': 191, 'attention_heads': 7, 'hidden_dimension': 160, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5894675651540068, 'global_pooling': 'mean', 'learning_rate': 0.0015127557319719453, 'weight_decay': 1.4000868742136698e-05, 'beta_0': 0.846095314544903, 'beta_1': 0.9922041476215914, 'epsilon': 5.869276008215848e-08, 'balanced_loss': False, 'epochs': 116, 'early_stopping_patience': 20, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 08:12:21,468] Trial 141 finished with value: 0.944954128440367 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.5661645865203017, 'batch_size': 221, 'attention_heads': 4, 'hidden_dimension': 41, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5670396388574384, 'global_pooling': 'max', 'learning_rate': 0.0028586937833190687, 'weight_decay': 1.0173580326447574e-05, 'beta_0': 0.8333819436227407, 'beta_1': 0.9928321372543114, 'epsilon': 1.3047278841795335e-07, 'balanced_loss': False, 'epochs': 86, 'early_stopping_patience': 14, 'plateau_patience': 19, 'plateau_divider': 4}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 08:18:14,550] Trial 142 finished with value: 0.9438073394495413 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6166295904715926, 'batch_size': 199, 'attention_heads': 6, 'hidden_dimension': 66, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5821269482730074, 'global_pooling': 'max', 'learning_rate': 0.001067707279014139, 'weight_decay': 4.131112939422426e-06, 'beta_0': 0.835364124184574, 'beta_1': 0.9936543992877246, 'epsilon': 1.4405431350856802e-06, 'balanced_loss': False, 'epochs': 61, 'early_stopping_patience': 12, 'plateau_patience': 21, 'plateau_divider': 4}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 08:24:18,509] Trial 143 finished with value: 0.9426605504587156 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6317902830260125, 'batch_size': 202, 'attention_heads': 6, 'hidden_dimension': 69, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5940923808489575, 'global_pooling': 'max', 'learning_rate': 0.0008692245521584905, 'weight_decay': 6.219982410231472e-06, 'beta_0': 0.8438912978965866, 'beta_1': 0.9932574078088631, 'epsilon': 9.488982838336155e-08, 'balanced_loss': False, 'epochs': 71, 'early_stopping_patience': 11, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 08:30:17,644] Trial 144 finished with value: 0.9495412844036697 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6014034604146278, 'batch_size': 210, 'attention_heads': 5, 'hidden_dimension': 51, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5859393328425475, 'global_pooling': 'max', 'learning_rate': 0.0004180949840641303, 'weight_decay': 8.578957328328237e-06, 'beta_0': 0.8413230324325208, 'beta_1': 0.9869833036836391, 'epsilon': 1.1239459313724664e-07, 'balanced_loss': False, 'epochs': 135, 'early_stopping_patience': 12, 'plateau_patience': 19, 'plateau_divider': 4}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 08:36:35,394] Trial 145 finished with value: 0.9472477064220184 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.5802065729492907, 'batch_size': 196, 'attention_heads': 7, 'hidden_dimension': 58, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5722079490343374, 'global_pooling': 'max', 'learning_rate': 0.0007552524118745859, 'weight_decay': 3.0908857036871866e-05, 'beta_0': 0.8527263705832266, 'beta_1': 0.9940576587807591, 'epsilon': 7.434632330713815e-08, 'balanced_loss': False, 'epochs': 65, 'early_stopping_patience': 12, 'plateau_patience': 21, 'plateau_divider': 3}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 08:42:33,144] Trial 146 finished with value: 0.9495412844036697 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6235297656494605, 'batch_size': 204, 'attention_heads': 7, 'hidden_dimension': 32, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5805814728555491, 'global_pooling': 'max', 'learning_rate': 0.0012951918724140646, 'weight_decay': 4.7008344303226295e-06, 'beta_0': 0.849301816630738, 'beta_1': 0.9950910471724583, 'epsilon': 1.5143672419273482e-07, 'balanced_loss': False, 'epochs': 76, 'early_stopping_patience': 12, 'plateau_patience': 18, 'plateau_divider': 4}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 08:48:46,696] Trial 147 finished with value: 0.9472477064220184 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6120295580465674, 'batch_size': 186, 'attention_heads': 5, 'hidden_dimension': 64, 'number_of_hidden_layers': 3, 'dropout_rate': 0.592125715840258, 'global_pooling': 'sum', 'learning_rate': 0.00202516547458483, 'weight_decay': 3.654051817408387e-05, 'beta_0': 0.8308843596524953, 'beta_1': 0.9936809597847754, 'epsilon': 2.7157855675269476e-07, 'balanced_loss': False, 'epochs': 58, 'early_stopping_patience': 13, 'plateau_patience': 20, 'plateau_divider': 4}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 08:54:55,754] Trial 148 finished with value: 0.9426605504587156 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6588647104365679, 'batch_size': 213, 'attention_heads': 6, 'hidden_dimension': 79, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5566877711995712, 'global_pooling': 'max', 'learning_rate': 0.00803575664031328, 'weight_decay': 2.331275471033442e-06, 'beta_0': 0.8372024167822233, 'beta_1': 0.9985092533412233, 'epsilon': 4.831742035611516e-08, 'balanced_loss': False, 'epochs': 66, 'early_stopping_patience': 18, 'plateau_patience': 21, 'plateau_divider': 3}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 09:01:06,487] Trial 149 finished with value: 0.9495412844036697 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6438044291616971, 'batch_size': 200, 'attention_heads': 4, 'hidden_dimension': 73, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5996013121520919, 'global_pooling': 'sum', 'learning_rate': 0.0010027977855309944, 'weight_decay': 5.905672193889574e-06, 'beta_0': 0.8392158262536852, 'beta_1': 0.9923713346646386, 'epsilon': 1.8814720189866772e-07, 'balanced_loss': False, 'epochs': 69, 'early_stopping_patience': 13, 'plateau_patience': 19, 'plateau_divider': 3}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 09:07:18,777] Trial 150 finished with value: 0.9472477064220184 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6844382291286761, 'batch_size': 192, 'attention_heads': 6, 'hidden_dimension': 46, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5859766176983242, 'global_pooling': 'max', 'learning_rate': 0.0015069485453437915, 'weight_decay': 1.6276759589037233e-06, 'beta_0': 0.8473056645607413, 'beta_1': 0.9931928045188164, 'epsilon': 4.0227629148856894e-08, 'balanced_loss': False, 'epochs': 58, 'early_stopping_patience': 12, 'plateau_patience': 20, 'plateau_divider': 2}. Best is trial 111 with value: 0.9529816513761468.
[I 2024-12-10 09:13:14,784] Trial 151 finished with value: 0.944954128440367 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.5730070166087795, 'batch_size': 217, 'attention_heads': 4, 'hidden_dimension': 53, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5746185815739016, 'global_pooling': 'sum', 'learning_rate': 0.0034669903274866225, 'weight_decay': 2.4481736965716827e-05, 'beta_0': 0.8418767026610972, 'beta_1': 0.9919228872224466, 'epsilon': 4.0256647651013937e-07, 'balanced_loss': False, 'epochs': 90, 'early_stopping_patience': 13, 'plateau_patience': 22, 'plateau_divider': 9}. Best is trial 111 with value: 0.9529816513761468.
