Some weights of RobertaModel were not initialized from the model checkpoint at FacebookAI/roberta-base and are newly initialized: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
[I 2024-12-02 09:53:01,353] A new study created in RDB with name: SST-2-GATv2-FacebookAI-roberta-base-Grouped-No_Aggregation
[I 2024-12-02 09:58:40,815] Trial 0 finished with value: 0.9036697247706422 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.4319459866925097, 'batch_size': 226, 'attention_heads': 11, 'hidden_dimension': 191, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5909729556485983, 'global_pooling': 'mean', 'learning_rate': 5.415244119402538e-05, 'weight_decay': 8.179499475211674e-06, 'beta_0': 0.8510059609290175, 'beta_1': 0.9881622148267181, 'epsilon': 1.4618962793704927e-07, 'balanced_loss': True, 'epochs': 94, 'early_stopping_patience': 15, 'plateau_patience': 17, 'plateau_divider': 9}. Best is trial 0 with value: 0.9036697247706422.
[I 2024-12-02 11:10:00,940] Trial 11 finished with value: 0.9151376146788991 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8317879907182189, 'batch_size': 160, 'attention_heads': 11, 'hidden_dimension': 153, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3060024389495355, 'global_pooling': 'mean', 'learning_rate': 0.0003567326821027195, 'weight_decay': 1.0120397003565907e-06, 'beta_0': 0.8712837297046075, 'beta_1': 0.9835858868877497, 'epsilon': 6.140803240280745e-06, 'balanced_loss': True, 'epochs': 132, 'early_stopping_patience': 14, 'plateau_patience': 25, 'plateau_divider': 9}. Best is trial 8 with value: 0.9197247706422018.
[I 2024-12-02 11:15:31,718] Trial 12 finished with value: 0.9220183486238532 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5453325605482465, 'batch_size': 201, 'attention_heads': 13, 'hidden_dimension': 187, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5167030793701302, 'global_pooling': 'mean', 'learning_rate': 0.0003898686089917942, 'weight_decay': 2.8122211944457527e-06, 'beta_0': 0.8185762180011409, 'beta_1': 0.9846525810358804, 'epsilon': 3.7131887794744256e-06, 'balanced_loss': False, 'epochs': 161, 'early_stopping_patience': 17, 'plateau_patience': 22, 'plateau_divider': 8}. Best is trial 12 with value: 0.9220183486238532.
[I 2024-12-02 11:21:54,512] Trial 13 finished with value: 0.9151376146788991 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5514503672356021, 'batch_size': 194, 'attention_heads': 13, 'hidden_dimension': 151, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5267613628478982, 'global_pooling': 'mean', 'learning_rate': 0.005610538260615647, 'weight_decay': 3.63025239676856e-06, 'beta_0': 0.8130661547802587, 'beta_1': 0.9815462820727995, 'epsilon': 1.9713233678624386e-06, 'balanced_loss': True, 'epochs': 166, 'early_stopping_patience': 18, 'plateau_patience': 22, 'plateau_divider': 10}. Best is trial 12 with value: 0.9220183486238532.
[I 2024-12-02 11:27:02,333] Trial 14 finished with value: 0.9139908256880734 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.7990486314992181, 'batch_size': 128, 'attention_heads': 13, 'hidden_dimension': 181, 'number_of_hidden_layers': 1, 'dropout_rate': 0.46821975780543795, 'global_pooling': 'mean', 'learning_rate': 0.00018720643140312905, 'weight_decay': 2.0298325801998388e-05, 'beta_0': 0.823090499002235, 'beta_1': 0.9984801579753145, 'epsilon': 1.9787837608712487e-05, 'balanced_loss': False, 'epochs': 153, 'early_stopping_patience': 17, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 12 with value: 0.9220183486238532.
[I 2024-12-02 11:31:33,704] Trial 15 finished with value: 0.911697247706422 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5994956725856639, 'batch_size': 193, 'attention_heads': 7, 'hidden_dimension': 112, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5411704743828452, 'global_pooling': 'sum', 'learning_rate': 0.0004924695679622553, 'weight_decay': 3.1579488167215517e-06, 'beta_0': 0.8016372935410753, 'beta_1': 0.9868823583634797, 'epsilon': 6.124842392044604e-07, 'balanced_loss': True, 'epochs': 200, 'early_stopping_patience': 19, 'plateau_patience': 17, 'plateau_divider': 5}. Best is trial 12 with value: 0.9220183486238532.
[I 2024-12-02 11:38:04,468] Trial 16 finished with value: 0.9139908256880734 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6285663053910195, 'batch_size': 38, 'attention_heads': 10, 'hidden_dimension': 255, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4365012341967372, 'global_pooling': 'mean', 'learning_rate': 4.668445840493255e-05, 'weight_decay': 1.7892179812052506e-05, 'beta_0': 0.8316555428390284, 'beta_1': 0.990398304862839, 'epsilon': 1.5333660275606415e-06, 'balanced_loss': True, 'epochs': 179, 'early_stopping_patience': 15, 'plateau_patience': 20, 'plateau_divider': 8}. Best is trial 12 with value: 0.9220183486238532.
[I 2024-12-02 11:42:38,990] Trial 17 finished with value: 0.9162844036697247 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5071430108500481, 'batch_size': 175, 'attention_heads': 4, 'hidden_dimension': 184, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5368524460819151, 'global_pooling': 'mean', 'learning_rate': 0.007023757287443475, 'weight_decay': 3.0875006959653776e-06, 'beta_0': 0.8122778072828273, 'beta_1': 0.9830101866924681, 'epsilon': 7.735296961565823e-06, 'balanced_loss': False, 'epochs': 118, 'early_stopping_patience': 16, 'plateau_patience': 14, 'plateau_divider': 7}. Best is trial 12 with value: 0.9220183486238532.
[I 2024-12-02 11:46:57,360] Trial 18 finished with value: 0.9162844036697247 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7443041948573398, 'batch_size': 127, 'attention_heads': 14, 'hidden_dimension': 129, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4921462512057554, 'global_pooling': 'mean', 'learning_rate': 0.0027414092941971144, 'weight_decay': 5.40847949533153e-05, 'beta_0': 0.8360434934883444, 'beta_1': 0.993480301637365, 'epsilon': 2.8615008918264378e-05, 'balanced_loss': False, 'epochs': 150, 'early_stopping_patience': 22, 'plateau_patience': 23, 'plateau_divider': 10}. Best is trial 12 with value: 0.9220183486238532.
[I 2024-12-02 11:51:44,164] Trial 19 finished with value: 0.9162844036697247 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.5032065302421345, 'batch_size': 214, 'attention_heads': 11, 'hidden_dimension': 72, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5635189477826367, 'global_pooling': 'sum', 'learning_rate': 0.000537579729072797, 'weight_decay': 1.3104932562545273e-05, 'beta_0': 0.8145568669915408, 'beta_1': 0.9878251926850784, 'epsilon': 1.0819909670413662e-08, 'balanced_loss': True, 'epochs': 167, 'early_stopping_patience': 19, 'plateau_patience': 19, 'plateau_divider': 5}. Best is trial 12 with value: 0.9220183486238532.
[I 2024-12-02 11:55:48,405] Trial 20 finished with value: 0.9094036697247706 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.7456897919209434, 'batch_size': 64, 'attention_heads': 9, 'hidden_dimension': 162, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5177977580026261, 'global_pooling': 'mean', 'learning_rate': 0.00015318290595960865, 'weight_decay': 2.7085789424511774e-06, 'beta_0': 0.826036297271089, 'beta_1': 0.9960734101046033, 'epsilon': 3.8692941423321504e-07, 'balanced_loss': True, 'epochs': 94, 'early_stopping_patience': 13, 'plateau_patience': 13, 'plateau_divider': 8}. Best is trial 12 with value: 0.9220183486238532.
[I 2024-12-02 12:01:00,689] Trial 21 finished with value: 0.9220183486238532 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.4735073965850337, 'batch_size': 254, 'attention_heads': 16, 'hidden_dimension': 206, 'number_of_hidden_layers': 1, 'dropout_rate': 0.32746486311101924, 'global_pooling': 'mean', 'learning_rate': 0.0006858269916562865, 'weight_decay': 1.4059991381184692e-06, 'beta_0': 0.8680735514401137, 'beta_1': 0.9851365561696629, 'epsilon': 3.649252958553658e-06, 'balanced_loss': False, 'epochs': 134, 'early_stopping_patience': 10, 'plateau_patience': 24, 'plateau_divider': 8}. Best is trial 12 with value: 0.9220183486238532.
[I 2024-12-02 12:06:05,380] Trial 22 finished with value: 0.9208715596330275 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.4893723682189664, 'batch_size': 220, 'attention_heads': 14, 'hidden_dimension': 201, 'number_of_hidden_layers': 1, 'dropout_rate': 0.41318516529553284, 'global_pooling': 'mean', 'learning_rate': 0.00033126725307600487, 'weight_decay': 1.9371107238848213e-06, 'beta_0': 0.8685671412926684, 'beta_1': 0.9851105895634675, 'epsilon': 2.0015239976355745e-06, 'balanced_loss': False, 'epochs': 139, 'early_stopping_patience': 10, 'plateau_patience': 23, 'plateau_divider': 6}. Best is trial 12 with value: 0.9220183486238532.
[I 2024-12-02 12:10:31,203] Trial 23 finished with value: 0.8509174311926605 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.47598772447124205, 'batch_size': 221, 'attention_heads': 14, 'hidden_dimension': 225, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3894703546718379, 'global_pooling': 'mean', 'learning_rate': 0.0866438695660128, 'weight_decay': 1.7989696719450237e-06, 'beta_0': 0.8635773926855573, 'beta_1': 0.9844175625049748, 'epsilon': 2.915799851673619e-06, 'balanced_loss': False, 'epochs': 118, 'early_stopping_patience': 10, 'plateau_patience': 23, 'plateau_divider': 9}. Best is trial 12 with value: 0.9220183486238532.
[I 2024-12-02 12:15:54,485] Trial 24 finished with value: 0.9185779816513762 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.49080315819386966, 'batch_size': 256, 'attention_heads': 14, 'hidden_dimension': 201, 'number_of_hidden_layers': 1, 'dropout_rate': 0.41595841237283065, 'global_pooling': 'mean', 'learning_rate': 0.000800356485804232, 'weight_decay': 1.0100666579199853e-06, 'beta_0': 0.861648629525711, 'beta_1': 0.9825183135323353, 'epsilon': 1.2860000789150702e-05, 'balanced_loss': False, 'epochs': 141, 'early_stopping_patience': 11, 'plateau_patience': 24, 'plateau_divider': 7}. Best is trial 12 with value: 0.9220183486238532.
[I 2024-12-02 12:21:36,358] Trial 25 finished with value: 0.9105504587155964 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.40348596808651593, 'batch_size': 233, 'attention_heads': 15, 'hidden_dimension': 167, 'number_of_hidden_layers': 0, 'dropout_rate': 0.34597187943890806, 'global_pooling': 'mean', 'learning_rate': 6.165718569081188e-05, 'weight_decay': 2.0627165720264792e-06, 'beta_0': 0.8795937604145772, 'beta_1': 0.98008586235214, 'epsilon': 9.644604752574056e-07, 'balanced_loss': False, 'epochs': 104, 'early_stopping_patience': 13, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 12 with value: 0.9220183486238532.
[I 2024-12-02 12:26:04,123] Trial 26 finished with value: 0.9162844036697247 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6413647217291369, 'batch_size': 199, 'attention_heads': 12, 'hidden_dimension': 239, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4661566964456507, 'global_pooling': 'mean', 'learning_rate': 0.004554305118308873, 'weight_decay': 4.5693285163892025e-06, 'beta_0': 0.8566730247743617, 'beta_1': 0.9855081970709968, 'epsilon': 3.0362745529872767e-06, 'balanced_loss': False, 'epochs': 140, 'early_stopping_patience': 11, 'plateau_patience': 23, 'plateau_divider': 4}. Best is trial 12 with value: 0.9220183486238532.
[I 2024-12-02 12:30:31,153] Trial 27 finished with value: 0.9162844036697247 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5233901887523633, 'batch_size': 210, 'attention_heads': 15, 'hidden_dimension': 140, 'number_of_hidden_layers': 2, 'dropout_rate': 0.30314585972161534, 'global_pooling': 'mean', 'learning_rate': 0.00280294038689059, 'weight_decay': 0.0009514745498470655, 'beta_0': 0.8669080949405052, 'beta_1': 0.9882711429533634, 'epsilon': 1.2972516076969675e-06, 'balanced_loss': False, 'epochs': 125, 'early_stopping_patience': 10, 'plateau_patience': 24, 'plateau_divider': 9}. Best is trial 12 with value: 0.9220183486238532.
[I 2024-12-02 12:35:04,006] Trial 28 finished with value: 0.9094036697247706 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.46436715054236155, 'batch_size': 173, 'attention_heads': 16, 'hidden_dimension': 203, 'number_of_hidden_layers': 0, 'dropout_rate': 0.42135373640945395, 'global_pooling': 'sum', 'learning_rate': 0.00021110230566252474, 'weight_decay': 1.7461027321960969e-06, 'beta_0': 0.878426276083472, 'beta_1': 0.9865086859751212, 'epsilon': 1.0877889816776759e-05, 'balanced_loss': False, 'epochs': 151, 'early_stopping_patience': 13, 'plateau_patience': 21, 'plateau_divider': 6}. Best is trial 12 with value: 0.9220183486238532.
[I 2024-12-02 12:40:31,524] Trial 29 finished with value: 0.9151376146788991 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.45874707836413, 'batch_size': 232, 'attention_heads': 12, 'hidden_dimension': 189, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3801892964326263, 'global_pooling': 'max', 'learning_rate': 7.956037214706595e-05, 'weight_decay': 1.0713631743728972e-05, 'beta_0': 0.8562578753118485, 'beta_1': 0.9885104655451425, 'epsilon': 4.071007164799218e-06, 'balanced_loss': False, 'epochs': 87, 'early_stopping_patience': 15, 'plateau_patience': 18, 'plateau_divider': 9}. Best is trial 12 with value: 0.9220183486238532.
[I 2024-12-02 12:49:36,397] Trial 30 finished with value: 0.908256880733945 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6053177765263524, 'batch_size': 255, 'attention_heads': 12, 'hidden_dimension': 170, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3442291617903467, 'global_pooling': 'mean', 'learning_rate': 3.25375441995887e-05, 'weight_decay': 4.795900312677642e-06, 'beta_0': 0.8435704286725415, 'beta_1': 0.9839075109109112, 'epsilon': 3.4472976463016664e-05, 'balanced_loss': False, 'epochs': 113, 'early_stopping_patience': 25, 'plateau_patience': 24, 'plateau_divider': 8}. Best is trial 12 with value: 0.9220183486238532.
[I 2024-12-02 12:56:45,856] Trial 31 finished with value: 0.9162844036697247 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5405126797029913, 'batch_size': 229, 'attention_heads': 15, 'hidden_dimension': 198, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5882098034663866, 'global_pooling': 'mean', 'learning_rate': 0.0004562080462174452, 'weight_decay': 6.853812320432655e-06, 'beta_0': 0.8073439563802696, 'beta_1': 0.9849730081222164, 'epsilon': 8.602338611343137e-07, 'balanced_loss': False, 'epochs': 178, 'early_stopping_patience': 16, 'plateau_patience': 17, 'plateau_divider': 6}. Best is trial 12 with value: 0.9220183486238532.
[I 2024-12-02 13:01:31,671] Trial 32 finished with value: 0.9174311926605505 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.43536460034622293, 'batch_size': 237, 'attention_heads': 7, 'hidden_dimension': 208, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5011159208071598, 'global_pooling': 'mean', 'learning_rate': 0.0002914125812095282, 'weight_decay': 5.064056786906885e-06, 'beta_0': 0.8719939256998518, 'beta_1': 0.9872043192880285, 'epsilon': 1.8552961690674742e-06, 'balanced_loss': True, 'epochs': 166, 'early_stopping_patience': 18, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 12 with value: 0.9220183486238532.
[I 2024-12-02 13:10:02,732] Trial 33 finished with value: 0.9139908256880734 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.40197019551655677, 'batch_size': 209, 'attention_heads': 16, 'hidden_dimension': 230, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5993709873006535, 'global_pooling': 'mean', 'learning_rate': 0.000863125180457001, 'weight_decay': 2.237030509302009e-06, 'beta_0': 0.885245846457442, 'beta_1': 0.9822094095331544, 'epsilon': 1.8432065244372976e-07, 'balanced_loss': False, 'epochs': 132, 'early_stopping_patience': 12, 'plateau_patience': 22, 'plateau_divider': 6}. Best is trial 12 with value: 0.9220183486238532.
[I 2024-12-02 13:13:48,689] Trial 34 finished with value: 0.8990825688073395 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9385391981804541, 'batch_size': 132, 'attention_heads': 10, 'hidden_dimension': 192, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4630375645248093, 'global_pooling': 'mean', 'learning_rate': 0.0010371550360612405, 'weight_decay': 1.3437784395399079e-06, 'beta_0': 0.8966288619788193, 'beta_1': 0.9914166091789938, 'epsilon': 2.492352161511689e-07, 'balanced_loss': False, 'epochs': 159, 'early_stopping_patience': 11, 'plateau_patience': 20, 'plateau_divider': 5}. Best is trial 12 with value: 0.9220183486238532.
[I 2024-12-02 13:22:57,501] Trial 35 finished with value: 0.9162844036697247 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5815428809496715, 'batch_size': 108, 'attention_heads': 14, 'hidden_dimension': 217, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5547972590742798, 'global_pooling': 'mean', 'learning_rate': 0.0002482535235619443, 'weight_decay': 1.3950771330412246e-06, 'beta_0': 0.856077223431279, 'beta_1': 0.9890369370198889, 'epsilon': 3.452640604126396e-07, 'balanced_loss': False, 'epochs': 147, 'early_stopping_patience': 20, 'plateau_patience': 18, 'plateau_divider': 4}. Best is trial 12 with value: 0.9220183486238532.
[I 2024-12-02 13:27:48,610] Trial 36 finished with value: 0.9197247706422018 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.5271129797923882, 'batch_size': 174, 'attention_heads': 9, 'hidden_dimension': 242, 'number_of_hidden_layers': 1, 'dropout_rate': 0.32400986164224527, 'global_pooling': 'mean', 'learning_rate': 0.0017915806990570298, 'weight_decay': 2.4003627491773583e-06, 'beta_0': 0.8434061480240568, 'beta_1': 0.9850931828177224, 'epsilon': 9.764552527382297e-08, 'balanced_loss': False, 'epochs': 161, 'early_stopping_patience': 23, 'plateau_patience': 24, 'plateau_divider': 7}. Best is trial 12 with value: 0.9220183486238532.
[I 2024-12-02 13:33:46,097] Trial 37 finished with value: 0.9059633027522935 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.4491257162348649, 'batch_size': 245, 'attention_heads': 8, 'hidden_dimension': 177, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4027955965489751, 'global_pooling': 'max', 'learning_rate': 2.362365785355186e-05, 'weight_decay': 1.1249462681530584e-05, 'beta_0': 0.817995657516381, 'beta_1': 0.9859582732493414, 'epsilon': 5.281708316996964e-06, 'balanced_loss': True, 'epochs': 183, 'early_stopping_patience': 14, 'plateau_patience': 25, 'plateau_divider': 6}. Best is trial 12 with value: 0.9220183486238532.
