Some weights of RobertaModel were not initialized from the model checkpoint at FacebookAI/roberta-large and are newly initialized: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
[I 2024-12-19 04:55:17,165] Using an existing study with name 'SST-2-GATv2-FacebookAI-roberta-large-Surrogate-No_Aggregation' instead of creating a new one.
[I 2024-12-19 05:02:07,095] Trial 83 finished with value: 0.9243119266055045 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7889278332259337, 'batch_size': 241, 'attention_heads': 9, 'hidden_dimension': 212, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5799884908645114, 'global_pooling': 'mean', 'learning_rate': 0.0007641915825754855, 'weight_decay': 0.0005779105615620598, 'beta_0': 0.8407104878617423, 'beta_1': 0.9851331033706553, 'epsilon': 6.111404134400725e-06, 'balanced_loss': True, 'epochs': 63, 'early_stopping_patience': 21, 'plateau_patience': 21, 'plateau_divider': 6}. Best is trial 3 with value: 0.9311926605504587.
[I 2024-12-19 06:51:53,082] Trial 96 finished with value: 0.9323394495412844 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6491749185634282, 'batch_size': 230, 'attention_heads': 5, 'hidden_dimension': 239, 'number_of_hidden_layers': 3, 'dropout_rate': 0.598887757380832, 'global_pooling': 'sum', 'learning_rate': 0.0009357569455634252, 'weight_decay': 0.0002729815404279002, 'beta_0': 0.8760190767250855, 'beta_1': 0.9886676341750812, 'epsilon': 4.152665720508614e-07, 'balanced_loss': False, 'epochs': 122, 'early_stopping_patience': 17, 'plateau_patience': 14, 'plateau_divider': 8}. Best is trial 91 with value: 0.9346330275229358.
[I 2024-12-19 07:01:08,174] Trial 97 finished with value: 0.9334862385321101 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.654620503132812, 'batch_size': 230, 'attention_heads': 5, 'hidden_dimension': 239, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5595371850325432, 'global_pooling': 'sum', 'learning_rate': 0.0009560161038263547, 'weight_decay': 0.0007630629584952929, 'beta_0': 0.8841709159860606, 'beta_1': 0.9888043321244012, 'epsilon': 4.079732844970348e-07, 'balanced_loss': False, 'epochs': 144, 'early_stopping_patience': 17, 'plateau_patience': 13, 'plateau_divider': 6}. Best is trial 91 with value: 0.9346330275229358.
[I 2024-12-19 07:09:11,296] Trial 98 finished with value: 0.9243119266055045 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6485930391104685, 'batch_size': 229, 'attention_heads': 4, 'hidden_dimension': 244, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5586392893575242, 'global_pooling': 'sum', 'learning_rate': 0.0005461278298317365, 'weight_decay': 0.0002631670919053964, 'beta_0': 0.885153396353246, 'beta_1': 0.988794717950935, 'epsilon': 2.1791011102834705e-07, 'balanced_loss': False, 'epochs': 151, 'early_stopping_patience': 17, 'plateau_patience': 12, 'plateau_divider': 6}. Best is trial 91 with value: 0.9346330275229358.
[I 2024-12-19 07:17:45,429] Trial 99 finished with value: 0.9288990825688074 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.6601018376214188, 'batch_size': 243, 'attention_heads': 5, 'hidden_dimension': 236, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5839844041593446, 'global_pooling': 'sum', 'learning_rate': 0.000830751674895637, 'weight_decay': 0.0007979303747072839, 'beta_0': 0.8836438342652221, 'beta_1': 0.9873809861921984, 'epsilon': 3.469296316887003e-07, 'balanced_loss': False, 'epochs': 164, 'early_stopping_patience': 16, 'plateau_patience': 11, 'plateau_divider': 6}. Best is trial 91 with value: 0.9346330275229358.
[I 2024-12-19 07:25:43,472] Trial 100 finished with value: 0.9334862385321101 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.6722476597397343, 'batch_size': 225, 'attention_heads': 5, 'hidden_dimension': 256, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5897686518089188, 'global_pooling': 'sum', 'learning_rate': 0.0017826630100043863, 'weight_decay': 0.0009514745498470655, 'beta_0': 0.8806340713358203, 'beta_1': 0.9845627529945611, 'epsilon': 5.863174687454691e-07, 'balanced_loss': False, 'epochs': 143, 'early_stopping_patience': 17, 'plateau_patience': 13, 'plateau_divider': 9}. Best is trial 91 with value: 0.9346330275229358.
[I 2024-12-19 07:33:05,369] Trial 101 finished with value: 0.9243119266055045 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.6754268937134056, 'batch_size': 235, 'attention_heads': 5, 'hidden_dimension': 245, 'number_of_hidden_layers': 3, 'dropout_rate': 0.3375588192849319, 'global_pooling': 'sum', 'learning_rate': 0.0024559685034061932, 'weight_decay': 0.0008083769787262282, 'beta_0': 0.8792848554078034, 'beta_1': 0.9838530281469141, 'epsilon': 5.607589139427169e-07, 'balanced_loss': False, 'epochs': 142, 'early_stopping_patience': 17, 'plateau_patience': 12, 'plateau_divider': 9}. Best is trial 91 with value: 0.9346330275229358.
[I 2024-12-19 07:40:29,555] Trial 102 finished with value: 0.9254587155963303 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.635685108091568, 'batch_size': 224, 'attention_heads': 4, 'hidden_dimension': 246, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5908831723700416, 'global_pooling': 'sum', 'learning_rate': 0.0015883548815891035, 'weight_decay': 0.0009899868877083172, 'beta_0': 0.8762988142720075, 'beta_1': 0.984840771914552, 'epsilon': 4.0122076280528624e-07, 'balanced_loss': False, 'epochs': 147, 'early_stopping_patience': 15, 'plateau_patience': 13, 'plateau_divider': 9}. Best is trial 91 with value: 0.9346330275229358.
[I 2024-12-19 07:48:12,458] Trial 103 finished with value: 0.9243119266055045 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.6951491844400349, 'batch_size': 251, 'attention_heads': 5, 'hidden_dimension': 253, 'number_of_hidden_layers': 3, 'dropout_rate': 0.57031848635775, 'global_pooling': 'sum', 'learning_rate': 0.003608721277727446, 'weight_decay': 0.000573334201550719, 'beta_0': 0.8810160479290301, 'beta_1': 0.9829907926928413, 'epsilon': 9.238312760857475e-07, 'balanced_loss': False, 'epochs': 139, 'early_stopping_patience': 16, 'plateau_patience': 13, 'plateau_divider': 9}. Best is trial 91 with value: 0.9346330275229358.
[I 2024-12-19 07:56:43,015] Trial 104 finished with value: 0.9288990825688074 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.6499927798835873, 'batch_size': 229, 'attention_heads': 5, 'hidden_dimension': 252, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5783863457632601, 'global_pooling': 'sum', 'learning_rate': 0.002050489669704285, 'weight_decay': 0.0003420971572513427, 'beta_0': 0.8898081895502542, 'beta_1': 0.9856006016678105, 'epsilon': 4.2607211648030405e-07, 'balanced_loss': False, 'epochs': 145, 'early_stopping_patience': 17, 'plateau_patience': 13, 'plateau_divider': 6}. Best is trial 91 with value: 0.9346330275229358.
[I 2024-12-19 08:04:01,396] Trial 105 finished with value: 0.9231651376146789 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.6662332097404695, 'batch_size': 94, 'attention_heads': 4, 'hidden_dimension': 255, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5926499674212264, 'global_pooling': 'sum', 'learning_rate': 0.0017758013768047556, 'weight_decay': 0.0007083579338316133, 'beta_0': 0.8880875807880094, 'beta_1': 0.9847365908417496, 'epsilon': 1.6716670826302875e-07, 'balanced_loss': False, 'epochs': 157, 'early_stopping_patience': 16, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 91 with value: 0.9346330275229358.
[I 2024-12-19 08:13:07,062] Trial 106 finished with value: 0.9323394495412844 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.543974779394909, 'batch_size': 207, 'attention_heads': 5, 'hidden_dimension': 240, 'number_of_hidden_layers': 4, 'dropout_rate': 0.41096513253309663, 'global_pooling': 'sum', 'learning_rate': 0.0009498809255028009, 'weight_decay': 0.00041490989482246567, 'beta_0': 0.8743519802222657, 'beta_1': 0.9898995294208811, 'epsilon': 2.884035436451242e-07, 'balanced_loss': False, 'epochs': 126, 'early_stopping_patience': 17, 'plateau_patience': 14, 'plateau_divider': 6}. Best is trial 91 with value: 0.9346330275229358.
[I 2024-12-19 08:21:44,950] Trial 107 finished with value: 0.9231651376146789 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6781995703265526, 'batch_size': 210, 'attention_heads': 5, 'hidden_dimension': 241, 'number_of_hidden_layers': 3, 'dropout_rate': 0.49357555394231917, 'global_pooling': 'sum', 'learning_rate': 0.0003875198637254485, 'weight_decay': 0.00041552551700683055, 'beta_0': 0.87338674985767, 'beta_1': 0.9885122735873335, 'epsilon': 3.164914831847758e-07, 'balanced_loss': False, 'epochs': 125, 'early_stopping_patience': 17, 'plateau_patience': 14, 'plateau_divider': 9}. Best is trial 91 with value: 0.9346330275229358.
[I 2024-12-19 08:31:28,700] Trial 108 finished with value: 0.9334862385321101 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.49735814725439786, 'batch_size': 205, 'attention_heads': 6, 'hidden_dimension': 231, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4087139003350912, 'global_pooling': 'sum', 'learning_rate': 0.0009336069008915951, 'weight_decay': 0.0009144230596223212, 'beta_0': 0.8678257116555419, 'beta_1': 0.9878459095447591, 'epsilon': 8.411879217876008e-08, 'balanced_loss': False, 'epochs': 132, 'early_stopping_patience': 17, 'plateau_patience': 14, 'plateau_divider': 8}. Best is trial 91 with value: 0.9346330275229358.
[I 2024-12-19 08:42:02,111] Trial 109 finished with value: 0.930045871559633 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.540385453475474, 'batch_size': 197, 'attention_heads': 6, 'hidden_dimension': 231, 'number_of_hidden_layers': 4, 'dropout_rate': 0.38183192139401334, 'global_pooling': 'sum', 'learning_rate': 0.00029313455418541714, 'weight_decay': 0.0009637970670693138, 'beta_0': 0.8850515884664165, 'beta_1': 0.9888588474344404, 'epsilon': 1.0080249947748253e-07, 'balanced_loss': False, 'epochs': 132, 'early_stopping_patience': 16, 'plateau_patience': 14, 'plateau_divider': 8}. Best is trial 91 with value: 0.9346330275229358.
[I 2024-12-19 08:50:47,960] Trial 110 finished with value: 0.9288990825688074 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.5128089727010717, 'batch_size': 232, 'attention_heads': 5, 'hidden_dimension': 224, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4024849886218138, 'global_pooling': 'sum', 'learning_rate': 0.0009859583947606607, 'weight_decay': 0.0007110376566703615, 'beta_0': 0.8704336095861984, 'beta_1': 0.988152822475302, 'epsilon': 2.695480247682591e-07, 'balanced_loss': False, 'epochs': 137, 'early_stopping_patience': 15, 'plateau_patience': 13, 'plateau_divider': 8}. Best is trial 91 with value: 0.9346330275229358.
[I 2024-12-19 09:00:51,511] Trial 111 finished with value: 0.926605504587156 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.4958330230529767, 'batch_size': 207, 'attention_heads': 6, 'hidden_dimension': 237, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4101809454812826, 'global_pooling': 'sum', 'learning_rate': 0.0006031491087376589, 'weight_decay': 7.236092655613784e-06, 'beta_0': 0.876998133175305, 'beta_1': 0.987790117953314, 'epsilon': 6.709632653890205e-07, 'balanced_loss': False, 'epochs': 132, 'early_stopping_patience': 18, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 91 with value: 0.9346330275229358.
[I 2024-12-19 09:09:26,323] Trial 112 finished with value: 0.9323394495412844 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.5784246547476861, 'batch_size': 220, 'attention_heads': 4, 'hidden_dimension': 247, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4237078430608179, 'global_pooling': 'sum', 'learning_rate': 0.0007259934931264698, 'weight_decay': 0.0005437553919534808, 'beta_0': 0.8803458585522007, 'beta_1': 0.9899087992448317, 'epsilon': 9.739170043523618e-08, 'balanced_loss': False, 'epochs': 128, 'early_stopping_patience': 17, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 91 with value: 0.9346330275229358.
[I 2024-12-19 09:17:26,425] Trial 113 finished with value: 0.926605504587156 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.47642156358507126, 'batch_size': 213, 'attention_heads': 4, 'hidden_dimension': 232, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3959275095253787, 'global_pooling': 'sum', 'learning_rate': 0.0009055911000058538, 'weight_decay': 0.0005708225284947886, 'beta_0': 0.8790117221792303, 'beta_1': 0.9900849154204718, 'epsilon': 7.677435296792904e-08, 'balanced_loss': False, 'epochs': 123, 'early_stopping_patience': 17, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 91 with value: 0.9346330275229358.
[I 2024-12-19 09:25:32,327] Trial 114 finished with value: 0.9357798165137615 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.5701156573617353, 'batch_size': 237, 'attention_heads': 4, 'hidden_dimension': 250, 'number_of_hidden_layers': 4, 'dropout_rate': 0.42457707939714673, 'global_pooling': 'sum', 'learning_rate': 0.001511648602276566, 'weight_decay': 0.0008749205737165939, 'beta_0': 0.8681963757213421, 'beta_1': 0.9897456250417955, 'epsilon': 2.0399559191031027e-07, 'balanced_loss': False, 'epochs': 127, 'early_stopping_patience': 18, 'plateau_patience': 14, 'plateau_divider': 8}. Best is trial 114 with value: 0.9357798165137615.
[I 2024-12-19 09:35:12,895] Trial 115 finished with value: 0.8784403669724771 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.5449264864605107, 'batch_size': 219, 'attention_heads': 4, 'hidden_dimension': 241, 'number_of_hidden_layers': 4, 'dropout_rate': 0.424586478649922, 'global_pooling': 'sum', 'learning_rate': 1.4033491249287493e-05, 'weight_decay': 0.0008575046020126003, 'beta_0': 0.8680775802512759, 'beta_1': 0.9897729436589735, 'epsilon': 5.989096806684396e-08, 'balanced_loss': False, 'epochs': 127, 'early_stopping_patience': 18, 'plateau_patience': 15, 'plateau_divider': 9}. Best is trial 114 with value: 0.9357798165137615.
[I 2024-12-19 09:44:57,842] Trial 116 finished with value: 0.9323394495412844 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.5712979628205932, 'batch_size': 237, 'attention_heads': 5, 'hidden_dimension': 250, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4333178275454794, 'global_pooling': 'sum', 'learning_rate': 0.00266015707013968, 'weight_decay': 0.0008890695950762339, 'beta_0': 0.872023240673995, 'beta_1': 0.9886020830933061, 'epsilon': 1.1660255567897065e-07, 'balanced_loss': False, 'epochs': 130, 'early_stopping_patience': 17, 'plateau_patience': 14, 'plateau_divider': 8}. Best is trial 114 with value: 0.9357798165137615.
[I 2024-12-19 09:53:27,519] Trial 117 finished with value: 0.9311926605504587 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.5755272574468383, 'batch_size': 239, 'attention_heads': 5, 'hidden_dimension': 249, 'number_of_hidden_layers': 4, 'dropout_rate': 0.43557591523989786, 'global_pooling': 'sum', 'learning_rate': 0.0027480966097057817, 'weight_decay': 0.0008830526859573629, 'beta_0': 0.8721332313536205, 'beta_1': 0.9891064955064596, 'epsilon': 9.34411700343748e-08, 'balanced_loss': False, 'epochs': 129, 'early_stopping_patience': 17, 'plateau_patience': 13, 'plateau_divider': 9}. Best is trial 114 with value: 0.9357798165137615.
[I 2024-12-19 10:02:28,408] Trial 118 finished with value: 0.9311926605504587 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.572561324395784, 'batch_size': 245, 'attention_heads': 5, 'hidden_dimension': 250, 'number_of_hidden_layers': 4, 'dropout_rate': 0.43392926566983664, 'global_pooling': 'sum', 'learning_rate': 0.002560380658234707, 'weight_decay': 0.000895219898203137, 'beta_0': 0.8714615492907078, 'beta_1': 0.9889552020339305, 'epsilon': 1.1030180346142916e-07, 'balanced_loss': False, 'epochs': 130, 'early_stopping_patience': 17, 'plateau_patience': 14, 'plateau_divider': 3}. Best is trial 114 with value: 0.9357798165137615.
[I 2024-12-19 10:12:42,869] Trial 119 finished with value: 0.9346330275229358 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.5727868252106585, 'batch_size': 237, 'attention_heads': 5, 'hidden_dimension': 256, 'number_of_hidden_layers': 4, 'dropout_rate': 0.42630286793215333, 'global_pooling': 'sum', 'learning_rate': 0.003658054052701653, 'weight_decay': 0.0006648108985748651, 'beta_0': 0.8753833248753569, 'beta_1': 0.9885444118827363, 'epsilon': 1.9749596558702236e-07, 'balanced_loss': False, 'epochs': 116, 'early_stopping_patience': 18, 'plateau_patience': 13, 'plateau_divider': 8}. Best is trial 114 with value: 0.9357798165137615.
[I 2024-12-19 10:20:43,125] Trial 120 finished with value: 0.9220183486238532 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.5885611804950942, 'batch_size': 235, 'attention_heads': 4, 'hidden_dimension': 245, 'number_of_hidden_layers': 4, 'dropout_rate': 0.44373229712520523, 'global_pooling': 'sum', 'learning_rate': 0.006074777524832578, 'weight_decay': 0.0006441920184791882, 'beta_0': 0.8747362251541299, 'beta_1': 0.9885477514656349, 'epsilon': 2.0126315097921163e-07, 'balanced_loss': False, 'epochs': 116, 'early_stopping_patience': 18, 'plateau_patience': 14, 'plateau_divider': 8}. Best is trial 114 with value: 0.9357798165137615.
