[I 2024-11-29 03:47:57,995] Using an existing study with name 'IMDb-top_1000-GATv2-google-bert-bert-base-uncased-Grouped-Global_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (1147 > 512). Running this sequence through the model will result in indexing errors
[I 2024-11-29 03:55:23,022] Trial 144 finished with value: 0.9030303030303031 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.920590000766377, 'batch_size': 26, 'attention_heads': 7, 'hidden_dimension': 151, 'number_of_hidden_layers': 1, 'dropout_rate': 0.48710745390677607, 'global_pooling': 'mean', 'learning_rate': 0.0007739562508316864, 'weight_decay': 5.428311921884808e-06, 'beta_0': 0.8513535384727559, 'beta_1': 0.9824587528009517, 'epsilon': 6.96323730419582e-08, 'balanced_loss': True, 'epochs': 162, 'early_stopping_patience': 12, 'plateau_patience': 16, 'plateau_divider': 6}. Best is trial 56 with value: 0.9151515151515152.
[I 2024-11-29 04:56:11,718] Trial 155 finished with value: 0.9212121212121213 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9375311708377161, 'batch_size': 20, 'attention_heads': 4, 'hidden_dimension': 85, 'number_of_hidden_layers': 0, 'dropout_rate': 0.46854383189843285, 'global_pooling': 'mean', 'learning_rate': 0.000948783289505785, 'weight_decay': 2.088669416836496e-05, 'beta_0': 0.8721392618659783, 'beta_1': 0.9812741832238303, 'epsilon': 1.7283057242485047e-08, 'balanced_loss': True, 'epochs': 134, 'early_stopping_patience': 10, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 05:01:24,739] Trial 156 finished with value: 0.9030303030303031 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9378698512514032, 'batch_size': 20, 'attention_heads': 4, 'hidden_dimension': 71, 'number_of_hidden_layers': 0, 'dropout_rate': 0.46683974320685223, 'global_pooling': 'mean', 'learning_rate': 0.000969965905701432, 'weight_decay': 3.219133965476977e-05, 'beta_0': 0.8734557895375972, 'beta_1': 0.9820200799521062, 'epsilon': 1.5773007919118224e-08, 'balanced_loss': True, 'epochs': 128, 'early_stopping_patience': 10, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 05:07:00,128] Trial 157 finished with value: 0.8848484848484849 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9361562153247827, 'batch_size': 20, 'attention_heads': 4, 'hidden_dimension': 86, 'number_of_hidden_layers': 0, 'dropout_rate': 0.46918204564529653, 'global_pooling': 'sum', 'learning_rate': 0.0008979387987699118, 'weight_decay': 2.0840233832366248e-05, 'beta_0': 0.8781145347209172, 'beta_1': 0.981332246421962, 'epsilon': 2.0665924514119105e-08, 'balanced_loss': True, 'epochs': 135, 'early_stopping_patience': 10, 'plateau_patience': 14, 'plateau_divider': 8}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 05:13:22,920] Trial 158 finished with value: 0.8787878787878788 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9332198987801583, 'batch_size': 17, 'attention_heads': 4, 'hidden_dimension': 82, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5023541586921885, 'global_pooling': 'mean', 'learning_rate': 0.0017340075493490128, 'weight_decay': 2.31379849786285e-05, 'beta_0': 0.8804434987067975, 'beta_1': 0.9811776298875475, 'epsilon': 1.2237469143938838e-08, 'balanced_loss': True, 'epochs': 139, 'early_stopping_patience': 10, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 05:18:34,198] Trial 159 finished with value: 0.9030303030303031 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9399032798559954, 'batch_size': 20, 'attention_heads': 4, 'hidden_dimension': 102, 'number_of_hidden_layers': 0, 'dropout_rate': 0.46067717008298187, 'global_pooling': 'mean', 'learning_rate': 0.0021689599395365274, 'weight_decay': 1.834961445155857e-05, 'beta_0': 0.8747391763340618, 'beta_1': 0.9803255155549337, 'epsilon': 2.9023495988880873e-08, 'balanced_loss': True, 'epochs': 133, 'early_stopping_patience': 10, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 05:24:04,832] Trial 160 finished with value: 0.8909090909090909 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9365151762907495, 'batch_size': 22, 'attention_heads': 4, 'hidden_dimension': 105, 'number_of_hidden_layers': 0, 'dropout_rate': 0.483806670818991, 'global_pooling': 'mean', 'learning_rate': 0.0009530533126643491, 'weight_decay': 2.8280099150389075e-05, 'beta_0': 0.8712115414459494, 'beta_1': 0.9830945127349349, 'epsilon': 1.9141196276282188e-08, 'balanced_loss': True, 'epochs': 131, 'early_stopping_patience': 10, 'plateau_patience': 16, 'plateau_divider': 9}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 05:29:15,212] Trial 161 finished with value: 0.9090909090909091 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9420147450741677, 'batch_size': 18, 'attention_heads': 4, 'hidden_dimension': 76, 'number_of_hidden_layers': 0, 'dropout_rate': 0.46958059124834867, 'global_pooling': 'mean', 'learning_rate': 0.0025492953244072953, 'weight_decay': 1.5433958209373687e-05, 'beta_0': 0.8732510982350874, 'beta_1': 0.9800368947717061, 'epsilon': 2.784560524780357e-08, 'balanced_loss': True, 'epochs': 125, 'early_stopping_patience': 10, 'plateau_patience': 10, 'plateau_divider': 8}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 05:34:34,501] Trial 162 finished with value: 0.9090909090909091 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.930354902094964, 'batch_size': 21, 'attention_heads': 5, 'hidden_dimension': 108, 'number_of_hidden_layers': 0, 'dropout_rate': 0.47752663407887097, 'global_pooling': 'mean', 'learning_rate': 0.0014788895461486959, 'weight_decay': 1.9433208361575476e-05, 'beta_0': 0.8718033424758295, 'beta_1': 0.9815853835030842, 'epsilon': 1.725820253812421e-08, 'balanced_loss': True, 'epochs': 139, 'early_stopping_patience': 11, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 05:40:00,616] Trial 163 finished with value: 0.9030303030303031 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9295250432320903, 'batch_size': 22, 'attention_heads': 4, 'hidden_dimension': 94, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5274733047806309, 'global_pooling': 'mean', 'learning_rate': 0.0010733367147864944, 'weight_decay': 2.231610778995072e-05, 'beta_0': 0.8674717751067992, 'beta_1': 0.9810215152105785, 'epsilon': 2.360607474649904e-08, 'balanced_loss': True, 'epochs': 129, 'early_stopping_patience': 11, 'plateau_patience': 15, 'plateau_divider': 3}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 05:45:32,148] Trial 164 finished with value: 0.9090909090909091 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9325079923722056, 'batch_size': 18, 'attention_heads': 5, 'hidden_dimension': 113, 'number_of_hidden_layers': 0, 'dropout_rate': 0.49113187734253727, 'global_pooling': 'mean', 'learning_rate': 0.0008287566969181697, 'weight_decay': 1.086695031404983e-05, 'beta_0': 0.8755454973279254, 'beta_1': 0.9819498169152967, 'epsilon': 2.3870111862118115e-08, 'balanced_loss': True, 'epochs': 142, 'early_stopping_patience': 10, 'plateau_patience': 14, 'plateau_divider': 8}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 05:51:07,243] Trial 165 finished with value: 0.9151515151515152 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9000597214502657, 'batch_size': 20, 'attention_heads': 5, 'hidden_dimension': 91, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4563499697868425, 'global_pooling': 'mean', 'learning_rate': 0.001351029896682938, 'weight_decay': 1.7177834627188842e-05, 'beta_0': 0.8620540506584317, 'beta_1': 0.9825454749272025, 'epsilon': 4.710988904501653e-08, 'balanced_loss': True, 'epochs': 133, 'early_stopping_patience': 11, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 05:56:20,815] Trial 166 finished with value: 0.8848484848484849 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9551347284511422, 'batch_size': 19, 'attention_heads': 5, 'hidden_dimension': 90, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4528524792719569, 'global_pooling': 'mean', 'learning_rate': 0.0019377695295498462, 'weight_decay': 2.5165512595546725e-05, 'beta_0': 0.8621827472463464, 'beta_1': 0.9822808701478873, 'epsilon': 4.863565122473043e-08, 'balanced_loss': True, 'epochs': 134, 'early_stopping_patience': 10, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 06:01:42,440] Trial 167 finished with value: 0.9090909090909091 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9346240445041416, 'batch_size': 21, 'attention_heads': 4, 'hidden_dimension': 97, 'number_of_hidden_layers': 0, 'dropout_rate': 0.30446394297485524, 'global_pooling': 'mean', 'learning_rate': 0.0014644730766000833, 'weight_decay': 1.762162284652127e-05, 'beta_0': 0.8694745023388898, 'beta_1': 0.9827046166549659, 'epsilon': 3.027448627107471e-08, 'balanced_loss': True, 'epochs': 123, 'early_stopping_patience': 11, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 06:07:15,325] Trial 168 finished with value: 0.9090909090909091 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9020373747938614, 'batch_size': 20, 'attention_heads': 5, 'hidden_dimension': 86, 'number_of_hidden_layers': 0, 'dropout_rate': 0.46285911283206504, 'global_pooling': 'mean', 'learning_rate': 0.0010777685356805607, 'weight_decay': 1.4887965003442164e-05, 'beta_0': 0.8661444732364172, 'beta_1': 0.9813547506350007, 'epsilon': 1.2835170860039328e-08, 'balanced_loss': True, 'epochs': 140, 'early_stopping_patience': 10, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 06:12:49,431] Trial 169 finished with value: 0.8242424242424242 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9000218383470965, 'batch_size': 36, 'attention_heads': 4, 'hidden_dimension': 78, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4572173529120214, 'global_pooling': 'max', 'learning_rate': 0.0006561936399693344, 'weight_decay': 2.0798611649939525e-05, 'beta_0': 0.8646330424120708, 'beta_1': 0.9809858230999946, 'epsilon': 3.455830884465391e-08, 'balanced_loss': True, 'epochs': 138, 'early_stopping_patience': 16, 'plateau_patience': 16, 'plateau_divider': 4}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 06:18:26,673] Trial 170 finished with value: 0.8727272727272727 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9054629569944181, 'batch_size': 34, 'attention_heads': 5, 'hidden_dimension': 68, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5154954294045859, 'global_pooling': 'mean', 'learning_rate': 0.0030378030451868867, 'weight_decay': 1.1375878246223515e-05, 'beta_0': 0.8708142457108583, 'beta_1': 0.9806945258368853, 'epsilon': 5.129299207825567e-08, 'balanced_loss': True, 'epochs': 132, 'early_stopping_patience': 11, 'plateau_patience': 10, 'plateau_divider': 9}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 06:23:52,171] Trial 171 finished with value: 0.9212121212121213 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9064889912136196, 'batch_size': 38, 'attention_heads': 5, 'hidden_dimension': 113, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5079060018961173, 'global_pooling': 'mean', 'learning_rate': 0.0008842429068398246, 'weight_decay': 1.695432921326908e-05, 'beta_0': 0.8629248191191072, 'beta_1': 0.982715787936267, 'epsilon': 1.0497306072425434e-08, 'balanced_loss': True, 'epochs': 121, 'early_stopping_patience': 10, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 06:29:18,983] Trial 172 finished with value: 0.9090909090909091 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9039215179852785, 'batch_size': 39, 'attention_heads': 5, 'hidden_dimension': 103, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3317152024506796, 'global_pooling': 'mean', 'learning_rate': 0.0008987500947103196, 'weight_decay': 1.6539030789156125e-05, 'beta_0': 0.8622804398480971, 'beta_1': 0.9826963910635492, 'epsilon': 1.2202185725499313e-08, 'balanced_loss': True, 'epochs': 126, 'early_stopping_patience': 10, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 06:35:03,723] Trial 173 finished with value: 0.9090909090909091 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9060926394572193, 'batch_size': 40, 'attention_heads': 5, 'hidden_dimension': 113, 'number_of_hidden_layers': 0, 'dropout_rate': 0.511268189527822, 'global_pooling': 'mean', 'learning_rate': 0.0007481382751649937, 'weight_decay': 1.3117676616369715e-05, 'beta_0': 0.8671523005740475, 'beta_1': 0.9821059132098979, 'epsilon': 1.5699382941331593e-08, 'balanced_loss': True, 'epochs': 137, 'early_stopping_patience': 10, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 06:40:10,385] Trial 174 finished with value: 0.8848484848484849 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9912723088259217, 'batch_size': 37, 'attention_heads': 4, 'hidden_dimension': 109, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5210198152923418, 'global_pooling': 'mean', 'learning_rate': 0.0013514753335639614, 'weight_decay': 1.887288969394589e-05, 'beta_0': 0.8604675059603335, 'beta_1': 0.9824501314028165, 'epsilon': 2.1011965070624157e-08, 'balanced_loss': True, 'epochs': 129, 'early_stopping_patience': 10, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 06:45:31,286] Trial 175 finished with value: 0.9151515151515152 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9084105006863181, 'batch_size': 35, 'attention_heads': 4, 'hidden_dimension': 99, 'number_of_hidden_layers': 0, 'dropout_rate': 0.49910943791706064, 'global_pooling': 'mean', 'learning_rate': 0.0017359093531922889, 'weight_decay': 3.898141141696071e-05, 'beta_0': 0.856249391034399, 'beta_1': 0.9834559201792724, 'epsilon': 3.518450614606752e-08, 'balanced_loss': True, 'epochs': 121, 'early_stopping_patience': 11, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 06:50:51,045] Trial 176 finished with value: 0.9030303030303031 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9078213898746459, 'batch_size': 42, 'attention_heads': 4, 'hidden_dimension': 98, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5004482731765606, 'global_pooling': 'mean', 'learning_rate': 0.0019271405015263072, 'weight_decay': 2.9648407989386407e-05, 'beta_0': 0.864185899888225, 'beta_1': 0.983278336115132, 'epsilon': 2.4397651458463937e-08, 'balanced_loss': True, 'epochs': 122, 'early_stopping_patience': 11, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 06:57:15,166] Trial 177 finished with value: 0.8909090909090909 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9040516211124002, 'batch_size': 37, 'attention_heads': 4, 'hidden_dimension': 103, 'number_of_hidden_layers': 0, 'dropout_rate': 0.49641297931133677, 'global_pooling': 'mean', 'learning_rate': 0.0017100598482805542, 'weight_decay': 4.3569168399706705e-05, 'beta_0': 0.8688389887107143, 'beta_1': 0.9834226616283098, 'epsilon': 1.9628518881260816e-08, 'balanced_loss': True, 'epochs': 133, 'early_stopping_patience': 11, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 07:02:45,087] Trial 178 finished with value: 0.9090909090909091 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9013215751962507, 'batch_size': 16, 'attention_heads': 5, 'hidden_dimension': 92, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5041995109341448, 'global_pooling': 'mean', 'learning_rate': 0.001034428584318442, 'weight_decay': 3.9603514514757954e-05, 'beta_0': 0.8561189452115829, 'beta_1': 0.9836398068604325, 'epsilon': 3.4288640080424304e-08, 'balanced_loss': True, 'epochs': 120, 'early_stopping_patience': 10, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 149 with value: 0.9212121212121213.
[I 2024-11-29 07:07:58,878] Trial 179 finished with value: 0.9090909090909091 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9481755843162568, 'batch_size': 23, 'attention_heads': 4, 'hidden_dimension': 85, 'number_of_hidden_layers': 0, 'dropout_rate': 0.48730591874685864, 'global_pooling': 'mean', 'learning_rate': 0.001481546716103811, 'weight_decay': 2.1847947397794956e-05, 'beta_0': 0.8635923734177912, 'beta_1': 0.9842113283542187, 'epsilon': 1.0784481524732654e-08, 'balanced_loss': True, 'epochs': 148, 'early_stopping_patience': 12, 'plateau_patience': 14, 'plateau_divider': 8}. Best is trial 149 with value: 0.9212121212121213.
