[I 2024-12-03 05:07:58,032] Using an existing study with name 'IMDb-top_1000-GATv2-facebook-bart-base-Grouped-No_Aggregation' instead of creating a new one.
[I 2024-12-03 05:17:23,774] Trial 117 finished with value: 0.8787878787878788 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.930286879069627, 'batch_size': 29, 'attention_heads': 6, 'hidden_dimension': 166, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5451948869983394, 'global_pooling': 'mean', 'learning_rate': 0.0039694708835641915, 'weight_decay': 1.1870087422017486e-06, 'beta_0': 0.8307767898251949, 'beta_1': 0.9813072812413489, 'epsilon': 5.522109503341595e-06, 'balanced_loss': True, 'epochs': 198, 'early_stopping_patience': 21, 'plateau_patience': 10, 'plateau_divider': 8}. Best is trial 63 with value: 0.9272727272727272.
CUDA out of memory. Tried to allocate 2.28 GiB. GPU 0 has a total capacity of 44.56 GiB of which 1.84 GiB is free. Including non-PyTorch memory, this process has 42.71 GiB memory in use. Of the allocated memory 39.06 GiB is allocated by PyTorch, and 2.51 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-12-03 07:01:50,733] Trial 128 finished with value: -1.0 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.958961404367559, 'batch_size': 61, 'attention_heads': 9, 'hidden_dimension': 117, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4997664532385364, 'global_pooling': 'sum', 'learning_rate': 0.0010310933914147887, 'weight_decay': 3.184191598924688e-05, 'beta_0': 0.8580186341236223, 'beta_1': 0.9818417349429579, 'epsilon': 1.0743564186545643e-06, 'balanced_loss': True, 'epochs': 87, 'early_stopping_patience': 25, 'plateau_patience': 22, 'plateau_divider': 5}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 07:12:01,855] Trial 129 finished with value: 0.9212121212121213 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9611563903321082, 'batch_size': 36, 'attention_heads': 8, 'hidden_dimension': 111, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4939763205306647, 'global_pooling': 'sum', 'learning_rate': 0.0006496780577120865, 'weight_decay': 1.0980441742144198e-05, 'beta_0': 0.8616760505832474, 'beta_1': 0.9822915969592574, 'epsilon': 2.623736838133165e-06, 'balanced_loss': True, 'epochs': 63, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 5}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 07:22:24,965] Trial 130 finished with value: 0.9151515151515152 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9557278351598258, 'batch_size': 38, 'attention_heads': 10, 'hidden_dimension': 106, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4842493519445011, 'global_pooling': 'sum', 'learning_rate': 0.002075912483774065, 'weight_decay': 2.499579536201916e-05, 'beta_0': 0.8641100287186463, 'beta_1': 0.980669867282515, 'epsilon': 2.2414666510443798e-06, 'balanced_loss': True, 'epochs': 99, 'early_stopping_patience': 25, 'plateau_patience': 23, 'plateau_divider': 4}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 07:31:15,072] Trial 131 finished with value: 0.9090909090909091 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9680459621593808, 'batch_size': 32, 'attention_heads': 8, 'hidden_dimension': 123, 'number_of_hidden_layers': 2, 'dropout_rate': 0.517918080425066, 'global_pooling': 'sum', 'learning_rate': 0.0004151276631245002, 'weight_decay': 2.0679606137161293e-05, 'beta_0': 0.8566796853965902, 'beta_1': 0.9810546429947574, 'epsilon': 1.5221701023194506e-06, 'balanced_loss': True, 'epochs': 94, 'early_stopping_patience': 24, 'plateau_patience': 20, 'plateau_divider': 4}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 07:43:44,985] Trial 132 finished with value: 0.9272727272727272 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9525396011046938, 'batch_size': 36, 'attention_heads': 9, 'hidden_dimension': 129, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5077475689036258, 'global_pooling': 'sum', 'learning_rate': 0.002444091753181209, 'weight_decay': 5.447547224499463e-05, 'beta_0': 0.8597725847531906, 'beta_1': 0.9816693560165867, 'epsilon': 6.253403295869245e-07, 'balanced_loss': True, 'epochs': 90, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 5}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 07:53:35,132] Trial 133 finished with value: 0.9272727272727272 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9513484483741413, 'batch_size': 36, 'attention_heads': 8, 'hidden_dimension': 115, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5269256572979067, 'global_pooling': 'sum', 'learning_rate': 0.0016497805740326688, 'weight_decay': 5.318709406311988e-05, 'beta_0': 0.8587437722477544, 'beta_1': 0.9826257284091392, 'epsilon': 5.509358096013087e-07, 'balanced_loss': True, 'epochs': 85, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 5}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 08:05:10,331] Trial 134 finished with value: 0.9212121212121213 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9516106078339991, 'batch_size': 40, 'attention_heads': 9, 'hidden_dimension': 116, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5302541739929328, 'global_pooling': 'sum', 'learning_rate': 0.0011215735565188723, 'weight_decay': 3.791976566525368e-05, 'beta_0': 0.865866093807536, 'beta_1': 0.9825862602991567, 'epsilon': 2.784560524780357e-08, 'balanced_loss': True, 'epochs': 79, 'early_stopping_patience': 25, 'plateau_patience': 22, 'plateau_divider': 5}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 08:15:40,256] Trial 135 finished with value: 0.9212121212121213 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9649272811667601, 'batch_size': 36, 'attention_heads': 8, 'hidden_dimension': 128, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5244310693242626, 'global_pooling': 'sum', 'learning_rate': 0.0016834453093365824, 'weight_decay': 2.640114178253781e-06, 'beta_0': 0.8588862242062112, 'beta_1': 0.9837261235828433, 'epsilon': 5.329172036382153e-07, 'balanced_loss': True, 'epochs': 89, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 10}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 08:24:14,924] Trial 136 finished with value: 0.9090909090909091 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9579379852772253, 'batch_size': 35, 'attention_heads': 7, 'hidden_dimension': 104, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5011620184417277, 'global_pooling': 'sum', 'learning_rate': 0.0023278059711742028, 'weight_decay': 5.767875279497208e-05, 'beta_0': 0.8599506228105424, 'beta_1': 0.9814179390611669, 'epsilon': 8.281209595022583e-07, 'balanced_loss': True, 'epochs': 90, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 5}. Best is trial 126 with value: 0.9333333333333333.
CUDA out of memory. Tried to allocate 2.88 GiB. GPU 0 has a total capacity of 44.56 GiB of which 2.77 GiB is free. Including non-PyTorch memory, this process has 41.78 GiB memory in use. Of the allocated memory 39.07 GiB is allocated by PyTorch, and 1.56 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-12-03 08:33:34,874] Trial 137 finished with value: -1.0 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9454269618890266, 'batch_size': 37, 'attention_heads': 9, 'hidden_dimension': 159, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5167522455389046, 'global_pooling': 'sum', 'learning_rate': 0.001355307417979073, 'weight_decay': 1.8564802197062722e-06, 'beta_0': 0.8554822182629904, 'beta_1': 0.9844669604395135, 'epsilon': 6.219746618653176e-07, 'balanced_loss': True, 'epochs': 85, 'early_stopping_patience': 15, 'plateau_patience': 19, 'plateau_divider': 4}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 08:42:10,187] Trial 138 finished with value: 0.9212121212121213 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.9517977246802437, 'batch_size': 39, 'attention_heads': 4, 'hidden_dimension': 111, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4889707548304575, 'global_pooling': 'sum', 'learning_rate': 0.0007448933291562136, 'weight_decay': 3.0476645278322167e-05, 'beta_0': 0.8613739242746921, 'beta_1': 0.9829350197120315, 'epsilon': 2.4109259770136683e-07, 'balanced_loss': True, 'epochs': 82, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 3}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 08:52:27,413] Trial 139 finished with value: 0.9333333333333333 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9551347284511422, 'batch_size': 33, 'attention_heads': 10, 'hidden_dimension': 120, 'number_of_hidden_layers': 2, 'dropout_rate': 0.47931374489174483, 'global_pooling': 'sum', 'learning_rate': 0.001984534997698311, 'weight_decay': 5.4406667839755794e-05, 'beta_0': 0.8638642401044522, 'beta_1': 0.9824249153843554, 'epsilon': 3.1756475869472207e-07, 'balanced_loss': True, 'epochs': 96, 'early_stopping_patience': 21, 'plateau_patience': 22, 'plateau_divider': 4}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 09:05:37,734] Trial 140 finished with value: 0.8787878787878788 and parameters: {'left_stride': 256, 'right_stride': 256, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9537266496995943, 'batch_size': 33, 'attention_heads': 11, 'hidden_dimension': 120, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4798349442299857, 'global_pooling': 'sum', 'learning_rate': 0.001835075496785878, 'weight_decay': 3.491327224751685e-05, 'beta_0': 0.8628339943955086, 'beta_1': 0.9823145896480302, 'epsilon': 2.3804791510015624e-07, 'balanced_loss': True, 'epochs': 96, 'early_stopping_patience': 14, 'plateau_patience': 22, 'plateau_divider': 4}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 09:15:22,177] Trial 141 finished with value: 0.9151515151515152 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9556040001740063, 'batch_size': 34, 'attention_heads': 10, 'hidden_dimension': 99, 'number_of_hidden_layers': 2, 'dropout_rate': 0.49524835574959475, 'global_pooling': 'sum', 'learning_rate': 0.0037096673424219405, 'weight_decay': 7.825885077868915e-05, 'beta_0': 0.868014451988733, 'beta_1': 0.9832032794372982, 'epsilon': 2.8193083690920506e-07, 'balanced_loss': True, 'epochs': 77, 'early_stopping_patience': 22, 'plateau_patience': 23, 'plateau_divider': 3}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 09:25:30,207] Trial 142 finished with value: 0.9030303030303031 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.946757388332791, 'batch_size': 35, 'attention_heads': 10, 'hidden_dimension': 114, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5053296992716656, 'global_pooling': 'sum', 'learning_rate': 0.0015845986554699069, 'weight_decay': 5.842507685612496e-05, 'beta_0': 0.8643895657757834, 'beta_1': 0.9825752750146993, 'epsilon': 6.219451155168462e-07, 'balanced_loss': True, 'epochs': 89, 'early_stopping_patience': 21, 'plateau_patience': 22, 'plateau_divider': 5}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 09:36:46,044] Trial 143 finished with value: 0.9090909090909091 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9557777601177302, 'batch_size': 36, 'attention_heads': 11, 'hidden_dimension': 127, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5133505700422821, 'global_pooling': 'sum', 'learning_rate': 0.002147662998811354, 'weight_decay': 2.116991456695731e-06, 'beta_0': 0.8570783717667735, 'beta_1': 0.9809000041789157, 'epsilon': 3.68703567277837e-07, 'balanced_loss': True, 'epochs': 99, 'early_stopping_patience': 21, 'plateau_patience': 21, 'plateau_divider': 5}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 09:46:39,844] Trial 144 finished with value: 0.9090909090909091 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9601974174875847, 'batch_size': 33, 'attention_heads': 8, 'hidden_dimension': 143, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5356681884547255, 'global_pooling': 'sum', 'learning_rate': 0.0009071707955538761, 'weight_decay': 4.9629138360618524e-05, 'beta_0': 0.8599826411735944, 'beta_1': 0.9834769489161859, 'epsilon': 3.8295084126715684e-07, 'balanced_loss': True, 'epochs': 92, 'early_stopping_patience': 22, 'plateau_patience': 21, 'plateau_divider': 3}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 09:54:29,886] Trial 145 finished with value: 0.896969696969697 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9526171841821496, 'batch_size': 38, 'attention_heads': 5, 'hidden_dimension': 124, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5264908114944773, 'global_pooling': 'sum', 'learning_rate': 0.0025900036113023646, 'weight_decay': 0.0007893714255840417, 'beta_0': 0.8404920839550495, 'beta_1': 0.9820807658245311, 'epsilon': 4.3936530769307795e-07, 'balanced_loss': True, 'epochs': 96, 'early_stopping_patience': 21, 'plateau_patience': 20, 'plateau_divider': 4}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 10:03:01,653] Trial 146 finished with value: 0.9151515151515152 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.94977868524805, 'batch_size': 31, 'attention_heads': 7, 'hidden_dimension': 109, 'number_of_hidden_layers': 2, 'dropout_rate': 0.49119807892656303, 'global_pooling': 'sum', 'learning_rate': 0.0011304093455372698, 'weight_decay': 0.00040874258504684763, 'beta_0': 0.8431221685855457, 'beta_1': 0.9828020488703985, 'epsilon': 8.059228000458528e-07, 'balanced_loss': True, 'epochs': 86, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 5}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 10:09:56,353] Trial 147 finished with value: 0.8606060606060606 and parameters: {'left_stride': 64, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9641200676161252, 'batch_size': 34, 'attention_heads': 4, 'hidden_dimension': 130, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4663769701279227, 'global_pooling': 'max', 'learning_rate': 0.0013096840430414068, 'weight_decay': 2.4779383996907816e-05, 'beta_0': 0.8354462226362369, 'beta_1': 0.9870100718810425, 'epsilon': 4.756402622692818e-05, 'balanced_loss': True, 'epochs': 117, 'early_stopping_patience': 20, 'plateau_patience': 22, 'plateau_divider': 3}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 10:20:18,581] Trial 148 finished with value: 0.9212121212121213 and parameters: {'left_stride': 256, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9578018154971472, 'batch_size': 37, 'attention_heads': 5, 'hidden_dimension': 117, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4824633446024429, 'global_pooling': 'sum', 'learning_rate': 0.0019996518162016842, 'weight_decay': 5.350475387547864e-05, 'beta_0': 0.8456103269110825, 'beta_1': 0.9816203953171598, 'epsilon': 2.7151501364937134e-05, 'balanced_loss': True, 'epochs': 71, 'early_stopping_patience': 23, 'plateau_patience': 15, 'plateau_divider': 4}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 10:32:50,576] Trial 149 finished with value: 0.9090909090909091 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9436799408269494, 'batch_size': 32, 'attention_heads': 9, 'hidden_dimension': 91, 'number_of_hidden_layers': 3, 'dropout_rate': 0.3733016643584086, 'global_pooling': 'sum', 'learning_rate': 0.004425538628406756, 'weight_decay': 4.246279964184533e-06, 'beta_0': 0.8664243797500168, 'beta_1': 0.9843057523426012, 'epsilon': 3.1841583236819364e-05, 'balanced_loss': True, 'epochs': 102, 'early_stopping_patience': 21, 'plateau_patience': 19, 'plateau_divider': 6}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 10:39:32,268] Trial 150 finished with value: 0.896969696969697 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9395635248162212, 'batch_size': 36, 'attention_heads': 4, 'hidden_dimension': 151, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5029395704599758, 'global_pooling': 'mean', 'learning_rate': 0.0024418010872971716, 'weight_decay': 1.787486045549208e-05, 'beta_0': 0.8630737043175791, 'beta_1': 0.9905277122478577, 'epsilon': 3.033333877372018e-07, 'balanced_loss': True, 'epochs': 198, 'early_stopping_patience': 24, 'plateau_patience': 23, 'plateau_divider': 2}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 10:46:30,961] Trial 151 finished with value: 0.896969696969697 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.961938701034358, 'batch_size': 33, 'attention_heads': 5, 'hidden_dimension': 138, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5220666206020471, 'global_pooling': 'mean', 'learning_rate': 0.001718780571599834, 'weight_decay': 0.000602017235441931, 'beta_0': 0.8323087985003386, 'beta_1': 0.9824667914410962, 'epsilon': 1.9860678558464836e-07, 'balanced_loss': True, 'epochs': 200, 'early_stopping_patience': 22, 'plateau_patience': 24, 'plateau_divider': 5}. Best is trial 126 with value: 0.9333333333333333.
