[I 2024-11-23 03:14:46,105] Using an existing study with name 'IMDb-top_1000-GAT-google-bert-bert-base-uncased-Grouped-No_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (1147 > 512). Running this sequence through the model will result in indexing errors
[I 2024-11-23 03:21:50,270] Trial 150 finished with value: 0.8727272727272727 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9226759646604559, 'batch_size': 45, 'attention_heads': 7, 'hidden_dimension': 208, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4453193742840852, 'global_pooling': 'sum', 'learning_rate': 0.001272323368716927, 'weight_decay': 0.0003572203663915397, 'beta_0': 0.8698324915964912, 'beta_1': 0.9881141992631104, 'epsilon': 7.545743072208948e-08, 'balanced_loss': True, 'epochs': 158, 'early_stopping_patience': 23, 'plateau_patience': 10, 'plateau_divider': 3}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 04:31:13,644] Trial 161 finished with value: 0.9212121212121213 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9148133442240829, 'batch_size': 46, 'attention_heads': 8, 'hidden_dimension': 210, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5082021195934974, 'global_pooling': 'mean', 'learning_rate': 0.0009683572673870618, 'weight_decay': 0.00014873439307362977, 'beta_0': 0.8684574875435039, 'beta_1': 0.991707679502281, 'epsilon': 1.0396617656264379e-07, 'balanced_loss': True, 'epochs': 84, 'early_stopping_patience': 25, 'plateau_patience': 12, 'plateau_divider': 5}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 04:38:14,864] Trial 162 finished with value: 0.9151515151515152 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9106828114485496, 'batch_size': 47, 'attention_heads': 8, 'hidden_dimension': 212, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5087828462891458, 'global_pooling': 'mean', 'learning_rate': 0.0009981033661786108, 'weight_decay': 0.0001412599553496437, 'beta_0': 0.868805931926517, 'beta_1': 0.9919173399972452, 'epsilon': 9.661457949167399e-08, 'balanced_loss': True, 'epochs': 84, 'early_stopping_patience': 25, 'plateau_patience': 13, 'plateau_divider': 5}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 04:45:07,291] Trial 163 finished with value: 0.9151515151515152 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9153353590446227, 'batch_size': 46, 'attention_heads': 8, 'hidden_dimension': 208, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5014490990587643, 'global_pooling': 'mean', 'learning_rate': 0.0008331229460299773, 'weight_decay': 0.00014465944776540887, 'beta_0': 0.8642700641582259, 'beta_1': 0.9913009992916753, 'epsilon': 1.244423847738474e-07, 'balanced_loss': True, 'epochs': 73, 'early_stopping_patience': 25, 'plateau_patience': 12, 'plateau_divider': 5}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 04:50:55,056] Trial 164 finished with value: 0.9212121212121213 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.916693512805941, 'batch_size': 45, 'attention_heads': 8, 'hidden_dimension': 49, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4900414972121719, 'global_pooling': 'mean', 'learning_rate': 0.0013507348193903727, 'weight_decay': 0.0001127035996670809, 'beta_0': 0.8753091110669525, 'beta_1': 0.9917269849412925, 'epsilon': 6.738877806388903e-08, 'balanced_loss': True, 'epochs': 87, 'early_stopping_patience': 25, 'plateau_patience': 12, 'plateau_divider': 4}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 04:57:11,392] Trial 165 finished with value: 0.9090909090909091 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.913314575031557, 'batch_size': 46, 'attention_heads': 9, 'hidden_dimension': 115, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4903816185682793, 'global_pooling': 'mean', 'learning_rate': 0.0011062532355865864, 'weight_decay': 0.00013586952678100068, 'beta_0': 0.8751913130898148, 'beta_1': 0.9917622855232346, 'epsilon': 1.6400523155611239e-06, 'balanced_loss': True, 'epochs': 78, 'early_stopping_patience': 25, 'plateau_patience': 12, 'plateau_divider': 4}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 05:04:39,401] Trial 166 finished with value: 0.9151515151515152 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9162814460866268, 'batch_size': 47, 'attention_heads': 9, 'hidden_dimension': 228, 'number_of_hidden_layers': 0, 'dropout_rate': 0.49425474368000333, 'global_pooling': 'mean', 'learning_rate': 0.0007032968973996797, 'weight_decay': 9.858749840451797e-05, 'beta_0': 0.8715052412392765, 'beta_1': 0.9906416255599316, 'epsilon': 8.526628380294845e-08, 'balanced_loss': True, 'epochs': 86, 'early_stopping_patience': 25, 'plateau_patience': 12, 'plateau_divider': 4}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 05:10:24,690] Trial 167 finished with value: 0.9090909090909091 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.917140649555645, 'batch_size': 43, 'attention_heads': 8, 'hidden_dimension': 68, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4982564731763399, 'global_pooling': 'mean', 'learning_rate': 0.0013119621664459036, 'weight_decay': 0.0001773395419748226, 'beta_0': 0.8689858560792638, 'beta_1': 0.9926573979433344, 'epsilon': 1.0608979655294342e-07, 'balanced_loss': True, 'epochs': 89, 'early_stopping_patience': 25, 'plateau_patience': 11, 'plateau_divider': 10}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 05:16:24,163] Trial 168 finished with value: 0.9212121212121213 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9079221029106948, 'batch_size': 45, 'attention_heads': 8, 'hidden_dimension': 49, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5074145122057409, 'global_pooling': 'mean', 'learning_rate': 0.00047800089793385473, 'weight_decay': 8.510087848521977e-05, 'beta_0': 0.855743725934119, 'beta_1': 0.9921576643520155, 'epsilon': 5.792117622784675e-08, 'balanced_loss': True, 'epochs': 91, 'early_stopping_patience': 25, 'plateau_patience': 12, 'plateau_divider': 4}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 05:22:06,767] Trial 169 finished with value: 0.8787878787878788 and parameters: {'left_stride': 64, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9082827485269884, 'batch_size': 48, 'attention_heads': 8, 'hidden_dimension': 60, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5103575719499136, 'global_pooling': 'mean', 'learning_rate': 0.0004576639149479194, 'weight_decay': 7.595912317981968e-05, 'beta_0': 0.8568352019412439, 'beta_1': 0.9911036953460941, 'epsilon': 5.6361465096659764e-08, 'balanced_loss': True, 'epochs': 91, 'early_stopping_patience': 25, 'plateau_patience': 13, 'plateau_divider': 4}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 05:28:07,313] Trial 170 finished with value: 0.9151515151515152 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9060854453245384, 'batch_size': 45, 'attention_heads': 8, 'hidden_dimension': 49, 'number_of_hidden_layers': 0, 'dropout_rate': 0.486734880201702, 'global_pooling': 'mean', 'learning_rate': 0.0005723832937987003, 'weight_decay': 9.506164736794933e-05, 'beta_0': 0.8662431572306818, 'beta_1': 0.9921852580144346, 'epsilon': 6.214518747876024e-08, 'balanced_loss': True, 'epochs': 83, 'early_stopping_patience': 25, 'plateau_patience': 12, 'plateau_divider': 5}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 05:35:23,727] Trial 171 finished with value: 0.8909090909090909 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9113110847791847, 'batch_size': 46, 'attention_heads': 8, 'hidden_dimension': 46, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5179414260154906, 'global_pooling': 'max', 'learning_rate': 0.0003869926172071438, 'weight_decay': 8.009440011387408e-05, 'beta_0': 0.8554432857526716, 'beta_1': 0.9917392749850624, 'epsilon': 3.814598335734242e-08, 'balanced_loss': True, 'epochs': 95, 'early_stopping_patience': 25, 'plateau_patience': 23, 'plateau_divider': 4}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 05:41:06,708] Trial 172 finished with value: 0.9151515151515152 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9148765695628976, 'batch_size': 44, 'attention_heads': 9, 'hidden_dimension': 33, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5051302248585001, 'global_pooling': 'mean', 'learning_rate': 0.0009227259427197062, 'weight_decay': 0.00011265499577458696, 'beta_0': 0.8623762122661297, 'beta_1': 0.9925017432778828, 'epsilon': 8.44055181057767e-08, 'balanced_loss': True, 'epochs': 86, 'early_stopping_patience': 25, 'plateau_patience': 12, 'plateau_divider': 4}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 05:47:00,856] Trial 173 finished with value: 0.9151515151515152 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9191243837713218, 'batch_size': 45, 'attention_heads': 7, 'hidden_dimension': 91, 'number_of_hidden_layers': 0, 'dropout_rate': 0.500929925690392, 'global_pooling': 'mean', 'learning_rate': 0.0015007556803482223, 'weight_decay': 0.00015944604575787515, 'beta_0': 0.8608207222478623, 'beta_1': 0.9903031134979471, 'epsilon': 1.1674974536488112e-07, 'balanced_loss': True, 'epochs': 91, 'early_stopping_patience': 25, 'plateau_patience': 11, 'plateau_divider': 5}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 05:53:04,743] Trial 174 finished with value: 0.9090909090909091 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9032403530262578, 'batch_size': 50, 'attention_heads': 11, 'hidden_dimension': 47, 'number_of_hidden_layers': 0, 'dropout_rate': 0.49328249807755464, 'global_pooling': 'mean', 'learning_rate': 0.0006231360824014585, 'weight_decay': 0.00020292781646845672, 'beta_0': 0.8672855824508646, 'beta_1': 0.9929526356028648, 'epsilon': 6.588138531766933e-08, 'balanced_loss': True, 'epochs': 88, 'early_stopping_patience': 24, 'plateau_patience': 12, 'plateau_divider': 4}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 05:58:57,969] Trial 175 finished with value: 0.9151515151515152 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9007058549154481, 'batch_size': 43, 'attention_heads': 9, 'hidden_dimension': 54, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4884910591706471, 'global_pooling': 'mean', 'learning_rate': 0.0011680106645650533, 'weight_decay': 0.00012854000812977012, 'beta_0': 0.8709108467614619, 'beta_1': 0.9913749880130013, 'epsilon': 5.2880652741141994e-08, 'balanced_loss': True, 'epochs': 81, 'early_stopping_patience': 25, 'plateau_patience': 22, 'plateau_divider': 4}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 06:04:45,799] Trial 176 finished with value: 0.9030303030303031 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9807050983793435, 'batch_size': 47, 'attention_heads': 8, 'hidden_dimension': 218, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5131258838327099, 'global_pooling': 'mean', 'learning_rate': 0.0018233640834062913, 'weight_decay': 0.00018571865515285522, 'beta_0': 0.8747658601395089, 'beta_1': 0.9909794128208439, 'epsilon': 7.945363871074764e-08, 'balanced_loss': True, 'epochs': 94, 'early_stopping_patience': 24, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 06:11:07,469] Trial 177 finished with value: 0.9151515151515152 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9197131321520665, 'batch_size': 40, 'attention_heads': 7, 'hidden_dimension': 176, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4766774845933249, 'global_pooling': 'mean', 'learning_rate': 0.0005035697054805776, 'weight_decay': 0.00015102753410855367, 'beta_0': 0.8636385875929241, 'beta_1': 0.9918630156904362, 'epsilon': 1.350469614009779e-07, 'balanced_loss': True, 'epochs': 99, 'early_stopping_patience': 24, 'plateau_patience': 24, 'plateau_divider': 4}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 06:18:02,867] Trial 178 finished with value: 0.9030303030303031 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9122597507241779, 'batch_size': 44, 'attention_heads': 8, 'hidden_dimension': 221, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3660971377098415, 'global_pooling': 'mean', 'learning_rate': 0.0008351140476217678, 'weight_decay': 3.232687713669608e-05, 'beta_0': 0.871937125134158, 'beta_1': 0.9891651316245561, 'epsilon': 2.7057927432865252e-08, 'balanced_loss': True, 'epochs': 89, 'early_stopping_patience': 25, 'plateau_patience': 11, 'plateau_divider': 5}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 06:24:13,442] Trial 179 finished with value: 0.9090909090909091 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9141971292909721, 'batch_size': 49, 'attention_heads': 5, 'hidden_dimension': 185, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5060136532099745, 'global_pooling': 'mean', 'learning_rate': 0.0014059354627613048, 'weight_decay': 0.00025454944361662956, 'beta_0': 0.8590984702009471, 'beta_1': 0.9924783886024852, 'epsilon': 9.573215566289964e-08, 'balanced_loss': True, 'epochs': 83, 'early_stopping_patience': 25, 'plateau_patience': 13, 'plateau_divider': 4}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 06:31:18,350] Trial 180 finished with value: 0.9030303030303031 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9101272979371837, 'batch_size': 41, 'attention_heads': 5, 'hidden_dimension': 139, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4981715475425047, 'global_pooling': 'sum', 'learning_rate': 0.0009954929418508744, 'weight_decay': 1.0005072453856697e-06, 'beta_0': 0.8686072936918925, 'beta_1': 0.9883420501715549, 'epsilon': 4.8745600862446515e-08, 'balanced_loss': True, 'epochs': 97, 'early_stopping_patience': 25, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 06:38:17,936] Trial 181 finished with value: 0.8848484848484849 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9174527431213255, 'batch_size': 43, 'attention_heads': 7, 'hidden_dimension': 42, 'number_of_hidden_layers': 0, 'dropout_rate': 0.47103487024549323, 'global_pooling': 'mean', 'learning_rate': 2.7115959943633915e-05, 'weight_decay': 0.00011023583352617175, 'beta_0': 0.8537803463402488, 'beta_1': 0.9923067853730041, 'epsilon': 2.6646755358656505e-05, 'balanced_loss': False, 'epochs': 174, 'early_stopping_patience': 24, 'plateau_patience': 12, 'plateau_divider': 5}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 06:44:40,409] Trial 182 finished with value: 0.9212121212121213 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9218953085106463, 'batch_size': 42, 'attention_heads': 7, 'hidden_dimension': 203, 'number_of_hidden_layers': 0, 'dropout_rate': 0.48779053542311673, 'global_pooling': 'mean', 'learning_rate': 0.002174989960157234, 'weight_decay': 0.0001225476495168021, 'beta_0': 0.8777184571106144, 'beta_1': 0.993075866539321, 'epsilon': 6.335287687972752e-08, 'balanced_loss': True, 'epochs': 92, 'early_stopping_patience': 24, 'plateau_patience': 13, 'plateau_divider': 2}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 06:51:12,352] Trial 183 finished with value: 0.9090909090909091 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9215648877318189, 'batch_size': 45, 'attention_heads': 7, 'hidden_dimension': 205, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4882248161604294, 'global_pooling': 'mean', 'learning_rate': 0.001953481826699767, 'weight_decay': 4.3569168399706705e-05, 'beta_0': 0.875937435263343, 'beta_1': 0.9930476942229658, 'epsilon': 6.984700143206184e-08, 'balanced_loss': True, 'epochs': 93, 'early_stopping_patience': 24, 'plateau_patience': 12, 'plateau_divider': 2}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 06:57:35,027] Trial 184 finished with value: 0.9030303030303031 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9241268205195816, 'batch_size': 41, 'attention_heads': 7, 'hidden_dimension': 190, 'number_of_hidden_layers': 0, 'dropout_rate': 0.48016620624040307, 'global_pooling': 'mean', 'learning_rate': 0.0035390765153278836, 'weight_decay': 0.0001319185930645373, 'beta_0': 0.8655546086992953, 'beta_1': 0.9915381400679114, 'epsilon': 4.111308139965636e-08, 'balanced_loss': True, 'epochs': 86, 'early_stopping_patience': 25, 'plateau_patience': 13, 'plateau_divider': 2}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 07:03:57,002] Trial 185 finished with value: 0.9151515151515152 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9224602477217438, 'batch_size': 43, 'attention_heads': 7, 'hidden_dimension': 213, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4944753922980037, 'global_pooling': 'mean', 'learning_rate': 0.001590963544976797, 'weight_decay': 8.702148289918102e-05, 'beta_0': 0.8733004266622652, 'beta_1': 0.9920893342379143, 'epsilon': 8.471747390832063e-06, 'balanced_loss': True, 'epochs': 91, 'early_stopping_patience': 24, 'plateau_patience': 10, 'plateau_divider': 2}. Best is trial 87 with value: 0.9272727272727272.
