Some weights of RobertaModel were not initialized from the model checkpoint at FacebookAI/roberta-large and are newly initialized: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
[I 2024-12-10 05:17:42,271] Using an existing study with name 'IMDb-top_1000-GATv2-FacebookAI-roberta-large-Grouped-No_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (1113 > 512). Running this sequence through the model will result in indexing errors
[I 2024-12-10 05:35:33,358] Trial 92 finished with value: 0.8909090909090909 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9685611727326353, 'batch_size': 43, 'attention_heads': 11, 'hidden_dimension': 43, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4444170702940206, 'global_pooling': 'max', 'learning_rate': 0.004588723754919075, 'weight_decay': 7.203821205189772e-06, 'beta_0': 0.8292291896419847, 'beta_1': 0.9811001250608548, 'epsilon': 1.3250791030197805e-06, 'balanced_loss': False, 'epochs': 165, 'early_stopping_patience': 13, 'plateau_patience': 19, 'plateau_divider': 8}. Best is trial 89 with value: 0.9454545454545454.
CUDA out of memory. Tried to allocate 1.19 GiB. GPU 0 has a total capacity of 44.56 GiB of which 514.69 MiB is free. Including non-PyTorch memory, this process has 44.05 GiB memory in use. Of the allocated memory 36.23 GiB is allocated by PyTorch, and 6.67 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-12-10 08:15:57,845] Trial 101 finished with value: -1.0 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9657122535218267, 'batch_size': 52, 'attention_heads': 8, 'hidden_dimension': 100, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4281273212547711, 'global_pooling': 'sum', 'learning_rate': 0.011984587106697194, 'weight_decay': 1.4304351790991607e-05, 'beta_0': 0.8205187143339925, 'beta_1': 0.9838091151431902, 'epsilon': 7.171775720792992e-07, 'balanced_loss': False, 'epochs': 124, 'early_stopping_patience': 15, 'plateau_patience': 18, 'plateau_divider': 4}. Best is trial 89 with value: 0.9454545454545454.
[I 2024-12-10 08:31:01,950] Trial 102 finished with value: 0.9454545454545454 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9470246830045864, 'batch_size': 55, 'attention_heads': 6, 'hidden_dimension': 114, 'number_of_hidden_layers': 1, 'dropout_rate': 0.490784133788582, 'global_pooling': 'mean', 'learning_rate': 0.004946067746343706, 'weight_decay': 5.026494103150736e-05, 'beta_0': 0.822224914622008, 'beta_1': 0.9872919757670297, 'epsilon': 1.352571942180927e-06, 'balanced_loss': False, 'epochs': 185, 'early_stopping_patience': 19, 'plateau_patience': 17, 'plateau_divider': 6}. Best is trial 89 with value: 0.9454545454545454.
[I 2024-12-10 08:43:25,078] Trial 103 finished with value: 0.9333333333333333 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9690489275655936, 'batch_size': 55, 'attention_heads': 5, 'hidden_dimension': 41, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4943022579856599, 'global_pooling': 'mean', 'learning_rate': 0.0061151915944935254, 'weight_decay': 4.0461421206771465e-05, 'beta_0': 0.8278221574808357, 'beta_1': 0.9890114463839025, 'epsilon': 1.341196069606771e-06, 'balanced_loss': False, 'epochs': 180, 'early_stopping_patience': 19, 'plateau_patience': 17, 'plateau_divider': 6}. Best is trial 89 with value: 0.9454545454545454.
[I 2024-12-10 08:55:45,900] Trial 104 finished with value: 0.9212121212121213 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9684038570506462, 'batch_size': 55, 'attention_heads': 5, 'hidden_dimension': 40, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4917875072658203, 'global_pooling': 'mean', 'learning_rate': 0.004984224340126459, 'weight_decay': 5.2327248974823826e-05, 'beta_0': 0.8228599037562433, 'beta_1': 0.9881748815662715, 'epsilon': 1.0071500228384201e-06, 'balanced_loss': False, 'epochs': 185, 'early_stopping_patience': 18, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 89 with value: 0.9454545454545454.
[I 2024-12-10 09:08:47,251] Trial 105 finished with value: 0.9333333333333333 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9529044175150811, 'batch_size': 50, 'attention_heads': 6, 'hidden_dimension': 48, 'number_of_hidden_layers': 1, 'dropout_rate': 0.47964712854493835, 'global_pooling': 'mean', 'learning_rate': 0.006282973326473106, 'weight_decay': 3.9963236840736276e-05, 'beta_0': 0.8308761043311218, 'beta_1': 0.9872417726533544, 'epsilon': 1.2877285410043746e-06, 'balanced_loss': False, 'epochs': 182, 'early_stopping_patience': 19, 'plateau_patience': 18, 'plateau_divider': 7}. Best is trial 89 with value: 0.9454545454545454.
[I 2024-12-10 09:21:37,736] Trial 106 finished with value: 0.9575757575757575 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9422003273562455, 'batch_size': 16, 'attention_heads': 6, 'hidden_dimension': 49, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4797664008367384, 'global_pooling': 'mean', 'learning_rate': 0.006266497603316978, 'weight_decay': 4.123233076596465e-05, 'beta_0': 0.8270460432265019, 'beta_1': 0.9873225822281696, 'epsilon': 1.3508487340313381e-06, 'balanced_loss': False, 'epochs': 189, 'early_stopping_patience': 19, 'plateau_patience': 18, 'plateau_divider': 6}. Best is trial 106 with value: 0.9575757575757575.
[I 2024-12-10 09:34:22,413] Trial 107 finished with value: 0.9393939393939394 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.946834024205963, 'batch_size': 20, 'attention_heads': 6, 'hidden_dimension': 49, 'number_of_hidden_layers': 1, 'dropout_rate': 0.47987192470373796, 'global_pooling': 'mean', 'learning_rate': 0.0063403509467185384, 'weight_decay': 2.3779966036946333e-05, 'beta_0': 0.8284881672053335, 'beta_1': 0.9873339580110776, 'epsilon': 1.4713195752072704e-06, 'balanced_loss': False, 'epochs': 182, 'early_stopping_patience': 19, 'plateau_patience': 18, 'plateau_divider': 6}. Best is trial 106 with value: 0.9575757575757575.
[I 2024-12-10 09:52:12,681] Trial 108 finished with value: 0.9212121212121213 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9466502338406433, 'batch_size': 18, 'attention_heads': 6, 'hidden_dimension': 52, 'number_of_hidden_layers': 3, 'dropout_rate': 0.44969062444318847, 'global_pooling': 'max', 'learning_rate': 0.0034301017715918287, 'weight_decay': 2.5268132499447316e-05, 'beta_0': 0.8272687834653545, 'beta_1': 0.988868351403109, 'epsilon': 1.494611350169213e-06, 'balanced_loss': False, 'epochs': 190, 'early_stopping_patience': 19, 'plateau_patience': 19, 'plateau_divider': 5}. Best is trial 106 with value: 0.9575757575757575.
[I 2024-12-10 10:05:01,158] Trial 109 finished with value: 0.9333333333333333 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9424377662277605, 'batch_size': 16, 'attention_heads': 6, 'hidden_dimension': 45, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4675904572728341, 'global_pooling': 'mean', 'learning_rate': 0.006072546215346232, 'weight_decay': 2.2048805354243756e-05, 'beta_0': 0.8227977760834713, 'beta_1': 0.987592561430968, 'epsilon': 8.397271365839101e-07, 'balanced_loss': False, 'epochs': 194, 'early_stopping_patience': 18, 'plateau_patience': 20, 'plateau_divider': 6}. Best is trial 106 with value: 0.9575757575757575.
[I 2024-12-10 10:17:31,232] Trial 110 finished with value: 0.9393939393939394 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9386031094372824, 'batch_size': 19, 'attention_heads': 5, 'hidden_dimension': 38, 'number_of_hidden_layers': 1, 'dropout_rate': 0.47826546025356576, 'global_pooling': 'mean', 'learning_rate': 0.008202564273272516, 'weight_decay': 2.959270528699503e-05, 'beta_0': 0.8325783324592123, 'beta_1': 0.989233123221631, 'epsilon': 6.257420375926952e-07, 'balanced_loss': False, 'epochs': 186, 'early_stopping_patience': 20, 'plateau_patience': 18, 'plateau_divider': 6}. Best is trial 106 with value: 0.9575757575757575.
[I 2024-12-10 10:31:14,038] Trial 111 finished with value: 0.9393939393939394 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.941135906408724, 'batch_size': 18, 'attention_heads': 6, 'hidden_dimension': 38, 'number_of_hidden_layers': 1, 'dropout_rate': 0.48120189936604996, 'global_pooling': 'mean', 'learning_rate': 0.007723573389005911, 'weight_decay': 1.0449545485313453e-05, 'beta_0': 0.8385023649466982, 'beta_1': 0.9894157936883415, 'epsilon': 1.0329114433194345e-06, 'balanced_loss': False, 'epochs': 199, 'early_stopping_patience': 20, 'plateau_patience': 18, 'plateau_divider': 5}. Best is trial 106 with value: 0.9575757575757575.
[I 2024-12-10 10:46:26,081] Trial 112 finished with value: 0.9333333333333333 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9314968509238278, 'batch_size': 21, 'attention_heads': 6, 'hidden_dimension': 58, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4799764907116122, 'global_pooling': 'mean', 'learning_rate': 0.008023828234139616, 'weight_decay': 1.0128396485564265e-05, 'beta_0': 0.8336125377586168, 'beta_1': 0.9900161961648234, 'epsilon': 6.214690743982273e-07, 'balanced_loss': False, 'epochs': 195, 'early_stopping_patience': 20, 'plateau_patience': 18, 'plateau_divider': 4}. Best is trial 106 with value: 0.9575757575757575.
[I 2024-12-10 10:59:52,016] Trial 113 finished with value: 0.9090909090909091 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9328113476265695, 'batch_size': 19, 'attention_heads': 6, 'hidden_dimension': 35, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4597426891460552, 'global_pooling': 'mean', 'learning_rate': 0.004451547336908957, 'weight_decay': 7.502334557089895e-06, 'beta_0': 0.8414380429540357, 'beta_1': 0.9907151543625856, 'epsilon': 1.8761165244672572e-06, 'balanced_loss': False, 'epochs': 200, 'early_stopping_patience': 21, 'plateau_patience': 18, 'plateau_divider': 5}. Best is trial 106 with value: 0.9575757575757575.
[I 2024-12-10 11:12:56,074] Trial 114 finished with value: 0.9151515151515152 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9409221603788488, 'batch_size': 25, 'attention_heads': 5, 'hidden_dimension': 37, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4863884677372882, 'global_pooling': 'mean', 'learning_rate': 0.00898519949016003, 'weight_decay': 2.7707586116902196e-05, 'beta_0': 0.8311470268228092, 'beta_1': 0.9879841193644137, 'epsilon': 1.0718339456165164e-06, 'balanced_loss': False, 'epochs': 187, 'early_stopping_patience': 20, 'plateau_patience': 19, 'plateau_divider': 5}. Best is trial 106 with value: 0.9575757575757575.
[I 2024-12-10 11:26:24,146] Trial 115 finished with value: 0.9151515151515152 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9377829806961115, 'batch_size': 20, 'attention_heads': 6, 'hidden_dimension': 38, 'number_of_hidden_layers': 1, 'dropout_rate': 0.47249404775947806, 'global_pooling': 'mean', 'learning_rate': 0.005178957462819454, 'weight_decay': 3.268367516000397e-05, 'beta_0': 0.8392490204103225, 'beta_1': 0.9894681986898447, 'epsilon': 9.165466728895697e-07, 'balanced_loss': False, 'epochs': 197, 'early_stopping_patience': 19, 'plateau_patience': 18, 'plateau_divider': 6}. Best is trial 106 with value: 0.9575757575757575.
[I 2024-12-10 11:39:23,827] Trial 116 finished with value: 0.8424242424242424 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9428753820843206, 'batch_size': 21, 'attention_heads': 4, 'hidden_dimension': 45, 'number_of_hidden_layers': 1, 'dropout_rate': 0.46724985373510386, 'global_pooling': 'mean', 'learning_rate': 0.0001415583362137864, 'weight_decay': 1.108996878447599e-05, 'beta_0': 0.8368748986155898, 'beta_1': 0.9862692518971231, 'epsilon': 2.2372809341129268e-08, 'balanced_loss': False, 'epochs': 192, 'early_stopping_patience': 21, 'plateau_patience': 20, 'plateau_divider': 6}. Best is trial 106 with value: 0.9575757575757575.
CUDA out of memory. Tried to allocate 7.76 GiB. GPU 0 has a total capacity of 44.56 GiB of which 1.47 GiB is free. Including non-PyTorch memory, this process has 43.09 GiB memory in use. Of the allocated memory 32.04 GiB is allocated by PyTorch, and 9.89 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-12-10 11:52:13,486] Trial 117 finished with value: -1.0 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9272046783333545, 'batch_size': 16, 'attention_heads': 5, 'hidden_dimension': 52, 'number_of_hidden_layers': 1, 'dropout_rate': 0.478478793760642, 'global_pooling': 'mean', 'learning_rate': 0.0070379297575948446, 'weight_decay': 1.7683133873219236e-05, 'beta_0': 0.8303963655517841, 'beta_1': 0.9873834887980782, 'epsilon': 1.5362186989949572e-06, 'balanced_loss': False, 'epochs': 187, 'early_stopping_patience': 20, 'plateau_patience': 19, 'plateau_divider': 6}. Best is trial 106 with value: 0.9575757575757575.
[I 2024-12-10 12:06:23,231] Trial 118 finished with value: 0.9393939393939394 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9360244317219446, 'batch_size': 19, 'attention_heads': 6, 'hidden_dimension': 65, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4536118492834134, 'global_pooling': 'mean', 'learning_rate': 0.0026537871080896972, 'weight_decay': 2.1496715471649885e-05, 'beta_0': 0.8463335319050898, 'beta_1': 0.9865505675574403, 'epsilon': 6.278404887457696e-07, 'balanced_loss': False, 'epochs': 178, 'early_stopping_patience': 18, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 106 with value: 0.9575757575757575.
[I 2024-12-10 12:21:36,827] Trial 119 finished with value: 0.9454545454545454 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9355469586007977, 'batch_size': 18, 'attention_heads': 6, 'hidden_dimension': 65, 'number_of_hidden_layers': 3, 'dropout_rate': 0.44155760547129747, 'global_pooling': 'mean', 'learning_rate': 0.0028148637708288486, 'weight_decay': 2.3948481369412475e-05, 'beta_0': 0.847334650207248, 'beta_1': 0.986049957000922, 'epsilon': 7.851337709366959e-07, 'balanced_loss': False, 'epochs': 184, 'early_stopping_patience': 18, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 106 with value: 0.9575757575757575.
[I 2024-12-10 12:35:17,419] Trial 120 finished with value: 0.9272727272727272 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.939698482931279, 'batch_size': 18, 'attention_heads': 6, 'hidden_dimension': 59, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4415354031755988, 'global_pooling': 'mean', 'learning_rate': 0.0024518816175068347, 'weight_decay': 2.229873404783981e-05, 'beta_0': 0.8506477822492395, 'beta_1': 0.9859866968513038, 'epsilon': 4.2141974984428423e-07, 'balanced_loss': False, 'epochs': 184, 'early_stopping_patience': 17, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 106 with value: 0.9575757575757575.
[I 2024-12-10 12:48:53,216] Trial 121 finished with value: 0.9151515151515152 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9367672122835271, 'batch_size': 23, 'attention_heads': 7, 'hidden_dimension': 62, 'number_of_hidden_layers': 2, 'dropout_rate': 0.44828608039452894, 'global_pooling': 'mean', 'learning_rate': 0.0029049472377839537, 'weight_decay': 2.5042624531579747e-05, 'beta_0': 0.8434145832283158, 'beta_1': 0.9866003040788447, 'epsilon': 5.876990841293109e-07, 'balanced_loss': False, 'epochs': 187, 'early_stopping_patience': 19, 'plateau_patience': 23, 'plateau_divider': 3}. Best is trial 106 with value: 0.9575757575757575.
[I 2024-12-10 13:05:12,176] Trial 122 finished with value: 0.9151515151515152 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9345834090566512, 'batch_size': 17, 'attention_heads': 6, 'hidden_dimension': 116, 'number_of_hidden_layers': 3, 'dropout_rate': 0.43344419488320046, 'global_pooling': 'mean', 'learning_rate': 0.0037107751440135462, 'weight_decay': 1.548455953356102e-05, 'beta_0': 0.8472092557839341, 'beta_1': 0.9884948255504767, 'epsilon': 3.57374115666648e-07, 'balanced_loss': False, 'epochs': 178, 'early_stopping_patience': 18, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 106 with value: 0.9575757575757575.
[I 2024-12-10 13:18:21,068] Trial 123 finished with value: 0.9333333333333333 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9469971978611752, 'batch_size': 20, 'attention_heads': 5, 'hidden_dimension': 64, 'number_of_hidden_layers': 2, 'dropout_rate': 0.46260127238860355, 'global_pooling': 'mean', 'learning_rate': 0.0017635135503439791, 'weight_decay': 2.8741823829119365e-05, 'beta_0': 0.8459455252727707, 'beta_1': 0.9854888610019766, 'epsilon': 4.894991850101588e-07, 'balanced_loss': False, 'epochs': 170, 'early_stopping_patience': 18, 'plateau_patience': 18, 'plateau_divider': 2}. Best is trial 106 with value: 0.9575757575757575.
[I 2024-12-10 13:31:47,155] Trial 124 finished with value: 0.8242424242424242 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9284127624019397, 'batch_size': 18, 'attention_heads': 6, 'hidden_dimension': 54, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4877956230869996, 'global_pooling': 'mean', 'learning_rate': 0.009808550808602363, 'weight_decay': 1.9907644798433642e-05, 'beta_0': 0.850226135056865, 'beta_1': 0.9962542270430704, 'epsilon': 8.054916603908118e-07, 'balanced_loss': False, 'epochs': 183, 'early_stopping_patience': 19, 'plateau_patience': 17, 'plateau_divider': 4}. Best is trial 106 with value: 0.9575757575757575.
