[I 2025-02-19 23:50:00,569] Using an existing study with name 'Ohsumed-GATv2-google-bert-bert-base-uncased-Surrogate-No_Aggregation-Single_Unitary_Weight-0.0-0.0' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (611 > 512). Running this sequence through the model will result in indexing errors
[I 2025-02-20 00:07:06,400] Trial 109 finished with value: 0.6013413447364191 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9501530773235681, 'batch_size': 79, 'attention_heads': 16, 'hidden_dimension': 57, 'number_of_hidden_layers': 1, 'dropout_rate': 0.41388127302606703, 'global_pooling': 'max', 'learning_rate': 0.0016672184889731045, 'weight_decay': 0.00035201335912130824, 'beta_0': 0.8901694609158225, 'beta_1': 0.9887320318447872, 'epsilon': 6.516404007487742e-07, 'balanced_loss': True, 'epochs': 56, 'early_stopping_patience': 22, 'plateau_patience': 12, 'plateau_divider': 9}. Best is trial 102 with value: 0.6343103523725215.
[I 2025-02-20 03:57:29,716] Trial 121 finished with value: -1.0 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9021042239507215, 'batch_size': 78, 'attention_heads': 14, 'hidden_dimension': 89, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4460730292782555, 'global_pooling': 'max', 'learning_rate': 0.0014870820663459613, 'weight_decay': 0.000665793063690816, 'beta_0': 0.8825027296649404, 'beta_1': 0.9875940249049147, 'epsilon': 1.5433457883618718e-07, 'balanced_loss': True, 'epochs': 83, 'early_stopping_patience': 17, 'plateau_patience': 20, 'plateau_divider': 9}. Best is trial 102 with value: 0.6343103523725215.
CUDA out of memory. Tried to allocate 3.69 GiB. GPU 0 has a total capacity of 44.56 GiB of which 1.35 GiB is free. Including non-PyTorch memory, this process has 43.20 GiB memory in use. Of the allocated memory 38.48 GiB is allocated by PyTorch, and 3.57 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-02-20 04:10:14,291] Trial 122 finished with value: -1.0 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9113747257742493, 'batch_size': 76, 'attention_heads': 15, 'hidden_dimension': 94, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4547654941037271, 'global_pooling': 'max', 'learning_rate': 0.001110400654710281, 'weight_decay': 0.0004600711747061259, 'beta_0': 0.8952761493196377, 'beta_1': 0.9869752521290783, 'epsilon': 4.683791287028725e-08, 'balanced_loss': False, 'epochs': 73, 'early_stopping_patience': 23, 'plateau_patience': 14, 'plateau_divider': 9}. Best is trial 102 with value: 0.6343103523725215.
[I 2025-02-20 04:30:07,691] Trial 123 finished with value: 0.639778314674279 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.92331556338897, 'batch_size': 70, 'attention_heads': 14, 'hidden_dimension': 69, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4406540805744086, 'global_pooling': 'max', 'learning_rate': 0.0008784278992642473, 'weight_decay': 0.0005566119428874544, 'beta_0': 0.8886871840695022, 'beta_1': 0.9884194487620551, 'epsilon': 7.046748907697763e-08, 'balanced_loss': False, 'epochs': 109, 'early_stopping_patience': 20, 'plateau_patience': 12, 'plateau_divider': 10}. Best is trial 123 with value: 0.639778314674279.
[I 2025-02-20 04:45:47,548] Trial 124 finished with value: 0.5674974352051182 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9168474703957473, 'batch_size': 68, 'attention_heads': 14, 'hidden_dimension': 69, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4433962405495131, 'global_pooling': 'max', 'learning_rate': 0.003897684688170467, 'weight_decay': 0.0005654421801792695, 'beta_0': 0.8854120267604584, 'beta_1': 0.9895838581002978, 'epsilon': 6.785996820810528e-08, 'balanced_loss': False, 'epochs': 98, 'early_stopping_patience': 21, 'plateau_patience': 14, 'plateau_divider': 10}. Best is trial 123 with value: 0.639778314674279.
[I 2025-02-20 05:07:25,995] Trial 125 finished with value: 0.6295290611313568 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9240608663645986, 'batch_size': 72, 'attention_heads': 15, 'hidden_dimension': 81, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4317166231642732, 'global_pooling': 'max', 'learning_rate': 0.0008808098151786254, 'weight_decay': 0.0008804368295048904, 'beta_0': 0.8883720278414555, 'beta_1': 0.9884203857799178, 'epsilon': 8.872422317289198e-08, 'balanced_loss': False, 'epochs': 65, 'early_stopping_patience': 20, 'plateau_patience': 12, 'plateau_divider': 10}. Best is trial 123 with value: 0.639778314674279.
[I 2025-02-20 05:28:14,826] Trial 126 finished with value: 0.631678435164173 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9246523207549696, 'batch_size': 72, 'attention_heads': 15, 'hidden_dimension': 72, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4307470617425583, 'global_pooling': 'max', 'learning_rate': 0.0006008645442218075, 'weight_decay': 0.0008571908241548797, 'beta_0': 0.8874274596730453, 'beta_1': 0.9884555032454065, 'epsilon': 8.598961175241923e-08, 'balanced_loss': False, 'epochs': 119, 'early_stopping_patience': 20, 'plateau_patience': 12, 'plateau_divider': 10}. Best is trial 123 with value: 0.639778314674279.
[I 2025-02-20 05:48:14,868] Trial 127 finished with value: 0.6204214033933869 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9229151998467161, 'batch_size': 70, 'attention_heads': 15, 'hidden_dimension': 61, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4292679542259803, 'global_pooling': 'max', 'learning_rate': 0.0004711176562187236, 'weight_decay': 0.0008628134502389314, 'beta_0': 0.8877022789604603, 'beta_1': 0.9886528644173949, 'epsilon': 8.386126735906492e-08, 'balanced_loss': False, 'epochs': 106, 'early_stopping_patience': 20, 'plateau_patience': 12, 'plateau_divider': 10}. Best is trial 123 with value: 0.639778314674279.
[I 2025-02-20 06:09:27,179] Trial 128 finished with value: 0.6217525039645013 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9196548588846135, 'batch_size': 66, 'attention_heads': 14, 'hidden_dimension': 79, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4340611793274201, 'global_pooling': 'max', 'learning_rate': 0.0005731410314329744, 'weight_decay': 0.0007433156325336173, 'beta_0': 0.8887420600587287, 'beta_1': 0.9879696717968135, 'epsilon': 5.694368561769718e-08, 'balanced_loss': False, 'epochs': 119, 'early_stopping_patience': 20, 'plateau_patience': 11, 'plateau_divider': 10}. Best is trial 123 with value: 0.639778314674279.
[I 2025-02-20 06:33:07,350] Trial 129 finished with value: 0.5405811724137031 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9182934375551923, 'batch_size': 66, 'attention_heads': 14, 'hidden_dimension': 80, 'number_of_hidden_layers': 1, 'dropout_rate': 0.42513010432938975, 'global_pooling': 'sum', 'learning_rate': 0.0003637041970122772, 'weight_decay': 0.000712299185466942, 'beta_0': 0.8848097190076639, 'beta_1': 0.9883141635771948, 'epsilon': 4.424471036846649e-08, 'balanced_loss': False, 'epochs': 119, 'early_stopping_patience': 20, 'plateau_patience': 11, 'plateau_divider': 10}. Best is trial 123 with value: 0.639778314674279.
[I 2025-02-20 06:54:47,878] Trial 130 finished with value: 0.6255929458521906 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9109799460374259, 'batch_size': 63, 'attention_heads': 14, 'hidden_dimension': 67, 'number_of_hidden_layers': 1, 'dropout_rate': 0.43866411432679436, 'global_pooling': 'max', 'learning_rate': 0.0005593692342380733, 'weight_decay': 0.0007916163414321927, 'beta_0': 0.8887148139017556, 'beta_1': 0.9890265630700805, 'epsilon': 5.503866847203257e-08, 'balanced_loss': False, 'epochs': 127, 'early_stopping_patience': 22, 'plateau_patience': 11, 'plateau_divider': 10}. Best is trial 123 with value: 0.639778314674279.
[I 2025-02-20 07:18:10,321] Trial 131 finished with value: 0.5952288037495038 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9122553812893046, 'batch_size': 61, 'attention_heads': 15, 'hidden_dimension': 68, 'number_of_hidden_layers': 1, 'dropout_rate': 0.43929084306812005, 'global_pooling': 'max', 'learning_rate': 0.0003109673078404497, 'weight_decay': 0.0008573093775765666, 'beta_0': 0.8821476955119888, 'beta_1': 0.9890591546151467, 'epsilon': 8.565660852575214e-08, 'balanced_loss': False, 'epochs': 108, 'early_stopping_patience': 22, 'plateau_patience': 12, 'plateau_divider': 10}. Best is trial 123 with value: 0.639778314674279.
[I 2025-02-20 07:37:41,262] Trial 132 finished with value: 0.6429019767937657 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.923722834489747, 'batch_size': 63, 'attention_heads': 14, 'hidden_dimension': 56, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4514487228973982, 'global_pooling': 'max', 'learning_rate': 0.0006488151837786634, 'weight_decay': 0.0006083080917471759, 'beta_0': 0.8798191285021967, 'beta_1': 0.9884469306996968, 'epsilon': 4.060588565288012e-08, 'balanced_loss': False, 'epochs': 126, 'early_stopping_patience': 22, 'plateau_patience': 11, 'plateau_divider': 10}. Best is trial 132 with value: 0.6429019767937657.
[I 2025-02-20 08:00:12,583] Trial 133 finished with value: 0.6086096876615319 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9350566146378286, 'batch_size': 72, 'attention_heads': 14, 'hidden_dimension': 55, 'number_of_hidden_layers': 2, 'dropout_rate': 0.452798638085643, 'global_pooling': 'max', 'learning_rate': 0.0004995872042079021, 'weight_decay': 0.0005965193638548026, 'beta_0': 0.8795828651274847, 'beta_1': 0.9884168113914016, 'epsilon': 4.3627118169034905e-06, 'balanced_loss': False, 'epochs': 128, 'early_stopping_patience': 22, 'plateau_patience': 11, 'plateau_divider': 10}. Best is trial 132 with value: 0.6429019767937657.
[I 2025-02-20 08:24:43,322] Trial 134 finished with value: 0.6035235677541188 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8977165740872659, 'batch_size': 63, 'attention_heads': 13, 'hidden_dimension': 48, 'number_of_hidden_layers': 1, 'dropout_rate': 0.41824190496742947, 'global_pooling': 'max', 'learning_rate': 0.0006595173421402946, 'weight_decay': 0.00036639124095144167, 'beta_0': 0.8915242998450422, 'beta_1': 0.9895949103056394, 'epsilon': 3.252888391466575e-08, 'balanced_loss': False, 'epochs': 124, 'early_stopping_patience': 23, 'plateau_patience': 11, 'plateau_divider': 10}. Best is trial 132 with value: 0.6429019767937657.
[I 2025-02-20 08:45:31,499] Trial 135 finished with value: 0.6141598188307734 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9080276020654365, 'batch_size': 53, 'attention_heads': 14, 'hidden_dimension': 65, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5653444670276446, 'global_pooling': 'max', 'learning_rate': 0.0010143213308805776, 'weight_decay': 0.0006617493760980141, 'beta_0': 0.8863366240694737, 'beta_1': 0.9891732533616372, 'epsilon': 6.40184614042551e-08, 'balanced_loss': False, 'epochs': 135, 'early_stopping_patience': 21, 'plateau_patience': 12, 'plateau_divider': 10}. Best is trial 132 with value: 0.6429019767937657.
[I 2025-02-20 09:04:57,402] Trial 136 finished with value: 0.6238410437850892 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9232005370456846, 'batch_size': 59, 'attention_heads': 15, 'hidden_dimension': 59, 'number_of_hidden_layers': 1, 'dropout_rate': 0.46694779673984577, 'global_pooling': 'max', 'learning_rate': 0.0013788815647137664, 'weight_decay': 0.0008037257874748718, 'beta_0': 0.8830473594529743, 'beta_1': 0.9877496688478683, 'epsilon': 4.136992295729237e-08, 'balanced_loss': False, 'epochs': 111, 'early_stopping_patience': 22, 'plateau_patience': 12, 'plateau_divider': 10}. Best is trial 132 with value: 0.6429019767937657.
[I 2025-02-20 09:22:44,555] Trial 137 finished with value: 0.6237984801765278 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9237957601158414, 'batch_size': 55, 'attention_heads': 15, 'hidden_dimension': 61, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4313035072979742, 'global_pooling': 'max', 'learning_rate': 0.0014110240708319316, 'weight_decay': 0.0007836659550277564, 'beta_0': 0.8894888482490131, 'beta_1': 0.9877881544942638, 'epsilon': 3.9686435484782914e-08, 'balanced_loss': False, 'epochs': 118, 'early_stopping_patience': 22, 'plateau_patience': 11, 'plateau_divider': 10}. Best is trial 132 with value: 0.6429019767937657.
[I 2025-02-20 09:40:49,320] Trial 138 finished with value: 0.6034735681652866 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9326378719435664, 'batch_size': 69, 'attention_heads': 14, 'hidden_dimension': 53, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4404723283099926, 'global_pooling': 'max', 'learning_rate': 0.0005626075147255908, 'weight_decay': 0.0006066817477787945, 'beta_0': 0.883389257895727, 'beta_1': 0.9888577291652707, 'epsilon': 4.3725788167054587e-08, 'balanced_loss': False, 'epochs': 112, 'early_stopping_patience': 22, 'plateau_patience': 12, 'plateau_divider': 10}. Best is trial 132 with value: 0.6429019767937657.
[I 2025-02-20 09:59:08,770] Trial 139 finished with value: 0.6315958990182665 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9260768127050858, 'batch_size': 64, 'attention_heads': 15, 'hidden_dimension': 43, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4512450348539054, 'global_pooling': 'max', 'learning_rate': 0.0009394307476655067, 'weight_decay': 0.0004871097113091864, 'beta_0': 0.8810023635080799, 'beta_1': 0.9884272939951534, 'epsilon': 1.006299999739027e-07, 'balanced_loss': False, 'epochs': 100, 'early_stopping_patience': 23, 'plateau_patience': 10, 'plateau_divider': 10}. Best is trial 132 with value: 0.6429019767937657.
[I 2025-02-20 10:16:30,804] Trial 140 finished with value: 0.6039210924318058 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.937275776196683, 'batch_size': 64, 'attention_heads': 13, 'hidden_dimension': 41, 'number_of_hidden_layers': 1, 'dropout_rate': 0.45425272917202786, 'global_pooling': 'max', 'learning_rate': 0.0009342626969245237, 'weight_decay': 0.00046666752942284013, 'beta_0': 0.879635249355192, 'beta_1': 0.9883524738009907, 'epsilon': 9.985946236246348e-08, 'balanced_loss': False, 'epochs': 100, 'early_stopping_patience': 23, 'plateau_patience': 10, 'plateau_divider': 10}. Best is trial 132 with value: 0.6429019767937657.
[I 2025-02-20 10:34:19,747] Trial 141 finished with value: 0.6144878496784961 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9300893915495573, 'batch_size': 72, 'attention_heads': 15, 'hidden_dimension': 38, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4234128006797126, 'global_pooling': 'max', 'learning_rate': 0.0007019084222100704, 'weight_decay': 0.0002457008546662822, 'beta_0': 0.8876789598596447, 'beta_1': 0.9902371574577341, 'epsilon': 1.721886578651958e-07, 'balanced_loss': False, 'epochs': 88, 'early_stopping_patience': 23, 'plateau_patience': 10, 'plateau_divider': 10}. Best is trial 132 with value: 0.6429019767937657.
[I 2025-02-20 10:55:48,142] Trial 142 finished with value: 0.6292517462328192 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9252093794983842, 'batch_size': 68, 'attention_heads': 15, 'hidden_dimension': 74, 'number_of_hidden_layers': 1, 'dropout_rate': 0.43631807250781257, 'global_pooling': 'max', 'learning_rate': 0.0004416843280356266, 'weight_decay': 0.00040161471257581526, 'beta_0': 0.8851357384873577, 'beta_1': 0.9894214571450146, 'epsilon': 9.831623262535533e-08, 'balanced_loss': False, 'epochs': 128, 'early_stopping_patience': 21, 'plateau_patience': 11, 'plateau_divider': 10}. Best is trial 132 with value: 0.6429019767937657.
[I 2025-02-20 11:17:36,866] Trial 143 finished with value: 0.6451110429177566 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9271751183938375, 'batch_size': 68, 'attention_heads': 16, 'hidden_dimension': 75, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4478575000802582, 'global_pooling': 'max', 'learning_rate': 0.00041705885452295716, 'weight_decay': 0.0003036389931957972, 'beta_0': 0.8814270336817345, 'beta_1': 0.9898960286641283, 'epsilon': 9.497285553500901e-08, 'balanced_loss': False, 'epochs': 59, 'early_stopping_patience': 21, 'plateau_patience': 11, 'plateau_divider': 10}. Best is trial 143 with value: 0.6451110429177566.
