[I 2025-04-02 05:24:37,879] Using an existing study with name 'Ohsumed-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation-No_Ablation-1.0-0.25' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (611 > 512). Running this sequence through the model will result in indexing errors
[I 2025-04-02 05:39:27,045] Trial 234 finished with value: 0.5475317732485647 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8726041653400185, 'batch_size': 50, 'attention_heads': 10, 'hidden_dimension': 227, 'number_of_hidden_layers': 1, 'dropout_rate': 0.30395301973900213, 'global_pooling': 'mean', 'learning_rate': 0.0004995215206737706, 'weight_decay': 0.0005380658856537114, 'beta_0': 0.8434566047757007, 'beta_1': 0.9924655022918006, 'epsilon': 6.726421515382366e-05, 'balanced_loss': True, 'epochs': 137, 'early_stopping_patience': 23, 'plateau_patience': 22, 'plateau_divider': 4}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-04-02 08:55:04,398] Trial 245 finished with value: 0.5444773993818012 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8747858925496377, 'batch_size': 57, 'attention_heads': 14, 'hidden_dimension': 179, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5479525094551388, 'global_pooling': 'mean', 'learning_rate': 0.0010381976035841968, 'weight_decay': 0.0005332971457206327, 'beta_0': 0.8277606190262681, 'beta_1': 0.9924146458222612, 'epsilon': 4.0369975198948584e-05, 'balanced_loss': False, 'epochs': 161, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-04-02 09:14:38,042] Trial 246 finished with value: 0.5544428053762075 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8794757263743597, 'batch_size': 54, 'attention_heads': 14, 'hidden_dimension': 167, 'number_of_hidden_layers': 2, 'dropout_rate': 0.41014818346810467, 'global_pooling': 'mean', 'learning_rate': 0.0007369353786989544, 'weight_decay': 4.03330277081777e-06, 'beta_0': 0.8717853348864139, 'beta_1': 0.9917859805384613, 'epsilon': 6.916077813318494e-05, 'balanced_loss': False, 'epochs': 154, 'early_stopping_patience': 23, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-04-02 09:33:46,473] Trial 247 finished with value: 0.5731401851238462 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8826746818173231, 'batch_size': 56, 'attention_heads': 14, 'hidden_dimension': 163, 'number_of_hidden_layers': 2, 'dropout_rate': 0.41612835357389527, 'global_pooling': 'mean', 'learning_rate': 0.001107778363270971, 'weight_decay': 0.0006286724199259621, 'beta_0': 0.831581040465006, 'beta_1': 0.993245999029855, 'epsilon': 8.474221347070733e-05, 'balanced_loss': False, 'epochs': 165, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
CUDA out of memory. Tried to allocate 2.35 GiB. GPU 0 has a total capacity of 44.56 GiB of which 54.69 MiB is free. Including non-PyTorch memory, this process has 44.50 GiB memory in use. Of the allocated memory 41.25 GiB is allocated by PyTorch, and 2.10 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-04-02 09:42:25,662] Trial 248 finished with value: -1.0 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8810331845864501, 'batch_size': 122, 'attention_heads': 14, 'hidden_dimension': 164, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4193184551747845, 'global_pooling': 'mean', 'learning_rate': 0.0009640845617696737, 'weight_decay': 0.0006414412650946143, 'beta_0': 0.8344885973241477, 'beta_1': 0.9935254231080258, 'epsilon': 5.595754388173504e-05, 'balanced_loss': False, 'epochs': 166, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-04-02 10:00:22,151] Trial 249 finished with value: 0.5378696091513308 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8917305299522632, 'batch_size': 57, 'attention_heads': 14, 'hidden_dimension': 172, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4134650016182587, 'global_pooling': 'mean', 'learning_rate': 0.0011347835387723808, 'weight_decay': 0.0007643868555010358, 'beta_0': 0.8304869466964172, 'beta_1': 0.9940404511784636, 'epsilon': 7.300409918733031e-05, 'balanced_loss': False, 'epochs': 165, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-04-02 10:13:50,308] Trial 250 finished with value: 0.5404697253728026 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8019788757998, 'batch_size': 61, 'attention_heads': 4, 'hidden_dimension': 162, 'number_of_hidden_layers': 2, 'dropout_rate': 0.42227395522953715, 'global_pooling': 'mean', 'learning_rate': 0.0012103751533258347, 'weight_decay': 0.0006591823982234956, 'beta_0': 0.8275860694363224, 'beta_1': 0.9931246167935821, 'epsilon': 4.842590841416224e-05, 'balanced_loss': False, 'epochs': 170, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-04-02 10:32:57,047] Trial 251 finished with value: 0.5137972121095004 and parameters: {'left_stride': 64, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8712476141408985, 'batch_size': 49, 'attention_heads': 14, 'hidden_dimension': 167, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4311901243858338, 'global_pooling': 'max', 'learning_rate': 0.0014993426116650056, 'weight_decay': 0.0005028620235329872, 'beta_0': 0.8248689149383699, 'beta_1': 0.9927483566618299, 'epsilon': 8.234423680059867e-05, 'balanced_loss': False, 'epochs': 159, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 3}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-04-02 10:45:52,770] Trial 252 finished with value: 0.5252062994676701 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8852507901027159, 'batch_size': 59, 'attention_heads': 9, 'hidden_dimension': 160, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4188037767747336, 'global_pooling': 'mean', 'learning_rate': 0.000843059240044883, 'weight_decay': 0.0008609060288014108, 'beta_0': 0.832839021268574, 'beta_1': 0.9932221645690461, 'epsilon': 6.226838685918551e-05, 'balanced_loss': False, 'epochs': 163, 'early_stopping_patience': 20, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-04-02 10:56:11,453] Trial 253 finished with value: 0.46879542244882183 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.942966932851399, 'batch_size': 56, 'attention_heads': 14, 'hidden_dimension': 175, 'number_of_hidden_layers': 0, 'dropout_rate': 0.41102561873441545, 'global_pooling': 'mean', 'learning_rate': 0.000611773911697624, 'weight_decay': 0.0005631924702569937, 'beta_0': 0.8301490840975008, 'beta_1': 0.9888410425227026, 'epsilon': 5.260679373975296e-05, 'balanced_loss': False, 'epochs': 168, 'early_stopping_patience': 17, 'plateau_patience': 15, 'plateau_divider': 7}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-04-02 11:16:04,958] Trial 254 finished with value: 0.545232589862726 and parameters: {'left_stride': 64, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8785282627388041, 'batch_size': 52, 'attention_heads': 15, 'hidden_dimension': 158, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4247697215344103, 'global_pooling': 'mean', 'learning_rate': 0.0010203621478185104, 'weight_decay': 2.7037093377624727e-06, 'beta_0': 0.8323485097048949, 'beta_1': 0.9936732828203613, 'epsilon': 7.106919904028471e-05, 'balanced_loss': False, 'epochs': 172, 'early_stopping_patience': 25, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-04-02 11:35:32,983] Trial 255 finished with value: 0.5637296846304882 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8875286281099826, 'batch_size': 56, 'attention_heads': 14, 'hidden_dimension': 170, 'number_of_hidden_layers': 2, 'dropout_rate': 0.38096699756171853, 'global_pooling': 'mean', 'learning_rate': 0.0002487734978230257, 'weight_decay': 0.0004294833957169154, 'beta_0': 0.8376323200161813, 'beta_1': 0.989273513627939, 'epsilon': 8.329287791814697e-05, 'balanced_loss': False, 'epochs': 162, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 6}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-04-02 11:52:18,083] Trial 256 finished with value: 0.5622904071423968 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8760591648215617, 'batch_size': 53, 'attention_heads': 11, 'hidden_dimension': 163, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4068630388055799, 'global_pooling': 'mean', 'learning_rate': 0.0007744878134165687, 'weight_decay': 0.000738467205023159, 'beta_0': 0.8276676376887244, 'beta_1': 0.9925663063381153, 'epsilon': 4.2935707330152926e-05, 'balanced_loss': False, 'epochs': 165, 'early_stopping_patience': 24, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
