[I 2025-02-28 06:42:23,779] Using an existing study with name 'Ohsumed-GATv2-google-bert-bert-base-uncased-Surrogate-No_Aggregation-No_Ablation-1.0-0.75' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (611 > 512). Running this sequence through the model will result in indexing errors
[I 2025-02-28 07:01:28,715] Trial 138 finished with value: 0.4521502872664994 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9587202581740613, 'batch_size': 38, 'attention_heads': 16, 'hidden_dimension': 91, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5290518266998102, 'global_pooling': 'mean', 'learning_rate': 0.000992610082673091, 'weight_decay': 3.849253049421895e-05, 'beta_0': 0.8447669834535882, 'beta_1': 0.9918800615068335, 'epsilon': 8.337176884712846e-07, 'balanced_loss': True, 'epochs': 127, 'early_stopping_patience': 20, 'plateau_patience': 24, 'plateau_divider': 3}. Best is trial 122 with value: 0.524460856220211.
[I 2025-02-28 12:34:29,034] Trial 155 finished with value: 0.446873199943143 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9860965054151898, 'batch_size': 48, 'attention_heads': 14, 'hidden_dimension': 115, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5539126700088313, 'global_pooling': 'max', 'learning_rate': 0.00033367037179684146, 'weight_decay': 2.8959510421297234e-05, 'beta_0': 0.8484667947863264, 'beta_1': 0.990269561594791, 'epsilon': 3.054753918245611e-07, 'balanced_loss': True, 'epochs': 126, 'early_stopping_patience': 18, 'plateau_patience': 25, 'plateau_divider': 2}. Best is trial 144 with value: 0.5379792613443007.
[I 2025-02-28 12:57:23,856] Trial 156 finished with value: 0.5027588314437105 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9677969876628423, 'batch_size': 46, 'attention_heads': 12, 'hidden_dimension': 131, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5811744614237055, 'global_pooling': 'max', 'learning_rate': 0.00035662715593437597, 'weight_decay': 3.6062915501855425e-05, 'beta_0': 0.8522848422290189, 'beta_1': 0.9905812307817767, 'epsilon': 9.238312760857475e-07, 'balanced_loss': True, 'epochs': 128, 'early_stopping_patience': 17, 'plateau_patience': 23, 'plateau_divider': 2}. Best is trial 144 with value: 0.5379792613443007.
[I 2025-02-28 13:16:47,515] Trial 157 finished with value: 0.520302020002632 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9745684715593393, 'batch_size': 50, 'attention_heads': 13, 'hidden_dimension': 122, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5472567271951732, 'global_pooling': 'max', 'learning_rate': 0.0005775487870493868, 'weight_decay': 4.869247572542772e-05, 'beta_0': 0.8495336468458132, 'beta_1': 0.9928072475950553, 'epsilon': 6.303351780160064e-07, 'balanced_loss': True, 'epochs': 123, 'early_stopping_patience': 19, 'plateau_patience': 25, 'plateau_divider': 2}. Best is trial 144 with value: 0.5379792613443007.
[I 2025-02-28 13:35:34,337] Trial 158 finished with value: 0.48690949241397086 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9740492229935849, 'batch_size': 45, 'attention_heads': 13, 'hidden_dimension': 125, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5474138519576506, 'global_pooling': 'max', 'learning_rate': 0.0010203621478185104, 'weight_decay': 4.6767130267137044e-05, 'beta_0': 0.8498365751205241, 'beta_1': 0.9928363933271891, 'epsilon': 7.161146982630786e-07, 'balanced_loss': True, 'epochs': 123, 'early_stopping_patience': 18, 'plateau_patience': 25, 'plateau_divider': 2}. Best is trial 144 with value: 0.5379792613443007.
[I 2025-02-28 13:56:53,584] Trial 159 finished with value: 0.5084260491110213 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9792588075518258, 'batch_size': 50, 'attention_heads': 14, 'hidden_dimension': 120, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5601935076213935, 'global_pooling': 'max', 'learning_rate': 0.0003867104185603561, 'weight_decay': 1.845672763110208e-05, 'beta_0': 0.8480088829662088, 'beta_1': 0.9915412993750058, 'epsilon': 1.1003207575360008e-06, 'balanced_loss': True, 'epochs': 134, 'early_stopping_patience': 19, 'plateau_patience': 25, 'plateau_divider': 2}. Best is trial 144 with value: 0.5379792613443007.
[I 2025-02-28 14:16:23,509] Trial 160 finished with value: 0.4976784284784223 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9785040216497637, 'batch_size': 52, 'attention_heads': 14, 'hidden_dimension': 121, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5575601698760366, 'global_pooling': 'max', 'learning_rate': 0.000568748937510683, 'weight_decay': 1.7478347499908776e-05, 'beta_0': 0.8478836821297183, 'beta_1': 0.9939467851603259, 'epsilon': 1.943585924378966e-06, 'balanced_loss': True, 'epochs': 133, 'early_stopping_patience': 19, 'plateau_patience': 25, 'plateau_divider': 2}. Best is trial 144 with value: 0.5379792613443007.
[I 2025-02-28 14:34:43,093] Trial 161 finished with value: 0.4868526018109148 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9826419174940639, 'batch_size': 56, 'attention_heads': 13, 'hidden_dimension': 128, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5354345840179904, 'global_pooling': 'max', 'learning_rate': 0.0008190930186012206, 'weight_decay': 3.2523657342902584e-05, 'beta_0': 0.8509883760268308, 'beta_1': 0.9928144520250517, 'epsilon': 1.0068875614005938e-06, 'balanced_loss': True, 'epochs': 129, 'early_stopping_patience': 19, 'plateau_patience': 24, 'plateau_divider': 2}. Best is trial 144 with value: 0.5379792613443007.
[I 2025-02-28 14:54:48,239] Trial 162 finished with value: 0.4938705999602748 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9882079358292315, 'batch_size': 51, 'attention_heads': 14, 'hidden_dimension': 106, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5676867177248442, 'global_pooling': 'max', 'learning_rate': 0.000444194916001524, 'weight_decay': 2.597645349544938e-05, 'beta_0': 0.8465085038624989, 'beta_1': 0.9933563591115929, 'epsilon': 1.1966723757064807e-06, 'balanced_loss': True, 'epochs': 141, 'early_stopping_patience': 18, 'plateau_patience': 23, 'plateau_divider': 2}. Best is trial 144 with value: 0.5379792613443007.
[I 2025-02-28 15:15:15,882] Trial 163 finished with value: 0.532257573181254 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.97044582589409, 'batch_size': 50, 'attention_heads': 13, 'hidden_dimension': 133, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5440964982232436, 'global_pooling': 'max', 'learning_rate': 0.0007068801833949301, 'weight_decay': 2.3440260494050327e-05, 'beta_0': 0.8530986585847392, 'beta_1': 0.9916672744802228, 'epsilon': 1.558706195532698e-06, 'balanced_loss': True, 'epochs': 124, 'early_stopping_patience': 19, 'plateau_patience': 25, 'plateau_divider': 2}. Best is trial 144 with value: 0.5379792613443007.
[I 2025-02-28 15:35:03,703] Trial 164 finished with value: 0.4960145527532946 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9704647774433207, 'batch_size': 50, 'attention_heads': 13, 'hidden_dimension': 135, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5510769671226132, 'global_pooling': 'max', 'learning_rate': 0.001329331239745379, 'weight_decay': 1.233628370668535e-05, 'beta_0': 0.8525286343733782, 'beta_1': 0.9918795621552574, 'epsilon': 7.4614394749119e-07, 'balanced_loss': True, 'epochs': 125, 'early_stopping_patience': 18, 'plateau_patience': 24, 'plateau_divider': 2}. Best is trial 144 with value: 0.5379792613443007.
[I 2025-02-28 15:54:55,147] Trial 165 finished with value: 0.5086941033544816 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.974387936695931, 'batch_size': 49, 'attention_heads': 13, 'hidden_dimension': 145, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5443573305213146, 'global_pooling': 'max', 'learning_rate': 0.0007279400800347784, 'weight_decay': 6.080085613050364e-05, 'beta_0': 0.8502413109885132, 'beta_1': 0.991424576358704, 'epsilon': 1.4970203361136527e-06, 'balanced_loss': True, 'epochs': 137, 'early_stopping_patience': 19, 'plateau_patience': 25, 'plateau_divider': 2}. Best is trial 144 with value: 0.5379792613443007.
[I 2025-02-28 16:15:46,126] Trial 166 finished with value: 0.4835521556830073 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9762797960538336, 'batch_size': 60, 'attention_heads': 14, 'hidden_dimension': 145, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5732777419660237, 'global_pooling': 'max', 'learning_rate': 0.0011258796705397747, 'weight_decay': 1.9644734639333995e-05, 'beta_0': 0.8537244041090588, 'beta_1': 0.9914631628089355, 'epsilon': 1.4360251786141905e-06, 'balanced_loss': True, 'epochs': 138, 'early_stopping_patience': 17, 'plateau_patience': 25, 'plateau_divider': 2}. Best is trial 144 with value: 0.5379792613443007.
[I 2025-02-28 16:32:53,053] Trial 167 finished with value: 0.017898053206831938 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.97031187420713, 'batch_size': 48, 'attention_heads': 13, 'hidden_dimension': 120, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5420746346806594, 'global_pooling': 'max', 'learning_rate': 0.02390078730774726, 'weight_decay': 6.379987141009866e-05, 'beta_0': 0.8488963485066154, 'beta_1': 0.9897513728702078, 'epsilon': 6.474496096765622e-07, 'balanced_loss': True, 'epochs': 133, 'early_stopping_patience': 19, 'plateau_patience': 25, 'plateau_divider': 2}. Best is trial 144 with value: 0.5379792613443007.
[I 2025-02-28 16:51:57,495] Trial 168 finished with value: 0.5248811592769305 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9808269534957396, 'batch_size': 54, 'attention_heads': 14, 'hidden_dimension': 131, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5555231727460832, 'global_pooling': 'max', 'learning_rate': 0.000695135303054328, 'weight_decay': 2.276273132232273e-05, 'beta_0': 0.8506390611047516, 'beta_1': 0.9925348484449156, 'epsilon': 1.146271141529791e-06, 'balanced_loss': True, 'epochs': 130, 'early_stopping_patience': 19, 'plateau_patience': 22, 'plateau_divider': 2}. Best is trial 144 with value: 0.5379792613443007.
[I 2025-02-28 17:08:33,689] Trial 169 finished with value: 0.3898838805311992 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9964114402533412, 'batch_size': 50, 'attention_heads': 14, 'hidden_dimension': 140, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5589090932443063, 'global_pooling': 'max', 'learning_rate': 0.0008705003965665902, 'weight_decay': 2.242481142880474e-05, 'beta_0': 0.8507574448235484, 'beta_1': 0.9925681501170869, 'epsilon': 1.0521487061556784e-06, 'balanced_loss': True, 'epochs': 129, 'early_stopping_patience': 19, 'plateau_patience': 24, 'plateau_divider': 2}. Best is trial 144 with value: 0.5379792613443007.
[I 2025-02-28 17:28:53,797] Trial 170 finished with value: 0.5069531079608154 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.980725696533037, 'batch_size': 55, 'attention_heads': 13, 'hidden_dimension': 130, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5519196905855236, 'global_pooling': 'max', 'learning_rate': 0.0006947855203506039, 'weight_decay': 1.4645967411482046e-05, 'beta_0': 0.8509442744213057, 'beta_1': 0.9907196376176834, 'epsilon': 1.4047931184863107e-06, 'balanced_loss': True, 'epochs': 136, 'early_stopping_patience': 19, 'plateau_patience': 22, 'plateau_divider': 2}. Best is trial 144 with value: 0.5379792613443007.
CUDA out of memory. Tried to allocate 160.00 MiB. GPU 0 has a total capacity of 44.56 GiB of which 152.69 MiB is free. Including non-PyTorch memory, this process has 44.40 GiB memory in use. Of the allocated memory 42.49 GiB is allocated by PyTorch, and 785.96 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-02-28 17:36:50,086] Trial 171 finished with value: -1.0 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8361284091877059, 'batch_size': 57, 'attention_heads': 14, 'hidden_dimension': 125, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5638689955827793, 'global_pooling': 'max', 'learning_rate': 0.00040605953909689696, 'weight_decay': 2.003608708509469e-05, 'beta_0': 0.8482724271442755, 'beta_1': 0.99204449037371, 'epsilon': 9.219721843999055e-07, 'balanced_loss': True, 'epochs': 131, 'early_stopping_patience': 18, 'plateau_patience': 22, 'plateau_divider': 2}. Best is trial 144 with value: 0.5379792613443007.
[I 2025-02-28 17:54:38,417] Trial 172 finished with value: 0.4554568106801188 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9915210025176455, 'batch_size': 53, 'attention_heads': 13, 'hidden_dimension': 132, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5348525048418853, 'global_pooling': 'max', 'learning_rate': 0.0007225117189189612, 'weight_decay': 2.4694141151380394e-05, 'beta_0': 0.8532843761953888, 'beta_1': 0.9911179041840646, 'epsilon': 1.2008507572320002e-06, 'balanced_loss': True, 'epochs': 125, 'early_stopping_patience': 19, 'plateau_patience': 23, 'plateau_divider': 2}. Best is trial 144 with value: 0.5379792613443007.
