[I 2025-03-29 12:59:48,234] Using an existing study with name 'Ohsumed-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation-No_Ablation-1.0-0.25' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (611 > 512). Running this sequence through the model will result in indexing errors
[I 2025-03-29 13:12:11,968] Trial 88 finished with value: 0.5276816772163974 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8865438168080859, 'batch_size': 64, 'attention_heads': 12, 'hidden_dimension': 172, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4307466578593135, 'global_pooling': 'mean', 'learning_rate': 0.0012023877518139157, 'weight_decay': 9.453252646286081e-05, 'beta_0': 0.8643002581245425, 'beta_1': 0.989624820441904, 'epsilon': 8.32462523447789e-05, 'balanced_loss': False, 'epochs': 168, 'early_stopping_patience': 16, 'plateau_patience': 19, 'plateau_divider': 7}. Best is trial 76 with value: 0.5794639572236967.
[I 2025-03-29 16:08:17,566] Trial 99 finished with value: 0.5274048297147719 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8892957714141301, 'batch_size': 49, 'attention_heads': 15, 'hidden_dimension': 128, 'number_of_hidden_layers': 2, 'dropout_rate': 0.421222551962177, 'global_pooling': 'max', 'learning_rate': 0.0006212566397632399, 'weight_decay': 0.0007862905510050153, 'beta_0': 0.8257296195722258, 'beta_1': 0.9883144297247038, 'epsilon': 1.586350291512684e-05, 'balanced_loss': False, 'epochs': 167, 'early_stopping_patience': 19, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 94 with value: 0.5860380181811974.
[I 2025-03-29 16:23:56,745] Trial 100 finished with value: 0.5044684864989893 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.9099954512281802, 'batch_size': 43, 'attention_heads': 16, 'hidden_dimension': 112, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4297437699986727, 'global_pooling': 'mean', 'learning_rate': 0.0009036334839547753, 'weight_decay': 0.0007401495246427004, 'beta_0': 0.8754474232561882, 'beta_1': 0.9923028451746078, 'epsilon': 2.0794305142002572e-05, 'balanced_loss': False, 'epochs': 172, 'early_stopping_patience': 21, 'plateau_patience': 16, 'plateau_divider': 9}. Best is trial 94 with value: 0.5860380181811974.
[I 2025-03-29 16:41:19,933] Trial 101 finished with value: 0.528625554116003 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8937990804588993, 'batch_size': 56, 'attention_heads': 15, 'hidden_dimension': 101, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3962621410550922, 'global_pooling': 'mean', 'learning_rate': 6.099639482055433e-05, 'weight_decay': 2.6743621831845474e-05, 'beta_0': 0.8282410583310842, 'beta_1': 0.9891685286775056, 'epsilon': 2.3918611181587162e-05, 'balanced_loss': False, 'epochs': 175, 'early_stopping_patience': 22, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 94 with value: 0.5860380181811974.
CUDA out of memory. Tried to allocate 2.11 GiB. GPU 0 has a total capacity of 44.56 GiB of which 1.17 GiB is free. Including non-PyTorch memory, this process has 43.38 GiB memory in use. Of the allocated memory 40.12 GiB is allocated by PyTorch, and 2.11 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-03-29 16:49:51,510] Trial 102 finished with value: -1.0 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8643594588848313, 'batch_size': 57, 'attention_heads': 16, 'hidden_dimension': 193, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4464363323357801, 'global_pooling': 'mean', 'learning_rate': 0.00048429459246956117, 'weight_decay': 0.00024099312795548974, 'beta_0': 0.8547691727308567, 'beta_1': 0.9873332798711645, 'epsilon': 6.0696527298636276e-05, 'balanced_loss': True, 'epochs': 160, 'early_stopping_patience': 24, 'plateau_patience': 16, 'plateau_divider': 9}. Best is trial 94 with value: 0.5860380181811974.
[I 2025-03-29 17:06:00,721] Trial 103 finished with value: 0.5275024868754882 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8712741055806152, 'batch_size': 65, 'attention_heads': 15, 'hidden_dimension': 115, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4014642741189815, 'global_pooling': 'mean', 'learning_rate': 0.001137168207292141, 'weight_decay': 0.0006566764240616656, 'beta_0': 0.8696897386822047, 'beta_1': 0.9916932836855326, 'epsilon': 3.123737609904117e-05, 'balanced_loss': False, 'epochs': 165, 'early_stopping_patience': 23, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 94 with value: 0.5860380181811974.
[I 2025-03-29 17:18:37,125] Trial 104 finished with value: 0.4624912385144017 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.9671722485591521, 'batch_size': 54, 'attention_heads': 14, 'hidden_dimension': 135, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4175626123571218, 'global_pooling': 'mean', 'learning_rate': 0.000309808928962932, 'weight_decay': 0.0004630355171183077, 'beta_0': 0.8407867697766265, 'beta_1': 0.992873018415886, 'epsilon': 4.009134703299532e-05, 'balanced_loss': False, 'epochs': 150, 'early_stopping_patience': 20, 'plateau_patience': 17, 'plateau_divider': 9}. Best is trial 94 with value: 0.5860380181811974.
[I 2025-03-29 17:35:31,902] Trial 105 finished with value: 0.5873065616004729 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8818422230476972, 'batch_size': 52, 'attention_heads': 14, 'hidden_dimension': 152, 'number_of_hidden_layers': 2, 'dropout_rate': 0.40694166591652114, 'global_pooling': 'mean', 'learning_rate': 0.0007290523830802665, 'weight_decay': 0.0005423438043264756, 'beta_0': 0.8359628266936304, 'beta_1': 0.9925446923962323, 'epsilon': 3.3437180489004254e-05, 'balanced_loss': False, 'epochs': 144, 'early_stopping_patience': 21, 'plateau_patience': 18, 'plateau_divider': 8}. Best is trial 105 with value: 0.5873065616004729.
[I 2025-03-29 17:52:22,690] Trial 106 finished with value: 0.5379973461127961 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8861249688055576, 'batch_size': 50, 'attention_heads': 14, 'hidden_dimension': 154, 'number_of_hidden_layers': 2, 'dropout_rate': 0.45548210419036056, 'global_pooling': 'mean', 'learning_rate': 0.0007143810347821901, 'weight_decay': 0.0009095582044345564, 'beta_0': 0.8353117094814245, 'beta_1': 0.993975259688988, 'epsilon': 1.4378880073402085e-05, 'balanced_loss': False, 'epochs': 159, 'early_stopping_patience': 21, 'plateau_patience': 18, 'plateau_divider': 9}. Best is trial 105 with value: 0.5873065616004729.
[I 2025-03-29 18:10:06,094] Trial 107 finished with value: 0.5580030409494345 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8953240973648059, 'batch_size': 61, 'attention_heads': 15, 'hidden_dimension': 149, 'number_of_hidden_layers': 2, 'dropout_rate': 0.42978595394132196, 'global_pooling': 'mean', 'learning_rate': 0.0007483052446578355, 'weight_decay': 0.0005713572463333631, 'beta_0': 0.844269963836234, 'beta_1': 0.9907966572328285, 'epsilon': 2.5311308260883703e-05, 'balanced_loss': False, 'epochs': 151, 'early_stopping_patience': 22, 'plateau_patience': 18, 'plateau_divider': 9}. Best is trial 105 with value: 0.5873065616004729.
[I 2025-03-29 18:25:13,576] Trial 108 finished with value: 0.5315593728786486 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8907924419666632, 'batch_size': 69, 'attention_heads': 13, 'hidden_dimension': 125, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4137524756818317, 'global_pooling': 'mean', 'learning_rate': 0.00024693423213332415, 'weight_decay': 0.00034214089791352907, 'beta_0': 0.8324106700626794, 'beta_1': 0.9913097997476381, 'epsilon': 7.078954242671525e-06, 'balanced_loss': False, 'epochs': 143, 'early_stopping_patience': 22, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 105 with value: 0.5873065616004729.
CUDA out of memory. Tried to allocate 1.43 GiB. GPU 0 has a total capacity of 44.56 GiB of which 916.69 MiB is free. Including non-PyTorch memory, this process has 43.66 GiB memory in use. Of the allocated memory 39.80 GiB is allocated by PyTorch, and 2.70 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-03-29 18:33:51,096] Trial 109 finished with value: -1.0 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8833214244032596, 'batch_size': 55, 'attention_heads': 14, 'hidden_dimension': 183, 'number_of_hidden_layers': 4, 'dropout_rate': 0.46485394376137323, 'global_pooling': 'mean', 'learning_rate': 0.00014946096849193893, 'weight_decay': 0.0004170044116871731, 'beta_0': 0.8374263406987987, 'beta_1': 0.9924214207230342, 'epsilon': 3.508959691658212e-05, 'balanced_loss': False, 'epochs': 131, 'early_stopping_patience': 21, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 105 with value: 0.5873065616004729.
[I 2025-03-29 18:52:34,260] Trial 110 finished with value: 0.5660947589631605 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8526079122535838, 'batch_size': 43, 'attention_heads': 13, 'hidden_dimension': 163, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4250135874269424, 'global_pooling': 'mean', 'learning_rate': 0.0004621988536339158, 'weight_decay': 0.0007967111558161577, 'beta_0': 0.8613135011995103, 'beta_1': 0.9898504035255179, 'epsilon': 3.1912564200715405e-05, 'balanced_loss': False, 'epochs': 173, 'early_stopping_patience': 23, 'plateau_patience': 16, 'plateau_divider': 9}. Best is trial 105 with value: 0.5873065616004729.
[I 2025-03-29 19:07:39,186] Trial 111 finished with value: 0.4432651694321655 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8517372951498292, 'batch_size': 43, 'attention_heads': 13, 'hidden_dimension': 160, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3921709658839537, 'global_pooling': 'sum', 'learning_rate': 0.0004887102733845992, 'weight_decay': 0.0008107392237674623, 'beta_0': 0.8205798952586282, 'beta_1': 0.9886363605874919, 'epsilon': 1.9643574952807845e-05, 'balanced_loss': False, 'epochs': 173, 'early_stopping_patience': 15, 'plateau_patience': 16, 'plateau_divider': 9}. Best is trial 105 with value: 0.5873065616004729.
[I 2025-03-29 19:32:19,369] Trial 112 finished with value: 0.5112468909624676 and parameters: {'left_stride': 256, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8442271639108194, 'batch_size': 47, 'attention_heads': 14, 'hidden_dimension': 138, 'number_of_hidden_layers': 3, 'dropout_rate': 0.377625515079956, 'global_pooling': 'mean', 'learning_rate': 0.0010285060990578641, 'weight_decay': 0.0006953404883663378, 'beta_0': 0.8284482177781063, 'beta_1': 0.9878313688346788, 'epsilon': 5.71897346549567e-05, 'balanced_loss': True, 'epochs': 176, 'early_stopping_patience': 24, 'plateau_patience': 16, 'plateau_divider': 9}. Best is trial 105 with value: 0.5873065616004729.
[I 2025-03-29 19:52:39,607] Trial 113 finished with value: 0.5486433582147775 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8187142825092318, 'batch_size': 39, 'attention_heads': 14, 'hidden_dimension': 105, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4245803977463724, 'global_pooling': 'mean', 'learning_rate': 0.00010083755786166752, 'weight_decay': 0.0008709486141787447, 'beta_0': 0.8616170922052877, 'beta_1': 0.9899486895497394, 'epsilon': 3.235333812366879e-05, 'balanced_loss': False, 'epochs': 178, 'early_stopping_patience': 23, 'plateau_patience': 17, 'plateau_divider': 9}. Best is trial 105 with value: 0.5873065616004729.
[I 2025-03-29 20:10:30,756] Trial 114 finished with value: 0.55679650289017 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.877616909811527, 'batch_size': 42, 'attention_heads': 13, 'hidden_dimension': 164, 'number_of_hidden_layers': 2, 'dropout_rate': 0.43442275671660613, 'global_pooling': 'mean', 'learning_rate': 0.0003722563083088966, 'weight_decay': 0.0005506213923353603, 'beta_0': 0.8732683699785281, 'beta_1': 0.989494365100087, 'epsilon': 7.100299676431643e-05, 'balanced_loss': False, 'epochs': 167, 'early_stopping_patience': 23, 'plateau_patience': 18, 'plateau_divider': 8}. Best is trial 105 with value: 0.5873065616004729.
[I 2025-03-29 20:27:40,232] Trial 115 finished with value: 0.5591953296264636 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8588807919919581, 'batch_size': 49, 'attention_heads': 11, 'hidden_dimension': 174, 'number_of_hidden_layers': 2, 'dropout_rate': 0.40870775904484313, 'global_pooling': 'mean', 'learning_rate': 0.0006348932031479613, 'weight_decay': 0.0005984460276333989, 'beta_0': 0.8648651790583092, 'beta_1': 0.9933913802529182, 'epsilon': 2.52973656355374e-05, 'balanced_loss': False, 'epochs': 158, 'early_stopping_patience': 22, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 105 with value: 0.5873065616004729.
[I 2025-03-29 20:48:35,878] Trial 116 finished with value: 0.546372605768742 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8674220067164141, 'batch_size': 52, 'attention_heads': 13, 'hidden_dimension': 162, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5884039649668332, 'global_pooling': 'mean', 'learning_rate': 0.0001901247644632644, 'weight_decay': 0.0007672332981690898, 'beta_0': 0.8688712013955822, 'beta_1': 0.9890776083734302, 'epsilon': 5.341611851455573e-05, 'balanced_loss': False, 'epochs': 163, 'early_stopping_patience': 24, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 105 with value: 0.5873065616004729.
[I 2025-03-29 21:06:24,044] Trial 117 finished with value: 0.5520490312583216 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8807804473537157, 'batch_size': 62, 'attention_heads': 15, 'hidden_dimension': 145, 'number_of_hidden_layers': 2, 'dropout_rate': 0.401755012517969, 'global_pooling': 'mean', 'learning_rate': 0.0004508791307654195, 'weight_decay': 3.668806001125543e-05, 'beta_0': 0.8597562741924544, 'beta_1': 0.9905629544585011, 'epsilon': 3.418379148059808e-05, 'balanced_loss': False, 'epochs': 170, 'early_stopping_patience': 21, 'plateau_patience': 18, 'plateau_divider': 9}. Best is trial 105 with value: 0.5873065616004729.
[I 2025-03-29 21:20:00,148] Trial 118 finished with value: 0.4599090814046316 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.8722694503207532, 'batch_size': 58, 'attention_heads': 11, 'hidden_dimension': 119, 'number_of_hidden_layers': 2, 'dropout_rate': 0.445678797272178, 'global_pooling': 'mean', 'learning_rate': 0.0008356305411184638, 'weight_decay': 0.0004316035790473897, 'beta_0': 0.8578948392098339, 'beta_1': 0.9918812781918712, 'epsilon': 8.303483178146501e-05, 'balanced_loss': False, 'epochs': 166, 'early_stopping_patience': 23, 'plateau_patience': 22, 'plateau_divider': 9}. Best is trial 105 with value: 0.5873065616004729.
[I 2025-03-29 21:38:26,300] Trial 119 finished with value: 0.545193137447738 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8543188418537705, 'batch_size': 45, 'attention_heads': 12, 'hidden_dimension': 150, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4179406982602204, 'global_pooling': 'max', 'learning_rate': 0.00025777956069654656, 'weight_decay': 0.0003239958537430776, 'beta_0': 0.8659388348837445, 'beta_1': 0.98679264971347, 'epsilon': 4.1601099345136965e-05, 'balanced_loss': False, 'epochs': 137, 'early_stopping_patience': 24, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 105 with value: 0.5873065616004729.
[I 2025-03-29 21:57:56,932] Trial 120 finished with value: 0.5294842936189168 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9020941469244903, 'batch_size': 55, 'attention_heads': 13, 'hidden_dimension': 181, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4373817228155398, 'global_pooling': 'mean', 'learning_rate': 0.0005773474600783406, 'weight_decay': 0.000995872741539828, 'beta_0': 0.8625822988384826, 'beta_1': 0.9947023630289403, 'epsilon': 2.900843933769909e-05, 'balanced_loss': False, 'epochs': 188, 'early_stopping_patience': 18, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 105 with value: 0.5873065616004729.
CUDA out of memory. Tried to allocate 2.10 GiB. GPU 0 has a total capacity of 44.56 GiB of which 2.06 GiB is free. Including non-PyTorch memory, this process has 42.50 GiB memory in use. Of the allocated memory 35.74 GiB is allocated by PyTorch, and 5.61 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-03-29 22:06:47,633] Trial 121 finished with value: -1.0 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8319694720505441, 'batch_size': 60, 'attention_heads': 14, 'hidden_dimension': 187, 'number_of_hidden_layers': 1, 'dropout_rate': 0.42690178874874346, 'global_pooling': 'mean', 'learning_rate': 0.0004114746622861556, 'weight_decay': 1.3302075362524624e-05, 'beta_0': 0.8405398564903123, 'beta_1': 0.9909020704669421, 'epsilon': 1.216575881353309e-05, 'balanced_loss': False, 'epochs': 162, 'early_stopping_patience': 22, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 105 with value: 0.5873065616004729.
