[I 2025-03-24 20:21:44,041] Using an existing study with name 'Ohsumed-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation-Random_Weights-0.0-0.0' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (611 > 512). Running this sequence through the model will result in indexing errors
[I 2025-03-24 20:36:25,921] Trial 209 finished with value: 0.6027611884854839 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8774550873786, 'batch_size': 70, 'attention_heads': 11, 'hidden_dimension': 216, 'number_of_hidden_layers': 1, 'dropout_rate': 0.551350730784173, 'global_pooling': 'mean', 'learning_rate': 0.0008024497023673036, 'weight_decay': 2.290513141515367e-05, 'beta_0': 0.8321955105756308, 'beta_1': 0.9977228351425997, 'epsilon': 1.7430109462234172e-05, 'balanced_loss': False, 'epochs': 143, 'early_stopping_patience': 20, 'plateau_patience': 14, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-24 23:22:24,134] Trial 220 finished with value: 0.6199471409251445 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8907029086124731, 'batch_size': 66, 'attention_heads': 13, 'hidden_dimension': 193, 'number_of_hidden_layers': 1, 'dropout_rate': 0.45300842980638323, 'global_pooling': 'mean', 'learning_rate': 0.00048534493552712633, 'weight_decay': 4.533474080295036e-05, 'beta_0': 0.8177914959700506, 'beta_1': 0.9985534503667761, 'epsilon': 7.261995855648455e-06, 'balanced_loss': False, 'epochs': 156, 'early_stopping_patience': 20, 'plateau_patience': 14, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-24 23:36:41,731] Trial 221 finished with value: 0.5802512621970997 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8975240433549091, 'batch_size': 71, 'attention_heads': 12, 'hidden_dimension': 201, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4437306153464987, 'global_pooling': 'sum', 'learning_rate': 0.0006657978017487944, 'weight_decay': 2.3273635588855434e-05, 'beta_0': 0.8231880961372205, 'beta_1': 0.9981997703086035, 'epsilon': 5.025975508306471e-06, 'balanced_loss': True, 'epochs': 150, 'early_stopping_patience': 22, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-24 23:53:10,918] Trial 222 finished with value: 0.6096176734964034 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8871317920589079, 'batch_size': 68, 'attention_heads': 13, 'hidden_dimension': 205, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4389893243165864, 'global_pooling': 'mean', 'learning_rate': 0.00039344748226545994, 'weight_decay': 3.703533607293893e-05, 'beta_0': 0.8252512975631359, 'beta_1': 0.9972247503267119, 'epsilon': 2.668679361904358e-06, 'balanced_loss': False, 'epochs': 152, 'early_stopping_patience': 22, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-25 00:06:29,911] Trial 223 finished with value: 0.5935102761169695 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8776029171369566, 'batch_size': 70, 'attention_heads': 12, 'hidden_dimension': 196, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4648615414680805, 'global_pooling': 'mean', 'learning_rate': 0.0008601103908846316, 'weight_decay': 3.117655632842193e-05, 'beta_0': 0.8195005836020651, 'beta_1': 0.9975831045046362, 'epsilon': 3.7863312732067886e-06, 'balanced_loss': False, 'epochs': 146, 'early_stopping_patience': 20, 'plateau_patience': 15, 'plateau_divider': 9}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-25 00:43:17,485] Trial 224 finished with value: 0.541961873692049 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8708054216249279, 'batch_size': 74, 'attention_heads': 12, 'hidden_dimension': 182, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4989634538098651, 'global_pooling': 'mean', 'learning_rate': 1.0993032231668202e-05, 'weight_decay': 5.846087149370274e-05, 'beta_0': 0.8056654316862194, 'beta_1': 0.9986222885966409, 'epsilon': 1.738070422670097e-06, 'balanced_loss': False, 'epochs': 139, 'early_stopping_patience': 21, 'plateau_patience': 14, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-25 00:58:22,033] Trial 225 finished with value: 0.6019485765354442 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8448988968272795, 'batch_size': 76, 'attention_heads': 11, 'hidden_dimension': 210, 'number_of_hidden_layers': 1, 'dropout_rate': 0.42921947390103715, 'global_pooling': 'mean', 'learning_rate': 0.0005555069185173537, 'weight_decay': 2.5742806264533573e-05, 'beta_0': 0.8271530585598965, 'beta_1': 0.9980653120414905, 'epsilon': 5.956711901860759e-06, 'balanced_loss': False, 'epochs': 200, 'early_stopping_patience': 19, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-25 01:13:01,680] Trial 226 finished with value: 0.6198410038355661 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8890255639014968, 'batch_size': 65, 'attention_heads': 13, 'hidden_dimension': 193, 'number_of_hidden_layers': 1, 'dropout_rate': 0.43439904597763446, 'global_pooling': 'mean', 'learning_rate': 0.00047055593722164594, 'weight_decay': 4.4786571389942286e-05, 'beta_0': 0.8173666393630347, 'beta_1': 0.9989764541451855, 'epsilon': 7.808102774599809e-06, 'balanced_loss': False, 'epochs': 150, 'early_stopping_patience': 20, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-25 01:27:23,069] Trial 227 finished with value: 0.5853628232663209 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8927927268047047, 'batch_size': 66, 'attention_heads': 13, 'hidden_dimension': 190, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4516761240299884, 'global_pooling': 'mean', 'learning_rate': 0.0004435698607264252, 'weight_decay': 4.711547464072244e-05, 'beta_0': 0.8211855321889578, 'beta_1': 0.9984872986165163, 'epsilon': 7.5050851620808905e-06, 'balanced_loss': False, 'epochs': 161, 'early_stopping_patience': 20, 'plateau_patience': 14, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-25 01:40:50,882] Trial 228 finished with value: 0.6298221140264681 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.902358677100332, 'batch_size': 72, 'attention_heads': 13, 'hidden_dimension': 194, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4568673848530518, 'global_pooling': 'mean', 'learning_rate': 0.0005322372670693748, 'weight_decay': 5.197367563209658e-05, 'beta_0': 0.8183233730584946, 'beta_1': 0.9985609737460263, 'epsilon': 4.642065694515739e-06, 'balanced_loss': False, 'epochs': 155, 'early_stopping_patience': 20, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-25 01:54:06,454] Trial 229 finished with value: 0.6288485596993716 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9143876705050024, 'batch_size': 72, 'attention_heads': 12, 'hidden_dimension': 202, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4742541775460044, 'global_pooling': 'mean', 'learning_rate': 0.0003517805749329229, 'weight_decay': 3.632756272452957e-05, 'beta_0': 0.8231625604551813, 'beta_1': 0.9977925336877773, 'epsilon': 3.24694316808802e-06, 'balanced_loss': False, 'epochs': 156, 'early_stopping_patience': 21, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-25 02:10:12,005] Trial 230 finished with value: 0.6234397690298631 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.874062780943665, 'batch_size': 73, 'attention_heads': 13, 'hidden_dimension': 201, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4583707823149571, 'global_pooling': 'mean', 'learning_rate': 0.00036364057055434344, 'weight_decay': 5.161332277337803e-05, 'beta_0': 0.8113623753969093, 'beta_1': 0.9971712797991111, 'epsilon': 4.761035932771911e-06, 'balanced_loss': False, 'epochs': 156, 'early_stopping_patience': 21, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-25 02:24:37,670] Trial 231 finished with value: 0.6024575850243721 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9056926748592021, 'batch_size': 73, 'attention_heads': 13, 'hidden_dimension': 199, 'number_of_hidden_layers': 1, 'dropout_rate': 0.45891105418550115, 'global_pooling': 'mean', 'learning_rate': 0.00037008186743435364, 'weight_decay': 5.1955743771329004e-05, 'beta_0': 0.8143380697751617, 'beta_1': 0.9976880507154321, 'epsilon': 5.01802410324178e-06, 'balanced_loss': False, 'epochs': 157, 'early_stopping_patience': 21, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-25 02:40:04,777] Trial 232 finished with value: 0.6120371975399216 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9028815152019889, 'batch_size': 74, 'attention_heads': 13, 'hidden_dimension': 215, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4712946970779384, 'global_pooling': 'mean', 'learning_rate': 0.0003400424335974861, 'weight_decay': 7.191485824971121e-05, 'beta_0': 0.8106030831352704, 'beta_1': 0.996699602142838, 'epsilon': 4.334870870262263e-06, 'balanced_loss': False, 'epochs': 161, 'early_stopping_patience': 21, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-25 02:56:40,239] Trial 233 finished with value: 0.615788195031595 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8747000190071814, 'batch_size': 72, 'attention_heads': 14, 'hidden_dimension': 197, 'number_of_hidden_layers': 1, 'dropout_rate': 0.446659519793612, 'global_pooling': 'mean', 'learning_rate': 0.0006021392324817652, 'weight_decay': 6.486984621210698e-05, 'beta_0': 0.8127280234955678, 'beta_1': 0.9974492816507904, 'epsilon': 6.062582363758933e-06, 'balanced_loss': False, 'epochs': 156, 'early_stopping_patience': 21, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-25 03:13:04,665] Trial 234 finished with value: 0.6223017683409104 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.880551510710988, 'batch_size': 76, 'attention_heads': 13, 'hidden_dimension': 207, 'number_of_hidden_layers': 1, 'dropout_rate': 0.46591115418725065, 'global_pooling': 'mean', 'learning_rate': 0.00031203506722670354, 'weight_decay': 3.9088878403638776e-05, 'beta_0': 0.8078845563482298, 'beta_1': 0.9971331910964686, 'epsilon': 3.0152320228485536e-06, 'balanced_loss': False, 'epochs': 163, 'early_stopping_patience': 21, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-25 03:29:17,097] Trial 235 finished with value: 0.6353526024029627 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.881118052431118, 'batch_size': 76, 'attention_heads': 13, 'hidden_dimension': 208, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4628418957810887, 'global_pooling': 'mean', 'learning_rate': 0.0002886079578058475, 'weight_decay': 3.8477936316310046e-05, 'beta_0': 0.8081394109205277, 'beta_1': 0.9977849613096483, 'epsilon': 3.090745311761373e-06, 'balanced_loss': False, 'epochs': 165, 'early_stopping_patience': 22, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-25 03:45:43,155] Trial 236 finished with value: 0.6127602443572852 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.883580182548712, 'batch_size': 76, 'attention_heads': 13, 'hidden_dimension': 209, 'number_of_hidden_layers': 1, 'dropout_rate': 0.46310781224917513, 'global_pooling': 'mean', 'learning_rate': 0.00029039908073945494, 'weight_decay': 3.9419598675534165e-05, 'beta_0': 0.8084616380959034, 'beta_1': 0.9979050640126044, 'epsilon': 2.9346671177289825e-06, 'balanced_loss': False, 'epochs': 154, 'early_stopping_patience': 22, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-25 04:01:00,053] Trial 237 finished with value: 0.6022311344379201 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8794665221975287, 'batch_size': 78, 'attention_heads': 13, 'hidden_dimension': 202, 'number_of_hidden_layers': 1, 'dropout_rate': 0.45835882723237314, 'global_pooling': 'mean', 'learning_rate': 0.00033308044495075954, 'weight_decay': 3.561292120821332e-05, 'beta_0': 0.8106424512155938, 'beta_1': 0.9971915434706389, 'epsilon': 3.6649106695333266e-06, 'balanced_loss': False, 'epochs': 168, 'early_stopping_patience': 22, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-25 04:15:07,409] Trial 238 finished with value: 0.6018692173012754 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9195493169171204, 'batch_size': 75, 'attention_heads': 13, 'hidden_dimension': 207, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4680560060036909, 'global_pooling': 'mean', 'learning_rate': 0.00028091538495603386, 'weight_decay': 4.117534219352898e-05, 'beta_0': 0.8090953885855305, 'beta_1': 0.9980454661075584, 'epsilon': 1.213965801256414e-08, 'balanced_loss': False, 'epochs': 164, 'early_stopping_patience': 21, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-25 04:29:28,406] Trial 239 finished with value: 0.62098652174873 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8771665345541168, 'batch_size': 70, 'attention_heads': 13, 'hidden_dimension': 158, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4562465475486224, 'global_pooling': 'mean', 'learning_rate': 0.00022523011744183695, 'weight_decay': 3.5376046271805616e-05, 'beta_0': 0.8075608237340856, 'beta_1': 0.997450562877147, 'epsilon': 4.0854296292369495e-06, 'balanced_loss': False, 'epochs': 164, 'early_stopping_patience': 22, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-25 04:45:26,686] Trial 240 finished with value: 0.6191289110474983 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8819116930444388, 'batch_size': 77, 'attention_heads': 13, 'hidden_dimension': 213, 'number_of_hidden_layers': 1, 'dropout_rate': 0.46543393546346107, 'global_pooling': 'mean', 'learning_rate': 0.00041465232815737356, 'weight_decay': 5.5048567979908764e-05, 'beta_0': 0.803672007576129, 'beta_1': 0.9987224708811335, 'epsilon': 2.2374569924308785e-06, 'balanced_loss': False, 'epochs': 159, 'early_stopping_patience': 22, 'plateau_patience': 14, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-25 04:56:42,067] Trial 241 finished with value: 0.6258277340928988 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.872969339237378, 'batch_size': 72, 'attention_heads': 14, 'hidden_dimension': 72, 'number_of_hidden_layers': 1, 'dropout_rate': 0.44897259534845024, 'global_pooling': 'mean', 'learning_rate': 0.00033834544504894387, 'weight_decay': 3.16791295385146e-05, 'beta_0': 0.8028902645998048, 'beta_1': 0.9977283118488229, 'epsilon': 5.265607842790562e-06, 'balanced_loss': False, 'epochs': 166, 'early_stopping_patience': 21, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-25 05:06:42,879] Trial 242 finished with value: 0.5268178300003222 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.873688257257779, 'batch_size': 72, 'attention_heads': 14, 'hidden_dimension': 45, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4542221915630729, 'global_pooling': 'mean', 'learning_rate': 0.0003300269224086596, 'weight_decay': 3.1392047468524845e-05, 'beta_0': 0.8033714347129117, 'beta_1': 0.9982206223513813, 'epsilon': 5.055459764832787e-06, 'balanced_loss': False, 'epochs': 166, 'early_stopping_patience': 21, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-25 05:24:12,258] Trial 243 finished with value: 0.6079644116702979 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.88515458177974, 'batch_size': 74, 'attention_heads': 14, 'hidden_dimension': 202, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4347715555588733, 'global_pooling': 'mean', 'learning_rate': 0.0002225211260183543, 'weight_decay': 2.9849441119104977e-05, 'beta_0': 0.8081369989295664, 'beta_1': 0.9978041846873749, 'epsilon': 3.1700169802656515e-06, 'balanced_loss': False, 'epochs': 163, 'early_stopping_patience': 21, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
[I 2025-03-25 05:35:17,475] Trial 244 finished with value: 0.5981027259826339 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8791898649529155, 'batch_size': 70, 'attention_heads': 14, 'hidden_dimension': 71, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4431397253534166, 'global_pooling': 'mean', 'learning_rate': 0.0002746473253495581, 'weight_decay': 3.426372631999249e-05, 'beta_0': 0.8017956070218568, 'beta_1': 0.9989509565442449, 'epsilon': 4.5925301135589265e-06, 'balanced_loss': False, 'epochs': 159, 'early_stopping_patience': 21, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 102 with value: 0.6360819998585139.
