[I 2025-03-31 09:04:49,334] Using an existing study with name 'Ohsumed-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation-No_Ablation-1.0-0.25' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (611 > 512). Running this sequence through the model will result in indexing errors
[I 2025-03-31 09:27:57,521] Trial 151 finished with value: 0.5266184571016004 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8754249836061104, 'batch_size': 59, 'attention_heads': 9, 'hidden_dimension': 165, 'number_of_hidden_layers': 1, 'dropout_rate': 0.43240722222676925, 'global_pooling': 'mean', 'learning_rate': 3.669591461834728e-05, 'weight_decay': 0.0003055769204551954, 'beta_0': 0.8333121524725766, 'beta_1': 0.9911222408032522, 'epsilon': 8.251626469991404e-05, 'balanced_loss': False, 'epochs': 128, 'early_stopping_patience': 22, 'plateau_patience': 19, 'plateau_divider': 6}. Best is trial 105 with value: 0.5873065616004729.
[I 2025-03-31 11:39:44,935] Trial 161 finished with value: 0.5166825186658164 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9200518277941139, 'batch_size': 89, 'attention_heads': 9, 'hidden_dimension': 149, 'number_of_hidden_layers': 2, 'dropout_rate': 0.48076682835571083, 'global_pooling': 'mean', 'learning_rate': 0.000869194733087171, 'weight_decay': 0.0008114533484606111, 'beta_0': 0.8469178090471347, 'beta_1': 0.9934970303461496, 'epsilon': 8.453822198302648e-05, 'balanced_loss': True, 'epochs': 52, 'early_stopping_patience': 21, 'plateau_patience': 24, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-03-31 11:52:48,437] Trial 162 finished with value: 0.4433844559151926 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9026302951126048, 'batch_size': 55, 'attention_heads': 10, 'hidden_dimension': 130, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5027426859097045, 'global_pooling': 'sum', 'learning_rate': 0.0005196631728994341, 'weight_decay': 0.000994572717727432, 'beta_0': 0.8393880062910953, 'beta_1': 0.9921754616940334, 'epsilon': 2.819799181833531e-05, 'balanced_loss': True, 'epochs': 70, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 9}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-03-31 12:06:55,829] Trial 163 finished with value: 0.5757605685411041 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8965094666900714, 'batch_size': 51, 'attention_heads': 11, 'hidden_dimension': 154, 'number_of_hidden_layers': 2, 'dropout_rate': 0.40454694893149307, 'global_pooling': 'mean', 'learning_rate': 0.0007307222956955184, 'weight_decay': 0.0006766912541642917, 'beta_0': 0.8435861342436991, 'beta_1': 0.9929167231249377, 'epsilon': 6.795353070270778e-05, 'balanced_loss': True, 'epochs': 166, 'early_stopping_patience': 23, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-03-31 12:20:27,324] Trial 164 finished with value: 0.5638207641542281 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9054749375790043, 'batch_size': 51, 'attention_heads': 10, 'hidden_dimension': 155, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4027000769622851, 'global_pooling': 'mean', 'learning_rate': 0.001042456933060839, 'weight_decay': 0.0006762986880767958, 'beta_0': 0.8550966965305937, 'beta_1': 0.9930861427637461, 'epsilon': 9.6369557750772e-05, 'balanced_loss': True, 'epochs': 165, 'early_stopping_patience': 23, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-03-31 12:34:41,798] Trial 165 finished with value: 0.5535926192593582 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8974738040344988, 'batch_size': 46, 'attention_heads': 11, 'hidden_dimension': 161, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4118338976793127, 'global_pooling': 'mean', 'learning_rate': 0.000731920709571105, 'weight_decay': 0.0007682393590189439, 'beta_0': 0.8449855885570865, 'beta_1': 0.9927585537389472, 'epsilon': 6.466439151682826e-05, 'balanced_loss': True, 'epochs': 169, 'early_stopping_patience': 23, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-03-31 12:48:45,415] Trial 166 finished with value: 0.548296609598329 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8887164047908511, 'batch_size': 52, 'attention_heads': 11, 'hidden_dimension': 144, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3909338591030554, 'global_pooling': 'mean', 'learning_rate': 0.00040729750035288867, 'weight_decay': 1.3066389075905763e-06, 'beta_0': 0.8438137321996726, 'beta_1': 0.993791518244156, 'epsilon': 7.483748611286207e-05, 'balanced_loss': True, 'epochs': 174, 'early_stopping_patience': 24, 'plateau_patience': 13, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-03-31 13:00:22,064] Trial 167 finished with value: 0.5566186745763986 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8930984023260296, 'batch_size': 50, 'attention_heads': 7, 'hidden_dimension': 151, 'number_of_hidden_layers': 2, 'dropout_rate': 0.49059181970786025, 'global_pooling': 'mean', 'learning_rate': 0.0005797577302005699, 'weight_decay': 0.0006155714447236625, 'beta_0': 0.8377068669859822, 'beta_1': 0.9934811946085517, 'epsilon': 5.509358096013087e-07, 'balanced_loss': True, 'epochs': 162, 'early_stopping_patience': 21, 'plateau_patience': 23, 'plateau_divider': 4}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-03-31 13:14:16,331] Trial 168 finished with value: 0.5378793645842497 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8824653813682287, 'batch_size': 92, 'attention_heads': 11, 'hidden_dimension': 137, 'number_of_hidden_layers': 2, 'dropout_rate': 0.41942187616682985, 'global_pooling': 'mean', 'learning_rate': 0.00076557433772413, 'weight_decay': 0.0006969754618870083, 'beta_0': 0.8818356563132221, 'beta_1': 0.9924899252720294, 'epsilon': 4.6362211800939825e-05, 'balanced_loss': True, 'epochs': 79, 'early_stopping_patience': 22, 'plateau_patience': 15, 'plateau_divider': 9}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-03-31 13:32:42,186] Trial 169 finished with value: 0.5635891194290238 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8849586897128366, 'batch_size': 48, 'attention_heads': 15, 'hidden_dimension': 159, 'number_of_hidden_layers': 2, 'dropout_rate': 0.42887696413258103, 'global_pooling': 'mean', 'learning_rate': 0.0004570706078147587, 'weight_decay': 0.000533003082516367, 'beta_0': 0.841475614435888, 'beta_1': 0.9915823988417864, 'epsilon': 5.8265251614679035e-05, 'balanced_loss': True, 'epochs': 172, 'early_stopping_patience': 22, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-03-31 13:45:39,021] Trial 170 finished with value: 0.47846653122355143 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.894953831956492, 'batch_size': 43, 'attention_heads': 10, 'hidden_dimension': 143, 'number_of_hidden_layers': 2, 'dropout_rate': 0.38218912697178825, 'global_pooling': 'mean', 'learning_rate': 0.00029615712237152244, 'weight_decay': 0.0008701789293213985, 'beta_0': 0.8502303122135394, 'beta_1': 0.9952287308894815, 'epsilon': 3.9028011118155245e-05, 'balanced_loss': False, 'epochs': 134, 'early_stopping_patience': 23, 'plateau_patience': 17, 'plateau_divider': 9}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-03-31 14:01:40,827] Trial 171 finished with value: 0.5659121176508662 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8894893521206254, 'batch_size': 53, 'attention_heads': 12, 'hidden_dimension': 153, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4048870066435149, 'global_pooling': 'mean', 'learning_rate': 0.0006670531924750255, 'weight_decay': 0.0009943224177141876, 'beta_0': 0.8855360656320316, 'beta_1': 0.9858659799391807, 'epsilon': 7.727768580357072e-05, 'balanced_loss': False, 'epochs': 167, 'early_stopping_patience': 24, 'plateau_patience': 12, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-03-31 14:14:50,526] Trial 172 finished with value: 0.48715795970520814 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9048599170412703, 'batch_size': 56, 'attention_heads': 9, 'hidden_dimension': 164, 'number_of_hidden_layers': 2, 'dropout_rate': 0.41002242898538266, 'global_pooling': 'max', 'learning_rate': 0.0016030830994689142, 'weight_decay': 0.0005819781748432596, 'beta_0': 0.8456773493623642, 'beta_1': 0.9944438824141434, 'epsilon': 6.421280780969677e-05, 'balanced_loss': False, 'epochs': 177, 'early_stopping_patience': 21, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-03-31 14:29:38,222] Trial 173 finished with value: 0.5254497308300752 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.9094050443876057, 'batch_size': 58, 'attention_heads': 13, 'hidden_dimension': 156, 'number_of_hidden_layers': 2, 'dropout_rate': 0.399068303268262, 'global_pooling': 'mean', 'learning_rate': 0.00036601229178585473, 'weight_decay': 0.00010907471097347178, 'beta_0': 0.848367765505593, 'beta_1': 0.9928659958185418, 'epsilon': 2.47662222784534e-05, 'balanced_loss': True, 'epochs': 165, 'early_stopping_patience': 20, 'plateau_patience': 10, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-03-31 14:43:14,852] Trial 174 finished with value: 0.5543605392812051 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8758011642105586, 'batch_size': 54, 'attention_heads': 8, 'hidden_dimension': 149, 'number_of_hidden_layers': 2, 'dropout_rate': 0.42238453069860377, 'global_pooling': 'mean', 'learning_rate': 0.000514026729383178, 'weight_decay': 0.0007517907551480485, 'beta_0': 0.8424565232542668, 'beta_1': 0.9919516403443095, 'epsilon': 4.9289383896376956e-05, 'balanced_loss': False, 'epochs': 144, 'early_stopping_patience': 23, 'plateau_patience': 15, 'plateau_divider': 7}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-03-31 14:59:02,327] Trial 175 finished with value: 0.5574831797626062 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8893750922444343, 'batch_size': 52, 'attention_heads': 12, 'hidden_dimension': 151, 'number_of_hidden_layers': 2, 'dropout_rate': 0.41433935650639037, 'global_pooling': 'mean', 'learning_rate': 0.0006664786731003185, 'weight_decay': 0.0009934798873883213, 'beta_0': 0.8395229896094817, 'beta_1': 0.9855705117974635, 'epsilon': 7.10990561911704e-05, 'balanced_loss': False, 'epochs': 167, 'early_stopping_patience': 24, 'plateau_patience': 11, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-03-31 15:14:46,468] Trial 176 finished with value: 0.5468007354682064 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8974834774888288, 'batch_size': 53, 'attention_heads': 12, 'hidden_dimension': 155, 'number_of_hidden_layers': 2, 'dropout_rate': 0.40519962349029115, 'global_pooling': 'mean', 'learning_rate': 0.0008861345781551711, 'weight_decay': 0.0008463195318578079, 'beta_0': 0.8859729179264764, 'beta_1': 0.9861950286798569, 'epsilon': 8.349834057412694e-05, 'balanced_loss': False, 'epochs': 170, 'early_stopping_patience': 24, 'plateau_patience': 14, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-03-31 15:40:08,835] Trial 177 finished with value: 0.4931133649928091 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8811515301508906, 'batch_size': 50, 'attention_heads': 12, 'hidden_dimension': 173, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3942323900369087, 'global_pooling': 'mean', 'learning_rate': 0.000594930303450393, 'weight_decay': 0.0006598129881692287, 'beta_0': 0.8882080846953094, 'beta_1': 0.9874235021976229, 'epsilon': 5.882146021836725e-05, 'balanced_loss': False, 'epochs': 138, 'early_stopping_patience': 24, 'plateau_patience': 11, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-03-31 15:57:05,129] Trial 178 finished with value: 0.5305093698116644 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.9002431647420642, 'batch_size': 45, 'attention_heads': 13, 'hidden_dimension': 161, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4276655730327553, 'global_pooling': 'mean', 'learning_rate': 0.001018025161053418, 'weight_decay': 0.0008095697500911073, 'beta_0': 0.8811325480283879, 'beta_1': 0.9889755427700788, 'epsilon': 3.226284244375963e-05, 'balanced_loss': False, 'epochs': 161, 'early_stopping_patience': 23, 'plateau_patience': 12, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-03-31 16:13:19,833] Trial 179 finished with value: 0.5599981363464297 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8869667998779708, 'batch_size': 55, 'attention_heads': 11, 'hidden_dimension': 133, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5477473510094332, 'global_pooling': 'mean', 'learning_rate': 0.0004463064227979245, 'weight_decay': 0.0006936044967591311, 'beta_0': 0.8779602566814854, 'beta_1': 0.991180128343744, 'epsilon': 1.560226724876321e-05, 'balanced_loss': False, 'epochs': 167, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 9}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-03-31 16:29:06,733] Trial 180 finished with value: 0.5541322537313296 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8787305398110365, 'batch_size': 47, 'attention_heads': 12, 'hidden_dimension': 139, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4080182404072434, 'global_pooling': 'mean', 'learning_rate': 0.00027376867997690586, 'weight_decay': 0.0004873738643760203, 'beta_0': 0.8437318817386368, 'beta_1': 0.9907040816328387, 'epsilon': 7.83198668337743e-05, 'balanced_loss': False, 'epochs': 157, 'early_stopping_patience': 22, 'plateau_patience': 22, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-03-31 16:46:10,143] Trial 181 finished with value: 0.5442388106157883 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8923403946251612, 'batch_size': 67, 'attention_heads': 14, 'hidden_dimension': 144, 'number_of_hidden_layers': 2, 'dropout_rate': 0.43344419488320046, 'global_pooling': 'mean', 'learning_rate': 0.0012880538540558288, 'weight_decay': 0.0006071904403297217, 'beta_0': 0.8843718529307735, 'beta_1': 0.9880846862368264, 'epsilon': 3.967536378222999e-05, 'balanced_loss': False, 'epochs': 185, 'early_stopping_patience': 23, 'plateau_patience': 12, 'plateau_divider': 9}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-03-31 17:01:34,062] Trial 182 finished with value: 0.5545664193765178 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8722275661525507, 'batch_size': 49, 'attention_heads': 15, 'hidden_dimension': 127, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4178407145732972, 'global_pooling': 'mean', 'learning_rate': 0.0006849638257802516, 'weight_decay': 0.0008945867214464982, 'beta_0': 0.8369995336103644, 'beta_1': 0.9923067853730041, 'epsilon': 4.813865119984921e-05, 'balanced_loss': False, 'epochs': 128, 'early_stopping_patience': 19, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-03-31 17:16:54,065] Trial 183 finished with value: 0.5604243879797259 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8834380852298841, 'batch_size': 52, 'attention_heads': 12, 'hidden_dimension': 167, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4015021214625782, 'global_pooling': 'mean', 'learning_rate': 0.00036292138721183463, 'weight_decay': 0.0009945327232999252, 'beta_0': 0.8343906495439124, 'beta_1': 0.9899283835832567, 'epsilon': 3.2276511777360596e-06, 'balanced_loss': False, 'epochs': 179, 'early_stopping_patience': 21, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-03-31 17:34:21,426] Trial 184 finished with value: 0.5499050742087164 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8887954055751555, 'batch_size': 57, 'attention_heads': 13, 'hidden_dimension': 157, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4433615014029954, 'global_pooling': 'mean', 'learning_rate': 0.0005078551996284593, 'weight_decay': 0.0007834639283285023, 'beta_0': 0.885250938008049, 'beta_1': 0.9933504891565152, 'epsilon': 8.691296788798091e-05, 'balanced_loss': False, 'epochs': 192, 'early_stopping_patience': 24, 'plateau_patience': 13, 'plateau_divider': 7}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-03-31 17:47:54,933] Trial 185 finished with value: 0.5591676176104582 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9050389899666643, 'batch_size': 51, 'attention_heads': 10, 'hidden_dimension': 154, 'number_of_hidden_layers': 2, 'dropout_rate': 0.40196677836236044, 'global_pooling': 'mean', 'learning_rate': 0.0010631471866693097, 'weight_decay': 0.0006805675463437484, 'beta_0': 0.8611859769772309, 'beta_1': 0.993296538632431, 'epsilon': 9.300763662999088e-05, 'balanced_loss': True, 'epochs': 166, 'early_stopping_patience': 23, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-03-31 18:00:48,257] Trial 186 finished with value: 0.5482813201284372 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.906834768099377, 'batch_size': 50, 'attention_heads': 10, 'hidden_dimension': 148, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4059760817346682, 'global_pooling': 'mean', 'learning_rate': 0.0008391859718313837, 'weight_decay': 0.0005839781122767454, 'beta_0': 0.8559629727227801, 'beta_1': 0.9927817361213425, 'epsilon': 9.916251202895364e-05, 'balanced_loss': True, 'epochs': 164, 'early_stopping_patience': 23, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
