[I 2025-02-22 04:47:39,982] Using an existing study with name 'Ohsumed-GATv2-google-bert-bert-base-uncased-Surrogate-No_Aggregation-Single_Unitary_Weight-0.0-0.0' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (611 > 512). Running this sequence through the model will result in indexing errors
[I 2025-02-22 05:03:40,063] Trial 214 finished with value: 0.5470196933817312 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9177796836678671, 'batch_size': 58, 'attention_heads': 6, 'hidden_dimension': 65, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4513488142230209, 'global_pooling': 'sum', 'learning_rate': 0.0010307288450776765, 'weight_decay': 0.0005888394257496521, 'beta_0': 0.8185713241314859, 'beta_1': 0.9878839461151293, 'epsilon': 1.6074108719666707e-07, 'balanced_loss': False, 'epochs': 55, 'early_stopping_patience': 21, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 201 with value: 0.64818182684936.
[I 2025-02-22 08:52:54,063] Trial 225 finished with value: 0.6273380969551972 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9284891897879468, 'batch_size': 64, 'attention_heads': 16, 'hidden_dimension': 81, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4191376852192799, 'global_pooling': 'max', 'learning_rate': 0.0005001685421692028, 'weight_decay': 0.0007320435221859552, 'beta_0': 0.8092480067390031, 'beta_1': 0.9883812697209049, 'epsilon': 6.375522529672721e-08, 'balanced_loss': False, 'epochs': 59, 'early_stopping_patience': 20, 'plateau_patience': 12, 'plateau_divider': 10}. Best is trial 222 with value: 0.6575405977059186.
[I 2025-02-22 09:14:59,009] Trial 226 finished with value: 0.628027586337674 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9192762795595548, 'batch_size': 67, 'attention_heads': 16, 'hidden_dimension': 71, 'number_of_hidden_layers': 1, 'dropout_rate': 0.40731143000495773, 'global_pooling': 'max', 'learning_rate': 0.00037333862009085363, 'weight_decay': 0.0007517535833350908, 'beta_0': 0.8153857837686204, 'beta_1': 0.988609476042627, 'epsilon': 7.235903054142495e-08, 'balanced_loss': False, 'epochs': 57, 'early_stopping_patience': 19, 'plateau_patience': 14, 'plateau_divider': 10}. Best is trial 222 with value: 0.6575405977059186.
[I 2025-02-22 09:40:22,627] Trial 227 finished with value: 0.6011307995614515 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9131340286659653, 'batch_size': 63, 'attention_heads': 16, 'hidden_dimension': 63, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4095492038718124, 'global_pooling': 'max', 'learning_rate': 0.0005894586184229212, 'weight_decay': 0.0009948810206822358, 'beta_0': 0.813095999565332, 'beta_1': 0.9881801313002643, 'epsilon': 4.172067044644382e-08, 'balanced_loss': False, 'epochs': 57, 'early_stopping_patience': 20, 'plateau_patience': 11, 'plateau_divider': 10}. Best is trial 222 with value: 0.6575405977059186.
[I 2025-02-22 10:02:19,372] Trial 228 finished with value: 0.6493480154076938 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9220344908626628, 'batch_size': 66, 'attention_heads': 16, 'hidden_dimension': 75, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4146357529807152, 'global_pooling': 'max', 'learning_rate': 0.0007527356906145765, 'weight_decay': 0.0008368333280842677, 'beta_0': 0.8084878502149956, 'beta_1': 0.9888372977737893, 'epsilon': 7.904342750889794e-08, 'balanced_loss': False, 'epochs': 50, 'early_stopping_patience': 20, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 222 with value: 0.6575405977059186.
[I 2025-02-22 10:22:12,915] Trial 229 finished with value: 0.6203124308976891 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9247282065969448, 'batch_size': 66, 'attention_heads': 16, 'hidden_dimension': 77, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4139055809636402, 'global_pooling': 'max', 'learning_rate': 0.0007497571211530295, 'weight_decay': 0.0008106957312797949, 'beta_0': 0.8108216444119617, 'beta_1': 0.9889226257518262, 'epsilon': 7.679806895687787e-08, 'balanced_loss': False, 'epochs': 54, 'early_stopping_patience': 20, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 222 with value: 0.6575405977059186.
[I 2025-02-22 10:43:19,496] Trial 230 finished with value: 0.6303278196017683 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9200187127736573, 'batch_size': 67, 'attention_heads': 16, 'hidden_dimension': 72, 'number_of_hidden_layers': 1, 'dropout_rate': 0.42732540463217505, 'global_pooling': 'max', 'learning_rate': 0.0005117392335466926, 'weight_decay': 0.0006391307720927054, 'beta_0': 0.8069014087141758, 'beta_1': 0.9884424597829408, 'epsilon': 5.5712922110107665e-08, 'balanced_loss': False, 'epochs': 53, 'early_stopping_patience': 20, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 222 with value: 0.6575405977059186.
[I 2025-02-22 11:04:31,181] Trial 231 finished with value: 0.6335100596781266 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9256710098761987, 'batch_size': 65, 'attention_heads': 16, 'hidden_dimension': 79, 'number_of_hidden_layers': 1, 'dropout_rate': 0.41454252286016213, 'global_pooling': 'max', 'learning_rate': 0.0008737481515023597, 'weight_decay': 0.0006853891786307006, 'beta_0': 0.8113591382743097, 'beta_1': 0.9878527830288604, 'epsilon': 7.291992884968281e-08, 'balanced_loss': False, 'epochs': 60, 'early_stopping_patience': 20, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 222 with value: 0.6575405977059186.
[I 2025-02-22 11:25:35,585] Trial 232 finished with value: 0.6523078590337409 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9310187369121181, 'batch_size': 68, 'attention_heads': 16, 'hidden_dimension': 83, 'number_of_hidden_layers': 1, 'dropout_rate': 0.41456515771666513, 'global_pooling': 'max', 'learning_rate': 0.0007286856227771404, 'weight_decay': 1.0758219125408817e-05, 'beta_0': 0.8113588192130549, 'beta_1': 0.9878144148277411, 'epsilon': 6.92113941438348e-08, 'balanced_loss': False, 'epochs': 61, 'early_stopping_patience': 20, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 222 with value: 0.6575405977059186.
[I 2025-02-22 11:47:02,446] Trial 233 finished with value: 0.6308493658253759 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9315442538904883, 'batch_size': 65, 'attention_heads': 16, 'hidden_dimension': 85, 'number_of_hidden_layers': 1, 'dropout_rate': 0.41198461466244224, 'global_pooling': 'max', 'learning_rate': 0.0008013386657870686, 'weight_decay': 0.0007077994557846368, 'beta_0': 0.814405976134027, 'beta_1': 0.9877539716456873, 'epsilon': 4.7574275486416496e-08, 'balanced_loss': False, 'epochs': 61, 'early_stopping_patience': 20, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 222 with value: 0.6575405977059186.
[I 2025-02-22 12:07:08,738] Trial 234 finished with value: 0.6159216027520632 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9349636939532994, 'batch_size': 68, 'attention_heads': 16, 'hidden_dimension': 89, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4158332726599188, 'global_pooling': 'max', 'learning_rate': 0.0006671348091132498, 'weight_decay': 2.7037093377624727e-06, 'beta_0': 0.8112425259288192, 'beta_1': 0.9878352941384697, 'epsilon': 6.349179991611755e-08, 'balanced_loss': False, 'epochs': 60, 'early_stopping_patience': 19, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 222 with value: 0.6575405977059186.
[I 2025-02-22 12:27:17,992] Trial 235 finished with value: 0.6299820854279669 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9282173220062347, 'batch_size': 63, 'attention_heads': 16, 'hidden_dimension': 80, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4062496425510931, 'global_pooling': 'max', 'learning_rate': 0.0009344084597774416, 'weight_decay': 2.1045360811118914e-05, 'beta_0': 0.808034710183298, 'beta_1': 0.9881490179503793, 'epsilon': 7.095373931580874e-08, 'balanced_loss': False, 'epochs': 62, 'early_stopping_patience': 20, 'plateau_patience': 14, 'plateau_divider': 10}. Best is trial 222 with value: 0.6575405977059186.
[I 2025-02-22 12:50:15,760] Trial 236 finished with value: 0.6322880514430854 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9166691768272925, 'batch_size': 66, 'attention_heads': 16, 'hidden_dimension': 84, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4220749496696751, 'global_pooling': 'max', 'learning_rate': 0.000711422302459552, 'weight_decay': 5.592466625119895e-06, 'beta_0': 0.8148556282789415, 'beta_1': 0.9889237101494645, 'epsilon': 5.932802820183665e-08, 'balanced_loss': False, 'epochs': 58, 'early_stopping_patience': 20, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 222 with value: 0.6575405977059186.
[I 2025-02-22 13:09:57,920] Trial 237 finished with value: 0.608210897670903 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9395434189196993, 'batch_size': 68, 'attention_heads': 16, 'hidden_dimension': 85, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4217726038233515, 'global_pooling': 'max', 'learning_rate': 0.0006640812831225073, 'weight_decay': 8.578965433398976e-06, 'beta_0': 0.8166427621090446, 'beta_1': 0.9890111096375361, 'epsilon': 3.640168007700237e-08, 'balanced_loss': False, 'epochs': 53, 'early_stopping_patience': 20, 'plateau_patience': 14, 'plateau_divider': 10}. Best is trial 222 with value: 0.6575405977059186.
[I 2025-02-22 13:30:46,312] Trial 238 finished with value: 0.6219051817766484 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9173246433409346, 'batch_size': 65, 'attention_heads': 16, 'hidden_dimension': 79, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4167281804384592, 'global_pooling': 'max', 'learning_rate': 0.0008091926055230734, 'weight_decay': 2.597645349544938e-05, 'beta_0': 0.8146663144321394, 'beta_1': 0.9888579268275829, 'epsilon': 5.608273263581929e-08, 'balanced_loss': False, 'epochs': 58, 'early_stopping_patience': 20, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 222 with value: 0.6575405977059186.
[I 2025-02-22 13:52:52,583] Trial 239 finished with value: 0.5981712399783964 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9217343122294466, 'batch_size': 69, 'attention_heads': 16, 'hidden_dimension': 84, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4231086132512336, 'global_pooling': 'max', 'learning_rate': 0.0009086172909581741, 'weight_decay': 0.0009950023256598748, 'beta_0': 0.8115312175953862, 'beta_1': 0.9896571988081434, 'epsilon': 6.776602263487271e-08, 'balanced_loss': False, 'epochs': 56, 'early_stopping_patience': 19, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 222 with value: 0.6575405977059186.
[I 2025-02-22 14:15:32,966] Trial 240 finished with value: 0.6337146090974466 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9115278547027397, 'batch_size': 66, 'attention_heads': 16, 'hidden_dimension': 78, 'number_of_hidden_layers': 1, 'dropout_rate': 0.41074880183866064, 'global_pooling': 'max', 'learning_rate': 0.0005437844106425127, 'weight_decay': 2.519181533241473e-06, 'beta_0': 0.8099267260496665, 'beta_1': 0.9881287354977067, 'epsilon': 4.924571321640518e-08, 'balanced_loss': False, 'epochs': 50, 'early_stopping_patience': 20, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 222 with value: 0.6575405977059186.
[I 2025-02-22 14:38:55,813] Trial 241 finished with value: 0.6301904077605104 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9105393386392928, 'batch_size': 62, 'attention_heads': 16, 'hidden_dimension': 76, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4110147183067471, 'global_pooling': 'max', 'learning_rate': 0.0005361232802716086, 'weight_decay': 1.5790318077707207e-06, 'beta_0': 0.8094076690118661, 'beta_1': 0.9879775142998637, 'epsilon': 4.655230217706306e-08, 'balanced_loss': False, 'epochs': 50, 'early_stopping_patience': 20, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 222 with value: 0.6575405977059186.
[I 2025-02-22 15:00:13,317] Trial 242 finished with value: 0.6045084395917452 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9247183269582111, 'batch_size': 66, 'attention_heads': 16, 'hidden_dimension': 81, 'number_of_hidden_layers': 1, 'dropout_rate': 0.41767332243882316, 'global_pooling': 'max', 'learning_rate': 0.0006717207979608278, 'weight_decay': 5.368278262129457e-06, 'beta_0': 0.8130685991318939, 'beta_1': 0.9876736513049846, 'epsilon': 3.0053669579034346e-08, 'balanced_loss': False, 'epochs': 53, 'early_stopping_patience': 20, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 222 with value: 0.6575405977059186.
CUDA out of memory. Tried to allocate 3.46 GiB. GPU 0 has a total capacity of 44.56 GiB of which 3.25 GiB is free. Including non-PyTorch memory, this process has 41.30 GiB memory in use. Of the allocated memory 36.61 GiB is allocated by PyTorch, and 3.54 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-02-22 15:15:48,124] Trial 243 finished with value: -1.0 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9195493169171204, 'batch_size': 69, 'attention_heads': 16, 'hidden_dimension': 89, 'number_of_hidden_layers': 1, 'dropout_rate': 0.404987873013799, 'global_pooling': 'max', 'learning_rate': 0.0004075371566484885, 'weight_decay': 4.820374187553708e-06, 'beta_0': 0.8099244210010814, 'beta_1': 0.9885903650966373, 'epsilon': 8.607658888358913e-08, 'balanced_loss': False, 'epochs': 52, 'early_stopping_patience': 20, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 222 with value: 0.6575405977059186.
[I 2025-02-22 15:43:33,031] Trial 244 finished with value: 0.6331411056742349 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9144735389195079, 'batch_size': 64, 'attention_heads': 16, 'hidden_dimension': 76, 'number_of_hidden_layers': 1, 'dropout_rate': 0.39737374865055347, 'global_pooling': 'max', 'learning_rate': 0.00046858988761837653, 'weight_decay': 1.4652836350344934e-05, 'beta_0': 0.8139833924643222, 'beta_1': 0.9880752707161695, 'epsilon': 5.5288752641907964e-08, 'balanced_loss': False, 'epochs': 56, 'early_stopping_patience': 20, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 222 with value: 0.6575405977059186.
[I 2025-02-22 16:08:52,938] Trial 245 finished with value: 0.5865655343844963 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9296438434143633, 'batch_size': 62, 'attention_heads': 16, 'hidden_dimension': 74, 'number_of_hidden_layers': 1, 'dropout_rate': 0.39362784535925704, 'global_pooling': 'mean', 'learning_rate': 0.00047459252561726615, 'weight_decay': 3.910391447693505e-06, 'beta_0': 0.8127238968233925, 'beta_1': 0.9881325388962909, 'epsilon': 1.7490161021195476e-06, 'balanced_loss': False, 'epochs': 50, 'early_stopping_patience': 19, 'plateau_patience': 14, 'plateau_divider': 10}. Best is trial 222 with value: 0.6575405977059186.
[I 2025-02-22 16:38:14,763] Trial 246 finished with value: 0.6099785585586242 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9032415197038478, 'batch_size': 63, 'attention_heads': 16, 'hidden_dimension': 77, 'number_of_hidden_layers': 1, 'dropout_rate': 0.38777651491183995, 'global_pooling': 'max', 'learning_rate': 0.0003275688813719822, 'weight_decay': 9.878755478241442e-06, 'beta_0': 0.8079554816165768, 'beta_1': 0.9882481704229445, 'epsilon': 3.536927972249929e-08, 'balanced_loss': False, 'epochs': 55, 'early_stopping_patience': 20, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 222 with value: 0.6575405977059186.
[I 2025-02-22 17:06:02,664] Trial 247 finished with value: 0.6242997438652218 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9065968033104721, 'batch_size': 70, 'attention_heads': 16, 'hidden_dimension': 70, 'number_of_hidden_layers': 1, 'dropout_rate': 0.39906125043563406, 'global_pooling': 'max', 'learning_rate': 0.0005898966230445452, 'weight_decay': 3.6813927261780286e-05, 'beta_0': 0.805321893702669, 'beta_1': 0.9874341263452231, 'epsilon': 4.555099671291555e-08, 'balanced_loss': False, 'epochs': 64, 'early_stopping_patience': 20, 'plateau_patience': 14, 'plateau_divider': 10}. Best is trial 222 with value: 0.6575405977059186.
[I 2025-02-22 17:34:16,807] Trial 248 finished with value: 0.6151064525264962 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9145244140019826, 'batch_size': 67, 'attention_heads': 16, 'hidden_dimension': 81, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4125076209409286, 'global_pooling': 'max', 'learning_rate': 0.0007608092205402868, 'weight_decay': 1.741177116394029e-05, 'beta_0': 0.8173515101873177, 'beta_1': 0.9886890434916121, 'epsilon': 5.4715430902708286e-08, 'balanced_loss': False, 'epochs': 58, 'early_stopping_patience': 20, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 222 with value: 0.6575405977059186.
