[I 2025-04-02 05:20:10,662] Using an existing study with name 'SST-2-GATv2-facebook-bart-large-Grouped-Sliding_Windows' instead of creating a new one.
[I 2025-04-02 05:26:18,044] Trial 45 finished with value: 0.9472477064220184 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 8, 'batch_size': 99, 'attention_heads': 12, 'hidden_dimension': 43, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5783235673893313, 'global_pooling': 'max', 'learning_rate': 0.0017404079915057443, 'weight_decay': 4.005745168633896e-06, 'beta_0': 0.8370061709044418, 'beta_1': 0.9815213717834694, 'epsilon': 3.6437159475175004e-07, 'balanced_loss': True, 'epochs': 99, 'early_stopping_patience': 20, 'plateau_patience': 11, 'plateau_divider': 6}. Best is trial 42 with value: 0.9495412844036697.
[I 2025-04-02 07:36:18,718] Trial 66 finished with value: 0.9472477064220184 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 9, 'batch_size': 190, 'attention_heads': 11, 'hidden_dimension': 41, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5822265751759169, 'global_pooling': 'max', 'learning_rate': 0.0013949536199692214, 'weight_decay': 1.8519670598011704e-06, 'beta_0': 0.8134592044378666, 'beta_1': 0.9908290461109598, 'epsilon': 5.209679951625834e-07, 'balanced_loss': False, 'epochs': 146, 'early_stopping_patience': 20, 'plateau_patience': 15, 'plateau_divider': 2}. Best is trial 61 with value: 0.9518348623853211.
[I 2025-04-02 07:42:45,077] Trial 67 finished with value: 0.9461009174311926 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 8, 'batch_size': 178, 'attention_heads': 12, 'hidden_dimension': 75, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5448355105639472, 'global_pooling': 'max', 'learning_rate': 0.0007738179865753948, 'weight_decay': 1.1988842633399707e-06, 'beta_0': 0.8134806968320406, 'beta_1': 0.9888525236141984, 'epsilon': 9.799835145665393e-07, 'balanced_loss': False, 'epochs': 155, 'early_stopping_patience': 20, 'plateau_patience': 14, 'plateau_divider': 3}. Best is trial 61 with value: 0.9518348623853211.
[I 2025-04-02 07:49:11,434] Trial 68 finished with value: 0.948394495412844 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 9, 'batch_size': 221, 'attention_heads': 13, 'hidden_dimension': 60, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5745812392312645, 'global_pooling': 'max', 'learning_rate': 0.0005188655595051802, 'weight_decay': 1.7027745384554011e-06, 'beta_0': 0.8032755576425904, 'beta_1': 0.9897268768360966, 'epsilon': 1.6487535565263614e-06, 'balanced_loss': False, 'epochs': 121, 'early_stopping_patience': 21, 'plateau_patience': 13, 'plateau_divider': 2}. Best is trial 61 with value: 0.9518348623853211.
[I 2025-04-02 07:55:17,175] Trial 69 finished with value: 0.944954128440367 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 8, 'batch_size': 199, 'attention_heads': 11, 'hidden_dimension': 45, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5581893424669964, 'global_pooling': 'max', 'learning_rate': 0.002754487900326472, 'weight_decay': 2.3525020949232575e-06, 'beta_0': 0.8110855402532255, 'beta_1': 0.9915260956444045, 'epsilon': 1.3777917836607491e-06, 'balanced_loss': False, 'epochs': 137, 'early_stopping_patience': 19, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 61 with value: 0.9518348623853211.
[I 2025-04-02 08:01:17,432] Trial 70 finished with value: 0.9438073394495413 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 9, 'batch_size': 170, 'attention_heads': 10, 'hidden_dimension': 36, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5945103982867084, 'global_pooling': 'max', 'learning_rate': 0.0002887693218999901, 'weight_decay': 6.4760621718137605e-06, 'beta_0': 0.8300917999151673, 'beta_1': 0.9928682159336003, 'epsilon': 3.4152555913501512e-06, 'balanced_loss': True, 'epochs': 156, 'early_stopping_patience': 17, 'plateau_patience': 15, 'plateau_divider': 2}. Best is trial 61 with value: 0.9518348623853211.
[I 2025-04-02 08:07:17,663] Trial 71 finished with value: 0.9415137614678899 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 8, 'batch_size': 181, 'attention_heads': 9, 'hidden_dimension': 67, 'number_of_hidden_layers': 4, 'dropout_rate': 0.33262463086506333, 'global_pooling': 'max', 'learning_rate': 0.0013155915893607597, 'weight_decay': 4.802668922721145e-06, 'beta_0': 0.8206565557457278, 'beta_1': 0.9936283058801688, 'epsilon': 6.944607202570545e-07, 'balanced_loss': False, 'epochs': 73, 'early_stopping_patience': 19, 'plateau_patience': 13, 'plateau_divider': 3}. Best is trial 61 with value: 0.9518348623853211.
[I 2025-04-02 08:13:31,755] Trial 72 finished with value: 0.9438073394495413 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 10, 'batch_size': 153, 'attention_heads': 12, 'hidden_dimension': 50, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5086144651563325, 'global_pooling': 'max', 'learning_rate': 0.0017434537450009874, 'weight_decay': 2.54592371950663e-06, 'beta_0': 0.8054526075304996, 'beta_1': 0.9899178745040959, 'epsilon': 1.818812038086561e-07, 'balanced_loss': True, 'epochs': 163, 'early_stopping_patience': 18, 'plateau_patience': 12, 'plateau_divider': 2}. Best is trial 61 with value: 0.9518348623853211.
[I 2025-04-02 08:19:56,783] Trial 73 finished with value: 0.948394495412844 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 9, 'batch_size': 230, 'attention_heads': 13, 'hidden_dimension': 56, 'number_of_hidden_layers': 3, 'dropout_rate': 0.575915347966971, 'global_pooling': 'max', 'learning_rate': 0.0005095327070119608, 'weight_decay': 1.5965559422678614e-06, 'beta_0': 0.8007236277856019, 'beta_1': 0.9913956105433608, 'epsilon': 1.6753846734662663e-06, 'balanced_loss': False, 'epochs': 131, 'early_stopping_patience': 21, 'plateau_patience': 13, 'plateau_divider': 2}. Best is trial 61 with value: 0.9518348623853211.
[I 2025-04-02 08:26:22,296] Trial 74 finished with value: 0.9472477064220184 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 9, 'batch_size': 219, 'attention_heads': 14, 'hidden_dimension': 60, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5733703369594693, 'global_pooling': 'max', 'learning_rate': 0.0008253150652470791, 'weight_decay': 1.8027092107806155e-06, 'beta_0': 0.8037847576078018, 'beta_1': 0.989551508768642, 'epsilon': 1.0817138505934379e-06, 'balanced_loss': False, 'epochs': 119, 'early_stopping_patience': 21, 'plateau_patience': 14, 'plateau_divider': 3}. Best is trial 61 with value: 0.9518348623853211.
[I 2025-04-02 08:32:39,782] Trial 75 finished with value: 0.9438073394495413 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 8, 'batch_size': 193, 'attention_heads': 15, 'hidden_dimension': 38, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5862441688735138, 'global_pooling': 'max', 'learning_rate': 0.00033618994401767835, 'weight_decay': 1.2519517923508238e-06, 'beta_0': 0.8101434994389727, 'beta_1': 0.988358035212763, 'epsilon': 3.088917919264381e-07, 'balanced_loss': False, 'epochs': 121, 'early_stopping_patience': 22, 'plateau_patience': 12, 'plateau_divider': 2}. Best is trial 61 with value: 0.9518348623853211.
[I 2025-04-02 08:39:30,584] Trial 76 finished with value: 0.9472477064220184 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 10, 'batch_size': 210, 'attention_heads': 11, 'hidden_dimension': 48, 'number_of_hidden_layers': 4, 'dropout_rate': 0.599206316614471, 'global_pooling': 'max', 'learning_rate': 0.00016851390888890749, 'weight_decay': 1.0003098270319053e-06, 'beta_0': 0.8283059922925835, 'beta_1': 0.9905544775858235, 'epsilon': 9.564125959611151e-08, 'balanced_loss': False, 'epochs': 140, 'early_stopping_patience': 20, 'plateau_patience': 13, 'plateau_divider': 3}. Best is trial 61 with value: 0.9518348623853211.
[I 2025-04-02 08:47:05,954] Trial 77 finished with value: 0.9426605504587156 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 7, 'batch_size': 238, 'attention_heads': 12, 'hidden_dimension': 62, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5264237838438175, 'global_pooling': 'max', 'learning_rate': 8.642057836876903e-05, 'weight_decay': 3.5098740793144798e-06, 'beta_0': 0.8447831252784703, 'beta_1': 0.9806169328640439, 'epsilon': 1.4857656827321946e-06, 'balanced_loss': False, 'epochs': 123, 'early_stopping_patience': 23, 'plateau_patience': 14, 'plateau_divider': 2}. Best is trial 61 with value: 0.9518348623853211.
[I 2025-04-02 08:53:07,811] Trial 78 finished with value: 0.9438073394495413 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 9, 'batch_size': 165, 'attention_heads': 13, 'hidden_dimension': 33, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5594681443450321, 'global_pooling': 'max', 'learning_rate': 0.002780275642426025, 'weight_decay': 1.5593521464409015e-06, 'beta_0': 0.8081117211046486, 'beta_1': 0.9920430072934487, 'epsilon': 2.5729699735595178e-06, 'balanced_loss': False, 'epochs': 128, 'early_stopping_patience': 19, 'plateau_patience': 12, 'plateau_divider': 2}. Best is trial 61 with value: 0.9518348623853211.
[I 2025-04-02 08:59:25,998] Trial 79 finished with value: 0.9461009174311926 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 8, 'batch_size': 201, 'attention_heads': 10, 'hidden_dimension': 55, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5410252944749719, 'global_pooling': 'max', 'learning_rate': 0.0011694084362739636, 'weight_decay': 1.9601937362380468e-06, 'beta_0': 0.8328011319151667, 'beta_1': 0.9819725690462592, 'epsilon': 7.657221907361574e-06, 'balanced_loss': False, 'epochs': 175, 'early_stopping_patience': 20, 'plateau_patience': 11, 'plateau_divider': 2}. Best is trial 61 with value: 0.9518348623853211.
[I 2025-04-02 09:05:28,717] Trial 80 finished with value: 0.9472477064220184 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 9, 'batch_size': 159, 'attention_heads': 11, 'hidden_dimension': 41, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5654050333341906, 'global_pooling': 'sum', 'learning_rate': 0.004365671723719385, 'weight_decay': 2.90619036535217e-06, 'beta_0': 0.8362764503481812, 'beta_1': 0.9911654527993177, 'epsilon': 4.1380267255411605e-07, 'balanced_loss': True, 'epochs': 113, 'early_stopping_patience': 21, 'plateau_patience': 15, 'plateau_divider': 9}. Best is trial 61 with value: 0.9518348623853211.
[I 2025-04-02 09:11:51,799] Trial 81 finished with value: 0.9461009174311926 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 7, 'batch_size': 172, 'attention_heads': 9, 'hidden_dimension': 71, 'number_of_hidden_layers': 4, 'dropout_rate': 0.553538036835679, 'global_pooling': 'max', 'learning_rate': 0.0006247619859893173, 'weight_decay': 1.1254296288534236e-05, 'beta_0': 0.8155500815620352, 'beta_1': 0.9895982161933591, 'epsilon': 5.528086733311242e-07, 'balanced_loss': True, 'epochs': 103, 'early_stopping_patience': 22, 'plateau_patience': 13, 'plateau_divider': 3}. Best is trial 61 with value: 0.9518348623853211.
[I 2025-04-02 09:18:13,693] Trial 82 finished with value: 0.9518348623853211 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 8, 'batch_size': 195, 'attention_heads': 14, 'hidden_dimension': 81, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5798555962233248, 'global_pooling': 'max', 'learning_rate': 0.0015288901488370915, 'weight_decay': 3.595709710236016e-05, 'beta_0': 0.8395353041018547, 'beta_1': 0.992160879835652, 'epsilon': 2.1273509249241316e-06, 'balanced_loss': False, 'epochs': 62, 'early_stopping_patience': 18, 'plateau_patience': 12, 'plateau_divider': 4}. Best is trial 61 with value: 0.9518348623853211.
[I 2025-04-02 09:24:37,134] Trial 83 finished with value: 0.9461009174311926 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 8, 'batch_size': 181, 'attention_heads': 13, 'hidden_dimension': 76, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5875696768018004, 'global_pooling': 'max', 'learning_rate': 0.0015654926184221945, 'weight_decay': 3.6691360919977585e-05, 'beta_0': 0.8412315848435044, 'beta_1': 0.9937458719555935, 'epsilon': 1.2112794891791868e-06, 'balanced_loss': False, 'epochs': 61, 'early_stopping_patience': 18, 'plateau_patience': 12, 'plateau_divider': 4}. Best is trial 61 with value: 0.9518348623853211.
