[I 2025-03-25 02:22:16,990] Using an existing study with name 'R8-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation-Unitary_Weights-0.0-0.0' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (639 > 512). Running this sequence through the model will result in indexing errors
[I 2025-03-25 02:36:44,216] Trial 219 finished with value: 0.9633116934378618 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8421238409550516, 'batch_size': 100, 'attention_heads': 8, 'hidden_dimension': 106, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5890988035321318, 'global_pooling': 'max', 'learning_rate': 0.00017513546270084848, 'weight_decay': 9.827874869149401e-06, 'beta_0': 0.8635771841347253, 'beta_1': 0.9942441010495715, 'epsilon': 2.4895357764145373e-07, 'balanced_loss': False, 'epochs': 148, 'early_stopping_patience': 24, 'plateau_patience': 14, 'plateau_divider': 5}. Best is trial 166 with value: 0.969738957231349.
[I 2025-03-25 05:35:38,006] Trial 231 finished with value: 0.9488499016508303 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8378796211016714, 'batch_size': 103, 'attention_heads': 7, 'hidden_dimension': 100, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5764355171163174, 'global_pooling': 'max', 'learning_rate': 0.00019287425762940614, 'weight_decay': 1.1080505706810667e-05, 'beta_0': 0.8628916939760459, 'beta_1': 0.9842670476990782, 'epsilon': 2.656447424768365e-07, 'balanced_loss': False, 'epochs': 133, 'early_stopping_patience': 23, 'plateau_patience': 14, 'plateau_divider': 5}. Best is trial 166 with value: 0.969738957231349.
[I 2025-03-25 05:58:19,363] Trial 232 finished with value: 0.9593733768276871 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.842902282970576, 'batch_size': 108, 'attention_heads': 8, 'hidden_dimension': 108, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5809334375273588, 'global_pooling': 'max', 'learning_rate': 0.00010341883473089082, 'weight_decay': 8.761148734323692e-06, 'beta_0': 0.8653037276996505, 'beta_1': 0.9944978374813329, 'epsilon': 2.2457021890336112e-07, 'balanced_loss': False, 'epochs': 150, 'early_stopping_patience': 24, 'plateau_patience': 14, 'plateau_divider': 5}. Best is trial 166 with value: 0.969738957231349.
[I 2025-03-25 06:12:18,827] Trial 233 finished with value: 0.9491844880360556 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8508235933410356, 'batch_size': 97, 'attention_heads': 8, 'hidden_dimension': 108, 'number_of_hidden_layers': 4, 'dropout_rate': 0.33876324363029037, 'global_pooling': 'max', 'learning_rate': 0.00010251240399649913, 'weight_decay': 6.332588485071169e-06, 'beta_0': 0.8689096688793241, 'beta_1': 0.9945217518379834, 'epsilon': 3.751768992015115e-07, 'balanced_loss': False, 'epochs': 148, 'early_stopping_patience': 25, 'plateau_patience': 14, 'plateau_divider': 5}. Best is trial 166 with value: 0.969738957231349.
[I 2025-03-25 06:21:50,652] Trial 234 finished with value: 0.9576486492810987 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8735948443518091, 'batch_size': 106, 'attention_heads': 8, 'hidden_dimension': 110, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5899354627289222, 'global_pooling': 'max', 'learning_rate': 0.0002689671915512482, 'weight_decay': 8.809800397109547e-06, 'beta_0': 0.8660867662955966, 'beta_1': 0.9953050759573706, 'epsilon': 2.0136267601468053e-07, 'balanced_loss': False, 'epochs': 158, 'early_stopping_patience': 24, 'plateau_patience': 14, 'plateau_divider': 5}. Best is trial 166 with value: 0.969738957231349.
[I 2025-03-25 06:44:25,411] Trial 235 finished with value: 0.954429582931931 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8421907626242974, 'batch_size': 100, 'attention_heads': 8, 'hidden_dimension': 101, 'number_of_hidden_layers': 4, 'dropout_rate': 0.573429589755932, 'global_pooling': 'max', 'learning_rate': 8.213813835777355e-05, 'weight_decay': 7.014650492586975e-06, 'beta_0': 0.8117793114307384, 'beta_1': 0.9921136090769953, 'epsilon': 1.2456872667389412e-05, 'balanced_loss': False, 'epochs': 185, 'early_stopping_patience': 25, 'plateau_patience': 14, 'plateau_divider': 5}. Best is trial 166 with value: 0.969738957231349.
[I 2025-03-25 07:01:09,369] Trial 236 finished with value: 0.9592197002162561 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8334882280257557, 'batch_size': 83, 'attention_heads': 8, 'hidden_dimension': 113, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5834501462316237, 'global_pooling': 'max', 'learning_rate': 0.00012744947626957978, 'weight_decay': 8.198099093221135e-06, 'beta_0': 0.8679218408982023, 'beta_1': 0.9956891369674695, 'epsilon': 1.7474633974567236e-07, 'balanced_loss': False, 'epochs': 148, 'early_stopping_patience': 23, 'plateau_patience': 14, 'plateau_divider': 5}. Best is trial 166 with value: 0.969738957231349.
[I 2025-03-25 07:20:22,703] Trial 237 finished with value: 0.9565350205533671 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8365156804068077, 'batch_size': 85, 'attention_heads': 8, 'hidden_dimension': 112, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5836127898966798, 'global_pooling': 'max', 'learning_rate': 0.0001066006321409107, 'weight_decay': 8.365565828371708e-06, 'beta_0': 0.8714925596584451, 'beta_1': 0.9958743435830792, 'epsilon': 1.4645234226966444e-07, 'balanced_loss': False, 'epochs': 163, 'early_stopping_patience': 23, 'plateau_patience': 14, 'plateau_divider': 5}. Best is trial 166 with value: 0.969738957231349.
[I 2025-03-25 07:34:49,896] Trial 238 finished with value: 0.9642315811694264 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8332060847085426, 'batch_size': 81, 'attention_heads': 8, 'hidden_dimension': 108, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5039164679577534, 'global_pooling': 'max', 'learning_rate': 0.00012961923816811824, 'weight_decay': 9.810330928427523e-06, 'beta_0': 0.8681963316108613, 'beta_1': 0.9967304423187738, 'epsilon': 1.7653791479132938e-07, 'balanced_loss': False, 'epochs': 149, 'early_stopping_patience': 23, 'plateau_patience': 14, 'plateau_divider': 5}. Best is trial 166 with value: 0.969738957231349.
[I 2025-03-25 07:49:58,836] Trial 239 finished with value: 0.9576045185922465 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.842451661586792, 'batch_size': 81, 'attention_heads': 8, 'hidden_dimension': 106, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5060954702146057, 'global_pooling': 'max', 'learning_rate': 0.00012180655223363375, 'weight_decay': 9.739470071724131e-06, 'beta_0': 0.8679108409102324, 'beta_1': 0.996749722174223, 'epsilon': 1.6469878116074947e-07, 'balanced_loss': False, 'epochs': 151, 'early_stopping_patience': 23, 'plateau_patience': 14, 'plateau_divider': 5}. Best is trial 166 with value: 0.969738957231349.
[I 2025-03-25 08:07:53,247] Trial 240 finished with value: 0.9561066583829589 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8224500409160392, 'batch_size': 81, 'attention_heads': 8, 'hidden_dimension': 96, 'number_of_hidden_layers': 4, 'dropout_rate': 0.594322837095437, 'global_pooling': 'max', 'learning_rate': 0.00013518414210899083, 'weight_decay': 1.0496203931965294e-05, 'beta_0': 0.873555637666884, 'beta_1': 0.9964423143769563, 'epsilon': 1.1860490518884039e-07, 'balanced_loss': False, 'epochs': 139, 'early_stopping_patience': 23, 'plateau_patience': 14, 'plateau_divider': 5}. Best is trial 166 with value: 0.969738957231349.
[I 2025-03-25 08:23:02,926] Trial 241 finished with value: 0.954219097946642 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8330853701202184, 'batch_size': 91, 'attention_heads': 8, 'hidden_dimension': 107, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5789716216435181, 'global_pooling': 'max', 'learning_rate': 9.083056010365787e-05, 'weight_decay': 9.002615954374905e-06, 'beta_0': 0.8704445590611996, 'beta_1': 0.9962051322692622, 'epsilon': 1.9059108882420942e-07, 'balanced_loss': False, 'epochs': 145, 'early_stopping_patience': 11, 'plateau_patience': 14, 'plateau_divider': 5}. Best is trial 166 with value: 0.969738957231349.
[I 2025-03-25 08:39:46,539] Trial 242 finished with value: 0.9602133351597476 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8159033154340164, 'batch_size': 88, 'attention_heads': 7, 'hidden_dimension': 116, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5876203705114987, 'global_pooling': 'max', 'learning_rate': 0.0001770235343148039, 'weight_decay': 1.1019979525070002e-05, 'beta_0': 0.8653593001090668, 'beta_1': 0.9950236961209615, 'epsilon': 2.307185882616041e-07, 'balanced_loss': False, 'epochs': 151, 'early_stopping_patience': 23, 'plateau_patience': 13, 'plateau_divider': 5}. Best is trial 166 with value: 0.969738957231349.
[I 2025-03-25 08:57:31,226] Trial 243 finished with value: 0.9565619538827397 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8155750856282756, 'batch_size': 82, 'attention_heads': 7, 'hidden_dimension': 115, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5930976300425663, 'global_pooling': 'max', 'learning_rate': 0.00011620163096445941, 'weight_decay': 1.3919864929600188e-05, 'beta_0': 0.8644453384593708, 'beta_1': 0.9956202553863023, 'epsilon': 1.775636433047737e-07, 'balanced_loss': False, 'epochs': 150, 'early_stopping_patience': 23, 'plateau_patience': 13, 'plateau_divider': 5}. Best is trial 166 with value: 0.969738957231349.
[I 2025-03-25 09:07:46,713] Trial 244 finished with value: 0.8994556083448744 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.9729455748275064, 'batch_size': 87, 'attention_heads': 7, 'hidden_dimension': 117, 'number_of_hidden_layers': 4, 'dropout_rate': 0.575136374050094, 'global_pooling': 'max', 'learning_rate': 0.00019419279116066914, 'weight_decay': 1.101293409571008e-05, 'beta_0': 0.8686263552377141, 'beta_1': 0.9949713858100859, 'epsilon': 2.1974726902397904e-07, 'balanced_loss': False, 'epochs': 143, 'early_stopping_patience': 23, 'plateau_patience': 13, 'plateau_divider': 5}. Best is trial 166 with value: 0.969738957231349.
[I 2025-03-25 09:21:07,926] Trial 245 finished with value: 0.9597755796640675 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8078701111751153, 'batch_size': 90, 'attention_heads': 7, 'hidden_dimension': 126, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3609506753209137, 'global_pooling': 'max', 'learning_rate': 0.0001510939998134844, 'weight_decay': 1.2810765501255254e-05, 'beta_0': 0.8620455861248985, 'beta_1': 0.99517000070071, 'epsilon': 1.371013891148287e-07, 'balanced_loss': False, 'epochs': 152, 'early_stopping_patience': 23, 'plateau_patience': 15, 'plateau_divider': 5}. Best is trial 166 with value: 0.969738957231349.
[I 2025-03-25 09:31:33,616] Trial 246 finished with value: 0.9462933772798583 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8001407104461885, 'batch_size': 84, 'attention_heads': 7, 'hidden_dimension': 113, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3617102315876196, 'global_pooling': 'sum', 'learning_rate': 0.00013211965803769268, 'weight_decay': 1.313107152996543e-05, 'beta_0': 0.8074457306279853, 'beta_1': 0.9956998727255875, 'epsilon': 1.425975955555202e-07, 'balanced_loss': False, 'epochs': 149, 'early_stopping_patience': 23, 'plateau_patience': 15, 'plateau_divider': 5}. Best is trial 166 with value: 0.969738957231349.
[I 2025-03-25 09:43:53,726] Trial 247 finished with value: 0.9583582527944721 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8079805842215376, 'batch_size': 89, 'attention_heads': 7, 'hidden_dimension': 128, 'number_of_hidden_layers': 4, 'dropout_rate': 0.37348008551949125, 'global_pooling': 'max', 'learning_rate': 0.00015700309106905455, 'weight_decay': 1.084900919620074e-05, 'beta_0': 0.8620917313600418, 'beta_1': 0.9946677136435278, 'epsilon': 1.752870670896756e-07, 'balanced_loss': False, 'epochs': 154, 'early_stopping_patience': 23, 'plateau_patience': 15, 'plateau_divider': 5}. Best is trial 166 with value: 0.969738957231349.
[I 2025-03-25 09:55:48,894] Trial 248 finished with value: 0.9522371652775099 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8124558815970576, 'batch_size': 77, 'attention_heads': 7, 'hidden_dimension': 126, 'number_of_hidden_layers': 4, 'dropout_rate': 0.49119807892656303, 'global_pooling': 'max', 'learning_rate': 0.0001878697691483598, 'weight_decay': 1.2095795760590175e-05, 'beta_0': 0.8667487177791587, 'beta_1': 0.9951980111067757, 'epsilon': 1.3129078003768548e-07, 'balanced_loss': False, 'epochs': 156, 'early_stopping_patience': 23, 'plateau_patience': 15, 'plateau_divider': 5}. Best is trial 166 with value: 0.969738957231349.
[I 2025-03-25 10:07:47,074] Trial 249 finished with value: 0.9533783331538447 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.824050186957457, 'batch_size': 93, 'attention_heads': 7, 'hidden_dimension': 120, 'number_of_hidden_layers': 4, 'dropout_rate': 0.346066875943078, 'global_pooling': 'max', 'learning_rate': 0.0002180084299093631, 'weight_decay': 8.175829966325586e-06, 'beta_0': 0.8812896984815427, 'beta_1': 0.9954011562169377, 'epsilon': 2.474351066222412e-07, 'balanced_loss': False, 'epochs': 153, 'early_stopping_patience': 23, 'plateau_patience': 15, 'plateau_divider': 5}. Best is trial 166 with value: 0.969738957231349.
[I 2025-03-25 10:26:10,058] Trial 250 finished with value: 0.9632224397565976 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8170839184874573, 'batch_size': 89, 'attention_heads': 7, 'hidden_dimension': 124, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5890228920894139, 'global_pooling': 'max', 'learning_rate': 0.00014078591269137185, 'weight_decay': 1.5577984097485268e-05, 'beta_0': 0.8625367767024, 'beta_1': 0.9960705875784381, 'epsilon': 2.1610708228484638e-07, 'balanced_loss': False, 'epochs': 151, 'early_stopping_patience': 24, 'plateau_patience': 14, 'plateau_divider': 5}. Best is trial 166 with value: 0.969738957231349.
[I 2025-03-25 10:42:03,964] Trial 251 finished with value: 0.9576373425987537 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8163073794387175, 'batch_size': 90, 'attention_heads': 7, 'hidden_dimension': 72, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5871890360096835, 'global_pooling': 'max', 'learning_rate': 9.973046069552351e-05, 'weight_decay': 1.5626700798278768e-05, 'beta_0': 0.8605018206980548, 'beta_1': 0.9960258293787495, 'epsilon': 1.9645600611663566e-07, 'balanced_loss': False, 'epochs': 147, 'early_stopping_patience': 24, 'plateau_patience': 13, 'plateau_divider': 5}. Best is trial 166 with value: 0.969738957231349.
[I 2025-03-25 11:00:36,458] Trial 252 finished with value: 0.9641745342352179 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7906331583674383, 'batch_size': 86, 'attention_heads': 7, 'hidden_dimension': 117, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5965575438389462, 'global_pooling': 'max', 'learning_rate': 0.00013847295082541786, 'weight_decay': 0.00011536754977029062, 'beta_0': 0.862963519891277, 'beta_1': 0.9949470708478536, 'epsilon': 1.6481451550951292e-07, 'balanced_loss': False, 'epochs': 143, 'early_stopping_patience': 24, 'plateau_patience': 15, 'plateau_divider': 5}. Best is trial 166 with value: 0.969738957231349.
[I 2025-03-25 11:15:50,270] Trial 253 finished with value: 0.9433583131155081 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7999279001364799, 'batch_size': 87, 'attention_heads': 6, 'hidden_dimension': 124, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5965136124515935, 'global_pooling': 'mean', 'learning_rate': 0.00014878970487008504, 'weight_decay': 0.00011356180262535339, 'beta_0': 0.8626439406425139, 'beta_1': 0.99487998793848, 'epsilon': 1.0110462285633092e-07, 'balanced_loss': False, 'epochs': 142, 'early_stopping_patience': 24, 'plateau_patience': 16, 'plateau_divider': 5}. Best is trial 166 with value: 0.969738957231349.
[I 2025-03-25 11:32:09,970] Trial 254 finished with value: 0.9596821773301448 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7905043151738961, 'batch_size': 93, 'attention_heads': 7, 'hidden_dimension': 119, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5909860194083635, 'global_pooling': 'max', 'learning_rate': 0.00018237656949951142, 'weight_decay': 1.790276284983616e-05, 'beta_0': 0.8584738760753683, 'beta_1': 0.9965500127378664, 'epsilon': 1.44994715795673e-07, 'balanced_loss': False, 'epochs': 152, 'early_stopping_patience': 24, 'plateau_patience': 15, 'plateau_divider': 5}. Best is trial 166 with value: 0.969738957231349.
