[I 2025-03-08 05:46:56,344] Using an existing study with name 'R8-GATv2-google-bert-bert-base-uncased-Surrogate-No_Aggregation-Random_Attentions-0.0-0.0' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (639 > 512). Running this sequence through the model will result in indexing errors
[I 2025-03-08 05:56:41,623] Trial 205 finished with value: 0.9551208053488776 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.8123894423605966, 'batch_size': 106, 'attention_heads': 4, 'hidden_dimension': 89, 'number_of_hidden_layers': 1, 'dropout_rate': 0.55817699683856, 'global_pooling': 'max', 'learning_rate': 0.0006404848848522196, 'weight_decay': 0.00039818822146132823, 'beta_0': 0.8102388153176246, 'beta_1': 0.989110490436202, 'epsilon': 7.388008239728212e-07, 'balanced_loss': False, 'epochs': 131, 'early_stopping_patience': 15, 'plateau_patience': 21, 'plateau_divider': 9}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 07:20:34,967] Trial 214 finished with value: 0.9420064201265061 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.8268820628025332, 'batch_size': 95, 'attention_heads': 4, 'hidden_dimension': 97, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5782476880954186, 'global_pooling': 'max', 'learning_rate': 0.0005193047326100791, 'weight_decay': 0.0004213043384771909, 'beta_0': 0.8000566735963912, 'beta_1': 0.9815105982924687, 'epsilon': 5.513696188456976e-08, 'balanced_loss': False, 'epochs': 119, 'early_stopping_patience': 17, 'plateau_patience': 21, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 07:30:21,510] Trial 215 finished with value: 0.9468088914170097 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.8455807155899214, 'batch_size': 77, 'attention_heads': 4, 'hidden_dimension': 93, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5837224059595247, 'global_pooling': 'max', 'learning_rate': 0.000610752024663742, 'weight_decay': 0.0005825104288347534, 'beta_0': 0.807368804751625, 'beta_1': 0.9812705450367024, 'epsilon': 1.1081390726890487e-06, 'balanced_loss': False, 'epochs': 163, 'early_stopping_patience': 16, 'plateau_patience': 21, 'plateau_divider': 9}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 07:39:30,477] Trial 216 finished with value: 0.9533242945083764 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.8498824458548245, 'batch_size': 85, 'attention_heads': 5, 'hidden_dimension': 87, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5635491243534024, 'global_pooling': 'max', 'learning_rate': 0.0007988884021450735, 'weight_decay': 0.00038697173662159007, 'beta_0': 0.8047214059391141, 'beta_1': 0.9818476856409617, 'epsilon': 4.277424044948438e-07, 'balanced_loss': False, 'epochs': 112, 'early_stopping_patience': 15, 'plateau_patience': 21, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 07:50:43,658] Trial 217 finished with value: 0.9570030122632808 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.8339937132556473, 'batch_size': 106, 'attention_heads': 4, 'hidden_dimension': 80, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5880774131562931, 'global_pooling': 'max', 'learning_rate': 0.0004953290373464068, 'weight_decay': 0.00047216894586438, 'beta_0': 0.8760571098477756, 'beta_1': 0.9810705847667421, 'epsilon': 5.933941242496005e-07, 'balanced_loss': False, 'epochs': 107, 'early_stopping_patience': 17, 'plateau_patience': 19, 'plateau_divider': 9}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 08:00:53,564] Trial 218 finished with value: 0.940964353588211 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.8357425470017682, 'batch_size': 107, 'attention_heads': 5, 'hidden_dimension': 76, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5875083921525701, 'global_pooling': 'max', 'learning_rate': 0.0003640868520164226, 'weight_decay': 2.9957567126289117e-06, 'beta_0': 0.8707422478107064, 'beta_1': 0.9808205213731122, 'epsilon': 6.02202237414349e-07, 'balanced_loss': False, 'epochs': 129, 'early_stopping_patience': 18, 'plateau_patience': 19, 'plateau_divider': 9}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 08:10:39,419] Trial 219 finished with value: 0.9536800248794182 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.8211272588035299, 'batch_size': 104, 'attention_heads': 4, 'hidden_dimension': 80, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5995265748407337, 'global_pooling': 'max', 'learning_rate': 0.00046921309900074825, 'weight_decay': 0.0004888406943980276, 'beta_0': 0.8913530991381761, 'beta_1': 0.9811694516974948, 'epsilon': 4.7363452027629137e-07, 'balanced_loss': False, 'epochs': 105, 'early_stopping_patience': 17, 'plateau_patience': 19, 'plateau_divider': 9}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 08:20:56,087] Trial 220 finished with value: 0.9414016473164231 and parameters: {'left_stride': 64, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.8070497662482687, 'batch_size': 132, 'attention_heads': 4, 'hidden_dimension': 66, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5908271949963441, 'global_pooling': 'max', 'learning_rate': 0.0008916140106177199, 'weight_decay': 0.00044690648669198517, 'beta_0': 0.8773745058215809, 'beta_1': 0.9805136530838308, 'epsilon': 3.6539919229129665e-07, 'balanced_loss': False, 'epochs': 135, 'early_stopping_patience': 17, 'plateau_patience': 18, 'plateau_divider': 9}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 08:30:44,441] Trial 221 finished with value: 0.9418897458119955 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8773601657000718, 'batch_size': 100, 'attention_heads': 9, 'hidden_dimension': 72, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5497703389591967, 'global_pooling': 'max', 'learning_rate': 0.0006671563807215026, 'weight_decay': 0.00036498398964182735, 'beta_0': 0.8757112587715984, 'beta_1': 0.9883971001345156, 'epsilon': 8.208988073808639e-07, 'balanced_loss': False, 'epochs': 139, 'early_stopping_patience': 13, 'plateau_patience': 19, 'plateau_divider': 9}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 08:40:38,174] Trial 222 finished with value: 0.9480434092228571 and parameters: {'left_stride': 64, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.8153236690732868, 'batch_size': 114, 'attention_heads': 4, 'hidden_dimension': 84, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5758268335806345, 'global_pooling': 'max', 'learning_rate': 0.0014095866334308497, 'weight_decay': 0.0005188864779808275, 'beta_0': 0.8739080820731275, 'beta_1': 0.9850796230605671, 'epsilon': 1.8182744218137188e-07, 'balanced_loss': False, 'epochs': 143, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 9}. Best is trial 75 with value: 0.9678401438557276.
CUDA out of memory. Tried to allocate 2.21 GiB. GPU 0 has a total capacity of 44.56 GiB of which 1.27 GiB is free. Including non-PyTorch memory, this process has 43.28 GiB memory in use. Of the allocated memory 41.80 GiB is allocated by PyTorch, and 337.00 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-03-08 08:46:46,933] Trial 223 finished with value: -1.0 and parameters: {'left_stride': 64, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.827898364103229, 'batch_size': 108, 'attention_heads': 11, 'hidden_dimension': 90, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5708839011335584, 'global_pooling': 'max', 'learning_rate': 0.0005496952740894635, 'weight_decay': 0.000317984804111684, 'beta_0': 0.8836012566932662, 'beta_1': 0.98292493342453, 'epsilon': 6.840460257742598e-07, 'balanced_loss': True, 'epochs': 132, 'early_stopping_patience': 18, 'plateau_patience': 20, 'plateau_divider': 9}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 08:57:54,485] Trial 224 finished with value: 0.9523941305080965 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.8402568704883833, 'batch_size': 93, 'attention_heads': 4, 'hidden_dimension': 94, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5824420002763276, 'global_pooling': 'max', 'learning_rate': 0.0005066526506515335, 'weight_decay': 0.0006457466638232576, 'beta_0': 0.879337486182332, 'beta_1': 0.9814364569554401, 'epsilon': 5.957746985408728e-07, 'balanced_loss': False, 'epochs': 98, 'early_stopping_patience': 16, 'plateau_patience': 21, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 09:06:49,456] Trial 225 finished with value: 0.9477001233258815 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.8623038993340527, 'batch_size': 99, 'attention_heads': 4, 'hidden_dimension': 86, 'number_of_hidden_layers': 1, 'dropout_rate': 0.589300059022594, 'global_pooling': 'max', 'learning_rate': 0.0007615548013795509, 'weight_decay': 0.0005664458205109109, 'beta_0': 0.8123048782587252, 'beta_1': 0.9822722297186864, 'epsilon': 1.5894655825660427e-08, 'balanced_loss': False, 'epochs': 107, 'early_stopping_patience': 17, 'plateau_patience': 21, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 09:16:33,137] Trial 226 finished with value: 0.9441940536132983 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.8328576363564273, 'batch_size': 105, 'attention_heads': 5, 'hidden_dimension': 100, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5945723992719375, 'global_pooling': 'max', 'learning_rate': 0.0005994859089239442, 'weight_decay': 3.0476645278322167e-05, 'beta_0': 0.8022496011770492, 'beta_1': 0.9816687675232434, 'epsilon': 9.26096199813829e-07, 'balanced_loss': False, 'epochs': 110, 'early_stopping_patience': 16, 'plateau_patience': 22, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 09:25:49,281] Trial 227 finished with value: 0.9481608182032252 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.8712287914481317, 'batch_size': 97, 'attention_heads': 4, 'hidden_dimension': 80, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5756759968811453, 'global_pooling': 'max', 'learning_rate': 0.0004188619493789248, 'weight_decay': 0.00039799160149010977, 'beta_0': 0.8065985778144554, 'beta_1': 0.981213814175858, 'epsilon': 2.1537863624803845e-07, 'balanced_loss': False, 'epochs': 106, 'early_stopping_patience': 17, 'plateau_patience': 21, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 09:35:14,655] Trial 228 finished with value: 0.9529153283461766 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.8514578809064255, 'batch_size': 87, 'attention_heads': 4, 'hidden_dimension': 74, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5809515198245325, 'global_pooling': 'max', 'learning_rate': 0.0010167445191839371, 'weight_decay': 0.0006904836686762898, 'beta_0': 0.8207333285780979, 'beta_1': 0.9809933619195733, 'epsilon': 1.1412684854277501e-07, 'balanced_loss': False, 'epochs': 115, 'early_stopping_patience': 20, 'plateau_patience': 22, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
CUDA out of memory. Tried to allocate 2.67 GiB. GPU 0 has a total capacity of 44.56 GiB of which 2.62 GiB is free. Including non-PyTorch memory, this process has 41.94 GiB memory in use. Of the allocated memory 39.11 GiB is allocated by PyTorch, and 1.68 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-03-08 09:43:06,502] Trial 229 finished with value: -1.0 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8887046746357766, 'batch_size': 91, 'attention_heads': 8, 'hidden_dimension': 159, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5647880936982841, 'global_pooling': 'max', 'learning_rate': 0.0007103570603235468, 'weight_decay': 0.00047553464328904655, 'beta_0': 0.8093826231819788, 'beta_1': 0.9819231069310397, 'epsilon': 6.94926379357244e-08, 'balanced_loss': False, 'epochs': 180, 'early_stopping_patience': 19, 'plateau_patience': 23, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 09:54:00,224] Trial 230 finished with value: 0.9452057146445054 and parameters: {'left_stride': 64, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.8586964798479653, 'batch_size': 201, 'attention_heads': 5, 'hidden_dimension': 90, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5873155401930952, 'global_pooling': 'max', 'learning_rate': 0.0016715735273001976, 'weight_decay': 0.0007935250721377709, 'beta_0': 0.8878990017276795, 'beta_1': 0.9988174353751474, 'epsilon': 1.523816053454548e-07, 'balanced_loss': False, 'epochs': 109, 'early_stopping_patience': 22, 'plateau_patience': 21, 'plateau_divider': 9}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 10:02:08,358] Trial 231 finished with value: 0.956972632299401 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9204506124684751, 'batch_size': 182, 'attention_heads': 4, 'hidden_dimension': 63, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5805358926132014, 'global_pooling': 'max', 'learning_rate': 0.0005312022003275125, 'weight_decay': 0.0005913345611468738, 'beta_0': 0.8018376278723923, 'beta_1': 0.9845812027484573, 'epsilon': 4.489747207853041e-06, 'balanced_loss': False, 'epochs': 103, 'early_stopping_patience': 14, 'plateau_patience': 19, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 10:09:37,946] Trial 232 finished with value: 0.951884800034241 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9261196633593684, 'batch_size': 214, 'attention_heads': 4, 'hidden_dimension': 61, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5700386160496772, 'global_pooling': 'max', 'learning_rate': 0.0008867301329731004, 'weight_decay': 0.0004424322709308148, 'beta_0': 0.8016961048050757, 'beta_1': 0.9846498614563929, 'epsilon': 3.009555909542582e-07, 'balanced_loss': False, 'epochs': 120, 'early_stopping_patience': 14, 'plateau_patience': 19, 'plateau_divider': 8}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 10:17:43,490] Trial 233 finished with value: 0.9384497217638531 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9196447699166653, 'batch_size': 126, 'attention_heads': 5, 'hidden_dimension': 70, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5951746980811183, 'global_pooling': 'max', 'learning_rate': 0.0024636662886375034, 'weight_decay': 0.0005885999980386701, 'beta_0': 0.827000141979324, 'beta_1': 0.9842028515350452, 'epsilon': 1.0744618752119925e-05, 'balanced_loss': False, 'epochs': 103, 'early_stopping_patience': 13, 'plateau_patience': 19, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 10:25:39,024] Trial 234 finished with value: 0.9405781000418303 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9381488544486088, 'batch_size': 102, 'attention_heads': 4, 'hidden_dimension': 66, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5818567185305703, 'global_pooling': 'max', 'learning_rate': 0.0005118320973511204, 'weight_decay': 0.0005281019960195969, 'beta_0': 0.8039037711722327, 'beta_1': 0.9853684568243984, 'epsilon': 9.348529657663546e-08, 'balanced_loss': False, 'epochs': 99, 'early_stopping_patience': 14, 'plateau_patience': 19, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 10:34:06,807] Trial 235 finished with value: 0.9615066624041878 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9131867302663891, 'batch_size': 69, 'attention_heads': 4, 'hidden_dimension': 56, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5787151804987396, 'global_pooling': 'max', 'learning_rate': 0.0006466347845703219, 'weight_decay': 0.000660317013091961, 'beta_0': 0.8014173868964479, 'beta_1': 0.9848767213304046, 'epsilon': 1.3054356962947251e-07, 'balanced_loss': False, 'epochs': 105, 'early_stopping_patience': 14, 'plateau_patience': 20, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 10:44:52,467] Trial 236 finished with value: 0.9558222307018236 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9074285464149805, 'batch_size': 224, 'attention_heads': 12, 'hidden_dimension': 56, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5761408419645705, 'global_pooling': 'max', 'learning_rate': 0.0006440891233177157, 'weight_decay': 0.0005935427154685852, 'beta_0': 0.8012124163637676, 'beta_1': 0.9849703620456217, 'epsilon': 4.497310260276013e-06, 'balanced_loss': False, 'epochs': 105, 'early_stopping_patience': 14, 'plateau_patience': 20, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 10:55:27,529] Trial 237 finished with value: 0.950114464702249 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9131525498575199, 'batch_size': 230, 'attention_heads': 13, 'hidden_dimension': 56, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5792722166982428, 'global_pooling': 'max', 'learning_rate': 0.0006098582362474557, 'weight_decay': 0.0006300386809722766, 'beta_0': 0.8003773634188782, 'beta_1': 0.9850135386197444, 'epsilon': 3.758385566980978e-06, 'balanced_loss': False, 'epochs': 105, 'early_stopping_patience': 14, 'plateau_patience': 20, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
