[I 2025-03-27 23:45:19,473] Using an existing study with name 'R8-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation-No_Ablation-1.0-0.25' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (639 > 512). Running this sequence through the model will result in indexing errors
[I 2025-03-27 23:54:50,243] Trial 53 finished with value: 0.9338759873450622 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8054046887506502, 'batch_size': 84, 'attention_heads': 6, 'hidden_dimension': 122, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4955871320392273, 'global_pooling': 'mean', 'learning_rate': 0.001542100756152561, 'weight_decay': 1.9943186517847257e-05, 'beta_0': 0.8687819896324543, 'beta_1': 0.9866507380166897, 'epsilon': 3.3178865230070793e-08, 'balanced_loss': False, 'epochs': 74, 'early_stopping_patience': 19, 'plateau_patience': 24, 'plateau_divider': 7}. Best is trial 33 with value: 0.9452885420275031.
[I 2025-03-28 01:39:59,540] Trial 64 finished with value: 0.9416343057830301 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8080752259829262, 'batch_size': 89, 'attention_heads': 6, 'hidden_dimension': 111, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4976745626999484, 'global_pooling': 'mean', 'learning_rate': 0.0011862422919305712, 'weight_decay': 1.9621175298458462e-05, 'beta_0': 0.8813263048432977, 'beta_1': 0.9879652335424288, 'epsilon': 3.786893576287208e-08, 'balanced_loss': False, 'epochs': 75, 'early_stopping_patience': 18, 'plateau_patience': 24, 'plateau_divider': 8}. Best is trial 33 with value: 0.9452885420275031.
[I 2025-03-28 01:48:50,574] Trial 65 finished with value: 0.9276250176159438 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8165220674712431, 'batch_size': 106, 'attention_heads': 6, 'hidden_dimension': 111, 'number_of_hidden_layers': 2, 'dropout_rate': 0.49952473993813185, 'global_pooling': 'mean', 'learning_rate': 0.0027025321537640784, 'weight_decay': 1.0074893501080278e-05, 'beta_0': 0.8727452006332619, 'beta_1': 0.9881624096519551, 'epsilon': 1.3945818084302168e-08, 'balanced_loss': False, 'epochs': 85, 'early_stopping_patience': 18, 'plateau_patience': 24, 'plateau_divider': 8}. Best is trial 33 with value: 0.9452885420275031.
[I 2025-03-28 01:56:58,159] Trial 66 finished with value: 0.9442991495636549 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.853434776511105, 'batch_size': 91, 'attention_heads': 5, 'hidden_dimension': 86, 'number_of_hidden_layers': 2, 'dropout_rate': 0.47111054588061124, 'global_pooling': 'mean', 'learning_rate': 0.000579320677964835, 'weight_decay': 1.29257562769996e-05, 'beta_0': 0.8385953014238322, 'beta_1': 0.9853012796384566, 'epsilon': 3.877632555005936e-08, 'balanced_loss': False, 'epochs': 72, 'early_stopping_patience': 17, 'plateau_patience': 22, 'plateau_divider': 9}. Best is trial 33 with value: 0.9452885420275031.
[I 2025-03-28 02:04:28,851] Trial 67 finished with value: 0.9220784235151339 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8572423820805667, 'batch_size': 92, 'attention_heads': 4, 'hidden_dimension': 87, 'number_of_hidden_layers': 2, 'dropout_rate': 0.470553710708746, 'global_pooling': 'sum', 'learning_rate': 0.0006395416281225106, 'weight_decay': 1.2937026670413724e-05, 'beta_0': 0.8370698432750514, 'beta_1': 0.9892911994098669, 'epsilon': 4.543309987939453e-08, 'balanced_loss': False, 'epochs': 57, 'early_stopping_patience': 16, 'plateau_patience': 21, 'plateau_divider': 9}. Best is trial 33 with value: 0.9452885420275031.
[I 2025-03-28 02:11:48,909] Trial 68 finished with value: 0.9272928363718451 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8735948443518091, 'batch_size': 101, 'attention_heads': 5, 'hidden_dimension': 77, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4505465124054758, 'global_pooling': 'mean', 'learning_rate': 0.00044998942745714805, 'weight_decay': 5.526579768339272e-06, 'beta_0': 0.8198590106658868, 'beta_1': 0.9966051140505098, 'epsilon': 1.558194571240037e-07, 'balanced_loss': False, 'epochs': 69, 'early_stopping_patience': 17, 'plateau_patience': 22, 'plateau_divider': 9}. Best is trial 33 with value: 0.9452885420275031.
[I 2025-03-28 02:20:42,001] Trial 69 finished with value: 0.912615166810895 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8324834536320829, 'batch_size': 110, 'attention_heads': 4, 'hidden_dimension': 97, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3139844075176435, 'global_pooling': 'mean', 'learning_rate': 5.220547680114183e-05, 'weight_decay': 1.7748663678323937e-05, 'beta_0': 0.8318687775906233, 'beta_1': 0.9946769230375494, 'epsilon': 3.480538562170672e-08, 'balanced_loss': False, 'epochs': 185, 'early_stopping_patience': 15, 'plateau_patience': 23, 'plateau_divider': 8}. Best is trial 33 with value: 0.9452885420275031.
[I 2025-03-28 02:27:32,440] Trial 70 finished with value: 0.9127645684489237 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9141910875024719, 'batch_size': 80, 'attention_heads': 5, 'hidden_dimension': 64, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5122026363858397, 'global_pooling': 'mean', 'learning_rate': 0.004119226451187609, 'weight_decay': 7.548373692812591e-06, 'beta_0': 0.851514560768195, 'beta_1': 0.9870601516680099, 'epsilon': 1.8477298342033687e-08, 'balanced_loss': False, 'epochs': 66, 'early_stopping_patience': 17, 'plateau_patience': 21, 'plateau_divider': 9}. Best is trial 33 with value: 0.9452885420275031.
The selected strides are greater or equal to the total chunk size.
[I 2025-03-28 02:27:33,579] Trial 71 finished with value: -1.0 and parameters: {'left_stride': 256, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6821748712236219, 'batch_size': 143, 'attention_heads': 8, 'hidden_dimension': 49, 'number_of_hidden_layers': 1, 'dropout_rate': 0.40954026168928764, 'global_pooling': 'mean', 'learning_rate': 0.00211051412305508, 'weight_decay': 4.664506334730395e-06, 'beta_0': 0.8248680998544478, 'beta_1': 0.984372648084853, 'epsilon': 3.669019900640401e-07, 'balanced_loss': True, 'epochs': 72, 'early_stopping_patience': 21, 'plateau_patience': 19, 'plateau_divider': 8}. Best is trial 33 with value: 0.9452885420275031.
[I 2025-03-28 02:36:57,008] Trial 72 finished with value: 0.9289743207104091 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8486881402671711, 'batch_size': 119, 'attention_heads': 5, 'hidden_dimension': 85, 'number_of_hidden_layers': 2, 'dropout_rate': 0.48878686727490933, 'global_pooling': 'max', 'learning_rate': 0.0002245126985769635, 'weight_decay': 1.0157267570084597e-05, 'beta_0': 0.8472840117779683, 'beta_1': 0.9955600846653856, 'epsilon': 2.769227292838991e-07, 'balanced_loss': False, 'epochs': 122, 'early_stopping_patience': 18, 'plateau_patience': 23, 'plateau_divider': 10}. Best is trial 33 with value: 0.9452885420275031.
[I 2025-03-28 02:46:00,233] Trial 73 finished with value: 0.9346239680266002 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.807208062441383, 'batch_size': 71, 'attention_heads': 6, 'hidden_dimension': 130, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4626848455417001, 'global_pooling': 'mean', 'learning_rate': 0.0010203621478185104, 'weight_decay': 2.3009157730414768e-05, 'beta_0': 0.882197771108716, 'beta_1': 0.9849964714315361, 'epsilon': 3.5486865002217954e-08, 'balanced_loss': False, 'epochs': 78, 'early_stopping_patience': 15, 'plateau_patience': 22, 'plateau_divider': 8}. Best is trial 33 with value: 0.9452885420275031.
[I 2025-03-28 02:53:38,797] Trial 74 finished with value: 0.9234521707442783 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9384829318892554, 'batch_size': 91, 'attention_heads': 7, 'hidden_dimension': 111, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5008358801187318, 'global_pooling': 'mean', 'learning_rate': 0.0008063526537769739, 'weight_decay': 3.914958588908167e-05, 'beta_0': 0.8141273996042488, 'beta_1': 0.9836020618159454, 'epsilon': 5.580149208249427e-08, 'balanced_loss': False, 'epochs': 98, 'early_stopping_patience': 20, 'plateau_patience': 25, 'plateau_divider': 7}. Best is trial 33 with value: 0.9452885420275031.
[I 2025-03-28 03:02:26,274] Trial 75 finished with value: 0.929454261648638 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.7745015520179018, 'batch_size': 56, 'attention_heads': 4, 'hidden_dimension': 142, 'number_of_hidden_layers': 2, 'dropout_rate': 0.48202455090171736, 'global_pooling': 'mean', 'learning_rate': 0.0005753540184389622, 'weight_decay': 1.2915793800290308e-05, 'beta_0': 0.8402729785863542, 'beta_1': 0.9860541021015741, 'epsilon': 1.6552434177710117e-08, 'balanced_loss': False, 'epochs': 112, 'early_stopping_patience': 19, 'plateau_patience': 24, 'plateau_divider': 6}. Best is trial 33 with value: 0.9452885420275031.
[I 2025-03-28 03:11:23,660] Trial 76 finished with value: 0.9202415357244251 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.7859221640990326, 'batch_size': 67, 'attention_heads': 5, 'hidden_dimension': 123, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5169847864969566, 'global_pooling': 'mean', 'learning_rate': 0.0003514266930554058, 'weight_decay': 2.8052281114021362e-05, 'beta_0': 0.8662266362114203, 'beta_1': 0.9855035756613342, 'epsilon': 1.4182878189565023e-06, 'balanced_loss': False, 'epochs': 62, 'early_stopping_patience': 20, 'plateau_patience': 22, 'plateau_divider': 9}. Best is trial 33 with value: 0.9452885420275031.
[I 2025-03-28 03:19:03,098] Trial 77 finished with value: 0.8868319902017395 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.968655372645353, 'batch_size': 37, 'attention_heads': 6, 'hidden_dimension': 104, 'number_of_hidden_layers': 2, 'dropout_rate': 0.44092645261033603, 'global_pooling': 'mean', 'learning_rate': 0.001522779579885912, 'weight_decay': 1.6485389736161318e-05, 'beta_0': 0.8463079797155572, 'beta_1': 0.9879072554538965, 'epsilon': 1.1937457149011507e-08, 'balanced_loss': False, 'epochs': 89, 'early_stopping_patience': 18, 'plateau_patience': 21, 'plateau_divider': 6}. Best is trial 33 with value: 0.9452885420275031.
[I 2025-03-28 03:29:17,302] Trial 78 finished with value: 0.9170922786704647 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.699736863344034, 'batch_size': 86, 'attention_heads': 6, 'hidden_dimension': 93, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5577612286008915, 'global_pooling': 'mean', 'learning_rate': 0.0008680930471858776, 'weight_decay': 5.358100100256558e-05, 'beta_0': 0.8275570501121464, 'beta_1': 0.9871025408040415, 'epsilon': 9.795390417768714e-08, 'balanced_loss': False, 'epochs': 75, 'early_stopping_patience': 16, 'plateau_patience': 23, 'plateau_divider': 7}. Best is trial 33 with value: 0.9452885420275031.
[I 2025-03-28 03:36:49,467] Trial 79 finished with value: 0.9344747576239717 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8969404039041662, 'batch_size': 50, 'attention_heads': 4, 'hidden_dimension': 115, 'number_of_hidden_layers': 2, 'dropout_rate': 0.46920561612383677, 'global_pooling': 'mean', 'learning_rate': 0.0012233134246540658, 'weight_decay': 9.268836105783985e-06, 'beta_0': 0.8778892513511957, 'beta_1': 0.998545053734652, 'epsilon': 2.300649563293846e-08, 'balanced_loss': False, 'epochs': 83, 'early_stopping_patience': 21, 'plateau_patience': 12, 'plateau_divider': 9}. Best is trial 33 with value: 0.9452885420275031.
[I 2025-03-28 03:44:48,197] Trial 80 finished with value: 0.9279840839343748 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9107759154795163, 'batch_size': 60, 'attention_heads': 5, 'hidden_dimension': 133, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4924703158879624, 'global_pooling': 'sum', 'learning_rate': 0.0004783692910752721, 'weight_decay': 6.447223053033605e-06, 'beta_0': 0.8902839658571594, 'beta_1': 0.9891657991599834, 'epsilon': 2.7535641445364607e-08, 'balanced_loss': False, 'epochs': 141, 'early_stopping_patience': 19, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 33 with value: 0.9452885420275031.
[I 2025-03-28 03:52:59,980] Trial 81 finished with value: 0.9417181923294861 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8277080736989074, 'batch_size': 77, 'attention_heads': 7, 'hidden_dimension': 101, 'number_of_hidden_layers': 2, 'dropout_rate': 0.39679863424856987, 'global_pooling': 'mean', 'learning_rate': 0.001782949874772407, 'weight_decay': 1.1903688502953002e-05, 'beta_0': 0.894381915401196, 'beta_1': 0.9862761811912281, 'epsilon': 3.762216691300292e-08, 'balanced_loss': False, 'epochs': 71, 'early_stopping_patience': 17, 'plateau_patience': 24, 'plateau_divider': 7}. Best is trial 33 with value: 0.9452885420275031.
[I 2025-03-28 04:02:09,038] Trial 82 finished with value: 0.8928802011532168 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.8247999067737156, 'batch_size': 100, 'attention_heads': 5, 'hidden_dimension': 223, 'number_of_hidden_layers': 2, 'dropout_rate': 0.39764999403768875, 'global_pooling': 'mean', 'learning_rate': 0.0026067295130974342, 'weight_decay': 1.2104873764759244e-05, 'beta_0': 0.8869494939204958, 'beta_1': 0.9939659477235973, 'epsilon': 3.834448081654104e-08, 'balanced_loss': False, 'epochs': 71, 'early_stopping_patience': 17, 'plateau_patience': 22, 'plateau_divider': 6}. Best is trial 33 with value: 0.9452885420275031.
[I 2025-03-28 04:10:49,177] Trial 83 finished with value: 0.948570623104103 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8117012955266247, 'batch_size': 77, 'attention_heads': 7, 'hidden_dimension': 99, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3762279521907956, 'global_pooling': 'mean', 'learning_rate': 0.001727042659895783, 'weight_decay': 1.9891018393642017e-05, 'beta_0': 0.8950399079818412, 'beta_1': 0.9863625795829633, 'epsilon': 5.247038762628399e-08, 'balanced_loss': False, 'epochs': 59, 'early_stopping_patience': 18, 'plateau_patience': 24, 'plateau_divider': 7}. Best is trial 83 with value: 0.948570623104103.
[I 2025-03-28 04:18:53,378] Trial 84 finished with value: 0.9304373283260132 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8125309076435457, 'batch_size': 74, 'attention_heads': 7, 'hidden_dimension': 100, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3649100741328579, 'global_pooling': 'mean', 'learning_rate': 0.0018046708952265103, 'weight_decay': 1.9820077030018103e-05, 'beta_0': 0.8942790974278522, 'beta_1': 0.9864241070955224, 'epsilon': 7.222696148522274e-08, 'balanced_loss': False, 'epochs': 53, 'early_stopping_patience': 17, 'plateau_patience': 23, 'plateau_divider': 7}. Best is trial 83 with value: 0.948570623104103.
[I 2025-03-28 04:26:33,382] Trial 85 finished with value: 0.914307490385385 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9252496861709825, 'batch_size': 87, 'attention_heads': 8, 'hidden_dimension': 90, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3733016643584086, 'global_pooling': 'mean', 'learning_rate': 0.0035758490205163, 'weight_decay': 7.588290231648472e-06, 'beta_0': 0.8939885020990176, 'beta_1': 0.9873814314174942, 'epsilon': 5.407596546541838e-08, 'balanced_loss': False, 'epochs': 58, 'early_stopping_patience': 18, 'plateau_patience': 24, 'plateau_divider': 7}. Best is trial 83 with value: 0.948570623104103.
[I 2025-03-28 04:34:11,334] Trial 86 finished with value: 0.9232549571731311 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8430609388020572, 'batch_size': 94, 'attention_heads': 7, 'hidden_dimension': 80, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3887938989596621, 'global_pooling': 'mean', 'learning_rate': 0.0013633462367348668, 'weight_decay': 1.4591696250858264e-05, 'beta_0': 0.8974737696597458, 'beta_1': 0.9853918550186794, 'epsilon': 1.9339498432691205e-06, 'balanced_loss': False, 'epochs': 66, 'early_stopping_patience': 16, 'plateau_patience': 23, 'plateau_divider': 8}. Best is trial 83 with value: 0.948570623104103.
[I 2025-03-28 04:41:36,508] Trial 87 finished with value: 0.23922321814827424 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8689890290801275, 'batch_size': 105, 'attention_heads': 6, 'hidden_dimension': 106, 'number_of_hidden_layers': 2, 'dropout_rate': 0.40170726046212063, 'global_pooling': 'mean', 'learning_rate': 0.05289639133248508, 'weight_decay': 2.445088868675734e-05, 'beta_0': 0.8809361029298878, 'beta_1': 0.9846998973439992, 'epsilon': 5.914797814472571e-07, 'balanced_loss': False, 'epochs': 62, 'early_stopping_patience': 18, 'plateau_patience': 24, 'plateau_divider': 6}. Best is trial 83 with value: 0.948570623104103.
[I 2025-03-28 04:49:25,223] Trial 88 finished with value: 0.9168473825583172 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8546983805258134, 'batch_size': 78, 'attention_heads': 5, 'hidden_dimension': 100, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3510444441610205, 'global_pooling': 'mean', 'learning_rate': 0.0024535608573621236, 'weight_decay': 1.8229013706025414e-05, 'beta_0': 0.8922415630508302, 'beta_1': 0.9972964777306045, 'epsilon': 1.547440461516902e-08, 'balanced_loss': True, 'epochs': 53, 'early_stopping_patience': 22, 'plateau_patience': 21, 'plateau_divider': 6}. Best is trial 83 with value: 0.948570623104103.
