[I 2025-03-28 11:18:20,658] Using an existing study with name 'R8-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation-No_Ablation-1.0-0.75' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (639 > 512). Running this sequence through the model will result in indexing errors
[I 2025-03-28 11:29:15,306] Trial 113 finished with value: 0.9217071010776448 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6828776103158056, 'batch_size': 155, 'attention_heads': 4, 'hidden_dimension': 123, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5881150023482613, 'global_pooling': 'max', 'learning_rate': 0.00020053180318885909, 'weight_decay': 1.0787625905977252e-05, 'beta_0': 0.8912365359592451, 'beta_1': 0.9880739302886352, 'epsilon': 4.0171759992115225e-07, 'balanced_loss': False, 'epochs': 85, 'early_stopping_patience': 23, 'plateau_patience': 25, 'plateau_divider': 6}. Best is trial 98 with value: 0.9324157246449043.
[I 2025-03-28 13:25:22,340] Trial 124 finished with value: 0.9223642888904005 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6643953295239803, 'batch_size': 164, 'attention_heads': 4, 'hidden_dimension': 163, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5564873182744935, 'global_pooling': 'max', 'learning_rate': 0.000597929304560675, 'weight_decay': 5.636006047230586e-05, 'beta_0': 0.8923967354558878, 'beta_1': 0.9878687044199159, 'epsilon': 5.089733874687741e-07, 'balanced_loss': False, 'epochs': 83, 'early_stopping_patience': 22, 'plateau_patience': 12, 'plateau_divider': 7}. Best is trial 116 with value: 0.9335342385509875.
[I 2025-03-28 13:35:19,216] Trial 125 finished with value: 0.9357645045063603 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6503249072914423, 'batch_size': 157, 'attention_heads': 4, 'hidden_dimension': 130, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5691629459986622, 'global_pooling': 'max', 'learning_rate': 0.0007264907765193537, 'weight_decay': 4.554761062463867e-05, 'beta_0': 0.894249439393439, 'beta_1': 0.9891725902710805, 'epsilon': 1.04634782989399e-06, 'balanced_loss': False, 'epochs': 73, 'early_stopping_patience': 23, 'plateau_patience': 12, 'plateau_divider': 8}. Best is trial 125 with value: 0.9357645045063603.
[I 2025-03-28 13:45:24,213] Trial 126 finished with value: 0.9248055449696645 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6593386952512965, 'batch_size': 160, 'attention_heads': 4, 'hidden_dimension': 154, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5655244501710673, 'global_pooling': 'max', 'learning_rate': 0.0004225248089058076, 'weight_decay': 4.757055373865665e-05, 'beta_0': 0.8945018471312121, 'beta_1': 0.9891309425290473, 'epsilon': 6.064484710771718e-07, 'balanced_loss': False, 'epochs': 73, 'early_stopping_patience': 23, 'plateau_patience': 12, 'plateau_divider': 8}. Best is trial 125 with value: 0.9357645045063603.
[I 2025-03-28 13:55:27,659] Trial 127 finished with value: 0.9253676345066373 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6513484722755214, 'batch_size': 155, 'attention_heads': 4, 'hidden_dimension': 144, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5759057963625607, 'global_pooling': 'max', 'learning_rate': 0.0010833721508606347, 'weight_decay': 4.420308933412844e-05, 'beta_0': 0.8882102099264777, 'beta_1': 0.989902603915402, 'epsilon': 7.831600194845972e-07, 'balanced_loss': False, 'epochs': 88, 'early_stopping_patience': 22, 'plateau_patience': 11, 'plateau_divider': 7}. Best is trial 125 with value: 0.9357645045063603.
[I 2025-03-28 14:05:22,701] Trial 128 finished with value: 0.9201772811513549 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6715079067335638, 'batch_size': 166, 'attention_heads': 4, 'hidden_dimension': 148, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5580644410798743, 'global_pooling': 'max', 'learning_rate': 0.0006954253144204909, 'weight_decay': 3.331983446929644e-05, 'beta_0': 0.8909986063462872, 'beta_1': 0.9874259138244377, 'epsilon': 1.1289161544008967e-06, 'balanced_loss': False, 'epochs': 75, 'early_stopping_patience': 23, 'plateau_patience': 13, 'plateau_divider': 9}. Best is trial 125 with value: 0.9357645045063603.
[I 2025-03-28 14:15:00,024] Trial 129 finished with value: 0.9115501162814733 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.6614010253957398, 'batch_size': 150, 'attention_heads': 4, 'hidden_dimension': 130, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5683998388223989, 'global_pooling': 'max', 'learning_rate': 0.0005237860403375882, 'weight_decay': 1.7017395127254022e-05, 'beta_0': 0.8936600937429593, 'beta_1': 0.9882415086595274, 'epsilon': 3.583149037286784e-07, 'balanced_loss': True, 'epochs': 78, 'early_stopping_patience': 22, 'plateau_patience': 13, 'plateau_divider': 7}. Best is trial 125 with value: 0.9357645045063603.
[I 2025-03-28 14:24:44,604] Trial 130 finished with value: 0.9284423667856603 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6502138479790603, 'batch_size': 146, 'attention_heads': 4, 'hidden_dimension': 137, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5816789249815956, 'global_pooling': 'max', 'learning_rate': 0.0008062557638284897, 'weight_decay': 3.8361361669805115e-05, 'beta_0': 0.8961401190444197, 'beta_1': 0.9887974530595295, 'epsilon': 5.677472009365174e-07, 'balanced_loss': False, 'epochs': 91, 'early_stopping_patience': 23, 'plateau_patience': 11, 'plateau_divider': 8}. Best is trial 125 with value: 0.9357645045063603.
[I 2025-03-28 14:34:02,966] Trial 131 finished with value: 0.9258370648894508 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6505610543410743, 'batch_size': 159, 'attention_heads': 5, 'hidden_dimension': 138, 'number_of_hidden_layers': 1, 'dropout_rate': 0.583839429371315, 'global_pooling': 'max', 'learning_rate': 0.0007770539350455433, 'weight_decay': 4.779391191703889e-05, 'beta_0': 0.8958182078543758, 'beta_1': 0.9893068971717958, 'epsilon': 2.706148003022822e-07, 'balanced_loss': False, 'epochs': 93, 'early_stopping_patience': 23, 'plateau_patience': 10, 'plateau_divider': 8}. Best is trial 125 with value: 0.9357645045063603.
The selected strides are greater or equal to the total chunk size.
[I 2025-03-28 14:34:04,531] Trial 132 finished with value: -1.0 and parameters: {'left_stride': 256, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6646209788612117, 'batch_size': 168, 'attention_heads': 5, 'hidden_dimension': 156, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5744927401598477, 'global_pooling': 'max', 'learning_rate': 0.0006572149189989193, 'weight_decay': 2.5694559320482682e-05, 'beta_0': 0.8999328015406919, 'beta_1': 0.9888533369375575, 'epsilon': 7.962612667959622e-07, 'balanced_loss': False, 'epochs': 81, 'early_stopping_patience': 23, 'plateau_patience': 11, 'plateau_divider': 8}. Best is trial 125 with value: 0.9357645045063603.
[I 2025-03-28 14:43:24,520] Trial 133 finished with value: 0.9295901800914694 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6577945385853393, 'batch_size': 147, 'attention_heads': 4, 'hidden_dimension': 125, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5982611548111328, 'global_pooling': 'max', 'learning_rate': 0.0010203621478185104, 'weight_decay': 4.0809383260109225e-05, 'beta_0': 0.8915649103688238, 'beta_1': 0.9868570188870598, 'epsilon': 5.388613653901628e-07, 'balanced_loss': False, 'epochs': 86, 'early_stopping_patience': 23, 'plateau_patience': 11, 'plateau_divider': 10}. Best is trial 125 with value: 0.9357645045063603.
[I 2025-03-28 14:51:53,072] Trial 134 finished with value: 0.9288714628781876 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6604192164910115, 'batch_size': 153, 'attention_heads': 4, 'hidden_dimension': 123, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5950834233202893, 'global_pooling': 'max', 'learning_rate': 0.0012633239628688936, 'weight_decay': 4.1961802839781465e-05, 'beta_0': 0.8935950524161388, 'beta_1': 0.9870890838020522, 'epsilon': 4.3871800324750574e-07, 'balanced_loss': False, 'epochs': 90, 'early_stopping_patience': 24, 'plateau_patience': 11, 'plateau_divider': 10}. Best is trial 125 with value: 0.9357645045063603.
[I 2025-03-28 15:03:08,124] Trial 135 finished with value: 0.9327226135263585 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6709253331765644, 'batch_size': 153, 'attention_heads': 4, 'hidden_dimension': 126, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5931816185636108, 'global_pooling': 'max', 'learning_rate': 0.0013675092882502982, 'weight_decay': 4.078738543031396e-05, 'beta_0': 0.8834559334501318, 'beta_1': 0.9870284093404096, 'epsilon': 4.248396590652174e-07, 'balanced_loss': False, 'epochs': 83, 'early_stopping_patience': 22, 'plateau_patience': 11, 'plateau_divider': 10}. Best is trial 125 with value: 0.9357645045063603.
[I 2025-03-28 15:11:20,733] Trial 136 finished with value: 0.9181979704721703 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6553043293678698, 'batch_size': 154, 'attention_heads': 4, 'hidden_dimension': 127, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5996604386894087, 'global_pooling': 'max', 'learning_rate': 0.0010635792606505598, 'weight_decay': 3.976726609957916e-05, 'beta_0': 0.8835503530567962, 'beta_1': 0.9867958682261306, 'epsilon': 4.4720781281414705e-07, 'balanced_loss': False, 'epochs': 83, 'early_stopping_patience': 22, 'plateau_patience': 11, 'plateau_divider': 10}. Best is trial 125 with value: 0.9357645045063603.
[I 2025-03-28 15:20:24,015] Trial 137 finished with value: 0.9317731456973248 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6651546549559839, 'batch_size': 144, 'attention_heads': 4, 'hidden_dimension': 135, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5806684175232175, 'global_pooling': 'max', 'learning_rate': 0.0013495250515375059, 'weight_decay': 5.215172079061006e-05, 'beta_0': 0.886750366220255, 'beta_1': 0.9869558009489855, 'epsilon': 3.2784078028148453e-07, 'balanced_loss': False, 'epochs': 70, 'early_stopping_patience': 22, 'plateau_patience': 11, 'plateau_divider': 10}. Best is trial 125 with value: 0.9357645045063603.
[I 2025-03-28 15:29:04,916] Trial 138 finished with value: 0.9132270727992442 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.66745644612054, 'batch_size': 146, 'attention_heads': 4, 'hidden_dimension': 136, 'number_of_hidden_layers': 1, 'dropout_rate': 0.590377734777274, 'global_pooling': 'max', 'learning_rate': 0.0013552853861202264, 'weight_decay': 5.1782515478830566e-05, 'beta_0': 0.8866486641666843, 'beta_1': 0.9870968686551393, 'epsilon': 3.9252558888793883e-07, 'balanced_loss': False, 'epochs': 79, 'early_stopping_patience': 22, 'plateau_patience': 11, 'plateau_divider': 10}. Best is trial 125 with value: 0.9357645045063603.
[I 2025-03-28 15:39:03,974] Trial 139 finished with value: 0.9249911195208717 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6724971418836301, 'batch_size': 153, 'attention_heads': 4, 'hidden_dimension': 135, 'number_of_hidden_layers': 1, 'dropout_rate': 0.582914042961285, 'global_pooling': 'max', 'learning_rate': 0.0015938308780779975, 'weight_decay': 4.134626151253154e-05, 'beta_0': 0.8896149087770527, 'beta_1': 0.9860515092776884, 'epsilon': 3.0018735414634366e-07, 'balanced_loss': False, 'epochs': 72, 'early_stopping_patience': 22, 'plateau_patience': 10, 'plateau_divider': 10}. Best is trial 125 with value: 0.9357645045063603.
[I 2025-03-28 15:49:42,194] Trial 140 finished with value: 0.9338916605718394 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6620403109962197, 'batch_size': 163, 'attention_heads': 4, 'hidden_dimension': 124, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5801252161269561, 'global_pooling': 'max', 'learning_rate': 0.0012442013612171696, 'weight_decay': 8.056929365534568e-05, 'beta_0': 0.8166456350614111, 'beta_1': 0.9868880192946848, 'epsilon': 5.194729732875963e-07, 'balanced_loss': False, 'epochs': 75, 'early_stopping_patience': 22, 'plateau_patience': 12, 'plateau_divider': 10}. Best is trial 125 with value: 0.9357645045063603.
[I 2025-03-28 15:58:06,780] Trial 141 finished with value: 0.9128542713346748 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.661200462990779, 'batch_size': 163, 'attention_heads': 4, 'hidden_dimension': 124, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5988645012412813, 'global_pooling': 'max', 'learning_rate': 0.0012880736699699285, 'weight_decay': 7.809186043320812e-05, 'beta_0': 0.8820241632368974, 'beta_1': 0.9867272692279752, 'epsilon': 4.571798152168069e-07, 'balanced_loss': False, 'epochs': 66, 'early_stopping_patience': 21, 'plateau_patience': 12, 'plateau_divider': 10}. Best is trial 125 with value: 0.9357645045063603.
[I 2025-03-28 16:05:33,214] Trial 142 finished with value: 0.9167007742735928 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6750029733812646, 'batch_size': 158, 'attention_heads': 4, 'hidden_dimension': 124, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5767880817538558, 'global_pooling': 'max', 'learning_rate': 0.0017715047213778398, 'weight_decay': 5.749008717187663e-05, 'beta_0': 0.8845974373001197, 'beta_1': 0.986239175450596, 'epsilon': 6.787806212620453e-07, 'balanced_loss': False, 'epochs': 75, 'early_stopping_patience': 22, 'plateau_patience': 13, 'plateau_divider': 9}. Best is trial 125 with value: 0.9357645045063603.
[I 2025-03-28 16:15:51,364] Trial 143 finished with value: 0.9227335741340241 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6567903536653714, 'batch_size': 141, 'attention_heads': 4, 'hidden_dimension': 140, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5808240389246271, 'global_pooling': 'max', 'learning_rate': 0.0008803726948326538, 'weight_decay': 3.206124789941019e-05, 'beta_0': 0.8930303037603836, 'beta_1': 0.9874338177413376, 'epsilon': 5.465642821475465e-07, 'balanced_loss': False, 'epochs': 85, 'early_stopping_patience': 23, 'plateau_patience': 11, 'plateau_divider': 10}. Best is trial 125 with value: 0.9357645045063603.
CUDA out of memory. Tried to allocate 3.02 GiB. GPU 0 has a total capacity of 44.56 GiB of which 2.37 GiB is free. Including non-PyTorch memory, this process has 42.19 GiB memory in use. Of the allocated memory 38.04 GiB is allocated by PyTorch, and 2.99 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-03-28 16:20:42,246] Trial 144 finished with value: -1.0 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6658349091681692, 'batch_size': 151, 'attention_heads': 14, 'hidden_dimension': 121, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5883837468300108, 'global_pooling': 'max', 'learning_rate': 0.0010934661454563368, 'weight_decay': 6.878600200788896e-05, 'beta_0': 0.8383165309359527, 'beta_1': 0.9870444377040907, 'epsilon': 2.9744126888825417e-07, 'balanced_loss': False, 'epochs': 88, 'early_stopping_patience': 21, 'plateau_patience': 12, 'plateau_divider': 10}. Best is trial 125 with value: 0.9357645045063603.
[I 2025-03-28 16:29:40,726] Trial 145 finished with value: 0.9106744207600548 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.650525389566194, 'batch_size': 169, 'attention_heads': 4, 'hidden_dimension': 131, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5698053959179353, 'global_pooling': 'max', 'learning_rate': 0.0013413850648760846, 'weight_decay': 9.910882457661628e-05, 'beta_0': 0.8038119630549732, 'beta_1': 0.9876152375911521, 'epsilon': 3.7823452986654576e-07, 'balanced_loss': False, 'epochs': 81, 'early_stopping_patience': 23, 'plateau_patience': 11, 'plateau_divider': 10}. Best is trial 125 with value: 0.9357645045063603.
[I 2025-03-28 16:39:31,995] Trial 146 finished with value: 0.9255404835648506 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6629919807231951, 'batch_size': 144, 'attention_heads': 5, 'hidden_dimension': 144, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5625416562271367, 'global_pooling': 'max', 'learning_rate': 0.0008112393200752231, 'weight_decay': 8.528387560862749e-05, 'beta_0': 0.887228033735338, 'beta_1': 0.9884336132298068, 'epsilon': 9.439421591626957e-07, 'balanced_loss': False, 'epochs': 77, 'early_stopping_patience': 22, 'plateau_patience': 10, 'plateau_divider': 9}. Best is trial 125 with value: 0.9357645045063603.
[I 2025-03-28 16:49:39,594] Trial 147 finished with value: 0.9109349688743135 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6739110187292662, 'batch_size': 175, 'attention_heads': 4, 'hidden_dimension': 127, 'number_of_hidden_layers': 1, 'dropout_rate': 0.588205332129906, 'global_pooling': 'max', 'learning_rate': 0.0009720455704197601, 'weight_decay': 4.9968358346251015e-05, 'beta_0': 0.82795212418618, 'beta_1': 0.9869109604163872, 'epsilon': 2.3241816904724963e-07, 'balanced_loss': False, 'epochs': 69, 'early_stopping_patience': 23, 'plateau_patience': 12, 'plateau_divider': 10}. Best is trial 125 with value: 0.9357645045063603.
