[I 2025-03-22 05:40:11,405] Using an existing study with name 'R8-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation-Single_Unitary_Weight-0.0-0.0' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (639 > 512). Running this sequence through the model will result in indexing errors
[I 2025-03-22 05:55:57,339] Trial 115 finished with value: 0.9465796160581018 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8850777647200144, 'batch_size': 99, 'attention_heads': 14, 'hidden_dimension': 252, 'number_of_hidden_layers': 2, 'dropout_rate': 0.41388127302606703, 'global_pooling': 'mean', 'learning_rate': 0.0004255007010130252, 'weight_decay': 3.168159200808855e-06, 'beta_0': 0.8436952332126237, 'beta_1': 0.9880275429331227, 'epsilon': 4.066302055707653e-06, 'balanced_loss': True, 'epochs': 75, 'early_stopping_patience': 25, 'plateau_patience': 14, 'plateau_divider': 7}. Best is trial 75 with value: 0.961745033460728.
[I 2025-03-22 09:14:42,996] Trial 126 finished with value: 0.960679101850441 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8577925893768025, 'batch_size': 68, 'attention_heads': 11, 'hidden_dimension': 160, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5055306114607053, 'global_pooling': 'max', 'learning_rate': 0.00012554857454055287, 'weight_decay': 1.7931670351715835e-06, 'beta_0': 0.8045282753489599, 'beta_1': 0.9924919375685627, 'epsilon': 5.425122143978496e-06, 'balanced_loss': False, 'epochs': 188, 'early_stopping_patience': 23, 'plateau_patience': 14, 'plateau_divider': 10}. Best is trial 75 with value: 0.961745033460728.
[I 2025-03-22 09:26:39,194] Trial 127 finished with value: 0.7582756441051395 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9945422166463505, 'batch_size': 66, 'attention_heads': 12, 'hidden_dimension': 168, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5330273270769282, 'global_pooling': 'max', 'learning_rate': 8.169330155441453e-05, 'weight_decay': 2.664704759218565e-06, 'beta_0': 0.8048484420764428, 'beta_1': 0.9924463959892078, 'epsilon': 6.75217359203397e-06, 'balanced_loss': False, 'epochs': 181, 'early_stopping_patience': 24, 'plateau_patience': 14, 'plateau_divider': 10}. Best is trial 75 with value: 0.961745033460728.
[I 2025-03-22 09:40:43,247] Trial 128 finished with value: 0.9496843262312405 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8712213977201214, 'batch_size': 72, 'attention_heads': 10, 'hidden_dimension': 158, 'number_of_hidden_layers': 4, 'dropout_rate': 0.509045795988519, 'global_pooling': 'max', 'learning_rate': 0.0001556450944479082, 'weight_decay': 1.8732767147848956e-06, 'beta_0': 0.8075523623843789, 'beta_1': 0.9905403536682859, 'epsilon': 7.836540030185291e-06, 'balanced_loss': False, 'epochs': 181, 'early_stopping_patience': 22, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 75 with value: 0.961745033460728.
CUDA out of memory. Tried to allocate 2.09 GiB. GPU 0 has a total capacity of 44.56 GiB of which 306.69 MiB is free. Including non-PyTorch memory, this process has 44.25 GiB memory in use. Of the allocated memory 39.46 GiB is allocated by PyTorch, and 3.65 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-03-22 09:45:42,780] Trial 129 finished with value: -1.0 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.831516074913146, 'batch_size': 241, 'attention_heads': 11, 'hidden_dimension': 169, 'number_of_hidden_layers': 4, 'dropout_rate': 0.520068515472757, 'global_pooling': 'max', 'learning_rate': 0.00010958741588178271, 'weight_decay': 2.131356825702409e-06, 'beta_0': 0.8116686893227181, 'beta_1': 0.9917591524953927, 'epsilon': 2.76798470781693e-06, 'balanced_loss': False, 'epochs': 188, 'early_stopping_patience': 23, 'plateau_patience': 13, 'plateau_divider': 9}. Best is trial 75 with value: 0.961745033460728.
[I 2025-03-22 10:13:25,261] Trial 130 finished with value: 0.9560230014698339 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8556436181515349, 'batch_size': 62, 'attention_heads': 9, 'hidden_dimension': 235, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5839946276881878, 'global_pooling': 'max', 'learning_rate': 6.241472430956122e-05, 'weight_decay': 1.7658335087232773e-06, 'beta_0': 0.851635232568228, 'beta_1': 0.9922410468802046, 'epsilon': 7.073038205568242e-08, 'balanced_loss': False, 'epochs': 90, 'early_stopping_patience': 24, 'plateau_patience': 14, 'plateau_divider': 10}. Best is trial 75 with value: 0.961745033460728.
[I 2025-03-22 10:41:06,609] Trial 131 finished with value: 0.9527642314286398 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8523937666445461, 'batch_size': 62, 'attention_heads': 9, 'hidden_dimension': 228, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5858213483812842, 'global_pooling': 'max', 'learning_rate': 6.529840951383895e-05, 'weight_decay': 3.848682155701468e-05, 'beta_0': 0.8531314297540107, 'beta_1': 0.9921251169364195, 'epsilon': 9.423507965706547e-08, 'balanced_loss': True, 'epochs': 175, 'early_stopping_patience': 24, 'plateau_patience': 14, 'plateau_divider': 10}. Best is trial 75 with value: 0.961745033460728.
[I 2025-03-22 11:09:21,047] Trial 132 finished with value: 0.9488283152880074 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8416508930549813, 'batch_size': 49, 'attention_heads': 9, 'hidden_dimension': 220, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5716712062669179, 'global_pooling': 'max', 'learning_rate': 5.107356707961306e-05, 'weight_decay': 1.7225164009934585e-06, 'beta_0': 0.8571283085305007, 'beta_1': 0.9927454962669828, 'epsilon': 6.1480354306556e-08, 'balanced_loss': False, 'epochs': 79, 'early_stopping_patience': 25, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 75 with value: 0.961745033460728.
[I 2025-03-22 11:35:32,583] Trial 133 finished with value: 0.9601581511241792 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.7985602040228988, 'batch_size': 57, 'attention_heads': 11, 'hidden_dimension': 156, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5796946573983597, 'global_pooling': 'max', 'learning_rate': 7.189714721799598e-05, 'weight_decay': 1.2574591819080268e-06, 'beta_0': 0.8954138963359831, 'beta_1': 0.9824843143025285, 'epsilon': 1.9718463042668296e-08, 'balanced_loss': True, 'epochs': 185, 'early_stopping_patience': 24, 'plateau_patience': 14, 'plateau_divider': 10}. Best is trial 75 with value: 0.961745033460728.
[I 2025-03-22 11:58:12,727] Trial 134 finished with value: 0.9375740899649014 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.7968847243444338, 'batch_size': 57, 'attention_heads': 10, 'hidden_dimension': 163, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5833503090345803, 'global_pooling': 'sum', 'learning_rate': 8.596486115498577e-05, 'weight_decay': 1.3104852365260242e-06, 'beta_0': 0.8964463610658906, 'beta_1': 0.982602828571323, 'epsilon': 2.360607474649904e-08, 'balanced_loss': True, 'epochs': 185, 'early_stopping_patience': 24, 'plateau_patience': 14, 'plateau_divider': 10}. Best is trial 75 with value: 0.961745033460728.
[I 2025-03-22 12:27:51,684] Trial 135 finished with value: 0.9437901438683205 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8038817233235107, 'batch_size': 69, 'attention_heads': 11, 'hidden_dimension': 148, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5778693289456123, 'global_pooling': 'mean', 'learning_rate': 4.377251508053107e-05, 'weight_decay': 1.0519565313962067e-06, 'beta_0': 0.8915649103688238, 'beta_1': 0.9811191238578516, 'epsilon': 2.744539011103166e-08, 'balanced_loss': True, 'epochs': 196, 'early_stopping_patience': 25, 'plateau_patience': 14, 'plateau_divider': 10}. Best is trial 75 with value: 0.961745033460728.
[I 2025-03-22 12:53:47,958] Trial 136 finished with value: 0.9587331588837005 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8148566218706511, 'batch_size': 37, 'attention_heads': 11, 'hidden_dimension': 158, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5927977440944816, 'global_pooling': 'max', 'learning_rate': 6.858466668748955e-05, 'weight_decay': 1.2449035535308792e-06, 'beta_0': 0.8743981864222274, 'beta_1': 0.9836917384636614, 'epsilon': 1.3896007169019219e-08, 'balanced_loss': True, 'epochs': 188, 'early_stopping_patience': 24, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 75 with value: 0.961745033460728.
[I 2025-03-22 13:26:56,404] Trial 137 finished with value: 0.954879134814971 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8142019777741537, 'batch_size': 39, 'attention_heads': 11, 'hidden_dimension': 158, 'number_of_hidden_layers': 4, 'dropout_rate': 0.594464477670745, 'global_pooling': 'max', 'learning_rate': 3.64099606059474e-05, 'weight_decay': 1.2500271620763907e-06, 'beta_0': 0.8870517393164955, 'beta_1': 0.9830395226386153, 'epsilon': 1.210059063226615e-08, 'balanced_loss': True, 'epochs': 182, 'early_stopping_patience': 24, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 75 with value: 0.961745033460728.
[I 2025-03-22 13:42:45,616] Trial 138 finished with value: 0.9419245838950875 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.7915970387830158, 'batch_size': 36, 'attention_heads': 8, 'hidden_dimension': 154, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5741144156503883, 'global_pooling': 'max', 'learning_rate': 0.0001373346308456664, 'weight_decay': 1.481923857469759e-06, 'beta_0': 0.8771622024605735, 'beta_1': 0.9821715579253137, 'epsilon': 1.4762441870795995e-08, 'balanced_loss': True, 'epochs': 188, 'early_stopping_patience': 24, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 75 with value: 0.961745033460728.
[I 2025-03-22 14:13:15,086] Trial 139 finished with value: 0.9446474311195359 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8255310613080579, 'batch_size': 32, 'attention_heads': 11, 'hidden_dimension': 181, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5887958334367168, 'global_pooling': 'max', 'learning_rate': 5.9227305911542104e-05, 'weight_decay': 1.3960713395198592e-06, 'beta_0': 0.8829357515817182, 'beta_1': 0.9843268781405895, 'epsilon': 5.7348386791157535e-08, 'balanced_loss': True, 'epochs': 194, 'early_stopping_patience': 25, 'plateau_patience': 14, 'plateau_divider': 10}. Best is trial 75 with value: 0.961745033460728.
[I 2025-03-22 14:32:30,478] Trial 140 finished with value: 0.9507336954714014 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.7814859798721643, 'batch_size': 44, 'attention_heads': 8, 'hidden_dimension': 140, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5579255589779212, 'global_pooling': 'max', 'learning_rate': 9.314974264537578e-05, 'weight_decay': 1.0103864069447299e-06, 'beta_0': 0.8729407472102205, 'beta_1': 0.9838371478218328, 'epsilon': 1.9124691515546688e-08, 'balanced_loss': True, 'epochs': 178, 'early_stopping_patience': 24, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 75 with value: 0.961745033460728.
[I 2025-03-22 14:50:02,838] Trial 141 finished with value: 0.9474313737553833 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.810602968074741, 'batch_size': 131, 'attention_heads': 10, 'hidden_dimension': 166, 'number_of_hidden_layers': 4, 'dropout_rate': 0.566977289021113, 'global_pooling': 'max', 'learning_rate': 0.0002460443238069526, 'weight_decay': 1.1969361524151255e-06, 'beta_0': 0.8300595538529344, 'beta_1': 0.9806440091670113, 'epsilon': 3.781190634710583e-08, 'balanced_loss': True, 'epochs': 187, 'early_stopping_patience': 23, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 75 with value: 0.961745033460728.
[I 2025-03-22 15:17:59,145] Trial 142 finished with value: 0.9437172547813797 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8176862162229214, 'batch_size': 58, 'attention_heads': 12, 'hidden_dimension': 234, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5614179962379002, 'global_pooling': 'max', 'learning_rate': 7.344469162382127e-05, 'weight_decay': 1.6667520626664902e-06, 'beta_0': 0.8518563068599095, 'beta_1': 0.9834165944598924, 'epsilon': 1.907727771963514e-07, 'balanced_loss': True, 'epochs': 166, 'early_stopping_patience': 25, 'plateau_patience': 14, 'plateau_divider': 10}. Best is trial 75 with value: 0.961745033460728.
[I 2025-03-22 15:42:02,462] Trial 143 finished with value: 0.939346197726129 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.7738523957208235, 'batch_size': 64, 'attention_heads': 11, 'hidden_dimension': 148, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5832930834547149, 'global_pooling': 'max', 'learning_rate': 0.00018498996579671608, 'weight_decay': 1.9820027592866772e-06, 'beta_0': 0.8404920839550495, 'beta_1': 0.9816444365363294, 'epsilon': 1.6535184664013577e-08, 'balanced_loss': True, 'epochs': 190, 'early_stopping_patience': 24, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 75 with value: 0.961745033460728.
[I 2025-03-22 16:19:42,409] Trial 144 finished with value: 0.9354053336646047 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.8000989509806085, 'batch_size': 53, 'attention_heads': 7, 'hidden_dimension': 240, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5920198932068942, 'global_pooling': 'max', 'learning_rate': 3.092359748123529e-05, 'weight_decay': 1.5264396166023027e-06, 'beta_0': 0.8776443273947893, 'beta_1': 0.9931594514461414, 'epsilon': 1.213965801256414e-08, 'balanced_loss': True, 'epochs': 142, 'early_stopping_patience': 25, 'plateau_patience': 14, 'plateau_divider': 5}. Best is trial 75 with value: 0.961745033460728.
[I 2025-03-22 16:48:32,428] Trial 145 finished with value: 0.9453966043772652 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8341417002943411, 'batch_size': 60, 'attention_heads': 12, 'hidden_dimension': 174, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5788139413872093, 'global_pooling': 'max', 'learning_rate': 5.3276922279595545e-05, 'weight_decay': 0.0001983255502409713, 'beta_0': 0.8670008230454226, 'beta_1': 0.9924236953533412, 'epsilon': 1.328787965734512e-07, 'balanced_loss': True, 'epochs': 89, 'early_stopping_patience': 23, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 75 with value: 0.961745033460728.
[I 2025-03-22 17:09:58,879] Trial 146 finished with value: 0.951661876966793 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8551497098206271, 'batch_size': 47, 'attention_heads': 11, 'hidden_dimension': 155, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5472044172894134, 'global_pooling': 'max', 'learning_rate': 6.414321907407816e-05, 'weight_decay': 1.816990745105814e-06, 'beta_0': 0.8920673394910708, 'beta_1': 0.9824525245060872, 'epsilon': 5.4087239819719754e-06, 'balanced_loss': False, 'epochs': 86, 'early_stopping_patience': 19, 'plateau_patience': 16, 'plateau_divider': 9}. Best is trial 75 with value: 0.961745033460728.
[I 2025-03-22 17:26:01,124] Trial 147 finished with value: 0.9418170983453785 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8753279722855428, 'batch_size': 71, 'attention_heads': 13, 'hidden_dimension': 173, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4209629424669736, 'global_pooling': 'max', 'learning_rate': 7.685330941011731e-05, 'weight_decay': 2.3410821342368902e-06, 'beta_0': 0.8344293944851761, 'beta_1': 0.9909753320476228, 'epsilon': 4.222954847608964e-06, 'balanced_loss': False, 'epochs': 83, 'early_stopping_patience': 13, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 75 with value: 0.961745033460728.
[I 2025-03-22 17:35:19,264] Trial 148 finished with value: 0.9484665027198391 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8470150664602879, 'batch_size': 51, 'attention_heads': 9, 'hidden_dimension': 144, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5552843866148601, 'global_pooling': 'max', 'learning_rate': 0.00011531338181199882, 'weight_decay': 1.2997339131528822e-06, 'beta_0': 0.8971007526712838, 'beta_1': 0.9919157443473796, 'epsilon': 4.828454705482197e-07, 'balanced_loss': False, 'epochs': 91, 'early_stopping_patience': 14, 'plateau_patience': 16, 'plateau_divider': 9}. Best is trial 75 with value: 0.961745033460728.
slurmstepd: error: *** JOB 15449462 ON gpu054 CANCELLED AT 2025-03-22T17:40:22 DUE TO TIME LIMIT ***
