[I 2025-03-28 19:53:26,081] Using an existing study with name 'R8-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation-No_Ablation-1.0-0.25' instead of creating a new one.
The selected strides are greater or equal to the total chunk size.
[I 2025-03-28 19:53:27,077] Trial 139 finished with value: -1.0 and parameters: {'left_stride': 256, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.7990021578109946, 'batch_size': 38, 'attention_heads': 5, 'hidden_dimension': 129, 'number_of_hidden_layers': 2, 'dropout_rate': 0.49884054429170144, 'global_pooling': 'mean', 'learning_rate': 0.0015631002456989547, 'weight_decay': 1.9964715753745763e-05, 'beta_0': 0.8700692367995946, 'beta_1': 0.9861867996806907, 'epsilon': 2.870196664926035e-08, 'balanced_loss': False, 'epochs': 64, 'early_stopping_patience': 20, 'plateau_patience': 18, 'plateau_divider': 8}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 21:00:55,471] Trial 149 finished with value: 0.9337650812822098 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8132138340266192, 'batch_size': 62, 'attention_heads': 4, 'hidden_dimension': 102, 'number_of_hidden_layers': 2, 'dropout_rate': 0.38170226256929896, 'global_pooling': 'mean', 'learning_rate': 0.0009559675380744329, 'weight_decay': 1.2641424909759714e-05, 'beta_0': 0.8704981222420003, 'beta_1': 0.9877069948989705, 'epsilon': 6.828032892317145e-07, 'balanced_loss': False, 'epochs': 62, 'early_stopping_patience': 17, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 21:08:46,513] Trial 150 finished with value: 0.9218803119003425 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.7516960712089402, 'batch_size': 76, 'attention_heads': 5, 'hidden_dimension': 146, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4085604344131916, 'global_pooling': 'mean', 'learning_rate': 0.00044375249126608614, 'weight_decay': 5.616445881009948e-05, 'beta_0': 0.8968960294888136, 'beta_1': 0.9865255328611617, 'epsilon': 5.094691196251056e-08, 'balanced_loss': False, 'epochs': 94, 'early_stopping_patience': 18, 'plateau_patience': 24, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 21:15:51,564] Trial 151 finished with value: 0.935324349822906 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8363658533922504, 'batch_size': 48, 'attention_heads': 6, 'hidden_dimension': 108, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5246582003811776, 'global_pooling': 'mean', 'learning_rate': 0.0008334802859666473, 'weight_decay': 1.051808448003256e-05, 'beta_0': 0.8116399181797826, 'beta_1': 0.9850308943596214, 'epsilon': 7.113343046224731e-08, 'balanced_loss': False, 'epochs': 77, 'early_stopping_patience': 21, 'plateau_patience': 25, 'plateau_divider': 8}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 21:23:00,162] Trial 152 finished with value: 0.9199230573908088 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.734896113487344, 'batch_size': 88, 'attention_heads': 6, 'hidden_dimension': 89, 'number_of_hidden_layers': 2, 'dropout_rate': 0.397486541651228, 'global_pooling': 'mean', 'learning_rate': 0.00023653514366524348, 'weight_decay': 2.6743621831845474e-05, 'beta_0': 0.8934906417884704, 'beta_1': 0.9827057643061062, 'epsilon': 2.1862107021476377e-08, 'balanced_loss': True, 'epochs': 67, 'early_stopping_patience': 16, 'plateau_patience': 23, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 21:35:13,910] Trial 153 finished with value: 0.9276035385129837 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.7989262314523868, 'batch_size': 56, 'attention_heads': 7, 'hidden_dimension': 250, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4942810996793264, 'global_pooling': 'mean', 'learning_rate': 0.0017697508243941916, 'weight_decay': 2.232779050402415e-05, 'beta_0': 0.8855580229063253, 'beta_1': 0.99293679551302, 'epsilon': 3.5245802340895444e-08, 'balanced_loss': False, 'epochs': 109, 'early_stopping_patience': 17, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 21:41:54,971] Trial 154 finished with value: 0.940363323611171 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8199645744150558, 'batch_size': 83, 'attention_heads': 5, 'hidden_dimension': 115, 'number_of_hidden_layers': 2, 'dropout_rate': 0.493263286792164, 'global_pooling': 'mean', 'learning_rate': 0.0011764986474047969, 'weight_decay': 1.4536613551600955e-05, 'beta_0': 0.8831054040395626, 'beta_1': 0.9866637633583295, 'epsilon': 2.4453750431816793e-08, 'balanced_loss': False, 'epochs': 81, 'early_stopping_patience': 19, 'plateau_patience': 24, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 21:48:48,186] Trial 155 finished with value: 0.9178222619372608 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.821051497992911, 'batch_size': 85, 'attention_heads': 5, 'hidden_dimension': 120, 'number_of_hidden_layers': 2, 'dropout_rate': 0.49178699388744174, 'global_pooling': 'mean', 'learning_rate': 0.0012065932940226844, 'weight_decay': 1.5073187472489113e-05, 'beta_0': 0.8821539589220583, 'beta_1': 0.9868918801104805, 'epsilon': 2.7242631553163402e-08, 'balanced_loss': False, 'epochs': 87, 'early_stopping_patience': 19, 'plateau_patience': 24, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 21:55:54,480] Trial 156 finished with value: 0.9346841461268506 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8054579257950666, 'batch_size': 69, 'attention_heads': 4, 'hidden_dimension': 116, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4745511937002404, 'global_pooling': 'mean', 'learning_rate': 0.001465785464581901, 'weight_decay': 1.3867876057148265e-05, 'beta_0': 0.8292094013741, 'beta_1': 0.9872921006799994, 'epsilon': 1.71556051340865e-08, 'balanced_loss': False, 'epochs': 80, 'early_stopping_patience': 20, 'plateau_patience': 24, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 22:02:42,201] Trial 157 finished with value: 0.9373840993640824 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8311051572417679, 'batch_size': 81, 'attention_heads': 5, 'hidden_dimension': 112, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5045987269315262, 'global_pooling': 'mean', 'learning_rate': 0.0011663337401714381, 'weight_decay': 1.724933168139787e-05, 'beta_0': 0.8767406395642583, 'beta_1': 0.9862644152603555, 'epsilon': 4.103473312605151e-08, 'balanced_loss': False, 'epochs': 71, 'early_stopping_patience': 20, 'plateau_patience': 24, 'plateau_divider': 9}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 22:09:29,034] Trial 158 finished with value: 0.9170468807287684 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8495457446083612, 'batch_size': 75, 'attention_heads': 6, 'hidden_dimension': 99, 'number_of_hidden_layers': 2, 'dropout_rate': 0.32841685067579807, 'global_pooling': 'mean', 'learning_rate': 0.00014396431440817965, 'weight_decay': 1.1933981301136595e-05, 'beta_0': 0.8906371134421541, 'beta_1': 0.9855988934530612, 'epsilon': 3.036520922001082e-08, 'balanced_loss': False, 'epochs': 82, 'early_stopping_patience': 18, 'plateau_patience': 23, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 22:15:51,745] Trial 159 finished with value: 0.9423357525281353 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.77625149731812, 'batch_size': 93, 'attention_heads': 4, 'hidden_dimension': 76, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4855480327922262, 'global_pooling': 'max', 'learning_rate': 0.0008088195030052254, 'weight_decay': 1.985553301256865e-05, 'beta_0': 0.8845023233377132, 'beta_1': 0.9881983657258825, 'epsilon': 2.2826123731373525e-08, 'balanced_loss': False, 'epochs': 74, 'early_stopping_patience': 19, 'plateau_patience': 25, 'plateau_divider': 6}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 22:22:23,576] Trial 160 finished with value: 0.932625573199854 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.7758420367285349, 'batch_size': 96, 'attention_heads': 4, 'hidden_dimension': 73, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5158745390480713, 'global_pooling': 'max', 'learning_rate': 0.0005500288029188096, 'weight_decay': 1.917813350007786e-05, 'beta_0': 0.8842339037850134, 'beta_1': 0.9881976422583372, 'epsilon': 5.754021048297526e-08, 'balanced_loss': False, 'epochs': 75, 'early_stopping_patience': 17, 'plateau_patience': 22, 'plateau_divider': 6}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 22:29:15,651] Trial 161 finished with value: 0.9386250929009452 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8142939590196806, 'batch_size': 102, 'attention_heads': 4, 'hidden_dimension': 82, 'number_of_hidden_layers': 2, 'dropout_rate': 0.48629878527426457, 'global_pooling': 'max', 'learning_rate': 0.0003452904018962101, 'weight_decay': 9.916320198911884e-06, 'beta_0': 0.8864347226380345, 'beta_1': 0.987905646167688, 'epsilon': 2.0637904177432146e-08, 'balanced_loss': False, 'epochs': 66, 'early_stopping_patience': 19, 'plateau_patience': 25, 'plateau_divider': 6}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 22:35:53,230] Trial 162 finished with value: 0.9351327655221383 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.7878351178765135, 'batch_size': 107, 'attention_heads': 4, 'hidden_dimension': 78, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5000388063517268, 'global_pooling': 'max', 'learning_rate': 0.0007320740659534953, 'weight_decay': 1.5704402348669505e-05, 'beta_0': 0.8436324581659416, 'beta_1': 0.9810471865786494, 'epsilon': 1.4762441870795995e-08, 'balanced_loss': False, 'epochs': 60, 'early_stopping_patience': 18, 'plateau_patience': 23, 'plateau_divider': 5}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 22:42:24,900] Trial 163 finished with value: 0.9302981722650281 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8264296245439372, 'batch_size': 90, 'attention_heads': 4, 'hidden_dimension': 95, 'number_of_hidden_layers': 2, 'dropout_rate': 0.49566197758775427, 'global_pooling': 'max', 'learning_rate': 0.002023305542657984, 'weight_decay': 2.125859702442433e-05, 'beta_0': 0.888272341833323, 'beta_1': 0.9885650302783685, 'epsilon': 4.8719043206201657e-05, 'balanced_loss': False, 'epochs': 63, 'early_stopping_patience': 22, 'plateau_patience': 22, 'plateau_divider': 6}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 22:48:43,245] Trial 164 finished with value: 0.9368407932921616 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.7959929006712462, 'batch_size': 80, 'attention_heads': 5, 'hidden_dimension': 58, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4800301503010937, 'global_pooling': 'max', 'learning_rate': 0.0010173678816239747, 'weight_decay': 2.5243088990798907e-05, 'beta_0': 0.8793212006234357, 'beta_1': 0.9867531334528523, 'epsilon': 2.7870862658540387e-08, 'balanced_loss': False, 'epochs': 78, 'early_stopping_patience': 19, 'plateau_patience': 25, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 22:59:10,088] Trial 165 finished with value: 0.9323084503967106 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.7660404523331735, 'batch_size': 86, 'attention_heads': 13, 'hidden_dimension': 104, 'number_of_hidden_layers': 2, 'dropout_rate': 0.48406616344167297, 'global_pooling': 'mean', 'learning_rate': 0.0013655729613259871, 'weight_decay': 1.7945445683917603e-05, 'beta_0': 0.8831578898105358, 'beta_1': 0.9874922282892542, 'epsilon': 2.2644764258664502e-08, 'balanced_loss': False, 'epochs': 71, 'early_stopping_patience': 18, 'plateau_patience': 25, 'plateau_divider': 6}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 23:05:43,802] Trial 166 finished with value: 0.9235858418065868 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8074562617617942, 'batch_size': 72, 'attention_heads': 5, 'hidden_dimension': 89, 'number_of_hidden_layers': 2, 'dropout_rate': 0.539843497568696, 'global_pooling': 'mean', 'learning_rate': 0.0007944417284768814, 'weight_decay': 1.4567058682479196e-05, 'beta_0': 0.8812886196528652, 'beta_1': 0.9860772493457381, 'epsilon': 3.471467418351687e-08, 'balanced_loss': False, 'epochs': 84, 'early_stopping_patience': 19, 'plateau_patience': 24, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 23:11:58,364] Trial 167 finished with value: 0.9299320234088826 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7947665574640401, 'batch_size': 82, 'attention_heads': 5, 'hidden_dimension': 69, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5884039649668332, 'global_pooling': 'mean', 'learning_rate': 0.0009686365784507046, 'weight_decay': 1.1357199687340205e-05, 'beta_0': 0.8415900521060743, 'beta_1': 0.9983681954292715, 'epsilon': 4.495565259057767e-08, 'balanced_loss': False, 'epochs': 190, 'early_stopping_patience': 17, 'plateau_patience': 25, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 23:21:24,633] Trial 168 finished with value: 0.9441014402004587 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.7323077882472857, 'batch_size': 93, 'attention_heads': 9, 'hidden_dimension': 85, 'number_of_hidden_layers': 2, 'dropout_rate': 0.49119807892656303, 'global_pooling': 'mean', 'learning_rate': 0.0016003985283871548, 'weight_decay': 3.0282695552984366e-05, 'beta_0': 0.8751102015799798, 'beta_1': 0.9864820325243828, 'epsilon': 2.4867575909979464e-08, 'balanced_loss': False, 'epochs': 74, 'early_stopping_patience': 20, 'plateau_patience': 24, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 23:31:33,399] Trial 169 finished with value: 0.9340958560923172 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.7096020617501438, 'batch_size': 97, 'attention_heads': 10, 'hidden_dimension': 85, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5133451753166748, 'global_pooling': 'mean', 'learning_rate': 0.0016151556125449517, 'weight_decay': 3.70484275080743e-05, 'beta_0': 0.8750991489107057, 'beta_1': 0.9866413095924043, 'epsilon': 1.2091310280230207e-08, 'balanced_loss': False, 'epochs': 74, 'early_stopping_patience': 20, 'plateau_patience': 24, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 23:39:38,154] Trial 170 finished with value: 0.9189758456389638 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.7320326097457264, 'batch_size': 92, 'attention_heads': 9, 'hidden_dimension': 76, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4924507175659193, 'global_pooling': 'mean', 'learning_rate': 0.002708961972118913, 'weight_decay': 1.291144444773935e-05, 'beta_0': 0.8383165309359527, 'beta_1': 0.9869820262825122, 'epsilon': 1.82391830426006e-08, 'balanced_loss': False, 'epochs': 69, 'early_stopping_patience': 21, 'plateau_patience': 23, 'plateau_divider': 8}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 23:47:17,982] Trial 171 finished with value: 0.9257514133550182 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.7472846823315892, 'batch_size': 90, 'attention_heads': 5, 'hidden_dimension': 92, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3709480453650469, 'global_pooling': 'mean', 'learning_rate': 0.0018886872819057936, 'weight_decay': 2.2229838764697285e-05, 'beta_0': 0.885066400978012, 'beta_1': 0.9988727562240433, 'epsilon': 8.518228818517948e-07, 'balanced_loss': False, 'epochs': 57, 'early_stopping_patience': 21, 'plateau_patience': 23, 'plateau_divider': 6}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 23:55:06,473] Trial 172 finished with value: 0.9169448746348933 and parameters: {'left_stride': 256, 'right_stride': 0, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.7286749560329316, 'batch_size': 100, 'attention_heads': 9, 'hidden_dimension': 63, 'number_of_hidden_layers': 2, 'dropout_rate': 0.30006017420528774, 'global_pooling': 'sum', 'learning_rate': 0.000646223795852545, 'weight_decay': 7.853606253014798e-06, 'beta_0': 0.8950299886437538, 'beta_1': 0.9879953776877536, 'epsilon': 2.4231004455692067e-08, 'balanced_loss': False, 'epochs': 66, 'early_stopping_patience': 20, 'plateau_patience': 10, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 00:03:50,024] Trial 173 finished with value: 0.9314468641531969 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.7197571515141037, 'batch_size': 85, 'attention_heads': 12, 'hidden_dimension': 81, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4140742332392976, 'global_pooling': 'mean', 'learning_rate': 0.001357783402704555, 'weight_decay': 2.7893387781951063e-05, 'beta_0': 0.8789782579873577, 'beta_1': 0.9872012529861679, 'epsilon': 3.720372683393709e-08, 'balanced_loss': False, 'epochs': 73, 'early_stopping_patience': 17, 'plateau_patience': 24, 'plateau_divider': 6}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 00:11:21,721] Trial 174 finished with value: 0.9250533373884671 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.7398495127971844, 'batch_size': 78, 'attention_heads': 6, 'hidden_dimension': 109, 'number_of_hidden_layers': 2, 'dropout_rate': 0.47791085043817594, 'global_pooling': 'mean', 'learning_rate': 0.0010975840923279085, 'weight_decay': 3.228175474296034e-05, 'beta_0': 0.8624905183323504, 'beta_1': 0.9864149480043264, 'epsilon': 2.7031901689157664e-08, 'balanced_loss': False, 'epochs': 77, 'early_stopping_patience': 19, 'plateau_patience': 24, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
