[I 2025-02-20 05:36:23,417] Using an existing study with name 'R8-GATv2-google-bert-bert-base-uncased-Surrogate-No_Aggregation-Unitary_Weights-0.0-0.0' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (639 > 512). Running this sequence through the model will result in indexing errors
[I 2025-02-20 05:48:12,205] Trial 136 finished with value: 0.9387419661137021 and parameters: {'left_stride': 256, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.864388817966036, 'batch_size': 49, 'attention_heads': 5, 'hidden_dimension': 42, 'number_of_hidden_layers': 4, 'dropout_rate': 0.38677044013889006, 'global_pooling': 'max', 'learning_rate': 0.0008719768473927641, 'weight_decay': 2.4380003254969343e-05, 'beta_0': 0.8672099932947285, 'beta_1': 0.9944091944342683, 'epsilon': 3.15288734158203e-05, 'balanced_loss': False, 'epochs': 179, 'early_stopping_patience': 24, 'plateau_patience': 12, 'plateau_divider': 6}. Best is trial 22 with value: 0.9581019307014222.
[I 2025-02-20 09:40:23,547] Trial 155 finished with value: 0.948071838838901 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8347293622925654, 'batch_size': 55, 'attention_heads': 4, 'hidden_dimension': 60, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5115895219340655, 'global_pooling': 'max', 'learning_rate': 0.000293463046029519, 'weight_decay': 9.359211409981226e-05, 'beta_0': 0.8917214058731755, 'beta_1': 0.9863510766717228, 'epsilon': 5.991635612475912e-05, 'balanced_loss': False, 'epochs': 50, 'early_stopping_patience': 23, 'plateau_patience': 10, 'plateau_divider': 5}. Best is trial 153 with value: 0.9619266520969999.
[I 2025-02-20 09:51:10,898] Trial 156 finished with value: 0.9367943598095685 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8158822552996858, 'batch_size': 62, 'attention_heads': 4, 'hidden_dimension': 69, 'number_of_hidden_layers': 2, 'dropout_rate': 0.39465157147200264, 'global_pooling': 'max', 'learning_rate': 0.00021056512313479293, 'weight_decay': 0.00014061358103627727, 'beta_0': 0.8836823397869166, 'beta_1': 0.9846434208920747, 'epsilon': 9.62912541076435e-05, 'balanced_loss': False, 'epochs': 53, 'early_stopping_patience': 23, 'plateau_patience': 11, 'plateau_divider': 5}. Best is trial 153 with value: 0.9619266520969999.
[I 2025-02-20 10:02:45,599] Trial 157 finished with value: 0.9511834967621325 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8399298671838422, 'batch_size': 48, 'attention_heads': 5, 'hidden_dimension': 53, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5035452607947128, 'global_pooling': 'max', 'learning_rate': 0.0001520221758125608, 'weight_decay': 0.00023795164416100148, 'beta_0': 0.8890271037879792, 'beta_1': 0.9878303311404025, 'epsilon': 1.2756370008717058e-06, 'balanced_loss': False, 'epochs': 56, 'early_stopping_patience': 23, 'plateau_patience': 12, 'plateau_divider': 5}. Best is trial 153 with value: 0.9619266520969999.
[I 2025-02-20 10:14:29,277] Trial 158 finished with value: 0.939954922814094 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8406759730155534, 'batch_size': 50, 'attention_heads': 4, 'hidden_dimension': 50, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5038580252334205, 'global_pooling': 'max', 'learning_rate': 0.00016311674927881986, 'weight_decay': 0.00019135262868803394, 'beta_0': 0.8863031889713464, 'beta_1': 0.988051713974532, 'epsilon': 1.4248723942784309e-06, 'balanced_loss': False, 'epochs': 63, 'early_stopping_patience': 24, 'plateau_patience': 12, 'plateau_divider': 5}. Best is trial 153 with value: 0.9619266520969999.
[I 2025-02-20 10:25:47,591] Trial 159 finished with value: 0.9299552690326103 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.811055276636529, 'batch_size': 44, 'attention_heads': 4, 'hidden_dimension': 45, 'number_of_hidden_layers': 2, 'dropout_rate': 0.48857211586452526, 'global_pooling': 'max', 'learning_rate': 7.066206315612173e-05, 'weight_decay': 7.820084544260601e-05, 'beta_0': 0.8895840274247709, 'beta_1': 0.9872524304063452, 'epsilon': 1.1391680640711103e-06, 'balanced_loss': False, 'epochs': 58, 'early_stopping_patience': 23, 'plateau_patience': 10, 'plateau_divider': 4}. Best is trial 153 with value: 0.9619266520969999.
[I 2025-02-20 10:37:43,939] Trial 160 finished with value: 0.9558908609206727 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8492113745518404, 'batch_size': 69, 'attention_heads': 5, 'hidden_dimension': 56, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5247460724853338, 'global_pooling': 'max', 'learning_rate': 0.0001511382626507887, 'weight_decay': 0.00011662150936975675, 'beta_0': 0.8924226282904055, 'beta_1': 0.986953373697353, 'epsilon': 7.58598863144709e-05, 'balanced_loss': False, 'epochs': 55, 'early_stopping_patience': 17, 'plateau_patience': 13, 'plateau_divider': 5}. Best is trial 153 with value: 0.9619266520969999.
[I 2025-02-20 10:50:52,027] Trial 161 finished with value: 0.9241547827477665 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8457685574642496, 'batch_size': 70, 'attention_heads': 5, 'hidden_dimension': 53, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5244331475514141, 'global_pooling': 'max', 'learning_rate': 7.975270775105055e-05, 'weight_decay': 0.0001314304732804561, 'beta_0': 0.8968383572514417, 'beta_1': 0.987878438195639, 'epsilon': 6.154807009003159e-07, 'balanced_loss': False, 'epochs': 56, 'early_stopping_patience': 17, 'plateau_patience': 13, 'plateau_divider': 5}. Best is trial 153 with value: 0.9619266520969999.
[I 2025-02-20 11:01:14,499] Trial 162 finished with value: 0.9465517711615286 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8524891460048777, 'batch_size': 47, 'attention_heads': 5, 'hidden_dimension': 36, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4963644048056483, 'global_pooling': 'max', 'learning_rate': 0.00016108147298261394, 'weight_decay': 6.664622212492308e-05, 'beta_0': 0.888311328398507, 'beta_1': 0.9862123747512078, 'epsilon': 1.9504665149365343e-06, 'balanced_loss': False, 'epochs': 61, 'early_stopping_patience': 23, 'plateau_patience': 13, 'plateau_divider': 5}. Best is trial 153 with value: 0.9619266520969999.
[I 2025-02-20 11:12:12,539] Trial 163 finished with value: 0.961167428881696 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8207703018834149, 'batch_size': 64, 'attention_heads': 5, 'hidden_dimension': 56, 'number_of_hidden_layers': 2, 'dropout_rate': 0.47414427763313305, 'global_pooling': 'max', 'learning_rate': 0.0002210639450320251, 'weight_decay': 0.00011603353434927052, 'beta_0': 0.8813169874484486, 'beta_1': 0.9885343483843546, 'epsilon': 7.643739203792076e-05, 'balanced_loss': False, 'epochs': 50, 'early_stopping_patience': 17, 'plateau_patience': 12, 'plateau_divider': 5}. Best is trial 153 with value: 0.9619266520969999.
[I 2025-02-20 11:24:16,301] Trial 164 finished with value: 0.9504446354298458 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8265813856532589, 'batch_size': 63, 'attention_heads': 5, 'hidden_dimension': 56, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5313487337750599, 'global_pooling': 'max', 'learning_rate': 0.00013008686429358935, 'weight_decay': 0.00011304362951991415, 'beta_0': 0.8930775562864604, 'beta_1': 0.988364212652996, 'epsilon': 7.658597627569408e-05, 'balanced_loss': False, 'epochs': 50, 'early_stopping_patience': 17, 'plateau_patience': 12, 'plateau_divider': 5}. Best is trial 153 with value: 0.9619266520969999.
[I 2025-02-20 11:34:52,410] Trial 165 finished with value: 0.9456126313995443 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8190635988825639, 'batch_size': 67, 'attention_heads': 4, 'hidden_dimension': 46, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4802812921997042, 'global_pooling': 'max', 'learning_rate': 0.00010534696158082156, 'weight_decay': 8.78017955987796e-05, 'beta_0': 0.8797682940899038, 'beta_1': 0.9867754680378185, 'epsilon': 7.190789089912291e-05, 'balanced_loss': False, 'epochs': 54, 'early_stopping_patience': 18, 'plateau_patience': 14, 'plateau_divider': 5}. Best is trial 153 with value: 0.9619266520969999.
[I 2025-02-20 11:45:20,590] Trial 166 finished with value: 0.9505512610434924 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8330597692189423, 'batch_size': 57, 'attention_heads': 5, 'hidden_dimension': 42, 'number_of_hidden_layers': 2, 'dropout_rate': 0.49727450713538085, 'global_pooling': 'max', 'learning_rate': 0.0002190275411291897, 'weight_decay': 0.00016224052172019845, 'beta_0': 0.8838034380811338, 'beta_1': 0.9883113696303579, 'epsilon': 9.606797303292651e-07, 'balanced_loss': False, 'epochs': 53, 'early_stopping_patience': 16, 'plateau_patience': 12, 'plateau_divider': 5}. Best is trial 153 with value: 0.9619266520969999.
[I 2025-02-20 11:57:25,874] Trial 167 finished with value: 0.9435951941748386 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8418306017734386, 'batch_size': 73, 'attention_heads': 6, 'hidden_dimension': 53, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5226651308877301, 'global_pooling': 'max', 'learning_rate': 0.00019810249869673028, 'weight_decay': 0.0001143109800206031, 'beta_0': 0.8851087270804947, 'beta_1': 0.9890667657395396, 'epsilon': 7.422827926239047e-07, 'balanced_loss': False, 'epochs': 57, 'early_stopping_patience': 18, 'plateau_patience': 13, 'plateau_divider': 5}. Best is trial 153 with value: 0.9619266520969999.
[I 2025-02-20 12:06:08,219] Trial 168 finished with value: 0.9284726408257611 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8055182679974573, 'batch_size': 61, 'attention_heads': 4, 'hidden_dimension': 32, 'number_of_hidden_layers': 2, 'dropout_rate': 0.46750939159632393, 'global_pooling': 'sum', 'learning_rate': 0.00025451727984454744, 'weight_decay': 9.899046801776784e-05, 'beta_0': 0.8925360992562107, 'beta_1': 0.9870533852362795, 'epsilon': 9.587349352955428e-05, 'balanced_loss': False, 'epochs': 50, 'early_stopping_patience': 17, 'plateau_patience': 14, 'plateau_divider': 5}. Best is trial 153 with value: 0.9619266520969999.
[I 2025-02-20 12:16:11,145] Trial 169 finished with value: 0.945009255355677 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.7948581647745575, 'batch_size': 52, 'attention_heads': 5, 'hidden_dimension': 37, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5095720615253855, 'global_pooling': 'max', 'learning_rate': 0.00032110207173564046, 'weight_decay': 0.0001392493211032721, 'beta_0': 0.8819135315918436, 'beta_1': 0.9882587752527741, 'epsilon': 4.979603706404429e-05, 'balanced_loss': False, 'epochs': 65, 'early_stopping_patience': 16, 'plateau_patience': 13, 'plateau_divider': 4}. Best is trial 153 with value: 0.9619266520969999.
