[I 2025-03-22 05:42:53,185] Using an existing study with name 'R8-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation-Unitary_Weights-0.0-0.0' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (639 > 512). Running this sequence through the model will result in indexing errors
[I 2025-03-22 06:12:02,392] Trial 120 finished with value: 0.9522853936881172 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7896292593521281, 'batch_size': 87, 'attention_heads': 7, 'hidden_dimension': 107, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5719145239938085, 'global_pooling': 'max', 'learning_rate': 4.0596113872034844e-05, 'weight_decay': 0.00027705564993565576, 'beta_0': 0.8974032790114312, 'beta_1': 0.9960533780683396, 'epsilon': 2.0761283505194564e-08, 'balanced_loss': False, 'epochs': 180, 'early_stopping_patience': 21, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 67 with value: 0.9633600775643115.
[I 2025-03-22 08:59:08,223] Trial 129 finished with value: -1.0 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7675114264791233, 'batch_size': 125, 'attention_heads': 7, 'hidden_dimension': 253, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5756807552737847, 'global_pooling': 'max', 'learning_rate': 2.765858446231482e-05, 'weight_decay': 2.6200387212668135e-05, 'beta_0': 0.8946738049747219, 'beta_1': 0.9934252686701177, 'epsilon': 1.7577082624257772e-08, 'balanced_loss': False, 'epochs': 80, 'early_stopping_patience': 23, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 67 with value: 0.9633600775643115.
[I 2025-03-22 09:10:01,799] Trial 130 finished with value: 0.10587246638571142 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7877674221657422, 'batch_size': 56, 'attention_heads': 7, 'hidden_dimension': 83, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5680233081087167, 'global_pooling': 'max', 'learning_rate': 0.09285939748894982, 'weight_decay': 1.8525749320079255e-05, 'beta_0': 0.8978715821433984, 'beta_1': 0.9957534454258541, 'epsilon': 1.1963695255831374e-08, 'balanced_loss': False, 'epochs': 70, 'early_stopping_patience': 22, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 67 with value: 0.9633600775643115.
[I 2025-03-22 09:33:47,426] Trial 131 finished with value: 0.9546180873167984 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7192950357957241, 'batch_size': 134, 'attention_heads': 7, 'hidden_dimension': 122, 'number_of_hidden_layers': 4, 'dropout_rate': 0.580790333923196, 'global_pooling': 'max', 'learning_rate': 0.00013416120115738837, 'weight_decay': 1.3800267186532668e-05, 'beta_0': 0.8526547563313539, 'beta_1': 0.9965053147574104, 'epsilon': 2.074614342299495e-08, 'balanced_loss': False, 'epochs': 84, 'early_stopping_patience': 21, 'plateau_patience': 16, 'plateau_divider': 5}. Best is trial 67 with value: 0.9633600775643115.
[I 2025-03-22 09:42:10,962] Trial 132 finished with value: 0.6695469572934051 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.9945422166463505, 'batch_size': 86, 'attention_heads': 8, 'hidden_dimension': 90, 'number_of_hidden_layers': 2, 'dropout_rate': 0.53735281334449, 'global_pooling': 'max', 'learning_rate': 8.904116287965711e-05, 'weight_decay': 0.00042983962932969356, 'beta_0': 0.8939390417532199, 'beta_1': 0.995469076540332, 'epsilon': 4.9046742920923264e-08, 'balanced_loss': False, 'epochs': 68, 'early_stopping_patience': 22, 'plateau_patience': 15, 'plateau_divider': 3}. Best is trial 67 with value: 0.9633600775643115.
[I 2025-03-22 09:59:46,126] Trial 133 finished with value: 0.952122766864161 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7838755284554867, 'batch_size': 45, 'attention_heads': 7, 'hidden_dimension': 115, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5427699006574308, 'global_pooling': 'max', 'learning_rate': 0.00012287812194060143, 'weight_decay': 2.0020262020012165e-05, 'beta_0': 0.899616990660338, 'beta_1': 0.9943659402286349, 'epsilon': 1.6535635644486766e-08, 'balanced_loss': False, 'epochs': 189, 'early_stopping_patience': 21, 'plateau_patience': 16, 'plateau_divider': 4}. Best is trial 67 with value: 0.9633600775643115.
[I 2025-03-22 10:15:24,101] Trial 134 finished with value: 0.95405982359978 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7760211275934424, 'batch_size': 114, 'attention_heads': 6, 'hidden_dimension': 96, 'number_of_hidden_layers': 4, 'dropout_rate': 0.517918080425066, 'global_pooling': 'max', 'learning_rate': 0.00016643516454614856, 'weight_decay': 2.279781706911917e-05, 'beta_0': 0.8949863284295282, 'beta_1': 0.9947691633107991, 'epsilon': 1.0428425271432834e-08, 'balanced_loss': False, 'epochs': 74, 'early_stopping_patience': 21, 'plateau_patience': 16, 'plateau_divider': 4}. Best is trial 67 with value: 0.9633600775643115.
[I 2025-03-22 10:35:15,710] Trial 135 finished with value: 0.9533924290133767 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7629779505923528, 'batch_size': 112, 'attention_heads': 7, 'hidden_dimension': 113, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5699787334218204, 'global_pooling': 'max', 'learning_rate': 0.00010747937681943415, 'weight_decay': 1.6892245578551693e-05, 'beta_0': 0.8911045938217307, 'beta_1': 0.9940481975081398, 'epsilon': 1.322127028237952e-08, 'balanced_loss': False, 'epochs': 66, 'early_stopping_patience': 20, 'plateau_patience': 17, 'plateau_divider': 4}. Best is trial 67 with value: 0.9633600775643115.
[I 2025-03-22 10:53:56,042] Trial 136 finished with value: 0.953884663199219 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7374099065217724, 'batch_size': 78, 'attention_heads': 6, 'hidden_dimension': 122, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5883180266763509, 'global_pooling': 'max', 'learning_rate': 0.00020681033879299022, 'weight_decay': 3.5551077136231124e-05, 'beta_0': 0.8869865162930123, 'beta_1': 0.9951741374583295, 'epsilon': 2.3777602064019834e-08, 'balanced_loss': False, 'epochs': 200, 'early_stopping_patience': 22, 'plateau_patience': 15, 'plateau_divider': 4}. Best is trial 67 with value: 0.9633600775643115.
[I 2025-03-22 11:10:56,280] Trial 137 finished with value: 0.9569402230517177 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8073329087691775, 'batch_size': 94, 'attention_heads': 8, 'hidden_dimension': 130, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5638224757458451, 'global_pooling': 'max', 'learning_rate': 0.00014221702445137954, 'weight_decay': 2.2499251599182632e-05, 'beta_0': 0.8962803702050576, 'beta_1': 0.9925441671347791, 'epsilon': 3.017241207425453e-07, 'balanced_loss': False, 'epochs': 63, 'early_stopping_patience': 21, 'plateau_patience': 16, 'plateau_divider': 4}. Best is trial 67 with value: 0.9633600775643115.
[I 2025-03-22 11:25:23,491] Trial 138 finished with value: 0.9579596967974094 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8053761051721052, 'batch_size': 95, 'attention_heads': 8, 'hidden_dimension': 128, 'number_of_hidden_layers': 4, 'dropout_rate': 0.56344968624363, 'global_pooling': 'max', 'learning_rate': 0.0002649542630707358, 'weight_decay': 1.0758219125408817e-05, 'beta_0': 0.8709815565162112, 'beta_1': 0.992904544420231, 'epsilon': 2.825367449914785e-07, 'balanced_loss': False, 'epochs': 63, 'early_stopping_patience': 20, 'plateau_patience': 15, 'plateau_divider': 4}. Best is trial 67 with value: 0.9633600775643115.
[I 2025-03-22 11:42:36,481] Trial 139 finished with value: 0.9608312599526325 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7950124576698026, 'batch_size': 91, 'attention_heads': 8, 'hidden_dimension': 129, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5589393239633296, 'global_pooling': 'max', 'learning_rate': 0.00025162193042441535, 'weight_decay': 1.7389819867699453e-05, 'beta_0': 0.8553961191653534, 'beta_1': 0.992823328997291, 'epsilon': 1.9905493157197882e-07, 'balanced_loss': False, 'epochs': 71, 'early_stopping_patience': 21, 'plateau_patience': 15, 'plateau_divider': 5}. Best is trial 67 with value: 0.9633600775643115.
[I 2025-03-22 12:00:04,374] Trial 140 finished with value: 0.956097503603268 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.807568211776741, 'batch_size': 93, 'attention_heads': 8, 'hidden_dimension': 131, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5576940484823434, 'global_pooling': 'max', 'learning_rate': 0.00024135143670742855, 'weight_decay': 1.4710612360120527e-05, 'beta_0': 0.869793076493262, 'beta_1': 0.9922802169227071, 'epsilon': 3.063707201819674e-07, 'balanced_loss': False, 'epochs': 71, 'early_stopping_patience': 21, 'plateau_patience': 15, 'plateau_divider': 5}. Best is trial 67 with value: 0.9633600775643115.
[I 2025-03-22 12:15:14,833] Trial 141 finished with value: 0.9403639436068632 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7965850370719073, 'batch_size': 98, 'attention_heads': 8, 'hidden_dimension': 142, 'number_of_hidden_layers': 4, 'dropout_rate': 0.550587357118142, 'global_pooling': 'sum', 'learning_rate': 0.00026844350723646804, 'weight_decay': 1.845672763110208e-05, 'beta_0': 0.8571746107549044, 'beta_1': 0.9918248950297414, 'epsilon': 2.542617784240152e-07, 'balanced_loss': False, 'epochs': 78, 'early_stopping_patience': 21, 'plateau_patience': 14, 'plateau_divider': 5}. Best is trial 67 with value: 0.9633600775643115.
[I 2025-03-22 12:35:15,228] Trial 142 finished with value: 0.963937015415518 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8123111218400871, 'batch_size': 102, 'attention_heads': 8, 'hidden_dimension': 128, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5613217190264995, 'global_pooling': 'max', 'learning_rate': 0.00014838498790308867, 'weight_decay': 1.075177147547334e-05, 'beta_0': 0.8607836797576732, 'beta_1': 0.9936242911857665, 'epsilon': 2.090796967155215e-07, 'balanced_loss': False, 'epochs': 63, 'early_stopping_patience': 23, 'plateau_patience': 15, 'plateau_divider': 5}. Best is trial 142 with value: 0.963937015415518.
[I 2025-03-22 12:51:10,581] Trial 143 finished with value: 0.9561704702806642 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8095834631501733, 'batch_size': 90, 'attention_heads': 8, 'hidden_dimension': 127, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5606294221513405, 'global_pooling': 'max', 'learning_rate': 0.0001622730557414174, 'weight_decay': 1.0888064531888523e-05, 'beta_0': 0.8556301380131461, 'beta_1': 0.9928144520250517, 'epsilon': 1.5940677126084627e-07, 'balanced_loss': False, 'epochs': 63, 'early_stopping_patience': 23, 'plateau_patience': 15, 'plateau_divider': 5}. Best is trial 142 with value: 0.963937015415518.
[I 2025-03-22 13:10:39,150] Trial 144 finished with value: 0.9592584791323134 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8153604019147936, 'batch_size': 102, 'attention_heads': 8, 'hidden_dimension': 129, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5652544046982585, 'global_pooling': 'max', 'learning_rate': 0.00019055775507455648, 'weight_decay': 1.2022376283662247e-05, 'beta_0': 0.8607305952721019, 'beta_1': 0.9925428438354851, 'epsilon': 1.8492316952613044e-07, 'balanced_loss': False, 'epochs': 69, 'early_stopping_patience': 24, 'plateau_patience': 15, 'plateau_divider': 5}. Best is trial 142 with value: 0.963937015415518.
[I 2025-03-22 13:27:42,366] Trial 145 finished with value: 0.9684492938482449 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8163404152600082, 'batch_size': 105, 'attention_heads': 8, 'hidden_dimension': 121, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5742506827022392, 'global_pooling': 'max', 'learning_rate': 0.00019941720246772059, 'weight_decay': 1.0860334539141695e-05, 'beta_0': 0.8612540153512386, 'beta_1': 0.9936708655960579, 'epsilon': 3.8788369070232673e-07, 'balanced_loss': False, 'epochs': 75, 'early_stopping_patience': 24, 'plateau_patience': 15, 'plateau_divider': 5}. Best is trial 145 with value: 0.9684492938482449.
[I 2025-03-22 13:45:37,621] Trial 146 finished with value: 0.9585051456289245 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.818982867061364, 'batch_size': 103, 'attention_heads': 8, 'hidden_dimension': 121, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5712030269223094, 'global_pooling': 'max', 'learning_rate': 0.00020316196498667243, 'weight_decay': 1.188243654372603e-05, 'beta_0': 0.8596411654819178, 'beta_1': 0.9935803309774421, 'epsilon': 2.0444657901337368e-07, 'balanced_loss': False, 'epochs': 75, 'early_stopping_patience': 25, 'plateau_patience': 15, 'plateau_divider': 5}. Best is trial 145 with value: 0.9684492938482449.
[I 2025-03-22 14:04:28,830] Trial 147 finished with value: 0.9585585856739445 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8264255188947119, 'batch_size': 118, 'attention_heads': 8, 'hidden_dimension': 122, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5674854495316207, 'global_pooling': 'max', 'learning_rate': 0.0002034135442894296, 'weight_decay': 1.2684336159911362e-05, 'beta_0': 0.8609408857497468, 'beta_1': 0.9936649897025523, 'epsilon': 2.1740772539650003e-07, 'balanced_loss': False, 'epochs': 74, 'early_stopping_patience': 24, 'plateau_patience': 15, 'plateau_divider': 5}. Best is trial 145 with value: 0.9684492938482449.
[I 2025-03-22 14:26:01,960] Trial 148 finished with value: 0.9645230340389023 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8289009612287352, 'batch_size': 102, 'attention_heads': 8, 'hidden_dimension': 121, 'number_of_hidden_layers': 4, 'dropout_rate': 0.568836596189327, 'global_pooling': 'max', 'learning_rate': 0.00020528237418070112, 'weight_decay': 1.2130102120620898e-05, 'beta_0': 0.8610875428830936, 'beta_1': 0.9930736008978203, 'epsilon': 2.0803990369054006e-07, 'balanced_loss': False, 'epochs': 79, 'early_stopping_patience': 25, 'plateau_patience': 15, 'plateau_divider': 5}. Best is trial 145 with value: 0.9684492938482449.
[I 2025-03-22 14:48:37,253] Trial 149 finished with value: 0.9585444769797182 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8273129290039927, 'batch_size': 105, 'attention_heads': 8, 'hidden_dimension': 118, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5681687987966995, 'global_pooling': 'max', 'learning_rate': 0.00020426873220023557, 'weight_decay': 1.0066194383945909e-05, 'beta_0': 0.8614555371097081, 'beta_1': 0.9935138679858054, 'epsilon': 2.0082730917417188e-07, 'balanced_loss': True, 'epochs': 82, 'early_stopping_patience': 25, 'plateau_patience': 15, 'plateau_divider': 5}. Best is trial 145 with value: 0.9684492938482449.
[I 2025-03-22 15:04:43,927] Trial 150 finished with value: 0.9473038171009569 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8255308213925502, 'batch_size': 104, 'attention_heads': 8, 'hidden_dimension': 117, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5655813703474892, 'global_pooling': 'max', 'learning_rate': 0.00021526391647018264, 'weight_decay': 1.0539428918587344e-05, 'beta_0': 0.8634369677002854, 'beta_1': 0.9930983154220954, 'epsilon': 3.9765364631050233e-07, 'balanced_loss': True, 'epochs': 83, 'early_stopping_patience': 25, 'plateau_patience': 15, 'plateau_divider': 5}. Best is trial 145 with value: 0.9684492938482449.
[I 2025-03-22 15:17:00,790] Trial 151 finished with value: 0.9557070617875159 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8176620254014973, 'batch_size': 108, 'attention_heads': 8, 'hidden_dimension': 120, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5578707131201333, 'global_pooling': 'max', 'learning_rate': 0.000190520227097351, 'weight_decay': 1.2402906289719706e-05, 'beta_0': 0.8603982852130919, 'beta_1': 0.9934847347430699, 'epsilon': 1.8874910373752942e-07, 'balanced_loss': True, 'epochs': 80, 'early_stopping_patience': 25, 'plateau_patience': 15, 'plateau_divider': 5}. Best is trial 145 with value: 0.9684492938482449.
[I 2025-03-22 15:34:11,716] Trial 152 finished with value: 0.9483462050253022 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8414619816031397, 'batch_size': 100, 'attention_heads': 8, 'hidden_dimension': 123, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5709105287470634, 'global_pooling': 'max', 'learning_rate': 0.00019952763407930815, 'weight_decay': 7.980665917983907e-06, 'beta_0': 0.8666987191202824, 'beta_1': 0.9936566311795253, 'epsilon': 2.2531260023314725e-07, 'balanced_loss': True, 'epochs': 76, 'early_stopping_patience': 24, 'plateau_patience': 15, 'plateau_divider': 5}. Best is trial 145 with value: 0.9684492938482449.
[I 2025-03-22 15:52:50,011] Trial 153 finished with value: 0.9545417821533055 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8284400047093735, 'batch_size': 106, 'attention_heads': 8, 'hidden_dimension': 105, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5744918488997791, 'global_pooling': 'max', 'learning_rate': 0.0002266704391087856, 'weight_decay': 1.180974741337826e-05, 'beta_0': 0.8583004385674382, 'beta_1': 0.9929631986807451, 'epsilon': 1.2489909263458848e-07, 'balanced_loss': True, 'epochs': 90, 'early_stopping_patience': 24, 'plateau_patience': 15, 'plateau_divider': 5}. Best is trial 145 with value: 0.9684492938482449.
