[I 2025-04-02 05:20:35,855] Using an existing study with name 'IMDb-top_1000-GATv2-facebook-bart-large-Grouped-Sliding_Windows' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (1113 > 1024). Running this sequence through the model will result in indexing errors
[I 2025-04-02 05:29:43,927] Trial 31 finished with value: 0.9393939393939394 and parameters: {'left_stride': 128, 'right_stride': 64, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 3, 'batch_size': 24, 'attention_heads': 14, 'hidden_dimension': 173, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4387394656116058, 'global_pooling': 'mean', 'learning_rate': 0.00013546797290956528, 'weight_decay': 1.6660008165950192e-05, 'beta_0': 0.8447731050576481, 'beta_1': 0.9951257070834243, 'epsilon': 9.023970406438909e-07, 'balanced_loss': False, 'epochs': 68, 'early_stopping_patience': 19, 'plateau_patience': 10, 'plateau_divider': 2}. Best is trial 2 with value: 0.9515151515151515.
[I 2025-04-02 10:29:00,554] Trial 62 finished with value: 0.9272727272727272 and parameters: {'left_stride': 32, 'right_stride': 0, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 3, 'batch_size': 17, 'attention_heads': 10, 'hidden_dimension': 135, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5159171997749447, 'global_pooling': 'mean', 'learning_rate': 0.0005068849556233323, 'weight_decay': 4.703005395003863e-05, 'beta_0': 0.8077444970178214, 'beta_1': 0.9876849228579068, 'epsilon': 1.2255261589987288e-07, 'balanced_loss': True, 'epochs': 113, 'early_stopping_patience': 14, 'plateau_patience': 13, 'plateau_divider': 5}. Best is trial 44 with value: 0.9575757575757575.
[I 2025-04-02 10:38:51,854] Trial 63 finished with value: 0.9575757575757575 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 4, 'batch_size': 18, 'attention_heads': 5, 'hidden_dimension': 178, 'number_of_hidden_layers': 4, 'dropout_rate': 0.49003149515556804, 'global_pooling': 'mean', 'learning_rate': 2.575236545236698e-05, 'weight_decay': 4.361143255300423e-05, 'beta_0': 0.8722923504229543, 'beta_1': 0.9944833686160932, 'epsilon': 2.7714114173521236e-08, 'balanced_loss': True, 'epochs': 139, 'early_stopping_patience': 18, 'plateau_patience': 16, 'plateau_divider': 4}. Best is trial 44 with value: 0.9575757575757575.
[I 2025-04-02 10:48:25,751] Trial 64 finished with value: 0.9515151515151515 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 4, 'batch_size': 21, 'attention_heads': 5, 'hidden_dimension': 171, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4733377164260051, 'global_pooling': 'mean', 'learning_rate': 2.334991105448788e-05, 'weight_decay': 3.4629415866831094e-05, 'beta_0': 0.8643809087514606, 'beta_1': 0.9945884602752042, 'epsilon': 2.964043064497051e-08, 'balanced_loss': True, 'epochs': 129, 'early_stopping_patience': 18, 'plateau_patience': 16, 'plateau_divider': 4}. Best is trial 44 with value: 0.9575757575757575.
[I 2025-04-02 10:57:41,410] Trial 65 finished with value: 0.9454545454545454 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 4, 'batch_size': 16, 'attention_heads': 4, 'hidden_dimension': 183, 'number_of_hidden_layers': 4, 'dropout_rate': 0.44964565717850263, 'global_pooling': 'mean', 'learning_rate': 1.8296271448293082e-05, 'weight_decay': 4.400915990865157e-05, 'beta_0': 0.8710637777502355, 'beta_1': 0.9967517990001046, 'epsilon': 1.6406421547020733e-08, 'balanced_loss': True, 'epochs': 141, 'early_stopping_patience': 17, 'plateau_patience': 15, 'plateau_divider': 2}. Best is trial 44 with value: 0.9575757575757575.
[I 2025-04-02 11:07:50,567] Trial 66 finished with value: 0.9515151515151515 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 5, 'batch_size': 18, 'attention_heads': 5, 'hidden_dimension': 166, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4176803370227856, 'global_pooling': 'mean', 'learning_rate': 3.604757582054483e-05, 'weight_decay': 2.5165798655903795e-05, 'beta_0': 0.8761237181866679, 'beta_1': 0.9920185374928265, 'epsilon': 4.928558626534063e-08, 'balanced_loss': True, 'epochs': 121, 'early_stopping_patience': 19, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 44 with value: 0.9575757575757575.
[I 2025-04-02 11:15:49,180] Trial 67 finished with value: 0.9030303030303031 and parameters: {'left_stride': 32, 'right_stride': 64, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 3, 'batch_size': 26, 'attention_heads': 6, 'hidden_dimension': 146, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4832002725429904, 'global_pooling': 'sum', 'learning_rate': 0.005066941752974518, 'weight_decay': 9.025143047584402e-05, 'beta_0': 0.8585980867920826, 'beta_1': 0.9936466123944987, 'epsilon': 2.963210993671863e-08, 'balanced_loss': True, 'epochs': 151, 'early_stopping_patience': 16, 'plateau_patience': 14, 'plateau_divider': 5}. Best is trial 44 with value: 0.9575757575757575.
[I 2025-04-02 11:25:33,049] Trial 68 finished with value: 0.9515151515151515 and parameters: {'left_stride': 128, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 6, 'batch_size': 24, 'attention_heads': 4, 'hidden_dimension': 155, 'number_of_hidden_layers': 4, 'dropout_rate': 0.49157027373295725, 'global_pooling': 'mean', 'learning_rate': 6.307316033838292e-05, 'weight_decay': 1.8398788875273725e-05, 'beta_0': 0.882526279337882, 'beta_1': 0.9929102551320775, 'epsilon': 6.360460908757252e-07, 'balanced_loss': True, 'epochs': 163, 'early_stopping_patience': 17, 'plateau_patience': 17, 'plateau_divider': 4}. Best is trial 44 with value: 0.9575757575757575.
[I 2025-04-02 11:32:10,984] Trial 69 finished with value: 0.9454545454545454 and parameters: {'left_stride': 0, 'right_stride': 0, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 2, 'batch_size': 18, 'attention_heads': 11, 'hidden_dimension': 79, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5009079597758277, 'global_pooling': 'mean', 'learning_rate': 0.0026023184979528722, 'weight_decay': 1.2803974891607516e-05, 'beta_0': 0.8484021906739301, 'beta_1': 0.9941122026705597, 'epsilon': 7.913774207924051e-08, 'balanced_loss': False, 'epochs': 107, 'early_stopping_patience': 21, 'plateau_patience': 16, 'plateau_divider': 9}. Best is trial 44 with value: 0.9575757575757575.
[I 2025-04-02 11:47:19,316] Trial 70 finished with value: 0.9333333333333333 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 9, 'batch_size': 21, 'attention_heads': 8, 'hidden_dimension': 200, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5357841986077667, 'global_pooling': 'sum', 'learning_rate': 0.0015338179908156062, 'weight_decay': 5.459731429069028e-05, 'beta_0': 0.8041121792564008, 'beta_1': 0.9916028425925815, 'epsilon': 5.132990375869922e-06, 'balanced_loss': True, 'epochs': 136, 'early_stopping_patience': 11, 'plateau_patience': 22, 'plateau_divider': 2}. Best is trial 44 with value: 0.9575757575757575.
[I 2025-04-02 11:55:52,840] Trial 71 finished with value: 0.9090909090909091 and parameters: {'left_stride': 128, 'right_stride': 64, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 4, 'batch_size': 36, 'attention_heads': 9, 'hidden_dimension': 162, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5526315726210999, 'global_pooling': 'max', 'learning_rate': 0.00016568141562863187, 'weight_decay': 3.171017061672933e-05, 'beta_0': 0.8302047747082687, 'beta_1': 0.9947803497362946, 'epsilon': 2.7650525058173537e-06, 'balanced_loss': True, 'epochs': 128, 'early_stopping_patience': 16, 'plateau_patience': 15, 'plateau_divider': 6}. Best is trial 44 with value: 0.9575757575757575.
