[I 2025-03-31 10:16:53,886] A new study created in RDB with name: IMDb-top_1000-GATv2-facebook-bart-large-Grouped-Sliding_Windows
Token indices sequence length is longer than the specified maximum sequence length for this model (1113 > 1024). Running this sequence through the model will result in indexing errors
[I 2025-03-31 10:23:47,240] Trial 0 finished with value: 0.9272727272727272 and parameters: {'left_stride': 32, 'right_stride': 64, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 3, 'batch_size': 24, 'attention_heads': 6, 'hidden_dimension': 100, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4295835055926347, 'global_pooling': 'sum', 'learning_rate': 0.00014742753159914678, 'weight_decay': 1.2562773503807034e-05, 'beta_0': 0.8441490131534063, 'beta_1': 0.9948875174647561, 'epsilon': 6.290644294586131e-08, 'balanced_loss': False, 'epochs': 57, 'early_stopping_patience': 19, 'plateau_patience': 12, 'plateau_divider': 2}. Best is trial 0 with value: 0.9272727272727272.
[I 2025-03-31 11:45:44,958] Trial 9 finished with value: 0.9515151515151515 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 5, 'batch_size': 19, 'attention_heads': 4, 'hidden_dimension': 248, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5087922618281093, 'global_pooling': 'mean', 'learning_rate': 0.00010022396791143334, 'weight_decay': 4.443037656955544e-05, 'beta_0': 0.8702486754976229, 'beta_1': 0.9925027847418048, 'epsilon': 1.3174543864342758e-07, 'balanced_loss': True, 'epochs': 133, 'early_stopping_patience': 19, 'plateau_patience': 16, 'plateau_divider': 4}. Best is trial 2 with value: 0.9515151515151515.
[I 2025-03-31 11:54:56,016] Trial 10 finished with value: 0.896969696969697 and parameters: {'left_stride': 128, 'right_stride': 32, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 5, 'batch_size': 32, 'attention_heads': 15, 'hidden_dimension': 127, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3166720108752279, 'global_pooling': 'sum', 'learning_rate': 1.2999096403275222e-05, 'weight_decay': 0.00040678624177606896, 'beta_0': 0.8911015084641252, 'beta_1': 0.9882079691615396, 'epsilon': 9.281633153559844e-05, 'balanced_loss': False, 'epochs': 198, 'early_stopping_patience': 10, 'plateau_patience': 24, 'plateau_divider': 4}. Best is trial 2 with value: 0.9515151515151515.
[I 2025-03-31 12:05:06,805] Trial 11 finished with value: 0.9272727272727272 and parameters: {'left_stride': 128, 'right_stride': 64, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 10, 'batch_size': 33, 'attention_heads': 9, 'hidden_dimension': 33, 'number_of_hidden_layers': 3, 'dropout_rate': 0.48024192185741793, 'global_pooling': 'sum', 'learning_rate': 0.005275917211058703, 'weight_decay': 0.00020823941200645495, 'beta_0': 0.8335067959927409, 'beta_1': 0.9845561785575142, 'epsilon': 1.555892102252046e-05, 'balanced_loss': True, 'epochs': 82, 'early_stopping_patience': 14, 'plateau_patience': 22, 'plateau_divider': 10}. Best is trial 2 with value: 0.9515151515151515.
[I 2025-03-31 12:14:46,845] Trial 12 finished with value: 0.9272727272727272 and parameters: {'left_stride': 128, 'right_stride': 32, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 8, 'batch_size': 32, 'attention_heads': 13, 'hidden_dimension': 162, 'number_of_hidden_layers': 0, 'dropout_rate': 0.47700653762336565, 'global_pooling': 'max', 'learning_rate': 0.006002345410640681, 'weight_decay': 0.0001393408856477241, 'beta_0': 0.8003996274220836, 'beta_1': 0.9813786506546551, 'epsilon': 6.240526732959991e-06, 'balanced_loss': False, 'epochs': 92, 'early_stopping_patience': 16, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 2 with value: 0.9515151515151515.
[I 2025-03-31 12:25:39,256] Trial 13 finished with value: 0.9090909090909091 and parameters: {'left_stride': 0, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 6, 'batch_size': 64, 'attention_heads': 16, 'hidden_dimension': 86, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5994799803575449, 'global_pooling': 'max', 'learning_rate': 0.01692549794425452, 'weight_decay': 1.6885718764511768e-05, 'beta_0': 0.8281522238437654, 'beta_1': 0.9983332778051559, 'epsilon': 8.20540770089239e-05, 'balanced_loss': True, 'epochs': 121, 'early_stopping_patience': 21, 'plateau_patience': 24, 'plateau_divider': 6}. Best is trial 2 with value: 0.9515151515151515.
[I 2025-03-31 12:36:51,754] Trial 14 finished with value: 0.9333333333333333 and parameters: {'left_stride': 256, 'right_stride': 0, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 9, 'batch_size': 18, 'attention_heads': 7, 'hidden_dimension': 121, 'number_of_hidden_layers': 3, 'dropout_rate': 0.3747375795011374, 'global_pooling': 'sum', 'learning_rate': 0.0009746651132641593, 'weight_decay': 0.0007197598098279039, 'beta_0': 0.8405849601199774, 'beta_1': 0.9899956908836367, 'epsilon': 2.243199729917079e-05, 'balanced_loss': False, 'epochs': 162, 'early_stopping_patience': 13, 'plateau_patience': 19, 'plateau_divider': 4}. Best is trial 2 with value: 0.9515151515151515.
[I 2025-03-31 12:44:13,914] Trial 15 finished with value: 0.5696969696969697 and parameters: {'left_stride': 0, 'right_stride': 64, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 4, 'batch_size': 55, 'attention_heads': 8, 'hidden_dimension': 59, 'number_of_hidden_layers': 3, 'dropout_rate': 0.45121170973268726, 'global_pooling': 'max', 'learning_rate': 0.015154877946573641, 'weight_decay': 2.844005736936388e-05, 'beta_0': 0.8186369603106047, 'beta_1': 0.985600801303742, 'epsilon': 1.4174659634846103e-06, 'balanced_loss': True, 'epochs': 82, 'early_stopping_patience': 22, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 2 with value: 0.9515151515151515.
[I 2025-03-31 12:55:20,531] Trial 16 finished with value: 0.9515151515151515 and parameters: {'left_stride': 128, 'right_stride': 0, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 7, 'batch_size': 38, 'attention_heads': 11, 'hidden_dimension': 155, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3075025280879653, 'global_pooling': 'sum', 'learning_rate': 0.00213492390463664, 'weight_decay': 0.0001099791787248212, 'beta_0': 0.8028373682537574, 'beta_1': 0.994387611938211, 'epsilon': 2.780280375094652e-06, 'balanced_loss': True, 'epochs': 117, 'early_stopping_patience': 17, 'plateau_patience': 22, 'plateau_divider': 8}. Best is trial 2 with value: 0.9515151515151515.
[I 2025-03-31 13:01:53,498] Trial 17 finished with value: 0.9333333333333333 and parameters: {'left_stride': 128, 'right_stride': 64, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 3, 'batch_size': 22, 'attention_heads': 4, 'hidden_dimension': 105, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3660943028844045, 'global_pooling': 'max', 'learning_rate': 0.0004149834384556728, 'weight_decay': 1.1912030201239182e-06, 'beta_0': 0.8165195165034457, 'beta_1': 0.9832023047664994, 'epsilon': 2.7058788484412027e-05, 'balanced_loss': False, 'epochs': 70, 'early_stopping_patience': 11, 'plateau_patience': 14, 'plateau_divider': 5}. Best is trial 2 with value: 0.9515151515151515.
[I 2025-03-31 13:11:27,685] Trial 18 finished with value: 0.9272727272727272 and parameters: {'left_stride': 0, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 6, 'batch_size': 27, 'attention_heads': 13, 'hidden_dimension': 59, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4619629567397905, 'global_pooling': 'sum', 'learning_rate': 1.7818190279347344e-05, 'weight_decay': 9.311723112872428e-05, 'beta_0': 0.8549757383505614, 'beta_1': 0.9921408355783157, 'epsilon': 9.383340759516105e-06, 'balanced_loss': True, 'epochs': 157, 'early_stopping_patience': 16, 'plateau_patience': 10, 'plateau_divider': 8}. Best is trial 2 with value: 0.9515151515151515.
CUDA out of memory. Tried to allocate 2.40 GiB. GPU 0 has a total capacity of 44.56 GiB of which 2.40 GiB is free. Including non-PyTorch memory, this process has 42.15 GiB memory in use. Of the allocated memory 39.32 GiB is allocated by PyTorch, and 1.68 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-03-31 13:20:28,486] Trial 19 finished with value: -1.0 and parameters: {'left_stride': 64, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 9, 'batch_size': 57, 'attention_heads': 10, 'hidden_dimension': 132, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5131111551272406, 'global_pooling': 'mean', 'learning_rate': 3.6963449519138755e-05, 'weight_decay': 2.1657198200317466e-05, 'beta_0': 0.8314801596547654, 'beta_1': 0.996594334607506, 'epsilon': 3.797437936755424e-05, 'balanced_loss': False, 'epochs': 98, 'early_stopping_patience': 14, 'plateau_patience': 25, 'plateau_divider': 9}. Best is trial 2 with value: 0.9515151515151515.
[I 2025-03-31 13:28:08,060] Trial 20 finished with value: 0.9272727272727272 and parameters: {'left_stride': 256, 'right_stride': 32, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 5, 'batch_size': 39, 'attention_heads': 8, 'hidden_dimension': 87, 'number_of_hidden_layers': 0, 'dropout_rate': 0.34085670995624506, 'global_pooling': 'max', 'learning_rate': 0.013798367705375144, 'weight_decay': 6.500074264383953e-06, 'beta_0': 0.8972527618973389, 'beta_1': 0.9885670041063864, 'epsilon': 2.271785063104602e-06, 'balanced_loss': False, 'epochs': 125, 'early_stopping_patience': 22, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 2 with value: 0.9515151515151515.
[I 2025-03-31 13:37:03,344] Trial 21 finished with value: 0.9515151515151515 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 4, 'batch_size': 18, 'attention_heads': 5, 'hidden_dimension': 178, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5166610560277957, 'global_pooling': 'mean', 'learning_rate': 7.062425253596379e-05, 'weight_decay': 5.429538435790221e-05, 'beta_0': 0.8758118556530535, 'beta_1': 0.9925181258021103, 'epsilon': 2.8740340382028628e-08, 'balanced_loss': True, 'epochs': 139, 'early_stopping_patience': 18, 'plateau_patience': 16, 'plateau_divider': 4}. Best is trial 2 with value: 0.9515151515151515.
[I 2025-03-31 13:46:04,794] Trial 22 finished with value: 0.9515151515151515 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 5, 'batch_size': 16, 'attention_heads': 4, 'hidden_dimension': 213, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4991370373555147, 'global_pooling': 'mean', 'learning_rate': 0.0002831445158596246, 'weight_decay': 6.799795262719281e-05, 'beta_0': 0.8724910108963512, 'beta_1': 0.9932597274483241, 'epsilon': 4.1516019177447205e-07, 'balanced_loss': True, 'epochs': 126, 'early_stopping_patience': 19, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 2 with value: 0.9515151515151515.
[I 2025-03-31 13:53:32,300] Trial 23 finished with value: 0.9454545454545454 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 3, 'batch_size': 27, 'attention_heads': 6, 'hidden_dimension': 109, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5485590767372464, 'global_pooling': 'mean', 'learning_rate': 8.33438740243027e-05, 'weight_decay': 2.802610358631494e-05, 'beta_0': 0.8626761754740092, 'beta_1': 0.9901649375699941, 'epsilon': 3.663371751375268e-07, 'balanced_loss': True, 'epochs': 133, 'early_stopping_patience': 17, 'plateau_patience': 17, 'plateau_divider': 5}. Best is trial 2 with value: 0.9515151515151515.
[I 2025-03-31 14:04:29,774] Trial 24 finished with value: 0.9393939393939394 and parameters: {'left_stride': 32, 'right_stride': 64, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 7, 'batch_size': 22, 'attention_heads': 12, 'hidden_dimension': 143, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5758096978700767, 'global_pooling': 'mean', 'learning_rate': 0.0019835391099645777, 'weight_decay': 0.00023457084813728498, 'beta_0': 0.8831658563827111, 'beta_1': 0.9961525866552664, 'epsilon': 4.365836212466623e-05, 'balanced_loss': True, 'epochs': 155, 'early_stopping_patience': 20, 'plateau_patience': 13, 'plateau_divider': 2}. Best is trial 2 with value: 0.9515151515151515.
[I 2025-03-31 14:14:45,022] Trial 25 finished with value: 0.9393939393939394 and parameters: {'left_stride': 128, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 5, 'batch_size': 28, 'attention_heads': 7, 'hidden_dimension': 198, 'number_of_hidden_layers': 4, 'dropout_rate': 0.42661900783050694, 'global_pooling': 'mean', 'learning_rate': 0.0019344196934518597, 'weight_decay': 1.2722584297254343e-05, 'beta_0': 0.839311047803063, 'beta_1': 0.9918191883980206, 'epsilon': 9.581106688885606e-07, 'balanced_loss': True, 'epochs': 113, 'early_stopping_patience': 16, 'plateau_patience': 19, 'plateau_divider': 5}. Best is trial 2 with value: 0.9515151515151515.
[I 2025-03-31 14:21:53,824] Trial 26 finished with value: 0.9393939393939394 and parameters: {'left_stride': 0, 'right_stride': 0, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 4, 'batch_size': 35, 'attention_heads': 5, 'hidden_dimension': 60, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5989445713558574, 'global_pooling': 'sum', 'learning_rate': 0.0005055217340951702, 'weight_decay': 3.187735229099817e-05, 'beta_0': 0.8508802068814693, 'beta_1': 0.9877556518641224, 'epsilon': 1.1365061335743134e-05, 'balanced_loss': True, 'epochs': 88, 'early_stopping_patience': 14, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 2 with value: 0.9515151515151515.
[I 2025-03-31 14:31:27,411] Trial 27 finished with value: 0.8242424242424242 and parameters: {'left_stride': 0, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 2, 'batch_size': 51, 'attention_heads': 10, 'hidden_dimension': 251, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5425565510799895, 'global_pooling': 'sum', 'learning_rate': 2.8330309365092776e-05, 'weight_decay': 8.812981759914887e-05, 'beta_0': 0.8243820651669681, 'beta_1': 0.9903258889633004, 'epsilon': 4.189740435370213e-06, 'balanced_loss': True, 'epochs': 180, 'early_stopping_patience': 19, 'plateau_patience': 15, 'plateau_divider': 7}. Best is trial 2 with value: 0.9515151515151515.
[I 2025-03-31 14:41:44,258] Trial 28 finished with value: 0.9151515151515152 and parameters: {'left_stride': 32, 'right_stride': 0, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 6, 'batch_size': 20, 'attention_heads': 8, 'hidden_dimension': 85, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4921391045793018, 'global_pooling': 'max', 'learning_rate': 6.428913345596119e-05, 'weight_decay': 0.00016837919297464036, 'beta_0': 0.8105458625804437, 'beta_1': 0.9934306726773745, 'epsilon': 4.21294518005731e-08, 'balanced_loss': False, 'epochs': 104, 'early_stopping_patience': 23, 'plateau_patience': 22, 'plateau_divider': 4}. Best is trial 2 with value: 0.9515151515151515.
