Some weights of RobertaModel were not initialized from the model checkpoint at FacebookAI/roberta-large and are newly initialized: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
[I 2025-01-08 19:14:11,197] Using an existing study with name 'RTSP-GATv2-FacebookAI-roberta-large-Grouped-No_Aggregation' instead of creating a new one.
[I 2025-01-08 19:20:21,874] Trial 89 finished with value: 0.8853727144866386 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.7174859242312271, 'batch_size': 60, 'attention_heads': 4, 'hidden_dimension': 128, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4872250581517096, 'global_pooling': 'max', 'learning_rate': 0.0029722357729355118, 'weight_decay': 1.0288602367328868e-06, 'beta_0': 0.867719638857784, 'beta_1': 0.9916278253299406, 'epsilon': 4.64828476448225e-05, 'balanced_loss': False, 'epochs': 186, 'early_stopping_patience': 10, 'plateau_patience': 22, 'plateau_divider': 2}. Best is trial 81 with value: 0.8853727144866386.
[I 2025-01-08 20:30:23,016] Trial 100 finished with value: 0.8769338959212377 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.7256205973187927, 'batch_size': 53, 'attention_heads': 4, 'hidden_dimension': 128, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5761641549807833, 'global_pooling': 'max', 'learning_rate': 0.004203616012946392, 'weight_decay': 1.127317923655778e-06, 'beta_0': 0.8568133324960254, 'beta_1': 0.9919583355558478, 'epsilon': 8.440596763726864e-05, 'balanced_loss': False, 'epochs': 174, 'early_stopping_patience': 11, 'plateau_patience': 22, 'plateau_divider': 2}. Best is trial 81 with value: 0.8853727144866386.
[I 2025-01-08 20:36:23,738] Trial 101 finished with value: 0.8783403656821378 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.7800216964805472, 'batch_size': 42, 'attention_heads': 5, 'hidden_dimension': 74, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5262577978459729, 'global_pooling': 'max', 'learning_rate': 0.0012286449202757214, 'weight_decay': 2.7732122393053435e-06, 'beta_0': 0.8463065854832481, 'beta_1': 0.9934379878277105, 'epsilon': 3.5370889033867684e-05, 'balanced_loss': False, 'epochs': 192, 'early_stopping_patience': 10, 'plateau_patience': 24, 'plateau_divider': 3}. Best is trial 81 with value: 0.8853727144866386.
[I 2025-01-08 20:42:16,682] Trial 102 finished with value: 0.8776371308016878 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7523664151323453, 'batch_size': 50, 'attention_heads': 4, 'hidden_dimension': 144, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5458024942887465, 'global_pooling': 'max', 'learning_rate': 0.0019010169075458717, 'weight_decay': 1.7140722738022835e-06, 'beta_0': 0.8544458258103218, 'beta_1': 0.9927630073399831, 'epsilon': 4.20810996829867e-05, 'balanced_loss': False, 'epochs': 188, 'early_stopping_patience': 10, 'plateau_patience': 21, 'plateau_divider': 2}. Best is trial 81 with value: 0.8853727144866386.
[I 2025-01-08 20:48:14,843] Trial 103 finished with value: 0.8551336146272855 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6850051701565616, 'batch_size': 62, 'attention_heads': 4, 'hidden_dimension': 152, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5038407892634363, 'global_pooling': 'max', 'learning_rate': 9.794840481155295e-05, 'weight_decay': 1.3868859761970603e-06, 'beta_0': 0.842311696745384, 'beta_1': 0.9979336974058944, 'epsilon': 7.84893700425093e-05, 'balanced_loss': False, 'epochs': 169, 'early_stopping_patience': 12, 'plateau_patience': 22, 'plateau_divider': 4}. Best is trial 81 with value: 0.8853727144866386.
[I 2025-01-08 20:54:24,536] Trial 104 finished with value: 0.8832630098452883 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7064552730411586, 'batch_size': 93, 'attention_heads': 4, 'hidden_dimension': 116, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5839956723828797, 'global_pooling': 'max', 'learning_rate': 0.0023593349485192703, 'weight_decay': 7.76216917351516e-05, 'beta_0': 0.850142251064729, 'beta_1': 0.9971937500439563, 'epsilon': 5.1613591413033714e-05, 'balanced_loss': False, 'epochs': 197, 'early_stopping_patience': 11, 'plateau_patience': 21, 'plateau_divider': 2}. Best is trial 81 with value: 0.8853727144866386.
[I 2025-01-08 21:00:49,393] Trial 105 finished with value: 0.8684950773558369 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7129008790683944, 'batch_size': 103, 'attention_heads': 4, 'hidden_dimension': 118, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5887238543070455, 'global_pooling': 'max', 'learning_rate': 0.008810537766887092, 'weight_decay': 9.778071304062035e-05, 'beta_0': 0.8515690297149254, 'beta_1': 0.9914715442609114, 'epsilon': 5.5696065184861974e-05, 'balanced_loss': False, 'epochs': 195, 'early_stopping_patience': 11, 'plateau_patience': 21, 'plateau_divider': 2}. Best is trial 81 with value: 0.8853727144866386.
[I 2025-01-08 21:07:15,514] Trial 106 finished with value: 0.8783403656821378 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6353169303475404, 'batch_size': 74, 'attention_heads': 4, 'hidden_dimension': 125, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5744073602834304, 'global_pooling': 'max', 'learning_rate': 0.005188354004070199, 'weight_decay': 0.0009514745498470655, 'beta_0': 0.8487287582188199, 'beta_1': 0.9926321657711306, 'epsilon': 4.671477379299306e-05, 'balanced_loss': False, 'epochs': 180, 'early_stopping_patience': 11, 'plateau_patience': 23, 'plateau_divider': 3}. Best is trial 81 with value: 0.8853727144866386.
[I 2025-01-08 21:13:20,081] Trial 107 finished with value: 0.8776371308016878 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.7960713524899692, 'batch_size': 83, 'attention_heads': 5, 'hidden_dimension': 136, 'number_of_hidden_layers': 1, 'dropout_rate': 0.567471763936746, 'global_pooling': 'max', 'learning_rate': 0.0014555297787537378, 'weight_decay': 0.0001515437921167651, 'beta_0': 0.8567220645794194, 'beta_1': 0.9970752362275753, 'epsilon': 6.849374990111284e-05, 'balanced_loss': False, 'epochs': 189, 'early_stopping_patience': 10, 'plateau_patience': 21, 'plateau_divider': 2}. Best is trial 81 with value: 0.8853727144866386.
[I 2025-01-08 21:19:30,381] Trial 108 finished with value: 0.879746835443038 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.70699629872134, 'batch_size': 35, 'attention_heads': 5, 'hidden_dimension': 88, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5834003952838337, 'global_pooling': 'max', 'learning_rate': 0.0010218775822262076, 'weight_decay': 7.054807765486408e-05, 'beta_0': 0.8626411311399792, 'beta_1': 0.9985969164260916, 'epsilon': 8.52304755347015e-05, 'balanced_loss': False, 'epochs': 193, 'early_stopping_patience': 10, 'plateau_patience': 20, 'plateau_divider': 6}. Best is trial 81 with value: 0.8853727144866386.
[I 2025-01-08 21:25:26,389] Trial 109 finished with value: 0.8804500703234881 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.76680811113064, 'batch_size': 43, 'attention_heads': 4, 'hidden_dimension': 97, 'number_of_hidden_layers': 1, 'dropout_rate': 0.47069478900714484, 'global_pooling': 'max', 'learning_rate': 0.002167350452732947, 'weight_decay': 7.392669628817846e-05, 'beta_0': 0.8668217029093525, 'beta_1': 0.9954910273313329, 'epsilon': 3.571898754388275e-05, 'balanced_loss': False, 'epochs': 197, 'early_stopping_patience': 11, 'plateau_patience': 22, 'plateau_divider': 3}. Best is trial 81 with value: 0.8853727144866386.
[I 2025-01-08 21:32:35,038] Trial 110 finished with value: 0.8776371308016878 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.7326537509035383, 'batch_size': 38, 'attention_heads': 15, 'hidden_dimension': 102, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5997667272058681, 'global_pooling': 'max', 'learning_rate': 0.0007848424660250259, 'weight_decay': 3.1096671772897145e-05, 'beta_0': 0.8426628949115909, 'beta_1': 0.9963541739129245, 'epsilon': 9.859811761849224e-05, 'balanced_loss': False, 'epochs': 186, 'early_stopping_patience': 23, 'plateau_patience': 21, 'plateau_divider': 2}. Best is trial 81 with value: 0.8853727144866386.
[I 2025-01-08 21:38:20,009] Trial 111 finished with value: 0.8755274261603375 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6729756677197959, 'batch_size': 67, 'attention_heads': 11, 'hidden_dimension': 115, 'number_of_hidden_layers': 0, 'dropout_rate': 0.55028176381013, 'global_pooling': 'max', 'learning_rate': 0.0029513780289627317, 'weight_decay': 2.3791180269370056e-05, 'beta_0': 0.8806788592759986, 'beta_1': 0.9973805622526758, 'epsilon': 2.7805997821698906e-05, 'balanced_loss': False, 'epochs': 199, 'early_stopping_patience': 10, 'plateau_patience': 25, 'plateau_divider': 5}. Best is trial 81 with value: 0.8853727144866386.
[I 2025-01-08 21:44:21,772] Trial 112 finished with value: 0.879746835443038 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6562439073660609, 'batch_size': 54, 'attention_heads': 4, 'hidden_dimension': 130, 'number_of_hidden_layers': 1, 'dropout_rate': 0.535119704516169, 'global_pooling': 'sum', 'learning_rate': 0.002393120530129152, 'weight_decay': 4.239007763169355e-05, 'beta_0': 0.8474949824082362, 'beta_1': 0.9981411255184931, 'epsilon': 5.6425645163072335e-05, 'balanced_loss': False, 'epochs': 60, 'early_stopping_patience': 11, 'plateau_patience': 20, 'plateau_divider': 2}. Best is trial 81 with value: 0.8853727144866386.
[I 2025-01-08 21:50:56,271] Trial 113 finished with value: 0.890295358649789 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6942547432396667, 'batch_size': 91, 'attention_heads': 4, 'hidden_dimension': 107, 'number_of_hidden_layers': 1, 'dropout_rate': 0.592595973668072, 'global_pooling': 'max', 'learning_rate': 0.0005064916931012914, 'weight_decay': 8.137334392550827e-05, 'beta_0': 0.8589624973969888, 'beta_1': 0.9967389769792316, 'epsilon': 4.637491418048572e-05, 'balanced_loss': False, 'epochs': 191, 'early_stopping_patience': 12, 'plateau_patience': 22, 'plateau_divider': 3}. Best is trial 113 with value: 0.890295358649789.
[I 2025-01-08 21:57:23,427] Trial 114 finished with value: 0.8825597749648383 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6971189924929513, 'batch_size': 91, 'attention_heads': 4, 'hidden_dimension': 109, 'number_of_hidden_layers': 1, 'dropout_rate': 0.591793510196156, 'global_pooling': 'max', 'learning_rate': 0.000541621306872459, 'weight_decay': 7.89970087446451e-05, 'beta_0': 0.8538007247325601, 'beta_1': 0.9950751258308872, 'epsilon': 4.537866560686819e-05, 'balanced_loss': False, 'epochs': 185, 'early_stopping_patience': 20, 'plateau_patience': 22, 'plateau_divider': 3}. Best is trial 113 with value: 0.890295358649789.
[I 2025-01-08 22:03:44,676] Trial 115 finished with value: 0.8755274261603375 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.743719414723778, 'batch_size': 100, 'attention_heads': 4, 'hidden_dimension': 122, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5663541950032439, 'global_pooling': 'max', 'learning_rate': 0.00033867198516348727, 'weight_decay': 3.838494891577127e-05, 'beta_0': 0.8589253788474033, 'beta_1': 0.9967835648009948, 'epsilon': 9.576951742674048e-08, 'balanced_loss': False, 'epochs': 191, 'early_stopping_patience': 12, 'plateau_patience': 23, 'plateau_divider': 3}. Best is trial 113 with value: 0.890295358649789.
[I 2025-01-08 22:10:22,200] Trial 116 finished with value: 0.8776371308016878 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7261426746656022, 'batch_size': 94, 'attention_heads': 5, 'hidden_dimension': 116, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5571138357573078, 'global_pooling': 'max', 'learning_rate': 0.00027857553513084863, 'weight_decay': 5.032786265674538e-05, 'beta_0': 0.8649994383597227, 'beta_1': 0.9847185821816024, 'epsilon': 6.80159004174523e-05, 'balanced_loss': False, 'epochs': 165, 'early_stopping_patience': 11, 'plateau_patience': 22, 'plateau_divider': 3}. Best is trial 113 with value: 0.890295358649789.
[I 2025-01-08 22:16:43,186] Trial 117 finished with value: 0.8783403656821378 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6884779465634552, 'batch_size': 118, 'attention_heads': 5, 'hidden_dimension': 80, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5935011447463311, 'global_pooling': 'max', 'learning_rate': 0.0005308789692915457, 'weight_decay': 5.554852686749491e-05, 'beta_0': 0.8605866372992729, 'beta_1': 0.997493765868937, 'epsilon': 3.5189188367453076e-05, 'balanced_loss': False, 'epochs': 190, 'early_stopping_patience': 12, 'plateau_patience': 21, 'plateau_divider': 4}. Best is trial 113 with value: 0.890295358649789.
