[I 2025-01-09 11:27:37,124] Using an existing study with name 'RTSP-GATv2-facebook-bart-large-Surrogate-No_Aggregation' instead of creating a new one.
[I 2025-01-09 11:41:02,814] Trial 87 finished with value: 0.8502109704641351 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.5677638631304116, 'batch_size': 136, 'attention_heads': 14, 'hidden_dimension': 199, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3613529900985936, 'global_pooling': 'mean', 'learning_rate': 0.011802082428154767, 'weight_decay': 0.00023814076232801118, 'beta_0': 0.8118430633577361, 'beta_1': 0.9861742186136709, 'epsilon': 4.8600562167785295e-08, 'balanced_loss': True, 'epochs': 67, 'early_stopping_patience': 22, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 16:52:59,079] Trial 121 finished with value: 0.9043600562587905 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.5740224452726769, 'batch_size': 70, 'attention_heads': 13, 'hidden_dimension': 227, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5160392709728061, 'global_pooling': 'mean', 'learning_rate': 0.0017157696955319493, 'weight_decay': 3.934635267853874e-05, 'beta_0': 0.8058045299561681, 'beta_1': 0.9822109738867001, 'epsilon': 6.361892346616388e-05, 'balanced_loss': False, 'epochs': 69, 'early_stopping_patience': 22, 'plateau_patience': 23, 'plateau_divider': 6}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 17:01:33,058] Trial 122 finished with value: 0.9036568213783404 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.5792827308357053, 'batch_size': 71, 'attention_heads': 13, 'hidden_dimension': 246, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5179008706980301, 'global_pooling': 'mean', 'learning_rate': 0.0007613252768311753, 'weight_decay': 3.1743631287365885e-05, 'beta_0': 0.8001005532199845, 'beta_1': 0.9825592736140966, 'epsilon': 6.61285757081412e-05, 'balanced_loss': False, 'epochs': 65, 'early_stopping_patience': 22, 'plateau_patience': 23, 'plateau_divider': 6}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 17:09:38,307] Trial 123 finished with value: 0.9008438818565401 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.6057263728524772, 'batch_size': 59, 'attention_heads': 12, 'hidden_dimension': 232, 'number_of_hidden_layers': 1, 'dropout_rate': 0.40214108786678054, 'global_pooling': 'mean', 'learning_rate': 0.0016537358108201824, 'weight_decay': 2.8719662501101888e-05, 'beta_0': 0.8057735186490264, 'beta_1': 0.9814777878868178, 'epsilon': 4.4657925358135525e-05, 'balanced_loss': False, 'epochs': 69, 'early_stopping_patience': 21, 'plateau_patience': 23, 'plateau_divider': 6}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 17:18:05,988] Trial 124 finished with value: 0.9029535864978903 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.570374202857262, 'batch_size': 69, 'attention_heads': 12, 'hidden_dimension': 219, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5390282221644453, 'global_pooling': 'mean', 'learning_rate': 0.005209875837550736, 'weight_decay': 2.367482652303621e-05, 'beta_0': 0.8025671481693017, 'beta_1': 0.982265012183632, 'epsilon': 3.498959407259168e-05, 'balanced_loss': False, 'epochs': 62, 'early_stopping_patience': 22, 'plateau_patience': 24, 'plateau_divider': 6}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 17:26:48,005] Trial 125 finished with value: 0.9043600562587905 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.6212018718578719, 'batch_size': 39, 'attention_heads': 13, 'hidden_dimension': 226, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5079713733242164, 'global_pooling': 'mean', 'learning_rate': 0.002485041355476879, 'weight_decay': 3.591889551412394e-05, 'beta_0': 0.8037032743141658, 'beta_1': 0.9808854199957913, 'epsilon': 9.892897802753378e-05, 'balanced_loss': False, 'epochs': 55, 'early_stopping_patience': 23, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 17:35:53,112] Trial 126 finished with value: 0.9036568213783404 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.645407708072626, 'batch_size': 32, 'attention_heads': 13, 'hidden_dimension': 229, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5016647315043151, 'global_pooling': 'mean', 'learning_rate': 0.004441963557035151, 'weight_decay': 1.505052118499553e-05, 'beta_0': 0.8033409919002663, 'beta_1': 0.9809290281344841, 'epsilon': 8.93200294241061e-05, 'balanced_loss': False, 'epochs': 73, 'early_stopping_patience': 23, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 17:45:45,757] Trial 127 finished with value: 0.9015471167369902 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.6286392279881176, 'batch_size': 38, 'attention_heads': 15, 'hidden_dimension': 239, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5162266963296379, 'global_pooling': 'mean', 'learning_rate': 0.0035982528408021455, 'weight_decay': 3.898097162209177e-05, 'beta_0': 0.8078803865289851, 'beta_1': 0.98178571220869, 'epsilon': 7.427629642589375e-05, 'balanced_loss': False, 'epochs': 56, 'early_stopping_patience': 23, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 17:54:49,481] Trial 128 finished with value: 0.9015471167369902 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.6151771138851005, 'batch_size': 47, 'attention_heads': 13, 'hidden_dimension': 225, 'number_of_hidden_layers': 1, 'dropout_rate': 0.49649504309148007, 'global_pooling': 'mean', 'learning_rate': 0.0025184662095050162, 'weight_decay': 3.365959352995755e-05, 'beta_0': 0.811007173505144, 'beta_1': 0.9807433384556248, 'epsilon': 6.247795356977512e-05, 'balanced_loss': False, 'epochs': 50, 'early_stopping_patience': 24, 'plateau_patience': 25, 'plateau_divider': 8}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 18:01:55,513] Trial 129 finished with value: 0.89943741209564 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.6537332138312123, 'batch_size': 54, 'attention_heads': 12, 'hidden_dimension': 108, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5281843602446168, 'global_pooling': 'mean', 'learning_rate': 0.00611781953187651, 'weight_decay': 4.185229978331555e-05, 'beta_0': 0.8059699772778578, 'beta_1': 0.9810862036020477, 'epsilon': 5.370438262231869e-05, 'balanced_loss': False, 'epochs': 68, 'early_stopping_patience': 22, 'plateau_patience': 22, 'plateau_divider': 4}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 18:10:51,808] Trial 130 finished with value: 0.9050632911392406 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.5940197658067572, 'batch_size': 41, 'attention_heads': 14, 'hidden_dimension': 209, 'number_of_hidden_layers': 1, 'dropout_rate': 0.548319926747573, 'global_pooling': 'mean', 'learning_rate': 0.002964476699832162, 'weight_decay': 9.698191965059921e-06, 'beta_0': 0.8042358261528625, 'beta_1': 0.9814541065220649, 'epsilon': 9.074457959325224e-05, 'balanced_loss': False, 'epochs': 60, 'early_stopping_patience': 24, 'plateau_patience': 25, 'plateau_divider': 8}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 18:19:48,779] Trial 131 finished with value: 0.9036568213783404 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.593132169332598, 'batch_size': 67, 'attention_heads': 14, 'hidden_dimension': 204, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5522427793078686, 'global_pooling': 'mean', 'learning_rate': 0.003358103147296209, 'weight_decay': 7.873900673643512e-06, 'beta_0': 0.8082270357274518, 'beta_1': 0.9814333636086107, 'epsilon': 3.909323111185764e-05, 'balanced_loss': False, 'epochs': 61, 'early_stopping_patience': 24, 'plateau_patience': 25, 'plateau_divider': 10}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 18:29:46,527] Trial 132 finished with value: 0.9029535864978903 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.606049128789955, 'batch_size': 41, 'attention_heads': 14, 'hidden_dimension': 256, 'number_of_hidden_layers': 1, 'dropout_rate': 0.561841367917273, 'global_pooling': 'mean', 'learning_rate': 0.0009668976674483392, 'weight_decay': 5.134424920952933e-06, 'beta_0': 0.8040946783787152, 'beta_1': 0.9825798818973163, 'epsilon': 9.608408733896584e-05, 'balanced_loss': False, 'epochs': 65, 'early_stopping_patience': 24, 'plateau_patience': 25, 'plateau_divider': 9}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 18:38:40,702] Trial 133 finished with value: 0.9029535864978903 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.6686746552613465, 'batch_size': 50, 'attention_heads': 15, 'hidden_dimension': 236, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5111757210924581, 'global_pooling': 'mean', 'learning_rate': 0.0027253748768233553, 'weight_decay': 3.50446758087356e-05, 'beta_0': 0.8021693652845852, 'beta_1': 0.9802414000352805, 'epsilon': 7.676379349519522e-05, 'balanced_loss': False, 'epochs': 59, 'early_stopping_patience': 23, 'plateau_patience': 24, 'plateau_divider': 9}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 18:48:06,579] Trial 134 finished with value: 0.9008438818565401 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.5509712437910889, 'batch_size': 38, 'attention_heads': 16, 'hidden_dimension': 209, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3912666706385824, 'global_pooling': 'mean', 'learning_rate': 0.00210485264202904, 'weight_decay': 6.829930952649798e-06, 'beta_0': 0.8053646763972742, 'beta_1': 0.9821370836760586, 'epsilon': 9.951252470735887e-05, 'balanced_loss': False, 'epochs': 168, 'early_stopping_patience': 23, 'plateau_patience': 23, 'plateau_divider': 8}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 18:56:52,874] Trial 135 finished with value: 0.9057665260196905 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.5879534251800912, 'batch_size': 75, 'attention_heads': 13, 'hidden_dimension': 212, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5361415070068523, 'global_pooling': 'mean', 'learning_rate': 0.004034145009641085, 'weight_decay': 1.0317025032202375e-05, 'beta_0': 0.8108170534764148, 'beta_1': 0.9807812237412001, 'epsilon': 5.812075535366132e-05, 'balanced_loss': False, 'epochs': 71, 'early_stopping_patience': 25, 'plateau_patience': 24, 'plateau_divider': 8}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 19:05:37,805] Trial 136 finished with value: 0.9043600562587905 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.5725399963569276, 'batch_size': 76, 'attention_heads': 14, 'hidden_dimension': 199, 'number_of_hidden_layers': 1, 'dropout_rate': 0.546124701678348, 'global_pooling': 'mean', 'learning_rate': 0.004952272312144818, 'weight_decay': 9.520749743804262e-06, 'beta_0': 0.8155042580120884, 'beta_1': 0.9834695892865164, 'epsilon': 5.706656305876576e-05, 'balanced_loss': False, 'epochs': 71, 'early_stopping_patience': 25, 'plateau_patience': 24, 'plateau_divider': 8}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 19:15:01,354] Trial 137 finished with value: 0.90014064697609 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.41632701405732414, 'batch_size': 85, 'attention_heads': 13, 'hidden_dimension': 216, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5381093477559311, 'global_pooling': 'mean', 'learning_rate': 0.0041196228451218, 'weight_decay': 5.092959650132457e-06, 'beta_0': 0.8105062362585671, 'beta_1': 0.9829475461685225, 'epsilon': 4.6036387928334385e-05, 'balanced_loss': False, 'epochs': 74, 'early_stopping_patience': 25, 'plateau_patience': 25, 'plateau_divider': 8}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 19:24:12,985] Trial 138 finished with value: 0.9050632911392406 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.5876756681794699, 'batch_size': 59, 'attention_heads': 14, 'hidden_dimension': 211, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5329420582185115, 'global_pooling': 'mean', 'learning_rate': 0.009812476617403865, 'weight_decay': 9.113480041576087e-06, 'beta_0': 0.8132012567225799, 'beta_1': 0.9812410790123508, 'epsilon': 1.991969873545288e-05, 'balanced_loss': False, 'epochs': 184, 'early_stopping_patience': 25, 'plateau_patience': 24, 'plateau_divider': 4}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 19:33:09,969] Trial 139 finished with value: 0.9008438818565401 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.584517580430271, 'batch_size': 58, 'attention_heads': 15, 'hidden_dimension': 214, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5321698050138928, 'global_pooling': 'mean', 'learning_rate': 0.01022392598271933, 'weight_decay': 1.0510273494968518e-05, 'beta_0': 0.8127905220189333, 'beta_1': 0.9806551095935505, 'epsilon': 2.30174686179823e-05, 'balanced_loss': False, 'epochs': 159, 'early_stopping_patience': 25, 'plateau_patience': 25, 'plateau_divider': 4}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 19:45:46,041] Trial 140 finished with value: 0.8952180028129395 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5368555757997622, 'batch_size': 45, 'attention_heads': 14, 'hidden_dimension': 207, 'number_of_hidden_layers': 3, 'dropout_rate': 0.33293543151950683, 'global_pooling': 'mean', 'learning_rate': 0.007173891134272628, 'weight_decay': 9.400172935591143e-06, 'beta_0': 0.817622791316109, 'beta_1': 0.9800171543485467, 'epsilon': 3.0677709288655104e-05, 'balanced_loss': False, 'epochs': 186, 'early_stopping_patience': 25, 'plateau_patience': 24, 'plateau_divider': 4}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 19:53:49,402] Trial 141 finished with value: 0.9015471167369902 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.5931424933685725, 'batch_size': 62, 'attention_heads': 14, 'hidden_dimension': 122, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5574384764928367, 'global_pooling': 'mean', 'learning_rate': 0.009061477270057764, 'weight_decay': 5.388002480708571e-06, 'beta_0': 0.8146034670051626, 'beta_1': 0.9813419529619433, 'epsilon': 7.083387703738838e-08, 'balanced_loss': False, 'epochs': 64, 'early_stopping_patience': 24, 'plateau_patience': 25, 'plateau_divider': 4}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 20:02:35,225] Trial 142 finished with value: 0.9057665260196905 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.5981526662918445, 'batch_size': 68, 'attention_heads': 15, 'hidden_dimension': 195, 'number_of_hidden_layers': 1, 'dropout_rate': 0.524439060330581, 'global_pooling': 'mean', 'learning_rate': 0.005779234149132858, 'weight_decay': 6.99690666085953e-06, 'beta_0': 0.8002655253363983, 'beta_1': 0.9821430953021791, 'epsilon': 6.410365005882271e-05, 'balanced_loss': False, 'epochs': 195, 'early_stopping_patience': 25, 'plateau_patience': 24, 'plateau_divider': 4}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 20:11:41,518] Trial 143 finished with value: 0.9022503516174403 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.5987980846981287, 'batch_size': 54, 'attention_heads': 15, 'hidden_dimension': 192, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5379115709965188, 'global_pooling': 'mean', 'learning_rate': 0.005841460321960679, 'weight_decay': 6.27447157485628e-06, 'beta_0': 0.8009685361168685, 'beta_1': 0.9816090606000976, 'epsilon': 7.273931604148607e-05, 'balanced_loss': False, 'epochs': 200, 'early_stopping_patience': 25, 'plateau_patience': 24, 'plateau_divider': 4}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 20:20:27,400] Trial 144 finished with value: 0.9029535864978903 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.6103785907058703, 'batch_size': 63, 'attention_heads': 15, 'hidden_dimension': 197, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5237770463883633, 'global_pooling': 'mean', 'learning_rate': 0.00534034277400952, 'weight_decay': 9.37300769526885e-06, 'beta_0': 0.808741862793135, 'beta_1': 0.9817803311463741, 'epsilon': 4.197110488759242e-05, 'balanced_loss': False, 'epochs': 189, 'early_stopping_patience': 25, 'plateau_patience': 24, 'plateau_divider': 4}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 20:29:08,177] Trial 145 finished with value: 0.9050632911392406 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.5632822553006422, 'batch_size': 177, 'attention_heads': 15, 'hidden_dimension': 211, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5807193756255129, 'global_pooling': 'mean', 'learning_rate': 0.004592351351547891, 'weight_decay': 1.6297374002089264e-05, 'beta_0': 0.8211254290412605, 'beta_1': 0.9813742846103938, 'epsilon': 5.1449533840297964e-05, 'balanced_loss': False, 'epochs': 192, 'early_stopping_patience': 24, 'plateau_patience': 25, 'plateau_divider': 8}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 20:38:28,899] Trial 146 finished with value: 0.9029535864978903 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.5855548022466878, 'batch_size': 235, 'attention_heads': 16, 'hidden_dimension': 211, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5247671229887864, 'global_pooling': 'mean', 'learning_rate': 0.006905039107333401, 'weight_decay': 1.6350957892833603e-05, 'beta_0': 0.8000174278321149, 'beta_1': 0.9812615839944278, 'epsilon': 3.297053284545586e-05, 'balanced_loss': False, 'epochs': 195, 'early_stopping_patience': 24, 'plateau_patience': 25, 'plateau_divider': 8}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 20:47:35,550] Trial 147 finished with value: 0.9043600562587905 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.5627461141285444, 'batch_size': 183, 'attention_heads': 15, 'hidden_dimension': 206, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5857125588077701, 'global_pooling': 'mean', 'learning_rate': 0.0042665490891691735, 'weight_decay': 1.2841503950991548e-05, 'beta_0': 0.820458916385634, 'beta_1': 0.9824689527199534, 'epsilon': 1.6107341760711457e-06, 'balanced_loss': False, 'epochs': 184, 'early_stopping_patience': 25, 'plateau_patience': 25, 'plateau_divider': 9}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 20:57:11,279] Trial 148 finished with value: 0.9022503516174403 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.6227255784288246, 'batch_size': 170, 'attention_heads': 15, 'hidden_dimension': 221, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5718588040373993, 'global_pooling': 'mean', 'learning_rate': 0.011744776020360647, 'weight_decay': 7.353979398088453e-06, 'beta_0': 0.8262370744807309, 'beta_1': 0.98195254493481, 'epsilon': 4.762374092033843e-08, 'balanced_loss': False, 'epochs': 165, 'early_stopping_patience': 24, 'plateau_patience': 24, 'plateau_divider': 8}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 21:04:58,619] Trial 149 finished with value: 0.9064697609001406 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.5540772459224161, 'batch_size': 202, 'attention_heads': 9, 'hidden_dimension': 199, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5335932217836582, 'global_pooling': 'mean', 'learning_rate': 0.0031667561156212315, 'weight_decay': 1.9025850178696993e-05, 'beta_0': 0.8219572110199665, 'beta_1': 0.9831573355219233, 'epsilon': 1.8297479502396147e-05, 'balanced_loss': False, 'epochs': 196, 'early_stopping_patience': 25, 'plateau_patience': 25, 'plateau_divider': 8}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 21:12:10,192] Trial 150 finished with value: 0.9043600562587905 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6007947585389375, 'batch_size': 202, 'attention_heads': 9, 'hidden_dimension': 186, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5328216656140957, 'global_pooling': 'mean', 'learning_rate': 0.007357783529696074, 'weight_decay': 2.1781420574496623e-05, 'beta_0': 0.8225702017446507, 'beta_1': 0.9845399900213258, 'epsilon': 8.608347968020493e-06, 'balanced_loss': False, 'epochs': 192, 'early_stopping_patience': 17, 'plateau_patience': 25, 'plateau_divider': 8}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 21:19:36,583] Trial 151 finished with value: 0.9057665260196905 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.5612413225227579, 'batch_size': 205, 'attention_heads': 8, 'hidden_dimension': 199, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5467732538403932, 'global_pooling': 'mean', 'learning_rate': 0.004612125232345092, 'weight_decay': 1.1614719875824267e-05, 'beta_0': 0.824814372503318, 'beta_1': 0.9839199933381995, 'epsilon': 1.6694979974454317e-05, 'balanced_loss': False, 'epochs': 193, 'early_stopping_patience': 24, 'plateau_patience': 25, 'plateau_divider': 8}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 21:27:04,112] Trial 152 finished with value: 0.9029535864978903 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.5550106967995171, 'batch_size': 220, 'attention_heads': 8, 'hidden_dimension': 197, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5451323430624427, 'global_pooling': 'mean', 'learning_rate': 0.004553585376439188, 'weight_decay': 1.097263995635924e-05, 'beta_0': 0.8242228784456822, 'beta_1': 0.9832385393266762, 'epsilon': 1.7504957287938176e-05, 'balanced_loss': False, 'epochs': 193, 'early_stopping_patience': 24, 'plateau_patience': 25, 'plateau_divider': 8}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 21:34:30,063] Trial 153 finished with value: 0.9022503516174403 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.572836199070398, 'batch_size': 209, 'attention_heads': 7, 'hidden_dimension': 203, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5519955319028813, 'global_pooling': 'mean', 'learning_rate': 0.005649214652064382, 'weight_decay': 1.7957444187011538e-05, 'beta_0': 0.8283161259669944, 'beta_1': 0.9838192379046284, 'epsilon': 1.480612807184515e-05, 'balanced_loss': False, 'epochs': 187, 'early_stopping_patience': 25, 'plateau_patience': 25, 'plateau_divider': 8}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 21:41:39,286] Trial 154 finished with value: 0.9064697609001406 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.5885605951686294, 'batch_size': 195, 'attention_heads': 7, 'hidden_dimension': 191, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5651273867300497, 'global_pooling': 'mean', 'learning_rate': 0.0034907237423109274, 'weight_decay': 1.3940514345566059e-05, 'beta_0': 0.8187529571282621, 'beta_1': 0.9842649326863099, 'epsilon': 3.93395678802188e-06, 'balanced_loss': False, 'epochs': 196, 'early_stopping_patience': 24, 'plateau_patience': 24, 'plateau_divider': 8}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 21:48:59,090] Trial 155 finished with value: 0.9036568213783404 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.5868709602545353, 'batch_size': 197, 'attention_heads': 7, 'hidden_dimension': 194, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5848835824459223, 'global_pooling': 'mean', 'learning_rate': 0.0035733795774832854, 'weight_decay': 1.468879150589163e-05, 'beta_0': 0.8314457385085086, 'beta_1': 0.9849028780930654, 'epsilon': 1.1994496608218861e-05, 'balanced_loss': False, 'epochs': 196, 'early_stopping_patience': 24, 'plateau_patience': 24, 'plateau_divider': 9}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 21:56:04,607] Trial 156 finished with value: 0.9029535864978903 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.5612584777772436, 'batch_size': 209, 'attention_heads': 6, 'hidden_dimension': 201, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5626742937182209, 'global_pooling': 'mean', 'learning_rate': 0.0029048680287696214, 'weight_decay': 1.9943169528811344e-05, 'beta_0': 0.8214307561184969, 'beta_1': 0.9830188499462844, 'epsilon': 3.6961943950740624e-06, 'balanced_loss': False, 'epochs': 190, 'early_stopping_patience': 24, 'plateau_patience': 24, 'plateau_divider': 8}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 22:03:26,755] Trial 157 finished with value: 0.9064697609001406 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.5943911355730769, 'batch_size': 215, 'attention_heads': 6, 'hidden_dimension': 190, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5680367547428217, 'global_pooling': 'mean', 'learning_rate': 0.008259780721541269, 'weight_decay': 1.2521920583788112e-05, 'beta_0': 0.8180128924786231, 'beta_1': 0.9842334452357269, 'epsilon': 1.9983337719189062e-05, 'balanced_loss': False, 'epochs': 197, 'early_stopping_patience': 25, 'plateau_patience': 23, 'plateau_divider': 8}. Best is trial 30 with value: 0.9085794655414908.
[I 2025-01-09 22:10:30,543] Trial 158 finished with value: 0.9015471167369902 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6348725366651471, 'batch_size': 216, 'attention_heads': 6, 'hidden_dimension': 189, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5745699099484718, 'global_pooling': 'mean', 'learning_rate': 0.008098894077045981, 'weight_decay': 1.0995809642343595e-05, 'beta_0': 0.8165785723174335, 'beta_1': 0.9851383635162498, 'epsilon': 2.072784806494993e-05, 'balanced_loss': False, 'epochs': 196, 'early_stopping_patience': 25, 'plateau_patience': 23, 'plateau_divider': 8}. Best is trial 30 with value: 0.9085794655414908.
