Some weights of RobertaModel were not initialized from the model checkpoint at FacebookAI/roberta-large and are newly initialized: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
[I 2025-01-08 09:47:52,035] A new study created in RDB with name: RTSP-GATv2-FacebookAI-roberta-large-Surrogate-No_Aggregation
[I 2025-01-08 09:57:40,374] Trial 0 finished with value: 0.869198312236287 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.4319459866925097, 'batch_size': 226, 'attention_heads': 11, 'hidden_dimension': 191, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5909729556485983, 'global_pooling': 'mean', 'learning_rate': 5.415244119402538e-05, 'weight_decay': 8.179499475211674e-06, 'beta_0': 0.8510059609290175, 'beta_1': 0.9881622148267181, 'epsilon': 1.4618962793704927e-07, 'balanced_loss': True, 'epochs': 94, 'early_stopping_patience': 15, 'plateau_patience': 17, 'plateau_divider': 9}. Best is trial 0 with value: 0.869198312236287.
[I 2025-01-08 11:42:00,677] Trial 11 finished with value: 0.8783403656821378 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5429301151897528, 'batch_size': 133, 'attention_heads': 13, 'hidden_dimension': 153, 'number_of_hidden_layers': 2, 'dropout_rate': 0.46071730891199836, 'global_pooling': 'max', 'learning_rate': 0.0022769339956247325, 'weight_decay': 0.00012347264323805512, 'beta_0': 0.8650512261763105, 'beta_1': 0.9852831052027559, 'epsilon': 3.5219542615325126e-06, 'balanced_loss': False, 'epochs': 68, 'early_stopping_patience': 25, 'plateau_patience': 14, 'plateau_divider': 8}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 11:50:27,168] Trial 12 finished with value: 0.8734177215189873 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.49206944168603733, 'batch_size': 40, 'attention_heads': 14, 'hidden_dimension': 157, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3192748487490644, 'global_pooling': 'max', 'learning_rate': 0.002993822596590883, 'weight_decay': 0.0006496560363487971, 'beta_0': 0.8633419942682585, 'beta_1': 0.9888106648870806, 'epsilon': 8.273749485522013e-05, 'balanced_loss': False, 'epochs': 122, 'early_stopping_patience': 19, 'plateau_patience': 22, 'plateau_divider': 5}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 11:57:31,834] Trial 13 finished with value: 0.8790436005625879 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6147038964301609, 'batch_size': 134, 'attention_heads': 11, 'hidden_dimension': 180, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5051148059183047, 'global_pooling': 'mean', 'learning_rate': 0.005610538260615647, 'weight_decay': 2.201071080986499e-05, 'beta_0': 0.8754884432598531, 'beta_1': 0.9845853155272983, 'epsilon': 1.4495780472319845e-06, 'balanced_loss': False, 'epochs': 52, 'early_stopping_patience': 15, 'plateau_patience': 13, 'plateau_divider': 8}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 12:08:23,223] Trial 14 finished with value: 0.8734177215189873 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.40697001408482375, 'batch_size': 167, 'attention_heads': 16, 'hidden_dimension': 122, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4200847481387234, 'global_pooling': 'sum', 'learning_rate': 0.0004374029324858842, 'weight_decay': 0.00015542744992165159, 'beta_0': 0.8335115294146959, 'beta_1': 0.9907938950317897, 'epsilon': 6.938412159457734e-06, 'balanced_loss': False, 'epochs': 96, 'early_stopping_patience': 11, 'plateau_patience': 17, 'plateau_divider': 7}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 12:15:02,497] Trial 15 finished with value: 0.869901547116737 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6191631073596839, 'batch_size': 255, 'attention_heads': 13, 'hidden_dimension': 171, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3579106649189486, 'global_pooling': 'mean', 'learning_rate': 0.007498219215595538, 'weight_decay': 2.9717654452879454e-06, 'beta_0': 0.856537324618047, 'beta_1': 0.9862745498687225, 'epsilon': 8.927654891201091e-07, 'balanced_loss': False, 'epochs': 138, 'early_stopping_patience': 13, 'plateau_patience': 22, 'plateau_divider': 10}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 12:26:07,231] Trial 16 finished with value: 0.8846694796061885 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.4892092190892516, 'batch_size': 213, 'attention_heads': 11, 'hidden_dimension': 255, 'number_of_hidden_layers': 2, 'dropout_rate': 0.42943197763828517, 'global_pooling': 'max', 'learning_rate': 0.0008782196750222917, 'weight_decay': 2.405499229256578e-05, 'beta_0': 0.8383453063313233, 'beta_1': 0.9833290187302544, 'epsilon': 2.993594976218485e-05, 'balanced_loss': False, 'epochs': 100, 'early_stopping_patience': 20, 'plateau_patience': 12, 'plateau_divider': 5}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 12:37:07,436] Trial 17 finished with value: 0.8776371308016878 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.4745380334839262, 'batch_size': 217, 'attention_heads': 11, 'hidden_dimension': 238, 'number_of_hidden_layers': 2, 'dropout_rate': 0.389497295522922, 'global_pooling': 'mean', 'learning_rate': 0.0001349134319604129, 'weight_decay': 1.781779315032637e-05, 'beta_0': 0.8013289899223419, 'beta_1': 0.9800049324844465, 'epsilon': 3.128083746782649e-05, 'balanced_loss': False, 'epochs': 99, 'early_stopping_patience': 17, 'plateau_patience': 12, 'plateau_divider': 4}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 12:43:41,102] Trial 18 finished with value: 0.8755274261603375 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.48797371615511476, 'batch_size': 215, 'attention_heads': 7, 'hidden_dimension': 251, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3430471455405575, 'global_pooling': 'max', 'learning_rate': 0.0005914003205488965, 'weight_decay': 2.6625223131906627e-06, 'beta_0': 0.8148146679089064, 'beta_1': 0.9826688625573108, 'epsilon': 2.4953203233766828e-05, 'balanced_loss': True, 'epochs': 134, 'early_stopping_patience': 23, 'plateau_patience': 23, 'plateau_divider': 5}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 12:50:59,489] Trial 19 finished with value: 0.8396624472573839 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8475560900647063, 'batch_size': 233, 'attention_heads': 10, 'hidden_dimension': 216, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5264952275625236, 'global_pooling': 'sum', 'learning_rate': 9.107516226029018e-05, 'weight_decay': 4.0395468882827666e-06, 'beta_0': 0.8360028253240063, 'beta_1': 0.9833281756162999, 'epsilon': 2.256135952877311e-06, 'balanced_loss': False, 'epochs': 114, 'early_stopping_patience': 15, 'plateau_patience': 19, 'plateau_divider': 8}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 13:01:58,495] Trial 20 finished with value: 0.8741209563994374 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6336329458718444, 'batch_size': 189, 'attention_heads': 6, 'hidden_dimension': 256, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4612973389518225, 'global_pooling': 'max', 'learning_rate': 4.0507040755381475e-05, 'weight_decay': 3.877580283863301e-05, 'beta_0': 0.8802917037459347, 'beta_1': 0.9874509530182376, 'epsilon': 9.527260601973226e-05, 'balanced_loss': False, 'epochs': 81, 'early_stopping_patience': 23, 'plateau_patience': 10, 'plateau_divider': 7}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 13:13:11,724] Trial 21 finished with value: 0.8867791842475387 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5741438640415456, 'batch_size': 107, 'attention_heads': 14, 'hidden_dimension': 201, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4373431243482297, 'global_pooling': 'max', 'learning_rate': 0.0010164183891707677, 'weight_decay': 7.1305236862908e-05, 'beta_0': 0.8431452509991157, 'beta_1': 0.9899389704146128, 'epsilon': 6.624818553113679e-07, 'balanced_loss': False, 'epochs': 55, 'early_stopping_patience': 20, 'plateau_patience': 16, 'plateau_divider': 5}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 13:27:49,218] Trial 22 finished with value: 0.8762306610407876 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.4761185306197713, 'batch_size': 204, 'attention_heads': 15, 'hidden_dimension': 209, 'number_of_hidden_layers': 3, 'dropout_rate': 0.42938746725394583, 'global_pooling': 'max', 'learning_rate': 0.0007111667703692625, 'weight_decay': 7.362324856722782e-05, 'beta_0': 0.8437180803522132, 'beta_1': 0.9841946504088157, 'epsilon': 4.238974487774223e-06, 'balanced_loss': False, 'epochs': 82, 'early_stopping_patience': 19, 'plateau_patience': 16, 'plateau_divider': 5}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 13:40:58,892] Trial 23 finished with value: 0.5239099859353024 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5307172782622038, 'batch_size': 164, 'attention_heads': 15, 'hidden_dimension': 233, 'number_of_hidden_layers': 3, 'dropout_rate': 0.48316330557097303, 'global_pooling': 'max', 'learning_rate': 0.0866438695660128, 'weight_decay': 1.5914366405258975e-05, 'beta_0': 0.8263166852336423, 'beta_1': 0.9871597582789803, 'epsilon': 1.3790421287109746e-05, 'balanced_loss': False, 'epochs': 150, 'early_stopping_patience': 21, 'plateau_patience': 13, 'plateau_divider': 4}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 13:51:24,101] Trial 24 finished with value: 0.8776371308016878 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.4623043902782449, 'batch_size': 240, 'attention_heads': 12, 'hidden_dimension': 194, 'number_of_hidden_layers': 2, 'dropout_rate': 0.403930832599275, 'global_pooling': 'max', 'learning_rate': 0.0047001692916373156, 'weight_decay': 8.259663516524038e-05, 'beta_0': 0.864538712030832, 'beta_1': 0.981760766060253, 'epsilon': 4.2015800902867955e-05, 'balanced_loss': False, 'epochs': 111, 'early_stopping_patience': 17, 'plateau_patience': 20, 'plateau_divider': 5}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 14:02:45,365] Trial 25 finished with value: 0.8804500703234881 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.4016818613218855, 'batch_size': 114, 'attention_heads': 14, 'hidden_dimension': 229, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3298430163448117, 'global_pooling': 'mean', 'learning_rate': 0.0010695266061968144, 'weight_decay': 4.766997212640653e-05, 'beta_0': 0.8401528869510887, 'beta_1': 0.9919548666775273, 'epsilon': 6.837263856880907e-06, 'balanced_loss': False, 'epochs': 126, 'early_stopping_patience': 19, 'plateau_patience': 12, 'plateau_divider': 3}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 14:10:41,076] Trial 26 finished with value: 0.8825597749648383 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5872377046822038, 'batch_size': 36, 'attention_heads': 16, 'hidden_dimension': 127, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3701449672314153, 'global_pooling': 'max', 'learning_rate': 0.0008929009804809114, 'weight_decay': 1.1291985646668105e-05, 'beta_0': 0.8574614519351811, 'beta_1': 0.9899381275997355, 'epsilon': 1.2997824222875349e-06, 'balanced_loss': False, 'epochs': 62, 'early_stopping_patience': 25, 'plateau_patience': 15, 'plateau_divider': 9}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 14:17:13,815] Trial 27 finished with value: 0.8748241912798875 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5100793391521667, 'batch_size': 171, 'attention_heads': 14, 'hidden_dimension': 40, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4474130649463693, 'global_pooling': 'max', 'learning_rate': 0.009490951345864205, 'weight_decay': 0.0009514745498470655, 'beta_0': 0.8127999515098628, 'beta_1': 0.99435172773128, 'epsilon': 1.2561320967976556e-05, 'balanced_loss': True, 'epochs': 83, 'early_stopping_patience': 16, 'plateau_patience': 18, 'plateau_divider': 7}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 14:26:51,910] Trial 28 finished with value: 0.8516174402250352 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6561447773264898, 'batch_size': 256, 'attention_heads': 12, 'hidden_dimension': 203, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5166519659152378, 'global_pooling': 'sum', 'learning_rate': 0.00026593052536829216, 'weight_decay': 2.754311591111699e-05, 'beta_0': 0.830056274303004, 'beta_1': 0.9837992198845685, 'epsilon': 5.558764784147446e-07, 'balanced_loss': False, 'epochs': 105, 'early_stopping_patience': 22, 'plateau_patience': 21, 'plateau_divider': 3}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 14:33:28,063] Trial 29 finished with value: 0.8825597749648383 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.43964571435752675, 'batch_size': 225, 'attention_heads': 10, 'hidden_dimension': 186, 'number_of_hidden_layers': 0, 'dropout_rate': 0.47524159361743334, 'global_pooling': 'mean', 'learning_rate': 0.002578780866453067, 'weight_decay': 1.2127887803966625e-05, 'beta_0': 0.8574300967474919, 'beta_1': 0.9886318924881252, 'epsilon': 3.6067287976918034e-06, 'balanced_loss': True, 'epochs': 88, 'early_stopping_patience': 20, 'plateau_patience': 16, 'plateau_divider': 9}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 14:46:26,914] Trial 30 finished with value: 0.8663853727144867 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.4445489861234328, 'batch_size': 204, 'attention_heads': 12, 'hidden_dimension': 165, 'number_of_hidden_layers': 2, 'dropout_rate': 0.39015130778173357, 'global_pooling': 'mean', 'learning_rate': 4.720538411477114e-05, 'weight_decay': 1.029904476432445e-06, 'beta_0': 0.8990941341074922, 'beta_1': 0.9873529000211195, 'epsilon': 1.99696494599711e-07, 'balanced_loss': False, 'epochs': 123, 'early_stopping_patience': 18, 'plateau_patience': 24, 'plateau_divider': 6}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 14:54:19,418] Trial 31 finished with value: 0.8748241912798875 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5909268461886825, 'batch_size': 35, 'attention_heads': 16, 'hidden_dimension': 131, 'number_of_hidden_layers': 1, 'dropout_rate': 0.37338863697106023, 'global_pooling': 'max', 'learning_rate': 0.0011179109914470494, 'weight_decay': 9.320027259765455e-06, 'beta_0': 0.8575200789358869, 'beta_1': 0.9901040596244662, 'epsilon': 1.2879626550500418e-06, 'balanced_loss': False, 'epochs': 64, 'early_stopping_patience': 25, 'plateau_patience': 17, 'plateau_divider': 9}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 15:01:51,139] Trial 32 finished with value: 0.8839662447257384 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5889409388510195, 'batch_size': 58, 'attention_heads': 15, 'hidden_dimension': 106, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4259573116058043, 'global_pooling': 'max', 'learning_rate': 0.0006455379355540482, 'weight_decay': 4.159527028402824e-06, 'beta_0': 0.8903437708063487, 'beta_1': 0.9906431030971072, 'epsilon': 1.889093269276635e-06, 'balanced_loss': False, 'epochs': 59, 'early_stopping_patience': 24, 'plateau_patience': 14, 'plateau_divider': 9}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 15:08:20,933] Trial 33 finished with value: 0.8762306610407876 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5040796597187829, 'batch_size': 76, 'attention_heads': 15, 'hidden_dimension': 85, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4135914483312282, 'global_pooling': 'max', 'learning_rate': 0.0004495520516134353, 'weight_decay': 2.2168417958825035e-06, 'beta_0': 0.8894400999432912, 'beta_1': 0.9938901640988544, 'epsilon': 7.365680004497679e-07, 'balanced_loss': False, 'epochs': 74, 'early_stopping_patience': 24, 'plateau_patience': 14, 'plateau_divider': 9}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 15:15:27,542] Trial 34 finished with value: 0.8734177215189873 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.7234671554919629, 'batch_size': 57, 'attention_heads': 14, 'hidden_dimension': 80, 'number_of_hidden_layers': 1, 'dropout_rate': 0.43584526941999935, 'global_pooling': 'max', 'learning_rate': 0.0001434102590305468, 'weight_decay': 5.347759041641954e-06, 'beta_0': 0.8900923170040165, 'beta_1': 0.9912257490471328, 'epsilon': 1.1149700292540624e-08, 'balanced_loss': False, 'epochs': 54, 'early_stopping_patience': 22, 'plateau_patience': 13, 'plateau_divider': 8}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 15:22:56,659] Trial 35 finished with value: 0.8804500703234881 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.5703454123760441, 'batch_size': 112, 'attention_heads': 9, 'hidden_dimension': 107, 'number_of_hidden_layers': 3, 'dropout_rate': 0.39676108296421536, 'global_pooling': 'max', 'learning_rate': 0.0016475865404664493, 'weight_decay': 2.0587070584420913e-06, 'beta_0': 0.8448747427598738, 'beta_1': 0.9861491521057446, 'epsilon': 3.3783254652902583e-07, 'balanced_loss': False, 'epochs': 60, 'early_stopping_patience': 20, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 15:31:11,514] Trial 36 finished with value: 0.8790436005625879 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5336799961568812, 'batch_size': 62, 'attention_heads': 16, 'hidden_dimension': 68, 'number_of_hidden_layers': 4, 'dropout_rate': 0.42472819900036746, 'global_pooling': 'max', 'learning_rate': 0.0034559220320120386, 'weight_decay': 1.4139796402248582e-06, 'beta_0': 0.8721775252831482, 'beta_1': 0.993179346049934, 'epsilon': 2.2699895037838125e-06, 'balanced_loss': False, 'epochs': 157, 'early_stopping_patience': 22, 'plateau_patience': 14, 'plateau_divider': 5}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 15:38:13,163] Trial 37 finished with value: 0.869198312236287 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.4377602511114615, 'batch_size': 89, 'attention_heads': 4, 'hidden_dimension': 225, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4506635765535551, 'global_pooling': 'sum', 'learning_rate': 0.0016211983094040353, 'weight_decay': 3.922258518856417e-06, 'beta_0': 0.8943125639336422, 'beta_1': 0.9960804659100704, 'epsilon': 5.62122807575734e-06, 'balanced_loss': True, 'epochs': 76, 'early_stopping_patience': 21, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 1 with value: 0.8888888888888888.
