Some weights of RobertaModel were not initialized from the model checkpoint at FacebookAI/roberta-base and are newly initialized: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
[I 2025-01-08 19:25:03,797] Using an existing study with name 'RTSP-GATv2-FacebookAI-roberta-base-Grouped-No_Aggregation' instead of creating a new one.
[I 2025-01-08 19:29:11,252] Trial 99 finished with value: 0.8769338959212377 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.7564324823670076, 'batch_size': 234, 'attention_heads': 11, 'hidden_dimension': 79, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5037731291262368, 'global_pooling': 'max', 'learning_rate': 0.00243939860890957, 'weight_decay': 2.585577967197233e-05, 'beta_0': 0.8393064806940972, 'beta_1': 0.9934609682658256, 'epsilon': 3.0562473713857886e-07, 'balanced_loss': True, 'epochs': 83, 'early_stopping_patience': 15, 'plateau_patience': 22, 'plateau_divider': 6}. Best is trial 72 with value: 0.8832630098452883.
[I 2025-01-08 20:13:13,402] Trial 110 finished with value: 0.8677918424753868 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8932893809615129, 'batch_size': 178, 'attention_heads': 13, 'hidden_dimension': 76, 'number_of_hidden_layers': 0, 'dropout_rate': 0.43612003246315423, 'global_pooling': 'max', 'learning_rate': 0.0007207697419411996, 'weight_decay': 7.986734963497762e-06, 'beta_0': 0.846823893087979, 'beta_1': 0.9976490522121401, 'epsilon': 3.1109962095110563e-07, 'balanced_loss': True, 'epochs': 144, 'early_stopping_patience': 14, 'plateau_patience': 11, 'plateau_divider': 6}. Best is trial 104 with value: 0.8846694796061885.
[I 2025-01-08 20:17:01,458] Trial 111 finished with value: 0.8804500703234881 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8685175117262146, 'batch_size': 194, 'attention_heads': 10, 'hidden_dimension': 46, 'number_of_hidden_layers': 1, 'dropout_rate': 0.43824736393933994, 'global_pooling': 'max', 'learning_rate': 0.0012197053202293634, 'weight_decay': 1.2574307311172063e-05, 'beta_0': 0.8508791474264835, 'beta_1': 0.9962107575204807, 'epsilon': 2.2848560388495878e-07, 'balanced_loss': True, 'epochs': 128, 'early_stopping_patience': 13, 'plateau_patience': 13, 'plateau_divider': 2}. Best is trial 104 with value: 0.8846694796061885.
[I 2025-01-08 20:20:49,616] Trial 112 finished with value: 0.8628691983122363 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9230568018670262, 'batch_size': 190, 'attention_heads': 10, 'hidden_dimension': 48, 'number_of_hidden_layers': 1, 'dropout_rate': 0.42178089147417186, 'global_pooling': 'max', 'learning_rate': 0.0029716075264723694, 'weight_decay': 1.2517731338228262e-05, 'beta_0': 0.8517045431263881, 'beta_1': 0.9955452504433512, 'epsilon': 4.775277324884392e-07, 'balanced_loss': True, 'epochs': 130, 'early_stopping_patience': 13, 'plateau_patience': 13, 'plateau_divider': 2}. Best is trial 104 with value: 0.8846694796061885.
[I 2025-01-08 20:24:43,974] Trial 113 finished with value: 0.8811533052039381 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8000120660492439, 'batch_size': 218, 'attention_heads': 10, 'hidden_dimension': 56, 'number_of_hidden_layers': 1, 'dropout_rate': 0.41595841237283065, 'global_pooling': 'max', 'learning_rate': 0.0016397597388192599, 'weight_decay': 1.8983106960769788e-05, 'beta_0': 0.838269544357543, 'beta_1': 0.9964121512399694, 'epsilon': 8.486080717956228e-07, 'balanced_loss': True, 'epochs': 123, 'early_stopping_patience': 13, 'plateau_patience': 14, 'plateau_divider': 2}. Best is trial 104 with value: 0.8846694796061885.
[I 2025-01-08 20:28:45,452] Trial 114 finished with value: 0.8783403656821378 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8664378165062109, 'batch_size': 197, 'attention_heads': 9, 'hidden_dimension': 35, 'number_of_hidden_layers': 1, 'dropout_rate': 0.43881047648470484, 'global_pooling': 'max', 'learning_rate': 0.001216215209631306, 'weight_decay': 1.7988670287802226e-05, 'beta_0': 0.8374794632999172, 'beta_1': 0.9963299378272842, 'epsilon': 2.1678406485334846e-07, 'balanced_loss': True, 'epochs': 138, 'early_stopping_patience': 13, 'plateau_patience': 12, 'plateau_divider': 3}. Best is trial 104 with value: 0.8846694796061885.
[I 2025-01-08 20:32:37,706] Trial 115 finished with value: 0.8783403656821378 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8722996939210445, 'batch_size': 209, 'attention_heads': 10, 'hidden_dimension': 41, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4026571986856099, 'global_pooling': 'max', 'learning_rate': 0.0016280693528398316, 'weight_decay': 2.1608986017837912e-05, 'beta_0': 0.8502652476777774, 'beta_1': 0.9948416705975113, 'epsilon': 3.715819004626598e-07, 'balanced_loss': True, 'epochs': 134, 'early_stopping_patience': 12, 'plateau_patience': 14, 'plateau_divider': 2}. Best is trial 104 with value: 0.8846694796061885.
[I 2025-01-08 20:36:28,749] Trial 116 finished with value: 0.8635724331926864 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9108782950454075, 'batch_size': 204, 'attention_heads': 9, 'hidden_dimension': 51, 'number_of_hidden_layers': 1, 'dropout_rate': 0.458775565370621, 'global_pooling': 'max', 'learning_rate': 0.005963780541843405, 'weight_decay': 1.1220843026405482e-05, 'beta_0': 0.8298908077122351, 'beta_1': 0.9961052839616938, 'epsilon': 1.2511223153838757e-06, 'balanced_loss': True, 'epochs': 120, 'early_stopping_patience': 13, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 104 with value: 0.8846694796061885.
[I 2025-01-08 20:40:29,504] Trial 117 finished with value: 0.8783403656821378 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8264850342315173, 'batch_size': 196, 'attention_heads': 14, 'hidden_dimension': 60, 'number_of_hidden_layers': 1, 'dropout_rate': 0.42584627847507434, 'global_pooling': 'max', 'learning_rate': 0.00057280777195097, 'weight_decay': 8.6977809971593e-06, 'beta_0': 0.8457555254729668, 'beta_1': 0.9968509258493784, 'epsilon': 9.284592759312954e-07, 'balanced_loss': True, 'epochs': 128, 'early_stopping_patience': 11, 'plateau_patience': 12, 'plateau_divider': 2}. Best is trial 104 with value: 0.8846694796061885.
[I 2025-01-08 20:44:25,473] Trial 118 finished with value: 0.8811533052039381 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8450141804046544, 'batch_size': 225, 'attention_heads': 10, 'hidden_dimension': 41, 'number_of_hidden_layers': 1, 'dropout_rate': 0.44725402182858376, 'global_pooling': 'max', 'learning_rate': 0.0010413572353557853, 'weight_decay': 4.271885283911903e-06, 'beta_0': 0.8424808603891222, 'beta_1': 0.9957452784208631, 'epsilon': 1.6064891465818052e-07, 'balanced_loss': True, 'epochs': 144, 'early_stopping_patience': 12, 'plateau_patience': 16, 'plateau_divider': 2}. Best is trial 104 with value: 0.8846694796061885.
[I 2025-01-08 20:48:33,312] Trial 119 finished with value: 0.8811533052039381 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8082319678115573, 'batch_size': 235, 'attention_heads': 12, 'hidden_dimension': 56, 'number_of_hidden_layers': 1, 'dropout_rate': 0.44508778242828767, 'global_pooling': 'max', 'learning_rate': 0.00043625824639572123, 'weight_decay': 4.326164395875179e-06, 'beta_0': 0.8430078848739614, 'beta_1': 0.9941664422872823, 'epsilon': 2.1601944164291896e-06, 'balanced_loss': True, 'epochs': 145, 'early_stopping_patience': 12, 'plateau_patience': 15, 'plateau_divider': 3}. Best is trial 104 with value: 0.8846694796061885.
[I 2025-01-08 20:52:35,589] Trial 120 finished with value: 0.8727144866385372 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8532171408591078, 'batch_size': 243, 'attention_heads': 12, 'hidden_dimension': 57, 'number_of_hidden_layers': 1, 'dropout_rate': 0.45543094127796196, 'global_pooling': 'max', 'learning_rate': 0.00047954118830542696, 'weight_decay': 4.0638756812408025e-06, 'beta_0': 0.8383920342566602, 'beta_1': 0.9941790540850474, 'epsilon': 6.91395727142987e-07, 'balanced_loss': True, 'epochs': 145, 'early_stopping_patience': 11, 'plateau_patience': 15, 'plateau_divider': 3}. Best is trial 104 with value: 0.8846694796061885.
[I 2025-01-08 20:56:28,532] Trial 121 finished with value: 0.7194092827004219 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8069374065121718, 'batch_size': 232, 'attention_heads': 13, 'hidden_dimension': 69, 'number_of_hidden_layers': 1, 'dropout_rate': 0.44705618003171727, 'global_pooling': 'max', 'learning_rate': 0.07046976711073234, 'weight_decay': 2.6290145262559976e-06, 'beta_0': 0.8417962327421314, 'beta_1': 0.9957234231908582, 'epsilon': 1.1460043913576923e-06, 'balanced_loss': True, 'epochs': 149, 'early_stopping_patience': 12, 'plateau_patience': 16, 'plateau_divider': 2}. Best is trial 104 with value: 0.8846694796061885.
[I 2025-01-08 21:00:27,082] Trial 122 finished with value: 0.8713080168776371 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8460665833970418, 'batch_size': 225, 'attention_heads': 13, 'hidden_dimension': 40, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4175984669442512, 'global_pooling': 'max', 'learning_rate': 0.0003854310599014488, 'weight_decay': 5.439241282236158e-06, 'beta_0': 0.8434955019763722, 'beta_1': 0.9954539308810526, 'epsilon': 5.410328873536846e-07, 'balanced_loss': True, 'epochs': 141, 'early_stopping_patience': 13, 'plateau_patience': 15, 'plateau_divider': 3}. Best is trial 104 with value: 0.8846694796061885.
[I 2025-01-08 21:04:25,137] Trial 123 finished with value: 0.8769338959212377 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.7994182285743368, 'batch_size': 216, 'attention_heads': 10, 'hidden_dimension': 63, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3779325173177444, 'global_pooling': 'max', 'learning_rate': 0.0009891160338705268, 'weight_decay': 3.10385624567781e-06, 'beta_0': 0.8348248701131414, 'beta_1': 0.9945165588478511, 'epsilon': 1.7081926052360456e-06, 'balanced_loss': True, 'epochs': 132, 'early_stopping_patience': 13, 'plateau_patience': 17, 'plateau_divider': 2}. Best is trial 104 with value: 0.8846694796061885.
[I 2025-01-08 21:08:31,450] Trial 124 finished with value: 0.8727144866385372 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.7742116585880346, 'batch_size': 227, 'attention_heads': 12, 'hidden_dimension': 54, 'number_of_hidden_layers': 1, 'dropout_rate': 0.43513581843724225, 'global_pooling': 'max', 'learning_rate': 0.0003058747928181407, 'weight_decay': 2.079257652859424e-06, 'beta_0': 0.8483801989627998, 'beta_1': 0.9966145390836922, 'epsilon': 2.2083331100935617e-06, 'balanced_loss': True, 'epochs': 143, 'early_stopping_patience': 12, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 104 with value: 0.8846694796061885.
[I 2025-01-08 21:12:30,853] Trial 125 finished with value: 0.8811533052039381 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8177146681906758, 'batch_size': 240, 'attention_heads': 10, 'hidden_dimension': 68, 'number_of_hidden_layers': 1, 'dropout_rate': 0.42952171567568, 'global_pooling': 'max', 'learning_rate': 0.0006169352346921745, 'weight_decay': 4.43517491860668e-06, 'beta_0': 0.8334957652348156, 'beta_1': 0.9938732848816619, 'epsilon': 3.948737769930685e-06, 'balanced_loss': True, 'epochs': 149, 'early_stopping_patience': 12, 'plateau_patience': 14, 'plateau_divider': 2}. Best is trial 104 with value: 0.8846694796061885.
[I 2025-01-08 21:16:32,072] Trial 126 finished with value: 0.8804500703234881 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8206655444510953, 'batch_size': 242, 'attention_heads': 12, 'hidden_dimension': 67, 'number_of_hidden_layers': 1, 'dropout_rate': 0.42979989421199155, 'global_pooling': 'max', 'learning_rate': 0.0006861848038713321, 'weight_decay': 4.6302563008510545e-06, 'beta_0': 0.8330592714111863, 'beta_1': 0.995208231659988, 'epsilon': 4.0288844463581994e-06, 'balanced_loss': True, 'epochs': 155, 'early_stopping_patience': 12, 'plateau_patience': 14, 'plateau_divider': 2}. Best is trial 104 with value: 0.8846694796061885.
[I 2025-01-08 21:20:31,553] Trial 127 finished with value: 0.8628691983122363 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8377550571420975, 'batch_size': 221, 'attention_heads': 10, 'hidden_dimension': 74, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4491889832802017, 'global_pooling': 'sum', 'learning_rate': 0.0005798955521007552, 'weight_decay': 3.6423810161831025e-06, 'beta_0': 0.8363034703188365, 'beta_1': 0.9973623181666535, 'epsilon': 5.418266990085703e-06, 'balanced_loss': True, 'epochs': 150, 'early_stopping_patience': 11, 'plateau_patience': 14, 'plateau_divider': 2}. Best is trial 104 with value: 0.8846694796061885.
[I 2025-01-08 21:24:42,497] Trial 128 finished with value: 0.8811533052039381 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8121820028995826, 'batch_size': 249, 'attention_heads': 11, 'hidden_dimension': 92, 'number_of_hidden_layers': 1, 'dropout_rate': 0.41484857916197215, 'global_pooling': 'max', 'learning_rate': 0.00043192189076860264, 'weight_decay': 6.829830790539473e-06, 'beta_0': 0.8276370190875156, 'beta_1': 0.9936902627228807, 'epsilon': 6.80885451116849e-06, 'balanced_loss': True, 'epochs': 57, 'early_stopping_patience': 12, 'plateau_patience': 14, 'plateau_divider': 2}. Best is trial 104 with value: 0.8846694796061885.
[I 2025-01-08 21:28:50,736] Trial 129 finished with value: 0.8755274261603375 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.82948457143397, 'batch_size': 236, 'attention_heads': 14, 'hidden_dimension': 82, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4048127398215381, 'global_pooling': 'max', 'learning_rate': 0.0021702198476093487, 'weight_decay': 1.7282438456655436e-06, 'beta_0': 0.8314735171857189, 'beta_1': 0.992341106596222, 'epsilon': 2.8277858352275954e-06, 'balanced_loss': False, 'epochs': 138, 'early_stopping_patience': 14, 'plateau_patience': 15, 'plateau_divider': 3}. Best is trial 104 with value: 0.8846694796061885.
[I 2025-01-08 21:32:47,843] Trial 130 finished with value: 0.8748241912798875 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8824043809056062, 'batch_size': 212, 'attention_heads': 11, 'hidden_dimension': 57, 'number_of_hidden_layers': 1, 'dropout_rate': 0.43421570266812487, 'global_pooling': 'max', 'learning_rate': 0.0008725612910775108, 'weight_decay': 4.346116878934293e-06, 'beta_0': 0.8415665236833897, 'beta_1': 0.9940576587807591, 'epsilon': 8.031158974859926e-06, 'balanced_loss': True, 'epochs': 148, 'early_stopping_patience': 12, 'plateau_patience': 13, 'plateau_divider': 2}. Best is trial 104 with value: 0.8846694796061885.
[I 2025-01-08 21:36:49,031] Trial 131 finished with value: 0.8720112517580872 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8007141067744511, 'batch_size': 230, 'attention_heads': 10, 'hidden_dimension': 70, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4652973128148167, 'global_pooling': 'max', 'learning_rate': 0.00032352397938849, 'weight_decay': 3.1814702797966377e-06, 'beta_0': 0.8385585400889191, 'beta_1': 0.9957493659711584, 'epsilon': 1.1729047194209344e-07, 'balanced_loss': True, 'epochs': 143, 'early_stopping_patience': 11, 'plateau_patience': 15, 'plateau_divider': 2}. Best is trial 104 with value: 0.8846694796061885.
[I 2025-01-08 21:41:02,418] Trial 132 finished with value: 0.8839662447257384 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8127128644953698, 'batch_size': 239, 'attention_heads': 11, 'hidden_dimension': 102, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4146990008947918, 'global_pooling': 'max', 'learning_rate': 0.00046229004468164225, 'weight_decay': 6.582764751848888e-06, 'beta_0': 0.8278051380355943, 'beta_1': 0.9931851605857295, 'epsilon': 7.063970539329469e-06, 'balanced_loss': True, 'epochs': 60, 'early_stopping_patience': 12, 'plateau_patience': 14, 'plateau_divider': 2}. Best is trial 104 with value: 0.8846694796061885.
[I 2025-01-08 21:45:09,214] Trial 133 finished with value: 0.8776371308016878 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8586552543055936, 'batch_size': 237, 'attention_heads': 11, 'hidden_dimension': 103, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4201934110685897, 'global_pooling': 'max', 'learning_rate': 0.0005156710302252152, 'weight_decay': 4.839211840382393e-06, 'beta_0': 0.8292969539491747, 'beta_1': 0.99344045431929, 'epsilon': 8.98472039897019e-06, 'balanced_loss': True, 'epochs': 152, 'early_stopping_patience': 12, 'plateau_patience': 14, 'plateau_divider': 2}. Best is trial 104 with value: 0.8846694796061885.
[I 2025-01-08 21:49:24,487] Trial 134 finished with value: 0.8762306610407876 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8460713012618233, 'batch_size': 250, 'attention_heads': 12, 'hidden_dimension': 76, 'number_of_hidden_layers': 1, 'dropout_rate': 0.42782894147929895, 'global_pooling': 'max', 'learning_rate': 0.00041868532287902047, 'weight_decay': 6.118697689320307e-06, 'beta_0': 0.8337858098018927, 'beta_1': 0.9969447628015874, 'epsilon': 1.0615450276872943e-05, 'balanced_loss': True, 'epochs': 56, 'early_stopping_patience': 13, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 104 with value: 0.8846694796061885.
[I 2025-01-08 21:53:25,095] Trial 135 finished with value: 0.8811533052039381 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.818987268833878, 'batch_size': 240, 'attention_heads': 13, 'hidden_dimension': 61, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4409637007159606, 'global_pooling': 'max', 'learning_rate': 0.0006470977033810521, 'weight_decay': 5.600934665415637e-06, 'beta_0': 0.8258992037062979, 'beta_1': 0.9959333735664629, 'epsilon': 4.386732786067869e-06, 'balanced_loss': True, 'epochs': 64, 'early_stopping_patience': 11, 'plateau_patience': 13, 'plateau_divider': 2}. Best is trial 104 with value: 0.8846694796061885.
[I 2025-01-08 21:57:28,337] Trial 136 finished with value: 0.8755274261603375 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8355473822117393, 'batch_size': 232, 'attention_heads': 9, 'hidden_dimension': 84, 'number_of_hidden_layers': 1, 'dropout_rate': 0.40856357640099134, 'global_pooling': 'max', 'learning_rate': 0.0007656023439205764, 'weight_decay': 3.982964162175261e-06, 'beta_0': 0.83625392410371, 'beta_1': 0.994857967244184, 'epsilon': 1.481418077034084e-05, 'balanced_loss': True, 'epochs': 134, 'early_stopping_patience': 12, 'plateau_patience': 15, 'plateau_divider': 2}. Best is trial 104 with value: 0.8846694796061885.
