Some weights of RobertaModel were not initialized from the model checkpoint at FacebookAI/roberta-large and are newly initialized: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
[I 2025-01-09 11:27:36,765] Using an existing study with name 'RTSP-GATv2-FacebookAI-roberta-large-Surrogate-No_Aggregation' instead of creating a new one.
[I 2025-01-09 11:36:22,803] Trial 91 finished with value: 0.8762306610407876 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.5592169400856513, 'batch_size': 241, 'attention_heads': 6, 'hidden_dimension': 225, 'number_of_hidden_layers': 2, 'dropout_rate': 0.39012445022419606, 'global_pooling': 'max', 'learning_rate': 0.0008222575598484658, 'weight_decay': 5.517741939890411e-05, 'beta_0': 0.8601743537063061, 'beta_1': 0.990798152343551, 'epsilon': 4.275960740862204e-07, 'balanced_loss': False, 'epochs': 128, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 6}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 12:49:37,495] Trial 102 finished with value: 0.8734177215189873 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.49927811114550924, 'batch_size': 86, 'attention_heads': 9, 'hidden_dimension': 115, 'number_of_hidden_layers': 1, 'dropout_rate': 0.44834092885388166, 'global_pooling': 'max', 'learning_rate': 0.003154377594871502, 'weight_decay': 0.00012015473241942844, 'beta_0': 0.8512092924691832, 'beta_1': 0.9950756193659086, 'epsilon': 1.7565793587882642e-06, 'balanced_loss': False, 'epochs': 129, 'early_stopping_patience': 23, 'plateau_patience': 19, 'plateau_divider': 4}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 12:56:38,849] Trial 103 finished with value: 0.8734177215189873 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.4785457550219745, 'batch_size': 105, 'attention_heads': 10, 'hidden_dimension': 105, 'number_of_hidden_layers': 1, 'dropout_rate': 0.43403631672485893, 'global_pooling': 'max', 'learning_rate': 0.0007086990385819669, 'weight_decay': 0.0001770409336074599, 'beta_0': 0.8439124411429998, 'beta_1': 0.9923549862548574, 'epsilon': 9.444523356100971e-07, 'balanced_loss': False, 'epochs': 147, 'early_stopping_patience': 24, 'plateau_patience': 16, 'plateau_divider': 4}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 13:03:04,737] Trial 104 finished with value: 0.8087201125175809 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.4097140420824283, 'batch_size': 79, 'attention_heads': 9, 'hidden_dimension': 96, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4441516085904652, 'global_pooling': 'max', 'learning_rate': 0.0866438695660128, 'weight_decay': 0.0001315654988738845, 'beta_0': 0.852176755871524, 'beta_1': 0.9933525543517103, 'epsilon': 1.5718258501619236e-06, 'balanced_loss': False, 'epochs': 136, 'early_stopping_patience': 22, 'plateau_patience': 17, 'plateau_divider': 4}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 13:09:07,242] Trial 105 finished with value: 0.8755274261603375 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5335055533677575, 'batch_size': 90, 'attention_heads': 8, 'hidden_dimension': 124, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4129170769334801, 'global_pooling': 'max', 'learning_rate': 0.00559467341676816, 'weight_decay': 8.623847226781005e-05, 'beta_0': 0.8454844805174649, 'beta_1': 0.9913527600300204, 'epsilon': 1.2039969180227209e-06, 'balanced_loss': False, 'epochs': 79, 'early_stopping_patience': 11, 'plateau_patience': 16, 'plateau_divider': 9}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 13:17:16,919] Trial 106 finished with value: 0.8790436005625879 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5170382402437267, 'batch_size': 231, 'attention_heads': 16, 'hidden_dimension': 150, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3919178460223345, 'global_pooling': 'max', 'learning_rate': 0.004062469221862543, 'weight_decay': 6.973080067094805e-05, 'beta_0': 0.8476497538866264, 'beta_1': 0.9884580487104844, 'epsilon': 2.0890372723121184e-06, 'balanced_loss': False, 'epochs': 197, 'early_stopping_patience': 23, 'plateau_patience': 24, 'plateau_divider': 5}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 13:25:06,997] Trial 107 finished with value: 0.8860759493670886 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7016663142270726, 'batch_size': 196, 'attention_heads': 10, 'hidden_dimension': 245, 'number_of_hidden_layers': 1, 'dropout_rate': 0.46434049036777103, 'global_pooling': 'max', 'learning_rate': 0.0015455883016154421, 'weight_decay': 0.0002801739490387516, 'beta_0': 0.8550011454000491, 'beta_1': 0.9897338354545396, 'epsilon': 2.679585595496533e-06, 'balanced_loss': False, 'epochs': 113, 'early_stopping_patience': 21, 'plateau_patience': 23, 'plateau_divider': 3}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 13:31:51,529] Trial 108 finished with value: 0.8790436005625879 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8050191746211935, 'batch_size': 213, 'attention_heads': 10, 'hidden_dimension': 242, 'number_of_hidden_layers': 1, 'dropout_rate': 0.37569751702250803, 'global_pooling': 'max', 'learning_rate': 0.004932913125186205, 'weight_decay': 0.0003126748767939718, 'beta_0': 0.8582595617150978, 'beta_1': 0.9898362912260807, 'epsilon': 3.0129580987901645e-06, 'balanced_loss': False, 'epochs': 100, 'early_stopping_patience': 21, 'plateau_patience': 23, 'plateau_divider': 3}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 13:38:59,408] Trial 109 finished with value: 0.8811533052039381 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7317101859810783, 'batch_size': 204, 'attention_heads': 11, 'hidden_dimension': 217, 'number_of_hidden_layers': 1, 'dropout_rate': 0.49053269057236415, 'global_pooling': 'max', 'learning_rate': 0.007687242139791507, 'weight_decay': 0.000258111523977597, 'beta_0': 0.8495622551812645, 'beta_1': 0.9896633536789867, 'epsilon': 2.7748996901784904e-06, 'balanced_loss': False, 'epochs': 114, 'early_stopping_patience': 21, 'plateau_patience': 21, 'plateau_divider': 3}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 13:46:12,387] Trial 110 finished with value: 0.8720112517580872 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6391885264212934, 'batch_size': 184, 'attention_heads': 10, 'hidden_dimension': 206, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4433561483935547, 'global_pooling': 'sum', 'learning_rate': 0.0023548468308905142, 'weight_decay': 0.00044217930381655065, 'beta_0': 0.8553104261360754, 'beta_1': 0.9916514970384656, 'epsilon': 2.4023161231447147e-06, 'balanced_loss': True, 'epochs': 125, 'early_stopping_patience': 22, 'plateau_patience': 22, 'plateau_divider': 3}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 13:54:47,417] Trial 111 finished with value: 0.8790436005625879 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6980627476997413, 'batch_size': 130, 'attention_heads': 9, 'hidden_dimension': 247, 'number_of_hidden_layers': 2, 'dropout_rate': 0.45181938589106946, 'global_pooling': 'max', 'learning_rate': 0.0016648752951347915, 'weight_decay': 0.00041157649857032693, 'beta_0': 0.8406734347827417, 'beta_1': 0.9907127668141084, 'epsilon': 5.157991320918749e-06, 'balanced_loss': False, 'epochs': 120, 'early_stopping_patience': 20, 'plateau_patience': 18, 'plateau_divider': 4}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 14:02:37,577] Trial 112 finished with value: 0.8818565400843882 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6773602473993864, 'batch_size': 198, 'attention_heads': 9, 'hidden_dimension': 239, 'number_of_hidden_layers': 1, 'dropout_rate': 0.46916359868375135, 'global_pooling': 'max', 'learning_rate': 0.0009165035094793855, 'weight_decay': 0.00015932675195462625, 'beta_0': 0.837387277514085, 'beta_1': 0.9903739600293185, 'epsilon': 6.161014434234107e-06, 'balanced_loss': False, 'epochs': 132, 'early_stopping_patience': 20, 'plateau_patience': 25, 'plateau_divider': 2}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 14:08:40,641] Trial 113 finished with value: 0.8804500703234881 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8733361278157754, 'batch_size': 117, 'attention_heads': 10, 'hidden_dimension': 198, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4572084965982471, 'global_pooling': 'max', 'learning_rate': 0.0013242180477940773, 'weight_decay': 1.323617758450878e-06, 'beta_0': 0.8458694069637713, 'beta_1': 0.9892623174469891, 'epsilon': 3.653935045473245e-06, 'balanced_loss': False, 'epochs': 184, 'early_stopping_patience': 12, 'plateau_patience': 23, 'plateau_divider': 5}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 14:17:15,047] Trial 114 finished with value: 0.8762306610407876 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.4883052482016621, 'batch_size': 195, 'attention_heads': 8, 'hidden_dimension': 253, 'number_of_hidden_layers': 1, 'dropout_rate': 0.41834587256945743, 'global_pooling': 'max', 'learning_rate': 0.0003745887233801705, 'weight_decay': 0.0005743228306028058, 'beta_0': 0.8830846057835314, 'beta_1': 0.9844888005616182, 'epsilon': 4.183039502744285e-06, 'balanced_loss': False, 'epochs': 161, 'early_stopping_patience': 21, 'plateau_patience': 16, 'plateau_divider': 6}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 14:27:28,118] Trial 115 finished with value: 0.879746835443038 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5954525656302615, 'batch_size': 238, 'attention_heads': 15, 'hidden_dimension': 231, 'number_of_hidden_layers': 1, 'dropout_rate': 0.46907248432659154, 'global_pooling': 'max', 'learning_rate': 0.0027643086475532745, 'weight_decay': 0.00011521915958076621, 'beta_0': 0.8927917697758604, 'beta_1': 0.9875463491582053, 'epsilon': 6.159460050372358e-07, 'balanced_loss': False, 'epochs': 143, 'early_stopping_patience': 24, 'plateau_patience': 14, 'plateau_divider': 9}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 14:33:56,427] Trial 116 finished with value: 0.879746835443038 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5685004970599297, 'batch_size': 209, 'attention_heads': 9, 'hidden_dimension': 91, 'number_of_hidden_layers': 1, 'dropout_rate': 0.43712855022432634, 'global_pooling': 'mean', 'learning_rate': 0.0010351805699570147, 'weight_decay': 0.0009144230596223212, 'beta_0': 0.8734575796673932, 'beta_1': 0.9909826769456698, 'epsilon': 7.492961621214292e-06, 'balanced_loss': False, 'epochs': 154, 'early_stopping_patience': 22, 'plateau_patience': 24, 'plateau_divider': 4}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 14:40:24,930] Trial 117 finished with value: 0.8818565400843882 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.547816843758123, 'batch_size': 255, 'attention_heads': 11, 'hidden_dimension': 99, 'number_of_hidden_layers': 1, 'dropout_rate': 0.32139910956653805, 'global_pooling': 'max', 'learning_rate': 0.0016221606016410509, 'weight_decay': 0.0002105646397106953, 'beta_0': 0.8419779406734189, 'beta_1': 0.9889847223552468, 'epsilon': 1.0706104483765287e-05, 'balanced_loss': False, 'epochs': 113, 'early_stopping_patience': 20, 'plateau_patience': 15, 'plateau_divider': 3}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 14:46:32,953] Trial 118 finished with value: 0.8811533052039381 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.7107116801972824, 'batch_size': 245, 'attention_heads': 8, 'hidden_dimension': 112, 'number_of_hidden_layers': 1, 'dropout_rate': 0.42430343528376663, 'global_pooling': 'max', 'learning_rate': 0.0005937028881554368, 'weight_decay': 1.8793039844107682e-06, 'beta_0': 0.8889127199606935, 'beta_1': 0.9850697892723599, 'epsilon': 4.1368023179934936e-07, 'balanced_loss': False, 'epochs': 92, 'early_stopping_patience': 10, 'plateau_patience': 23, 'plateau_divider': 5}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 14:57:05,589] Trial 119 finished with value: 0.8663853727144867 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.500924654927074, 'batch_size': 65, 'attention_heads': 14, 'hidden_dimension': 87, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3351334834156687, 'global_pooling': 'max', 'learning_rate': 1.0011048409199246e-05, 'weight_decay': 8.002246558416328e-05, 'beta_0': 0.8536457293642614, 'beta_1': 0.9857609951883122, 'epsilon': 2.583855820416901e-05, 'balanced_loss': False, 'epochs': 190, 'early_stopping_patience': 18, 'plateau_patience': 10, 'plateau_divider': 8}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 15:10:31,262] Trial 120 finished with value: 0.8727144866385372 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.4295043171816218, 'batch_size': 191, 'attention_heads': 16, 'hidden_dimension': 246, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5729279322380856, 'global_pooling': 'max', 'learning_rate': 0.0008000144999695714, 'weight_decay': 2.0552209863639212e-05, 'beta_0': 0.8664760501443814, 'beta_1': 0.9867910679640823, 'epsilon': 1.3382797122545715e-05, 'balanced_loss': False, 'epochs': 118, 'early_stopping_patience': 19, 'plateau_patience': 13, 'plateau_divider': 5}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 15:18:37,752] Trial 121 finished with value: 0.8804500703234881 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.4563156879365486, 'batch_size': 164, 'attention_heads': 9, 'hidden_dimension': 104, 'number_of_hidden_layers': 3, 'dropout_rate': 0.3458450370132628, 'global_pooling': 'max', 'learning_rate': 0.003693685839882581, 'weight_decay': 9.803932574062188e-05, 'beta_0': 0.8791592252119108, 'beta_1': 0.9923923270425897, 'epsilon': 2.754447035078057e-07, 'balanced_loss': False, 'epochs': 148, 'early_stopping_patience': 22, 'plateau_patience': 12, 'plateau_divider': 3}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 15:25:19,287] Trial 122 finished with value: 0.8727144866385372 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.529473055221578, 'batch_size': 96, 'attention_heads': 13, 'hidden_dimension': 83, 'number_of_hidden_layers': 1, 'dropout_rate': 0.30963527738408386, 'global_pooling': 'max', 'learning_rate': 0.0018873120178416762, 'weight_decay': 0.00017143341834972088, 'beta_0': 0.8956049164329959, 'beta_1': 0.9852189685984482, 'epsilon': 9.124492175988017e-06, 'balanced_loss': False, 'epochs': 191, 'early_stopping_patience': 23, 'plateau_patience': 11, 'plateau_divider': 8}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 15:31:23,975] Trial 123 finished with value: 0.8804500703234881 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.510646646318946, 'batch_size': 108, 'attention_heads': 14, 'hidden_dimension': 71, 'number_of_hidden_layers': 1, 'dropout_rate': 0.31637300407372865, 'global_pooling': 'max', 'learning_rate': 0.0013278630123188917, 'weight_decay': 0.00013367407144002907, 'beta_0': 0.8974546895748653, 'beta_1': 0.9865257003011189, 'epsilon': 1.2058224164373018e-07, 'balanced_loss': False, 'epochs': 196, 'early_stopping_patience': 14, 'plateau_patience': 12, 'plateau_divider': 8}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 15:37:36,293] Trial 124 finished with value: 0.8755274261603375 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7782132542817449, 'batch_size': 102, 'attention_heads': 12, 'hidden_dimension': 117, 'number_of_hidden_layers': 1, 'dropout_rate': 0.46360935575835827, 'global_pooling': 'max', 'learning_rate': 0.002194378752207103, 'weight_decay': 0.00018506426983166152, 'beta_0': 0.8889390632986217, 'beta_1': 0.9855190515672477, 'epsilon': 1.207789865459463e-06, 'balanced_loss': False, 'epochs': 178, 'early_stopping_patience': 16, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 15:44:02,819] Trial 125 finished with value: 0.8741209563994374 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5604709001462969, 'batch_size': 88, 'attention_heads': 15, 'hidden_dimension': 109, 'number_of_hidden_layers': 1, 'dropout_rate': 0.30695925788127315, 'global_pooling': 'max', 'learning_rate': 0.0011032170228627918, 'weight_decay': 0.00028551426557457584, 'beta_0': 0.8905423527953169, 'beta_1': 0.9840617662148305, 'epsilon': 2.0353258548663973e-08, 'balanced_loss': False, 'epochs': 193, 'early_stopping_patience': 13, 'plateau_patience': 10, 'plateau_divider': 7}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 15:50:58,335] Trial 126 finished with value: 0.8776371308016878 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.4801759166089657, 'batch_size': 98, 'attention_heads': 15, 'hidden_dimension': 98, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3869692135423107, 'global_pooling': 'mean', 'learning_rate': 0.0030015916260750838, 'weight_decay': 0.00023007868461328527, 'beta_0': 0.8485664551151799, 'beta_1': 0.9861296191919862, 'epsilon': 8.247027018913042e-07, 'balanced_loss': False, 'epochs': 129, 'early_stopping_patience': 11, 'plateau_patience': 11, 'plateau_divider': 8}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 15:58:57,836] Trial 127 finished with value: 0.879746835443038 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6077639038770869, 'batch_size': 75, 'attention_heads': 13, 'hidden_dimension': 224, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3001514727038688, 'global_pooling': 'max', 'learning_rate': 0.002018509266141418, 'weight_decay': 0.00014733692649036072, 'beta_0': 0.8857610071989291, 'beta_1': 0.9901868073812827, 'epsilon': 1.6177577462500148e-05, 'balanced_loss': False, 'epochs': 140, 'early_stopping_patience': 23, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-09 16:05:13,801] Trial 128 finished with value: 0.8755274261603375 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5045275371130782, 'batch_size': 82, 'attention_heads': 14, 'hidden_dimension': 90, 'number_of_hidden_layers': 1, 'dropout_rate': 0.32473245214999685, 'global_pooling': 'max', 'learning_rate': 0.00045804310932358447, 'weight_decay': 1.5194477514098223e-05, 'beta_0': 0.8507334250507554, 'beta_1': 0.9881035583256556, 'epsilon': 5.676411727327341e-06, 'balanced_loss': False, 'epochs': 136, 'early_stopping_patience': 12, 'plateau_patience': 12, 'plateau_divider': 9}. Best is trial 1 with value: 0.8888888888888888.
