[I 2025-03-06 18:45:32,835] Using an existing study with name 'SST-2-GATv2-google-bert-bert-base-uncased-Surrogate-No_Aggregation-Random_Attentions-0.0-0.0' instead of creating a new one.
[I 2025-03-06 18:54:14,484] Trial 71 finished with value: 0.8944954128440367 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.4744626709387133, 'batch_size': 103, 'attention_heads': 16, 'hidden_dimension': 205, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4358562046694647, 'global_pooling': 'max', 'learning_rate': 0.0001765175778200187, 'weight_decay': 0.0006084591488841319, 'beta_0': 0.8710296346215669, 'beta_1': 0.9897197388969209, 'epsilon': 1.4755497674806805e-07, 'balanced_loss': True, 'epochs': 188, 'early_stopping_patience': 16, 'plateau_patience': 21, 'plateau_divider': 6}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-06 20:28:31,608] Trial 82 finished with value: 0.8967889908256881 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.5807809501392529, 'batch_size': 51, 'attention_heads': 16, 'hidden_dimension': 207, 'number_of_hidden_layers': 3, 'dropout_rate': 0.548323782966586, 'global_pooling': 'max', 'learning_rate': 0.0010788452612497024, 'weight_decay': 2.21555529874716e-06, 'beta_0': 0.8747012192286662, 'beta_1': 0.9871519738588045, 'epsilon': 2.8822319274337396e-05, 'balanced_loss': True, 'epochs': 58, 'early_stopping_patience': 25, 'plateau_patience': 18, 'plateau_divider': 4}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-06 20:39:57,612] Trial 83 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.6041357490931519, 'batch_size': 47, 'attention_heads': 16, 'hidden_dimension': 216, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5162660019305891, 'global_pooling': 'max', 'learning_rate': 0.0007963500454688935, 'weight_decay': 2.328973080303045e-05, 'beta_0': 0.8783343324786367, 'beta_1': 0.987521086239608, 'epsilon': 1.534654264553514e-05, 'balanced_loss': True, 'epochs': 107, 'early_stopping_patience': 24, 'plateau_patience': 18, 'plateau_divider': 8}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-06 20:49:31,860] Trial 84 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.5578742007099243, 'batch_size': 54, 'attention_heads': 15, 'hidden_dimension': 199, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5291787404848525, 'global_pooling': 'max', 'learning_rate': 0.0013975457959790583, 'weight_decay': 5.14309706769497e-06, 'beta_0': 0.8814449358680908, 'beta_1': 0.9855852097458168, 'epsilon': 5.9906948924695384e-05, 'balanced_loss': True, 'epochs': 162, 'early_stopping_patience': 24, 'plateau_patience': 17, 'plateau_divider': 9}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-06 21:00:42,344] Trial 85 finished with value: 0.9048165137614679 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.642986413344551, 'batch_size': 38, 'attention_heads': 16, 'hidden_dimension': 223, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4930942525982924, 'global_pooling': 'max', 'learning_rate': 0.0003713861502368302, 'weight_decay': 1.3155073063554158e-05, 'beta_0': 0.8954902810437737, 'beta_1': 0.988686882989212, 'epsilon': 4.00955901099265e-05, 'balanced_loss': True, 'epochs': 134, 'early_stopping_patience': 25, 'plateau_patience': 19, 'plateau_divider': 7}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-06 21:08:55,759] Trial 86 finished with value: 0.9071100917431193 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.618342946969923, 'batch_size': 62, 'attention_heads': 14, 'hidden_dimension': 190, 'number_of_hidden_layers': 3, 'dropout_rate': 0.41372429756123363, 'global_pooling': 'max', 'learning_rate': 0.0005239834515917734, 'weight_decay': 3.9119031479540684e-05, 'beta_0': 0.8613184307441296, 'beta_1': 0.9864221482157308, 'epsilon': 2.768828568426355e-05, 'balanced_loss': True, 'epochs': 190, 'early_stopping_patience': 23, 'plateau_patience': 20, 'plateau_divider': 6}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-06 21:16:51,377] Trial 87 finished with value: 0.9002293577981652 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.6231246210256975, 'batch_size': 69, 'attention_heads': 14, 'hidden_dimension': 190, 'number_of_hidden_layers': 3, 'dropout_rate': 0.414427043590221, 'global_pooling': 'max', 'learning_rate': 0.0005569524640277302, 'weight_decay': 0.0002963734720535457, 'beta_0': 0.8615058044844129, 'beta_1': 0.9900574742224659, 'epsilon': 7.912612833118768e-05, 'balanced_loss': True, 'epochs': 185, 'early_stopping_patience': 22, 'plateau_patience': 20, 'plateau_divider': 6}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-06 21:22:26,147] Trial 88 finished with value: 0.9025229357798165 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6838581921663319, 'batch_size': 61, 'attention_heads': 14, 'hidden_dimension': 158, 'number_of_hidden_layers': 2, 'dropout_rate': 0.42542914206926297, 'global_pooling': 'max', 'learning_rate': 0.0019696745695620198, 'weight_decay': 7.507078537581072e-06, 'beta_0': 0.8712028939222841, 'beta_1': 0.9989619364925625, 'epsilon': 4.947249668854065e-05, 'balanced_loss': False, 'epochs': 192, 'early_stopping_patience': 21, 'plateau_patience': 20, 'plateau_divider': 5}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-06 21:29:54,034] Trial 89 finished with value: 0.8864678899082569 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.5263594747012789, 'batch_size': 82, 'attention_heads': 12, 'hidden_dimension': 182, 'number_of_hidden_layers': 3, 'dropout_rate': 0.397677312327488, 'global_pooling': 'mean', 'learning_rate': 0.00011154341843528441, 'weight_decay': 5.763729501609948e-05, 'beta_0': 0.8667886292582809, 'beta_1': 0.9865086859751212, 'epsilon': 2.214858089597551e-06, 'balanced_loss': True, 'epochs': 200, 'early_stopping_patience': 23, 'plateau_patience': 22, 'plateau_divider': 4}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-06 21:39:47,704] Trial 90 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5600136892813994, 'batch_size': 196, 'attention_heads': 13, 'hidden_dimension': 198, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4068926374133315, 'global_pooling': 'max', 'learning_rate': 0.0027743201126087117, 'weight_decay': 0.00042540573683057985, 'beta_0': 0.8736107551611894, 'beta_1': 0.9894229273957545, 'epsilon': 1.1328935193220011e-06, 'balanced_loss': True, 'epochs': 181, 'early_stopping_patience': 23, 'plateau_patience': 24, 'plateau_divider': 6}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-06 21:47:03,173] Trial 91 finished with value: 0.8979357798165137 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.665377368226772, 'batch_size': 93, 'attention_heads': 14, 'hidden_dimension': 237, 'number_of_hidden_layers': 3, 'dropout_rate': 0.3683706842686773, 'global_pooling': 'max', 'learning_rate': 0.0007443916639181587, 'weight_decay': 0.00021277943445496397, 'beta_0': 0.8587737013967734, 'beta_1': 0.9845562043935364, 'epsilon': 2.6620892266653906e-05, 'balanced_loss': False, 'epochs': 190, 'early_stopping_patience': 16, 'plateau_patience': 19, 'plateau_divider': 7}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-06 21:58:26,758] Trial 92 finished with value: 0.8967889908256881 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.6091495990555146, 'batch_size': 35, 'attention_heads': 15, 'hidden_dimension': 227, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5392531452704353, 'global_pooling': 'max', 'learning_rate': 0.0009788147716841185, 'weight_decay': 7.3221649028232355e-06, 'beta_0': 0.8690531011474095, 'beta_1': 0.9875476737440487, 'epsilon': 1.1849665569787942e-05, 'balanced_loss': True, 'epochs': 194, 'early_stopping_patience': 25, 'plateau_patience': 19, 'plateau_divider': 9}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-06 22:08:56,073] Trial 93 finished with value: 0.9002293577981652 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.5993464004243954, 'batch_size': 44, 'attention_heads': 15, 'hidden_dimension': 210, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4468846273543549, 'global_pooling': 'max', 'learning_rate': 0.0005864899013654492, 'weight_decay': 1.906137943686609e-06, 'beta_0': 0.8858372653485558, 'beta_1': 0.986303657310123, 'epsilon': 1.633320020649768e-05, 'balanced_loss': True, 'epochs': 85, 'early_stopping_patience': 24, 'plateau_patience': 20, 'plateau_divider': 6}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-06 22:18:33,817] Trial 94 finished with value: 0.9025229357798165 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.5899124458833231, 'batch_size': 53, 'attention_heads': 13, 'hidden_dimension': 194, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5237185002499823, 'global_pooling': 'max', 'learning_rate': 0.0012037597416918193, 'weight_decay': 3.7395083810545004e-06, 'beta_0': 0.8797628182336237, 'beta_1': 0.993978146704212, 'epsilon': 3.621267333620115e-08, 'balanced_loss': True, 'epochs': 185, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 6}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-06 22:29:21,796] Trial 95 finished with value: 0.9059633027522935 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.5389126476336803, 'batch_size': 71, 'attention_heads': 16, 'hidden_dimension': 215, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4353606861083094, 'global_pooling': 'max', 'learning_rate': 0.00041723859250462247, 'weight_decay': 4.41566219657995e-05, 'beta_0': 0.864674322466753, 'beta_1': 0.9881845626731982, 'epsilon': 3.859998934908875e-05, 'balanced_loss': True, 'epochs': 176, 'early_stopping_patience': 24, 'plateau_patience': 18, 'plateau_divider': 2}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-06 22:39:31,329] Trial 96 finished with value: 0.8967889908256881 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5444897306180448, 'batch_size': 75, 'attention_heads': 14, 'hidden_dimension': 202, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4360080672797185, 'global_pooling': 'max', 'learning_rate': 0.0003726672886135695, 'weight_decay': 4.058402277605741e-05, 'beta_0': 0.8644097121300502, 'beta_1': 0.9882532951878579, 'epsilon': 3.839444197141561e-05, 'balanced_loss': True, 'epochs': 175, 'early_stopping_patience': 24, 'plateau_patience': 17, 'plateau_divider': 6}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-06 22:49:25,716] Trial 97 finished with value: 0.8864678899082569 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.5110852151833775, 'batch_size': 137, 'attention_heads': 15, 'hidden_dimension': 217, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4294211720102473, 'global_pooling': 'sum', 'learning_rate': 0.00047046317216920344, 'weight_decay': 4.264859099610936e-05, 'beta_0': 0.856393681061196, 'beta_1': 0.9929243369207077, 'epsilon': 4.267647504821294e-07, 'balanced_loss': True, 'epochs': 179, 'early_stopping_patience': 23, 'plateau_patience': 15, 'plateau_divider': 2}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-06 22:59:13,241] Trial 98 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.49139149355505934, 'batch_size': 67, 'attention_heads': 16, 'hidden_dimension': 188, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4031155687995554, 'global_pooling': 'max', 'learning_rate': 0.0003140399433909437, 'weight_decay': 0.00012870211403097768, 'beta_0': 0.8632786050321563, 'beta_1': 0.9902256591424559, 'epsilon': 1.90720323938452e-05, 'balanced_loss': False, 'epochs': 172, 'early_stopping_patience': 22, 'plateau_patience': 21, 'plateau_divider': 5}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-06 23:11:47,513] Trial 99 finished with value: 0.8956422018348624 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.5381233930601209, 'batch_size': 59, 'attention_heads': 13, 'hidden_dimension': 178, 'number_of_hidden_layers': 3, 'dropout_rate': 0.45572918250491423, 'global_pooling': 'max', 'learning_rate': 1.0011048409199246e-05, 'weight_decay': 2.7303087926421585e-05, 'beta_0': 0.8597563615265826, 'beta_1': 0.9916841196563192, 'epsilon': 6.769493322598863e-07, 'balanced_loss': True, 'epochs': 190, 'early_stopping_patience': 25, 'plateau_patience': 25, 'plateau_divider': 3}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-06 23:24:45,865] Trial 100 finished with value: 0.8990825688073395 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.5679469890024383, 'batch_size': 37, 'attention_heads': 14, 'hidden_dimension': 206, 'number_of_hidden_layers': 4, 'dropout_rate': 0.46791499055030644, 'global_pooling': 'max', 'learning_rate': 0.0016294276686860643, 'weight_decay': 7.714142646993151e-05, 'beta_0': 0.8480798474057031, 'beta_1': 0.9909772880444436, 'epsilon': 5.249173689083692e-05, 'balanced_loss': True, 'epochs': 197, 'early_stopping_patience': 23, 'plateau_patience': 18, 'plateau_divider': 2}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-06 23:33:34,574] Trial 101 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5173003153682313, 'batch_size': 49, 'attention_heads': 14, 'hidden_dimension': 230, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4158646476866575, 'global_pooling': 'max', 'learning_rate': 0.0006731072242347171, 'weight_decay': 5.2226295209520746e-05, 'beta_0': 0.8758490076216028, 'beta_1': 0.9830485425809231, 'epsilon': 7.158453227571872e-05, 'balanced_loss': False, 'epochs': 185, 'early_stopping_patience': 24, 'plateau_patience': 13, 'plateau_divider': 6}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-06 23:44:08,335] Trial 102 finished with value: 0.8979357798165137 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.5815964035692758, 'batch_size': 71, 'attention_heads': 16, 'hidden_dimension': 211, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4231719516784842, 'global_pooling': 'max', 'learning_rate': 0.0008041079332945279, 'weight_decay': 2.621871162638637e-06, 'beta_0': 0.8721636916460704, 'beta_1': 0.9851808252715212, 'epsilon': 3.402303901346755e-05, 'balanced_loss': True, 'epochs': 113, 'early_stopping_patience': 25, 'plateau_patience': 19, 'plateau_divider': 7}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-06 23:50:08,615] Trial 103 finished with value: 0.9025229357798165 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.6194657927479067, 'batch_size': 43, 'attention_heads': 15, 'hidden_dimension': 114, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4416763879085982, 'global_pooling': 'max', 'learning_rate': 0.0010658299556797338, 'weight_decay': 1.534537952310435e-05, 'beta_0': 0.8911562378746635, 'beta_1': 0.9890809057888024, 'epsilon': 2.789830278983945e-05, 'balanced_loss': True, 'epochs': 99, 'early_stopping_patience': 19, 'plateau_patience': 18, 'plateau_divider': 6}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 00:03:52,938] Trial 104 finished with value: 0.8841743119266054 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.4999518917506521, 'batch_size': 62, 'attention_heads': 16, 'hidden_dimension': 215, 'number_of_hidden_layers': 3, 'dropout_rate': 0.45045928860186013, 'global_pooling': 'max', 'learning_rate': 1.7900887347568258e-05, 'weight_decay': 6.31120534788069e-05, 'beta_0': 0.8661317493882638, 'beta_1': 0.9921934183677845, 'epsilon': 2.577747230622482e-05, 'balanced_loss': True, 'epochs': 181, 'early_stopping_patience': 24, 'plateau_patience': 20, 'plateau_divider': 8}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 00:14:36,174] Trial 105 finished with value: 0.9002293577981652 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.5500699838344001, 'batch_size': 88, 'attention_heads': 16, 'hidden_dimension': 222, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5075177680848258, 'global_pooling': 'max', 'learning_rate': 0.0020209403174544184, 'weight_decay': 1.4189781091610125e-06, 'beta_0': 0.878699756193762, 'beta_1': 0.9867907579679576, 'epsilon': 9.6513791288721e-05, 'balanced_loss': True, 'epochs': 167, 'early_stopping_patience': 23, 'plateau_patience': 18, 'plateau_divider': 10}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 00:23:29,539] Trial 106 finished with value: 0.9036697247706422 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.5258396536012663, 'batch_size': 56, 'attention_heads': 15, 'hidden_dimension': 170, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4811622810755002, 'global_pooling': 'max', 'learning_rate': 0.0005353156849148375, 'weight_decay': 2.7854951482518233e-05, 'beta_0': 0.8685783409774772, 'beta_1': 0.9877846417289975, 'epsilon': 4.3435098724599595e-05, 'balanced_loss': True, 'epochs': 126, 'early_stopping_patience': 25, 'plateau_patience': 16, 'plateau_divider': 7}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 00:30:35,120] Trial 107 finished with value: 0.8990825688073395 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.48234105263673605, 'batch_size': 48, 'attention_heads': 16, 'hidden_dimension': 102, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5611881605333574, 'global_pooling': 'max', 'learning_rate': 0.00042686372991143477, 'weight_decay': 1.0612780704588526e-05, 'beta_0': 0.870885589183975, 'beta_1': 0.9894683317250873, 'epsilon': 8.589923945168606e-06, 'balanced_loss': True, 'epochs': 160, 'early_stopping_patience': 24, 'plateau_patience': 19, 'plateau_divider': 6}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 00:39:22,656] Trial 108 finished with value: 0.8956422018348624 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.5667458623522122, 'batch_size': 35, 'attention_heads': 13, 'hidden_dimension': 203, 'number_of_hidden_layers': 3, 'dropout_rate': 0.3468489000093482, 'global_pooling': 'max', 'learning_rate': 0.0013832771617899565, 'weight_decay': 3.0947537834543876e-06, 'beta_0': 0.8536716784398615, 'beta_1': 0.9885045953717692, 'epsilon': 6.606948623818929e-05, 'balanced_loss': False, 'epochs': 191, 'early_stopping_patience': 22, 'plateau_patience': 17, 'plateau_divider': 2}. Best is trial 45 with value: 0.911697247706422.
