[I 2025-02-19 04:52:43,566] Using an existing study with name 'SST-2-GATv2-google-bert-bert-base-uncased-Surrogate-No_Aggregation-Unitary_Weights-0.0-0.0' instead of creating a new one.
[I 2025-02-19 04:59:45,224] Trial 146 finished with value: 0.8864678899082569 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5078282717510482, 'batch_size': 137, 'attention_heads': 12, 'hidden_dimension': 212, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5087236597865502, 'global_pooling': 'max', 'learning_rate': 0.0055936368496989205, 'weight_decay': 2.492006154690286e-05, 'beta_0': 0.8081731365544853, 'beta_1': 0.9865844079550945, 'epsilon': 1.1772155161377315e-06, 'balanced_loss': False, 'epochs': 146, 'early_stopping_patience': 25, 'plateau_patience': 13, 'plateau_divider': 6}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 06:10:16,927] Trial 157 finished with value: 0.9059633027522935 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6186225266919863, 'batch_size': 244, 'attention_heads': 13, 'hidden_dimension': 238, 'number_of_hidden_layers': 2, 'dropout_rate': 0.37752853596975317, 'global_pooling': 'max', 'learning_rate': 0.0032445371397856375, 'weight_decay': 2.034599477318927e-05, 'beta_0': 0.8470926369805093, 'beta_1': 0.9988457127520581, 'epsilon': 9.701099568244377e-07, 'balanced_loss': False, 'epochs': 124, 'early_stopping_patience': 25, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 06:18:34,846] Trial 158 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.616558444270816, 'batch_size': 254, 'attention_heads': 12, 'hidden_dimension': 237, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3699658906341522, 'global_pooling': 'max', 'learning_rate': 0.007367510270063172, 'weight_decay': 1.190212574015687e-05, 'beta_0': 0.8463977819432035, 'beta_1': 0.9978540760209036, 'epsilon': 1.0262240851370595e-06, 'balanced_loss': False, 'epochs': 141, 'early_stopping_patience': 25, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 06:26:30,008] Trial 159 finished with value: 0.8990825688073395 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6009574789546532, 'batch_size': 243, 'attention_heads': 13, 'hidden_dimension': 248, 'number_of_hidden_layers': 2, 'dropout_rate': 0.37734574924411296, 'global_pooling': 'max', 'learning_rate': 0.0035045139850793873, 'weight_decay': 1.9981338816453498e-05, 'beta_0': 0.848625271894664, 'beta_1': 0.9881941377885813, 'epsilon': 1.8667772540458204e-06, 'balanced_loss': False, 'epochs': 123, 'early_stopping_patience': 25, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 06:33:34,242] Trial 160 finished with value: 0.8899082568807339 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6788211523069108, 'batch_size': 243, 'attention_heads': 12, 'hidden_dimension': 221, 'number_of_hidden_layers': 2, 'dropout_rate': 0.49962272108349554, 'global_pooling': 'max', 'learning_rate': 0.005387352537310315, 'weight_decay': 2.2231900016776365e-05, 'beta_0': 0.8472731430471773, 'beta_1': 0.9941778822126766, 'epsilon': 1.5933637748481115e-05, 'balanced_loss': False, 'epochs': 119, 'early_stopping_patience': 25, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 06:40:49,649] Trial 161 finished with value: 0.8967889908256881 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6404290040417937, 'batch_size': 234, 'attention_heads': 13, 'hidden_dimension': 243, 'number_of_hidden_layers': 2, 'dropout_rate': 0.30841967997016617, 'global_pooling': 'mean', 'learning_rate': 0.0027286139259682894, 'weight_decay': 1.7953350458606033e-05, 'beta_0': 0.8498286892750925, 'beta_1': 0.9862298424514498, 'epsilon': 1.3009750650556702e-06, 'balanced_loss': False, 'epochs': 127, 'early_stopping_patience': 25, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 06:46:42,107] Trial 162 finished with value: 0.8956422018348624 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6221666827844359, 'batch_size': 247, 'attention_heads': 9, 'hidden_dimension': 235, 'number_of_hidden_layers': 2, 'dropout_rate': 0.38069068663932704, 'global_pooling': 'max', 'learning_rate': 0.003999535446931149, 'weight_decay': 2.407504439101285e-05, 'beta_0': 0.8421401992262695, 'beta_1': 0.9878059241112789, 'epsilon': 1.1915445457942651e-05, 'balanced_loss': False, 'epochs': 121, 'early_stopping_patience': 24, 'plateau_patience': 12, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 06:53:07,159] Trial 163 finished with value: 0.9025229357798165 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6530961558974602, 'batch_size': 117, 'attention_heads': 14, 'hidden_dimension': 199, 'number_of_hidden_layers': 2, 'dropout_rate': 0.40885013104582774, 'global_pooling': 'max', 'learning_rate': 0.00213112038338406, 'weight_decay': 2.4828221068110713e-05, 'beta_0': 0.8599109126058444, 'beta_1': 0.9989619364925625, 'epsilon': 8.975749271923462e-07, 'balanced_loss': False, 'epochs': 152, 'early_stopping_patience': 21, 'plateau_patience': 19, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 06:59:22,795] Trial 164 finished with value: 0.8967889908256881 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5218486438086415, 'batch_size': 229, 'attention_heads': 14, 'hidden_dimension': 125, 'number_of_hidden_layers': 2, 'dropout_rate': 0.46921986695654255, 'global_pooling': 'max', 'learning_rate': 0.003328441715540422, 'weight_decay': 1.5240716067109817e-05, 'beta_0': 0.8546923522143933, 'beta_1': 0.9961448041022926, 'epsilon': 7.582599117523767e-07, 'balanced_loss': False, 'epochs': 115, 'early_stopping_patience': 25, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 07:06:15,586] Trial 165 finished with value: 0.9002293577981652 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5753388102374051, 'batch_size': 237, 'attention_heads': 13, 'hidden_dimension': 215, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4656349611846082, 'global_pooling': 'max', 'learning_rate': 0.0015397929457582784, 'weight_decay': 3.2929160569643386e-05, 'beta_0': 0.8321977538485636, 'beta_1': 0.9849923615628532, 'epsilon': 5.445206578888905e-07, 'balanced_loss': False, 'epochs': 147, 'early_stopping_patience': 24, 'plateau_patience': 14, 'plateau_divider': 7}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 07:11:04,933] Trial 166 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6351157983013171, 'batch_size': 215, 'attention_heads': 11, 'hidden_dimension': 137, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3945296356734532, 'global_pooling': 'max', 'learning_rate': 0.0027652202387768113, 'weight_decay': 2.0511836101203707e-05, 'beta_0': 0.8248680998544478, 'beta_1': 0.9858615891249608, 'epsilon': 1.0788587940208306e-06, 'balanced_loss': False, 'epochs': 145, 'early_stopping_patience': 24, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 07:15:02,910] Trial 167 finished with value: 0.8956422018348624 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5561439365488999, 'batch_size': 249, 'attention_heads': 13, 'hidden_dimension': 41, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4911372998339388, 'global_pooling': 'max', 'learning_rate': 0.0019128029498476265, 'weight_decay': 2.871968261448384e-05, 'beta_0': 0.8190024543240836, 'beta_1': 0.9804969417157714, 'epsilon': 1.6341664178246863e-06, 'balanced_loss': False, 'epochs': 188, 'early_stopping_patience': 23, 'plateau_patience': 18, 'plateau_divider': 9}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 07:22:59,488] Trial 168 finished with value: 0.8899082568807339 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5891496672949851, 'batch_size': 222, 'attention_heads': 14, 'hidden_dimension': 223, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4406593884074428, 'global_pooling': 'sum', 'learning_rate': 0.0012869931134689046, 'weight_decay': 1.738392106879834e-05, 'beta_0': 0.8284448405234337, 'beta_1': 0.9873295436717148, 'epsilon': 4.3095571146851176e-07, 'balanced_loss': False, 'epochs': 133, 'early_stopping_patience': 25, 'plateau_patience': 16, 'plateau_divider': 9}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 07:30:34,151] Trial 169 finished with value: 0.8956422018348624 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6622238957298716, 'batch_size': 256, 'attention_heads': 15, 'hidden_dimension': 243, 'number_of_hidden_layers': 2, 'dropout_rate': 0.45367634260831413, 'global_pooling': 'max', 'learning_rate': 0.0009199462108238958, 'weight_decay': 4.187079726013031e-05, 'beta_0': 0.8148424370061659, 'beta_1': 0.9845971610081324, 'epsilon': 2.184110022610192e-06, 'balanced_loss': False, 'epochs': 150, 'early_stopping_patience': 16, 'plateau_patience': 14, 'plateau_divider': 8}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 07:34:58,033] Trial 170 finished with value: 0.8910550458715596 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6253394738284876, 'batch_size': 241, 'attention_heads': 12, 'hidden_dimension': 132, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4757622780825664, 'global_pooling': 'max', 'learning_rate': 0.006191750969502896, 'weight_decay': 2.552917458284461e-05, 'beta_0': 0.8228901056511794, 'beta_1': 0.985390436895598, 'epsilon': 6.542113075133148e-07, 'balanced_loss': False, 'epochs': 124, 'early_stopping_patience': 25, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 07:39:10,409] Trial 171 finished with value: 0.9025229357798165 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5356070371646514, 'batch_size': 182, 'attention_heads': 14, 'hidden_dimension': 57, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4833727976677376, 'global_pooling': 'max', 'learning_rate': 0.0023906455400795547, 'weight_decay': 3.2809317678160284e-05, 'beta_0': 0.8066743633909363, 'beta_1': 0.9925495212950639, 'epsilon': 3.338197429674805e-06, 'balanced_loss': False, 'epochs': 177, 'early_stopping_patience': 22, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 07:43:44,821] Trial 172 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5987910780211556, 'batch_size': 200, 'attention_heads': 4, 'hidden_dimension': 210, 'number_of_hidden_layers': 2, 'dropout_rate': 0.46171229295967403, 'global_pooling': 'max', 'learning_rate': 0.005187479738284681, 'weight_decay': 2.0838675487438912e-05, 'beta_0': 0.8365330919445085, 'beta_1': 0.9865695576410425, 'epsilon': 1.516678431311854e-07, 'balanced_loss': True, 'epochs': 155, 'early_stopping_patience': 24, 'plateau_patience': 13, 'plateau_divider': 8}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 07:52:59,696] Trial 173 finished with value: 0.8899082568807339 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6120444784589788, 'batch_size': 210, 'attention_heads': 15, 'hidden_dimension': 129, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4357759828185252, 'global_pooling': 'max', 'learning_rate': 4.961573232049952e-05, 'weight_decay': 2.0555156922574025e-06, 'beta_0': 0.8514258513980313, 'beta_1': 0.9812043254547305, 'epsilon': 1.3907934919966777e-06, 'balanced_loss': False, 'epochs': 139, 'early_stopping_patience': 19, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 08:02:30,800] Trial 174 finished with value: 0.9059633027522935 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6298018248880312, 'batch_size': 244, 'attention_heads': 13, 'hidden_dimension': 227, 'number_of_hidden_layers': 2, 'dropout_rate': 0.48328074831614953, 'global_pooling': 'max', 'learning_rate': 0.004155761037760188, 'weight_decay': 1.5869121944655254e-05, 'beta_0': 0.8109373515227872, 'beta_1': 0.9854096814961683, 'epsilon': 8.658948655094708e-07, 'balanced_loss': False, 'epochs': 135, 'early_stopping_patience': 25, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 08:10:42,450] Trial 175 finished with value: 0.8990825688073395 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6438182574853903, 'batch_size': 231, 'attention_heads': 13, 'hidden_dimension': 231, 'number_of_hidden_layers': 2, 'dropout_rate': 0.49460854957756367, 'global_pooling': 'max', 'learning_rate': 0.004089028554810025, 'weight_decay': 1.3662170247021435e-05, 'beta_0': 0.8109107473337254, 'beta_1': 0.9856041931658343, 'epsilon': 8.483351587608345e-07, 'balanced_loss': False, 'epochs': 128, 'early_stopping_patience': 25, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 08:19:04,194] Trial 176 finished with value: 0.8922018348623854 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5030105453995549, 'batch_size': 247, 'attention_heads': 12, 'hidden_dimension': 240, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5049901941922673, 'global_pooling': 'max', 'learning_rate': 0.003331895813871115, 'weight_decay': 1.5832350654674022e-05, 'beta_0': 0.8132371788792071, 'beta_1': 0.9851631553329017, 'epsilon': 1.0609993309000214e-06, 'balanced_loss': False, 'epochs': 136, 'early_stopping_patience': 25, 'plateau_patience': 14, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 08:26:25,426] Trial 177 finished with value: 0.9025229357798165 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6290491548780897, 'batch_size': 226, 'attention_heads': 13, 'hidden_dimension': 227, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4874696237734278, 'global_pooling': 'max', 'learning_rate': 0.0014695249650352237, 'weight_decay': 1.8855505230579813e-05, 'beta_0': 0.8082971187071994, 'beta_1': 0.984264224509943, 'epsilon': 7.582590099841734e-07, 'balanced_loss': False, 'epochs': 143, 'early_stopping_patience': 24, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 08:30:34,246] Trial 178 finished with value: 0.8990825688073395 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.668643891597853, 'batch_size': 132, 'attention_heads': 16, 'hidden_dimension': 47, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5472863791286007, 'global_pooling': 'max', 'learning_rate': 0.004742214658249798, 'weight_decay': 1.0907943292741541e-05, 'beta_0': 0.8165747235505116, 'beta_1': 0.9862724665822042, 'epsilon': 1.2107382620770408e-06, 'balanced_loss': False, 'epochs': 132, 'early_stopping_patience': 20, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 08:37:03,518] Trial 179 finished with value: 0.9002293577981652 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5702140569095426, 'batch_size': 240, 'attention_heads': 14, 'hidden_dimension': 143, 'number_of_hidden_layers': 2, 'dropout_rate': 0.472250366274259, 'global_pooling': 'max', 'learning_rate': 0.0028191854300248357, 'weight_decay': 2.388722722248071e-05, 'beta_0': 0.8056466476739976, 'beta_1': 0.9848437283316174, 'epsilon': 7.590853521875697e-08, 'balanced_loss': False, 'epochs': 146, 'early_stopping_patience': 25, 'plateau_patience': 14, 'plateau_divider': 9}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 08:40:58,138] Trial 180 finished with value: 0.8956422018348624 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6504483983669678, 'batch_size': 125, 'attention_heads': 8, 'hidden_dimension': 85, 'number_of_hidden_layers': 2, 'dropout_rate': 0.47937319092455105, 'global_pooling': 'mean', 'learning_rate': 0.0018734754800193236, 'weight_decay': 1.5144625593256968e-05, 'beta_0': 0.8044071611281923, 'beta_1': 0.9825750040042476, 'epsilon': 1.0970604034608746e-08, 'balanced_loss': False, 'epochs': 153, 'early_stopping_patience': 21, 'plateau_patience': 16, 'plateau_divider': 9}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 08:55:17,950] Trial 181 finished with value: 0.8990825688073395 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5164193514604242, 'batch_size': 150, 'attention_heads': 13, 'hidden_dimension': 251, 'number_of_hidden_layers': 2, 'dropout_rate': 0.45791275807956994, 'global_pooling': 'max', 'learning_rate': 0.0037270270788588413, 'weight_decay': 0.0007110593221315834, 'beta_0': 0.8701772348043546, 'beta_1': 0.9859344249878784, 'epsilon': 9.963121750210173e-07, 'balanced_loss': False, 'epochs': 141, 'early_stopping_patience': 18, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 09:02:32,438] Trial 182 finished with value: 0.9036697247706422 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6159477389283498, 'batch_size': 162, 'attention_heads': 13, 'hidden_dimension': 235, 'number_of_hidden_layers': 2, 'dropout_rate': 0.42230733739045595, 'global_pooling': 'max', 'learning_rate': 0.0011755100196902681, 'weight_decay': 2.8765401580709685e-05, 'beta_0': 0.8844980572478502, 'beta_1': 0.985528678840354, 'epsilon': 1.7883323379375638e-06, 'balanced_loss': False, 'epochs': 148, 'early_stopping_patience': 25, 'plateau_patience': 14, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 09:07:30,861] Trial 183 finished with value: 0.8922018348623854 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.778048672646298, 'batch_size': 217, 'attention_heads': 11, 'hidden_dimension': 152, 'number_of_hidden_layers': 2, 'dropout_rate': 0.36076203174060195, 'global_pooling': 'max', 'learning_rate': 0.000257828703391886, 'weight_decay': 1.2971464166979775e-05, 'beta_0': 0.8309168826276482, 'beta_1': 0.9869828498011415, 'epsilon': 1.3354703899223204e-06, 'balanced_loss': False, 'epochs': 157, 'early_stopping_patience': 24, 'plateau_patience': 20, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
