[I 2025-03-21 00:56:21,201] Using an existing study with name 'SST-2-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation-Random_Weights-0.0-0.0' instead of creating a new one.
[I 2025-03-21 01:05:01,986] Trial 103 finished with value: 0.893348623853211 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6849204404719833, 'batch_size': 106, 'attention_heads': 10, 'hidden_dimension': 227, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5621877147322808, 'global_pooling': 'max', 'learning_rate': 0.00038454256899817977, 'weight_decay': 0.0005012631587081072, 'beta_0': 0.8968061524877028, 'beta_1': 0.9839437143098397, 'epsilon': 1.9098673886438716e-05, 'balanced_loss': False, 'epochs': 160, 'early_stopping_patience': 24, 'plateau_patience': 13, 'plateau_divider': 3}. Best is trial 48 with value: 0.908256880733945.
[I 2025-03-21 02:31:29,041] Trial 114 finished with value: 0.9002293577981652 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5417146336993917, 'batch_size': 59, 'attention_heads': 12, 'hidden_dimension': 181, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5684988378214666, 'global_pooling': 'max', 'learning_rate': 0.0009263587273883437, 'weight_decay': 0.0009182974125579532, 'beta_0': 0.8941633600379107, 'beta_1': 0.9884344552385504, 'epsilon': 2.2735665482883287e-06, 'balanced_loss': False, 'epochs': 107, 'early_stopping_patience': 25, 'plateau_patience': 23, 'plateau_divider': 7}. Best is trial 48 with value: 0.908256880733945.
[I 2025-03-21 02:38:26,986] Trial 115 finished with value: 0.9025229357798165 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.4958247689533814, 'batch_size': 41, 'attention_heads': 13, 'hidden_dimension': 157, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5906002308309357, 'global_pooling': 'max', 'learning_rate': 0.0010995418719023538, 'weight_decay': 0.0001825114399467588, 'beta_0': 0.8896584202036871, 'beta_1': 0.9863427287456054, 'epsilon': 4.11175039486885e-06, 'balanced_loss': False, 'epochs': 127, 'early_stopping_patience': 25, 'plateau_patience': 23, 'plateau_divider': 7}. Best is trial 48 with value: 0.908256880733945.
[I 2025-03-21 02:46:14,925] Trial 116 finished with value: 0.8990825688073395 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.561239578902555, 'batch_size': 49, 'attention_heads': 12, 'hidden_dimension': 177, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5790652548684151, 'global_pooling': 'max', 'learning_rate': 0.0004911519524619641, 'weight_decay': 0.00024140881531266103, 'beta_0': 0.8975912786774952, 'beta_1': 0.986684498491737, 'epsilon': 7.537365029132041e-06, 'balanced_loss': False, 'epochs': 133, 'early_stopping_patience': 24, 'plateau_patience': 25, 'plateau_divider': 7}. Best is trial 48 with value: 0.908256880733945.
[I 2025-03-21 02:54:14,612] Trial 117 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5275642395433254, 'batch_size': 36, 'attention_heads': 13, 'hidden_dimension': 173, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5920498947670247, 'global_pooling': 'max', 'learning_rate': 0.0004070814180954823, 'weight_decay': 0.0008518088138035518, 'beta_0': 0.8145798727926391, 'beta_1': 0.9858692997177739, 'epsilon': 3.361265076443867e-06, 'balanced_loss': False, 'epochs': 123, 'early_stopping_patience': 25, 'plateau_patience': 24, 'plateau_divider': 8}. Best is trial 48 with value: 0.908256880733945.
[I 2025-03-21 03:02:11,190] Trial 118 finished with value: 0.9059633027522935 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.4649740115596609, 'batch_size': 40, 'attention_heads': 13, 'hidden_dimension': 185, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5721095093298721, 'global_pooling': 'max', 'learning_rate': 0.0007248677129583457, 'weight_decay': 0.000582003486394298, 'beta_0': 0.8216405192829754, 'beta_1': 0.9872466693994884, 'epsilon': 5.466877881064348e-07, 'balanced_loss': False, 'epochs': 128, 'early_stopping_patience': 24, 'plateau_patience': 25, 'plateau_divider': 8}. Best is trial 48 with value: 0.908256880733945.
[I 2025-03-21 03:08:58,619] Trial 119 finished with value: 0.9151376146788991 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5366453988270766, 'batch_size': 60, 'attention_heads': 14, 'hidden_dimension': 186, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5726425695159314, 'global_pooling': 'max', 'learning_rate': 0.0007512224166645802, 'weight_decay': 0.0005823100363782926, 'beta_0': 0.8180655927054621, 'beta_1': 0.9880648780777481, 'epsilon': 5.12678428037622e-07, 'balanced_loss': False, 'epochs': 65, 'early_stopping_patience': 24, 'plateau_patience': 25, 'plateau_divider': 8}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 03:15:47,834] Trial 120 finished with value: 0.8990825688073395 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5474933576111569, 'batch_size': 61, 'attention_heads': 14, 'hidden_dimension': 184, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5556044620781238, 'global_pooling': 'max', 'learning_rate': 0.0007387658400809722, 'weight_decay': 0.0005774966802658782, 'beta_0': 0.8220470412724652, 'beta_1': 0.9870391495486348, 'epsilon': 5.58812606595435e-07, 'balanced_loss': False, 'epochs': 57, 'early_stopping_patience': 24, 'plateau_patience': 25, 'plateau_divider': 8}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 03:21:13,306] Trial 121 finished with value: 0.8990825688073395 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.46895879376919436, 'batch_size': 54, 'attention_heads': 14, 'hidden_dimension': 191, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5709442127600924, 'global_pooling': 'max', 'learning_rate': 0.0005509358096013076, 'weight_decay': 0.0006838853144717033, 'beta_0': 0.8113568605738696, 'beta_1': 0.987434529079916, 'epsilon': 9.550319763707386e-07, 'balanced_loss': False, 'epochs': 88, 'early_stopping_patience': 25, 'plateau_patience': 25, 'plateau_divider': 8}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 03:27:11,757] Trial 122 finished with value: 0.8944954128440367 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5339785147766638, 'batch_size': 40, 'attention_heads': 13, 'hidden_dimension': 165, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5625702877583846, 'global_pooling': 'sum', 'learning_rate': 0.00028369419608530443, 'weight_decay': 0.0005407072306553397, 'beta_0': 0.8187973918251993, 'beta_1': 0.9883290745952306, 'epsilon': 4.328231343639002e-07, 'balanced_loss': False, 'epochs': 71, 'early_stopping_patience': 24, 'plateau_patience': 24, 'plateau_divider': 7}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 03:33:23,756] Trial 123 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5138009826257496, 'batch_size': 49, 'attention_heads': 12, 'hidden_dimension': 201, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5787029739380527, 'global_pooling': 'max', 'learning_rate': 0.0008128320695335038, 'weight_decay': 0.0003760392343998288, 'beta_0': 0.8828158704757949, 'beta_1': 0.9878162008977813, 'epsilon': 3.6472891647016903e-07, 'balanced_loss': False, 'epochs': 63, 'early_stopping_patience': 25, 'plateau_patience': 25, 'plateau_divider': 8}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 03:42:35,613] Trial 124 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5010728291853864, 'batch_size': 32, 'attention_heads': 13, 'hidden_dimension': 177, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5841249618065231, 'global_pooling': 'max', 'learning_rate': 0.0010225133282614617, 'weight_decay': 0.0006486672435588531, 'beta_0': 0.8175089467945128, 'beta_1': 0.9933183970078799, 'epsilon': 1.4859494552567962e-06, 'balanced_loss': False, 'epochs': 129, 'early_stopping_patience': 24, 'plateau_patience': 23, 'plateau_divider': 8}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 03:48:37,532] Trial 125 finished with value: 0.8979357798165137 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8733361278157754, 'batch_size': 43, 'attention_heads': 13, 'hidden_dimension': 187, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5702102002837014, 'global_pooling': 'max', 'learning_rate': 0.0005904653463748202, 'weight_decay': 0.0004784908214184646, 'beta_0': 0.8074294598266596, 'beta_1': 0.9868499333854519, 'epsilon': 2.568899039412613e-07, 'balanced_loss': False, 'epochs': 113, 'early_stopping_patience': 24, 'plateau_patience': 24, 'plateau_divider': 8}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 03:55:50,790] Trial 126 finished with value: 0.8967889908256881 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.45772420083833343, 'batch_size': 47, 'attention_heads': 13, 'hidden_dimension': 171, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5510385130631307, 'global_pooling': 'max', 'learning_rate': 0.0012603203754953732, 'weight_decay': 0.0007609712722663929, 'beta_0': 0.8123397873036217, 'beta_1': 0.9895022802603656, 'epsilon': 1.257533053246717e-06, 'balanced_loss': False, 'epochs': 72, 'early_stopping_patience': 25, 'plateau_patience': 25, 'plateau_divider': 8}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 04:02:41,680] Trial 127 finished with value: 0.8440366972477065 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5674793925989726, 'batch_size': 56, 'attention_heads': 14, 'hidden_dimension': 182, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5650286014932075, 'global_pooling': 'max', 'learning_rate': 0.08844241319717973, 'weight_decay': 0.0009555764010114492, 'beta_0': 0.8206157156165569, 'beta_1': 0.9888808648376827, 'epsilon': 7.549959785480987e-07, 'balanced_loss': True, 'epochs': 101, 'early_stopping_patience': 24, 'plateau_patience': 25, 'plateau_divider': 7}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 04:09:14,780] Trial 128 finished with value: 0.9025229357798165 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5544734666365254, 'batch_size': 35, 'attention_heads': 12, 'hidden_dimension': 199, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5600860092129415, 'global_pooling': 'max', 'learning_rate': 0.0007242448939263198, 'weight_decay': 0.000636329391809141, 'beta_0': 0.8247779302352306, 'beta_1': 0.9862419185870472, 'epsilon': 5.874261969923716e-07, 'balanced_loss': False, 'epochs': 65, 'early_stopping_patience': 17, 'plateau_patience': 24, 'plateau_divider': 9}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 04:15:59,154] Trial 129 finished with value: 0.8979357798165137 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5387914694414035, 'batch_size': 184, 'attention_heads': 12, 'hidden_dimension': 191, 'number_of_hidden_layers': 2, 'dropout_rate': 0.41918314781238886, 'global_pooling': 'max', 'learning_rate': 0.00047118963243998526, 'weight_decay': 3.717927475110067e-06, 'beta_0': 0.8106767168204323, 'beta_1': 0.9879360216036545, 'epsilon': 2.215217424554255e-06, 'balanced_loss': False, 'epochs': 68, 'early_stopping_patience': 25, 'plateau_patience': 24, 'plateau_divider': 8}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 04:23:14,533] Trial 130 finished with value: 0.9025229357798165 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5236280573436981, 'batch_size': 45, 'attention_heads': 13, 'hidden_dimension': 142, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5744705506639066, 'global_pooling': 'mean', 'learning_rate': 0.0009859583947606607, 'weight_decay': 1.902387722787852e-05, 'beta_0': 0.8889198405126155, 'beta_1': 0.9872658829863293, 'epsilon': 5.4334760609345845e-06, 'balanced_loss': False, 'epochs': 52, 'early_stopping_patience': 24, 'plateau_patience': 23, 'plateau_divider': 7}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 04:30:32,032] Trial 131 finished with value: 0.9036697247706422 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.4932336020604851, 'batch_size': 39, 'attention_heads': 12, 'hidden_dimension': 179, 'number_of_hidden_layers': 2, 'dropout_rate': 0.46219404491088273, 'global_pooling': 'max', 'learning_rate': 0.00022755763447239886, 'weight_decay': 0.00039073995450943083, 'beta_0': 0.8143716770102896, 'beta_1': 0.9858471723010854, 'epsilon': 3.795022713775625e-06, 'balanced_loss': False, 'epochs': 154, 'early_stopping_patience': 25, 'plateau_patience': 25, 'plateau_divider': 8}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 04:37:50,380] Trial 132 finished with value: 0.8990825688073395 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5772394593498542, 'batch_size': 63, 'attention_heads': 14, 'hidden_dimension': 184, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4365750629682336, 'global_pooling': 'max', 'learning_rate': 0.00036514305079454653, 'weight_decay': 2.2558862353105994e-06, 'beta_0': 0.8062373502183625, 'beta_1': 0.9849558271775404, 'epsilon': 6.744771528314015e-06, 'balanced_loss': False, 'epochs': 145, 'early_stopping_patience': 23, 'plateau_patience': 24, 'plateau_divider': 7}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 04:46:01,792] Trial 133 finished with value: 0.8990825688073395 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5142520196270653, 'batch_size': 69, 'attention_heads': 12, 'hidden_dimension': 168, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5877001053536324, 'global_pooling': 'max', 'learning_rate': 0.001376299335817031, 'weight_decay': 0.0004507536046609484, 'beta_0': 0.8093985412865855, 'beta_1': 0.9866341906644355, 'epsilon': 2.937916712148495e-06, 'balanced_loss': True, 'epochs': 137, 'early_stopping_patience': 24, 'plateau_patience': 25, 'plateau_divider': 8}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 04:53:16,928] Trial 134 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.44706549984547617, 'batch_size': 51, 'attention_heads': 13, 'hidden_dimension': 197, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5941917861152595, 'global_pooling': 'max', 'learning_rate': 0.0011251525990887057, 'weight_decay': 0.00029804617963567835, 'beta_0': 0.8488468048029207, 'beta_1': 0.9851458643654903, 'epsilon': 1.6949723409711274e-06, 'balanced_loss': False, 'epochs': 124, 'early_stopping_patience': 23, 'plateau_patience': 23, 'plateau_divider': 7}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 04:58:23,324] Trial 135 finished with value: 0.8899082568807339 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.4668991106743471, 'batch_size': 155, 'attention_heads': 13, 'hidden_dimension': 188, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5812929424543889, 'global_pooling': 'max', 'learning_rate': 0.0006428405307926124, 'weight_decay': 0.00021699071672526656, 'beta_0': 0.8998484867040771, 'beta_1': 0.984344410512133, 'epsilon': 4.864629055751878e-06, 'balanced_loss': False, 'epochs': 139, 'early_stopping_patience': 22, 'plateau_patience': 24, 'plateau_divider': 6}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 05:05:38,061] Trial 136 finished with value: 0.8967889908256881 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5572720740288776, 'batch_size': 41, 'attention_heads': 12, 'hidden_dimension': 206, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4477672731294579, 'global_pooling': 'max', 'learning_rate': 0.0008281787357481119, 'weight_decay': 0.0003618050938356412, 'beta_0': 0.8165175038821684, 'beta_1': 0.9861675124609331, 'epsilon': 7.646330409989124e-06, 'balanced_loss': False, 'epochs': 119, 'early_stopping_patience': 23, 'plateau_patience': 22, 'plateau_divider': 8}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 05:11:43,896] Trial 137 finished with value: 0.9025229357798165 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.4394004281265033, 'batch_size': 36, 'attention_heads': 5, 'hidden_dimension': 192, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5706057931411136, 'global_pooling': 'max', 'learning_rate': 0.00160868984445761, 'weight_decay': 4.921286231992741e-05, 'beta_0': 0.8032082613064699, 'beta_1': 0.9870244290399578, 'epsilon': 8.337748146148243e-05, 'balanced_loss': False, 'epochs': 134, 'early_stopping_patience': 24, 'plateau_patience': 22, 'plateau_divider': 8}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 05:17:50,312] Trial 138 finished with value: 0.8956422018348624 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.41979365983056954, 'batch_size': 196, 'attention_heads': 12, 'hidden_dimension': 175, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5766849163918878, 'global_pooling': 'max', 'learning_rate': 0.0009824148593890884, 'weight_decay': 0.00025926637228338204, 'beta_0': 0.8530978001411998, 'beta_1': 0.9847516751546901, 'epsilon': 2.3737152721254826e-06, 'balanced_loss': False, 'epochs': 147, 'early_stopping_patience': 22, 'plateau_patience': 25, 'plateau_divider': 6}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 05:24:57,657] Trial 139 finished with value: 0.9036697247706422 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.47638901228220537, 'batch_size': 151, 'attention_heads': 14, 'hidden_dimension': 196, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5462011151538431, 'global_pooling': 'max', 'learning_rate': 0.0007652725823181946, 'weight_decay': 0.00015131203578507287, 'beta_0': 0.895470884662556, 'beta_1': 0.9857706549318629, 'epsilon': 2.0036654659536877e-07, 'balanced_loss': False, 'epochs': 141, 'early_stopping_patience': 16, 'plateau_patience': 24, 'plateau_divider': 9}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 05:33:34,344] Trial 140 finished with value: 0.9025229357798165 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5065781328252172, 'batch_size': 55, 'attention_heads': 13, 'hidden_dimension': 201, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5557799006348484, 'global_pooling': 'max', 'learning_rate': 0.0005434274624839443, 'weight_decay': 0.0005424372552405455, 'beta_0': 0.8359023828797392, 'beta_1': 0.9864229161037094, 'epsilon': 3.7303407769514973e-06, 'balanced_loss': False, 'epochs': 79, 'early_stopping_patience': 25, 'plateau_patience': 23, 'plateau_divider': 7}. Best is trial 119 with value: 0.9151376146788991.
