[I 2025-02-19 06:31:36,104] Using an existing study with name 'SST-2-GATv2-google-bert-bert-base-uncased-Surrogate-No_Aggregation-Single_Unitary_Weight-0.0-0.0' instead of creating a new one.
[I 2025-02-19 06:38:08,877] Trial 152 finished with value: 0.9002293577981652 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.40078707383840806, 'batch_size': 81, 'attention_heads': 9, 'hidden_dimension': 131, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5010586476361087, 'global_pooling': 'mean', 'learning_rate': 0.0023039299524780284, 'weight_decay': 2.201133589023736e-05, 'beta_0': 0.8559734559936043, 'beta_1': 0.9856624722636111, 'epsilon': 2.576303039897108e-07, 'balanced_loss': True, 'epochs': 105, 'early_stopping_patience': 22, 'plateau_patience': 15, 'plateau_divider': 3}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 07:59:58,317] Trial 163 finished with value: 0.8956422018348624 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.48364521221645695, 'batch_size': 76, 'attention_heads': 12, 'hidden_dimension': 109, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5145363924610447, 'global_pooling': 'mean', 'learning_rate': 0.002991448278239251, 'weight_decay': 3.488349131643254e-05, 'beta_0': 0.8360601418438558, 'beta_1': 0.9856790125693848, 'epsilon': 4.614469615969664e-07, 'balanced_loss': True, 'epochs': 94, 'early_stopping_patience': 23, 'plateau_patience': 19, 'plateau_divider': 4}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 08:07:41,996] Trial 164 finished with value: 0.9036697247706422 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.5558791672811555, 'batch_size': 73, 'attention_heads': 14, 'hidden_dimension': 174, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5253669158344045, 'global_pooling': 'mean', 'learning_rate': 0.0013803586667348385, 'weight_decay': 0.0001330035068772335, 'beta_0': 0.8395282945901964, 'beta_1': 0.9869059485731987, 'epsilon': 1.0125150212611e-06, 'balanced_loss': True, 'epochs': 103, 'early_stopping_patience': 24, 'plateau_patience': 13, 'plateau_divider': 3}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 08:12:26,405] Trial 165 finished with value: 0.8990825688073395 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.5668160852178411, 'batch_size': 67, 'attention_heads': 14, 'hidden_dimension': 56, 'number_of_hidden_layers': 2, 'dropout_rate': 0.523024782206586, 'global_pooling': 'mean', 'learning_rate': 0.001137476262300535, 'weight_decay': 6.260869168115538e-05, 'beta_0': 0.8263166852336423, 'beta_1': 0.987343698357081, 'epsilon': 5.740800769578293e-07, 'balanced_loss': True, 'epochs': 101, 'early_stopping_patience': 25, 'plateau_patience': 12, 'plateau_divider': 3}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 08:20:12,953] Trial 166 finished with value: 0.9002293577981652 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.5342029766327749, 'batch_size': 81, 'attention_heads': 15, 'hidden_dimension': 177, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5180024805985026, 'global_pooling': 'mean', 'learning_rate': 0.0018189490726077927, 'weight_decay': 0.0002035654699206896, 'beta_0': 0.8328571037503063, 'beta_1': 0.9869673074333278, 'epsilon': 6.524516996040701e-07, 'balanced_loss': True, 'epochs': 109, 'early_stopping_patience': 25, 'plateau_patience': 13, 'plateau_divider': 3}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 08:26:54,249] Trial 167 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.5807097689288836, 'batch_size': 70, 'attention_heads': 14, 'hidden_dimension': 171, 'number_of_hidden_layers': 2, 'dropout_rate': 0.41694564653439303, 'global_pooling': 'mean', 'learning_rate': 0.0009335475070365559, 'weight_decay': 7.926038157633422e-05, 'beta_0': 0.8237986948731735, 'beta_1': 0.9877079384720774, 'epsilon': 3.912340888992901e-07, 'balanced_loss': True, 'epochs': 115, 'early_stopping_patience': 25, 'plateau_patience': 12, 'plateau_divider': 7}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 08:32:48,392] Trial 168 finished with value: 0.8990825688073395 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.5618201501061697, 'batch_size': 62, 'attention_heads': 13, 'hidden_dimension': 163, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4976690239759694, 'global_pooling': 'mean', 'learning_rate': 0.0012758351683839686, 'weight_decay': 3.12172468673284e-05, 'beta_0': 0.8158513859429313, 'beta_1': 0.986337058653309, 'epsilon': 7.704899216390966e-07, 'balanced_loss': True, 'epochs': 146, 'early_stopping_patience': 19, 'plateau_patience': 11, 'plateau_divider': 3}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 08:39:41,760] Trial 169 finished with value: 0.8979357798165137 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.49892705173632385, 'batch_size': 54, 'attention_heads': 13, 'hidden_dimension': 151, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5313978797463713, 'global_pooling': 'mean', 'learning_rate': 0.0005725533535457062, 'weight_decay': 1.7525808785582573e-05, 'beta_0': 0.8830134497097967, 'beta_1': 0.9859501026763183, 'epsilon': 5.55100277773738e-07, 'balanced_loss': True, 'epochs': 102, 'early_stopping_patience': 24, 'plateau_patience': 24, 'plateau_divider': 8}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 08:46:08,979] Trial 170 finished with value: 0.9036697247706422 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.4320667690040912, 'batch_size': 37, 'attention_heads': 14, 'hidden_dimension': 124, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5086437325443065, 'global_pooling': 'mean', 'learning_rate': 0.0007391833713930175, 'weight_decay': 4.6653485721192856e-05, 'beta_0': 0.8884239075449477, 'beta_1': 0.9866199844411455, 'epsilon': 7.271417135556615e-05, 'balanced_loss': True, 'epochs': 128, 'early_stopping_patience': 25, 'plateau_patience': 10, 'plateau_divider': 2}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 08:52:18,325] Trial 171 finished with value: 0.9025229357798165 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.5474436892052578, 'batch_size': 74, 'attention_heads': 11, 'hidden_dimension': 158, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4869895043970707, 'global_pooling': 'mean', 'learning_rate': 0.0037916043902232375, 'weight_decay': 1.0787849002401648e-05, 'beta_0': 0.8767348385618111, 'beta_1': 0.9852796747165129, 'epsilon': 4.074062014020952e-05, 'balanced_loss': True, 'epochs': 96, 'early_stopping_patience': 22, 'plateau_patience': 14, 'plateau_divider': 3}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 08:58:11,265] Trial 172 finished with value: 0.8922018348623854 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.44947407621456453, 'batch_size': 90, 'attention_heads': 8, 'hidden_dimension': 135, 'number_of_hidden_layers': 4, 'dropout_rate': 0.39858155690077174, 'global_pooling': 'mean', 'learning_rate': 0.002069269585729116, 'weight_decay': 7.070337288672115e-05, 'beta_0': 0.8913204296970858, 'beta_1': 0.9883476226216986, 'epsilon': 9.710684651996594e-08, 'balanced_loss': False, 'epochs': 67, 'early_stopping_patience': 23, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 09:07:18,256] Trial 173 finished with value: 0.9025229357798165 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.651022182609035, 'batch_size': 146, 'attention_heads': 14, 'hidden_dimension': 168, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5431812010046819, 'global_pooling': 'mean', 'learning_rate': 0.0015568960187071755, 'weight_decay': 3.8568033134395524e-05, 'beta_0': 0.8316287796222805, 'beta_1': 0.9846033974972627, 'epsilon': 2.0838277607368027e-07, 'balanced_loss': True, 'epochs': 120, 'early_stopping_patience': 24, 'plateau_patience': 15, 'plateau_divider': 3}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 09:16:37,678] Trial 174 finished with value: 0.8956422018348624 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.41865087297755765, 'batch_size': 58, 'attention_heads': 14, 'hidden_dimension': 167, 'number_of_hidden_layers': 4, 'dropout_rate': 0.38209380846872976, 'global_pooling': 'mean', 'learning_rate': 0.0013242631512981372, 'weight_decay': 4.5413867719519454e-05, 'beta_0': 0.8298938471921645, 'beta_1': 0.9854153410561115, 'epsilon': 2.1949816246197263e-05, 'balanced_loss': True, 'epochs': 123, 'early_stopping_patience': 22, 'plateau_patience': 11, 'plateau_divider': 3}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 09:26:04,133] Trial 175 finished with value: 0.8979357798165137 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.4130163869784141, 'batch_size': 61, 'attention_heads': 14, 'hidden_dimension': 172, 'number_of_hidden_layers': 4, 'dropout_rate': 0.36896360699536196, 'global_pooling': 'mean', 'learning_rate': 0.0014007718879767844, 'weight_decay': 4.1698538257983736e-05, 'beta_0': 0.8433729486018258, 'beta_1': 0.9842412375747875, 'epsilon': 2.344208964745301e-05, 'balanced_loss': True, 'epochs': 126, 'early_stopping_patience': 22, 'plateau_patience': 12, 'plateau_divider': 3}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 09:36:58,785] Trial 176 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.42571141750008, 'batch_size': 50, 'attention_heads': 15, 'hidden_dimension': 164, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3781644225257848, 'global_pooling': 'mean', 'learning_rate': 0.0010813098755088927, 'weight_decay': 2.8105552759799178e-05, 'beta_0': 0.844928028351203, 'beta_1': 0.9850306597427655, 'epsilon': 2.7768847403635942e-05, 'balanced_loss': True, 'epochs': 117, 'early_stopping_patience': 21, 'plateau_patience': 10, 'plateau_divider': 3}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 09:44:59,504] Trial 177 finished with value: 0.8956422018348624 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.4366819957123195, 'batch_size': 67, 'attention_heads': 13, 'hidden_dimension': 142, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3904292970103217, 'global_pooling': 'mean', 'learning_rate': 0.0018672076383537495, 'weight_decay': 2.033399058598849e-05, 'beta_0': 0.857556160384306, 'beta_1': 0.9837940830604576, 'epsilon': 1.8738047546712304e-05, 'balanced_loss': True, 'epochs': 177, 'early_stopping_patience': 22, 'plateau_patience': 11, 'plateau_divider': 2}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 09:51:56,273] Trial 178 finished with value: 0.8956422018348624 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.4611475953766904, 'batch_size': 59, 'attention_heads': 14, 'hidden_dimension': 154, 'number_of_hidden_layers': 4, 'dropout_rate': 0.35263217032890837, 'global_pooling': 'mean', 'learning_rate': 0.0024356679412148303, 'weight_decay': 9.73232119911263e-05, 'beta_0': 0.8409642962495476, 'beta_1': 0.9858638858060639, 'epsilon': 6.052512924160437e-05, 'balanced_loss': True, 'epochs': 140, 'early_stopping_patience': 15, 'plateau_patience': 23, 'plateau_divider': 7}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 10:01:39,600] Trial 179 finished with value: 0.8922018348623854 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.582221795935804, 'batch_size': 44, 'attention_heads': 13, 'hidden_dimension': 177, 'number_of_hidden_layers': 4, 'dropout_rate': 0.49275879010626183, 'global_pooling': 'mean', 'learning_rate': 0.0016346114079047085, 'weight_decay': 5.663924079842222e-05, 'beta_0': 0.8863283555055659, 'beta_1': 0.985041040464258, 'epsilon': 4.609434746797793e-07, 'balanced_loss': True, 'epochs': 53, 'early_stopping_patience': 23, 'plateau_patience': 11, 'plateau_divider': 3}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 10:07:17,361] Trial 180 finished with value: 0.8944954128440367 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.7033945888088728, 'batch_size': 85, 'attention_heads': 11, 'hidden_dimension': 161, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5026545329687603, 'global_pooling': 'mean', 'learning_rate': 0.0009606488280932883, 'weight_decay': 1.2359379909066669e-05, 'beta_0': 0.8423774011725436, 'beta_1': 0.9870892460981701, 'epsilon': 1.2980829416221035e-06, 'balanced_loss': True, 'epochs': 111, 'early_stopping_patience': 21, 'plateau_patience': 11, 'plateau_divider': 3}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 10:13:44,343] Trial 181 finished with value: 0.9036697247706422 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.40220694723481315, 'batch_size': 52, 'attention_heads': 10, 'hidden_dimension': 182, 'number_of_hidden_layers': 2, 'dropout_rate': 0.34012594640619903, 'global_pooling': 'max', 'learning_rate': 0.0012167094756740581, 'weight_decay': 3.268252355542586e-05, 'beta_0': 0.8480112170988932, 'beta_1': 0.9862238568699042, 'epsilon': 3.698085686902307e-06, 'balanced_loss': True, 'epochs': 131, 'early_stopping_patience': 22, 'plateau_patience': 12, 'plateau_divider': 3}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 10:19:53,411] Trial 182 finished with value: 0.9059633027522935 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6016088644366819, 'batch_size': 32, 'attention_heads': 14, 'hidden_dimension': 146, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3587756926825809, 'global_pooling': 'mean', 'learning_rate': 0.000819740011928864, 'weight_decay': 2.5148868390242825e-05, 'beta_0': 0.8941395122409139, 'beta_1': 0.9902640543767178, 'epsilon': 3.3822499103749746e-05, 'balanced_loss': True, 'epochs': 106, 'early_stopping_patience': 20, 'plateau_patience': 10, 'plateau_divider': 5}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 10:25:45,295] Trial 183 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5981903151062294, 'batch_size': 32, 'attention_heads': 14, 'hidden_dimension': 149, 'number_of_hidden_layers': 2, 'dropout_rate': 0.36296524778455896, 'global_pooling': 'mean', 'learning_rate': 0.0006566122252682048, 'weight_decay': 2.643503896966567e-05, 'beta_0': 0.8940622233470154, 'beta_1': 0.9897600821017868, 'epsilon': 4.79886743075173e-05, 'balanced_loss': True, 'epochs': 100, 'early_stopping_patience': 20, 'plateau_patience': 10, 'plateau_divider': 5}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 10:31:52,623] Trial 184 finished with value: 0.8967889908256881 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.5762328279074488, 'batch_size': 41, 'attention_heads': 14, 'hidden_dimension': 147, 'number_of_hidden_layers': 2, 'dropout_rate': 0.37004279865571865, 'global_pooling': 'mean', 'learning_rate': 0.0007676579722608152, 'weight_decay': 3.8130119552317504e-05, 'beta_0': 0.89007419559298, 'beta_1': 0.9904394157594646, 'epsilon': 3.459939988574968e-05, 'balanced_loss': True, 'epochs': 114, 'early_stopping_patience': 20, 'plateau_patience': 10, 'plateau_divider': 6}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 10:38:10,046] Trial 185 finished with value: 0.9025229357798165 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6120802322869558, 'batch_size': 34, 'attention_heads': 14, 'hidden_dimension': 155, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3736388935392017, 'global_pooling': 'mean', 'learning_rate': 0.0014804865069885473, 'weight_decay': 0.00016463081220150253, 'beta_0': 0.8930057549144546, 'beta_1': 0.9912851369953704, 'epsilon': 3.1542876089072406e-05, 'balanced_loss': True, 'epochs': 108, 'early_stopping_patience': 20, 'plateau_patience': 10, 'plateau_divider': 5}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 10:45:14,616] Trial 186 finished with value: 0.8967889908256881 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6257040719207816, 'batch_size': 46, 'attention_heads': 13, 'hidden_dimension': 166, 'number_of_hidden_layers': 3, 'dropout_rate': 0.3550546430386617, 'global_pooling': 'mean', 'learning_rate': 0.000870095823509762, 'weight_decay': 2.337798534014707e-05, 'beta_0': 0.8959673734133046, 'beta_1': 0.9900503614990502, 'epsilon': 3.825761556460742e-05, 'balanced_loss': True, 'epochs': 106, 'early_stopping_patience': 22, 'plateau_patience': 11, 'plateau_divider': 6}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 10:51:58,431] Trial 187 finished with value: 0.8910550458715596 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.5709980047269062, 'batch_size': 63, 'attention_heads': 14, 'hidden_dimension': 129, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3589940112383935, 'global_pooling': 'mean', 'learning_rate': 0.0020042819747893323, 'weight_decay': 1.356962451514407e-05, 'beta_0': 0.850067244570915, 'beta_1': 0.989265506153516, 'epsilon': 6.535067953711098e-07, 'balanced_loss': True, 'epochs': 124, 'early_stopping_patience': 19, 'plateau_patience': 18, 'plateau_divider': 4}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 10:58:42,260] Trial 188 finished with value: 0.9036697247706422 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.600592975573179, 'batch_size': 55, 'attention_heads': 12, 'hidden_dimension': 158, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4434918791439697, 'global_pooling': 'mean', 'learning_rate': 0.001152284111616439, 'weight_decay': 1.6027832273497377e-05, 'beta_0': 0.8887712787348058, 'beta_1': 0.9918453849428304, 'epsilon': 8.898620099909516e-07, 'balanced_loss': True, 'epochs': 121, 'early_stopping_patience': 23, 'plateau_patience': 10, 'plateau_divider': 3}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 11:05:53,098] Trial 189 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.4263944584263722, 'batch_size': 37, 'attention_heads': 9, 'hidden_dimension': 141, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5135655561139542, 'global_pooling': 'mean', 'learning_rate': 0.0013304409946559574, 'weight_decay': 1.8868009652287063e-05, 'beta_0': 0.8853147113962412, 'beta_1': 0.9845087630488241, 'epsilon': 1.3433954556312491e-05, 'balanced_loss': True, 'epochs': 104, 'early_stopping_patience': 21, 'plateau_patience': 24, 'plateau_divider': 2}. Best is trial 39 with value: 0.9105504587155964.
