[I 2025-02-27 14:42:45,637] Using an existing study with name 'IMDb-top_1000-GATv2-google-bert-bert-base-uncased-Surrogate-No_Aggregation-No_Ablation-1.0-0.75' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (1147 > 512). Running this sequence through the model will result in indexing errors
[I 2025-02-27 15:03:50,303] Trial 126 finished with value: 0.8666666666666667 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9853328433246231, 'batch_size': 23, 'attention_heads': 4, 'hidden_dimension': 206, 'number_of_hidden_layers': 3, 'dropout_rate': 0.42829068332407033, 'global_pooling': 'sum', 'learning_rate': 0.0012710892627556796, 'weight_decay': 2.227185974229636e-06, 'beta_0': 0.863745124388558, 'beta_1': 0.9878560331484864, 'epsilon': 9.164339811852586e-07, 'balanced_loss': False, 'epochs': 191, 'early_stopping_patience': 25, 'plateau_patience': 19, 'plateau_divider': 3}. Best is trial 71 with value: 0.8909090909090909.
[I 2025-02-27 18:09:28,287] Trial 136 finished with value: 0.8484848484848485 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9867082679328626, 'batch_size': 24, 'attention_heads': 5, 'hidden_dimension': 202, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4293604224989256, 'global_pooling': 'sum', 'learning_rate': 0.0023361846801738945, 'weight_decay': 0.0007502348874140757, 'beta_0': 0.8546929428955499, 'beta_1': 0.9888580741336314, 'epsilon': 9.201228891389971e-07, 'balanced_loss': False, 'epochs': 153, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 4}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-27 18:27:05,073] Trial 137 finished with value: 0.8727272727272727 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9920363910266263, 'batch_size': 23, 'attention_heads': 4, 'hidden_dimension': 187, 'number_of_hidden_layers': 3, 'dropout_rate': 0.45416826288139095, 'global_pooling': 'sum', 'learning_rate': 0.0013822836243677415, 'weight_decay': 0.00029401783546957236, 'beta_0': 0.8794664763206778, 'beta_1': 0.9888727578687834, 'epsilon': 1.7493125691657591e-06, 'balanced_loss': False, 'epochs': 197, 'early_stopping_patience': 23, 'plateau_patience': 19, 'plateau_divider': 3}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-27 18:55:37,115] Trial 138 finished with value: 0.8181818181818182 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9898006165709117, 'batch_size': 22, 'attention_heads': 11, 'hidden_dimension': 183, 'number_of_hidden_layers': 3, 'dropout_rate': 0.46330437851984946, 'global_pooling': 'sum', 'learning_rate': 0.0009316326198275167, 'weight_decay': 2.471831150332464e-06, 'beta_0': 0.8770772617145073, 'beta_1': 0.9903768766608108, 'epsilon': 6.773532373678477e-07, 'balanced_loss': True, 'epochs': 185, 'early_stopping_patience': 25, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-27 19:13:01,549] Trial 139 finished with value: 0.8848484848484849 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9953112778723896, 'batch_size': 26, 'attention_heads': 4, 'hidden_dimension': 169, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4466913154625374, 'global_pooling': 'sum', 'learning_rate': 0.0007060340534075386, 'weight_decay': 4.725487042485713e-06, 'beta_0': 0.8569851770409133, 'beta_1': 0.9893856008251951, 'epsilon': 1.0833960499403063e-07, 'balanced_loss': True, 'epochs': 192, 'early_stopping_patience': 23, 'plateau_patience': 20, 'plateau_divider': 4}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-27 19:28:17,261] Trial 140 finished with value: 0.7818181818181819 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9974874786612659, 'batch_size': 28, 'attention_heads': 5, 'hidden_dimension': 52, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4456146313731405, 'global_pooling': 'sum', 'learning_rate': 1.5552534292216294e-05, 'weight_decay': 3.27088206486309e-06, 'beta_0': 0.8574382083676781, 'beta_1': 0.9895945352760027, 'epsilon': 4.9695380544429154e-08, 'balanced_loss': True, 'epochs': 150, 'early_stopping_patience': 22, 'plateau_patience': 20, 'plateau_divider': 4}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-27 19:44:37,394] Trial 141 finished with value: 0.8848484848484849 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9943063667600903, 'batch_size': 31, 'attention_heads': 4, 'hidden_dimension': 169, 'number_of_hidden_layers': 1, 'dropout_rate': 0.43922773053119524, 'global_pooling': 'max', 'learning_rate': 0.0007411568814523796, 'weight_decay': 4.3004455724159746e-06, 'beta_0': 0.8813613911732285, 'beta_1': 0.9907127656068276, 'epsilon': 1.085937666618339e-07, 'balanced_loss': True, 'epochs': 158, 'early_stopping_patience': 22, 'plateau_patience': 21, 'plateau_divider': 4}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-27 20:02:35,417] Trial 142 finished with value: 0.8545454545454545 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9949532880270484, 'batch_size': 31, 'attention_heads': 5, 'hidden_dimension': 170, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4220840287740238, 'global_pooling': 'max', 'learning_rate': 0.0006882708125408374, 'weight_decay': 4.683285716497322e-06, 'beta_0': 0.8815704696097283, 'beta_1': 0.9910073486524653, 'epsilon': 1.1154341843528464e-07, 'balanced_loss': True, 'epochs': 76, 'early_stopping_patience': 21, 'plateau_patience': 22, 'plateau_divider': 4}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-27 20:19:11,772] Trial 143 finished with value: 0.8727272727272727 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9935072173743908, 'batch_size': 27, 'attention_heads': 4, 'hidden_dimension': 178, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4405157292919672, 'global_pooling': 'max', 'learning_rate': 0.0004596472206230378, 'weight_decay': 3.7573715466908957e-06, 'beta_0': 0.8595526807652724, 'beta_1': 0.9920058566811057, 'epsilon': 8.427801546252757e-08, 'balanced_loss': True, 'epochs': 158, 'early_stopping_patience': 22, 'plateau_patience': 21, 'plateau_divider': 4}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-27 20:33:44,760] Trial 144 finished with value: 0.6424242424242425 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.999778933547047, 'batch_size': 30, 'attention_heads': 4, 'hidden_dimension': 162, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4469210375207969, 'global_pooling': 'max', 'learning_rate': 0.0005570187503416699, 'weight_decay': 5.299401933047897e-06, 'beta_0': 0.8557984585056712, 'beta_1': 0.9904872549982288, 'epsilon': 1.4421974407617727e-07, 'balanced_loss': True, 'epochs': 161, 'early_stopping_patience': 23, 'plateau_patience': 20, 'plateau_divider': 5}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-27 20:49:22,485] Trial 145 finished with value: 0.8484848484848485 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9960061858500276, 'batch_size': 26, 'attention_heads': 4, 'hidden_dimension': 155, 'number_of_hidden_layers': 1, 'dropout_rate': 0.43546610082866605, 'global_pooling': 'max', 'learning_rate': 0.0007213551104264216, 'weight_decay': 6.92983438472545e-06, 'beta_0': 0.8837047049337986, 'beta_1': 0.9885000598146623, 'epsilon': 8.95824363001876e-08, 'balanced_loss': True, 'epochs': 147, 'early_stopping_patience': 21, 'plateau_patience': 21, 'plateau_divider': 4}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-27 21:06:49,261] Trial 146 finished with value: 0.8787878787878788 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9879736651766022, 'batch_size': 29, 'attention_heads': 4, 'hidden_dimension': 184, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4695418445253801, 'global_pooling': 'sum', 'learning_rate': 0.0009061774275176038, 'weight_decay': 3.4004901098466483e-06, 'beta_0': 0.8740622957360696, 'beta_1': 0.9898259648472304, 'epsilon': 1.0779112233262476e-07, 'balanced_loss': True, 'epochs': 165, 'early_stopping_patience': 23, 'plateau_patience': 20, 'plateau_divider': 4}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-27 21:27:20,681] Trial 147 finished with value: 0.8787878787878788 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.9928280254873116, 'batch_size': 32, 'attention_heads': 5, 'hidden_dimension': 174, 'number_of_hidden_layers': 1, 'dropout_rate': 0.45931516332664524, 'global_pooling': 'sum', 'learning_rate': 0.0005853192599174532, 'weight_decay': 1.845672763110208e-05, 'beta_0': 0.8524463289142875, 'beta_1': 0.991374326259103, 'epsilon': 1.7711047844231784e-07, 'balanced_loss': True, 'epochs': 155, 'early_stopping_patience': 22, 'plateau_patience': 21, 'plateau_divider': 5}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-27 21:38:05,961] Trial 148 finished with value: 0.8363636363636363 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9892647225358362, 'batch_size': 34, 'attention_heads': 4, 'hidden_dimension': 108, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5605882068778031, 'global_pooling': 'sum', 'learning_rate': 0.0003641298548679395, 'weight_decay': 4.0946556619412475e-06, 'beta_0': 0.8804486036130216, 'beta_1': 0.9892814645684092, 'epsilon': 2.090796967155215e-07, 'balanced_loss': True, 'epochs': 152, 'early_stopping_patience': 24, 'plateau_patience': 18, 'plateau_divider': 4}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-27 21:54:03,482] Trial 149 finished with value: 0.8484848484848485 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.9976823023962386, 'batch_size': 36, 'attention_heads': 5, 'hidden_dimension': 150, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3567462754747118, 'global_pooling': 'max', 'learning_rate': 0.0004601393295639614, 'weight_decay': 0.0006420050288919804, 'beta_0': 0.8760950758159491, 'beta_1': 0.9870591975286613, 'epsilon': 1.337038705093393e-07, 'balanced_loss': True, 'epochs': 145, 'early_stopping_patience': 23, 'plateau_patience': 20, 'plateau_divider': 4}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-27 22:09:53,818] Trial 150 finished with value: 0.8424242424242424 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9944661032383214, 'batch_size': 26, 'attention_heads': 4, 'hidden_dimension': 99, 'number_of_hidden_layers': 1, 'dropout_rate': 0.47555537436933343, 'global_pooling': 'sum', 'learning_rate': 9.424152176643645e-05, 'weight_decay': 1.046262800372939e-05, 'beta_0': 0.8455331549162756, 'beta_1': 0.9845264779829476, 'epsilon': 7.280798042529678e-08, 'balanced_loss': True, 'epochs': 140, 'early_stopping_patience': 24, 'plateau_patience': 22, 'plateau_divider': 4}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-27 22:29:44,453] Trial 151 finished with value: 0.8303030303030303 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.9912456803465303, 'batch_size': 20, 'attention_heads': 5, 'hidden_dimension': 65, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5114437263387213, 'global_pooling': 'sum', 'learning_rate': 0.0008377634177224334, 'weight_decay': 1.3902204346895923e-05, 'beta_0': 0.8780793161589209, 'beta_1': 0.9914505348948034, 'epsilon': 2.775082245223624e-07, 'balanced_loss': True, 'epochs': 133, 'early_stopping_patience': 25, 'plateau_patience': 19, 'plateau_divider': 7}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-27 23:00:01,802] Trial 152 finished with value: 0.8303030303030303 and parameters: {'left_stride': 64, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9860285835850191, 'batch_size': 28, 'attention_heads': 10, 'hidden_dimension': 216, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4289485926689831, 'global_pooling': 'sum', 'learning_rate': 0.004424785821861146, 'weight_decay': 8.567060895927792e-06, 'beta_0': 0.8846320527884882, 'beta_1': 0.9814569092773335, 'epsilon': 7.283263391385413e-08, 'balanced_loss': True, 'epochs': 194, 'early_stopping_patience': 22, 'plateau_patience': 17, 'plateau_divider': 5}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-27 23:16:51,525] Trial 153 finished with value: 0.8545454545454545 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.990689778139393, 'batch_size': 25, 'attention_heads': 4, 'hidden_dimension': 194, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4505283473051013, 'global_pooling': 'sum', 'learning_rate': 0.0011114124008727508, 'weight_decay': 2.031043587701107e-06, 'beta_0': 0.8715852517484037, 'beta_1': 0.9878949872992551, 'epsilon': 1.1677658307958849e-06, 'balanced_loss': False, 'epochs': 190, 'early_stopping_patience': 24, 'plateau_patience': 19, 'plateau_divider': 3}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-27 23:35:00,113] Trial 154 finished with value: 0.8787878787878788 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9835966864646262, 'batch_size': 24, 'attention_heads': 4, 'hidden_dimension': 168, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4525442978453183, 'global_pooling': 'sum', 'learning_rate': 0.001376537546252304, 'weight_decay': 2.639394822302011e-06, 'beta_0': 0.8632007350020491, 'beta_1': 0.9886455915982152, 'epsilon': 5.064814001878863e-07, 'balanced_loss': True, 'epochs': 192, 'early_stopping_patience': 18, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-27 23:53:10,601] Trial 155 finished with value: 0.8787878787878788 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.992745087011925, 'batch_size': 26, 'attention_heads': 4, 'hidden_dimension': 180, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4425490507712458, 'global_pooling': 'sum', 'learning_rate': 0.000649603757592688, 'weight_decay': 0.00033657214963316853, 'beta_0': 0.8682451398593473, 'beta_1': 0.9880547968597766, 'epsilon': 2.6798540024589315e-06, 'balanced_loss': True, 'epochs': 199, 'early_stopping_patience': 23, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 133 with value: 0.896969696969697.
CUDA out of memory. Tried to allocate 2.33 GiB. GPU 0 has a total capacity of 44.56 GiB of which 2.17 GiB is free. Including non-PyTorch memory, this process has 42.38 GiB memory in use. Of the allocated memory 37.65 GiB is allocated by PyTorch, and 3.58 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-02-28 00:08:04,261] Trial 156 finished with value: -1.0 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9874831486664843, 'batch_size': 23, 'attention_heads': 14, 'hidden_dimension': 198, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4673181461908231, 'global_pooling': 'sum', 'learning_rate': 0.0007863966463387793, 'weight_decay': 1.2182602998143984e-06, 'beta_0': 0.8818732183510135, 'beta_1': 0.9892218645770369, 'epsilon': 5.80063283483463e-08, 'balanced_loss': False, 'epochs': 183, 'early_stopping_patience': 24, 'plateau_patience': 19, 'plateau_divider': 3}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-28 00:25:15,743] Trial 157 finished with value: 0.8727272727272727 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9956099500393462, 'batch_size': 25, 'attention_heads': 4, 'hidden_dimension': 189, 'number_of_hidden_layers': 3, 'dropout_rate': 0.45720649517345086, 'global_pooling': 'sum', 'learning_rate': 0.0017615234510840717, 'weight_decay': 5.157993707951206e-06, 'beta_0': 0.8739382144478152, 'beta_1': 0.9875502539732385, 'epsilon': 6.96163090275064e-05, 'balanced_loss': True, 'epochs': 188, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 3}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-28 00:48:07,610] Trial 158 finished with value: 0.8 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.9898421353071785, 'batch_size': 30, 'attention_heads': 15, 'hidden_dimension': 205, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4628526564518514, 'global_pooling': 'sum', 'learning_rate': 0.0011219477731260578, 'weight_decay': 0.0003839145771448005, 'beta_0': 0.8662212601680004, 'beta_1': 0.9861698165976992, 'epsilon': 1.8543099740664662e-07, 'balanced_loss': True, 'epochs': 159, 'early_stopping_patience': 25, 'plateau_patience': 19, 'plateau_divider': 4}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-28 01:05:53,028] Trial 159 finished with value: 0.8787878787878788 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9915810854974882, 'batch_size': 27, 'attention_heads': 4, 'hidden_dimension': 127, 'number_of_hidden_layers': 1, 'dropout_rate': 0.48609489449956855, 'global_pooling': 'sum', 'learning_rate': 0.0005558883345901715, 'weight_decay': 0.0008154780515744314, 'beta_0': 0.876744720715445, 'beta_1': 0.9811099052608069, 'epsilon': 1.1444596610467682e-07, 'balanced_loss': True, 'epochs': 196, 'early_stopping_patience': 23, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 133 with value: 0.896969696969697.
