[I 2025-03-08 09:47:42,326] Using an existing study with name 'IMDb-top_1000-GATv2-google-bert-bert-base-uncased-Surrogate-No_Aggregation-Random_Attentions-0.0-0.0' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (1147 > 512). Running this sequence through the model will result in indexing errors
[I 2025-03-08 10:02:30,500] Trial 204 finished with value: 0.9090909090909091 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9627746528591149, 'batch_size': 17, 'attention_heads': 4, 'hidden_dimension': 117, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5771675205960727, 'global_pooling': 'mean', 'learning_rate': 0.0007075976117791731, 'weight_decay': 1.455372902170249e-06, 'beta_0': 0.8618855481570443, 'beta_1': 0.9835759787803888, 'epsilon': 3.1373393510833834e-07, 'balanced_loss': True, 'epochs': 184, 'early_stopping_patience': 18, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-08 12:44:02,148] Trial 214 finished with value: 0.8909090909090909 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9654421422909676, 'batch_size': 20, 'attention_heads': 4, 'hidden_dimension': 131, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5991345524758478, 'global_pooling': 'mean', 'learning_rate': 0.0004923265737750293, 'weight_decay': 1.9052462089405368e-06, 'beta_0': 0.8086087145841275, 'beta_1': 0.9833057624289122, 'epsilon': 4.5880206256850514e-07, 'balanced_loss': True, 'epochs': 183, 'early_stopping_patience': 18, 'plateau_patience': 19, 'plateau_divider': 7}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-08 13:02:41,758] Trial 215 finished with value: 0.9030303030303031 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9582636513278829, 'batch_size': 19, 'attention_heads': 4, 'hidden_dimension': 131, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5839419183232778, 'global_pooling': 'mean', 'learning_rate': 0.0003429614037887736, 'weight_decay': 1.6596808287497305e-06, 'beta_0': 0.8618659620514475, 'beta_1': 0.9842759028481706, 'epsilon': 5.924122982694722e-07, 'balanced_loss': True, 'epochs': 171, 'early_stopping_patience': 18, 'plateau_patience': 18, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-08 13:21:03,673] Trial 216 finished with value: 0.9030303030303031 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9643860975698789, 'batch_size': 22, 'attention_heads': 4, 'hidden_dimension': 128, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5919699278025085, 'global_pooling': 'mean', 'learning_rate': 0.0004393285883928352, 'weight_decay': 2.2109468466148195e-06, 'beta_0': 0.8667932662930187, 'beta_1': 0.9823236041021186, 'epsilon': 4.5465992735828564e-07, 'balanced_loss': True, 'epochs': 176, 'early_stopping_patience': 18, 'plateau_patience': 18, 'plateau_divider': 7}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-08 13:39:44,064] Trial 217 finished with value: 0.9030303030303031 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9633963443799252, 'batch_size': 18, 'attention_heads': 4, 'hidden_dimension': 140, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5880233804642807, 'global_pooling': 'mean', 'learning_rate': 0.0005302018985116909, 'weight_decay': 1.3758594427775266e-06, 'beta_0': 0.8577935670607212, 'beta_1': 0.9834360918990568, 'epsilon': 6.781665783613461e-06, 'balanced_loss': True, 'epochs': 187, 'early_stopping_patience': 18, 'plateau_patience': 19, 'plateau_divider': 7}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-08 13:54:32,366] Trial 218 finished with value: 0.9030303030303031 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9601531349928216, 'batch_size': 21, 'attention_heads': 4, 'hidden_dimension': 120, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5998116418008983, 'global_pooling': 'mean', 'learning_rate': 0.0007910868716306789, 'weight_decay': 1.697288028233636e-06, 'beta_0': 0.8597471411416417, 'beta_1': 0.9813142896794667, 'epsilon': 5.548603981433932e-07, 'balanced_loss': True, 'epochs': 179, 'early_stopping_patience': 18, 'plateau_patience': 18, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-08 14:12:57,654] Trial 219 finished with value: 0.8727272727272727 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9548149420474902, 'batch_size': 19, 'attention_heads': 4, 'hidden_dimension': 124, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5835016430664849, 'global_pooling': 'sum', 'learning_rate': 0.0003767645974511136, 'weight_decay': 1.2881308071569387e-06, 'beta_0': 0.8172062163428786, 'beta_1': 0.9838019217453106, 'epsilon': 3.870098777639854e-07, 'balanced_loss': True, 'epochs': 173, 'early_stopping_patience': 10, 'plateau_patience': 19, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-08 14:31:17,852] Trial 220 finished with value: 0.896969696969697 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9679216632938625, 'batch_size': 49, 'attention_heads': 5, 'hidden_dimension': 103, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5939777730934543, 'global_pooling': 'mean', 'learning_rate': 0.0005841699755651209, 'weight_decay': 1.9440211426361e-06, 'beta_0': 0.824905008046701, 'beta_1': 0.9826936673213125, 'epsilon': 4.47419019162581e-06, 'balanced_loss': True, 'epochs': 65, 'early_stopping_patience': 18, 'plateau_patience': 18, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-08 14:43:58,537] Trial 221 finished with value: 0.9030303030303031 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.965936577312345, 'batch_size': 21, 'attention_heads': 4, 'hidden_dimension': 136, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5804305596040332, 'global_pooling': 'mean', 'learning_rate': 0.00028521577023287895, 'weight_decay': 1.513330510653068e-06, 'beta_0': 0.8312131491413507, 'beta_1': 0.9821579644934804, 'epsilon': 6.346502850180297e-07, 'balanced_loss': True, 'epochs': 181, 'early_stopping_patience': 17, 'plateau_patience': 18, 'plateau_divider': 9}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-08 15:01:43,792] Trial 222 finished with value: 0.9151515151515152 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.963113352425207, 'batch_size': 18, 'attention_heads': 4, 'hidden_dimension': 110, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5901816020482652, 'global_pooling': 'mean', 'learning_rate': 0.0006736956825624273, 'weight_decay': 1.5281179897184315e-06, 'beta_0': 0.8642890858750167, 'beta_1': 0.9829316628611389, 'epsilon': 9.238312760857475e-07, 'balanced_loss': True, 'epochs': 177, 'early_stopping_patience': 16, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-08 15:19:36,039] Trial 223 finished with value: 0.9030303030303031 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9635295097840932, 'batch_size': 18, 'attention_heads': 4, 'hidden_dimension': 108, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5900973052704112, 'global_pooling': 'mean', 'learning_rate': 0.0010560780368569376, 'weight_decay': 1.5917823059990767e-06, 'beta_0': 0.8624936034765971, 'beta_1': 0.9831344671018531, 'epsilon': 8.450232170995929e-07, 'balanced_loss': True, 'epochs': 176, 'early_stopping_patience': 18, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
CUDA out of memory. Tried to allocate 3.82 GiB. GPU 0 has a total capacity of 44.56 GiB of which 2.02 GiB is free. Including non-PyTorch memory, this process has 42.53 GiB memory in use. Of the allocated memory 38.42 GiB is allocated by PyTorch, and 2.97 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-03-08 15:36:16,811] Trial 224 finished with value: -1.0 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9611114834359599, 'batch_size': 20, 'attention_heads': 14, 'hidden_dimension': 110, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5942679847324622, 'global_pooling': 'mean', 'learning_rate': 0.0008575551315809426, 'weight_decay': 1.7853716314691472e-06, 'beta_0': 0.8640800950888338, 'beta_1': 0.9828228956197713, 'epsilon': 5.005305619646404e-07, 'balanced_loss': True, 'epochs': 170, 'early_stopping_patience': 16, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-08 15:54:25,898] Trial 225 finished with value: 0.9151515151515152 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9634008892611126, 'batch_size': 19, 'attention_heads': 4, 'hidden_dimension': 115, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5881984983340486, 'global_pooling': 'mean', 'learning_rate': 0.0004415861221387766, 'weight_decay': 1.3224033860913858e-06, 'beta_0': 0.8605242571904365, 'beta_1': 0.983328304397827, 'epsilon': 5.657275442368901e-06, 'balanced_loss': True, 'epochs': 183, 'early_stopping_patience': 16, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-08 16:12:37,413] Trial 226 finished with value: 0.9090909090909091 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9625078823077166, 'batch_size': 18, 'attention_heads': 4, 'hidden_dimension': 117, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5711353281859444, 'global_pooling': 'mean', 'learning_rate': 0.0006190784113678647, 'weight_decay': 0.00018182898402034452, 'beta_0': 0.8595116783176137, 'beta_1': 0.9838167080983826, 'epsilon': 9.670141224259697e-07, 'balanced_loss': True, 'epochs': 183, 'early_stopping_patience': 17, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-08 16:30:45,974] Trial 227 finished with value: 0.9090909090909091 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.958713330836057, 'batch_size': 20, 'attention_heads': 4, 'hidden_dimension': 108, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4413087141564475, 'global_pooling': 'mean', 'learning_rate': 0.0013085401545817697, 'weight_decay': 1.2736742025349805e-06, 'beta_0': 0.8669580890012526, 'beta_1': 0.9834360129765816, 'epsilon': 6.095845828468525e-06, 'balanced_loss': True, 'epochs': 186, 'early_stopping_patience': 23, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-08 16:48:38,236] Trial 228 finished with value: 0.9151515151515152 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9661262537195325, 'batch_size': 19, 'attention_heads': 4, 'hidden_dimension': 101, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5847854169207526, 'global_pooling': 'mean', 'learning_rate': 0.0004240928186358515, 'weight_decay': 1.3428396504694137e-06, 'beta_0': 0.8568587913308285, 'beta_1': 0.983221516996595, 'epsilon': 5.4443514868916355e-06, 'balanced_loss': True, 'epochs': 179, 'early_stopping_patience': 18, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-08 17:06:49,597] Trial 229 finished with value: 0.9030303030303031 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9679242980540806, 'batch_size': 16, 'attention_heads': 5, 'hidden_dimension': 101, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5835248627298942, 'global_pooling': 'mean', 'learning_rate': 0.0004167069350190322, 'weight_decay': 1.1332351472060403e-06, 'beta_0': 0.8544084105173333, 'beta_1': 0.9841670167296784, 'epsilon': 5.183880070534166e-06, 'balanced_loss': True, 'epochs': 178, 'early_stopping_patience': 18, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-08 17:24:43,663] Trial 230 finished with value: 0.896969696969697 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9662339190698864, 'batch_size': 19, 'attention_heads': 4, 'hidden_dimension': 104, 'number_of_hidden_layers': 0, 'dropout_rate': 0.576391225490436, 'global_pooling': 'mean', 'learning_rate': 0.0003142990061975019, 'weight_decay': 1.295253406060488e-06, 'beta_0': 0.8570899827251254, 'beta_1': 0.9832599076242643, 'epsilon': 7.0061356616100156e-06, 'balanced_loss': True, 'epochs': 183, 'early_stopping_patience': 18, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-08 17:42:49,129] Trial 231 finished with value: 0.9030303030303031 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9607137465070551, 'batch_size': 18, 'attention_heads': 4, 'hidden_dimension': 98, 'number_of_hidden_layers': 0, 'dropout_rate': 0.43577797453461825, 'global_pooling': 'mean', 'learning_rate': 0.0004147390181878003, 'weight_decay': 1.371553702497817e-06, 'beta_0': 0.8640714579498384, 'beta_1': 0.9836262016144717, 'epsilon': 3.4305517811558762e-06, 'balanced_loss': True, 'epochs': 174, 'early_stopping_patience': 18, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-08 18:00:55,920] Trial 232 finished with value: 0.9090909090909091 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.965398032261751, 'batch_size': 19, 'attention_heads': 4, 'hidden_dimension': 113, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5998384949990753, 'global_pooling': 'mean', 'learning_rate': 0.0005385194870488735, 'weight_decay': 1.5012216119758928e-06, 'beta_0': 0.8605064820434498, 'beta_1': 0.9827892391625088, 'epsilon': 5.229597965049624e-06, 'balanced_loss': True, 'epochs': 180, 'early_stopping_patience': 18, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-08 18:18:34,935] Trial 233 finished with value: 0.896969696969697 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9640682088606628, 'batch_size': 20, 'attention_heads': 4, 'hidden_dimension': 121, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5877906259312636, 'global_pooling': 'mean', 'learning_rate': 0.0007411113898091127, 'weight_decay': 1.778931942856387e-06, 'beta_0': 0.8586715414936544, 'beta_1': 0.9831340825974448, 'epsilon': 4.230035545347255e-06, 'balanced_loss': True, 'epochs': 177, 'early_stopping_patience': 12, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-08 18:36:15,271] Trial 234 finished with value: 0.896969696969697 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9682482016390044, 'batch_size': 17, 'attention_heads': 4, 'hidden_dimension': 116, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5817925204136579, 'global_pooling': 'mean', 'learning_rate': 0.0006105939266007974, 'weight_decay': 1.4240804194348348e-06, 'beta_0': 0.8619882298175577, 'beta_1': 0.9824256799547626, 'epsilon': 2.1011965070624157e-08, 'balanced_loss': True, 'epochs': 182, 'early_stopping_patience': 17, 'plateau_patience': 18, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-08 18:54:14,116] Trial 235 finished with value: 0.9030303030303031 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9632311638351857, 'batch_size': 21, 'attention_heads': 4, 'hidden_dimension': 106, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5882351863106628, 'global_pooling': 'mean', 'learning_rate': 0.0004919494492908106, 'weight_decay': 2.026561859274747e-06, 'beta_0': 0.8558064767270384, 'beta_1': 0.9840148292174111, 'epsilon': 4.178731022103567e-06, 'balanced_loss': True, 'epochs': 185, 'early_stopping_patience': 15, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-08 19:12:07,989] Trial 236 finished with value: 0.896969696969697 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.966720945770414, 'batch_size': 19, 'attention_heads': 4, 'hidden_dimension': 93, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5951257535713174, 'global_pooling': 'mean', 'learning_rate': 0.0003563860402205641, 'weight_decay': 1.1452726082796225e-06, 'beta_0': 0.8659894024430527, 'beta_1': 0.9832624648399739, 'epsilon': 4.787455713505175e-06, 'balanced_loss': True, 'epochs': 179, 'early_stopping_patience': 16, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-08 19:30:09,181] Trial 237 finished with value: 0.9090909090909091 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9617791905198049, 'batch_size': 18, 'attention_heads': 4, 'hidden_dimension': 110, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5877719521496665, 'global_pooling': 'mean', 'learning_rate': 0.0008833369988240601, 'weight_decay': 1.6708844975848902e-06, 'beta_0': 0.8629829388772928, 'beta_1': 0.981112531172364, 'epsilon': 6.409952284313196e-06, 'balanced_loss': True, 'epochs': 189, 'early_stopping_patience': 18, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
