[I 2025-02-28 11:05:19,641] Using an existing study with name 'IMDb-top_1000-GATv2-google-bert-bert-base-uncased-Surrogate-No_Aggregation-No_Ablation-1.0-0.75' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (1147 > 512). Running this sequence through the model will result in indexing errors
[I 2025-02-28 11:18:06,573] Trial 181 finished with value: 0.8424242424242424 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9822267211422386, 'batch_size': 30, 'attention_heads': 5, 'hidden_dimension': 86, 'number_of_hidden_layers': 2, 'dropout_rate': 0.41388127302606703, 'global_pooling': 'sum', 'learning_rate': 0.0004255007010130252, 'weight_decay': 3.157563469561803e-06, 'beta_0': 0.88019278869442, 'beta_1': 0.9864667645945536, 'epsilon': 1.7055412251468782e-07, 'balanced_loss': False, 'epochs': 196, 'early_stopping_patience': 23, 'plateau_patience': 18, 'plateau_divider': 7}. Best is trial 133 with value: 0.896969696969697.
CUDA out of memory. Tried to allocate 2.54 GiB. GPU 0 has a total capacity of 44.56 GiB of which 844.69 MiB is free. Including non-PyTorch memory, this process has 43.73 GiB memory in use. Of the allocated memory 40.32 GiB is allocated by PyTorch, and 2.25 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-02-28 14:03:14,053] Trial 191 finished with value: -1.0 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.986347839490297, 'batch_size': 38, 'attention_heads': 8, 'hidden_dimension': 228, 'number_of_hidden_layers': 3, 'dropout_rate': 0.45992428651893463, 'global_pooling': 'sum', 'learning_rate': 0.09285939748894982, 'weight_decay': 2.3552689408732986e-05, 'beta_0': 0.8752026480680397, 'beta_1': 0.9815567737192215, 'epsilon': 2.718268598151767e-07, 'balanced_loss': True, 'epochs': 189, 'early_stopping_patience': 23, 'plateau_patience': 18, 'plateau_divider': 5}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-28 14:22:29,012] Trial 192 finished with value: 0.8727272727272727 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9803705393276507, 'batch_size': 29, 'attention_heads': 5, 'hidden_dimension': 83, 'number_of_hidden_layers': 1, 'dropout_rate': 0.48395509934666797, 'global_pooling': 'sum', 'learning_rate': 0.0008444952568915604, 'weight_decay': 4.0701508059366234e-05, 'beta_0': 0.8667893097428728, 'beta_1': 0.9895043822296856, 'epsilon': 7.830347376376027e-07, 'balanced_loss': False, 'epochs': 152, 'early_stopping_patience': 24, 'plateau_patience': 23, 'plateau_divider': 3}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-28 14:39:19,441] Trial 193 finished with value: 0.8606060606060606 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9904859384005267, 'batch_size': 35, 'attention_heads': 4, 'hidden_dimension': 196, 'number_of_hidden_layers': 1, 'dropout_rate': 0.44868283581698276, 'global_pooling': 'sum', 'learning_rate': 0.0005369315227138889, 'weight_decay': 0.0008523371029939562, 'beta_0': 0.8698874597671655, 'beta_1': 0.9891882370637255, 'epsilon': 3.9448728245573615e-07, 'balanced_loss': True, 'epochs': 130, 'early_stopping_patience': 23, 'plateau_patience': 20, 'plateau_divider': 10}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-28 14:57:10,598] Trial 194 finished with value: 0.8545454545454545 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9961552821047984, 'batch_size': 27, 'attention_heads': 4, 'hidden_dimension': 174, 'number_of_hidden_layers': 3, 'dropout_rate': 0.43887251828746987, 'global_pooling': 'sum', 'learning_rate': 0.0012988226098219061, 'weight_decay': 1.9067838004860038e-06, 'beta_0': 0.8718880531055023, 'beta_1': 0.9882418182366096, 'epsilon': 9.956465692946642e-07, 'balanced_loss': False, 'epochs': 197, 'early_stopping_patience': 24, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-28 15:15:59,433] Trial 195 finished with value: 0.9030303030303031 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.99402081332989, 'batch_size': 27, 'attention_heads': 4, 'hidden_dimension': 190, 'number_of_hidden_layers': 3, 'dropout_rate': 0.43099450142171714, 'global_pooling': 'sum', 'learning_rate': 0.0007330189812544388, 'weight_decay': 2.3051590452762305e-06, 'beta_0': 0.8748253330133258, 'beta_1': 0.9878688182001837, 'epsilon': 1.3268399010824357e-06, 'balanced_loss': False, 'epochs': 194, 'early_stopping_patience': 24, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-02-28 15:38:05,348] Trial 196 finished with value: 0.8727272727272727 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.992060597495735, 'batch_size': 26, 'attention_heads': 4, 'hidden_dimension': 199, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5727452626378918, 'global_pooling': 'sum', 'learning_rate': 0.0007212973508647642, 'weight_decay': 3.3637746897513016e-06, 'beta_0': 0.8770892639846976, 'beta_1': 0.987749037247808, 'epsilon': 2.060441020769407e-06, 'balanced_loss': False, 'epochs': 193, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-02-28 15:55:26,904] Trial 197 finished with value: 0.8909090909090909 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9943442637979755, 'batch_size': 28, 'attention_heads': 4, 'hidden_dimension': 105, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4324235862422854, 'global_pooling': 'sum', 'learning_rate': 0.0010270227875685918, 'weight_decay': 2.4556050231870655e-06, 'beta_0': 0.874506025888468, 'beta_1': 0.9872888318929334, 'epsilon': 1.361754635919638e-07, 'balanced_loss': False, 'epochs': 200, 'early_stopping_patience': 24, 'plateau_patience': 19, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-02-28 16:13:00,159] Trial 198 finished with value: 0.8909090909090909 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9939440257564377, 'batch_size': 28, 'attention_heads': 5, 'hidden_dimension': 104, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4180494303761984, 'global_pooling': 'sum', 'learning_rate': 0.0009649490220899736, 'weight_decay': 2.484234538507658e-06, 'beta_0': 0.874741019168496, 'beta_1': 0.9873649445576271, 'epsilon': 1.1768201073410007e-07, 'balanced_loss': False, 'epochs': 147, 'early_stopping_patience': 24, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-02-28 16:27:42,543] Trial 199 finished with value: 0.593939393939394 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.9997563358862624, 'batch_size': 28, 'attention_heads': 5, 'hidden_dimension': 106, 'number_of_hidden_layers': 3, 'dropout_rate': 0.41804291884298717, 'global_pooling': 'sum', 'learning_rate': 0.000985587303874877, 'weight_decay': 2.564505787906163e-06, 'beta_0': 0.8739079303209738, 'beta_1': 0.9865099329119308, 'epsilon': 1.3921865084222865e-07, 'balanced_loss': False, 'epochs': 145, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 4}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-02-28 16:39:03,994] Trial 200 finished with value: 0.8303030303030303 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.99465309166624, 'batch_size': 29, 'attention_heads': 5, 'hidden_dimension': 111, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4254403726835629, 'global_pooling': 'sum', 'learning_rate': 0.0007074867778382574, 'weight_decay': 2.894260055748452e-06, 'beta_0': 0.8803363761716536, 'beta_1': 0.9873491931191023, 'epsilon': 1.2363562555739585e-07, 'balanced_loss': False, 'epochs': 200, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-02-28 16:53:37,430] Trial 201 finished with value: 0.7818181818181819 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9942683281690878, 'batch_size': 30, 'attention_heads': 6, 'hidden_dimension': 104, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4286304580055579, 'global_pooling': 'sum', 'learning_rate': 0.0004380100568891416, 'weight_decay': 3.4004901098466483e-06, 'beta_0': 0.8745854976849672, 'beta_1': 0.987159631785933, 'epsilon': 1.959185121427984e-07, 'balanced_loss': False, 'epochs': 196, 'early_stopping_patience': 15, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-02-28 17:11:29,297] Trial 202 finished with value: 0.8363636363636363 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9971112627844265, 'batch_size': 28, 'attention_heads': 5, 'hidden_dimension': 102, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4112752918255229, 'global_pooling': 'sum', 'learning_rate': 0.0006107109080245611, 'weight_decay': 2.425923727808419e-06, 'beta_0': 0.8786142379471628, 'beta_1': 0.9877883340440188, 'epsilon': 8.325715106903497e-08, 'balanced_loss': False, 'epochs': 149, 'early_stopping_patience': 24, 'plateau_patience': 24, 'plateau_divider': 4}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-02-28 17:22:56,308] Trial 203 finished with value: 0.7818181818181819 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9932027882482845, 'batch_size': 27, 'attention_heads': 5, 'hidden_dimension': 93, 'number_of_hidden_layers': 3, 'dropout_rate': 0.43087824533957464, 'global_pooling': 'max', 'learning_rate': 0.000852385020571062, 'weight_decay': 2.9403845175017708e-06, 'beta_0': 0.8823154485542787, 'beta_1': 0.9837946641662052, 'epsilon': 1.0134279281662455e-07, 'balanced_loss': False, 'epochs': 140, 'early_stopping_patience': 24, 'plateau_patience': 22, 'plateau_divider': 6}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-02-28 17:40:32,428] Trial 204 finished with value: 0.8909090909090909 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9952386313107319, 'batch_size': 26, 'attention_heads': 4, 'hidden_dimension': 117, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4160977903615138, 'global_pooling': 'sum', 'learning_rate': 0.0009765448553692122, 'weight_decay': 0.00029994241043229604, 'beta_0': 0.8760580119474229, 'beta_1': 0.9876342807641892, 'epsilon': 1.5365752839927274e-07, 'balanced_loss': False, 'epochs': 154, 'early_stopping_patience': 24, 'plateau_patience': 19, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-02-28 18:01:20,095] Trial 205 finished with value: 0.8484848484848485 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9958567290266839, 'batch_size': 27, 'attention_heads': 13, 'hidden_dimension': 113, 'number_of_hidden_layers': 3, 'dropout_rate': 0.3997008159068919, 'global_pooling': 'sum', 'learning_rate': 0.000990086375676082, 'weight_decay': 0.00032848654009992476, 'beta_0': 0.8776070313742268, 'beta_1': 0.9869801475225404, 'epsilon': 1.7227847377021243e-07, 'balanced_loss': False, 'epochs': 200, 'early_stopping_patience': 24, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-02-28 18:18:23,230] Trial 206 finished with value: 0.8484848484848485 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9928218174813821, 'batch_size': 26, 'attention_heads': 4, 'hidden_dimension': 116, 'number_of_hidden_layers': 3, 'dropout_rate': 0.41726627962762336, 'global_pooling': 'sum', 'learning_rate': 0.0007458603588189494, 'weight_decay': 0.0003032415811882624, 'beta_0': 0.8762732793292017, 'beta_1': 0.9874723788195783, 'epsilon': 1.5575083947208008e-07, 'balanced_loss': False, 'epochs': 147, 'early_stopping_patience': 25, 'plateau_patience': 19, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-02-28 18:35:02,783] Trial 207 finished with value: 0.8545454545454545 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9944787920496984, 'batch_size': 29, 'attention_heads': 4, 'hidden_dimension': 118, 'number_of_hidden_layers': 3, 'dropout_rate': 0.40733643225824945, 'global_pooling': 'sum', 'learning_rate': 0.0005275182521089327, 'weight_decay': 0.00024163866229815983, 'beta_0': 0.873252166238303, 'beta_1': 0.9879080110058831, 'epsilon': 1.238153807079973e-07, 'balanced_loss': False, 'epochs': 150, 'early_stopping_patience': 24, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-02-28 18:50:53,083] Trial 208 finished with value: 0.793939393939394 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9974780842290478, 'batch_size': 32, 'attention_heads': 5, 'hidden_dimension': 124, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4227760691160272, 'global_pooling': 'sum', 'learning_rate': 0.0002857199370824281, 'weight_decay': 0.0004966369575406925, 'beta_0': 0.8753707036910192, 'beta_1': 0.9841712002337965, 'epsilon': 2.1172526725852762e-07, 'balanced_loss': False, 'epochs': 143, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 2}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-02-28 19:09:20,555] Trial 209 finished with value: 0.8787878787878788 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.988907634447991, 'batch_size': 28, 'attention_heads': 4, 'hidden_dimension': 110, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4324100718011035, 'global_pooling': 'sum', 'learning_rate': 0.0006255317805268554, 'weight_decay': 3.9447326597921805e-06, 'beta_0': 0.8802918399761626, 'beta_1': 0.9810318404411397, 'epsilon': 5.596035720943547e-05, 'balanced_loss': False, 'epochs': 155, 'early_stopping_patience': 21, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-02-28 19:26:34,239] Trial 210 finished with value: 0.8787878787878788 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.9919789795141679, 'batch_size': 30, 'attention_heads': 5, 'hidden_dimension': 101, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4019403968013397, 'global_pooling': 'sum', 'learning_rate': 0.0008821238527024713, 'weight_decay': 0.0002807243753242202, 'beta_0': 0.8787454578950923, 'beta_1': 0.983072371688603, 'epsilon': 1.0952947813369923e-07, 'balanced_loss': False, 'epochs': 195, 'early_stopping_patience': 24, 'plateau_patience': 19, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-02-28 19:37:00,806] Trial 211 finished with value: 0.8242424242424242 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9956152542197906, 'batch_size': 26, 'attention_heads': 4, 'hidden_dimension': 77, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4341896429813508, 'global_pooling': 'sum', 'learning_rate': 0.00122615755339844, 'weight_decay': 0.0003884706972923511, 'beta_0': 0.8489601761571637, 'beta_1': 0.9886595308386651, 'epsilon': 1.410411807472597e-07, 'balanced_loss': False, 'epochs': 153, 'early_stopping_patience': 24, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-02-28 19:55:15,434] Trial 212 finished with value: 0.8666666666666667 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9906942181885741, 'batch_size': 27, 'attention_heads': 4, 'hidden_dimension': 99, 'number_of_hidden_layers': 1, 'dropout_rate': 0.43878402381202863, 'global_pooling': 'sum', 'learning_rate': 0.0004948397941835996, 'weight_decay': 2.097238846797629e-06, 'beta_0': 0.8848132834582647, 'beta_1': 0.9822267738727645, 'epsilon': 1.412910098794057e-06, 'balanced_loss': False, 'epochs': 146, 'early_stopping_patience': 23, 'plateau_patience': 21, 'plateau_divider': 4}. Best is trial 195 with value: 0.9030303030303031.
CUDA out of memory. Tried to allocate 5.57 GiB. GPU 0 has a total capacity of 44.56 GiB of which 2.59 GiB is free. Including non-PyTorch memory, this process has 41.96 GiB memory in use. Of the allocated memory 36.69 GiB is allocated by PyTorch, and 4.12 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-02-28 20:10:31,229] Trial 213 finished with value: -1.0 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.9649511803372454, 'batch_size': 37, 'attention_heads': 16, 'hidden_dimension': 96, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5452586158923022, 'global_pooling': 'sum', 'learning_rate': 0.0015438336728020577, 'weight_decay': 0.0007692522063232574, 'beta_0': 0.876132987557056, 'beta_1': 0.9875375329995338, 'epsilon': 5.166056598307638e-08, 'balanced_loss': False, 'epochs': 136, 'early_stopping_patience': 24, 'plateau_patience': 19, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-02-28 20:28:13,244] Trial 214 finished with value: 0.8727272727272727 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9932099302530286, 'batch_size': 25, 'attention_heads': 4, 'hidden_dimension': 185, 'number_of_hidden_layers': 3, 'dropout_rate': 0.42668561715580705, 'global_pooling': 'sum', 'learning_rate': 0.0007630706887606883, 'weight_decay': 2.3156900556489413e-06, 'beta_0': 0.8711599646515603, 'beta_1': 0.9881599532826437, 'epsilon': 1.6515025210617172e-07, 'balanced_loss': True, 'epochs': 159, 'early_stopping_patience': 23, 'plateau_patience': 19, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
