[I 2025-03-03 01:12:21,951] Using an existing study with name 'IMDb-top_1000-GATv2-google-bert-bert-base-uncased-Surrogate-No_Aggregation-No_Ablation-1.0-0.75' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (1147 > 512). Running this sequence through the model will result in indexing errors
[I 2025-03-03 01:25:23,378] Trial 239 finished with value: 0.8727272727272727 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9889621284894846, 'batch_size': 26, 'attention_heads': 5, 'hidden_dimension': 170, 'number_of_hidden_layers': 2, 'dropout_rate': 0.44537876313691566, 'global_pooling': 'sum', 'learning_rate': 0.0009420859501279246, 'weight_decay': 3.954927351822918e-06, 'beta_0': 0.8740802813107488, 'beta_1': 0.9835593558824715, 'epsilon': 1.5737504124876363e-07, 'balanced_loss': True, 'epochs': 172, 'early_stopping_patience': 23, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 04:07:15,348] Trial 250 finished with value: 0.8848484848484849 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9949078947461044, 'batch_size': 28, 'attention_heads': 4, 'hidden_dimension': 104, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4597483479983723, 'global_pooling': 'sum', 'learning_rate': 0.0013015381748114642, 'weight_decay': 5.85332533914025e-06, 'beta_0': 0.8835938685349005, 'beta_1': 0.9830959509876571, 'epsilon': 2.6654098819812555e-07, 'balanced_loss': True, 'epochs': 151, 'early_stopping_patience': 24, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 04:21:36,871] Trial 251 finished with value: 0.8606060606060606 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.9950040186871951, 'batch_size': 28, 'attention_heads': 4, 'hidden_dimension': 100, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4596030982107655, 'global_pooling': 'sum', 'learning_rate': 0.0013470075741548104, 'weight_decay': 4.183199314578616e-06, 'beta_0': 0.8841178710679184, 'beta_1': 0.9828602446348628, 'epsilon': 2.8779149927129914e-07, 'balanced_loss': True, 'epochs': 200, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 04:34:57,336] Trial 252 finished with value: 0.8666666666666667 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9963344492077075, 'batch_size': 29, 'attention_heads': 5, 'hidden_dimension': 107, 'number_of_hidden_layers': 2, 'dropout_rate': 0.46816575303369473, 'global_pooling': 'sum', 'learning_rate': 0.0010476701399906346, 'weight_decay': 5.902499052462047e-06, 'beta_0': 0.8861297237996377, 'beta_1': 0.9833374664887309, 'epsilon': 2.1386043321354518e-07, 'balanced_loss': True, 'epochs': 150, 'early_stopping_patience': 24, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 04:51:06,216] Trial 253 finished with value: 0.8424242424242424 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9933869395829561, 'batch_size': 28, 'attention_heads': 4, 'hidden_dimension': 80, 'number_of_hidden_layers': 2, 'dropout_rate': 0.46274349324543795, 'global_pooling': 'sum', 'learning_rate': 0.0003300397413859138, 'weight_decay': 6.535894836174027e-06, 'beta_0': 0.8811537943180975, 'beta_1': 0.9825413266053948, 'epsilon': 2.546503124066038e-07, 'balanced_loss': True, 'epochs': 144, 'early_stopping_patience': 24, 'plateau_patience': 15, 'plateau_divider': 4}. Best is trial 195 with value: 0.9030303030303031.
CUDA out of memory. Tried to allocate 6.59 GiB. GPU 0 has a total capacity of 44.56 GiB of which 2.75 GiB is free. Including non-PyTorch memory, this process has 41.80 GiB memory in use. Of the allocated memory 38.18 GiB is allocated by PyTorch, and 2.47 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-03-03 05:05:33,813] Trial 254 finished with value: -1.0 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.9510036745144961, 'batch_size': 32, 'attention_heads': 11, 'hidden_dimension': 141, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4800565761727324, 'global_pooling': 'sum', 'learning_rate': 0.0016763117140976128, 'weight_decay': 5.044642964593032e-06, 'beta_0': 0.876795503757506, 'beta_1': 0.9840502942678425, 'epsilon': 3.891313549048572e-06, 'balanced_loss': True, 'epochs': 146, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 05:22:24,303] Trial 255 finished with value: 0.8727272727272727 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9916095932502383, 'batch_size': 35, 'attention_heads': 4, 'hidden_dimension': 103, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5298721420781565, 'global_pooling': 'sum', 'learning_rate': 0.0004192959588314187, 'weight_decay': 3.587414046798945e-06, 'beta_0': 0.8824671796585041, 'beta_1': 0.9918884708068804, 'epsilon': 3.173134752608472e-07, 'balanced_loss': True, 'epochs': 194, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 05:37:04,461] Trial 256 finished with value: 0.5696969696969697 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9997969436732063, 'batch_size': 27, 'attention_heads': 5, 'hidden_dimension': 71, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4173567955958817, 'global_pooling': 'sum', 'learning_rate': 0.0012733657139898586, 'weight_decay': 0.0003587608950176655, 'beta_0': 0.8793685716600828, 'beta_1': 0.9830554331282539, 'epsilon': 3.266662181043972e-05, 'balanced_loss': True, 'epochs': 152, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 05:48:17,974] Trial 257 finished with value: 0.8666666666666667 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9949713966378877, 'batch_size': 29, 'attention_heads': 6, 'hidden_dimension': 88, 'number_of_hidden_layers': 1, 'dropout_rate': 0.45164505486777334, 'global_pooling': 'sum', 'learning_rate': 0.0008997966984323423, 'weight_decay': 0.0004192609761284862, 'beta_0': 0.8749060999664334, 'beta_1': 0.9823538438030327, 'epsilon': 1.72204660810722e-07, 'balanced_loss': True, 'epochs': 149, 'early_stopping_patience': 24, 'plateau_patience': 20, 'plateau_divider': 6}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 06:05:55,061] Trial 258 finished with value: 0.8848484848484849 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9934460969409532, 'batch_size': 27, 'attention_heads': 5, 'hidden_dimension': 174, 'number_of_hidden_layers': 2, 'dropout_rate': 0.49572855537384247, 'global_pooling': 'sum', 'learning_rate': 0.0006952587270316391, 'weight_decay': 4.480565565997074e-06, 'beta_0': 0.872418920456423, 'beta_1': 0.9958385298718694, 'epsilon': 1.384858926148229e-07, 'balanced_loss': True, 'epochs': 154, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 2}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 06:22:21,393] Trial 259 finished with value: 0.8606060606060606 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9899134094840221, 'batch_size': 27, 'attention_heads': 4, 'hidden_dimension': 177, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5060954702146057, 'global_pooling': 'sum', 'learning_rate': 0.000511011387171796, 'weight_decay': 5.671534985517963e-06, 'beta_0': 0.8878403868901175, 'beta_1': 0.9969008588635244, 'epsilon': 2.1799085920821436e-07, 'balanced_loss': True, 'epochs': 154, 'early_stopping_patience': 24, 'plateau_patience': 17, 'plateau_divider': 2}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 06:39:14,884] Trial 260 finished with value: 0.8606060606060606 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9927744556383847, 'batch_size': 30, 'attention_heads': 5, 'hidden_dimension': 180, 'number_of_hidden_layers': 2, 'dropout_rate': 0.49057245538927813, 'global_pooling': 'sum', 'learning_rate': 0.0006151136447022328, 'weight_decay': 0.000996355585101398, 'beta_0': 0.8545884333015334, 'beta_1': 0.9959907726973548, 'epsilon': 1.4619279290409137e-07, 'balanced_loss': False, 'epochs': 156, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 4}. Best is trial 195 with value: 0.9030303030303031.
CUDA out of memory. Tried to allocate 6.13 GiB. GPU 0 has a total capacity of 44.56 GiB of which 2.23 GiB is free. Including non-PyTorch memory, this process has 42.33 GiB memory in use. Of the allocated memory 37.65 GiB is allocated by PyTorch, and 3.53 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-03-03 06:55:11,859] Trial 261 finished with value: -1.0 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9551347284511422, 'batch_size': 38, 'attention_heads': 7, 'hidden_dimension': 173, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4862152555281766, 'global_pooling': 'max', 'learning_rate': 0.0010751043110516008, 'weight_decay': 4.404150587391527e-06, 'beta_0': 0.8836292218328555, 'beta_1': 0.9873569638117409, 'epsilon': 1.8436473964944205e-07, 'balanced_loss': True, 'epochs': 62, 'early_stopping_patience': 24, 'plateau_patience': 18, 'plateau_divider': 4}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 07:08:13,465] Trial 262 finished with value: 0.8484848484848485 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9971723642886368, 'batch_size': 28, 'attention_heads': 4, 'hidden_dimension': 168, 'number_of_hidden_layers': 2, 'dropout_rate': 0.42429693189674045, 'global_pooling': 'sum', 'learning_rate': 0.0019721973476871783, 'weight_decay': 3.167560073556105e-06, 'beta_0': 0.8678479418414687, 'beta_1': 0.9928144520250517, 'epsilon': 5.987868298532699e-08, 'balanced_loss': False, 'epochs': 200, 'early_stopping_patience': 24, 'plateau_patience': 22, 'plateau_divider': 2}. Best is trial 195 with value: 0.9030303030303031.
CUDA out of memory. Tried to allocate 9.62 GiB. GPU 0 has a total capacity of 44.56 GiB of which 3.83 GiB is free. Including non-PyTorch memory, this process has 40.72 GiB memory in use. Of the allocated memory 37.95 GiB is allocated by PyTorch, and 1.62 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-03-03 07:23:14,629] Trial 263 finished with value: -1.0 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9449586214429222, 'batch_size': 28, 'attention_heads': 14, 'hidden_dimension': 160, 'number_of_hidden_layers': 2, 'dropout_rate': 0.501807751784113, 'global_pooling': 'sum', 'learning_rate': 0.000740505167763351, 'weight_decay': 4.484786134901863e-06, 'beta_0': 0.8722886191319156, 'beta_1': 0.994985148398215, 'epsilon': 1.2528363679743282e-07, 'balanced_loss': True, 'epochs': 161, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 2}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 07:39:35,244] Trial 264 finished with value: 0.8606060606060606 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9879422841978648, 'batch_size': 52, 'attention_heads': 4, 'hidden_dimension': 111, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4969569128699144, 'global_pooling': 'sum', 'learning_rate': 0.00043102886860274455, 'weight_decay': 1.588044022866483e-05, 'beta_0': 0.8783179329679939, 'beta_1': 0.9988174353751474, 'epsilon': 5.3732283908317494e-06, 'balanced_loss': False, 'epochs': 113, 'early_stopping_patience': 23, 'plateau_patience': 18, 'plateau_divider': 5}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 07:59:07,444] Trial 265 finished with value: 0.8787878787878788 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9919724692569508, 'batch_size': 27, 'attention_heads': 5, 'hidden_dimension': 173, 'number_of_hidden_layers': 1, 'dropout_rate': 0.495723641115652, 'global_pooling': 'sum', 'learning_rate': 0.0008953319620177478, 'weight_decay': 0.0005361413732362384, 'beta_0': 0.8754964684690565, 'beta_1': 0.9803006020177546, 'epsilon': 1.3934079118320472e-05, 'balanced_loss': True, 'epochs': 192, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 2}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 08:16:00,625] Trial 266 finished with value: 0.8666666666666667 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9939159807947552, 'batch_size': 31, 'attention_heads': 4, 'hidden_dimension': 117, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4800150437713852, 'global_pooling': 'sum', 'learning_rate': 0.0013103792730111807, 'weight_decay': 3.5537004560950955e-06, 'beta_0': 0.851720208614171, 'beta_1': 0.9816404180129985, 'epsilon': 1.063253391776371e-07, 'balanced_loss': True, 'epochs': 197, 'early_stopping_patience': 23, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 195 with value: 0.9030303030303031.
CUDA out of memory. Tried to allocate 4.82 GiB. GPU 0 has a total capacity of 44.56 GiB of which 70.69 MiB is free. Including non-PyTorch memory, this process has 44.48 GiB memory in use. Of the allocated memory 41.27 GiB is allocated by PyTorch, and 2.06 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-03-03 08:25:25,508] Trial 267 finished with value: -1.0 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9337093177237574, 'batch_size': 26, 'attention_heads': 10, 'hidden_dimension': 103, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5090050558127556, 'global_pooling': 'sum', 'learning_rate': 0.0006813222601339487, 'weight_decay': 0.0006835836890693635, 'beta_0': 0.8801446829823744, 'beta_1': 0.985804103977522, 'epsilon': 6.856035502213603e-05, 'balanced_loss': False, 'epochs': 157, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 2}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 08:47:52,764] Trial 268 finished with value: 0.8666666666666667 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9901617662409782, 'batch_size': 37, 'attention_heads': 12, 'hidden_dimension': 166, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4730350788587503, 'global_pooling': 'sum', 'learning_rate': 0.0005657324817624717, 'weight_decay': 2.959428090217133e-06, 'beta_0': 0.8574958835785612, 'beta_1': 0.9808559615368115, 'epsilon': 2.3615756113261708e-07, 'balanced_loss': True, 'epochs': 151, 'early_stopping_patience': 24, 'plateau_patience': 16, 'plateau_divider': 4}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 08:57:47,380] Trial 269 finished with value: 0.8242424242424242 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9958542167851808, 'batch_size': 30, 'attention_heads': 5, 'hidden_dimension': 95, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5525508049455583, 'global_pooling': 'sum', 'learning_rate': 0.001566508241010836, 'weight_decay': 0.0008245928026576626, 'beta_0': 0.8733313629267051, 'beta_1': 0.9879458189324661, 'epsilon': 2.0053166394256578e-06, 'balanced_loss': False, 'epochs': 124, 'early_stopping_patience': 11, 'plateau_patience': 18, 'plateau_divider': 4}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 09:14:59,606] Trial 270 finished with value: 0.8727272727272727 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9883002750807515, 'batch_size': 26, 'attention_heads': 4, 'hidden_dimension': 107, 'number_of_hidden_layers': 2, 'dropout_rate': 0.43312400082946756, 'global_pooling': 'sum', 'learning_rate': 0.0009934791302676769, 'weight_decay': 4.376155134402461e-06, 'beta_0': 0.871387155243216, 'beta_1': 0.9869025819875006, 'epsilon': 7.945721802323106e-06, 'balanced_loss': True, 'epochs': 182, 'early_stopping_patience': 18, 'plateau_patience': 19, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 09:31:38,888] Trial 271 finished with value: 0.8666666666666667 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9919359162142125, 'batch_size': 35, 'attention_heads': 5, 'hidden_dimension': 75, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3255418473113868, 'global_pooling': 'sum', 'learning_rate': 0.0008102909692472058, 'weight_decay': 3.7443442264004395e-06, 'beta_0': 0.8765563519951985, 'beta_1': 0.9863908826623026, 'epsilon': 1.4954965350176365e-07, 'balanced_loss': False, 'epochs': 174, 'early_stopping_patience': 24, 'plateau_patience': 19, 'plateau_divider': 5}. Best is trial 195 with value: 0.9030303030303031.
