[I 2025-03-21 17:39:59,429] Using an existing study with name 'IMDb-top_1000-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation-Single_Unitary_Weight-0.0-0.0' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (1147 > 512). Running this sequence through the model will result in indexing errors
[I 2025-03-21 17:48:57,100] Trial 154 finished with value: 0.896969696969697 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9615102410590999, 'batch_size': 47, 'attention_heads': 8, 'hidden_dimension': 200, 'number_of_hidden_layers': 1, 'dropout_rate': 0.42053304346592757, 'global_pooling': 'mean', 'learning_rate': 0.0001754710223469705, 'weight_decay': 0.000130809953210394, 'beta_0': 0.8812385622066583, 'beta_1': 0.9942906743924929, 'epsilon': 4.162679508979182e-07, 'balanced_loss': True, 'epochs': 106, 'early_stopping_patience': 23, 'plateau_patience': 20, 'plateau_divider': 8}. Best is trial 73 with value: 0.9151515151515152.
[I 2025-03-21 19:27:04,034] Trial 165 finished with value: 0.896969696969697 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9849707417950432, 'batch_size': 44, 'attention_heads': 9, 'hidden_dimension': 178, 'number_of_hidden_layers': 2, 'dropout_rate': 0.43908188299570516, 'global_pooling': 'mean', 'learning_rate': 8.65635992905201e-05, 'weight_decay': 0.0006506406587166408, 'beta_0': 0.8757942374430979, 'beta_1': 0.9878690572047022, 'epsilon': 1.2821979947311966e-06, 'balanced_loss': True, 'epochs': 101, 'early_stopping_patience': 25, 'plateau_patience': 19, 'plateau_divider': 10}. Best is trial 73 with value: 0.9151515151515152.
[I 2025-03-21 19:35:44,810] Trial 166 finished with value: 0.8848484848484849 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9820453308139556, 'batch_size': 42, 'attention_heads': 9, 'hidden_dimension': 189, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4114994088096326, 'global_pooling': 'mean', 'learning_rate': 0.00018025112989575957, 'weight_decay': 0.0004987208686844016, 'beta_0': 0.8807792746472064, 'beta_1': 0.9924669872607798, 'epsilon': 1.9262045448454683e-06, 'balanced_loss': True, 'epochs': 108, 'early_stopping_patience': 25, 'plateau_patience': 18, 'plateau_divider': 10}. Best is trial 73 with value: 0.9151515151515152.
[I 2025-03-21 19:46:19,383] Trial 167 finished with value: 0.8606060606060606 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.965929639754442, 'batch_size': 45, 'attention_heads': 8, 'hidden_dimension': 211, 'number_of_hidden_layers': 1, 'dropout_rate': 0.48165999713351054, 'global_pooling': 'max', 'learning_rate': 0.00012548531018749212, 'weight_decay': 0.00016457125887483356, 'beta_0': 0.8826756139017099, 'beta_1': 0.9916726454847127, 'epsilon': 2.3291914218891375e-06, 'balanced_loss': True, 'epochs': 105, 'early_stopping_patience': 24, 'plateau_patience': 19, 'plateau_divider': 10}. Best is trial 73 with value: 0.9151515151515152.
[I 2025-03-21 19:54:13,119] Trial 168 finished with value: 0.8848484848484849 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9892344079750817, 'batch_size': 43, 'attention_heads': 7, 'hidden_dimension': 207, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4209713549514781, 'global_pooling': 'mean', 'learning_rate': 5.0881285672636225e-05, 'weight_decay': 0.0007262455081609926, 'beta_0': 0.879266917678883, 'beta_1': 0.9930272502440408, 'epsilon': 9.309221692521978e-07, 'balanced_loss': True, 'epochs': 119, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 8}. Best is trial 73 with value: 0.9151515151515152.
[I 2025-03-21 20:04:43,784] Trial 169 finished with value: 0.8909090909090909 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9403818826276129, 'batch_size': 50, 'attention_heads': 8, 'hidden_dimension': 175, 'number_of_hidden_layers': 2, 'dropout_rate': 0.44921376129499696, 'global_pooling': 'mean', 'learning_rate': 0.00037006946374728726, 'weight_decay': 0.00023480237195466433, 'beta_0': 0.887781093482777, 'beta_1': 0.986695121334875, 'epsilon': 3.7479806763568153e-06, 'balanced_loss': True, 'epochs': 115, 'early_stopping_patience': 23, 'plateau_patience': 18, 'plateau_divider': 9}. Best is trial 73 with value: 0.9151515151515152.
[I 2025-03-21 20:16:34,886] Trial 170 finished with value: 0.8848484848484849 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.9556632067380642, 'batch_size': 45, 'attention_heads': 10, 'hidden_dimension': 184, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3987335066850365, 'global_pooling': 'mean', 'learning_rate': 7.282774247957565e-05, 'weight_decay': 0.00036801096149158193, 'beta_0': 0.884948664699853, 'beta_1': 0.9891670042664198, 'epsilon': 1.537633787826393e-06, 'balanced_loss': True, 'epochs': 111, 'early_stopping_patience': 21, 'plateau_patience': 19, 'plateau_divider': 8}. Best is trial 73 with value: 0.9151515151515152.
[I 2025-03-21 20:23:31,148] Trial 171 finished with value: 0.8787878787878788 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9798972513085892, 'batch_size': 41, 'attention_heads': 9, 'hidden_dimension': 196, 'number_of_hidden_layers': 1, 'dropout_rate': 0.42643714362624496, 'global_pooling': 'mean', 'learning_rate': 0.00010081290058002208, 'weight_decay': 0.00011561150178555265, 'beta_0': 0.869819242923188, 'beta_1': 0.9920502357796577, 'epsilon': 1.1999704523462403e-06, 'balanced_loss': True, 'epochs': 121, 'early_stopping_patience': 23, 'plateau_patience': 18, 'plateau_divider': 8}. Best is trial 73 with value: 0.9151515151515152.
[I 2025-03-21 20:30:53,832] Trial 172 finished with value: 0.8424242424242424 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.951956562982901, 'batch_size': 60, 'attention_heads': 6, 'hidden_dimension': 203, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4399330573720096, 'global_pooling': 'sum', 'learning_rate': 0.0001578915031787323, 'weight_decay': 2.585888443696304e-05, 'beta_0': 0.8782577790734187, 'beta_1': 0.9911783402473577, 'epsilon': 2.5018650403621514e-06, 'balanced_loss': True, 'epochs': 97, 'early_stopping_patience': 20, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 73 with value: 0.9151515151515152.
[I 2025-03-21 20:48:10,215] Trial 173 finished with value: 0.8848484848484849 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9369527147745612, 'batch_size': 46, 'attention_heads': 8, 'hidden_dimension': 179, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4139934487915129, 'global_pooling': 'mean', 'learning_rate': 3.080559262432753e-05, 'weight_decay': 0.0002216383798024253, 'beta_0': 0.8999052529202599, 'beta_1': 0.9926402969428832, 'epsilon': 3.4128337596990105e-06, 'balanced_loss': True, 'epochs': 128, 'early_stopping_patience': 25, 'plateau_patience': 19, 'plateau_divider': 8}. Best is trial 73 with value: 0.9151515151515152.
[I 2025-03-21 21:02:30,865] Trial 174 finished with value: 0.8848484848484849 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9442206703489502, 'batch_size': 44, 'attention_heads': 8, 'hidden_dimension': 170, 'number_of_hidden_layers': 2, 'dropout_rate': 0.41729217455625095, 'global_pooling': 'mean', 'learning_rate': 3.690152288105061e-05, 'weight_decay': 0.0002761522062718165, 'beta_0': 0.894170027015103, 'beta_1': 0.9940645274610364, 'epsilon': 2.9232915184892293e-06, 'balanced_loss': True, 'epochs': 126, 'early_stopping_patience': 25, 'plateau_patience': 19, 'plateau_divider': 8}. Best is trial 73 with value: 0.9151515151515152.
CUDA out of memory. Tried to allocate 2.10 GiB. GPU 0 has a total capacity of 44.56 GiB of which 1.55 GiB is free. Including non-PyTorch memory, this process has 43.01 GiB memory in use. Of the allocated memory 33.24 GiB is allocated by PyTorch, and 8.62 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-03-21 21:08:57,725] Trial 175 finished with value: -1.0 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9579065282696942, 'batch_size': 48, 'attention_heads': 8, 'hidden_dimension': 188, 'number_of_hidden_layers': 3, 'dropout_rate': 0.431990196462186, 'global_pooling': 'mean', 'learning_rate': 3.075641105249539e-05, 'weight_decay': 0.000185856482781642, 'beta_0': 0.8971104886921906, 'beta_1': 0.9935612008170482, 'epsilon': 4.28427673686306e-06, 'balanced_loss': True, 'epochs': 134, 'early_stopping_patience': 24, 'plateau_patience': 20, 'plateau_divider': 8}. Best is trial 73 with value: 0.9151515151515152.
[I 2025-03-21 21:24:22,088] Trial 176 finished with value: 0.8909090909090909 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9473839234804489, 'batch_size': 45, 'attention_heads': 8, 'hidden_dimension': 182, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4093314553262436, 'global_pooling': 'mean', 'learning_rate': 2.5741073273123405e-05, 'weight_decay': 0.00032802225373638636, 'beta_0': 0.8981418308064033, 'beta_1': 0.9884501588180281, 'epsilon': 1.993336167974355e-06, 'balanced_loss': True, 'epochs': 107, 'early_stopping_patience': 25, 'plateau_patience': 19, 'plateau_divider': 8}. Best is trial 73 with value: 0.9151515151515152.
CUDA out of memory. Tried to allocate 4.09 GiB. GPU 0 has a total capacity of 44.56 GiB of which 2.56 GiB is free. Including non-PyTorch memory, this process has 42.00 GiB memory in use. Of the allocated memory 35.90 GiB is allocated by PyTorch, and 4.95 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-03-21 21:30:28,816] Trial 177 finished with value: -1.0 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9260487103104402, 'batch_size': 47, 'attention_heads': 9, 'hidden_dimension': 192, 'number_of_hidden_layers': 1, 'dropout_rate': 0.42262623973043123, 'global_pooling': 'mean', 'learning_rate': 4.2836081733480486e-05, 'weight_decay': 0.0005739766223715598, 'beta_0': 0.8911051474618935, 'beta_1': 0.9923355659351668, 'epsilon': 1.5359685019945105e-06, 'balanced_loss': True, 'epochs': 130, 'early_stopping_patience': 24, 'plateau_patience': 19, 'plateau_divider': 9}. Best is trial 73 with value: 0.9151515151515152.
[I 2025-03-21 21:37:12,740] Trial 178 finished with value: 0.9030303030303031 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9628865960650368, 'batch_size': 49, 'attention_heads': 8, 'hidden_dimension': 175, 'number_of_hidden_layers': 1, 'dropout_rate': 0.39100291682617533, 'global_pooling': 'mean', 'learning_rate': 0.0015703154088435385, 'weight_decay': 0.00025054194231151296, 'beta_0': 0.8956054033887361, 'beta_1': 0.9929286635113896, 'epsilon': 2.2025056154123808e-06, 'balanced_loss': False, 'epochs': 124, 'early_stopping_patience': 22, 'plateau_patience': 20, 'plateau_divider': 8}. Best is trial 73 with value: 0.9151515151515152.
[I 2025-03-21 21:49:02,165] Trial 179 finished with value: 0.9030303030303031 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9501774879071515, 'batch_size': 43, 'attention_heads': 7, 'hidden_dimension': 199, 'number_of_hidden_layers': 2, 'dropout_rate': 0.49280601873123003, 'global_pooling': 'mean', 'learning_rate': 5.7646717207498154e-05, 'weight_decay': 0.00016337346778969982, 'beta_0': 0.8662732797801072, 'beta_1': 0.9988174353751474, 'epsilon': 1.1175392648157486e-06, 'balanced_loss': True, 'epochs': 102, 'early_stopping_patience': 25, 'plateau_patience': 18, 'plateau_divider': 7}. Best is trial 73 with value: 0.9151515151515152.
[I 2025-03-21 21:58:46,230] Trial 180 finished with value: 0.8848484848484849 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9134682343220428, 'batch_size': 51, 'attention_heads': 7, 'hidden_dimension': 185, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4441492880209906, 'global_pooling': 'mean', 'learning_rate': 0.00019823855551981485, 'weight_decay': 0.00013832919409169258, 'beta_0': 0.8479115483781458, 'beta_1': 0.9945367843849697, 'epsilon': 3.2246317253781013e-06, 'balanced_loss': True, 'epochs': 118, 'early_stopping_patience': 24, 'plateau_patience': 22, 'plateau_divider': 10}. Best is trial 73 with value: 0.9151515151515152.
[I 2025-03-21 22:10:15,558] Trial 181 finished with value: 0.8909090909090909 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9428537933826979, 'batch_size': 44, 'attention_heads': 9, 'hidden_dimension': 222, 'number_of_hidden_layers': 1, 'dropout_rate': 0.47571998602638277, 'global_pooling': 'mean', 'learning_rate': 0.00011150447810519306, 'weight_decay': 9.47331819588883e-05, 'beta_0': 0.8587312822382637, 'beta_1': 0.9914102762040813, 'epsilon': 2.9764543036072186e-07, 'balanced_loss': True, 'epochs': 114, 'early_stopping_patience': 25, 'plateau_patience': 19, 'plateau_divider': 8}. Best is trial 73 with value: 0.9151515151515152.
[I 2025-03-21 22:17:46,440] Trial 182 finished with value: 0.9151515151515152 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9602512284669275, 'batch_size': 48, 'attention_heads': 8, 'hidden_dimension': 163, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4356475777425418, 'global_pooling': 'mean', 'learning_rate': 0.00024924780041629354, 'weight_decay': 0.00020778892933781526, 'beta_0': 0.881670718342471, 'beta_1': 0.9919196399304511, 'epsilon': 4.890808951253919e-06, 'balanced_loss': True, 'epochs': 109, 'early_stopping_patience': 24, 'plateau_patience': 19, 'plateau_divider': 7}. Best is trial 73 with value: 0.9151515151515152.
[I 2025-03-21 22:25:51,165] Trial 183 finished with value: 0.8909090909090909 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9597716695761932, 'batch_size': 48, 'attention_heads': 8, 'hidden_dimension': 166, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4359490139851757, 'global_pooling': 'mean', 'learning_rate': 0.00024102948169301387, 'weight_decay': 0.00021550964366823488, 'beta_0': 0.8811066641553841, 'beta_1': 0.99202431891311, 'epsilon': 5.563570344693043e-06, 'balanced_loss': True, 'epochs': 110, 'early_stopping_patience': 25, 'plateau_patience': 19, 'plateau_divider': 7}. Best is trial 73 with value: 0.9151515151515152.
[I 2025-03-21 22:33:21,745] Trial 184 finished with value: 0.896969696969697 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9541229115258754, 'batch_size': 21, 'attention_heads': 8, 'hidden_dimension': 159, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4289340400382844, 'global_pooling': 'mean', 'learning_rate': 0.00013514191769272436, 'weight_decay': 0.0002046820665688937, 'beta_0': 0.8837228954500792, 'beta_1': 0.9918136666229143, 'epsilon': 6.519884522249572e-06, 'balanced_loss': True, 'epochs': 164, 'early_stopping_patience': 24, 'plateau_patience': 19, 'plateau_divider': 7}. Best is trial 73 with value: 0.9151515151515152.
[I 2025-03-21 22:40:52,374] Trial 185 finished with value: 0.896969696969697 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9616771195901777, 'batch_size': 46, 'attention_heads': 8, 'hidden_dimension': 170, 'number_of_hidden_layers': 1, 'dropout_rate': 0.45331153557224646, 'global_pooling': 'mean', 'learning_rate': 0.00017179488085317934, 'weight_decay': 0.00025750123274811547, 'beta_0': 0.8813228277657902, 'beta_1': 0.9927540702012547, 'epsilon': 4.602871977300747e-06, 'balanced_loss': True, 'epochs': 107, 'early_stopping_patience': 24, 'plateau_patience': 18, 'plateau_divider': 6}. Best is trial 73 with value: 0.9151515151515152.
[I 2025-03-21 22:52:19,901] Trial 186 finished with value: 0.8909090909090909 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9564168427523002, 'batch_size': 47, 'attention_heads': 9, 'hidden_dimension': 177, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4169032120277432, 'global_pooling': 'mean', 'learning_rate': 5.033149504015741e-05, 'weight_decay': 0.000913304163896432, 'beta_0': 0.8858844763881942, 'beta_1': 0.9951898494587058, 'epsilon': 1.403958266910261e-06, 'balanced_loss': True, 'epochs': 104, 'early_stopping_patience': 24, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 73 with value: 0.9151515151515152.
[I 2025-03-21 22:59:22,286] Trial 187 finished with value: 0.896969696969697 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9640806861158159, 'batch_size': 49, 'attention_heads': 8, 'hidden_dimension': 181, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4872673175934873, 'global_pooling': 'mean', 'learning_rate': 0.0005028905462814385, 'weight_decay': 1.221456447421694e-05, 'beta_0': 0.8890427018157319, 'beta_1': 0.9908210758015741, 'epsilon': 7.612771263712919e-06, 'balanced_loss': True, 'epochs': 99, 'early_stopping_patience': 21, 'plateau_patience': 19, 'plateau_divider': 8}. Best is trial 73 with value: 0.9151515151515152.
[I 2025-03-21 23:06:54,309] Trial 188 finished with value: 0.896969696969697 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9688530208635234, 'batch_size': 45, 'attention_heads': 7, 'hidden_dimension': 193, 'number_of_hidden_layers': 2, 'dropout_rate': 0.43580802423123527, 'global_pooling': 'mean', 'learning_rate': 0.00022038922462456456, 'weight_decay': 0.00028855475739215784, 'beta_0': 0.8782929644731925, 'beta_1': 0.9932740494831728, 'epsilon': 2.655903329249165e-06, 'balanced_loss': False, 'epochs': 112, 'early_stopping_patience': 22, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 73 with value: 0.9151515151515152.
