[I 2025-02-28 10:40:08,950] Using an existing study with name 'IMDb-top_1000-GATv2-google-bert-bert-base-uncased-Surrogate-No_Aggregation-No_Ablation-1.0-0.25' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (1147 > 512). Running this sequence through the model will result in indexing errors
[I 2025-02-28 10:53:08,579] Trial 189 finished with value: 0.8787878787878788 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9739853761948901, 'batch_size': 17, 'attention_heads': 8, 'hidden_dimension': 114, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5171155144285239, 'global_pooling': 'sum', 'learning_rate': 0.003456778968892944, 'weight_decay': 2.5941819060819465e-06, 'beta_0': 0.8149757859942945, 'beta_1': 0.980208890739195, 'epsilon': 6.498168850873444e-06, 'balanced_loss': True, 'epochs': 90, 'early_stopping_patience': 18, 'plateau_patience': 15, 'plateau_divider': 7}. Best is trial 32 with value: 0.896969696969697.
[I 2025-02-28 14:07:29,864] Trial 200 finished with value: 0.8484848484848485 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.9744630813843154, 'batch_size': 16, 'attention_heads': 8, 'hidden_dimension': 114, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5027631711452133, 'global_pooling': 'sum', 'learning_rate': 0.003932251381903814, 'weight_decay': 2.5614336170481958e-06, 'beta_0': 0.8080821687204129, 'beta_1': 0.9813523177194186, 'epsilon': 8.792944010254175e-06, 'balanced_loss': True, 'epochs': 86, 'early_stopping_patience': 17, 'plateau_patience': 15, 'plateau_divider': 7}. Best is trial 32 with value: 0.896969696969697.
[I 2025-02-28 14:26:29,650] Trial 201 finished with value: 0.8727272727272727 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9825186407692617, 'batch_size': 17, 'attention_heads': 7, 'hidden_dimension': 110, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5111916720797414, 'global_pooling': 'sum', 'learning_rate': 0.00024954950642672337, 'weight_decay': 1.5230316978305164e-06, 'beta_0': 0.8099857215759251, 'beta_1': 0.9928584117086693, 'epsilon': 5.437833817876221e-06, 'balanced_loss': False, 'epochs': 197, 'early_stopping_patience': 20, 'plateau_patience': 12, 'plateau_divider': 6}. Best is trial 32 with value: 0.896969696969697.
[I 2025-02-28 14:45:20,107] Trial 202 finished with value: 0.8484848484848485 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9769051251986928, 'batch_size': 18, 'attention_heads': 8, 'hidden_dimension': 205, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5193202884136944, 'global_pooling': 'sum', 'learning_rate': 0.0028718634679919816, 'weight_decay': 1.890351011361554e-06, 'beta_0': 0.8116519771109493, 'beta_1': 0.9807902363775131, 'epsilon': 1.189715773024883e-05, 'balanced_loss': True, 'epochs': 95, 'early_stopping_patience': 18, 'plateau_patience': 16, 'plateau_divider': 7}. Best is trial 32 with value: 0.896969696969697.
[I 2025-02-28 15:00:29,112] Trial 203 finished with value: 0.8727272727272727 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9754258759889471, 'batch_size': 17, 'attention_heads': 8, 'hidden_dimension': 63, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5197342138870962, 'global_pooling': 'sum', 'learning_rate': 0.0025249755376382434, 'weight_decay': 1.7093556140676744e-06, 'beta_0': 0.813893121604864, 'beta_1': 0.9810301880837586, 'epsilon': 7.1892461743476085e-06, 'balanced_loss': True, 'epochs': 93, 'early_stopping_patience': 18, 'plateau_patience': 16, 'plateau_divider': 7}. Best is trial 32 with value: 0.896969696969697.
[I 2025-02-28 15:18:47,927] Trial 204 finished with value: 0.8727272727272727 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9810949554354114, 'batch_size': 20, 'attention_heads': 8, 'hidden_dimension': 202, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5312683161761017, 'global_pooling': 'sum', 'learning_rate': 0.0016425260618748673, 'weight_decay': 1.928927761463948e-06, 'beta_0': 0.8113811836318967, 'beta_1': 0.9821098835636235, 'epsilon': 1.0354260355614476e-05, 'balanced_loss': True, 'epochs': 102, 'early_stopping_patience': 18, 'plateau_patience': 16, 'plateau_divider': 7}. Best is trial 32 with value: 0.896969696969697.
CUDA out of memory. Tried to allocate 1.59 GiB. GPU 0 has a total capacity of 44.56 GiB of which 528.69 MiB is free. Including non-PyTorch memory, this process has 44.04 GiB memory in use. Of the allocated memory 40.94 GiB is allocated by PyTorch, and 1.94 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-02-28 15:32:29,100] Trial 205 finished with value: -1.0 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9365151762907495, 'batch_size': 19, 'attention_heads': 9, 'hidden_dimension': 59, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5250858192045932, 'global_pooling': 'sum', 'learning_rate': 0.003186550788215998, 'weight_decay': 1.3618430092237726e-06, 'beta_0': 0.8099829445124065, 'beta_1': 0.9806616847388376, 'epsilon': 1.2784974458691115e-05, 'balanced_loss': True, 'epochs': 90, 'early_stopping_patience': 19, 'plateau_patience': 17, 'plateau_divider': 7}. Best is trial 32 with value: 0.896969696969697.
[I 2025-02-28 15:47:40,969] Trial 206 finished with value: 0.8787878787878788 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9785840267351124, 'batch_size': 18, 'attention_heads': 7, 'hidden_dimension': 54, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5127504775176472, 'global_pooling': 'sum', 'learning_rate': 0.0020379348180294826, 'weight_decay': 1.6715434792966012e-06, 'beta_0': 0.802184987546828, 'beta_1': 0.9816600608407318, 'epsilon': 1.557001713510357e-05, 'balanced_loss': True, 'epochs': 98, 'early_stopping_patience': 18, 'plateau_patience': 16, 'plateau_divider': 7}. Best is trial 32 with value: 0.896969696969697.
[I 2025-02-28 16:03:48,715] Trial 207 finished with value: 0.8787878787878788 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9705122949432481, 'batch_size': 19, 'attention_heads': 7, 'hidden_dimension': 49, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5067373080841089, 'global_pooling': 'sum', 'learning_rate': 0.00407127226670529, 'weight_decay': 2.462178215760769e-06, 'beta_0': 0.8170275675904122, 'beta_1': 0.9844353466273009, 'epsilon': 1.791234799032967e-05, 'balanced_loss': True, 'epochs': 93, 'early_stopping_patience': 17, 'plateau_patience': 16, 'plateau_divider': 7}. Best is trial 32 with value: 0.896969696969697.
[I 2025-02-28 16:23:12,877] Trial 208 finished with value: 0.8666666666666667 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9962345417111297, 'batch_size': 17, 'attention_heads': 16, 'hidden_dimension': 214, 'number_of_hidden_layers': 1, 'dropout_rate': 0.49489288019200484, 'global_pooling': 'max', 'learning_rate': 0.000323189610351048, 'weight_decay': 3.651603191393589e-06, 'beta_0': 0.8133810842713499, 'beta_1': 0.9800217359917053, 'epsilon': 1.0653080419080921e-05, 'balanced_loss': True, 'epochs': 81, 'early_stopping_patience': 21, 'plateau_patience': 15, 'plateau_divider': 6}. Best is trial 32 with value: 0.896969696969697.
CUDA out of memory. Tried to allocate 2.96 GiB. GPU 0 has a total capacity of 44.56 GiB of which 2.51 GiB is free. Including non-PyTorch memory, this process has 42.04 GiB memory in use. Of the allocated memory 36.11 GiB is allocated by PyTorch, and 4.78 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-02-28 16:38:18,666] Trial 209 finished with value: -1.0 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.97624620863209, 'batch_size': 22, 'attention_heads': 8, 'hidden_dimension': 236, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4997416331901027, 'global_pooling': 'sum', 'learning_rate': 0.002455682358449358, 'weight_decay': 1.8179079850719756e-06, 'beta_0': 0.8076268409865212, 'beta_1': 0.9812343489694267, 'epsilon': 2.5788565021165843e-06, 'balanced_loss': True, 'epochs': 88, 'early_stopping_patience': 22, 'plateau_patience': 17, 'plateau_divider': 6}. Best is trial 32 with value: 0.896969696969697.
[I 2025-02-28 16:55:32,096] Trial 210 finished with value: 0.8848484848484849 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9872046372646518, 'batch_size': 20, 'attention_heads': 8, 'hidden_dimension': 118, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5989784217852382, 'global_pooling': 'sum', 'learning_rate': 0.0017948422928331413, 'weight_decay': 2.1655631493161475e-06, 'beta_0': 0.805964141338153, 'beta_1': 0.9804762576521017, 'epsilon': 1.2907748951313746e-05, 'balanced_loss': True, 'epochs': 194, 'early_stopping_patience': 20, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 32 with value: 0.896969696969697.
[I 2025-02-28 17:14:16,003] Trial 211 finished with value: 0.8727272727272727 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9875768472113391, 'batch_size': 21, 'attention_heads': 9, 'hidden_dimension': 118, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5959694380957026, 'global_pooling': 'sum', 'learning_rate': 0.0017265930433683807, 'weight_decay': 2.154802891676772e-06, 'beta_0': 0.8038907338767454, 'beta_1': 0.9805102965745509, 'epsilon': 2.1686993196018117e-05, 'balanced_loss': True, 'epochs': 191, 'early_stopping_patience': 21, 'plateau_patience': 25, 'plateau_divider': 8}. Best is trial 32 with value: 0.896969696969697.
[I 2025-02-28 17:30:22,962] Trial 212 finished with value: 0.8848484848484849 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9852447612903925, 'batch_size': 20, 'attention_heads': 8, 'hidden_dimension': 120, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5982288835763231, 'global_pooling': 'sum', 'learning_rate': 0.0014173801801183688, 'weight_decay': 1.4861068535265263e-06, 'beta_0': 0.89986087646536, 'beta_1': 0.9809083858097674, 'epsilon': 1.3345908137518512e-05, 'balanced_loss': True, 'epochs': 200, 'early_stopping_patience': 20, 'plateau_patience': 14, 'plateau_divider': 8}. Best is trial 32 with value: 0.896969696969697.
[I 2025-02-28 17:47:18,524] Trial 213 finished with value: 0.8606060606060606 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9855986649050692, 'batch_size': 20, 'attention_heads': 8, 'hidden_dimension': 120, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5991485309746962, 'global_pooling': 'sum', 'learning_rate': 0.0016295629966557787, 'weight_decay': 2.97732512203041e-06, 'beta_0': 0.8849143704378295, 'beta_1': 0.9804003397265209, 'epsilon': 1.2535170757622219e-05, 'balanced_loss': True, 'epochs': 200, 'early_stopping_patience': 20, 'plateau_patience': 14, 'plateau_divider': 8}. Best is trial 32 with value: 0.896969696969697.
[I 2025-02-28 18:08:37,725] Trial 214 finished with value: 0.8666666666666667 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.984097354143781, 'batch_size': 20, 'attention_heads': 8, 'hidden_dimension': 124, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5908765621487853, 'global_pooling': 'sum', 'learning_rate': 0.0013250832005255134, 'weight_decay': 1.2385701039758905e-06, 'beta_0': 0.8741699637046955, 'beta_1': 0.9808223565906886, 'epsilon': 1.946014851991594e-05, 'balanced_loss': True, 'epochs': 195, 'early_stopping_patience': 20, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 32 with value: 0.896969696969697.
[I 2025-02-28 18:26:47,246] Trial 215 finished with value: 0.8787878787878788 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9870595485710958, 'batch_size': 22, 'attention_heads': 7, 'hidden_dimension': 223, 'number_of_hidden_layers': 1, 'dropout_rate': 0.589866011668002, 'global_pooling': 'sum', 'learning_rate': 0.0012630868764608243, 'weight_decay': 1.4820042984719683e-06, 'beta_0': 0.8069551211964437, 'beta_1': 0.9855432188573704, 'epsilon': 1.450662351470479e-05, 'balanced_loss': True, 'epochs': 193, 'early_stopping_patience': 20, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 32 with value: 0.896969696969697.
[I 2025-02-28 18:41:41,291] Trial 216 finished with value: 0.8545454545454545 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9900121345766886, 'batch_size': 19, 'attention_heads': 5, 'hidden_dimension': 109, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5986828843259182, 'global_pooling': 'sum', 'learning_rate': 0.0020159730697438577, 'weight_decay': 2.3116230080555595e-06, 'beta_0': 0.8049124393055191, 'beta_1': 0.9891304656804775, 'epsilon': 8.75696707750592e-06, 'balanced_loss': True, 'epochs': 199, 'early_stopping_patience': 20, 'plateau_patience': 13, 'plateau_divider': 8}. Best is trial 32 with value: 0.896969696969697.
CUDA out of memory. Tried to allocate 4.75 GiB. GPU 0 has a total capacity of 44.56 GiB of which 1.96 GiB is free. Including non-PyTorch memory, this process has 42.60 GiB memory in use. Of the allocated memory 38.91 GiB is allocated by PyTorch, and 2.54 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-02-28 18:57:35,394] Trial 217 finished with value: -1.0 and parameters: {'left_stride': 256, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9337093177237574, 'batch_size': 16, 'attention_heads': 13, 'hidden_dimension': 115, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5860684956330195, 'global_pooling': 'sum', 'learning_rate': 0.0014048801602853803, 'weight_decay': 1.9699091652156466e-06, 'beta_0': 0.8093647892125911, 'beta_1': 0.9813770115319574, 'epsilon': 1.7729092904790942e-05, 'balanced_loss': True, 'epochs': 195, 'early_stopping_patience': 19, 'plateau_patience': 14, 'plateau_divider': 10}. Best is trial 32 with value: 0.896969696969697.
[I 2025-02-28 19:15:37,986] Trial 218 finished with value: 0.8787878787878788 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9918064930333245, 'batch_size': 21, 'attention_heads': 8, 'hidden_dimension': 105, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5938362341439631, 'global_pooling': 'sum', 'learning_rate': 0.0003867381210812875, 'weight_decay': 1.320436321832556e-06, 'beta_0': 0.8890323145268471, 'beta_1': 0.981771903926834, 'epsilon': 7.4131009502908005e-06, 'balanced_loss': True, 'epochs': 197, 'early_stopping_patience': 20, 'plateau_patience': 24, 'plateau_divider': 6}. Best is trial 32 with value: 0.896969696969697.
[I 2025-02-28 19:26:20,250] Trial 219 finished with value: 0.8666666666666667 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9944805029052365, 'batch_size': 27, 'attention_heads': 8, 'hidden_dimension': 123, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5997236443586667, 'global_pooling': 'sum', 'learning_rate': 0.0011540639780639927, 'weight_decay': 1.5848907500277608e-06, 'beta_0': 0.8149069027210222, 'beta_1': 0.9803044929139281, 'epsilon': 3.9284297371048476e-06, 'balanced_loss': True, 'epochs': 189, 'early_stopping_patience': 21, 'plateau_patience': 12, 'plateau_divider': 6}. Best is trial 32 with value: 0.896969696969697.
[I 2025-02-28 19:43:18,280] Trial 220 finished with value: 0.8666666666666667 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9834875410469716, 'batch_size': 18, 'attention_heads': 7, 'hidden_dimension': 116, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4900331679648214, 'global_pooling': 'sum', 'learning_rate': 0.0019128360415947739, 'weight_decay': 0.00016363855080178636, 'beta_0': 0.8215795428054289, 'beta_1': 0.9809969355766623, 'epsilon': 2.5296766118138384e-05, 'balanced_loss': True, 'epochs': 194, 'early_stopping_patience': 20, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 32 with value: 0.896969696969697.
[I 2025-02-28 19:58:33,469] Trial 221 finished with value: 0.8727272727272727 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9881180431332065, 'batch_size': 21, 'attention_heads': 9, 'hidden_dimension': 113, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3255418473113868, 'global_pooling': 'sum', 'learning_rate': 0.0015982693538342944, 'weight_decay': 3.3855613105266745e-05, 'beta_0': 0.8057688641214746, 'beta_1': 0.9819789367819909, 'epsilon': 1.4031508072108214e-05, 'balanced_loss': True, 'epochs': 139, 'early_stopping_patience': 21, 'plateau_patience': 17, 'plateau_divider': 7}. Best is trial 32 with value: 0.896969696969697.
[I 2025-02-28 20:22:27,302] Trial 222 finished with value: 0.8545454545454545 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9799875829516136, 'batch_size': 18, 'attention_heads': 10, 'hidden_dimension': 161, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5781001116841242, 'global_pooling': 'sum', 'learning_rate': 0.002889445326920795, 'weight_decay': 1.732491773636089e-06, 'beta_0': 0.8959265221283347, 'beta_1': 0.9808724303684946, 'epsilon': 1.5726008938055135e-05, 'balanced_loss': True, 'epochs': 91, 'early_stopping_patience': 18, 'plateau_patience': 16, 'plateau_divider': 7}. Best is trial 32 with value: 0.896969696969697.
