[I 2024-11-14 09:31:17,720] Using an existing study with name 'Ohsumed-GAT-google-bert-bert-base-uncased-Grouped-No_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (611 > 512). Running this sequence through the model will result in indexing errors
[I 2024-11-14 09:43:46,846] Trial 121 finished with value: 0.6227536064496653 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.865781382665641, 'batch_size': 103, 'attention_heads': 16, 'hidden_dimension': 86, 'number_of_hidden_layers': 2, 'dropout_rate': 0.300471719839746, 'global_pooling': 'max', 'learning_rate': 0.0003757113979073648, 'weight_decay': 0.0002949934920345032, 'beta_0': 0.8751180209543867, 'beta_1': 0.989110490436202, 'epsilon': 6.762308168950641e-07, 'balanced_loss': False, 'epochs': 93, 'early_stopping_patience': 19, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 114 with value: 0.6435809112265517.
[I 2024-11-14 12:01:34,489] Trial 132 finished with value: 0.5969900543656534 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8801542156104402, 'batch_size': 102, 'attention_heads': 15, 'hidden_dimension': 99, 'number_of_hidden_layers': 2, 'dropout_rate': 0.33724972259227826, 'global_pooling': 'max', 'learning_rate': 0.0005917391848279743, 'weight_decay': 0.0005834050431311243, 'beta_0': 0.8720101457459513, 'beta_1': 0.9881480943346455, 'epsilon': 1.5826900371581575e-07, 'balanced_loss': False, 'epochs': 84, 'early_stopping_patience': 20, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 114 with value: 0.6435809112265517.
[I 2024-11-14 12:14:24,722] Trial 133 finished with value: 0.5662313377549707 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8501648198695269, 'batch_size': 112, 'attention_heads': 16, 'hidden_dimension': 78, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3547572770784118, 'global_pooling': 'max', 'learning_rate': 0.00014939294521414562, 'weight_decay': 0.0006914939757857048, 'beta_0': 0.878954165392781, 'beta_1': 0.9877517597413815, 'epsilon': 4.1571382091042e-07, 'balanced_loss': False, 'epochs': 95, 'early_stopping_patience': 19, 'plateau_patience': 18, 'plateau_divider': 2}. Best is trial 114 with value: 0.6435809112265517.
[I 2024-11-14 12:25:26,693] Trial 134 finished with value: 0.5927492564680894 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8650184807676626, 'batch_size': 118, 'attention_heads': 15, 'hidden_dimension': 55, 'number_of_hidden_layers': 2, 'dropout_rate': 0.32890468100531006, 'global_pooling': 'max', 'learning_rate': 0.0007297584327836333, 'weight_decay': 0.00031426713717534364, 'beta_0': 0.8818531381139191, 'beta_1': 0.9884918114306418, 'epsilon': 7.343512220134438e-07, 'balanced_loss': False, 'epochs': 88, 'early_stopping_patience': 21, 'plateau_patience': 21, 'plateau_divider': 2}. Best is trial 114 with value: 0.6435809112265517.
[I 2024-11-14 12:37:27,862] Trial 135 finished with value: 0.6190049389818746 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8581980526437245, 'batch_size': 98, 'attention_heads': 16, 'hidden_dimension': 70, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3062439504202028, 'global_pooling': 'max', 'learning_rate': 0.00032652730002008057, 'weight_decay': 0.0002324071623714364, 'beta_0': 0.8832587064291866, 'beta_1': 0.9870686978032543, 'epsilon': 1.0652980719636392e-06, 'balanced_loss': False, 'epochs': 109, 'early_stopping_patience': 21, 'plateau_patience': 20, 'plateau_divider': 2}. Best is trial 114 with value: 0.6435809112265517.
[I 2024-11-14 12:49:27,319] Trial 136 finished with value: 0.6027823826204406 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8765442001043415, 'batch_size': 104, 'attention_heads': 16, 'hidden_dimension': 69, 'number_of_hidden_layers': 2, 'dropout_rate': 0.32123747333164626, 'global_pooling': 'max', 'learning_rate': 0.00027867525204884364, 'weight_decay': 0.00025209665877401726, 'beta_0': 0.8895712401562801, 'beta_1': 0.9868735707477595, 'epsilon': 2.8313933242534764e-07, 'balanced_loss': False, 'epochs': 111, 'early_stopping_patience': 21, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 114 with value: 0.6435809112265517.
CUDA out of memory. Tried to allocate 3.61 GiB. GPU 0 has a total capacity of 44.56 GiB of which 568.69 MiB is free. Including non-PyTorch memory, this process has 44.00 GiB memory in use. Of the allocated memory 39.89 GiB is allocated by PyTorch, and 2.96 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-11-14 12:57:55,027] Trial 137 finished with value: -1.0 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.853213350526203, 'batch_size': 98, 'attention_heads': 16, 'hidden_dimension': 228, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3442234663456176, 'global_pooling': 'max', 'learning_rate': 0.00041980817814362645, 'weight_decay': 0.00021647729858078075, 'beta_0': 0.8846604976153452, 'beta_1': 0.9862959724572773, 'epsilon': 1.104487457855761e-06, 'balanced_loss': False, 'epochs': 98, 'early_stopping_patience': 20, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 114 with value: 0.6435809112265517.
[I 2024-11-14 13:11:03,438] Trial 138 finished with value: 0.6039938252976738 and parameters: {'left_stride': 256, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8710519805375063, 'batch_size': 102, 'attention_heads': 16, 'hidden_dimension': 86, 'number_of_hidden_layers': 2, 'dropout_rate': 0.36585431830862647, 'global_pooling': 'max', 'learning_rate': 0.00019778845666409118, 'weight_decay': 0.0001724694622152745, 'beta_0': 0.8803183273764965, 'beta_1': 0.9874318355837932, 'epsilon': 3.408896256283957e-07, 'balanced_loss': False, 'epochs': 93, 'early_stopping_patience': 22, 'plateau_patience': 21, 'plateau_divider': 2}. Best is trial 114 with value: 0.6435809112265517.
[I 2024-11-14 13:23:00,408] Trial 139 finished with value: 0.620389352116223 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8463811191233206, 'batch_size': 95, 'attention_heads': 12, 'hidden_dimension': 76, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3082236486019308, 'global_pooling': 'max', 'learning_rate': 0.000489957838218317, 'weight_decay': 0.0003703417787697567, 'beta_0': 0.8537203848534809, 'beta_1': 0.9888945705645009, 'epsilon': 1.6943023199643793e-06, 'balanced_loss': False, 'epochs': 102, 'early_stopping_patience': 21, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 114 with value: 0.6435809112265517.
[I 2024-11-14 13:34:03,847] Trial 140 finished with value: 0.6213900516824068 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8471960655823447, 'batch_size': 96, 'attention_heads': 10, 'hidden_dimension': 65, 'number_of_hidden_layers': 2, 'dropout_rate': 0.30163734944176296, 'global_pooling': 'max', 'learning_rate': 0.00046530346427562703, 'weight_decay': 0.0005246283529704214, 'beta_0': 0.8867342546416965, 'beta_1': 0.989967949560897, 'epsilon': 1.5953314139605876e-06, 'balanced_loss': False, 'epochs': 102, 'early_stopping_patience': 20, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 114 with value: 0.6435809112265517.
[I 2024-11-14 13:45:03,404] Trial 141 finished with value: 0.6107073700397591 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8398480665990877, 'batch_size': 95, 'attention_heads': 12, 'hidden_dimension': 62, 'number_of_hidden_layers': 2, 'dropout_rate': 0.30491879241845254, 'global_pooling': 'max', 'learning_rate': 0.0010203621478185104, 'weight_decay': 0.0005032589802436874, 'beta_0': 0.8580411771076624, 'beta_1': 0.9897357026677588, 'epsilon': 1.6801770081627856e-06, 'balanced_loss': False, 'epochs': 105, 'early_stopping_patience': 20, 'plateau_patience': 20, 'plateau_divider': 4}. Best is trial 114 with value: 0.6435809112265517.
[I 2024-11-14 13:56:08,887] Trial 142 finished with value: 0.6093430325850722 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.847091224257402, 'batch_size': 97, 'attention_heads': 12, 'hidden_dimension': 67, 'number_of_hidden_layers': 2, 'dropout_rate': 0.30062902974689665, 'global_pooling': 'max', 'learning_rate': 0.0005537783418438363, 'weight_decay': 0.0006341655527825599, 'beta_0': 0.8491147187003408, 'beta_1': 0.9891783886292388, 'epsilon': 9.442878022167111e-07, 'balanced_loss': False, 'epochs': 116, 'early_stopping_patience': 19, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 114 with value: 0.6435809112265517.
[I 2024-11-14 14:06:53,464] Trial 143 finished with value: 0.6157016625127616 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8444067859584912, 'batch_size': 105, 'attention_heads': 9, 'hidden_dimension': 59, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3119299806411124, 'global_pooling': 'max', 'learning_rate': 0.0004692440430207375, 'weight_decay': 0.00034126544429687066, 'beta_0': 0.8460231733723974, 'beta_1': 0.9902967991656677, 'epsilon': 2.071385260083653e-06, 'balanced_loss': False, 'epochs': 102, 'early_stopping_patience': 17, 'plateau_patience': 21, 'plateau_divider': 3}. Best is trial 114 with value: 0.6435809112265517.
[I 2024-11-14 14:18:26,515] Trial 144 finished with value: 0.5889624923360486 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8543949304317249, 'batch_size': 99, 'attention_heads': 10, 'hidden_dimension': 74, 'number_of_hidden_layers': 2, 'dropout_rate': 0.32875778871909134, 'global_pooling': 'max', 'learning_rate': 0.00023413046248541805, 'weight_decay': 0.0004294475610632904, 'beta_0': 0.8649893889594404, 'beta_1': 0.9917956186192809, 'epsilon': 1.1958673189771223e-06, 'balanced_loss': False, 'epochs': 107, 'early_stopping_patience': 20, 'plateau_patience': 20, 'plateau_divider': 4}. Best is trial 114 with value: 0.6435809112265517.
[I 2024-11-14 14:28:29,926] Trial 145 finished with value: 0.5685745256592876 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9596863135597955, 'batch_size': 93, 'attention_heads': 11, 'hidden_dimension': 77, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3179473169495771, 'global_pooling': 'max', 'learning_rate': 0.00029678771028699303, 'weight_decay': 0.0002744931378019076, 'beta_0': 0.8869450066080385, 'beta_1': 0.9855691530474563, 'epsilon': 8.168688775450867e-07, 'balanced_loss': False, 'epochs': 98, 'early_stopping_patience': 21, 'plateau_patience': 20, 'plateau_divider': 2}. Best is trial 114 with value: 0.6435809112265517.
[I 2024-11-14 14:41:44,048] Trial 146 finished with value: 0.6187438163474512 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8360816575404914, 'batch_size': 102, 'attention_heads': 16, 'hidden_dimension': 91, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3087414394444369, 'global_pooling': 'max', 'learning_rate': 0.000648690337259335, 'weight_decay': 0.0008333275950810671, 'beta_0': 0.8779530393545026, 'beta_1': 0.9901011238118351, 'epsilon': 6.17061642116526e-07, 'balanced_loss': False, 'epochs': 90, 'early_stopping_patience': 22, 'plateau_patience': 19, 'plateau_divider': 3}. Best is trial 114 with value: 0.6435809112265517.
[I 2024-11-14 14:53:19,792] Trial 147 finished with value: 0.5999089583100665 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8307369388067662, 'batch_size': 102, 'attention_heads': 10, 'hidden_dimension': 92, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3088923022217477, 'global_pooling': 'max', 'learning_rate': 0.0008243097521443668, 'weight_decay': 0.0008229589138423196, 'beta_0': 0.8535829633892089, 'beta_1': 0.9909863727022523, 'epsilon': 1.4296106123210134e-06, 'balanced_loss': False, 'epochs': 90, 'early_stopping_patience': 22, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 114 with value: 0.6435809112265517.
[I 2024-11-14 15:04:34,644] Trial 148 finished with value: 0.6238395569459818 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8380571412963242, 'batch_size': 96, 'attention_heads': 10, 'hidden_dimension': 71, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3237276793449405, 'global_pooling': 'max', 'learning_rate': 0.0006266891962276699, 'weight_decay': 0.00069591899787405, 'beta_0': 0.8379900487962433, 'beta_1': 0.9886715547855953, 'epsilon': 6.587825311436833e-07, 'balanced_loss': False, 'epochs': 85, 'early_stopping_patience': 22, 'plateau_patience': 21, 'plateau_divider': 3}. Best is trial 114 with value: 0.6435809112265517.
[I 2024-11-14 15:14:46,170] Trial 149 finished with value: 0.5451203418067824 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.8481480756688047, 'batch_size': 96, 'attention_heads': 11, 'hidden_dimension': 51, 'number_of_hidden_layers': 2, 'dropout_rate': 0.324436103020077, 'global_pooling': 'max', 'learning_rate': 0.0004709288463752603, 'weight_decay': 0.0005198446291525835, 'beta_0': 0.8359419435238187, 'beta_1': 0.9877051349601336, 'epsilon': 1.60902907258453e-06, 'balanced_loss': False, 'epochs': 82, 'early_stopping_patience': 18, 'plateau_patience': 21, 'plateau_divider': 3}. Best is trial 114 with value: 0.6435809112265517.
[I 2024-11-14 15:26:09,083] Trial 150 finished with value: 0.6112671517046696 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8431830892700272, 'batch_size': 91, 'attention_heads': 10, 'hidden_dimension': 65, 'number_of_hidden_layers': 2, 'dropout_rate': 0.33437845722809784, 'global_pooling': 'max', 'learning_rate': 0.00034723229190252895, 'weight_decay': 0.0007015654969095707, 'beta_0': 0.87548880767294, 'beta_1': 0.988760639436489, 'epsilon': 1.0714746159285223e-06, 'balanced_loss': False, 'epochs': 99, 'early_stopping_patience': 22, 'plateau_patience': 21, 'plateau_divider': 4}. Best is trial 114 with value: 0.6435809112265517.
[I 2024-11-14 15:36:30,697] Trial 151 finished with value: 0.020064659977703455 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8510852004818755, 'batch_size': 99, 'attention_heads': 10, 'hidden_dimension': 71, 'number_of_hidden_layers': 2, 'dropout_rate': 0.33907241295772866, 'global_pooling': 'max', 'learning_rate': 0.039348461092948, 'weight_decay': 0.0004201000680477204, 'beta_0': 0.8441551559353923, 'beta_1': 0.9893831251851315, 'epsilon': 5.319670027189076e-07, 'balanced_loss': False, 'epochs': 112, 'early_stopping_patience': 21, 'plateau_patience': 21, 'plateau_divider': 2}. Best is trial 114 with value: 0.6435809112265517.
[I 2024-11-14 15:48:27,294] Trial 152 finished with value: 0.6083947717989215 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.838647342561378, 'batch_size': 96, 'attention_heads': 15, 'hidden_dimension': 76, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3164488436215734, 'global_pooling': 'max', 'learning_rate': 0.0006522759739435401, 'weight_decay': 0.00035006860019598773, 'beta_0': 0.8383165309359527, 'beta_1': 0.9869737290358925, 'epsilon': 3.9934156336431457e-07, 'balanced_loss': False, 'epochs': 85, 'early_stopping_patience': 20, 'plateau_patience': 20, 'plateau_divider': 5}. Best is trial 114 with value: 0.6435809112265517.
[I 2024-11-14 16:00:47,547] Trial 153 finished with value: 0.6202186510906842 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8580316458257979, 'batch_size': 108, 'attention_heads': 12, 'hidden_dimension': 83, 'number_of_hidden_layers': 2, 'dropout_rate': 0.32721493483843356, 'global_pooling': 'max', 'learning_rate': 0.00025411793683114445, 'weight_decay': 0.0005899164174105879, 'beta_0': 0.8723930917423289, 'beta_1': 0.9906293987764637, 'epsilon': 7.002608387965681e-07, 'balanced_loss': False, 'epochs': 105, 'early_stopping_patience': 23, 'plateau_patience': 21, 'plateau_divider': 3}. Best is trial 114 with value: 0.6435809112265517.
[I 2024-11-14 16:10:59,853] Trial 154 finished with value: 0.4281589519566338 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.857215244442386, 'batch_size': 110, 'attention_heads': 12, 'hidden_dimension': 61, 'number_of_hidden_layers': 2, 'dropout_rate': 0.30000012511249186, 'global_pooling': 'sum', 'learning_rate': 0.00023327655829687215, 'weight_decay': 0.0005703455128056773, 'beta_0': 0.8735297308854789, 'beta_1': 0.9904102380173152, 'epsilon': 9.031168488578178e-07, 'balanced_loss': False, 'epochs': 104, 'early_stopping_patience': 12, 'plateau_patience': 21, 'plateau_divider': 3}. Best is trial 114 with value: 0.6435809112265517.
[I 2024-11-14 16:22:34,498] Trial 155 finished with value: 0.6164936520277224 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8626534312011485, 'batch_size': 108, 'attention_heads': 10, 'hidden_dimension': 83, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3286275811824918, 'global_pooling': 'max', 'learning_rate': 0.00028834546149035094, 'weight_decay': 0.0004950842558776111, 'beta_0': 0.8791166846973903, 'beta_1': 0.9887657531686804, 'epsilon': 6.790365436799151e-07, 'balanced_loss': False, 'epochs': 109, 'early_stopping_patience': 23, 'plateau_patience': 22, 'plateau_divider': 2}. Best is trial 114 with value: 0.6435809112265517.
