[I 2024-11-13 23:38:40,756] Using an existing study with name 'Ohsumed-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (611 > 512). Running this sequence through the model will result in indexing errors
[I 2024-11-13 23:55:22,315] Trial 55 finished with value: 0.5947971495413724 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.870297879299208, 'batch_size': 53, 'attention_heads': 13, 'hidden_dimension': 112, 'number_of_hidden_layers': 3, 'dropout_rate': 0.3399126268916518, 'global_pooling': 'mean', 'learning_rate': 0.0001263927668537034, 'weight_decay': 0.00025951662929191605, 'beta_0': 0.8774099743966011, 'beta_1': 0.998089733453235, 'epsilon': 1.8140375094478907e-07, 'balanced_loss': False, 'epochs': 107, 'early_stopping_patience': 19, 'plateau_patience': 15, 'plateau_divider': 5}. Best is trial 20 with value: 0.6249205069734698.
[I 2024-11-14 02:10:41,202] Trial 65 finished with value: 0.5914225536054151 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8985943258035152, 'batch_size': 54, 'attention_heads': 12, 'hidden_dimension': 162, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5137678866687565, 'global_pooling': 'mean', 'learning_rate': 0.0002884119424144233, 'weight_decay': 0.0008119912928203108, 'beta_0': 0.8887403278709938, 'beta_1': 0.997474252587053, 'epsilon': 5.056305358558661e-07, 'balanced_loss': False, 'epochs': 104, 'early_stopping_patience': 20, 'plateau_patience': 18, 'plateau_divider': 6}. Best is trial 56 with value: 0.6258363326360883.
The selected strides are greater or equal to the total chunk size.
[I 2024-11-14 02:10:43,008] Trial 66 finished with value: -1.0 and parameters: {'left_stride': 256, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9402854819946833, 'batch_size': 42, 'attention_heads': 11, 'hidden_dimension': 142, 'number_of_hidden_layers': 2, 'dropout_rate': 0.47865154982166225, 'global_pooling': 'mean', 'learning_rate': 0.00010231970114908556, 'weight_decay': 0.0005844221998753422, 'beta_0': 0.8868482061036022, 'beta_1': 0.9970302877392176, 'epsilon': 3.7091043131005335e-07, 'balanced_loss': False, 'epochs': 91, 'early_stopping_patience': 19, 'plateau_patience': 17, 'plateau_divider': 6}. Best is trial 56 with value: 0.6258363326360883.
[I 2024-11-14 02:26:44,351] Trial 67 finished with value: 0.610692015873783 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8827601241798946, 'batch_size': 61, 'attention_heads': 13, 'hidden_dimension': 124, 'number_of_hidden_layers': 2, 'dropout_rate': 0.44553294879842864, 'global_pooling': 'mean', 'learning_rate': 0.0001855693876651013, 'weight_decay': 0.00019994188827443478, 'beta_0': 0.8898750846328463, 'beta_1': 0.9953101273410448, 'epsilon': 7.055767279290593e-07, 'balanced_loss': False, 'epochs': 80, 'early_stopping_patience': 21, 'plateau_patience': 19, 'plateau_divider': 6}. Best is trial 56 with value: 0.6258363326360883.
[I 2024-11-14 02:41:06,512] Trial 68 finished with value: 0.5915251226812819 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9200682945943507, 'batch_size': 48, 'attention_heads': 11, 'hidden_dimension': 181, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4997866466555458, 'global_pooling': 'mean', 'learning_rate': 0.000369206692097827, 'weight_decay': 2.8930740972925227e-06, 'beta_0': 0.8551013458018368, 'beta_1': 0.9960098304447292, 'epsilon': 1.3637490038237092e-06, 'balanced_loss': False, 'epochs': 111, 'early_stopping_patience': 20, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 56 with value: 0.6258363326360883.
[I 2024-11-14 03:00:30,265] Trial 69 finished with value: 0.5717096298099384 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.9053001048628865, 'batch_size': 32, 'attention_heads': 12, 'hidden_dimension': 191, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4608503610305834, 'global_pooling': 'mean', 'learning_rate': 0.00013838281122226356, 'weight_decay': 0.00032248534431291185, 'beta_0': 0.8995985821469734, 'beta_1': 0.9943071186707231, 'epsilon': 1.2134534653651778e-07, 'balanced_loss': False, 'epochs': 126, 'early_stopping_patience': 18, 'plateau_patience': 18, 'plateau_divider': 7}. Best is trial 56 with value: 0.6258363326360883.
[I 2024-11-14 03:11:47,606] Trial 70 finished with value: 0.6066591597188898 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.92188044932457, 'batch_size': 52, 'attention_heads': 11, 'hidden_dimension': 109, 'number_of_hidden_layers': 2, 'dropout_rate': 0.42065568530486896, 'global_pooling': 'mean', 'learning_rate': 0.001543706051884488, 'weight_decay': 0.00013719131030261048, 'beta_0': 0.8816486105475821, 'beta_1': 0.9969538140306926, 'epsilon': 9.105603671079562e-08, 'balanced_loss': False, 'epochs': 102, 'early_stopping_patience': 22, 'plateau_patience': 15, 'plateau_divider': 5}. Best is trial 56 with value: 0.6258363326360883.
[I 2024-11-14 03:25:24,194] Trial 71 finished with value: 0.5067523849439263 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9119899170036969, 'batch_size': 56, 'attention_heads': 15, 'hidden_dimension': 171, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5255688225771995, 'global_pooling': 'sum', 'learning_rate': 0.0006186834148244343, 'weight_decay': 0.0005380388060844522, 'beta_0': 0.8449513180486313, 'beta_1': 0.9984769230758885, 'epsilon': 5.66891615474518e-08, 'balanced_loss': False, 'epochs': 185, 'early_stopping_patience': 16, 'plateau_patience': 17, 'plateau_divider': 6}. Best is trial 56 with value: 0.6258363326360883.
[I 2024-11-14 03:39:01,721] Trial 72 finished with value: 0.6027686647930893 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.849820623833182, 'batch_size': 88, 'attention_heads': 4, 'hidden_dimension': 151, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5102664884571734, 'global_pooling': 'mean', 'learning_rate': 0.00024969155558723677, 'weight_decay': 0.0004551924723230439, 'beta_0': 0.8753194820351163, 'beta_1': 0.9920793355068153, 'epsilon': 2.1645881419591683e-06, 'balanced_loss': False, 'epochs': 114, 'early_stopping_patience': 19, 'plateau_patience': 19, 'plateau_divider': 5}. Best is trial 56 with value: 0.6258363326360883.
[I 2024-11-14 03:58:48,892] Trial 73 finished with value: 0.536368726983155 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.8229768450284284, 'batch_size': 45, 'attention_heads': 10, 'hidden_dimension': 161, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4871715045055067, 'global_pooling': 'mean', 'learning_rate': 0.0008101012319966773, 'weight_decay': 9.153368826908066e-05, 'beta_0': 0.8936664821139693, 'beta_1': 0.9947874064853015, 'epsilon': 1.9485940034223054e-07, 'balanced_loss': True, 'epochs': 108, 'early_stopping_patience': 21, 'plateau_patience': 23, 'plateau_divider': 8}. Best is trial 56 with value: 0.6258363326360883.
[I 2024-11-14 04:11:47,470] Trial 74 finished with value: 0.6074418450431855 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.892097943704524, 'batch_size': 50, 'attention_heads': 12, 'hidden_dimension': 94, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4731471802679363, 'global_pooling': 'mean', 'learning_rate': 0.00037310875480813964, 'weight_decay': 0.0001792945011815487, 'beta_0': 0.877660654410947, 'beta_1': 0.9960377034785696, 'epsilon': 5.843063453344341e-07, 'balanced_loss': False, 'epochs': 120, 'early_stopping_patience': 24, 'plateau_patience': 16, 'plateau_divider': 6}. Best is trial 56 with value: 0.6258363326360883.
[I 2024-11-14 04:29:37,571] Trial 75 finished with value: 0.6135270972250507 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8215197922997021, 'batch_size': 56, 'attention_heads': 10, 'hidden_dimension': 134, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5060954702146057, 'global_pooling': 'mean', 'learning_rate': 0.00031854223252393386, 'weight_decay': 0.000730765481199162, 'beta_0': 0.8915649103688238, 'beta_1': 0.9977645367784674, 'epsilon': 3.201099454420247e-07, 'balanced_loss': False, 'epochs': 119, 'early_stopping_patience': 23, 'plateau_patience': 20, 'plateau_divider': 2}. Best is trial 56 with value: 0.6258363326360883.
[I 2024-11-14 04:46:18,337] Trial 76 finished with value: 0.6023955254507477 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8319971998087413, 'batch_size': 59, 'attention_heads': 9, 'hidden_dimension': 137, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5466457634274698, 'global_pooling': 'mean', 'learning_rate': 0.0002132137343970513, 'weight_decay': 0.0009597080651768849, 'beta_0': 0.8907448819110168, 'beta_1': 0.9980441480325329, 'epsilon': 4.3545421851523987e-07, 'balanced_loss': False, 'epochs': 138, 'early_stopping_patience': 23, 'plateau_patience': 20, 'plateau_divider': 2}. Best is trial 56 with value: 0.6258363326360883.
[I 2024-11-14 05:04:02,377] Trial 77 finished with value: 0.61161768403467 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.800697876119878, 'batch_size': 42, 'attention_heads': 10, 'hidden_dimension': 132, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5002207035061725, 'global_pooling': 'mean', 'learning_rate': 0.0005210805504122513, 'weight_decay': 0.000776545839387673, 'beta_0': 0.8860927462246947, 'beta_1': 0.9972247924504954, 'epsilon': 2.6132344850036886e-07, 'balanced_loss': False, 'epochs': 99, 'early_stopping_patience': 25, 'plateau_patience': 18, 'plateau_divider': 2}. Best is trial 56 with value: 0.6258363326360883.
[I 2024-11-14 05:20:17,045] Trial 78 finished with value: 0.6029229321858144 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8413424668027205, 'batch_size': 54, 'attention_heads': 10, 'hidden_dimension': 120, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5352403586665998, 'global_pooling': 'mean', 'learning_rate': 9.063971413518698e-05, 'weight_decay': 0.00036240790699224685, 'beta_0': 0.895703427641127, 'beta_1': 0.989316840733982, 'epsilon': 9.030321789998337e-07, 'balanced_loss': False, 'epochs': 94, 'early_stopping_patience': 21, 'plateau_patience': 10, 'plateau_divider': 2}. Best is trial 56 with value: 0.6258363326360883.
CUDA out of memory. Tried to allocate 1.80 GiB. GPU 0 has a total capacity of 44.56 GiB of which 1.60 GiB is free. Including non-PyTorch memory, this process has 42.95 GiB memory in use. Of the allocated memory 40.35 GiB is allocated by PyTorch, and 1.45 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-11-14 05:30:44,409] Trial 79 finished with value: -1.0 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8141366047865511, 'batch_size': 64, 'attention_heads': 11, 'hidden_dimension': 152, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5549283560052485, 'global_pooling': 'mean', 'learning_rate': 0.0025793209616112424, 'weight_decay': 0.0005781182229263466, 'beta_0': 0.8919998389301487, 'beta_1': 0.9981579738466156, 'epsilon': 1.5078656072036174e-07, 'balanced_loss': False, 'epochs': 123, 'early_stopping_patience': 22, 'plateau_patience': 11, 'plateau_divider': 3}. Best is trial 56 with value: 0.6258363326360883.
[I 2024-11-14 05:46:06,182] Trial 80 finished with value: 0.6132349328575823 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8662825989401498, 'batch_size': 48, 'attention_heads': 13, 'hidden_dimension': 102, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4869155082141444, 'global_pooling': 'mean', 'learning_rate': 0.00027971442575214055, 'weight_decay': 0.0007883475530468795, 'beta_0': 0.8801736519348183, 'beta_1': 0.9966733239814868, 'epsilon': 2.7897843866310824e-07, 'balanced_loss': False, 'epochs': 116, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 4}. Best is trial 56 with value: 0.6258363326360883.
[I 2024-11-14 06:06:39,876] Trial 81 finished with value: 0.5841594139311043 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8655960356716558, 'batch_size': 49, 'attention_heads': 13, 'hidden_dimension': 105, 'number_of_hidden_layers': 4, 'dropout_rate': 0.48519193491656826, 'global_pooling': 'mean', 'learning_rate': 0.0001740049456814656, 'weight_decay': 0.0007891419050268494, 'beta_0': 0.8842527960294341, 'beta_1': 0.9963268962966557, 'epsilon': 3.4685321314492854e-08, 'balanced_loss': False, 'epochs': 128, 'early_stopping_patience': 24, 'plateau_patience': 22, 'plateau_divider': 4}. Best is trial 56 with value: 0.6258363326360883.
[I 2024-11-14 06:22:01,862] Trial 82 finished with value: 0.593063473559268 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8536226695228681, 'batch_size': 38, 'attention_heads': 13, 'hidden_dimension': 112, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5172643467977186, 'global_pooling': 'mean', 'learning_rate': 0.0015729632878352705, 'weight_decay': 5.8418581211708484e-05, 'beta_0': 0.8807610077581486, 'beta_1': 0.993622627082635, 'epsilon': 6.48524693232696e-08, 'balanced_loss': False, 'epochs': 115, 'early_stopping_patience': 23, 'plateau_patience': 21, 'plateau_divider': 3}. Best is trial 56 with value: 0.6258363326360883.
[I 2024-11-14 06:37:25,499] Trial 83 finished with value: 0.5826050817922741 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8361178664378267, 'batch_size': 75, 'attention_heads': 14, 'hidden_dimension': 88, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4493393147337356, 'global_pooling': 'mean', 'learning_rate': 0.00012110087967927921, 'weight_decay': 0.0006587062355070656, 'beta_0': 0.8752234250159521, 'beta_1': 0.9953554660220645, 'epsilon': 2.7513220797924565e-07, 'balanced_loss': False, 'epochs': 118, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 4}. Best is trial 56 with value: 0.6258363326360883.
[I 2024-11-14 06:51:13,601] Trial 84 finished with value: 0.027445104549685247 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8082040712805391, 'batch_size': 70, 'attention_heads': 5, 'hidden_dimension': 127, 'number_of_hidden_layers': 3, 'dropout_rate': 0.47084933022314046, 'global_pooling': 'max', 'learning_rate': 0.005038854131885984, 'weight_decay': 0.00024821464338159466, 'beta_0': 0.8966340610687648, 'beta_1': 0.9986323585524584, 'epsilon': 2.1863959843927304e-08, 'balanced_loss': True, 'epochs': 131, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 4}. Best is trial 56 with value: 0.6258363326360883.
[I 2024-11-14 07:07:33,039] Trial 85 finished with value: 0.6235034518229454 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8769780414965707, 'batch_size': 44, 'attention_heads': 12, 'hidden_dimension': 146, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4969638407534966, 'global_pooling': 'mean', 'learning_rate': 0.0003032030691790624, 'weight_decay': 0.0004923404515880456, 'beta_0': 0.8867028074931751, 'beta_1': 0.9975408151065094, 'epsilon': 3.855669775010382e-07, 'balanced_loss': False, 'epochs': 109, 'early_stopping_patience': 23, 'plateau_patience': 19, 'plateau_divider': 7}. Best is trial 56 with value: 0.6258363326360883.
[I 2024-11-14 07:23:36,990] Trial 86 finished with value: 0.602938892020371 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8780314051092444, 'batch_size': 40, 'attention_heads': 12, 'hidden_dimension': 143, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4964617573018441, 'global_pooling': 'mean', 'learning_rate': 0.0003317427026251341, 'weight_decay': 0.00043436032132742426, 'beta_0': 0.8878340226107782, 'beta_1': 0.9977804443202404, 'epsilon': 1.5062839809164525e-08, 'balanced_loss': False, 'epochs': 111, 'early_stopping_patience': 23, 'plateau_patience': 19, 'plateau_divider': 7}. Best is trial 56 with value: 0.6258363326360883.
[I 2024-11-14 07:39:13,334] Trial 87 finished with value: 0.591950038140092 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8607952191166698, 'batch_size': 47, 'attention_heads': 11, 'hidden_dimension': 132, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5095611330313302, 'global_pooling': 'mean', 'learning_rate': 0.0009004017481271338, 'weight_decay': 0.000992788785061618, 'beta_0': 0.8356856709692758, 'beta_1': 0.9967544672530608, 'epsilon': 2.1473543880905246e-07, 'balanced_loss': False, 'epochs': 89, 'early_stopping_patience': 23, 'plateau_patience': 23, 'plateau_divider': 3}. Best is trial 56 with value: 0.6258363326360883.
[I 2024-11-14 07:53:12,352] Trial 88 finished with value: 0.5875605268277598 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8680141857505919, 'batch_size': 43, 'attention_heads': 10, 'hidden_dimension': 114, 'number_of_hidden_layers': 2, 'dropout_rate': 0.484620074865624, 'global_pooling': 'mean', 'learning_rate': 0.00047239941418889816, 'weight_decay': 0.00031285058570731093, 'beta_0': 0.8913555227426695, 'beta_1': 0.9871971203665446, 'epsilon': 3.363427816291021e-07, 'balanced_loss': False, 'epochs': 107, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 56 with value: 0.6258363326360883.
CUDA out of memory. Tried to allocate 1.92 GiB. GPU 0 has a total capacity of 44.56 GiB of which 672.69 MiB is free. Including non-PyTorch memory, this process has 43.90 GiB memory in use. Of the allocated memory 41.53 GiB is allocated by PyTorch, and 1.22 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
