[I 2024-11-15 06:30:19,532] Using an existing study with name 'Ohsumed-GAT-google-bert-bert-base-uncased-Grouped-No_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (611 > 512). Running this sequence through the model will result in indexing errors
[I 2024-11-15 06:43:47,635] Trial 192 finished with value: 0.5985122207411514 and parameters: {'left_stride': 256, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8363288452241344, 'batch_size': 95, 'attention_heads': 15, 'hidden_dimension': 98, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3007932246459075, 'global_pooling': 'max', 'learning_rate': 0.0007279032363544672, 'weight_decay': 0.00020046636405982312, 'beta_0': 0.8849746220639059, 'beta_1': 0.9887486936822794, 'epsilon': 2.8110020894865536e-07, 'balanced_loss': False, 'epochs': 129, 'early_stopping_patience': 21, 'plateau_patience': 20, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 09:03:32,690] Trial 203 finished with value: 0.5291635804735639 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.8646962397555525, 'batch_size': 88, 'attention_heads': 10, 'hidden_dimension': 93, 'number_of_hidden_layers': 2, 'dropout_rate': 0.31863010039914874, 'global_pooling': 'max', 'learning_rate': 0.0001791318877338716, 'weight_decay': 0.0006703282414680504, 'beta_0': 0.8776769739532605, 'beta_1': 0.9859380477349463, 'epsilon': 5.471381099417702e-07, 'balanced_loss': False, 'epochs': 125, 'early_stopping_patience': 22, 'plateau_patience': 20, 'plateau_divider': 4}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 09:16:23,191] Trial 204 finished with value: 0.6093427811742844 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8387569301636535, 'batch_size': 96, 'attention_heads': 16, 'hidden_dimension': 80, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3467470520225459, 'global_pooling': 'max', 'learning_rate': 0.00035300715415195283, 'weight_decay': 0.0005138021794988399, 'beta_0': 0.8859104693830748, 'beta_1': 0.9866632859595628, 'epsilon': 1.6309575147378623e-07, 'balanced_loss': False, 'epochs': 95, 'early_stopping_patience': 21, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 09:28:06,470] Trial 205 finished with value: 0.6252682758599117 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.844722025170747, 'batch_size': 81, 'attention_heads': 10, 'hidden_dimension': 106, 'number_of_hidden_layers': 2, 'dropout_rate': 0.311398148120077, 'global_pooling': 'max', 'learning_rate': 0.000647275229060897, 'weight_decay': 0.0003961756246069157, 'beta_0': 0.8731076937158826, 'beta_1': 0.9887932253262722, 'epsilon': 4.0830520711505716e-07, 'balanced_loss': False, 'epochs': 131, 'early_stopping_patience': 21, 'plateau_patience': 20, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
CUDA out of memory. Tried to allocate 2.72 GiB. GPU 0 has a total capacity of 44.56 GiB of which 676.69 MiB is free. Including non-PyTorch memory, this process has 43.89 GiB memory in use. Of the allocated memory 40.38 GiB is allocated by PyTorch, and 2.36 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-11-15 09:36:43,014] Trial 206 finished with value: -1.0 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8423465274975794, 'batch_size': 101, 'attention_heads': 10, 'hidden_dimension': 250, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3037350693065567, 'global_pooling': 'sum', 'learning_rate': 0.0006119359466490452, 'weight_decay': 0.00037663622261431047, 'beta_0': 0.8739531020292989, 'beta_1': 0.9888184953209029, 'epsilon': 3.1610167273507563e-07, 'balanced_loss': False, 'epochs': 132, 'early_stopping_patience': 21, 'plateau_patience': 23, 'plateau_divider': 5}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 09:48:55,120] Trial 207 finished with value: 0.6214117399095206 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8466866814831614, 'batch_size': 78, 'attention_heads': 10, 'hidden_dimension': 108, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3121492592542531, 'global_pooling': 'max', 'learning_rate': 0.0004500592086027495, 'weight_decay': 0.00040751543443032044, 'beta_0': 0.8711442962049413, 'beta_1': 0.9886315904153128, 'epsilon': 4.016470978586173e-07, 'balanced_loss': False, 'epochs': 129, 'early_stopping_patience': 21, 'plateau_patience': 20, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 10:00:47,201] Trial 208 finished with value: 0.6162777686385604 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.845836565363287, 'batch_size': 78, 'attention_heads': 10, 'hidden_dimension': 107, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3109365087694267, 'global_pooling': 'max', 'learning_rate': 0.00072895509519596, 'weight_decay': 1.476624792687571e-06, 'beta_0': 0.8701004034761021, 'beta_1': 0.9884634796239099, 'epsilon': 4.1001820511528003e-07, 'balanced_loss': False, 'epochs': 131, 'early_stopping_patience': 22, 'plateau_patience': 21, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 10:13:06,408] Trial 209 finished with value: 0.6200383983033635 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8382347218466966, 'batch_size': 81, 'attention_heads': 10, 'hidden_dimension': 115, 'number_of_hidden_layers': 2, 'dropout_rate': 0.31584096188601885, 'global_pooling': 'max', 'learning_rate': 0.0004892236406070975, 'weight_decay': 0.0003981093159392536, 'beta_0': 0.866926841084209, 'beta_1': 0.9895666311846969, 'epsilon': 2.8229349309526684e-07, 'balanced_loss': False, 'epochs': 129, 'early_stopping_patience': 21, 'plateau_patience': 20, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 10:24:44,568] Trial 210 finished with value: 0.6122992895119703 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8478459869378876, 'batch_size': 84, 'attention_heads': 9, 'hidden_dimension': 103, 'number_of_hidden_layers': 2, 'dropout_rate': 0.322451555784458, 'global_pooling': 'max', 'learning_rate': 0.0006104370469000174, 'weight_decay': 0.0002986665776323768, 'beta_0': 0.8712056530881058, 'beta_1': 0.9900395922836289, 'epsilon': 3.712092995833485e-07, 'balanced_loss': False, 'epochs': 125, 'early_stopping_patience': 20, 'plateau_patience': 20, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 10:37:40,891] Trial 211 finished with value: 0.6104563345783374 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8688335681148059, 'batch_size': 98, 'attention_heads': 10, 'hidden_dimension': 149, 'number_of_hidden_layers': 2, 'dropout_rate': 0.30997592503298865, 'global_pooling': 'max', 'learning_rate': 0.00043314105350639095, 'weight_decay': 0.00045382579685580534, 'beta_0': 0.87319321212135, 'beta_1': 0.9890038273447598, 'epsilon': 6.484249493460025e-07, 'balanced_loss': False, 'epochs': 135, 'early_stopping_patience': 22, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 10:49:23,383] Trial 212 finished with value: 0.6258480014263279 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.843392414902146, 'batch_size': 75, 'attention_heads': 10, 'hidden_dimension': 97, 'number_of_hidden_layers': 2, 'dropout_rate': 0.30048933307714054, 'global_pooling': 'max', 'learning_rate': 0.0002995647831710651, 'weight_decay': 0.0003208536586277412, 'beta_0': 0.8687725202010878, 'beta_1': 0.9887482656392462, 'epsilon': 5.261865586419035e-07, 'balanced_loss': False, 'epochs': 121, 'early_stopping_patience': 19, 'plateau_patience': 20, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 11:01:28,191] Trial 213 finished with value: 0.6204019224768619 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8440175293407521, 'batch_size': 75, 'attention_heads': 10, 'hidden_dimension': 106, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3052668811849568, 'global_pooling': 'max', 'learning_rate': 0.000293405378611784, 'weight_decay': 0.00033402742007346574, 'beta_0': 0.8693175523902749, 'beta_1': 0.9887151904358851, 'epsilon': 5.039783599154603e-07, 'balanced_loss': False, 'epochs': 116, 'early_stopping_patience': 19, 'plateau_patience': 20, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 11:14:02,080] Trial 214 finished with value: 0.6110353786446536 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8292622963103615, 'batch_size': 72, 'attention_heads': 10, 'hidden_dimension': 111, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3003369341237389, 'global_pooling': 'max', 'learning_rate': 0.0002243489998203399, 'weight_decay': 0.00026391411376131896, 'beta_0': 0.8656327903135168, 'beta_1': 0.9881814796650752, 'epsilon': 7.911519591921358e-07, 'balanced_loss': False, 'epochs': 121, 'early_stopping_patience': 19, 'plateau_patience': 20, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 11:26:32,769] Trial 215 finished with value: 0.6234925257375834 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8393103931046589, 'batch_size': 80, 'attention_heads': 10, 'hidden_dimension': 120, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3122231036969289, 'global_pooling': 'max', 'learning_rate': 0.00038106276572213494, 'weight_decay': 0.0002372413275045185, 'beta_0': 0.8829720637453695, 'beta_1': 0.9893000936582736, 'epsilon': 5.815805425948404e-07, 'balanced_loss': False, 'epochs': 125, 'early_stopping_patience': 19, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 11:38:38,732] Trial 216 finished with value: 0.6347044261929858 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8347324769131024, 'batch_size': 78, 'attention_heads': 9, 'hidden_dimension': 125, 'number_of_hidden_layers': 2, 'dropout_rate': 0.30611136076843337, 'global_pooling': 'max', 'learning_rate': 0.0003131610903429476, 'weight_decay': 0.00026376713996005975, 'beta_0': 0.8725305026528675, 'beta_1': 0.9893688661458984, 'epsilon': 6.515334585924802e-07, 'balanced_loss': False, 'epochs': 125, 'early_stopping_patience': 19, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 11:51:18,503] Trial 217 finished with value: 0.6089920976706569 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8331908300211668, 'batch_size': 78, 'attention_heads': 9, 'hidden_dimension': 133, 'number_of_hidden_layers': 2, 'dropout_rate': 0.31012215003813237, 'global_pooling': 'max', 'learning_rate': 0.0003149238331349666, 'weight_decay': 0.00024530912449360675, 'beta_0': 0.8722163087436519, 'beta_1': 0.9893943599316573, 'epsilon': 6.031836149383594e-07, 'balanced_loss': False, 'epochs': 126, 'early_stopping_patience': 19, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 12:03:45,419] Trial 218 finished with value: 0.612443700368025 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8390311434663934, 'batch_size': 80, 'attention_heads': 9, 'hidden_dimension': 127, 'number_of_hidden_layers': 2, 'dropout_rate': 0.30448234102122257, 'global_pooling': 'max', 'learning_rate': 0.00023806999213377847, 'weight_decay': 0.00030281091438110245, 'beta_0': 0.8679338521393678, 'beta_1': 0.9898123534485951, 'epsilon': 7.334611817891117e-07, 'balanced_loss': False, 'epochs': 129, 'early_stopping_patience': 19, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 12:15:52,980] Trial 219 finished with value: 0.6249948648479023 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.835705139370906, 'batch_size': 76, 'attention_heads': 9, 'hidden_dimension': 123, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3183090283738671, 'global_pooling': 'max', 'learning_rate': 0.00039822072300751634, 'weight_decay': 0.00024009846255985563, 'beta_0': 0.8732587860343394, 'beta_1': 0.9891184990147149, 'epsilon': 5.588643265951235e-07, 'balanced_loss': False, 'epochs': 123, 'early_stopping_patience': 18, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 12:27:54,566] Trial 220 finished with value: 0.6036913153560356 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8355922103007029, 'batch_size': 76, 'attention_heads': 9, 'hidden_dimension': 117, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3192215839975141, 'global_pooling': 'max', 'learning_rate': 0.0003694052101004374, 'weight_decay': 0.0002351872979617767, 'beta_0': 0.8745190133130326, 'beta_1': 0.9891394898460748, 'epsilon': 5.665957116108205e-07, 'balanced_loss': False, 'epochs': 124, 'early_stopping_patience': 18, 'plateau_patience': 18, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 12:40:55,202] Trial 221 finished with value: 0.6146681822884666 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8283568149712578, 'batch_size': 77, 'attention_heads': 9, 'hidden_dimension': 138, 'number_of_hidden_layers': 2, 'dropout_rate': 0.324778297204057, 'global_pooling': 'max', 'learning_rate': 0.00027931835523431855, 'weight_decay': 0.00015620119876576263, 'beta_0': 0.8710419600351562, 'beta_1': 0.9891750230413486, 'epsilon': 8.737182002492908e-07, 'balanced_loss': False, 'epochs': 131, 'early_stopping_patience': 18, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 12:52:50,994] Trial 222 finished with value: 0.622493887598717 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8401536873134073, 'batch_size': 74, 'attention_heads': 8, 'hidden_dimension': 121, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3141899926233299, 'global_pooling': 'max', 'learning_rate': 0.00038500630613004776, 'weight_decay': 0.00019808530086499516, 'beta_0': 0.873442412949828, 'beta_1': 0.9883720438970927, 'epsilon': 5.108195479776347e-07, 'balanced_loss': False, 'epochs': 124, 'early_stopping_patience': 18, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 13:04:38,146] Trial 223 finished with value: 0.6077271890243826 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8361171816866433, 'batch_size': 71, 'attention_heads': 8, 'hidden_dimension': 123, 'number_of_hidden_layers': 2, 'dropout_rate': 0.31842664603837556, 'global_pooling': 'max', 'learning_rate': 0.0003330396774764748, 'weight_decay': 0.00021317925102942525, 'beta_0': 0.8738021478578133, 'beta_1': 0.9882871375430835, 'epsilon': 6.655774336348243e-07, 'balanced_loss': True, 'epochs': 117, 'early_stopping_patience': 18, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 13:16:11,396] Trial 224 finished with value: 0.5949967195712231 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8230334020949658, 'batch_size': 75, 'attention_heads': 8, 'hidden_dimension': 124, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3255418473113868, 'global_pooling': 'max', 'learning_rate': 0.00037589187257470785, 'weight_decay': 0.0002284270534477335, 'beta_0': 0.876596350811204, 'beta_1': 0.9889261722294064, 'epsilon': 5.289663287675008e-07, 'balanced_loss': False, 'epochs': 124, 'early_stopping_patience': 17, 'plateau_patience': 18, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 13:28:00,450] Trial 225 finished with value: 0.6153541826594243 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8410714949666481, 'batch_size': 74, 'attention_heads': 8, 'hidden_dimension': 120, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3308927996924379, 'global_pooling': 'max', 'learning_rate': 0.00025598161591744087, 'weight_decay': 0.0002760034048733557, 'beta_0': 0.8777346430742569, 'beta_1': 0.9894440257067761, 'epsilon': 4.7175688779808315e-07, 'balanced_loss': False, 'epochs': 120, 'early_stopping_patience': 18, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
[I 2024-11-15 13:43:45,559] Trial 226 finished with value: 0.604934048811814 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8305272779784166, 'batch_size': 69, 'attention_heads': 16, 'hidden_dimension': 129, 'number_of_hidden_layers': 2, 'dropout_rate': 0.31617721197656745, 'global_pooling': 'max', 'learning_rate': 0.00020473675135921563, 'weight_decay': 0.0001792749734945917, 'beta_0': 0.8751419918610922, 'beta_1': 0.9879728336387321, 'epsilon': 6.383614142873942e-07, 'balanced_loss': False, 'epochs': 126, 'early_stopping_patience': 19, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 168 with value: 0.6586627478320549.
