[I 2024-12-04 10:48:56,416] Using an existing study with name 'Ohsumed-GATv2-xlnet-xlnet-base-cased-Grouped-No_Aggregation' instead of creating a new one.
[I 2024-12-04 11:07:47,541] Trial 177 finished with value: 0.5594853693070184 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8162888424088105, 'batch_size': 89, 'attention_heads': 5, 'hidden_dimension': 179, 'number_of_hidden_layers': 1, 'dropout_rate': 0.35826118309941773, 'global_pooling': 'mean', 'learning_rate': 0.00128300482062285, 'weight_decay': 9.652624869215323e-06, 'beta_0': 0.8286363772962065, 'beta_1': 0.9887392118364018, 'epsilon': 2.7529179122633776e-08, 'balanced_loss': True, 'epochs': 101, 'early_stopping_patience': 22, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-04 13:57:27,746] Trial 187 finished with value: 0.5602159436864931 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8175394263583599, 'batch_size': 93, 'attention_heads': 5, 'hidden_dimension': 185, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3450604492199764, 'global_pooling': 'mean', 'learning_rate': 0.001341231796531543, 'weight_decay': 3.113596968471748e-05, 'beta_0': 0.8946254622314894, 'beta_1': 0.9882769314847601, 'epsilon': 2.8682203892467212e-08, 'balanced_loss': True, 'epochs': 92, 'early_stopping_patience': 20, 'plateau_patience': 18, 'plateau_divider': 2}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-04 14:15:00,576] Trial 188 finished with value: 0.593271943072696 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8279367691764136, 'batch_size': 74, 'attention_heads': 4, 'hidden_dimension': 173, 'number_of_hidden_layers': 1, 'dropout_rate': 0.32223118207450235, 'global_pooling': 'mean', 'learning_rate': 0.001128605563110339, 'weight_decay': 3.699546553613037e-05, 'beta_0': 0.8988535283848831, 'beta_1': 0.9875249829291053, 'epsilon': 4.3225492898071e-08, 'balanced_loss': True, 'epochs': 89, 'early_stopping_patience': 21, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-04 14:32:06,312] Trial 189 finished with value: 0.5785743523968447 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8276780817066329, 'batch_size': 72, 'attention_heads': 4, 'hidden_dimension': 177, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3294002015964259, 'global_pooling': 'mean', 'learning_rate': 0.0011163108152400932, 'weight_decay': 3.461095572599368e-05, 'beta_0': 0.8982016293930806, 'beta_1': 0.9914096888313986, 'epsilon': 4.163007286610022e-08, 'balanced_loss': True, 'epochs': 89, 'early_stopping_patience': 21, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-04 14:48:00,277] Trial 190 finished with value: 0.56154141720548 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.82513573682627, 'batch_size': 74, 'attention_heads': 4, 'hidden_dimension': 166, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3230045747165882, 'global_pooling': 'mean', 'learning_rate': 0.001559550377753028, 'weight_decay': 3.8874139814231794e-05, 'beta_0': 0.8952849002680654, 'beta_1': 0.9878677669521182, 'epsilon': 2.3552464451460498e-08, 'balanced_loss': True, 'epochs': 97, 'early_stopping_patience': 22, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-04 15:08:24,267] Trial 191 finished with value: 0.58573540232084 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8211023463879955, 'batch_size': 70, 'attention_heads': 5, 'hidden_dimension': 173, 'number_of_hidden_layers': 1, 'dropout_rate': 0.33887460937814445, 'global_pooling': 'mean', 'learning_rate': 0.001065583227398947, 'weight_decay': 5.330032864248379e-06, 'beta_0': 0.8923845881955904, 'beta_1': 0.9899872060365185, 'epsilon': 1.6311430649158266e-08, 'balanced_loss': True, 'epochs': 87, 'early_stopping_patience': 21, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-04 15:24:54,283] Trial 192 finished with value: 0.5646754769625025 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8136344652294994, 'batch_size': 86, 'attention_heads': 4, 'hidden_dimension': 158, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3173845590640303, 'global_pooling': 'mean', 'learning_rate': 0.0013429530643729978, 'weight_decay': 1.9521880219849128e-05, 'beta_0': 0.8972425719384283, 'beta_1': 0.9855143505562616, 'epsilon': 5.738319337103225e-08, 'balanced_loss': True, 'epochs': 100, 'early_stopping_patience': 13, 'plateau_patience': 18, 'plateau_divider': 2}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-04 15:42:46,523] Trial 193 finished with value: 0.5866127177737056 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8166232704210836, 'batch_size': 78, 'attention_heads': 4, 'hidden_dimension': 182, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3602899248992735, 'global_pooling': 'mean', 'learning_rate': 0.0011814609772874823, 'weight_decay': 2.5946800549799986e-05, 'beta_0': 0.8993872157057046, 'beta_1': 0.9875034216569706, 'epsilon': 3.13857893322906e-08, 'balanced_loss': True, 'epochs': 102, 'early_stopping_patience': 20, 'plateau_patience': 17, 'plateau_divider': 2}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-04 16:00:23,879] Trial 194 finished with value: 0.5749895155226195 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8126228162416849, 'batch_size': 96, 'attention_heads': 4, 'hidden_dimension': 173, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3449960576931919, 'global_pooling': 'mean', 'learning_rate': 0.0015639378127618616, 'weight_decay': 3.5314973326765066e-05, 'beta_0': 0.8911606334111556, 'beta_1': 0.9864528922129572, 'epsilon': 4.056831679433991e-08, 'balanced_loss': True, 'epochs': 94, 'early_stopping_patience': 21, 'plateau_patience': 20, 'plateau_divider': 2}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-04 16:18:12,422] Trial 195 finished with value: 0.5407541308815774 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8194987721529521, 'batch_size': 82, 'attention_heads': 4, 'hidden_dimension': 181, 'number_of_hidden_layers': 1, 'dropout_rate': 0.33420259347747056, 'global_pooling': 'mean', 'learning_rate': 0.0007869564570187801, 'weight_decay': 2.9850908160549797e-05, 'beta_0': 0.8892115957735104, 'beta_1': 0.9873792618336161, 'epsilon': 6.979916614400944e-08, 'balanced_loss': True, 'epochs': 98, 'early_stopping_patience': 22, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-04 16:35:20,838] Trial 196 finished with value: 0.6028214746380185 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8295613374096316, 'batch_size': 75, 'attention_heads': 4, 'hidden_dimension': 148, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3566566776248787, 'global_pooling': 'mean', 'learning_rate': 0.0010186214369235233, 'weight_decay': 1.4708455117168397e-05, 'beta_0': 0.8930322004410047, 'beta_1': 0.9852087303231478, 'epsilon': 4.900579052894286e-08, 'balanced_loss': True, 'epochs': 90, 'early_stopping_patience': 22, 'plateau_patience': 17, 'plateau_divider': 2}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-04 16:53:28,265] Trial 197 finished with value: 0.6026495605669159 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8307835010041447, 'batch_size': 76, 'attention_heads': 4, 'hidden_dimension': 151, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3414851370986216, 'global_pooling': 'mean', 'learning_rate': 0.0009724462226782936, 'weight_decay': 1.3926853668287679e-05, 'beta_0': 0.8938724417210355, 'beta_1': 0.9853291318197247, 'epsilon': 4.7836808122725696e-08, 'balanced_loss': True, 'epochs': 90, 'early_stopping_patience': 22, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-04 17:10:41,292] Trial 198 finished with value: 0.5994691888876791 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8351947196198011, 'batch_size': 76, 'attention_heads': 4, 'hidden_dimension': 150, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3419200717608217, 'global_pooling': 'mean', 'learning_rate': 0.0009316582345361303, 'weight_decay': 1.5100815683426998e-05, 'beta_0': 0.894721678861872, 'beta_1': 0.9853785322966928, 'epsilon': 4.8789926337190083e-08, 'balanced_loss': True, 'epochs': 91, 'early_stopping_patience': 22, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-04 17:27:05,541] Trial 199 finished with value: 0.5578058734938217 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8334946883610309, 'batch_size': 75, 'attention_heads': 4, 'hidden_dimension': 146, 'number_of_hidden_layers': 1, 'dropout_rate': 0.34244832841996914, 'global_pooling': 'mean', 'learning_rate': 0.0007579044268924345, 'weight_decay': 1.532908153747257e-05, 'beta_0': 0.8922140212447592, 'beta_1': 0.9853055037821395, 'epsilon': 5.0661572522948814e-08, 'balanced_loss': True, 'epochs': 92, 'early_stopping_patience': 22, 'plateau_patience': 16, 'plateau_divider': 2}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-04 17:44:05,011] Trial 200 finished with value: 0.5868811425208367 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8337406811126082, 'batch_size': 76, 'attention_heads': 4, 'hidden_dimension': 151, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3639676860759344, 'global_pooling': 'mean', 'learning_rate': 0.0009155171365526757, 'weight_decay': 1.4460315803822353e-05, 'beta_0': 0.8849322395692318, 'beta_1': 0.9848028821879675, 'epsilon': 5.5378966065017235e-08, 'balanced_loss': True, 'epochs': 95, 'early_stopping_patience': 22, 'plateau_patience': 20, 'plateau_divider': 2}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-04 18:00:14,204] Trial 201 finished with value: 0.5814818007147836 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8303813705475089, 'batch_size': 72, 'attention_heads': 4, 'hidden_dimension': 146, 'number_of_hidden_layers': 1, 'dropout_rate': 0.33751222761828126, 'global_pooling': 'mean', 'learning_rate': 0.0016992387638064424, 'weight_decay': 2.0396449974592163e-05, 'beta_0': 0.8907554903339431, 'beta_1': 0.9856086946436577, 'epsilon': 2.8618049146739797e-08, 'balanced_loss': True, 'epochs': 81, 'early_stopping_patience': 22, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-04 18:15:51,315] Trial 202 finished with value: 0.5343446047192338 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8379845891323294, 'batch_size': 76, 'attention_heads': 4, 'hidden_dimension': 156, 'number_of_hidden_layers': 1, 'dropout_rate': 0.32895206713918895, 'global_pooling': 'mean', 'learning_rate': 0.0010129613822962933, 'weight_decay': 1.6586051614759125e-05, 'beta_0': 0.8879533823891697, 'beta_1': 0.9852444820798203, 'epsilon': 4.336297554712501e-08, 'balanced_loss': True, 'epochs': 89, 'early_stopping_patience': 22, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-04 18:32:30,053] Trial 203 finished with value: 0.573345669002868 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8277896190220506, 'batch_size': 71, 'attention_heads': 4, 'hidden_dimension': 150, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3236779819644925, 'global_pooling': 'mean', 'learning_rate': 0.001398009244226929, 'weight_decay': 2.3711451424891524e-05, 'beta_0': 0.8950824687091067, 'beta_1': 0.9858299218725598, 'epsilon': 4.64215378998147e-08, 'balanced_loss': True, 'epochs': 85, 'early_stopping_patience': 22, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-04 18:49:22,433] Trial 204 finished with value: 0.5572432727035386 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8233972744794282, 'batch_size': 77, 'attention_heads': 4, 'hidden_dimension': 140, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3505218621647025, 'global_pooling': 'mean', 'learning_rate': 0.0009301635436478657, 'weight_decay': 1.2177120387794094e-05, 'beta_0': 0.8966099577089564, 'beta_1': 0.9848039170021426, 'epsilon': 3.691783143420529e-08, 'balanced_loss': True, 'epochs': 97, 'early_stopping_patience': 22, 'plateau_patience': 17, 'plateau_divider': 2}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-04 19:10:05,735] Trial 205 finished with value: 0.14131327412447764 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8290161455470891, 'batch_size': 74, 'attention_heads': 4, 'hidden_dimension': 156, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3409747665052248, 'global_pooling': 'mean', 'learning_rate': 1.0011048409199246e-05, 'weight_decay': 1.4451460469540998e-05, 'beta_0': 0.8929906388685508, 'beta_1': 0.984526660055582, 'epsilon': 2.154795310490856e-08, 'balanced_loss': True, 'epochs': 92, 'early_stopping_patience': 21, 'plateau_patience': 20, 'plateau_divider': 2}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-04 19:26:46,484] Trial 206 finished with value: 0.5921928221879167 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8359827304626121, 'batch_size': 67, 'attention_heads': 4, 'hidden_dimension': 161, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3564119287422463, 'global_pooling': 'mean', 'learning_rate': 0.0012152469410217877, 'weight_decay': 5.272409670030491e-05, 'beta_0': 0.8994729657166516, 'beta_1': 0.9863169746368186, 'epsilon': 6.018155964583547e-08, 'balanced_loss': True, 'epochs': 77, 'early_stopping_patience': 22, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-04 19:44:41,360] Trial 207 finished with value: 0.5780849272723567 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8240912253236189, 'batch_size': 78, 'attention_heads': 4, 'hidden_dimension': 145, 'number_of_hidden_layers': 1, 'dropout_rate': 0.34666252607405623, 'global_pooling': 'mean', 'learning_rate': 0.00068049906274146, 'weight_decay': 1.8839345807987026e-05, 'beta_0': 0.8946830389494375, 'beta_1': 0.9851437807518137, 'epsilon': 2.874213077135253e-08, 'balanced_loss': True, 'epochs': 95, 'early_stopping_patience': 21, 'plateau_patience': 17, 'plateau_divider': 2}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-04 20:01:10,864] Trial 208 finished with value: 0.5780584165147681 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8216003759552838, 'batch_size': 91, 'attention_heads': 4, 'hidden_dimension': 152, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3320948436774404, 'global_pooling': 'mean', 'learning_rate': 0.001807899809339436, 'weight_decay': 1.332956972864584e-05, 'beta_0': 0.8969289564263777, 'beta_1': 0.9855619039435105, 'epsilon': 3.706182147801753e-08, 'balanced_loss': True, 'epochs': 91, 'early_stopping_patience': 22, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-04 20:21:38,412] Trial 209 finished with value: 0.3975161546598424 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8149833758224513, 'batch_size': 81, 'attention_heads': 4, 'hidden_dimension': 178, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3535973657311893, 'global_pooling': 'sum', 'learning_rate': 0.0010418005864615205, 'weight_decay': 3.7626246722317085e-05, 'beta_0': 0.893637631296792, 'beta_1': 0.9858341970221065, 'epsilon': 5.0424648554097253e-08, 'balanced_loss': True, 'epochs': 133, 'early_stopping_patience': 22, 'plateau_patience': 17, 'plateau_divider': 2}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-04 20:41:12,550] Trial 210 finished with value: 0.5737931515286447 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8069440805001549, 'batch_size': 94, 'attention_heads': 4, 'hidden_dimension': 188, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3604201799668595, 'global_pooling': 'mean', 'learning_rate': 0.0014229900908249399, 'weight_decay': 1.6775808809612432e-05, 'beta_0': 0.8883389768144945, 'beta_1': 0.9866094130196206, 'epsilon': 8.529644030715747e-08, 'balanced_loss': True, 'epochs': 100, 'early_stopping_patience': 18, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-04 20:58:40,697] Trial 211 finished with value: 0.5835178648307445 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8270608291831457, 'batch_size': 80, 'attention_heads': 4, 'hidden_dimension': 170, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3413367337998636, 'global_pooling': 'mean', 'learning_rate': 0.000884394100936674, 'weight_decay': 9.084326144088434e-06, 'beta_0': 0.8969019820576707, 'beta_1': 0.9851071031150557, 'epsilon': 4.412571738900454e-08, 'balanced_loss': False, 'epochs': 103, 'early_stopping_patience': 23, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-04 21:17:13,415] Trial 212 finished with value: 0.5417796498270407 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8180774209902201, 'batch_size': 88, 'attention_heads': 5, 'hidden_dimension': 164, 'number_of_hidden_layers': 1, 'dropout_rate': 0.347886870164982, 'global_pooling': 'mean', 'learning_rate': 0.0011257185067820197, 'weight_decay': 1.1040145937844577e-05, 'beta_0': 0.8963235277175897, 'beta_1': 0.9870241013395782, 'epsilon': 3.557411651377327e-08, 'balanced_loss': True, 'epochs': 84, 'early_stopping_patience': 22, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-04 21:34:08,579] Trial 213 finished with value: 0.4732689021645566 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.8148776403129522, 'batch_size': 85, 'attention_heads': 5, 'hidden_dimension': 159, 'number_of_hidden_layers': 1, 'dropout_rate': 0.34939678001340496, 'global_pooling': 'mean', 'learning_rate': 0.0012187518194658514, 'weight_decay': 1.046463958971729e-05, 'beta_0': 0.8991097743871953, 'beta_1': 0.9861064285608131, 'epsilon': 3.137498029864025e-08, 'balanced_loss': True, 'epochs': 88, 'early_stopping_patience': 22, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 146 with value: 0.6231222973387793.
