[I 2024-11-16 12:48:02,083] Using an existing study with name 'Ohsumed-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (611 > 512). Running this sequence through the model will result in indexing errors
[I 2024-11-16 13:13:53,148] Trial 238 finished with value: 0.6197449861069393 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8560247078179224, 'batch_size': 40, 'attention_heads': 13, 'hidden_dimension': 243, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4440168455153035, 'global_pooling': 'max', 'learning_rate': 0.00014561912722216343, 'weight_decay': 0.00013991153632775285, 'beta_0': 0.8088834268839863, 'beta_1': 0.9856484225932158, 'epsilon': 2.4728717178188806e-05, 'balanced_loss': False, 'epochs': 191, 'early_stopping_patience': 21, 'plateau_patience': 11, 'plateau_divider': 10}. Best is trial 231 with value: 0.6544151158172802.
[I 2024-11-16 17:56:36,049] Trial 249 finished with value: 0.6187442303468839 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8510873805147233, 'batch_size': 32, 'attention_heads': 14, 'hidden_dimension': 252, 'number_of_hidden_layers': 2, 'dropout_rate': 0.406232409906836, 'global_pooling': 'max', 'learning_rate': 0.0001100046683579444, 'weight_decay': 0.00022213226910180672, 'beta_0': 0.8042129820128349, 'beta_1': 0.9861037890933789, 'epsilon': 5.450822137699732e-05, 'balanced_loss': False, 'epochs': 195, 'early_stopping_patience': 20, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 231 with value: 0.6544151158172802.
CUDA out of memory. Tried to allocate 1.71 GiB. GPU 0 has a total capacity of 44.56 GiB of which 698.69 MiB is free. Including non-PyTorch memory, this process has 43.87 GiB memory in use. Of the allocated memory 37.09 GiB is allocated by PyTorch, and 5.63 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-11-16 18:05:36,858] Trial 250 finished with value: -1.0 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8461582173615088, 'batch_size': 38, 'attention_heads': 14, 'hidden_dimension': 245, 'number_of_hidden_layers': 2, 'dropout_rate': 0.44577310117413166, 'global_pooling': 'max', 'learning_rate': 0.00016026554374804598, 'weight_decay': 0.00015661491450627042, 'beta_0': 0.8013686291960727, 'beta_1': 0.9855592893350589, 'epsilon': 4.237667157370956e-05, 'balanced_loss': False, 'epochs': 200, 'early_stopping_patience': 19, 'plateau_patience': 10, 'plateau_divider': 9}. Best is trial 231 with value: 0.6544151158172802.
[I 2024-11-16 18:33:34,874] Trial 251 finished with value: 0.618198646960875 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8532434517316698, 'batch_size': 34, 'attention_heads': 14, 'hidden_dimension': 242, 'number_of_hidden_layers': 2, 'dropout_rate': 0.43757148835833204, 'global_pooling': 'max', 'learning_rate': 8.83048977397148e-05, 'weight_decay': 0.00013208037214745383, 'beta_0': 0.809852367151708, 'beta_1': 0.9859326274491426, 'epsilon': 2.0379664577742748e-05, 'balanced_loss': False, 'epochs': 180, 'early_stopping_patience': 20, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 231 with value: 0.6544151158172802.
[I 2024-11-16 18:58:44,565] Trial 252 finished with value: 0.6324226635548265 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8595459838277879, 'batch_size': 39, 'attention_heads': 14, 'hidden_dimension': 237, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4200416645279038, 'global_pooling': 'max', 'learning_rate': 0.00012934546574562894, 'weight_decay': 0.00012245797926778627, 'beta_0': 0.8189315980431084, 'beta_1': 0.9854061538220134, 'epsilon': 1.0537168885143623e-05, 'balanced_loss': False, 'epochs': 174, 'early_stopping_patience': 19, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 231 with value: 0.6544151158172802.
[I 2024-11-16 19:21:51,614] Trial 253 finished with value: 0.6476403212301804 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.857567111210105, 'batch_size': 33, 'attention_heads': 14, 'hidden_dimension': 236, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4050058057760371, 'global_pooling': 'max', 'learning_rate': 0.0001286901154889336, 'weight_decay': 0.00018672833867232276, 'beta_0': 0.8175918271244572, 'beta_1': 0.9869081337461392, 'epsilon': 1.1239726016756158e-05, 'balanced_loss': False, 'epochs': 174, 'early_stopping_patience': 19, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 231 with value: 0.6544151158172802.
[I 2024-11-16 19:48:45,125] Trial 254 finished with value: 0.641547195789871 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8591895783216806, 'batch_size': 37, 'attention_heads': 14, 'hidden_dimension': 237, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4094916942157963, 'global_pooling': 'max', 'learning_rate': 0.00012856816213048592, 'weight_decay': 0.000196769171718814, 'beta_0': 0.8184202078532606, 'beta_1': 0.9853903057187338, 'epsilon': 1.082877445601232e-05, 'balanced_loss': False, 'epochs': 175, 'early_stopping_patience': 19, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 231 with value: 0.6544151158172802.
[I 2024-11-16 20:13:07,305] Trial 255 finished with value: 0.6416581275594535 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8587291501208996, 'batch_size': 32, 'attention_heads': 14, 'hidden_dimension': 238, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4064987145513827, 'global_pooling': 'max', 'learning_rate': 0.00012882663179083207, 'weight_decay': 0.00018013190635513744, 'beta_0': 0.8128383687789742, 'beta_1': 0.9853206656910499, 'epsilon': 1.1143305125265388e-05, 'balanced_loss': False, 'epochs': 173, 'early_stopping_patience': 19, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 231 with value: 0.6544151158172802.
[I 2024-11-16 20:40:00,065] Trial 256 finished with value: 0.650486850546266 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8602518234232235, 'batch_size': 37, 'attention_heads': 14, 'hidden_dimension': 237, 'number_of_hidden_layers': 2, 'dropout_rate': 0.40908263311513227, 'global_pooling': 'max', 'learning_rate': 0.0001259175986812051, 'weight_decay': 0.0002375700913767119, 'beta_0': 0.8188173808778987, 'beta_1': 0.9853784975241956, 'epsilon': 1.0855654963313423e-05, 'balanced_loss': False, 'epochs': 174, 'early_stopping_patience': 19, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 231 with value: 0.6544151158172802.
[I 2024-11-16 21:04:53,200] Trial 257 finished with value: 0.6306882798318562 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8567817579820264, 'batch_size': 37, 'attention_heads': 14, 'hidden_dimension': 236, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4041302810349754, 'global_pooling': 'max', 'learning_rate': 0.00012502578043658487, 'weight_decay': 0.00024324548807196824, 'beta_0': 0.8181401698279992, 'beta_1': 0.9853941351985095, 'epsilon': 9.607114209608648e-06, 'balanced_loss': False, 'epochs': 172, 'early_stopping_patience': 19, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 231 with value: 0.6544151158172802.
[I 2024-11-16 21:30:26,392] Trial 258 finished with value: 0.6403584550515175 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8598374353018573, 'batch_size': 34, 'attention_heads': 14, 'hidden_dimension': 238, 'number_of_hidden_layers': 2, 'dropout_rate': 0.401592710367185, 'global_pooling': 'max', 'learning_rate': 9.487399229682454e-05, 'weight_decay': 0.00023296582556128734, 'beta_0': 0.8171956022240159, 'beta_1': 0.9853774144891556, 'epsilon': 1.1189344277059922e-05, 'balanced_loss': False, 'epochs': 176, 'early_stopping_patience': 19, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 231 with value: 0.6544151158172802.
[I 2024-11-16 21:56:00,653] Trial 259 finished with value: 0.6376397229356553 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8603699375503483, 'batch_size': 34, 'attention_heads': 14, 'hidden_dimension': 235, 'number_of_hidden_layers': 2, 'dropout_rate': 0.41158488558681455, 'global_pooling': 'max', 'learning_rate': 9.99997152185467e-05, 'weight_decay': 0.00021186343789856332, 'beta_0': 0.8192791231556116, 'beta_1': 0.9870358481905438, 'epsilon': 1.2106580982960076e-05, 'balanced_loss': False, 'epochs': 175, 'early_stopping_patience': 19, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 231 with value: 0.6544151158172802.
[I 2024-11-16 22:21:01,549] Trial 260 finished with value: 0.634174543258695 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8600301497494002, 'batch_size': 36, 'attention_heads': 14, 'hidden_dimension': 236, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3887666382617013, 'global_pooling': 'max', 'learning_rate': 9.943552625797806e-05, 'weight_decay': 0.0002775748068802327, 'beta_0': 0.8191776667310957, 'beta_1': 0.9871317050565468, 'epsilon': 1.1878634506976581e-05, 'balanced_loss': False, 'epochs': 176, 'early_stopping_patience': 19, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 231 with value: 0.6544151158172802.
[I 2024-11-16 22:46:06,116] Trial 261 finished with value: 0.6268732247127314 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8601360928803261, 'batch_size': 36, 'attention_heads': 14, 'hidden_dimension': 236, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3992028869493521, 'global_pooling': 'max', 'learning_rate': 9.729204991751855e-05, 'weight_decay': 0.0002196045415954988, 'beta_0': 0.818460523642614, 'beta_1': 0.9870479572980039, 'epsilon': 1.2100668131125062e-05, 'balanced_loss': False, 'epochs': 176, 'early_stopping_patience': 19, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 231 with value: 0.6544151158172802.
[I 2024-11-16 23:14:02,133] Trial 262 finished with value: 0.6288103995980677 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8541389453839361, 'batch_size': 35, 'attention_heads': 14, 'hidden_dimension': 235, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3839895672098302, 'global_pooling': 'max', 'learning_rate': 7.964107515718731e-05, 'weight_decay': 0.00019824122509175596, 'beta_0': 0.8185957660091363, 'beta_1': 0.9850620559169262, 'epsilon': 1.1264661383275088e-05, 'balanced_loss': False, 'epochs': 176, 'early_stopping_patience': 19, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 231 with value: 0.6544151158172802.
[I 2024-11-16 23:39:24,600] Trial 263 finished with value: 0.641241324440309 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8613720954817671, 'batch_size': 34, 'attention_heads': 14, 'hidden_dimension': 238, 'number_of_hidden_layers': 2, 'dropout_rate': 0.41137631234986705, 'global_pooling': 'max', 'learning_rate': 9.379309692308982e-05, 'weight_decay': 0.0002961109146634644, 'beta_0': 0.8163498114046893, 'beta_1': 0.9873834887980782, 'epsilon': 8.407316169604862e-06, 'balanced_loss': False, 'epochs': 174, 'early_stopping_patience': 18, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 231 with value: 0.6544151158172802.
[I 2024-11-17 00:05:33,843] Trial 264 finished with value: 0.6398050847041538 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8548877629325852, 'batch_size': 33, 'attention_heads': 14, 'hidden_dimension': 239, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4084031948672862, 'global_pooling': 'max', 'learning_rate': 9.66264527424814e-05, 'weight_decay': 0.0002976999031925976, 'beta_0': 0.8162926157759418, 'beta_1': 0.9868151589714087, 'epsilon': 8.223283883194432e-06, 'balanced_loss': False, 'epochs': 170, 'early_stopping_patience': 18, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 231 with value: 0.6544151158172802.
[I 2024-11-17 00:30:44,498] Trial 265 finished with value: 0.5419241472597911 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.8593669047555685, 'batch_size': 34, 'attention_heads': 14, 'hidden_dimension': 239, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4086592625772954, 'global_pooling': 'max', 'learning_rate': 9.402033756344546e-05, 'weight_decay': 0.00029672957366078443, 'beta_0': 0.8166456350614111, 'beta_1': 0.9876371391039782, 'epsilon': 8.547653884807673e-06, 'balanced_loss': False, 'epochs': 171, 'early_stopping_patience': 18, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 231 with value: 0.6544151158172802.
slurmstepd: error: *** JOB 13936389 ON gpu042 CANCELLED AT 2024-11-17T00:48:16 DUE TO TIME LIMIT ***
