[I 2024-11-30 06:30:22,122] Using an existing study with name 'Ohsumed-GATv2-google-bert-bert-base-uncased-Grouped-Global_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (611 > 512). Running this sequence through the model will result in indexing errors
[I 2024-11-30 06:51:38,409] Trial 157 finished with value: 0.6134342704237122 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8631043782446879, 'batch_size': 61, 'attention_heads': 9, 'hidden_dimension': 242, 'number_of_hidden_layers': 2, 'dropout_rate': 0.34998559553728703, 'global_pooling': 'max', 'learning_rate': 9.646769676645043e-05, 'weight_decay': 3.782985071063212e-06, 'beta_0': 0.8665279012455017, 'beta_1': 0.9867009454996012, 'epsilon': 1.1875098185159952e-06, 'balanced_loss': False, 'epochs': 98, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-11-30 10:45:26,552] Trial 168 finished with value: 0.6027500882458819 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8839335930016408, 'batch_size': 59, 'attention_heads': 10, 'hidden_dimension': 253, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3702572077396234, 'global_pooling': 'mean', 'learning_rate': 0.00021675977929759148, 'weight_decay': 6.271762328036313e-06, 'beta_0': 0.8661948386306524, 'beta_1': 0.9853819690705571, 'epsilon': 4.7173139046295816e-07, 'balanced_loss': False, 'epochs': 97, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-11-30 11:07:19,090] Trial 169 finished with value: 0.626533106175742 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8634367687683688, 'batch_size': 62, 'attention_heads': 10, 'hidden_dimension': 248, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3760575471083925, 'global_pooling': 'max', 'learning_rate': 0.0001630302170407458, 'weight_decay': 3.3222395490859268e-06, 'beta_0': 0.8688151008287407, 'beta_1': 0.9859945595525613, 'epsilon': 6.063517396040661e-07, 'balanced_loss': False, 'epochs': 90, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-11-30 11:35:59,726] Trial 170 finished with value: 0.6416560897699 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8747258494298714, 'batch_size': 60, 'attention_heads': 15, 'hidden_dimension': 230, 'number_of_hidden_layers': 2, 'dropout_rate': 0.37011678993379893, 'global_pooling': 'max', 'learning_rate': 0.00012683428630491328, 'weight_decay': 5.009701866700123e-06, 'beta_0': 0.8682702637669453, 'beta_1': 0.9864806558854884, 'epsilon': 5.366969456542849e-07, 'balanced_loss': False, 'epochs': 101, 'early_stopping_patience': 25, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-11-30 12:02:56,930] Trial 171 finished with value: 0.6263381188163045 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8751001371241653, 'batch_size': 59, 'attention_heads': 15, 'hidden_dimension': 231, 'number_of_hidden_layers': 2, 'dropout_rate': 0.37111527848591125, 'global_pooling': 'max', 'learning_rate': 0.0001552537548205834, 'weight_decay': 4.2764337445017855e-06, 'beta_0': 0.8689535785670953, 'beta_1': 0.9864998595707826, 'epsilon': 5.556567518940823e-07, 'balanced_loss': False, 'epochs': 101, 'early_stopping_patience': 25, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-11-30 12:42:36,987] Trial 172 finished with value: 0.5641820714375207 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8818317163129351, 'batch_size': 63, 'attention_heads': 10, 'hidden_dimension': 226, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3811381966903049, 'global_pooling': 'max', 'learning_rate': 1.0993032231668202e-05, 'weight_decay': 5.879074862759815e-06, 'beta_0': 0.8650825025134853, 'beta_1': 0.9869939808456766, 'epsilon': 7.007686025677014e-07, 'balanced_loss': False, 'epochs': 108, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-11-30 12:59:43,761] Trial 173 finished with value: 0.6243385928636002 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8714764732668394, 'batch_size': 77, 'attention_heads': 10, 'hidden_dimension': 158, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3668014704509072, 'global_pooling': 'max', 'learning_rate': 0.00013025978352452055, 'weight_decay': 7.66827033137479e-06, 'beta_0': 0.8708330671719243, 'beta_1': 0.9863281047974939, 'epsilon': 9.720136330797915e-07, 'balanced_loss': False, 'epochs': 94, 'early_stopping_patience': 25, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-11-30 13:27:38,197] Trial 174 finished with value: 0.6302520668961276 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8581757747658809, 'batch_size': 61, 'attention_heads': 13, 'hidden_dimension': 234, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3743889816932026, 'global_pooling': 'max', 'learning_rate': 0.00010546586288525063, 'weight_decay': 4.460368449753976e-06, 'beta_0': 0.868095636710393, 'beta_1': 0.9870171108113831, 'epsilon': 6.30680434345331e-07, 'balanced_loss': False, 'epochs': 100, 'early_stopping_patience': 25, 'plateau_patience': 23, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-11-30 13:53:00,203] Trial 175 finished with value: 0.6346640482253748 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8758335177992274, 'batch_size': 68, 'attention_heads': 14, 'hidden_dimension': 244, 'number_of_hidden_layers': 2, 'dropout_rate': 0.34485888176071067, 'global_pooling': 'max', 'learning_rate': 0.00018958101241812867, 'weight_decay': 5.222153521798788e-06, 'beta_0': 0.8623494099717749, 'beta_1': 0.9855180030407671, 'epsilon': 4.6566565491768076e-07, 'balanced_loss': False, 'epochs': 103, 'early_stopping_patience': 25, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-11-30 14:12:18,473] Trial 176 finished with value: 0.6318470100608754 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8768265775659994, 'batch_size': 68, 'attention_heads': 9, 'hidden_dimension': 243, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3448863536235645, 'global_pooling': 'max', 'learning_rate': 0.00020298809996190545, 'weight_decay': 4.694252206511008e-06, 'beta_0': 0.8700699338198622, 'beta_1': 0.9840592334390315, 'epsilon': 4.5661223575943393e-07, 'balanced_loss': False, 'epochs': 106, 'early_stopping_patience': 25, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-11-30 14:39:46,329] Trial 177 finished with value: 0.6397344657896332 and parameters: {'left_stride': 64, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8809517419477713, 'batch_size': 63, 'attention_heads': 15, 'hidden_dimension': 247, 'number_of_hidden_layers': 2, 'dropout_rate': 0.35625669677421995, 'global_pooling': 'max', 'learning_rate': 0.0001805873926607887, 'weight_decay': 3.3922376952386557e-06, 'beta_0': 0.862047541565941, 'beta_1': 0.9855444812534315, 'epsilon': 5.449122887534948e-07, 'balanced_loss': False, 'epochs': 114, 'early_stopping_patience': 25, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-11-30 15:03:56,506] Trial 178 finished with value: 0.6403343059427667 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8934691647407331, 'batch_size': 67, 'attention_heads': 15, 'hidden_dimension': 247, 'number_of_hidden_layers': 2, 'dropout_rate': 0.361804783380144, 'global_pooling': 'max', 'learning_rate': 0.00024434277863030854, 'weight_decay': 7.349505387775361e-06, 'beta_0': 0.8634677958895945, 'beta_1': 0.9856113597482046, 'epsilon': 5.169850915236427e-07, 'balanced_loss': False, 'epochs': 114, 'early_stopping_patience': 25, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-11-30 15:23:03,831] Trial 179 finished with value: 0.6244407917302152 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.891145567393244, 'batch_size': 59, 'attention_heads': 15, 'hidden_dimension': 248, 'number_of_hidden_layers': 2, 'dropout_rate': 0.35455864239505497, 'global_pooling': 'max', 'learning_rate': 0.0002485716369714901, 'weight_decay': 7.316118621704018e-06, 'beta_0': 0.862275229915337, 'beta_1': 0.9854985874996105, 'epsilon': 3.179438770601456e-07, 'balanced_loss': False, 'epochs': 113, 'early_stopping_patience': 11, 'plateau_patience': 22, 'plateau_divider': 8}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-11-30 15:49:55,781] Trial 180 finished with value: 0.5854923789982917 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9021284161484284, 'batch_size': 62, 'attention_heads': 16, 'hidden_dimension': 256, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3728450646594715, 'global_pooling': 'max', 'learning_rate': 0.00014398854829833537, 'weight_decay': 5.588469894240384e-06, 'beta_0': 0.8624474646959389, 'beta_1': 0.985757817887837, 'epsilon': 4.1499150775942687e-07, 'balanced_loss': False, 'epochs': 121, 'early_stopping_patience': 25, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-11-30 16:14:08,679] Trial 181 finished with value: 0.6362745175846605 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8869255842045585, 'batch_size': 57, 'attention_heads': 14, 'hidden_dimension': 246, 'number_of_hidden_layers': 2, 'dropout_rate': 0.38079179117458584, 'global_pooling': 'max', 'learning_rate': 0.0002566572228615061, 'weight_decay': 9.708512428533885e-06, 'beta_0': 0.8653591402554649, 'beta_1': 0.9852813399315768, 'epsilon': 5.576136092651759e-07, 'balanced_loss': False, 'epochs': 115, 'early_stopping_patience': 25, 'plateau_patience': 22, 'plateau_divider': 8}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-11-30 16:37:26,461] Trial 182 finished with value: 0.6233868342996034 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8953772732174028, 'batch_size': 58, 'attention_heads': 14, 'hidden_dimension': 246, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3813666615722525, 'global_pooling': 'max', 'learning_rate': 0.00023833489827300777, 'weight_decay': 1.0353849263464595e-05, 'beta_0': 0.8652869469449983, 'beta_1': 0.9848916325467013, 'epsilon': 5.62042353965329e-07, 'balanced_loss': False, 'epochs': 103, 'early_stopping_patience': 25, 'plateau_patience': 22, 'plateau_divider': 8}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-11-30 17:04:19,219] Trial 183 finished with value: 0.6351534116990113 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8863415608436604, 'batch_size': 60, 'attention_heads': 15, 'hidden_dimension': 252, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3957417888376888, 'global_pooling': 'max', 'learning_rate': 0.00027776051243057925, 'weight_decay': 5.062584243848055e-06, 'beta_0': 0.8606939233258121, 'beta_1': 0.9847286294946233, 'epsilon': 4.658199774088882e-07, 'balanced_loss': False, 'epochs': 116, 'early_stopping_patience': 25, 'plateau_patience': 23, 'plateau_divider': 8}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-11-30 17:30:38,848] Trial 184 finished with value: 0.6187986662375995 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.887405603209681, 'batch_size': 60, 'attention_heads': 15, 'hidden_dimension': 252, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3949212125384286, 'global_pooling': 'max', 'learning_rate': 0.0002008899893190684, 'weight_decay': 5.008563068291345e-06, 'beta_0': 0.8608881535885023, 'beta_1': 0.9850824523169781, 'epsilon': 4.821239026309127e-07, 'balanced_loss': False, 'epochs': 108, 'early_stopping_patience': 25, 'plateau_patience': 23, 'plateau_divider': 8}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-11-30 17:55:39,534] Trial 185 finished with value: 0.6164116181969649 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8828602500453041, 'batch_size': 57, 'attention_heads': 14, 'hidden_dimension': 250, 'number_of_hidden_layers': 2, 'dropout_rate': 0.38676565198434365, 'global_pooling': 'max', 'learning_rate': 0.0003088861509662602, 'weight_decay': 3.331182476267428e-06, 'beta_0': 0.8639469517438427, 'beta_1': 0.9830181316508826, 'epsilon': 3.6592190983200645e-07, 'balanced_loss': False, 'epochs': 114, 'early_stopping_patience': 25, 'plateau_patience': 23, 'plateau_divider': 8}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-11-30 18:20:04,376] Trial 186 finished with value: 0.627771030202016 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8852484214830332, 'batch_size': 67, 'attention_heads': 15, 'hidden_dimension': 242, 'number_of_hidden_layers': 2, 'dropout_rate': 0.400315801166933, 'global_pooling': 'max', 'learning_rate': 0.0002790246511989274, 'weight_decay': 6.463132244887954e-06, 'beta_0': 0.8665574705936394, 'beta_1': 0.9843114377737844, 'epsilon': 5.270543031394785e-07, 'balanced_loss': False, 'epochs': 125, 'early_stopping_patience': 25, 'plateau_patience': 22, 'plateau_divider': 8}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-11-30 18:45:53,607] Trial 187 finished with value: 0.6232219938814079 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8929109125705755, 'batch_size': 62, 'attention_heads': 15, 'hidden_dimension': 256, 'number_of_hidden_layers': 2, 'dropout_rate': 0.37715423167209344, 'global_pooling': 'max', 'learning_rate': 0.00017142247250905026, 'weight_decay': 5.3291615053912125e-06, 'beta_0': 0.8632542414858411, 'beta_1': 0.985647266019299, 'epsilon': 2.5531936077000345e-07, 'balanced_loss': False, 'epochs': 117, 'early_stopping_patience': 25, 'plateau_patience': 22, 'plateau_divider': 8}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-11-30 19:13:02,509] Trial 188 finished with value: 0.6031311261824237 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8886711218800668, 'batch_size': 64, 'attention_heads': 16, 'hidden_dimension': 246, 'number_of_hidden_layers': 2, 'dropout_rate': 0.36876092349055123, 'global_pooling': 'max', 'learning_rate': 0.0002747403983478865, 'weight_decay': 9.639183702450057e-06, 'beta_0': 0.8592291184365503, 'beta_1': 0.9853907132567323, 'epsilon': 4.0379531457796e-07, 'balanced_loss': False, 'epochs': 118, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-11-30 19:34:14,462] Trial 189 finished with value: 0.6225987137548205 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8802233586916091, 'batch_size': 60, 'attention_heads': 14, 'hidden_dimension': 244, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3613545363551761, 'global_pooling': 'max', 'learning_rate': 0.00014955654010044155, 'weight_decay': 3.54574149762098e-06, 'beta_0': 0.8674673938353543, 'beta_1': 0.9851184392917138, 'epsilon': 6.377489744302436e-07, 'balanced_loss': False, 'epochs': 113, 'early_stopping_patience': 19, 'plateau_patience': 22, 'plateau_divider': 8}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-11-30 19:58:09,037] Trial 190 finished with value: 0.5518856925118628 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8768245162075168, 'batch_size': 58, 'attention_heads': 14, 'hidden_dimension': 252, 'number_of_hidden_layers': 2, 'dropout_rate': 0.39056044852491917, 'global_pooling': 'sum', 'learning_rate': 0.00022072190847878678, 'weight_decay': 7.080862112866796e-06, 'beta_0': 0.8610716911880685, 'beta_1': 0.9859920718792897, 'epsilon': 5.328366841528934e-07, 'balanced_loss': False, 'epochs': 106, 'early_stopping_patience': 25, 'plateau_patience': 10, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-11-30 20:22:28,983] Trial 191 finished with value: 0.598203780010966 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.897079964270151, 'batch_size': 63, 'attention_heads': 15, 'hidden_dimension': 236, 'number_of_hidden_layers': 2, 'dropout_rate': 0.38168758442502393, 'global_pooling': 'max', 'learning_rate': 0.0003319416436831309, 'weight_decay': 4.016493266295478e-06, 'beta_0': 0.8655140433625695, 'beta_1': 0.9847187475626268, 'epsilon': 3.205880229967895e-07, 'balanced_loss': False, 'epochs': 101, 'early_stopping_patience': 25, 'plateau_patience': 23, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-11-30 20:49:20,455] Trial 192 finished with value: 0.6165495930996611 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8869585577346553, 'batch_size': 55, 'attention_heads': 15, 'hidden_dimension': 247, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3538433380394572, 'global_pooling': 'max', 'learning_rate': 0.00011930523550899955, 'weight_decay': 1.411906327266264e-05, 'beta_0': 0.8565580494509096, 'beta_1': 0.9864180728733534, 'epsilon': 7.438366848318189e-07, 'balanced_loss': False, 'epochs': 97, 'early_stopping_patience': 25, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
