[I 2024-12-11 09:59:57,321] Using an existing study with name 'Ohsumed-GATv2-facebook-bart-large-Grouped-No_Aggregation' instead of creating a new one.
[I 2024-12-11 10:16:38,289] Trial 187 finished with value: 0.6530250939413905 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.889576554043096, 'batch_size': 72, 'attention_heads': 10, 'hidden_dimension': 220, 'number_of_hidden_layers': 1, 'dropout_rate': 0.46920778712668065, 'global_pooling': 'mean', 'learning_rate': 0.0015051330829335514, 'weight_decay': 2.4380003254969343e-05, 'beta_0': 0.8126376435424241, 'beta_1': 0.9893900736586303, 'epsilon': 5.159667496739826e-06, 'balanced_loss': False, 'epochs': 115, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 2}. Best is trial 184 with value: 0.6760726335182317.
[I 2024-12-11 12:34:20,145] Trial 196 finished with value: 0.6524839012020675 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8890621648566472, 'batch_size': 92, 'attention_heads': 10, 'hidden_dimension': 250, 'number_of_hidden_layers': 1, 'dropout_rate': 0.47122877916144906, 'global_pooling': 'mean', 'learning_rate': 0.000909473368589931, 'weight_decay': 1.4313841882329531e-06, 'beta_0': 0.8162259807480454, 'beta_1': 0.9921354676524536, 'epsilon': 2.510538752171252e-06, 'balanced_loss': False, 'epochs': 129, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 184 with value: 0.6760726335182317.
[I 2024-12-11 12:50:14,878] Trial 197 finished with value: 0.6526388525703648 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8947136330466658, 'batch_size': 70, 'attention_heads': 8, 'hidden_dimension': 247, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4817522904777286, 'global_pooling': 'mean', 'learning_rate': 0.0014394275900889294, 'weight_decay': 1.6416107671170132e-06, 'beta_0': 0.8147024640088326, 'beta_1': 0.9903033522630142, 'epsilon': 5.914994917624351e-06, 'balanced_loss': True, 'epochs': 109, 'early_stopping_patience': 24, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 184 with value: 0.6760726335182317.
[I 2024-12-11 13:06:28,936] Trial 198 finished with value: 0.5501766136823476 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.8837647620608828, 'batch_size': 77, 'attention_heads': 9, 'hidden_dimension': 235, 'number_of_hidden_layers': 1, 'dropout_rate': 0.45656906602735214, 'global_pooling': 'mean', 'learning_rate': 0.0022801536118855063, 'weight_decay': 1.8010890925973635e-06, 'beta_0': 0.819510447333538, 'beta_1': 0.9889741182217208, 'epsilon': 1.39704024378133e-05, 'balanced_loss': False, 'epochs': 134, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 3}. Best is trial 184 with value: 0.6760726335182317.
[I 2024-12-11 13:23:06,878] Trial 199 finished with value: 0.6513495922584952 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9020193798675022, 'batch_size': 85, 'attention_heads': 10, 'hidden_dimension': 240, 'number_of_hidden_layers': 1, 'dropout_rate': 0.46488813939153983, 'global_pooling': 'mean', 'learning_rate': 0.0007179168624185559, 'weight_decay': 1.1230475701737632e-06, 'beta_0': 0.8240332329681054, 'beta_1': 0.9838458968581517, 'epsilon': 3.3338809272457356e-06, 'balanced_loss': False, 'epochs': 126, 'early_stopping_patience': 23, 'plateau_patience': 20, 'plateau_divider': 2}. Best is trial 184 with value: 0.6760726335182317.
[I 2024-12-11 13:38:56,182] Trial 200 finished with value: 0.6214768381518749 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.890986735087386, 'batch_size': 79, 'attention_heads': 9, 'hidden_dimension': 214, 'number_of_hidden_layers': 1, 'dropout_rate': 0.49404392911221506, 'global_pooling': 'max', 'learning_rate': 0.0017472318359447664, 'weight_decay': 1.3503728758915375e-06, 'beta_0': 0.8111322669466654, 'beta_1': 0.9895900459764739, 'epsilon': 3.154945139328958e-05, 'balanced_loss': False, 'epochs': 141, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 3}. Best is trial 184 with value: 0.6760726335182317.
[I 2024-12-11 13:57:43,047] Trial 201 finished with value: 0.6552137913311232 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8965102429527915, 'batch_size': 32, 'attention_heads': 11, 'hidden_dimension': 245, 'number_of_hidden_layers': 1, 'dropout_rate': 0.47485425336459514, 'global_pooling': 'mean', 'learning_rate': 0.000566348345629421, 'weight_decay': 2.1034683481074735e-06, 'beta_0': 0.8315822297344192, 'beta_1': 0.9919146035732905, 'epsilon': 2.0034670200710455e-05, 'balanced_loss': False, 'epochs': 137, 'early_stopping_patience': 24, 'plateau_patience': 20, 'plateau_divider': 2}. Best is trial 184 with value: 0.6760726335182317.
[I 2024-12-11 14:14:31,665] Trial 202 finished with value: 0.6704620613799177 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8867770110135543, 'batch_size': 75, 'attention_heads': 9, 'hidden_dimension': 233, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4870873905417848, 'global_pooling': 'mean', 'learning_rate': 0.0013098266505532597, 'weight_decay': 1.8127537791014258e-06, 'beta_0': 0.8256549173093691, 'beta_1': 0.9874095269893288, 'epsilon': 4.108794190234597e-06, 'balanced_loss': False, 'epochs': 129, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 184 with value: 0.6760726335182317.
[I 2024-12-11 14:31:09,740] Trial 203 finished with value: 0.6632628748158976 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.887263078222187, 'batch_size': 73, 'attention_heads': 9, 'hidden_dimension': 228, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4826757024285902, 'global_pooling': 'mean', 'learning_rate': 0.001304200361640215, 'weight_decay': 1.631008044959212e-06, 'beta_0': 0.8266006417204455, 'beta_1': 0.9874227011704199, 'epsilon': 4.584072319158253e-06, 'balanced_loss': False, 'epochs': 122, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 184 with value: 0.6760726335182317.
[I 2024-12-11 14:47:45,233] Trial 204 finished with value: 0.6658415292776223 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8766307953232269, 'batch_size': 58, 'attention_heads': 9, 'hidden_dimension': 229, 'number_of_hidden_layers': 1, 'dropout_rate': 0.48192917418084924, 'global_pooling': 'mean', 'learning_rate': 0.0014012815758929619, 'weight_decay': 1.6039776113599894e-06, 'beta_0': 0.8273647282493717, 'beta_1': 0.9872612975534137, 'epsilon': 4.936638193578458e-06, 'balanced_loss': False, 'epochs': 121, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 184 with value: 0.6760726335182317.
[I 2024-12-11 15:04:17,569] Trial 205 finished with value: 0.665035512192582 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8785863748297036, 'batch_size': 71, 'attention_heads': 9, 'hidden_dimension': 229, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5890480036948048, 'global_pooling': 'mean', 'learning_rate': 0.0014311146947660854, 'weight_decay': 1.7451935507856495e-06, 'beta_0': 0.8277753649639298, 'beta_1': 0.9872750537481612, 'epsilon': 6.772859172740738e-06, 'balanced_loss': False, 'epochs': 120, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 184 with value: 0.6760726335182317.
[I 2024-12-11 15:20:08,666] Trial 206 finished with value: 0.6579701756353973 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8801186481380244, 'batch_size': 58, 'attention_heads': 8, 'hidden_dimension': 230, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5957303465459476, 'global_pooling': 'mean', 'learning_rate': 0.0014126616251432962, 'weight_decay': 1.8583379831054114e-06, 'beta_0': 0.8293065537234255, 'beta_1': 0.9866767410669578, 'epsilon': 6.483791556753996e-06, 'balanced_loss': False, 'epochs': 121, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 5}. Best is trial 184 with value: 0.6760726335182317.
[I 2024-12-11 15:36:26,836] Trial 207 finished with value: 0.6485215806127982 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8756513951945678, 'batch_size': 54, 'attention_heads': 9, 'hidden_dimension': 219, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5778693289456123, 'global_pooling': 'mean', 'learning_rate': 0.0018603112887632834, 'weight_decay': 1.6158623601229645e-06, 'beta_0': 0.827750386189804, 'beta_1': 0.987297736280224, 'epsilon': 4.6169919089627655e-06, 'balanced_loss': False, 'epochs': 117, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 184 with value: 0.6760726335182317.
[I 2024-12-11 15:54:09,760] Trial 208 finished with value: 0.65100259863462 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8718547260791929, 'batch_size': 55, 'attention_heads': 9, 'hidden_dimension': 224, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5971479186276143, 'global_pooling': 'mean', 'learning_rate': 0.001630098180419312, 'weight_decay': 1.972307446819991e-06, 'beta_0': 0.8262559973047578, 'beta_1': 0.9869253701755788, 'epsilon': 7.86031101449287e-06, 'balanced_loss': False, 'epochs': 114, 'early_stopping_patience': 25, 'plateau_patience': 19, 'plateau_divider': 3}. Best is trial 184 with value: 0.6760726335182317.
[I 2024-12-11 16:10:26,429] Trial 209 finished with value: 0.6360187158910516 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8842595475256038, 'batch_size': 68, 'attention_heads': 9, 'hidden_dimension': 230, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5909197596919329, 'global_pooling': 'mean', 'learning_rate': 0.002393643552220477, 'weight_decay': 1.7053408003623005e-06, 'beta_0': 0.824875837411904, 'beta_1': 0.9862286244395418, 'epsilon': 6.525467015062508e-06, 'balanced_loss': False, 'epochs': 122, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 184 with value: 0.6760726335182317.
[I 2024-12-11 16:26:33,307] Trial 210 finished with value: 0.6586298144295234 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8865565555088964, 'batch_size': 52, 'attention_heads': 9, 'hidden_dimension': 226, 'number_of_hidden_layers': 1, 'dropout_rate': 0.48528491737274715, 'global_pooling': 'mean', 'learning_rate': 0.00132128255026331, 'weight_decay': 2.200134506620241e-06, 'beta_0': 0.8231978255250633, 'beta_1': 0.9876184585659804, 'epsilon': 3.643158982073401e-06, 'balanced_loss': False, 'epochs': 118, 'early_stopping_patience': 25, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 184 with value: 0.6760726335182317.
[I 2024-12-11 16:43:07,134] Trial 211 finished with value: 0.6616499803022661 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8793273369755598, 'batch_size': 74, 'attention_heads': 9, 'hidden_dimension': 223, 'number_of_hidden_layers': 1, 'dropout_rate': 0.47184906608971744, 'global_pooling': 'mean', 'learning_rate': 0.0020595809813469153, 'weight_decay': 1.3866621804706062e-06, 'beta_0': 0.8311752996158899, 'beta_1': 0.9858126645402375, 'epsilon': 5.799407337830473e-06, 'balanced_loss': False, 'epochs': 124, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 3}. Best is trial 184 with value: 0.6760726335182317.
[I 2024-12-11 16:59:52,830] Trial 212 finished with value: 0.6661975108311076 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8761938524250177, 'batch_size': 71, 'attention_heads': 9, 'hidden_dimension': 234, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4792004238203066, 'global_pooling': 'mean', 'learning_rate': 0.0015812789747277518, 'weight_decay': 1.3264471213292325e-06, 'beta_0': 0.8271715205344637, 'beta_1': 0.9873834887980782, 'epsilon': 3.7266254885506012e-06, 'balanced_loss': False, 'epochs': 131, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 184 with value: 0.6760726335182317.
[I 2024-12-11 17:17:14,825] Trial 213 finished with value: 0.6598722901545794 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8761799324330336, 'batch_size': 70, 'attention_heads': 9, 'hidden_dimension': 231, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5790599768692576, 'global_pooling': 'mean', 'learning_rate': 0.0015600134423753213, 'weight_decay': 1.5819226606249224e-06, 'beta_0': 0.8273497894679496, 'beta_1': 0.9874255299578154, 'epsilon': 4.569192309220035e-06, 'balanced_loss': False, 'epochs': 130, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 184 with value: 0.6760726335182317.
[I 2024-12-11 17:34:16,501] Trial 214 finished with value: 0.6470472601882193 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8829721694316148, 'batch_size': 72, 'attention_heads': 9, 'hidden_dimension': 238, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5897168827958116, 'global_pooling': 'mean', 'learning_rate': 0.0017686267914139272, 'weight_decay': 1.2580475349079707e-06, 'beta_0': 0.8283464044839213, 'beta_1': 0.9870354323924547, 'epsilon': 5.16479785111606e-06, 'balanced_loss': False, 'epochs': 120, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 184 with value: 0.6760726335182317.
[I 2024-12-11 17:50:48,444] Trial 215 finished with value: 0.6573881765371867 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8674220067164141, 'batch_size': 74, 'attention_heads': 8, 'hidden_dimension': 233, 'number_of_hidden_layers': 1, 'dropout_rate': 0.48501796616426884, 'global_pooling': 'mean', 'learning_rate': 0.0013584132628955592, 'weight_decay': 1.4601689782961474e-06, 'beta_0': 0.8210923440763168, 'beta_1': 0.986764592920781, 'epsilon': 3.422408219781404e-06, 'balanced_loss': False, 'epochs': 128, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 3}. Best is trial 184 with value: 0.6760726335182317.
[I 2024-12-11 18:06:38,638] Trial 216 finished with value: 0.6566200593238181 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8875776945881209, 'batch_size': 59, 'attention_heads': 9, 'hidden_dimension': 226, 'number_of_hidden_layers': 1, 'dropout_rate': 0.47882247566238056, 'global_pooling': 'mean', 'learning_rate': 0.0021016933480996368, 'weight_decay': 1.6929338522714371e-06, 'beta_0': 0.8254303917983375, 'beta_1': 0.9871364846878912, 'epsilon': 3.960569877982224e-06, 'balanced_loss': False, 'epochs': 124, 'early_stopping_patience': 24, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 184 with value: 0.6760726335182317.
[I 2024-12-11 18:23:32,431] Trial 217 finished with value: 0.6657222230329557 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8712943635672035, 'batch_size': 76, 'attention_heads': 8, 'hidden_dimension': 240, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4728962783463253, 'global_pooling': 'mean', 'learning_rate': 0.001146079735773487, 'weight_decay': 3.70484275080743e-05, 'beta_0': 0.8300345493864291, 'beta_1': 0.9884185745997305, 'epsilon': 7.227556288019298e-06, 'balanced_loss': False, 'epochs': 132, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 184 with value: 0.6760726335182317.
[I 2024-12-11 18:41:25,500] Trial 218 finished with value: 0.6479606667666836 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.873299288481244, 'batch_size': 66, 'attention_heads': 8, 'hidden_dimension': 237, 'number_of_hidden_layers': 1, 'dropout_rate': 0.47200092113899567, 'global_pooling': 'mean', 'learning_rate': 0.0011575916697413708, 'weight_decay': 0.00011563674973133894, 'beta_0': 0.8324070041052422, 'beta_1': 0.9882760085450458, 'epsilon': 9.385008910965372e-06, 'balanced_loss': False, 'epochs': 113, 'early_stopping_patience': 25, 'plateau_patience': 19, 'plateau_divider': 4}. Best is trial 184 with value: 0.6760726335182317.
[I 2024-12-11 18:58:27,693] Trial 219 finished with value: 0.6756176564822506 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8707115469439615, 'batch_size': 76, 'attention_heads': 8, 'hidden_dimension': 242, 'number_of_hidden_layers': 1, 'dropout_rate': 0.48770480147480394, 'global_pooling': 'mean', 'learning_rate': 0.0011096711859060555, 'weight_decay': 1.929283128024532e-06, 'beta_0': 0.8296259330515785, 'beta_1': 0.987620319878934, 'epsilon': 7.49055901535785e-06, 'balanced_loss': False, 'epochs': 121, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 2}. Best is trial 184 with value: 0.6760726335182317.
[I 2024-12-11 19:15:29,515] Trial 220 finished with value: 0.6481100324247735 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8701332581560698, 'batch_size': 76, 'attention_heads': 8, 'hidden_dimension': 241, 'number_of_hidden_layers': 1, 'dropout_rate': 0.48204043165886046, 'global_pooling': 'mean', 'learning_rate': 0.001093819017469072, 'weight_decay': 4.3569168399706705e-05, 'beta_0': 0.8299043912709239, 'beta_1': 0.9873689906773775, 'epsilon': 7.26501825076317e-06, 'balanced_loss': False, 'epochs': 127, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 2}. Best is trial 184 with value: 0.6760726335182317.
[I 2024-12-11 19:32:23,315] Trial 221 finished with value: 0.6555184534265102 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8780991536355143, 'batch_size': 72, 'attention_heads': 9, 'hidden_dimension': 234, 'number_of_hidden_layers': 1, 'dropout_rate': 0.48762416838727696, 'global_pooling': 'mean', 'learning_rate': 0.0014221027548213055, 'weight_decay': 1.9922194746336203e-06, 'beta_0': 0.834614813666635, 'beta_1': 0.9878395469068206, 'epsilon': 1.1136821665217963e-05, 'balanced_loss': False, 'epochs': 132, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 2}. Best is trial 184 with value: 0.6760726335182317.
