[I 2024-12-02 10:47:13,435] A new study created in RDB with name: Ohsumed-GATv2-xlnet-xlnet-base-cased-Grouped-No_Aggregation
CUDA out of memory. Tried to allocate 3.43 GiB. GPU 0 has a total capacity of 44.56 GiB of which 3.24 GiB is free. Including non-PyTorch memory, this process has 41.31 GiB memory in use. Of the allocated memory 38.90 GiB is allocated by PyTorch, and 1.27 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-12-02 11:00:38,925] Trial 0 finished with value: -1.0 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8116161415975183, 'batch_size': 116, 'attention_heads': 11, 'hidden_dimension': 191, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5909729556485983, 'global_pooling': 'mean', 'learning_rate': 5.415244119402538e-05, 'weight_decay': 8.179499475211674e-06, 'beta_0': 0.8510059609290175, 'beta_1': 0.9881622148267181, 'epsilon': 1.4618962793704927e-07, 'balanced_loss': True, 'epochs': 94, 'early_stopping_patience': 15, 'plateau_patience': 17, 'plateau_divider': 9}. Best is trial 0 with value: -1.0.
[I 2024-12-02 12:54:48,616] Trial 7 finished with value: 0.023047326869138268 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9059248191654178, 'batch_size': 55, 'attention_heads': 5, 'hidden_dimension': 233, 'number_of_hidden_layers': 4, 'dropout_rate': 0.48993043718198037, 'global_pooling': 'max', 'learning_rate': 0.0387651117091163, 'weight_decay': 0.00045841547801363794, 'beta_0': 0.8769656613172253, 'beta_1': 0.9921566381933148, 'epsilon': 2.1705003488711103e-08, 'balanced_loss': False, 'epochs': 141, 'early_stopping_patience': 10, 'plateau_patience': 11, 'plateau_divider': 7}. Best is trial 6 with value: 0.3111130008805061.
[I 2024-12-02 13:13:31,077] Trial 8 finished with value: 0.30604613886189524 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9424287224772937, 'batch_size': 55, 'attention_heads': 8, 'hidden_dimension': 199, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5547670231482533, 'global_pooling': 'mean', 'learning_rate': 0.0002957080941494348, 'weight_decay': 6.24607368131809e-06, 'beta_0': 0.8233238054292655, 'beta_1': 0.9984823954805346, 'epsilon': 3.7358626308127487e-07, 'balanced_loss': True, 'epochs': 170, 'early_stopping_patience': 18, 'plateau_patience': 19, 'plateau_divider': 6}. Best is trial 6 with value: 0.3111130008805061.
[I 2024-12-02 13:27:38,133] Trial 9 finished with value: 0.3299740570292108 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9880823122847394, 'batch_size': 124, 'attention_heads': 15, 'hidden_dimension': 115, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5784955687763176, 'global_pooling': 'sum', 'learning_rate': 0.025824850844906145, 'weight_decay': 7.644457600399742e-06, 'beta_0': 0.8371219067759552, 'beta_1': 0.9961484316107455, 'epsilon': 1.8522006003174358e-07, 'balanced_loss': False, 'epochs': 191, 'early_stopping_patience': 21, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 9 with value: 0.3299740570292108.
[I 2024-12-02 13:41:19,935] Trial 10 finished with value: 0.31616965314048767 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9938977267864654, 'batch_size': 33, 'attention_heads': 13, 'hidden_dimension': 40, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5029717139228339, 'global_pooling': 'sum', 'learning_rate': 0.09320745757067922, 'weight_decay': 8.483061969917643e-06, 'beta_0': 0.80182330055984, 'beta_1': 0.997526042849874, 'epsilon': 5.6708919677467414e-05, 'balanced_loss': False, 'epochs': 106, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 4}. Best is trial 9 with value: 0.3299740570292108.
[I 2024-12-02 13:54:53,732] Trial 11 finished with value: 0.18695800677776186 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9997426635925192, 'batch_size': 35, 'attention_heads': 13, 'hidden_dimension': 36, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5053687688654761, 'global_pooling': 'sum', 'learning_rate': 0.091891033102285, 'weight_decay': 8.85751527557546e-06, 'beta_0': 0.800257759535974, 'beta_1': 0.9986556623481778, 'epsilon': 4.716997102363212e-05, 'balanced_loss': False, 'epochs': 100, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 4}. Best is trial 9 with value: 0.3299740570292108.
[I 2024-12-02 14:08:21,457] Trial 12 finished with value: 0.03275486192859942 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9998755886578381, 'batch_size': 86, 'attention_heads': 14, 'hidden_dimension': 98, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5068755835142161, 'global_pooling': 'sum', 'learning_rate': 0.010333288845962688, 'weight_decay': 3.8508420504260045e-06, 'beta_0': 0.8011391045544688, 'beta_1': 0.9956021985512428, 'epsilon': 4.4209383978951475e-06, 'balanced_loss': False, 'epochs': 104, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 2}. Best is trial 9 with value: 0.3299740570292108.
[I 2024-12-02 14:22:21,857] Trial 13 finished with value: 0.40771067460375476 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9703792375716744, 'batch_size': 103, 'attention_heads': 11, 'hidden_dimension': 34, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5972398231407864, 'global_pooling': 'sum', 'learning_rate': 0.006654971821178991, 'weight_decay': 2.1708274989265753e-05, 'beta_0': 0.8275439674192263, 'beta_1': 0.9957780265984763, 'epsilon': 9.790333063918644e-05, 'balanced_loss': False, 'epochs': 196, 'early_stopping_patience': 22, 'plateau_patience': 17, 'plateau_divider': 4}. Best is trial 13 with value: 0.40771067460375476.
[I 2024-12-02 14:41:41,620] Trial 14 finished with value: 0.13810481283407 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9637431800480449, 'batch_size': 105, 'attention_heads': 11, 'hidden_dimension': 122, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5813763820602356, 'global_pooling': 'sum', 'learning_rate': 0.004745510200893406, 'weight_decay': 2.70044243313965e-05, 'beta_0': 0.827569799014351, 'beta_1': 0.994519370135704, 'epsilon': 2.7050120448339493e-06, 'balanced_loss': False, 'epochs': 200, 'early_stopping_patience': 21, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 13 with value: 0.40771067460375476.
[I 2024-12-02 14:59:42,396] Trial 15 finished with value: 0.35151913303465215 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9621095319519029, 'batch_size': 128, 'attention_heads': 15, 'hidden_dimension': 69, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5411704743828452, 'global_pooling': 'sum', 'learning_rate': 0.007498219215595538, 'weight_decay': 2.844444636934024e-05, 'beta_0': 0.8367819760340106, 'beta_1': 0.9924346056900203, 'epsilon': 9.961663281050316e-06, 'balanced_loss': False, 'epochs': 184, 'early_stopping_patience': 19, 'plateau_patience': 13, 'plateau_divider': 5}. Best is trial 13 with value: 0.40771067460375476.
[I 2024-12-02 15:16:27,611] Trial 16 finished with value: 0.45096539658298196 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9606289498961896, 'batch_size': 104, 'attention_heads': 11, 'hidden_dimension': 66, 'number_of_hidden_layers': 2, 'dropout_rate': 0.53800928237034, 'global_pooling': 'sum', 'learning_rate': 0.005164065710846347, 'weight_decay': 5.844119368889753e-05, 'beta_0': 0.8657165341623595, 'beta_1': 0.99243385741133, 'epsilon': 1.498080961015864e-05, 'balanced_loss': False, 'epochs': 169, 'early_stopping_patience': 18, 'plateau_patience': 12, 'plateau_divider': 5}. Best is trial 16 with value: 0.45096539658298196.
[I 2024-12-02 15:34:16,881] Trial 17 finished with value: 0.4479773997068744 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9618622503809665, 'batch_size': 98, 'attention_heads': 11, 'hidden_dimension': 64, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5999232547269331, 'global_pooling': 'sum', 'learning_rate': 0.0004766916451540554, 'weight_decay': 5.1725976433653534e-05, 'beta_0': 0.868317751947945, 'beta_1': 0.9896681714275862, 'epsilon': 1.978429182346719e-05, 'balanced_loss': False, 'epochs': 151, 'early_stopping_patience': 16, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 16 with value: 0.45096539658298196.
[I 2024-12-02 15:52:57,324] Trial 18 finished with value: 0.07106198779166642 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9366867667089356, 'batch_size': 93, 'attention_heads': 7, 'hidden_dimension': 152, 'number_of_hidden_layers': 2, 'dropout_rate': 0.46799434596071876, 'global_pooling': 'sum', 'learning_rate': 0.0002924114060079835, 'weight_decay': 7.02525045456961e-05, 'beta_0': 0.8625906207388095, 'beta_1': 0.9893124514535948, 'epsilon': 1.5199219513095878e-05, 'balanced_loss': True, 'epochs': 153, 'early_stopping_patience': 16, 'plateau_patience': 13, 'plateau_divider': 10}. Best is trial 16 with value: 0.45096539658298196.
[I 2024-12-02 16:09:51,600] Trial 19 finished with value: 0.06337591133041273 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8647877434204894, 'batch_size': 73, 'attention_heads': 10, 'hidden_dimension': 72, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5351958540005903, 'global_pooling': 'sum', 'learning_rate': 0.00036672512228635973, 'weight_decay': 0.00010557301976561883, 'beta_0': 0.8660875051427118, 'beta_1': 0.9863268125899984, 'epsilon': 2.0955285717237486e-05, 'balanced_loss': False, 'epochs': 154, 'early_stopping_patience': 14, 'plateau_patience': 12, 'plateau_divider': 10}. Best is trial 16 with value: 0.45096539658298196.
[I 2024-12-02 16:29:21,992] Trial 20 finished with value: 0.08241468431192142 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9188641635059074, 'batch_size': 112, 'attention_heads': 12, 'hidden_dimension': 63, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4397100281072358, 'global_pooling': 'sum', 'learning_rate': 8.244467010988761e-05, 'weight_decay': 0.0006247091257919618, 'beta_0': 0.8678831061916317, 'beta_1': 0.9827962094131297, 'epsilon': 1.454379895907022e-06, 'balanced_loss': False, 'epochs': 118, 'early_stopping_patience': 14, 'plateau_patience': 14, 'plateau_divider': 8}. Best is trial 16 with value: 0.45096539658298196.
[I 2024-12-02 16:45:07,569] Trial 21 finished with value: 0.3746551747050439 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9629891058121038, 'batch_size': 101, 'attention_heads': 10, 'hidden_dimension': 53, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5912455524229152, 'global_pooling': 'sum', 'learning_rate': 0.0020154681791905824, 'weight_decay': 1.5769635167177122e-05, 'beta_0': 0.8758286327669003, 'beta_1': 0.9907669850146774, 'epsilon': 9.278450621182827e-05, 'balanced_loss': False, 'epochs': 171, 'early_stopping_patience': 23, 'plateau_patience': 10, 'plateau_divider': 5}. Best is trial 16 with value: 0.45096539658298196.
[I 2024-12-02 17:03:57,142] Trial 22 finished with value: 0.41662740441291246 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9773208349734859, 'batch_size': 93, 'attention_heads': 11, 'hidden_dimension': 88, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5289941545931, 'global_pooling': 'sum', 'learning_rate': 0.00391486913767677, 'weight_decay': 0.0001086410827608986, 'beta_0': 0.8569991280577216, 'beta_1': 0.993582575991472, 'epsilon': 2.951584961152026e-05, 'balanced_loss': False, 'epochs': 177, 'early_stopping_patience': 18, 'plateau_patience': 12, 'plateau_divider': 5}. Best is trial 16 with value: 0.45096539658298196.
[I 2024-12-02 17:28:42,765] Trial 23 finished with value: 0.21376401515546736 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9463813528643843, 'batch_size': 90, 'attention_heads': 12, 'hidden_dimension': 87, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5291787404848525, 'global_pooling': 'sum', 'learning_rate': 0.0006658694587890388, 'weight_decay': 0.00014153659677000605, 'beta_0': 0.8555781655654877, 'beta_1': 0.9931995763028104, 'epsilon': 1.06735640177895e-05, 'balanced_loss': False, 'epochs': 140, 'early_stopping_patience': 18, 'plateau_patience': 12, 'plateau_divider': 7}. Best is trial 16 with value: 0.45096539658298196.
[I 2024-12-02 17:45:12,612] Trial 24 finished with value: 0.42101450871633916 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.97997899717389, 'batch_size': 72, 'attention_heads': 8, 'hidden_dimension': 128, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4709447166855719, 'global_pooling': 'sum', 'learning_rate': 0.003482747044447425, 'weight_decay': 5.776432734011097e-05, 'beta_0': 0.8779162474404599, 'beta_1': 0.9877855969630746, 'epsilon': 2.823894893911402e-05, 'balanced_loss': False, 'epochs': 166, 'early_stopping_patience': 16, 'plateau_patience': 12, 'plateau_divider': 5}. Best is trial 16 with value: 0.45096539658298196.
[I 2024-12-02 18:07:18,216] Trial 25 finished with value: 0.4031246830865918 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8837071975832562, 'batch_size': 76, 'attention_heads': 7, 'hidden_dimension': 138, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4707071158103808, 'global_pooling': 'sum', 'learning_rate': 0.0028455773375625167, 'weight_decay': 4.8704303746018416e-05, 'beta_0': 0.8806638765037409, 'beta_1': 0.9884776915184412, 'epsilon': 5.405337520927232e-06, 'balanced_loss': False, 'epochs': 159, 'early_stopping_patience': 16, 'plateau_patience': 14, 'plateau_divider': 7}. Best is trial 16 with value: 0.45096539658298196.
[I 2024-12-02 18:27:15,603] Trial 26 finished with value: 0.08746137227230004 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9540347486601464, 'batch_size': 112, 'attention_heads': 9, 'hidden_dimension': 160, 'number_of_hidden_layers': 2, 'dropout_rate': 0.41780052693001674, 'global_pooling': 'sum', 'learning_rate': 0.0001290060388520811, 'weight_decay': 5.042121917746055e-05, 'beta_0': 0.8693649881134476, 'beta_1': 0.9872562640856597, 'epsilon': 3.1366567226538164e-05, 'balanced_loss': True, 'epochs': 143, 'early_stopping_patience': 16, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 16 with value: 0.45096539658298196.
[I 2024-12-02 18:42:05,491] Trial 27 finished with value: 0.40881469026837164 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9782179361057474, 'batch_size': 73, 'attention_heads': 7, 'hidden_dimension': 113, 'number_of_hidden_layers': 1, 'dropout_rate': 0.561553199869205, 'global_pooling': 'sum', 'learning_rate': 0.0006368083747394555, 'weight_decay': 0.00025749719634610423, 'beta_0': 0.8861846386914615, 'beta_1': 0.9907400638312084, 'epsilon': 1.4515028693381696e-06, 'balanced_loss': False, 'epochs': 127, 'early_stopping_patience': 13, 'plateau_patience': 13, 'plateau_divider': 5}. Best is trial 16 with value: 0.45096539658298196.
[I 2024-12-02 18:58:17,337] Trial 28 finished with value: 0.05678207525406139 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9217845447771208, 'batch_size': 79, 'attention_heads': 4, 'hidden_dimension': 129, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4754985216778256, 'global_pooling': 'mean', 'learning_rate': 0.015835659868304434, 'weight_decay': 1.354768033754013e-05, 'beta_0': 0.8975505627456385, 'beta_1': 0.9847399314219565, 'epsilon': 8.422128242609188e-06, 'balanced_loss': False, 'epochs': 164, 'early_stopping_patience': 17, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 16 with value: 0.45096539658298196.
[I 2024-12-02 19:17:59,581] Trial 29 finished with value: 0.017821905610783593 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.884980806830842, 'batch_size': 115, 'attention_heads': 9, 'hidden_dimension': 104, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5181037465243065, 'global_pooling': 'max', 'learning_rate': 0.0001471514009814685, 'weight_decay': 0.0009305706671572074, 'beta_0': 0.8727555541484264, 'beta_1': 0.9885480590973982, 'epsilon': 2.1042582160125163e-05, 'balanced_loss': True, 'epochs': 118, 'early_stopping_patience': 15, 'plateau_patience': 11, 'plateau_divider': 3}. Best is trial 16 with value: 0.45096539658298196.
[I 2024-12-02 19:32:38,113] Trial 30 finished with value: 0.42857280333773673 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9505521040140501, 'batch_size': 67, 'attention_heads': 12, 'hidden_dimension': 50, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5704813018846692, 'global_pooling': 'mean', 'learning_rate': 0.003569456196591922, 'weight_decay': 0.00014724564318137419, 'beta_0': 0.8826915175197123, 'beta_1': 0.9907933942878382, 'epsilon': 2.1113660665698005e-06, 'balanced_loss': False, 'epochs': 144, 'early_stopping_patience': 19, 'plateau_patience': 16, 'plateau_divider': 9}. Best is trial 16 with value: 0.45096539658298196.
[I 2024-12-02 19:46:40,370] Trial 31 finished with value: 0.3796776067418824 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9814605566614737, 'batch_size': 63, 'attention_heads': 12, 'hidden_dimension': 56, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5730158717910291, 'global_pooling': 'mean', 'learning_rate': 0.0037229229708441694, 'weight_decay': 7.677858959238434e-05, 'beta_0': 0.8835791621015164, 'beta_1': 0.9908729875935174, 'epsilon': 2.4969835736641856e-06, 'balanced_loss': False, 'epochs': 147, 'early_stopping_patience': 19, 'plateau_patience': 16, 'plateau_divider': 9}. Best is trial 16 with value: 0.45096539658298196.
[I 2024-12-02 20:02:32,397] Trial 32 finished with value: 0.49251975735274184 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9550074222387842, 'batch_size': 68, 'attention_heads': 11, 'hidden_dimension': 77, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5496600734268812, 'global_pooling': 'mean', 'learning_rate': 0.0012216697520797202, 'weight_decay': 0.00016475089320586053, 'beta_0': 0.8624765327909477, 'beta_1': 0.9875206857698567, 'epsilon': 4.827694428602541e-05, 'balanced_loss': False, 'epochs': 182, 'early_stopping_patience': 19, 'plateau_patience': 14, 'plateau_divider': 10}. Best is trial 32 with value: 0.49251975735274184.
[I 2024-12-02 20:18:12,205] Trial 33 finished with value: 0.4906395014737949 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9507550383930825, 'batch_size': 96, 'attention_heads': 10, 'hidden_dimension': 80, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5993709873006535, 'global_pooling': 'mean', 'learning_rate': 0.000863125180457001, 'weight_decay': 0.00016844697753203662, 'beta_0': 0.8606726662967651, 'beta_1': 0.9899017939635678, 'epsilon': 4.794517862106078e-05, 'balanced_loss': False, 'epochs': 182, 'early_stopping_patience': 19, 'plateau_patience': 18, 'plateau_divider': 10}. Best is trial 32 with value: 0.49251975735274184.
